'ai'dang'shi'xi'mo'zhi 哀当世兮莫知
'xi'yu'nian'zhi'wei'yang 惜余年之未央
'xi'yu'zhi'hu'xi'ji 夕余至乎西极
'xi'yu'zhi'hu'xian'pu 夕余至乎县圃
'xi'zhan'lu'zhi'fu'liang'xi 吸湛露之浮凉兮
'xi'zhi'xi'ming'guang 夕至兮明光
'xi'zhong'qi'er'ao'xiang 吸众气而翱翔
'xia'an'mo'er'wu'guang 下暗漠而无光
'xia'bei'yi'yu'shui'zhu 下被衣於水渚
'xia'chui'diao'yu'xi'gu'xi 下垂钓於溪谷兮
'xia'feng'yi'zhi 下逢伊挚
'xia'he'ju'yue'yu'yu'tang 下合矩矱於虞唐
'xia'jiang'xiang'yi'zhan'hui 下江湘以邅回
'xia'jie'zhi'chang'wei'xi 夏桀之常违兮
'xia'kang'yu'yi'zi'zong 夏康娱以自纵
'xia'ling'ling'er'lai'feng 下泠泠而来风
'xia'shi'han'xie 夏室寒些
'xia'shi'lai'er'deng'zhou 下石濑而登洲
'xia'tang'xi'jian'chai 下堂兮见虿
'xia'wu'guang'da 夏屋广大
'xia'you'hui'yi'duo'yu 下幽晦以多雨
'xia'you'xi'hui'she 下有兮虺蛇
'xia'zheng'rong'er'wu'di'xi 下峥嵘而无地兮
'xian'a'bu'yu'yan'shu'qing'xi 纤阿不御焉舒情兮
'xian'bao'yu'yi'wei'shi 献宝玉以为石
'xian'bo'ju'shu 咸播秬黍
'xian'bu'bi'yi 贤不必以
'xian'han'zhong'zhi'de'yi 羡韩众之得一
'xian'jiu'yao'xi'jian'dian'mo 羡咎繇兮建典谟
'xian'jun'mu'er'zi'fu'xi 贤俊慕而自附兮
'xian'liang'bi'er'bu'qun'xi 贤良蔽而不群兮
'xian'shi'wu'ming 贤士无名
'xian'sui'fa'chun'xi 献岁发春兮
'xian'wei'hou'wen 先威後文
'xian'xi'gan'ji 鲜蠵甘鸡
'xian'xin'xin'xi'han'le 咸欣欣兮酣乐
'xian'xue'fen'qi'wu'yin'xi 霰雪纷其无垠兮
'xian'xue'fen'rou'qi'zeng'jia'xi 霰雪雰糅其增加兮
'xian'yi'jing'zhi 閒以静只
'xian'yu'shu'xi'ke'yi 羡余术兮可夷
'xian'zhe'bi'er'bu'jian'xi 贤者蔽而不见兮
'xian'zhe'mie'xi 贤者灭息
'xian'zhe'yuan'er'yin'cang 贤者远而隐藏
'xian'zhi'er'bu'fa 陷滞而不发
'xian'zhi'er'bu'ji 陷滞而不济
'xian'zhi'yi'da'gu 限之以大故
'xiang'cong'xi'su'qi 相从兮宿栖
'xiang'fu'ren'di'zi'jiang'xi'bei'zhu 湘夫人帝子降兮北渚
'xiang'fu'zheng'xi'cheng'hua 相辅政兮成化
'xiang'guan'min'zhi'ji'ji 相观民之计极
'xiang'jiang'zhou'er'an'ge 翔江洲而安歌
'xiang'jun'jun'bu'xing'xi'yi'you 湘君君不行兮夷犹
'xiang'she'jun'shi 像设君室
'xiang'wu'lu'xi'ao'zong'ling 曏吾路兮艹总岭
'xiang'xia'nv'zhi'ke'yi 相下女之可诒
'xiang'you'xi'you'ting 巷有兮蚰蜓
'xiang'yu'gui'fu'li'shi 相与贵夫砾石
'xiao'lang'cong'mu 熽狼从目
'xiao'ren'zhi'ju'shi'xi 小人之居势兮
'xiao'se'xi 萧瑟兮
'xiao'xiao'bing'jin'er'ju'ming'xi 枭鸮并进而俱鸣兮
'xiao'xiao'ji'yi'cheng'qun'xi 枭鸮既以成群兮
'xiao'xiao'sen'zhi'ke'ai'xi 萷櫹椮之可哀兮
'xiao'yao'xiu'jing 小腰秀颈
'xiao'zhong'xi'yao'ju 箫锺兮瑶虡
'xie'qi'ru'er'gan'nei'xi 邪气入而感内兮
'xie'qi'xi'yu'zhi'xing'ti'xi 邪气袭余之形体兮
'xie'ren'zheng'er'dan'wei 挟人筝而弹纬
'xie'shuo'shi'er'duo'qu'xi 邪说饰而多曲兮
'xie'zi'se'xie 揳梓瑟些
'xin'ai'ai'er'fu'yu 心哀哀而怫郁
'xin'bu'tong'xi'mei'lao 心不同兮媒劳
'xin'bu'yi'zhi'chang'jiu'xi 心不怡之长久兮
'xin'chan'yu'zhi'hun'zhuo'xi 信谗谀之溷浊兮
'xin'chan'yuan'er'shang'huai'xi 心婵媛而伤怀兮
'xin'chan'yuan'er'wu'gao'xi 心婵媛而无告兮
'xin'chao'chang'yi'yong'si'xi 心怊怅以永思兮
'xin'chou'chou'er'si'jiu'bang 心愁愁而思旧邦
'xin'chou'qi'er'zeng'bei 心愁悽而增悲
'xin'chou'qi'xi'bu'neng 心愁慼兮不能
'xin'chu'ti'er'zhen'dang'xi 心怵惕而震荡兮
'xin'chuang'chuang'xi'zi'lian 心怆怆兮自怜
'xin'chun'pang'er'bu'xie'xi 心纯厖而不泄兮
'xin'da'shang'zhi'dan'dan 心怛伤之憺憺
'xin'dao'chu'er'mao'si 心悼怵而耄思
'xin'di'huai'xi'gu'huai 心低佪兮顾怀
'xin'diao'du'er'fu'qu'xi 心调度而弗去兮
'xin'fan'dan'xi'wang'shi'shi 心烦憺兮忘食事
'xin'fan'kui'xi'yi'wu'liao 心烦愦兮意无聊
'xin'fan'lv'luan 心烦虑乱
'xin'fan'yuan'zhi'shu'chong'shu'chong 心烦冤之忄虫忄虫
'xin'fei're'qi'ruo'tang 心沸热其若汤
'xin'fei'wu'zui'er'qi'zhu'xi 信非吾罪而弃逐兮
'xin'fei'yang'xi'hao'dang 心飞扬兮浩荡
'xin'fen'cuo'er'bu'shou 心纷错而不受
'xin'fen'jie'qi'wei'li 心纷结其未离
'xin'fu'yu'er'nei'shang 心怫郁而内伤
'xin'fu'yu'xi'nei'shang 心怫郁兮内伤
'xin'gan'xing'xie 辛甘行些
'xin'gong'gong'er'bu'yi 心巩巩而不夷
'xin'gua'jie'er'bu'jie'xi 心絓结而不解兮
'xin'huang'huo'er'zi'bei 心惶惑而自悲
'xin'ji'ji'er'bu'kai'xi 心鞿羁而不开兮
'xin'jian'jian'qi'fan'cuo 心渐渐其烦错
'xin'jie'hu'xi'zhe'cui 心结縎兮折摧
'xin'jin'juan'xi'shang'huai 心紧絭兮伤怀
'xin'kuang'liang'yi'yuan'jie'xi 心懭悢以冤结兮
'xin'liao'li'er'you'ai 心缭悷而有哀
'xin'min'lian'zhi'can'qi'xi 心闵怜之惨悽兮
'xin'mu'zhe'bi'dan'guan 新沐者必弹冠
'xin'nei'qie'cuo 心内切磋
'xin'nei'xi'huai'shang 心内兮怀伤
'xin'peng'peng'xi'liang'zhi 心怦怦兮谅直
'xin'qiong'qiong'er'huai'gu'xi 心蛩蛩而怀顾兮
'xin'ren'jin'er'yu'hao 新人近而俞好
'xin'rong'rong'qi'bu'ke'liang'xi 心溶溶其不可量兮
'xin'shang'huang'er'zhi'zheng 信上皇而质正
'xin'shang'xing'qi'fu'ji 心尚幸其弗济
'xin'tang'huang'qi'bu'wo'yu'xi 心戃慌其不我与兮
'xin'wei'da'hu'cong'rong 信未达乎从容
'xin'wei'xi'ge'cuo 心为兮隔错
'xin'wei'xi'qie'shang 心为兮切伤
'xin'yan'liu'xi'dong'huang'hu 心淹留兮恫慌忽
'xin'yan'qu'ci'chu'ti 心焉取此怵惕
'xin'yao'yue'er'ri'xing'xi 心摇悦而日幸兮
'xin'yi'an'zhi 心意安只
'xin'yi'che'xi'jie'gui'qi 辛夷车兮结桂旗
'xin'yi'mei'xi'yao'fang 辛夷楣兮药房
'xin'yi'xi'ji'zang 辛夷兮挤臧
'xin'yin'ce'er'bu'zhi 心隐恻而不置
'xin'yong'yue'qi'ruo'tang 心踊跃其若汤
'xin'you'yu'er'hu'yi 心犹豫而狐疑
'xin'you'yu'er'hu'yi'xi 心犹豫而狐疑兮
'xin'yu'jie'er'yu'zhen 心郁结而纡轸
'xin'yu'tan'er'fan'yuan'xi 心悇憛而烦冤兮
'xin'yu'yi'yu'cha'chi'xi 心郁邑余侘傺兮
'xin'yu'yu'er'wu'gao'xi 心郁郁而无告兮
'xin'yu'zhe'bi'zhen'yi 新浴者必振衣
'xin'yu'zhen'zong'er'zeng'shang 心纡轸宗而增伤
'xin'yuan'jie'er'nei'shang 心冤结而内伤
'xin'zhen'dao'er'bu'gan 心震悼而不敢
'xin'zhi'tui'er'hui'bai'xi 信直退而毁败兮
'xin'zhong'tu'er'pan'zhi 信中涂而叛之
'xing'bi'bo'yi 行比伯夷
'xing'bu'qun'yi'dian'yue'xi 行不群以巅越兮
'xing'er'de'tuo 幸而得脱
'xing'fu'jiang'er'gong'cheng 行夫将而攻城
'xing'jiu'yao'xi'huo'mou 幸咎繇兮获谋
'xing'jun'zhi'yi 行君之意
'xing'kou'cheng'er'bu'a'xi 行叩诚而不阿兮
'xing'ku'gao'er'du'liu 形枯槁而独留
'xing'li'sao'zhi'wei'wen'xi 兴离骚之微文兮
'xing'liu'qiu'er'wei'she 形蟉虬而蜲蛇
'xing'mi'lu'tong'keng 兴麋鹿同坑
'xing'ming'bai'er'yue'hei'xi 行明白而曰黑兮
'xing'mu'mu'yi'jin'yuan'xi 形穆穆以浸远兮
'xing'rong'ku'gao 形容枯槁
'xing'sao'bing'yu 腥臊并御
'xing'ti'bai'er'zhi'su'xi 形体白而质素兮
'xing'xiao'shuo'er'yu'shang 形销铄而瘀伤
'xing'xing'zhi'er'bu'yu'xi 行婞直而不豫兮
'xing'yin'jin'xi 行隐进兮
'xing'yin'lei'xi'sheng'kui'kui'xi 行吟累欷声喟喟兮
'xing'yin'ze'pan 行吟泽畔
'xing'yu'lou'yi'bian'qian'xi 性愚陋以褊浅兮
'xing'zhong'ye'er'san'zhi 行中野而散之
'xiong'hui'jiu'shou 雄虺九首
'xiong'jiu'zhi'ming'shi'xi 雄鸠之鸣逝兮
'xiong'pi'qun'er'yi'you 熊罴群而逸囿
'xiong'pi'xi'xu'hao 熊罴兮呴嗥
'xiong'xiong'he'he 雄雄赫赫
'xiong'you'shi'quan 兄有噬犬
'xiu'de'xi'kun'kong 修德兮困控
'xiu'jie'chu'you'xi 修洁处幽兮
'xiu'lu'you'bi 修路幽蔽
'xiu'wang'gu'yi'xing'en'xi 修往古以行恩兮
'xiu'xi'hu'kun'lun'zhi'xu 休息虖昆仑之墟
'xiu'yu'xi'gui'yi 修余兮袿衣
'xu'fa'zhu'cui'xi'piao'bin'bai 须发苎悴兮顠鬓白
'xu'feng'zhi'er'pai'huai'xi 徐风至而徘徊兮
'xu'huo'wu'you'yi'qi 虚惑误又以欺
'xu'jie'mo'mo'xi 吁嗟默默兮
'xu'mi'jie'er'gao'li 徐弭节而高历
'xu'pai'huai'yu'shan'e'xi 徐徘徊於山阿兮
'xu'wei'jin'er'de'dang 虚伪进而得当
'xu'yi'dai'zhi'xi 虚以待之兮
'xu'ying'qiu'feng'xi'xiao'xiao 蓄英秋风兮萧萧
'xu'yuan'xi'ji'si 蓄怨兮积思
'xuan'bai'hei'zhi'mei'e 眩白黑之美恶
'xuan'che'shi'yu'chong'shan'xi 旋车逝於崇山兮
'xuan'chi'chong'xiang'bing'chu'jin'xi 玄螭虫象并出进兮
'xuan'di'bing'yin 眩弟并淫
'xuan'fei'xi'cui'ceng 翾飞兮翠曾
'xuan'feng'ruo'kun'xie 玄蜂若壸些
'xuan'gui'shen'yu'tai'yin'xi 选鬼神於太阴兮
'xuan'he'mi'yi'er'ping'yi 玄鹤弭翼而屏移
'xuan'he'xi'gao'fei 玄鹤兮高飞
'xuan'huo'yan'qi'xi 悬火延起兮
'xuan'liang'ji'di 轩辌既低
'xuan'lu'xi'ji'zhong 玄鹿兮继踵
'xuan'lv'guan'yu'zhen'bo 选吕管於榛薄
'xuan'niao'xi'ci'gui 玄鸟兮辞归
'xuan'niao'zhi'yi'nv'he'xi 玄鸟致贻女何喜
'xuan'qi'xi'gao'lang 玄气兮高朗
'xuan'qi'yuan'mou 眩妻爰谋
'xuan'ren'yi'ai 悬人以娭
'xuan'ru'lei'yuan 旋入雷渊
'xuan'shu'zhong'shen'yi'bing'gu 选署众神以并毂
'xuan'wen'chu'you'xi 玄文处幽兮
'xuan'wu'bu'xi'shui'mu 玄武步兮水母
'xuan'yan'zheng 玄颜烝
'xuan'you'xi'lie'su 宣游兮列宿
'xuan'yu'chi'er'bing'ji'xi 玄舆驰而并集兮
'xuan'yu'zhi'liang'xie 玄玉之梁些
'xuan'yuan'bu'ke'pan'yuan'xi 轩辕不可攀援兮
'xuan'yuan'shi'yu'qian'lin'xi 玄蝯失於潜林兮
'xue'fen'fen'er'bo'mu'xi 雪雰雰而薄木兮
'xue'liao'xi 泬寥兮
'xue'qi'sheng'zhi 血气盛只
'xue'yan'shi'er'ku'fu 穴岩石而窟伏
'xun'he'meng'sheng 勋阖梦生
'xun'jiu'qi'yu'liu'shen 讯九鬿与六神
'xun'lu'yi'zhi'qu'yan'xi 巡陆夷之曲衍兮
'xun'sheng'mo'er'bu'po 循绳墨而不颇
'xun'si'ji'er'hui'zhou'xi 循四极而回周兮
'ya'yang'yang'zhi'wu'cong'xi 轧洋洋之无从兮
'yan'bai'yu'yi'wei'mian'xi 厌白玉以为面兮
'yan'bu'ke'jie'er'yi 言不可结而诒
'yan'chen'cheng'xi'xiao'zhong 焉陈诚兮效忠
'yan'chen'ci'er'xiao'zhong 焉陈词而效忠
'yan'ci'ai'er'bu'qu 掩此哀而不去
'yan'de'bi'tu'shan'nv 焉得彼嵞山女
'yan'de'fu'bao'si 焉得夫褒姒
'yan'de'fu'pu'niu 焉得夫朴牛
'yan'di'huai'xi'jing'chi 淹低佪兮京沶
'yan'fa'fen'er'jiao'shu 焉发愤而筊抒
'yan'fang'zhi'yu'fu'jing'xi 淹芳芷於腐井兮
'yan'fu'yun'er'shang'zheng 掩浮云而上征
'yan'gao'yu'yi'bu'hao 雁告余以不好
'yan'gong'cao'yu'ma'yu 燕公操於马圉
'yan'he'yue'yan 岩何越焉
'yan'huang'huang'er'geng'suo 焉皇皇而更索
'yan'hui'shui'er'ning'zhi 淹回水而凝滞
'yan'jian'lian'quan'xi'zhi'xiang'liao 偃蹇连蜷兮枝相缭
'yan'li'pi'ci'wu'qiu 奄离披此梧楸
'yan'lu'li'xie 艳陆离些
'yan'mei'li'yi'ju'bai'xi 颜霉黧以沮败兮
'yan'nai'shi'yi'pai'huai 焉乃逝以徘徊
'yan'neng'ji'fu'yuan'dao 焉能极夫远道
'yan'nian'bu'si 延年不死
'yan'pian'pian'qi'ci'gui'xi 燕翩翩其辞归兮
'yan'que'wu'que 燕雀乌鹊
'yan'se'qiao'cui 颜色憔悴
'yan'sha'jin'xi'qi'yuan'ye 严杀尽兮弃原野
'yan'shu'qing'er'chou'xin'xi 焉舒情而抽信兮
'yan'tuo'cheng'er'shang'fu 焉讬乘而上浮
'yan'wang'hang'qi'ren'yi'xi 偃王行其仁义兮
'yan'wu'lei'zhi'xiang'gan'ye 言物类之相感也
'yan'xuan'mai'xi'bei'cu 言旋迈兮北徂
'yan'xue'chu'er'yin'cang 岩穴处而隐藏
'yan'yang'yang'er'wei'ke 焉洋洋而为客
'yan'yin'yi'er'jiang'ba'xi 颜淫溢而将罢兮
'yan'yong'yong'er'nan'you'xi 雁廱廱而南游兮
'yan'you'qiu'long'fu'xiong'yi'you 焉有虬龙负熊以游
'yan'you'shi'lin 焉有石林
'yan'yu'ne'se'xi 言语讷譅兮
'yan'yu'xing'qi'ke'ji'xi 言与行其可迹兮
'yan'yuan'ju'xi'yun'zhong 焱远举兮云中
'yan'zai'jia'xi'chu'xi'you 严载驾兮出戏游
'yan'zhi'xian'shi'zhi'suo'si 焉知贤士之所死
'yan'zhu'hu'wu'jiang'fan 延伫乎吾将反
'yang'bao'xi'fu'gu 扬枹兮拊鼓
'yang'chang'tan'xi'qi'ye'jie 仰长叹兮气噎结
'yang'fen'qi'xi'wei'jing 扬氛气兮为旌
'yang'fu'yun'er'yong'tan 仰浮云而永叹
'yang'gao'gao'qi'wei'guang'xi 阳杲杲其未光兮
'yang'guan'ke'jue 仰观刻桷
'yang'hui'guang'xi'wei'qi 扬彗光兮为旗
'yang'jing'hua'yi'xuan'yao'xi 扬精华以眩燿兮
'yang'jue'ping'er'bu'si 扬厥凭而不俟
'yang'li'yuan'si 阳离爰死
'yang'lian'xi'bi'gan 仰怜兮比干
'yang'ling'xi'wei'ji 扬灵兮未极
'yang'liu'bo'zhi'guang'guang'xi 扬流波之潢潢兮
'yang'liu'xi'yang'yang 扬流兮洋洋
'yang'mang'mang'xi'jiu'zhi 泱莽莽兮究志
'yang'qi'fa'xi'qing'ming 阳气发兮清明
'yang'tian'xi'zeng'tan 仰天兮增叹
'yang'xi'ya 坱兮轧
'yang'yan'yan'er'fu'gu 阳焱焱而复顾
'yang'yun'ni'zhi'yan'ai'xi 扬云霓之晻蔼兮
'yao'bu'yao'gao 尧不姚告
'yao'fu'ye'xuan 妖夫曳衒
'yao'jiang'mi'shao 瑶浆蜜勺
'yao'ling'an'cang 曜灵安藏
'yao'ling'ye'er'xi'zheng 耀灵晔而西征
'yao'luan'xi'fen'na 殽乱兮纷拏
'yao'ming'ming'xi'qiang'zhou'hui 杳冥冥兮羌昼晦
'yao'ming'ming'xi'yi'dong'xing 杳冥冥兮以东行
'yao'niao'ben'wang'xi 要褭奔亡兮
'yao'qi'tai'e 遥弃太阿
'yao'qiao'fen'yu'chi'feng'cheng'yu'you'wu'qiong'xi 摇翘奋羽驰风骋雨游无穷兮
'yao'she'jiang'er'yuan'qu 遥涉江而远去
'yao'shun'jie'you'suo'ju'ren'xi 尧舜皆有所举任兮
'yao'shun'sheng'er'ci'ren'xi 尧舜圣而慈仁兮
'yao'shun'sheng'yi'mei'xi 尧舜圣已没兮
'yao'shun'zhi'kang'xing'xi 尧舜之抗行兮
'yao'wang'bo 遥望博
'yao'xi'xi'yu'zhen 瑶席兮玉瑱
'yao'xiu'wei'tong 肴羞未通
'yao'yin'xi'zhong'ye 谣吟兮中野
'yao'zhuo'wei'yu'yi'shan'yin 谣诼谓余以善淫
'ye'fu'qi'ya 靥辅奇牙
'ye'geng'geng'er'bu'mei'xi 夜耿耿而不寐兮
'ye'guang'he'de 夜光何德
'ye'hui'xing'zhi'hao'gan'xi 曳彗星之皓旰兮
'ye'ji'mo'er'wu'ren 野寂漠而无人
'ye'jiao'jiao'xi'ji'ming 夜皎皎兮既明
'ye'jiong'jiong'er'bu'mei'xi 夜炯炯而不寐兮
'ye'shi'zhi'er'bu'jiu'xi 业失之而不救兮
'ye'xuan'huang'xi'na'zhi 谒玄黄兮纳贽
'ye'yan'yi'er'wu'se'xi 叶菸邑而无色兮
'yi'bao'zhen'hu 以保真乎
'yi'bu'gou'er'wei'wen 衣不苟而为温
'yi'chang'he'er'wang'yu 倚阊阖而望予
'yi'cheng'ming'hu 以成名乎
'yi'chou'chu'yi'yan'liu'xi 倚踌躇以淹留兮
'yi'chu'ben'di'xi 易初本迪兮
'yi'chun'chun'zhi'hun'zhuo 夷蠢蠢之溷浊
'yi'ci'rang'zhi 揖辞让只
'yi'ci'xi'yan'xue 倚此兮岩穴
'yi'dong'zuo'zhi 以动作只
'yi'dou'hu'er'xiang'liang 壹斗斛而相量
'yi'duo'duan'er'jiao'jia 亦多端而胶加
'yi'duo'xi'tang'lang 邑多兮螳螂
'yi'duo'xi'zao'yang 亦多兮遭殃
'yi'fei'yu'xin'zhi'suo'zhi 亦非余心之所志
'yi'feng'hou'xi'shou'rui'tu 懿风后兮受瑞图
'yi'feng'xue'yi'zi'xi'xi 依风穴以自息兮
'yi'fu'jiu'shou 一夫九首
'yi'fu'xi'jiao'jiao 蛜蚨兮噍噍
'yi'gai'er'xiang'liang 一概而相量
'yi'gao'zhi'lun'yi'chong'lu 伊皋之伦以充庐
'yi'guang'yao'xi'zhou'liu 遗光燿兮周流
'yi'huang'hu'er'liu'dang'xi 意荒忽而流荡兮
'yi'jie'ling'xi'chang'tai'xi 倚结軨兮长太息
'yi'jie'ying'hu 以洁楹乎
'yi'li'geng'hu 以力耕乎
'yi'na'na'er'yan'lu 衣纳纳而掩露
'yi'qi'gu'wei'hai'xie 以其骨为醢些
'yi'qi'kong'shen'xi 壹气孔神兮
'yi'qian'sheng'yi'jie'zhong'xi 依前圣以节中兮
'yi'qu'ru'xi'xi'lei 亦诎辱兮系纍
'yi'quan'qun'fei'xi 邑犬群吠兮
'yi'rao'chu'zhi 宜扰畜只
'yi'she'ye'yi'chu'yu'xi 衣摄叶以储与兮
'yi'shi'fu'ren'hu 以事妇人乎
'yi'shi'mian'xie 遗视矊些
'yi'shi'xi'niu'shu 遗失兮钮枢
'yi'shi'yan'yi'liu'ti'xi 倚石岩以流涕兮
'yi'si'xi'wang'gu 伊思兮往古
'yi'tou'sheng'hu 以媮生乎
'yi'wei'jun'du'fu'ci'hui'xi 以为君独服此蕙兮
'yi'wei'shen'hu 以危身乎
'yi'wen'jue'xi'shi'fu'su 悒殟绝兮咶复苏
'yi'wo'hou'xi'bu'cong 伊我后兮不聪
'yi'wu'ruo'tong'xi 抑骛若通兮
'yi'wu'zhong'er'ming'zhang 夷吾忠而名彰
'yi'xiao'xian'zhi 宜笑嘕只
'yi'xiao'yang'xi'liao'wu 意晓阳兮燎寤
'yi'xiao'yao'xi'yu'gui 意逍遥兮欲归
'yi'xin'er'bu'yu'xi 壹心而不豫兮
'yi'xin'er'zi'qiang 抑心而自强
'yi'xun'feng'yu'qing'yuan'xi 轶迅风於清源兮
'yi'yan'bi'ri 羿焉彃日
'yi'yan'yan'er'ri'tui 意晻晻而日颓
'yi'yao'yao'qi'zuo'you 翼遥遥其左右
'yi'yi'zai 已矣哉
'yi'yin'peng'yu'pao'chu 伊尹烹於庖厨
'yi'yin'xi'yi'yang 壹阴兮壹阳
'yi'yin'you'yi'yi'tian'xi 羿淫游以佚畋兮
'yi'you'suo'zai'er'yuan'shi'xi 意有所载而远逝兮
'yi'yu'die'xi'li'pu 遗余褋兮澧浦
'yi'yu'pei'xi'li'pu 遗余佩兮澧浦
'yi'yu'xi'chen'yin 意欲兮沉吟
'yi'yu'xi'nian'zi 伊余兮念兹
'yi'yu'xi'zhi 以娱昔只
'yi'yu'xin'zhi'suo'shan'xi 亦余心之所善兮
'yi'zhao'qi'ying'xi 倚沼畦瀛兮
'yi'zhi'er'mi'jie'xi 抑志而弭节兮
'yi'zhi'jin'xian'er'wei'diao'xi 以直钅咸而为钓兮
'yi'zhi'yi'bai'liang 易之以百两
'yi'zhong'li'xin 易中利心
'yi'zi'qing'hu 以自清乎
'yi'zi'sui'yi'zha'jiao 意恣睢以抯挢
'yin'ba'wei'yi'zi'dao'xi 引八维以自道兮
'yin'che'you'hai 引车右还
'yin'fu'rong'er'wei'mei'xi 因芙蓉而为媒兮
'yin'gao'su'er'ku'zhi 因缟素而哭之
'yin'gui'niao'er'zhi'ci'xi 因归鸟而致辞兮
'yin'jun'ruo'zhi'zhao'lu'xi 饮菌若之朝露兮
'yin'min'shan'yi'qing'jiang 隐岷山以清江
'yin'qi'bian'er'sui'ceng'ju'xi 因气变而遂曾举兮
'yin'ri'yue'yi'zhi'ji'xi 引日月以指极兮
'yin'san'nian'er'wu'jue'xi 隐三年而无决兮
'yin'sheng'zhi'xiang'he'xi 音声之相和兮
'yin'shi'quan'xi'yin'song'bai 饮石泉兮廕松柏
'yin'si'jun'xi'fei'ce 隐思君兮陫侧
'yin'xi'chi'er'chang'ci 因徙弛而长辞
'yin'yan'yan'xi'yao'yin 音晏衍兮要淫
'yin'yang'bu'ke'yu'li'xie 阴阳不可与俪偕
'yin'yang'san'he 阴阳三合
'yin'yang'yi'wei 阴阳易位
'yin'you'huo'fu 殷有惑妇
'yin'you'xi'gan'yu 阴忧兮感余
'yin'yu'ma'yu'xian'chi'xi 饮余马於咸池兮
'yin'yue'bo'yan'wu'zhong'ji'xi 音乐博衍无终极兮
'yin'ze'pan'zhi'jiang'bin 吟泽畔之江滨
'yin'zhi'ming'yi'bu'jiu 殷之命以不救
'yin'zong'yong'er'bu'chang 殷宗用而不长
'ying'bei'ji'zhi 盈北极只
'ying'fu'fei'yu'yi'luo 迎虙妃於伊雒
'ying'hua'jia'zhi 英华假只
'ying'lv'xi'he'jie 应律兮合节
'ying'you'xin'zhi'fu 媵有莘之妇
'ying'yu'xi'huan'xin 迎余兮欢欣
'yong'e'zai'yu'shan 永遏在羽山
'yong'huai'xi'nei'shang 永怀兮内伤
'yong'ju'zhi'qi'ji'xiong 庸讵知其吉凶
'yong'jun'zhi'xin 用君之心
'yong'li'nian'er'wu'cheng 永历年而无成
'yong'si'xi'yao'you 永思兮窈悠
'yong'tan'kui'xi 永叹喟兮
'yong'xiao'hu'xie 永啸呼些
'yong'yi'jue'shen 永宜厥身
'yong'yu'si'xi'chou'chou 永余思兮怞怞
'yong'yue'xi'ju'tiao 踊跃兮距跳
'yong'zhi'xi'bu'zhao 用志兮不昭
'you'bi'er'mo'zhi'bai'ye 又蔽而莫之白也
'you'bu'xia'xi'qin'shi 忧不暇兮寝食
'you'cang'long'zhi'qu'qu 右苍龙之躣躣
'you'cheng'xian 诱骋先
'you'da'xia'zhi'yi'feng 右大夏之遗风
'you'di'bu'ning 有狄不宁
'you'du'chu'hu'shan'zhong 幽独处乎山中
'you'du'xi'hu'xiao 右睹兮呼枭
'you'du'zhuan'er'bu'mei'xi 幽独转而不寐兮
'you'gao'fei'er'ai'ming 犹高飞而哀鸣
'you'hao'she'fu'feng'hu 又好射夫封狐
'you'he'bi'yong'fu'xing'mei 又何必用夫行媒
'you'he'fang'zhi'neng'zhi 又何芳之能祗
'you'he'huai'hu'gu'du 又何怀乎故都
'you'he'ke'yi'yan'liu 又何可以淹留
'you'he'lu'zhi'neng'ji 又何路之能极
'you'he'yi'wei'ci'ban'ye 又何以为此伴也
'you'he'yi'wei'ci'yuan'ye 又何以为此援也
'you'he'yi'yi'hu'quan'yang 又何以异虖犬羊
'you'he'yu'zhi'neng'de 又何鱼之能得
'you'hu'mu'shu 有扈牧竖
'you'jie'xin'er'gui'cheng 有竭信而归诚
'you'jing'wu'zhi'liu'bo 游惊雾之流波
'you'kong'xu'yi'ji'mo 幽空虚以寂寞
'you'ku'bei'yu'xin'zhi'yuan'yuan'xi 忧苦悲余心之悁悁兮
'you'kuang'jie'che'yu'jiang'li 又况揭车与江离
'you'lan'gao'yu'hui'lin'xi 游兰皋与蕙林兮
'you'lei'gong'yi'wei'wei 右雷公以为卫
'you'liu'bo'xie 有六簙些
'you'mei'yi'ren'xi'xin'bu'yi 有美一人兮心不绎
'you'mo'cha'yu'zhi'zhong'qing 又莫察余之中情
'you'niao'zi'nan'xi 有鸟自南兮
'you'qiao'cui'er'wu'le 忧憔悴而无乐
'you'qing'ling'zhi'sa'li'xi 游清灵之飒戾兮
'you'qiong'jiang'xie 有琼浆些
'you'ren'fu'yu'bu'zhou'xi 右衽拂於不周兮
'you'ren'zai'xia 有人在下
'you'shen'zhi'yi'lan'chai 又申之以揽茝
'you'shi'zhi'dai'zhi 又使至代之
'you'shu'hui'zhi'bai'mu 又树蕙之百亩
'you'shu'neng'wu'bian'hua 又孰能无变化
'you'tao'ao'xi'yang'shen 游陶遨兮养神
'you'wei'dan'yu'jiu'zhang 犹未殫於九章
'you'wei'zhi'qi'suo'cong 又未知其所从
'you'wu'jiang'fu 又无彊辅
'you'wu'liang'mei'zai'qi'ce 又无良媒在其侧
'you'wu'xing'mei'xi 又无行媒兮
'you'wu'yu'yi'er'gao'xiang 又无羽翼而高翔
'you'xin'bu'sui 忧心不遂
'you'xin'qiao'xi'zhi'qin'qu 忧心悄兮志勤劬
'you'xin'yuan'ji 有莘爰极
'you'xin'zhan'zhuan'chou'fu'yu'xi 忧心展转愁怫郁兮
'you'yi'yi'xi 有以异兮
