'a'bu'shi 阿布石
'xian'tan'you'kuang 纤碳铀矿
'xian'tie'fan 纤铁矾
'xian'tie'kuang 纤铁矿
'xian'tong'wei'su'fa 氙同位素法
'xian'wei 纤维
'xian'wei'ban'ping'zi'xing'de 显微半平自形的
'xian'wei'bian'jing'de 显微变晶的
'xian'wei'bian'jing'gou'zao 纤维变晶构造
'xian'wei'cao'zuo 显微操作
'xian'wei'fei'xi'zhi'de 显微霏细质的
'xian'wei'fen'xi 显微分析
'xian'wei'fu'she'ji 显微辐射计
'xian'wei'gong'sheng'gou'zao 显微共生构造
'xian'wei'gou'zao 显微构造
'xian'wei'jing'jian'cha 显微镜检查
'xian'wei'jing'zhi'jie'gou 显微晶质结构
'xian'wei'ni'liu 显微泥流
'xian'wei'she'wen'shi 纤维蛇纹石
'xian'wei'she'xian'zhao'xiang'shu 显微射线照相术
'xian'wei'shen'tie'kuang 纤维砷铁矿
'xian'wei'shi 纤维石
'xian'wei'su 纤维素
'xian'wei'xin'kuang 纤维锌矿
'xian'wei'xin'kuang'xing'gou'zao 纤维锌矿型构造
'xian'wei'yan'shi'xue 显微岩石学
'xian'wei'yan'xing'xue 显微岩性学
'xian'wei'yi'xiang'xing 显微异向性
'xian'wei'yin'jing'zhi'gou'zao 显微隐晶质构造
'xian'wei'zhao'xiang'zhuang'zhi 显微照相装置
'xian'wei'zhi'de 纤维质的
'xian'wei'zhuang'de 纤维状的
'xian'xiang'guan 显像管
'xian'xing'de 先行的
'xian'xing'dong'wu'lei 线形动物类
'xian'xing'gou'zao 线型构造
'xian'xing'gui'hua 线性规划
'xian'yang'de 腺样的
'xian'ying'bian 线应变
'xian'you'bi'kuang 纤铀铋矿
'xian'zhao'yan'zhao 咸沼盐沼
'xian'zhi'hu 限制弧
'xian'zhi'yin'zi 限制因子
'xian'zhi'zhe'zhou 限制褶皱
'xian'zhong'jia'fan 纤重钾矾
'xian'zhu'xing'shui'ping 显著性水平
'xian'zhuang'bian'jing'zhi 纤状变晶质
'xian'zhuang'gou'zao 线状构造
'xian'zhuang'guang'pu 线状光谱
'xian'zhuang'ping'xing 线状平行
'xian'zhuang'zhe'zhou 线状褶皱
'xiang'bian 相变
'xiang'cha 详查
'xiang'cha 象差
'xiang'cha'xian'wei'jing 相差显微镜
'xiang'chang'gou'zao 香肠构造
'xiang'chen'du 像衬度
'xiang'dang'zheng'ya'mo'shi 相当正压模式
'xiang'de'bian'hua 相的变化
'xiang'dui'gao'du 相对高度
'xiang'dui'kong'jing 相对孔径
'xiang'dui'nian'du 相对粘度
'xiang'dui'shen'tou'xing 相对渗透性
'xiang'dui'sheng'wu'xiao'lv 相对生物效率
'xiang'dui'shi'dai 相对时代
'xiang'dui'yuan'zi'jia'xiao'guo 相对原子价效果
'xiang'fen'xi 相分析
'xiang'gan'de 相干的
'xiang'gan'xing 相干性
'xiang'guan'tu 相关图
'xiang'guan'xi'shu 相关系数
'xiang'guan'yan'hua'ding'lv 相关演化定律
'xiang'guan'yuan'su 相关元素
'xiang'guang'xing 向光性
'xiang'hu'kuo'san 相互扩散
'xiang'hu'zhuo 相互酌
'xiang'hu'zhuo'neng 相互酌能
'xiang'ji'bian 像畸变
'xiang'jiao 香胶
'xiang'jiao 相角
'xiang'lv 相律
'xiang'pian'pan'du 像片判读
'xiang'ping'heng 相平衡
'xiang'qian'ge'ju 镶嵌格局
'xiang'qian'jie'gou 镶嵌结构
'xiang'qian'li'shi 镶嵌砾石
'xiang'qian'ping'heng 镶嵌平衡
'xiang'qian'zhuang'de 镶嵌状的
'xiang'ri'xing 向日性
'xiang'rong'xing 相容性
'xiang'rong'yuan'su 相容元素
'xiang'shang'nao'qu 向上挠曲
'xiang'si'ti 相似体
'xiang'si'tiao'jian 相似条件
'xiang'si'zhe'zhou 相似褶皱
'xiang'su 像素
'xiang'tu 相图
'xiang'wei 相位
'xiang'wei'bai'dong 相位摆动
'xiang'wei'bu'chang'qi 相位补偿器
'xiang'wei'ce'ding 相位测定
'xiang'wei'cha 相位差
'xiang'wei'chao'qian 相位超前
'xiang'wei'jiao'zheng'qi 相位校正器
'xiang'wei'kong'zhi 相位控制
'xiang'wei'pian'yi 相位偏移
'xiang'wei'pu 相位谱
'xiang'wei'su'du'xiang'su'du 相位速度相速度
'xiang'wei'zhi'hou 相位滞后
'xiang'xi 相系
'xiang'xi'kan'tan 详细勘探
'xiang'xi'pu'cha 详细普查
'xiang'xia'qin'shi 向下侵蚀
'xiang'xian 象限
'xiang'xie 向斜
'xiang'xie'dai 向斜带
'xiang'xie'de 向斜的
'xiang'xie'gu 向斜谷
'xiang'xie'shan 向斜山
'xiang'xie'zhou 向斜轴
'xiang'xin'qing'xie 向心倾斜
'xiang'xin'yuan'su 向心元素
'xiang'xin'zhe'zhou 向心褶皱
'xiang'xin'zhuang'de 向心状的
'xiang'xing 向形
'xiang'yan 响岩
'xiang'yan'zhuang'de 响岩状的
'xiang'yi 相移
'xiang'ying'shi'jian 响应时间
'xiang'yuan'qin'shi 向源侵蚀
'xiang'yuan'tui'ji 向源推积
'xiang'zhuang'zhe'zhou 箱状褶皱
'xiao'ban'kuai 小板块
'xiao'bao'zi 小孢子
'xiao'bao'zi'fa'sheng 小孢子发生
'xiao'bao'zi'nang 小孢子囊
'xiao'bao'zi'ye 小孢子叶
'xiao'bing'qi 小冰期
'xiao'chao 小潮
'xiao'chu'fang'she'xing 消除放射性
'xiao'di'mao 小地貌
'xiao'dong'wu'qun 小动物群
'xiao'duan'ceng 小断层
'xiao'gu 小骨
'xiao'guang'gui'ze 消光规则
'xiao'guang'jiao 消光角
'xiao'guang'wei'zhi 消光位置
'xiao'he 小河
'xiao'hu 小湖
'xiao'hua 消化
'xiao'hua'xi'jun 硝化细菌
'xiao'hua'zhuo 硝化酌
'xiao'jian'duan 小间断
'xiao'jie'li 小节理
'xiao'kong 小孔
'xiao'kou'jing'zuan'jin 小口径钻进
'xiao'kuai 小块
'xiao'kuang'fang 小矿房
'xiao'na'chang'shi'shuang'jing 肖钠长石双晶
'xiao'qi'kong'xing 小气孔性
'xiao'qiu 小丘
'xiao'qu 小区
'xiao'qu 消去
'xiao'qun'luo 小群落
'xiao'rong'qi 消融碛
'xiao'se 消色
'xiao'se'cha 消色差
'xiao'se'cha'tou'jing 消色差透镜
'xiao'se'wu'ti 消色物体
'xiao'shi'dai 消失带
'xiao'shi'xing 消失性
'xiao'suan 硝酸
'xiao'suan'yan 硝酸盐
'xiao'tang 小塘
'xiao'teng'shi 小藤石
'xiao'xi 小溪
'xiao'xing'xing 小行星
'xiao'xuan'hui 小旋回
'xiao'ye 小叶
'xiao'ye'bing 小叶柄
'xiao'ye'de 小叶的
'xiao'yu'pian 小羽片
'xiao'yuan'huan'dai 小圆环带
'xiao'yuan'qiu 小圆丘
'xiao'zhe'qu 小褶曲
'xiao'zhi'wu'qun'luo 小植物群落
'xie'ban'cu'an'yan 斜斑粗安岩
'xie'ban'cu'li'xuan'wu'yan 斜斑粗粒玄武岩
'xie'ban'jing'shi 斜板晶石
'xie'bo'zhen'dang'qi 谐波振荡器
'xie'cao 斜槽
'xie'ceng'li 斜层理
'xie'chang'ban'yan 斜长斑岩
'xie'chang'bo'li 斜长玻璃
'xie'chang'liao'yan 斜长疗岩
'xie'chang'shi 斜长石
'xie'chang'xi'jing'yan 斜长细晶岩
'xie'chang'yan 斜长岩
'xie'dai'sha'dui 鞋带沙堆
'xie'duan'ceng 斜断层
'xie'fa'fei'shi 斜发沸石
'xie'fang'cha 协方差
'xie'fang'dan'zhui'lei 斜方单锥类
'xie'fang'de 斜方的
'xie'fang'fan'shi 斜方矾石
'xie'fang'hui'qian'bi'kuang 斜方辉铅铋矿
'xie'fang'hui'shi 斜方辉石
'xie'fang'hui'yan 斜方辉岩
'xie'fang'jin'hong'shi 斜方金红石
'xie'fang'jing'xi 斜方晶系
'xie'fang'liu'ti'qian'kuang 斜方硫锑铅矿
'xie'fang'lv'tong'xin'kuang 斜方绿铜锌矿
'xie'fang'meng'kuang 斜方锰矿
'xie'fang'shen'gu'kuang 斜方砷钴矿
'xie'fang'shen'nie'kuang 斜方砷镍矿
'xie'fang'shen'qian'kuang 斜方砷铅矿
'xie'fang'shi'er'mian'ti 斜方十二面体
'xie'fang'shuang'zhui'ti'lei 斜方双锥体类
'xie'fang'si'mian'ti'lei 斜方四面体类
'xie'fang'zheng'duo'mian'xiang 斜方正多面像
'xie'fang'zhu 斜方柱
'xie'fang'zhui 斜方锥
'xie'fen'ceng 斜分层
'xie'gai'fei'shi 斜钙沸石
'xie'gao'shi 斜锆石
'xie'gui'gai'shi 斜硅钙石
'xie'he'hu'xing 谐和湖型
'xie'he'zhe'qu 谐和褶曲
'xie'hu 泻湖
'xie'hu'chen'ji 泻湖沉积
'xie'hu'de 写湖的
'xie'hua'duan'ceng 斜滑断层
'xie'hui'shi 斜辉石
'xie'jiao'bu'zheng'he 斜交不整合
'xie'jie 斜接
'xie'jie'li 斜节理
'xie'jing 斜井
'xie'jing'shi 斜晶石
'xie'kuang'ceng 斜矿层
'xie'li'yan 泻利盐
'xie'lian'shi 斜帘石
'xie'lie'shi'kuang'mai 斜列式矿脉
'xie'lin'lv'you'kuang 斜磷铝铀矿
'xie'lin'meng'kuang 斜磷锰矿
'xie'liu'ti'qian'kuang 斜硫锑铅矿
'xie'lv'ni'shi 斜绿泥石
'xie'meng'zhen'na'gai'shi 斜锰针钠钙石
'xie'ni'cu'mian'yan'lei 斜霓粗面岩类
'xie'po'shuang'jing 斜坡双晶
'xie'qiang'lv'qian'kuang 斜羟氯铅矿
'xie'shan'huang'yan 斜闪煌岩
'xie'she'tou'ying 斜射投影
'xie'shi 榍石
'xie'tie'hui'shi 斜铁辉石
'xie'tou'ying 斜投影
'xie'wan'hui'shi 斜顽辉石
'xie'wo'zhe'zhou 斜卧褶皱
'xie'wu'qian'kuang 斜钨铅矿
'xie'xiang'he 斜向河
'xie'xiao'guang 斜消光
'xie'xie'shi 斜楔石
'xie'xing'ti'zhu'cun 楔形体贮存
'xie'yi 协议
'xie'zhou 斜轴
'xie'zhou'mian 斜轴面
'xie'zhou'po'mian 斜轴坡面
'xie'zhou'zhui 斜轴锥
'xie'zhuang 楔状
'xin'bian'zhi'zhuo 新变质酌
'xin'bing'qi 新冰期
'xin'di'san'ji 新第三纪
'xin'fan 锌矾
'xin'gou'zao'dan'yuan 新构造单元
'xin'gou'zao'qi 新构造期
'xin'gou'zao'xue 新构造学
'xin'hao'dian'ping 信号电平
'xin'hei'chen'sha 锌黑辰砂
'xin'hei'meng'kuang 锌黑锰矿
'xin'huang'chang'shi 锌黄长石
'xin'huang'xi'kuang 锌黄锡矿
'xin'jian'jing'shi 锌尖晶石
'xin'kuang'chuang 锌矿床
'xin'mao 锌茂
'xin'meng'gan'ji 锌锰橄集
'xin'meng'hui'shi 锌锰辉石
'xin'meng'tuo'shi 锌蒙脱石
'xin'mo 新模
'xin'quan'qiu'gou'zao'xue 新全球构造学
'xin're'dai'qu 新热带区
'xin'ru'shi 锌乳石
'xin'sheng'cheng'yin 新生成因
'xin'sheng'dai 新生代
'xin'sheng'shi'di'cao 新生式地槽
'xin'sheng'zhi'wu'dai 新生植物代
'xin'shi 新石
'xin'shi'jie 新世界
'xin'shi'piao'dai 新石票代
'xin'shui'lv'fan 锌水绿矾
'xin'tie'huang'chang'shi 锌铁黄长石
'xin'tie'jian'jing'shi 锌铁尖晶石
'xin'tong'fan 锌铜矾
'xin'tong'kuang 锌铜矿
'xin'tu 心土
'xin'xi'lun 信息论
'xin'xian'cu'bo'yan 新鲜粗玻岩
'xin'xing'ye'de 心形叶的
'xin'yue'xing'sha'qiu 新月形砂丘
'xin'yue'xing'zhu'xing 新月形铸型
'xing'cai'hong'bao'shi 星彩红宝石
'xing'cai'lan'bao'shi 星彩蓝宝石
'xing'cheng're 形成热
'xing'duan'lie'ti'xi 型断裂体系
'xing'ji'hua'ju 形迹滑距
'xing'ji'wu'zhi 星际物质
'xing'ren'kong 杏仁孔
'xing'ren'yan 杏仁岩
'xing'ren'zhuang'de 杏仁状的
'xing'ren'zhuang'gou'zao 杏仁状构造
'xing'shi'ying 星石英
'xing'tai'fen'xi 形态分析
'xing'tai'feng'hua 形态风化
'xing'tai'han'shu 形态函数
'xing'tai'jie'jing'xue 形态结晶学
'xing'tai'miao'hui'tu 形态描绘图
'xing'tai'miao'hui'xue 形态描绘学
'xing'tai'xue 形态学
'xing'tai'yin'zi 形态因子
'xing'tai'zu'gou 形态组构
'xing'xing 行星
'xing'xing'di'zhi'xue 行星地质学
'xing'xing'ji'dao'hang 行星际导航
'xing'xing'jian'wu'zhi 行星间物质
'xing'ye'shi 星叶石
'xing'zhi 形质
'xing'zhuang'zhong'zhu 星状中柱
'xing'zi'jia'shuo 星子假说
'xiong'kuo 胸廓
'xiong'rui 雄蕊
'xiu'bao'zi 锈孢子
'xiu'huo'shan 休火山
'xiu'mian'duan'ceng 休眠断层
'xiu'yin'kuang 溴银矿
'xiu'zheng'jiao'zheng 修正校正
'xiu'zhi'jiao 休止角
'xu'ke'ying'li 许可应力
'xu'ning 絮凝
'xu'qi'sheng'wu 需气生物
'xu'shui'chi 蓄水池
'xu'shui'liang 蓄水量
'xu'shui'liang 需水量
'xu'wen 虚温
'xu'yang'liang 需氧量
'xu'zu 虚足
'xuan'bing'chuan 悬冰川
'xuan'bo'xing'ren'ti 玄玻杏仁体
'xuan'chui'he'liu'xuan'chui'hui'liu 悬垂合流悬垂汇流
'xuan'feng 旋风
'xuan'fu'bei'shao'lu 悬浮焙烧炉
'xuan'fu'sha 悬浮砂
'xuan'fu'zhi 悬浮质
'xuan'gu 悬谷
'xuan'gua'jia 悬挂架
'xuan'guang'xing 旋光性
'xuan'hui 旋回
'xuan'hui'ceng 旋回层
'xuan'hui'de'zhong'duan 旋回的中断
'xuan'hui'mian 旋回面
'xuan'hui'po'sui'ji 旋回破碎机
'xuan'juan'gou'zao 旋卷构造
'xuan'juan'wen'li 旋卷纹理
'xuan'kuang 选矿
'xuan'kuang'bi 选矿比
'xuan'kuang'chang 选矿厂
'xuan'kuang'liao'tu 选矿撂图
'xuan'lin'ji'ji 旋林级机
'xuan'mei 选煤
'xuan'shan'shi 玄闪石
'xuan'tong'fang'da'qi 选通放大器
'xuan'tong'mai'chong 选通脉冲
'xuan'tu 玄土
'xuan'wu'an'shan'yan 玄武安山岩
'xuan'wu'bo'li 玄武玻璃
'xuan'wu'hui'shi 玄武辉石
'xuan'wu'qiu'ke'de 玄武球颗的
'xuan'wu'yan 玄武岩
'xuan'wu'yan'ceng 玄武岩层
'xuan'wu'yan'de 玄武岩的
'xuan'wu'yan'gou'zao 玄武岩构造
'xuan'wu'yan'ji'ceng 玄武岩基层
'xuan'wu'yan'jiang 玄武岩浆
'xuan'wu'yan'lei 玄武岩类
'xuan'wu'yan'liu'hui'yan'zhuan'hua 玄武岩榴辉岩转化
'xuan'wu'zhi'ning'hui'yan 玄武质凝灰岩
'xuan'xing 选型
'xuan'ya 悬崖
'xuan'ya'bing'chuan 悬崖冰川
'xuan'yi 悬移
'xuan'ze 选择
'xuan'ze'bian'zhi 选择变质
'xuan'ze'feng'hua 选择风化
'xuan'ze'ga'ma'ga'ma'ce'jing 选择伽马伽马测井
'xuan'ze'qin'shi 选择侵蚀
'xuan'ze'ti 选择体
'xuan'ze'xi'shou 选择吸收
'xuan'ze'xing 选择性
'xuan'ze'zhi'huan 选择置换
'xuan'zhe'shui 悬着水
'xuan'zhuan 旋转
'xuan'zhuan'bian'xing 旋转变形
'xuan'zhuan'duan'ceng 旋转断层
'xuan'zhuan'jing'li 旋转晶粒
'xuan'zhuan'jing'ti'fa 旋转晶体法
'xuan'zhuan'lin'ji 旋转临计
'xuan'zhuan'lv'qi 旋转滤器
'xuan'zhuan'shi'zuan'tou 旋转式钻头
'xuan'zhuan'shuang'jing 旋转双晶
'xuan'zhuan'tai 旋转台
'xuan'zhuan'zhou 旋转轴
'xuan'zhuan'zuan'ji 旋转钻机
'xue'beng 雪崩
'xue'dai 雪带
'xue'di'shi 血滴石
'xue'gui'gai'shi 雪硅钙石
'xue'hua'shi'gao 雪花石膏
'xue'ju'ren 穴居人
'xue'mi'du 雪密度
'xue'ming 学名
'xue'ni 雪泥
'xue'shi'zhuo 雪蚀酌
'xue'song'lin 雪松林
'xun'huan 循环
'xun'huan'ni'jiang 循环泥桨
'xun'huan'shui 循环水
'xun'huan'yuan'su 循环元素
'xun'xing'huo'shan 循形火山
'xun'zhuang'shi 蕈状石
'ya'bian'gou'zao 压扁构造
'ya'bian'mian 压扁面
'ya'bian'zhuang'de 压扁状的
'ya'bian'zhuo 压扁酌
'ya'bing'qi 亚冰期
'ya'ceng 哑层
'ya'chao'dai 亚潮带
'ya'di'qu 亚地区
'ya'dian'di'zhen'jian'bo'qi 压电地震检波器
'ya'dian'xing 压电性
'ya'er'bo'si'deng'ji'tou'ying 亚尔勃斯等积投影
'ya'gang 亚纲
'ya'gao'shan'dai 亚高山带
'ya'gong'jing 亚共晶
'ya'gu'xiang'xian 亚固相线
'ya'han'dai 亚寒带
'ya'hua'shi 亚化石
'ya'hui'lv'gou'zao 亚辉绿构造
'ya'jiang 压降
'ya'jie 亚阶
'ya'jie 亚界
'ya'jie'jing 压结晶
'ya'ke 亚科
'ya'li'chong'hua 压力冲花
'ya'li'feng'bi 压力封闭
'ya'li'hua'xue 压力化学
'ya'li'ji 压力计
'ya'li'qi 压力器
'ya'li'shou'gan'zhuang'zhi 压力受感装置
'ya'li'ying 压力影
'ya'li'zhong'xin 压力中心
'ya'ling'jing 哑铃晶
'ya'liu'suan'yan 亚硫酸盐
'ya'lun'zuan'tou 牙轮钻头
'ya'men 亚门
'ya'mu 亚目
'ya'qiu 芽球
'ya're'dai'chang'lv'lin 亚热带常绿林
'ya're'dai'qi'hou 亚热带气候
'ya're'dai'zhi'bei 亚热带植被
'ya're'qi'gao'ya'guo 压热器高压锅
'ya'sheng'su 亚声速
'ya'sheng'yu'ci'hua 压剩余磁化
'ya'shu 亚属
'ya'sui 轧碎
'ya'sui'jiao'li'yan 压碎角砾岩
'ya'sui'jie'gou 压碎结构
'ya'sui'li'shi 压碎砾石
'ya'sui'shi 压碎石
'ya'suo 压缩
'ya'suo'bo 压缩波
'ya'suo'du'ce'ding'de 压缩度测定的
'ya'suo'hu 压缩弧
'ya'suo'ji'bo 压缩激波
'ya'suo'jie'gou'mian 压缩结构面
'ya'suo'shi'yan 压缩试验
'ya'suo'xi'shu 压缩系数
'ya'tie'qing'hua'jia 亚铁氰化钾
'ya'tie'yang'hua'wu 亚铁氧化物
'ya'tou 压头
'ya'tou'sun'shi 压头损失
'ya'wen'xiang'gou'zao 亚文象构造
'ya'wu'yan'mei 亚无烟煤
'ya'xiang 亚相
'ya'xiao'suan 亚硝酸
'ya'xiao'suan'yan 亚硝酸盐
'ya'xing'hua'shi 牙形化石
'ya'xing'shen'duan'lie 压性深断裂
'ya'yan'mei 亚烟煤
'ya'ying'li 压应力
'ya'za'sha'yan 亚杂砂岩
'ya'zhi 牙质
'ya'zhong 亚种
'ya'zhong'wen'kuang'chuang 亚中温矿床
'yan'an'chen'ji 沿岸沉积
'yan'an'chen'ji'wu 沿岸沉积物
'yan'an'chen'ji'wu'liu'yan'an'piao'yi 沿岸沉积物流沿岸漂移
'yan'an'liu'an'liu 沿岸流岸流
'yan'ban'zhuang'de 眼班状的
'yan'beng 岩崩
'yan'beng'jiao'li'yan 岩崩角砾岩
'yan'bin'chen'ji 沿滨沉积
'yan'ceng 岩层
'yan'ceng'yi'dong 岩层移动
'yan'chang 延长
'yan'chang'duan'lie 延长断裂
'yan'chang'jie'li 延长节理
'yan'chi'ru'bian 延迟蠕变
'yan'chong'ti 掩冲体
'yan'dong 岩洞
'yan'dou'ni 烟斗泥
'yan'du 盐度
'yan'fen 岩粉
'yan'fen'mi 盐分泌
'yan'fen'ping'heng 盐分平衡
'yan'fen'tu 岩粉土
'yan'gai'zhi'wu 厌钙植物
'yan'gou 岩沟
'yan'gou'zao 盐构造
'yan'gu'guan 咽鼓管
'yan'hai 岩海
'yan'hang'kuang'mai 雁行矿脉
'yan'hang'shi'gou'zao 雁行式构造
'yan'hang'shi'zhang'jie'li 雁行式张节理
'yan'he'quan 沿河泉
'yan'hu 盐湖
'yan'hu'kuang'chuang 盐湖矿床
'yan'hua 岩化
'yan'hua 岩滑
'yan'hua'cao'yuan 盐化草原
'yan'hua'qiao 演化瞧
'yan'hua'zhuo 盐化酌
'yan'huan'pian'ma'yan 眼环片麻岩
'yan'ji 岩脊
'yan'ji 岩基
'yan'ji'dai'huan 盐基代换
'yan'ji'jiao'huan'rong'liang 盐基交换容量
'yan'ji'jie'li 岩基节理
'yan'jian'tan 盐碱滩
'yan'jiang 岩浆
'yan'jiang'bian'zhi 岩浆变质
'yan'jiang'cheng'kuang'zhuo 岩浆成矿酌
'yan'jiang'cheng'yin'de 岩浆成因的
'yan'jiang'chu'yuan 岩浆储源
'yan'jiang'de 岩浆的
'yan'jiang'de'tong'hua'zhuo 岩浆的同化酌
'yan'jiang'fen'jie'zhuo 岩浆分结酌
'yan'jiang'fen'lie 岩浆分裂
'yan'jiang'fen'yi 岩浆分异
'yan'jiang'hou'qi 岩浆后期
'yan'jiang'jian'zao 岩浆建造
'yan'jiang'nei'kuang'chuang 岩浆内矿床
'yan'jiang'qi'hou'kuang'chuang 岩浆期后矿床
'yan'jiang'sheng'shi 岩浆升蚀
'yan'jiang'shui 岩浆水
'yan'jiang'tong'hua'zhuo 岩浆同化酌
'yan'jiang'tong'zhi'de 岩浆同质的
'yan'jiang'xue 岩浆学
'yan'jiang'yan 岩浆岩
'yan'jiang'yan'hua 岩浆演化
'yan'jiang'yuan'de 岩浆缘的
'yan'jiang'zhu 岩浆柱
'yan'jie'pi 盐结皮
'yan'jing 岩颈
'yan'jing 岩精
'yan'jing 烟晶
'yan'lie'shi'de 雁列式的
'yan'liu 岩柳
'yan'liu 岩瘤
'yan'mai 岩脉
'yan'mai'gu 掩埋谷
'yan'mei 烟煤
'yan'mei 焰煤
'yan'pan 岩盘
'yan'pan'shan 岩盘山
'yan'pen 岩盆
'yan'qi'wei'sheng'wu 厌气微生物
'yan'qiu 盐丘
'yan'qiu'you'cang 盐丘油藏
'yan'qu 岩区
'yan'quan 盐泉
'yan'quan'duan'lie 岩圈断裂
'yan'rong 岩溶
'yan'rong'bo'shi'mian 岩溶剥蚀面
'yan'rong'di 岩溶地
'yan'rong'di'mao 岩溶地貌
'yan'rong'di'shi 岩溶地势
'yan'rong'hong'se'tu 岩溶红色土
'yan'rong'jing'guan 岩溶景观
'yan'rong'xuan'hui 岩溶旋回
'yan'rong'zhuo 岩溶酌
'yan'se'fan'ying 焰色反应
'yan'she 衍射
'yan'she 岩舌
'yan'she'guang'shan 衍射光栅
'yan'she'qi 衍射器
'yan'she'quan 衍射圈
'yan'she'qun 衍射群
'yan'shen 延伸
'yan'sheng'zhi'bei 盐生植被
'yan'sheng'zhi'wu 岩生植物
'yan'shi 岩石
'yan'shi 延时
'yan'shi'can'yu'ying'li 岩石残余应力
'yan'shi'ceng'yan'kuai 岩石层岩块
'yan'shi'chen'tu 岩石尘土
'yan'shi'cheng'yin 岩石成因
'yan'shi'cheng'yin'lun 岩石成因论
'yan'shi'cheng'yin'mo'xing 岩石成因模型
'yan'shi'cheng'yin'xue 岩石成因学
'yan'shi'ci'hua 岩石磁化
'yan'shi'ci'xing 岩石磁性
'yan'shi'de'ke'zuan'xing 岩石的可钻性
'yan'shi'de'nian'xing 岩石的粘性
'yan'shi'de'yan'mo'xing 岩石的研磨性
'yan'shi'di'ceng'xue 岩石地层学
'yan'shi'di'mao'xue 岩石地貌学
'yan'shi'di'qiu'hua'xue 岩石地球化学
'yan'shi'feng'hua 岩石风化
'yan'shi'gou'zao'xue 岩石构造学
'yan'shi'hai'an 岩石海岸
'yan'shi'hua'xue 岩石化学
'yan'shi'hua'xue'de'qiu 岩石化学的球
'yan'shi'ji'he'xue 岩石几何学
'yan'shi'jiao'jie'zhuo 岩石胶结酌
'yan'shi'jie'di 岩石阶地
'yan'shi'jie'gou 岩石结构
'yan'shi'jing'ya'li 岩石静压力
'yan'shi'ke'cai'xing 岩石可采性
'yan'shi'ke'zuan'xing 岩石可钻性
'yan'shi'kuang'wu'xue 岩石矿物学
'yan'shi'li'qing 岩石沥青
'yan'shi'li'xue 岩石力学
'yan'shi'lie'xi'dai 岩石裂隙带
'yan'shi'po'huai 岩石破坏
'yan'shi'quan 岩石圈
'yan'shi'quan'di'qiu'hua'xue 岩石圈地球化学
'yan'shi're'dao'lv 岩石热导率
'yan'shi're'kuo'san'lv 岩石热扩散率
'yan'shi'ru'dong 岩石蠕动
'yan'shi'tu'chu 岩石突出
'yan'shi'wu'li'xue 岩石物理学
'yan'shi'xi'tong 岩石系统
'yan'shi'xian'wei'jing 岩石显微镜
'yan'shi'xing'tai'xue'gou'zao'yan'shi'xue 岩石形态学构造岩石学
'yan'shi'xue 岩石学
'yan'shi'xue'zhe 岩石学者
'yan'shi'ya'li 岩石压力
'yan'shi'ying'du'bi 岩石硬度比
'yan'shi'zu'gou'jie'xi 岩石组构解析
'yan'shuan 岩栓
'yan'shui 盐水
'yan'shui'cheng'ceng 盐水成层
'yan'shui'ni'jiang 盐水泥浆
'yan'ti 演替
'yan'ti'ding'ji 演替顶极
'yan'tu 盐土
'yan'tu'cao'yuan 盐土草原
'yan'wei'shuang'jing 燕尾双晶
'yan'wen'ji 验温计
'yan'xi 岩席
'yan'xi 岩系
'yan'xiang 岩相
'yan'xiang'tu 岩相图
'yan'xiang'xiang'guan'lv 岩相相关律
'yan'xie 岩屑
'yan'xie 岩楔
'yan'xie'dui'ji 岩屑堆积
'yan'xie'shan 岩屑扇
'yan'xie'tu 岩屑土
'yan'xie'xia'hua 岩屑下滑
'yan'xin 岩心
'yan'xin'cai'qu'lv 岩心采取率
'yan'xin'fen'xi 岩心分析
'yan'xin'guan 岩心管
'yan'xin'shi'yang 岩心试样
'yan'xin'ti'qu'qi 岩心提取器
'yan'xin'zhao 岩心爪
'yan'xin'zuan 岩心钻
'yan'xin'zuan'jin 岩心钻进
'yan'xin'zuan'tou 岩心钻头
'yan'xing 岩性
'yan'xing'tu 岩性图
'yan'xing'xue 岩性学
'yan'yan 岩盐
'yan'ye'mi'du'ji 盐液密度计
'yan'ying 岩硬
'yan'zhi 岩枝
'yan'zhong 岩钟
'yan'zhu 岩柱
'yan'zhu 岩株
'yan'zhuang'de 岩状的
'yan'zhuang'de 焰状的
'yan'zhuang'gou'zao 眼状构造
'yan'zhui 岩锥
'yan'zu'fen'xi 岩组分析
'yan'zu'xue 岩组学
'yang'ben'ping'jun'zhi'yu'fang'cha 样本平均值与方差
'yang'bin'shi'hui'huang'sha'yan 洋滨石灰簧砂岩
'yang'ce'jing 氧测井
'yang'chong 仰冲
'yang'chong'ban'kuai 仰冲板块
'yang'chong'dai 仰冲带
'yang'chu'ye 养畜业
'yang'de'xun'huan 氧的循环
'yang'di 洋底
'yang'di'duan'lie'dai 洋底断裂带
'yang'dian'xing'yuan'su 阳电性元素
'yang'dian'zi 阳电子
'yang'fen 养分
'yang'fen'ya'li 氧分压力
'yang'hua 氧化
'yang'hua'bei'shao 氧化焙烧
'yang'hua'chen'ji'wu 氧化沉积物
'yang'hua'dai 氧化带
'yang'hua'huan'yuan'guo'cheng 氧化还原过程
'yang'hua'huan'yuan'ping'heng 氧化还原平衡
'yang'hua'huan'yuan'shi 氧化还原势
'yang'hua'huan'yuan'xi 氧化还原系
'yang'hua'huan'yuan'xun'huan 氧化还原循环
'yang'hua'kuang'shi 氧化矿石
