'an'fa'zhi'zhi'er'zeng'ju 按法治之而增剧
'wei'zhe'wei'qi'shu 微者卫气疏
'wei'zhe'wei'qi'shuai 微者卫气衰
'wei'zhi'bu'tong 为治不同
'wei'zhi'cong'he'dao'chu 未知从何道出
'wei'zhi'nai'wu 为治乃误
'wei'zhi'shang'han'ye 谓之伤寒也
'wei'zhi'shi'si'mei'zhi 味枳实四枚炙
'wei'zhi'zhe 未止者
'wei'zhong'bi'you'zao'shi'wu'liu'mei'ye 胃中必有燥屎五六枚也
'wei'zhong'bu'he 胃中不和
'wei'zhong'fan're 胃中烦热
'wei'zhong'gan 胃中干
'wei'zhong'gan'zao 胃中干燥
'wei'zhong'han'leng'gu'ye 胃中寒冷故也
'wei'zhong'kong'xu 胃中空虚
'wei'zhong'leng 胃中冷
'wei'zhong'shui'jie 胃中水竭
'wei'zhong'wei'zhuo 胃中为浊
'wei'zhong'xu'leng 胃中虚冷
'wei'zhong'xu'leng'gu'ye 胃中虚冷故也
'wei'zhong'you'xie'qi 胃中有邪气
'wei'zhong'you'zao'shi'zhe'ke'gong 胃中有燥屎者可攻
'wei'zhong'zao 胃中燥
'wei'zhong'zao'fan'shi 胃中燥烦实
'wei'zi'he'ye 为自和也
'wei'zi'tiao'ji 为子条记
'wei'zi'wen 微自温
'wen'bing'zhe'yan 问病者言
'wen'du'wei'bing'zui'zhong'ye 温毒为病最重也
'wen'dun'fu'zhi 温顿服之
'wen'fen'liu'fu 温分六服
'wen'fen'pu'zhi 温粉扑之
'wen'fen'wu'fu 温分五服
'wen'fen'zai'fu 温分再服
'wen'fu 温服
'wen'fu'ba'he 温服八合
'wen'fu'ling'yi'shi'xu 温覆令一时许
'wen'fu'lu'he 温服六合
'wen'fu'qi'he 温服七合
'wen'fu'qu'wei'han'yu 温复取微汗愈
'wen'fu'yi'sheng 温服一升
'wen'fu'zhi 温服之
'wen'ge'san'fang 文蛤散方
'wen'ge'wu'liang 文蛤五两
'wen'jin'yi'fu 温进一服
'wen'li'si'ni'tang 温里四逆汤
'wen'shi'dao 闻师到
'wo'qian'lai'bu'jian'ci'zheng 我前来不见此证
'wo'ze'yu'quan 卧则欲蜷
'wu'biao'li'zheng 无表里证
'wu'biao'zheng 无表证
'wu'biao'zheng'zhe 无表证者
'wu'bing'ye 无病也
'wu'bu'xiao'ye 无不效也
'wu'cang'liu'fu'xiang'cheng'gu'ling'shi'yi 五藏六府相乘故令十一
'wu'da're 无大热
'wu'da're'zhe 无大热者
'wu'fa'jie'yi'bei 勿发揭衣被
'wu'fan'wei'qi'ji'shang'er'jiao 无犯胃气及上二焦
'wu'fu'zhi 勿服之
'wu'geng'yu'zhi 勿更与之
'wu'han 无汗
'wu'han'er'chuan'zhe 无汗而喘者
'wu'ji'yi'ye 勿极意也
'wu'ling'da'xie'xia 勿令大泄下
'wu'ling'san 五苓散
'wu'ling'san'fang 五苓散方
'wu'ling'san'zhu'zhi 五苓散主之
'wu'ling'wu'ye 勿令误也
'wu'liu'ri 五六日
'wu'mei'san'bai'ge 乌梅三百个
'wu'mei'wan'fang 乌梅丸方
'wu'mei'wan'zhu'zhi 乌梅丸主之
'wu're'e'han'zhe 无热恶寒者
'wu're'zheng'zhe 无热证者
'wu'shao'yin'zheng'zhe 无少阴证者
'wu'suo'fu'chuan 无所复传
'wu'suo'ku'ye 无所苦也
'wu'tai'yang'chai'hu'zheng 无太阳柴胡证
'wu'tang'zhe 无汤者
'wu'wang'zhi'ye 勿妄治也
'wu'wei'zi'ban'sheng 五味子半升
'wu'xing'gang'rou 物性刚柔
'wu'xiu'zhi'shi 无休止时
'wu'yang'yin'qiang 无阳阴强
'wu'yang'ze'yin'du 无阳则阴独
'wu'ye'zhu'xia 五液注下
'wu'yu'zheng'zhe 无余证者
'wu'yue'liu'yue 五月六月
'wu'yue'zhi'shi 五月之时
'wu'zan'an'shi'zhe 无暂安时者
'wu'zhi'zhi 勿治之
'wu'zhu'yu'er'sheng 吴茱萸二升
'wu'zhu'yu'tang'fang 吴茱萸汤方
'wu'zhu'yu'tang'zhu'zhi 吴茱萸汤主之
'wu'zhu'yu'yi'sheng'xi 吴茱萸一升洗
'xi'bu'jian'mai 悉不见脉
'xi'fang'fei'mai 西方肺脉
'xi'gao'zhe 息高者
'xi'jing'ju'ji'zhe 膝胫拘急者
'xi'ju'zai'zhi 悉具载之
'xi'qu'xian'yi'shang'ge'deng'fen 洗去咸以上各等分
'xi'ru'zai'li 悉入在里
'xi'she'ben 系舌本
'xi'tuo 喜唾
'xi'wei'zheng'yang 翕为正阳
'xi'xi'e'feng 淅淅恶风
'xi'xi'fa're 翕翕发热
'xi'xi'han'chu 翕翕汗出
'xi'xi'ru'you're'zhuang 翕翕如有热状
'xi'xin'er'liang 细辛二两
'xi'xin'gan'jiang'ge'yi'liang 细辛干姜各一两
'xi'xin'liu'liang 细辛六两
'xi'xin'san'liang 细辛三两
'xi'yan'chen 翕奄沉
'xi'zai'tai'yin 系在太阴
'xia'bi'sun'xie 夏必飧泄
'xia'bu'mai'bu'zhi 下部脉不至
'xia'chi 下豉
'xia'duo'zhe 下多者
'xia'gong'mai'er'zhi'zhi 下工脉而知之
'xia'hou 下后
'xia'huo 下火
'xia'huo'ling'xiao'leng 下火令小冷
'xia'jiao'bu'gui'zhe 下焦不归者
'xia'jiao'bu'he 下焦不阖
'xia'jie'zhi 下解之
'xia'li 下利
'xia'li 下痢
'xia'li'bi'zi'zhi 下利必自止
'xia'li'bian'nong'xue'zhe 下利便脓血者
'xia'li'bian'nong'xue'zhe 下痢便脓血者
'xia'li'bu'zhi 下利不止
'xia'li'bu'zhi'bian'nong'xue'zhe 下利不止便脓血者
'xia'li'cha'hou 下利差后
'xia'li'hou 下利后
'xia'li'hou'geng'fan 下利后更烦
'xia'li'hou'mai'jue 下利后脉绝
'xia'li'liu'qi'ri 下利六七日
'xia'li'mai'wei'zhe 下利脉微者
'xia'li'qing'gu 下利清谷
'xia'li'qing'gu'zhe 下利清谷者
'xia'li'ri'shi'yu'xing 下利日十余行
'xia'li'ri'shu'shi'hang 下利日数十行
'xia'li'zhe 下利者
'xia'li'zhe'yi'si 下利者亦死
'xia'li'zhi'er'tou'xuan 下利止而头眩
'xia'li'zhi'shen 下利至甚
'xia'mai'lei'lei 夏脉累累
'xia'qi'shu're 夏气暑热
'xia'shang'yu'shu 夏伤于暑
'xia'shi'ying'da're 夏时应大热
'xia'wei'ben'da'zhe 下微本大者
'xia'xu'gu'ye 下虚故也
'xia'xue'nai'yu 下血乃愈
'xia'xue'zhan'yu'zhe 下血谵语者
'xia'yue'sheng're 夏月盛热
'xia'zhe'yu 下者愈
'xia'zhi 下之
'xia'zhi'er'bu'de'li 下之而不得利
'xia'zhi'er'jie 下之而解
'xia'zhi'hou 下之后
'xia'zhi'li'bu'zhi 下之利不止
'xia'zhi'nai'yu 下之乃愈
'xia'zhi'ruo'zao 下之若早
'xia'zhi'si 下之死
'xia'zhi'wei'chuan'zhe 下之微喘者
'xia'zhi'wei'ni 下之为逆
'xia'zhi'yi'fan 下之益烦
'xia'zhi'yu'da'cheng'qi'tang 下之与大承气汤
'xia'zhi'ze'bi'fan 下之则必烦
'xia'zhi'ze'bi'qing'gu'fu'man 下之则必清谷腹满
'xia'zhi'ze'da'ke 下之则大渴
'xia'zhi'ze'duan'qi 下之则短气
'xia'zhi'ze'e'shang'sheng'han 下之则额上生汗
'xia'zhi'ze'fa'wei're 下之则发微热
'xia'zhi'ze'fu'nei'ju'ji 下之则腹内拘急
'xia'zhi'ze'fu'zhang'man 下之则腹胀满
'xia'zhi'ze'he 下之则和
'xia'zhi'ze'jin'ye'nei'jie 下之则津液内竭
'xia'zhi'ze'ke'zhi 下之则咳止
'xia'zhi'ze'shang'qing'xia'zhong 下之则上轻下重
'xia'zhi'ze'si 下之则死
'xia'zhi'ze'xin'xia'pi'ying 下之则心下痞硬
'xia'zhi'ze'ying 下之则硬
'xia'zhi'ze'yu 下之则愈
'xia'zhi'ze'zhang'wo're'fan 下之则掌握热烦
'xia'zhi'zhi'hou 夏至之后
'xia'zhong'ye 下重也
'xian'ci'feng'chi'feng'fu 先刺风池风府
'xian'ci'shi 先此时
'xian'fa'han'bu'jie 先发汗不解
'xian'fan'zai'shang 弦反在上
'xian'han'chu'er'jie 先汗出而解
'xian'qi'shi'fa'han'ze'yu 先其时发汗则愈
'xian'shi'wen'fu'wu'he 先食温服五合
'xian'shi'yin 先食饮
'xian'wei'yang'yun 弦为阳运
'xian'wen'qi'li 先温其里
'xian'xia'zhi'er'bu'yu 先下之而不愈
'xian'xiao'chai'hu'tang'yi'jie'wai 先小柴胡汤以解外
'xian'yi'shui'wu'sheng 先以水五升
'xian'yu'xiao'chai'hu'tang 先与小柴胡汤
'xian'yu'xiao'jian'zhong'tang 先与小建中汤
'xian'ze'wei'jian 弦则为减
'xian'zhe'zhuang'ru'gong'xian 弦者状如弓弦
'xian'zhi'shui 先治水
'xian'zhu'ba'wei 先煮八味
'xian'zhu'da'huang 先煮大黄
'xian'zhu'da'zao'fei'zhe'shi'mei 先煮大枣肥者十枚
'xian'zhu'er'wu 先煮二物
'xian'zhu'fu'ling 先煮茯苓
'xian'zhu'ge'gen 先煮葛根
'xian'zhu'ge'gen'ma'huang 先煮葛根麻黄
'xian'zhu'gua'lou 先煮栝蒌
'xian'zhu'ma'huang 先煮麻黄
'xian'zhu'ma'huang'ge'gen 先煮麻黄葛根
'xian'zhu'ma'huang'yi'er'fei 先煮麻黄一二沸
'xian'zhu'ma'huang'yi'liang'fei 先煮麻黄一两沸
'xian'zhu'san'wu 先煮三物
'xian'zhu'shu'qi 先煮蜀漆
'xian'zhu'si'wei 先煮四味
'xian'zhu'yin'chen 先煮茵陈
'xian'zhu'zhi'zi 先煮栀子
'xiang'bei'qian'li 相背千里
'xiang'bei'qiang'ji'ji 项背强几几
'xiang'bei'qiang'ji'ji'zhe 项背强几几者
'xiang'bu'qiang 项不强
'xiang'chi'si'he'mian'guo 香豉四合绵裹
'xiang'dong'da'han 向冬大寒
'xiang'er'qu'zhi 详而取之
'xiang'qu'ru'chui'san'dou'mi'qing 相去如炊三斗米顷
'xiang'xia'da're 向夏大热
'xiang'yi'qiang 项亦强
'xiao'bian'bai'zhe 小便白者
'xiao'bian'bi'nan 小便必难
'xiao'bian'bu'li 小便不利
'xiao'bian'bu'li'ye 小便不利也
'xiao'bian'bu'li'zhe 小便不利者
'xiao'bian'chi'huang 小便赤黄
'xiao'bian'dang'chi'er'nan 小便当赤而难
'xiao'bian'dang'li 小便当利
'xiao'bian'dang'shu'er'fan'bu'shu'ji'bu'duo 小便当数而反不数及不多
'xiao'bian'fan'bu'li 小便反不利
'xiao'bian'fu'li 小便复利
'xiao'bian'fu'li'er'da'han'chu 小便复利而大汗出
'xiao'bian'ji'li 小便即利
'xiao'bian'li 小便利
'xiao'bian'li'zhe 小便利者
'xiao'bian'lin'li 小便淋沥
'xiao'bian'nan 小便难
'xiao'bian'nan'zhe 小便难者
'xiao'bian'niao'xie'ye 小便尿血也
'xiao'bian'shao'zhe 小便少者
'xiao'bian'shu 小便数
'xiao'bian'shu'zhe 小便数者
'xiao'bian'wei'wei'nan 小便为微难
'xiao'bian'yi 小便已
'xiao'bian'zi'ke 小便自可
'xiao'bian'zi'li 小便自利
'xiao'bian'zi'li'zhe 小便自利者
'xiao'chai'hu'tang'fang 小柴胡汤方
'xiao'chai'hu'tang'zhu'zhi 小柴胡汤主之
'xiao'cheng'qi'tang 小承气汤
'xiao'cheng'qi'tang'fang 小承气汤方
'xiao'cheng'qi'tang'zhu'zhi 小承气汤主之
'xiao'dou'yi'fen 小豆一分
'xiao'er'nv'zi 小儿女子
'xiao'fan'zhe 小烦者
'xiao'fu'man 小腹满
'xiao'fu'shen'ying 小腹甚硬
'xiao'jian'zhong'tang'fang 小建中汤方
'xiao'jian'zhong'tang'zhu'zhi 小建中汤主之
'xiao'jie 消解
'xiao'jie'xiong'bing 小结胸病
'xiao'ke 消渴
'xiao'ke'zhe 小渴者
'xiao'leng 小冷
'xiao'qing'long'tang'fang 小青龙汤方
'xiao'qing'long'tang'zhu'zhi 小青龙汤主之
'xiao'ren'chu'mao 小人触冒
'xiao'xi'zhen'kan 消息诊看
'xiao'xian'xiong'tang'fang 小陷胸汤方
'xiao'xian'xiong'tang'zhu'zhi 小陷胸汤主之
'xiao'xiang'xing'rong 效象形容
'xiao'you'lao 小有劳
'xie'bu'kong'jian 邪不空见
'xie'feng'bei'huo're 邪风被火热
'xie'gao'tong'xia 邪高痛下
'xie'jie'zai'xiong'zhong 邪结在胸中
'xie'li'bu'zhi'zhe 泄利不止者
'xie'li'xia'zhong'zhe 泄利下重者
'xie'qi'du'liu 邪气独留
'xie'qi'ru'zang 邪气入藏
'xie'qi'yin'ru 邪气因入
'xie're'bu'sha'gu 邪热不杀谷
'xie're'li 协热利
'xie're'sui'li 协热遂利
'xie'wu'cong'chu 邪无从出
'xie'xia'ji'xin'tong 胁下及心痛
'xie'xia'man 胁下满
'xie'xia'tong 胁下痛
'xie'xia'ying'man 胁下硬满
'xie'xia'you'shui'qi 胁下有水气
'xie'zhi 泻汁
'xin'bing'zi'de'hong'da'zhe 心病自得洪大者
'xin'dong'ji 心动悸
'xin'fan 心烦
'xin'fan'bu'de'an 心烦不得安
'xin'fan'fu'man'wo'qi'bu'an'zhe 心烦腹满卧起不安者
'xin'fan'xi'ou 心烦喜呕
'xin'fan'zhe 心烦者
'xin'fu'man 心腹满
'xin'gan 辛甘
'xin'ku'fan 心苦烦
'xin'kui'kui 心愦愦
'xin'mi'yi'huo 心迷意惑
'xin'qi'ye 心气也
'xin're 辛热
'xin'suan 辛酸
'xin'tong'ye 心痛也
'xin'xia'bi'jie 心下必结
'xin'xia'bi'tong 心下必痛
'xin'xia'fan'ying 心下反硬
'xin'xia'ji 心下急
'xin'xia'ji 心下悸
'xin'xia'ku'pi'jian 心下苦痞坚
'xin'xia'man 心下满
'xin'xia'man'er'fan 心下满而烦
'xin'xia'ni'man 心下逆满
'xin'xia'pi 心下痞
'xin'xia'pi'er'fu'e'han 心下痞而复恶寒
'xin'xia'pi'ye 心下痞也
'xin'xia'pi'ying 心下痞硬
'xin'xia'pi'ying'er'man 心下痞硬而满
'xin'xia'pi'ying'zhe 心下痞硬者
'xin'xia're'ye 心下热也
'xin'xia'tong 心下痛
'xin'xia'wei'pi 心下为痞
'xin'xia'wen'wen'yu'tu 心下温温欲吐
'xin'xia'yin'ying 心下因硬
'xin'xia'ying 心下硬
'xin'xia'ying'man'zhe 心下硬满者
'xin'xia'you'shui'qi 心下有水气
'xin'xia'zhi'jie 心下支结
'xin'zhe'huo'ye 心者火也
'xin'zhong'ao'nao 心中懊憹
'xin'zhong'ao'nao'er'fan 心中懊憹而烦
'xin'zhong'ao'nao'ru'ji 心中懊憹如饥
'xin'zhong'ao'nao'zhe 心中懊憹者
'xin'zhong'da'fan 心中大烦
'xin'zhong'fan 心中烦
'xin'zhong'ji'er'fan'zhe 心中悸而烦者
'xin'zhong'ji'fan 心中饥烦
'xin'zhong'jie'tong'zhe 心中结痛者
'xin'zhong'man'er'fan 心中满而烦
'xin'zhong'teng're 心中疼热
'xin'zhong'wen'wen'yu'tu 心中温温欲吐
'xin'zhong'ze'ji 心中则饥
'xing'chi'zhe 行迟者
'xing'leng'e'han'zhe 形冷恶寒者
'xing'ren'ban'sheng 杏仁半升
'xing'ren'er'shi'si'ge'tang'jin 杏仁二十四个汤浸
'xing'ren'qi'shi'ge'tang'qu'pi'jian 杏仁七十个汤去皮尖
'xing'ren'shi'liu'ge'qu'pi'jian 杏仁十六个去皮尖
'xing'ren'si'shi'ge'qu'pi'jian 杏仁四十个去皮尖
'xing'ren'wu'shi'ge 杏仁五十个
'xing'ren'wu'shi'ge'qu'pi'jian 杏仁五十个去皮尖
'xing'ren'yi'jin'qu'pi'jian 杏仁一斤去皮尖
'xing'ru'nue'zhuang 形如疟状
'xing'ti'ru'yan'xun 形体如烟熏
'xing'xiang'zhong'feng 形象中风
'xing'zuo'shang'han 形作伤寒
'xiong'man 胸满
'xiong'man'fan'jing 胸满烦惊
'xiong'man'xin'fan'zhe 胸满心烦者
'xiong'xia'wei'ji 胸下为急
'xiong'xie'fan'man'zhe 胸胁烦满者
'xiong'xie'ku'man 胸胁苦满
'xiong'xie'man 胸胁满
'xiong'xie'man'bu'qu'zhe 胸胁满不去者
'xiong'xie'man'er'ou 胸胁满而呕
'xiong'xie'xia'man 胸胁下满
'xiong'zhong'man'er'fan'zhe 胸中满而烦者
'xiong'zhong'pi'ying 胸中痞硬
'xiong'zhong'tong 胸中痛
'xiong'zhong'you'han 胸中有寒
'xiong'zhong'yu'yu'er'tong 胸中郁郁而痛
'xiong'zhong'zhi'zhe 胸中窒者
'xiu'zuo'you'shi 休作有时
'xu'biao'li'shi 须表里实
'xu'de'han're 续得寒热
'xu'dei'xia'li 续得下利
'xu'er'han'li 虚而寒栗
'xu'fa'qi'han 须发其汗
'xu'fan 虚烦
'xu'fan'bu'de'mian 虚烦不得眠
'xu'gu'ru'ci 虚故如此
'xu'gu'ye 虚故也
'xu'gu'yin'shui'zi'jiu 虚故引水自救
'xu'ji'you'nong'ye 畜积有脓也
'xu'jia'yi'ran 虚家亦然
'xu'lei'shao'qi 虚羸少气
'xu'liang'shen'ye 须两审也
'xu'sheng'zhi'zhi 虚盛之治
'xu'shi'jian'yan 虚实见焉
'xu'wei'han 虚为寒
'xu'xia'zhi 须下之
'xu'xiao'bian'li 须小便利
'xu'ye 虚也
'xu'yu 须臾
'xu'yu'fu'zhi 须臾复止
'xu'yu'jiao'qu'zi 须臾绞去滓
'xu'ze'liang'jing'luan 虚则两胫挛
'xu'ze'zheng'sheng 虚则郑声
'xu'zhe'bu'ke'xia'ye 虚者不可下也
'xu'zhi'du'lie'zhi'qi 须知毒烈之气
'xu'zi'wei'han'chu 续自微汗出
'xuan'fu'dai'zhe'shi'tang'fang 旋复代赭石汤方
'xuan'fu'dai'zhe'shi'tang'zhu'zhi 旋复代赭石汤主之
'xuan'fu'hua'san'liang 旋复花三两
'xuan'mao 眩冒
'xue'bo'rou'xiao 血薄肉消
'xue'han'ze'fa're 血寒则发热
'xue'jie'xin'xia 血结心下
'xue'man 血满
'xue'nan'fu'ye 血难复也
'xue'ning'bu'liu 血凝不流
'xue'ning'zi'xia 血凝自下
'xue'qi'liu'yi 血气流溢
'xue'ruo'qi'jin 血弱气尽
'xue'san'mai'zhong 血散脉中
'xue'shao'gu'ye 血少故也
'xue'xu'wei'wu'yin 血虚为无阴
'xue'xu'ze'jin'ji'ye 血虚则筋急也
'xue'zheng'di'ye 血证谛也
'xue'zi'xia 血自下
'xun'qi'xie'you 寻其邪由
'xun'yi'mo'chuang 循衣摸床
'xun'zhi'ze'chuan 熏之则喘
'xun'zhi'ze'fa'huang 熏之则发黄
'yan'bu'tong 咽不痛
'yan'chi'zhe 言迟者
'yan'hou'bu'li 咽喉不利
'yan'hou'gan'zao'zhe 咽喉干燥者
'yan'hou'sai 咽喉塞
'yan'jing'bu'hui 眼睛不慧
'yan'neng'yin'yi'dou 言能饮一斗
'yan'qiao'si'shi 言巧似是
'yan'ran'fa'kuang 奄然发狂
'yan'ru'zhi 研如脂
'yan'sui 研碎
'yan'tong 咽痛
'yan'tong'zhe 咽痛者
'yan'tuo'zhe 咽唾者
'yan'wei'qi'xu'jie'ye 言胃气虚竭也
'yan'wo'bu'jie'xiong 言我不结胸
'yan'ye'ban'shou'zu'dang'wen 言夜半手足当温
'yan'zao'bi'gan'tou'xuan'xin'ji'ye 咽燥鼻干头眩心悸也
'yan'zao'kou'ku 咽燥口苦
'yan'zhong'bi'gan 咽中必干
'yan'zhong'bi'han 咽中闭寒
'yan'zhong'bi'se 咽中闭塞
'yan'zhong'gan 咽中干
'yan'zhong'shang'sheng'chuang 咽中伤生疮
'yan'zhong'sheng'chuang 咽中生疮
'yan'zhong'sheng'hua 眼中生花
'yan'zhong'tong'zhe 咽中痛者
'yan'zhong'ze'shang 咽中则伤
'yang'bing'jian'yin'mai'zhe'si 阳病见阴脉者死
'yang'dong'ze'han'chu 阳动则汗出
'yang'fan'du'liu 阳反独留
'yang'fu'er'yin'ruo 阳浮而阴弱
'yang'fu'zhe 阳浮者
'yang'mai'bu'zu 阳脉不足
'yang'mai'fu 阳脉浮
'yang'mai'fu'da'er'ru 阳脉浮大而濡
'yang'mai'fu'hua 阳脉浮滑
'yang'mai'hong'shu 阳脉洪数
'yang'mai'ru'ruo 阳脉濡弱
'yang'mai'se 阳脉涩
'yang'mai'shi 阳脉实
'yang'ming'bing 阳明病
'yang'ming'bing'fa'duo'han 阳明病法多汗
'yang'ming'bing'mai'chi 阳明病脉迟
'yang'ming'bing'mai'fu 阳明病脉浮
'yang'ming'bing'wu'han 阳明病无汗
'yang'ming'bing'xia'zhi 阳明病下之
'yang'ming'bing'yu'jie'shi 阳明病欲解时
'yang'ming'han'duo'zhe 阳明汗多者
'yang'ming'ju'zhong 阳明居中
'yang'ming'mai'da 阳明脉大
'yang'ming'mai'wei'chen 阳明脉微沉
'yang'ming'nei'jie 阳明内结
'yang'ming'shao'yang'he'bing 阳明少阳合病
'yang'ming'shao'yang'zheng'bu'jian'zhe 阳明少阳证不见者
'yang'ming'shou'bing'ye 阳明受病也
'yang'ming'zheng 阳明证
'yang'ming'zhi'wei'bing 阳明之为病
'yang'ming'zhong'feng 阳明中风
'yang'qi'fan'wei 阳气反微
'yang'qi'fu'yu'zai'biao 阳气怫郁在表
'yang'qi'hou'jie'zhe 阳气后竭者
'yang'qi'jue'wei 阳气厥微
'yang'qi'nei'xian 阳气内陷
'yang'qi'shuai'ye 阳气衰也
'yang'qi'tui 阳气退
'yang'qi'tui'xia 阳气退下
'yang'qi'wei'ye 阳气微也
'yang'qi'xia'xian'ru'yin'zhong 阳气下陷入阴中
'yang'qi'yi'sheng 阳气已盛
'yang'qi'yi'shuai 阳气已衰
'yang'qi'zai'biao 阳气在表
'yang'qi'zai'li 阳气在里
'yang'qi'zhong'gu'ye 阳气重故也
'yang'sheng'ze'bi 阳盛则毙
'yang'sheng'ze'cu 阳盛则促
'yang'sheng'ze'yu'nv 阳盛则欲衄
'yang'shi'xiang'bo 阳实相搏
'yang'wang'cong'zhi 阳往从之
'yang'wei'bu'ke'xia 阳微不可下
'yang'wei'fa'han 阳微发汗
'yang'wei'wei'zhong'feng 阳微卫中风
'yang'wei'yin'se'er'zhang'zhe 阳微阴涩而长者
'yang'wei'ze'e'han 阳微则恶寒
'yang'xu 阳虚
'yang'xu'yin'sheng 阳虚阴盛
'yang'yi'xu 阳已虚
'yang'zhe'ming'xie'feng 痒者名泄风
'yang'zhong'you'yin'ye 阳中有阴也
'yang'zhong'yu'xie 阳中于邪
'yao'ji'qiang 腰脊强
'yao'tong 腰痛
'yao'tong'ye 腰痛也
'yao'tou'yan'zhe 摇头言者
'yao'yi'han'chu'wei'jie 要以汗出为解
'yao'zhe'nan'de 要者难得
'ye'ban'de'bing 夜半得病
'ye'ban'yang'qi'hai 夜半阳气还
'ye'ban'yu 夜半愈
'ye'ban'yu'zhe 夜半愈者
'ye'er'an'jing 夜而安静
'ye'er'fu 夜二服
'ye'shi'ye 暍是也
'ye'xia'wen 腋下温
'ye'yi'fu 夜一服
'yi'bai'yin'he 以白饮和
'yi'bai'yin'he'fu 以白饮和服
'yi'ban'quan'yong 一半全用
'yi'ban'shai'mo 一半筛末
'yi'biao'xu'li'shi'gu'ye 以表虚里实故也
'yi'biao'yang'zhi 以杓扬之
'yi'bing'bu'jin'gu'ye 以病不尽故也
'yi'bing'xin'cha 以病新差
'yi'bing'xue'jie'er'wei'yu'shui'gu'ye 以冰雪解而为雨水故也
'yi'cheng'gu'ji 以成痼疾
'yi'cheng'qi'tang'wei'tang 以承气汤微溏
'yi'chuan 亦喘
'yi'ci'biao'li'ju'xu 以此表里俱虚
'yi'ci'dong'shang'yu'han 以此冬伤于寒
'yi'dan'tian'you're 以丹田有热
'yi'dao'shai 异捣筛
'yi'dao'xia'shai'wei'san 异捣下筛为散
'yi'dong'gu'ye 易动故也
'yi'er'ri'tu'zhi'zhe 一二日吐之者
'yi'er'san'ri'wu'zheng 以二三日无证
'yi'er'san'xia'zhi 医二三下之
'yi'er'ti'ye 已而嚏也
'yi'er'tun'suan 噫而吞酸
'yi'er'wei'li 已而微利
'yi'er'zuo'tun 噫而酢吞
'yi'fa'han 医发汗
'yi'fa'han 已发汗
'yi'fa'han'er'fu'xia'zhi 已发汗而复下之
'yi'fa'qi'han 以发其汗
'yi'fa'zhi'zhi 以法治之
'yi'fan'xia'zhi 医反下之
'yi'fang'shui'jiu'ge'si'sheng 一方水酒各四升
'yi'fang'yong'da'huang'er'liang 一方用大黄二两
'yi'fei'li'han 以肺里寒
'yi'fei'tang'he'yi'qian'bi'yan 以沸汤和一钱匕眼
'yi'fei'tang'shu'he 以沸汤数合
'yi'fei'zhong'jing'yi 疑非仲景意
'yi'fu'fa'zhi 医复发之
'yi'fu'han'zhe 一服汗者
'yi'fu'qi'yang 以复其阳
'yi'fu'tu'xia'zhi 医复吐下之
'yi'fu'yi'du'yao'gong'qi'wei 医复以毒药攻其胃
'yi'fu'zhong're'shang'shao 以腹中热尚少
'yi'gan'lan'shui'yi'dou 以甘澜水一斗
'yi'geng'zhong'fa'han 医更重发汗
'yi'guan'gu'dao'zhong 以灌谷道中
'yi'han'chu'bu'che'gu'ye 以汗出不彻故也
'yi'han'duo'wei'zhong'zao 以汗多胃中燥
'yi'han'jie 以汗解
'yi'han'jie'zhi 以汗解之
'yi'han'shi'zai'li 以寒湿在里
'yi'huo'jie'fa'han 以火劫发汗
'yi'huo'xun'zhi 以火熏之
'yi'ji'zi'ke 以鸡子壳
'yi'jia 亦佳
'yi'jian'xin'xia'pi 医见心下痞
'yi'jin'ye'dang'hai'ru'wei'zhong 以津液当还入胃中
'yi'jin'ye'wai'chu 以津液外出
'yi'jiu'ke'bu'xi'gan'gu'ye 以酒客不喜甘故也
'yi'ke'qi'zai'xiong'zhong 以客气在胸中
'yi'ku'jiu'zi'wu'mei'yi'xiu 以苦酒渍乌梅一宿
'yi'liang'shu'qie 依两数切
'yi'liao'shui'yi'dou 以潦水一斗
'yi'ling're'que'bu'de'chu 益令热却不得出
'yi'ma'fei'tang'er'sheng'zi'zhi 以麻沸汤二升渍之
'yi'mai'fu 以脉浮
'yi'mai'se'gu'zhi'ye 以脉涩故知也
'yi'ming'fu'mai'tang 一名复脉汤
'yi'nai'bu'zhi 医乃不知
'yi'nei'gu'dao'zhong 以内谷道中
'yi'nei'wai'ju'xu'gu'ye 以内外俱虚故也
'yi'nei'wu'jin'ye 以内无津液
'yi'ni'shang'yin'ri 一逆尚引日
'yi'ou'gu'zhi'ji'tu'xia'ye 以呕故知极吐下也
'yi'pi'jia'shi 以脾家实
'yi'qi'bu'chu'zhe 噫气不除者
'yi'qi'bu'neng'de'xiao'han'chu 以其不能得小汗出
'yi'qi'cang'you'han'gu'ye 以其藏有寒故也
'yi'qi'mai'bu'wei'zhong 以其脉布胃中
'yi'qi'mai'guan'shen 以其脉贯肾
'yi'qi'mai'ru'xian'zhi 以其脉如弦直
'yi'qi'mai'shang'lian'feng'fu 以其脉上连风府
'yi'qi'mai'xia'bi'luo'yu'mu 以其脉侠鼻络于目
'yi'qi'mai'xun'xie'luo'yu'er 以其脉循胁络于耳
'yi'qi'mai'xun'yin'qi'luo'yu'gan 以其脉循阴器络于肝
'yi'qi'qiang'xia'zhi'gu'ye 以其强下之故也
'yi'qi'ren'ben'xu 以其人本虚
'yi'qi'ren'wai'qi'fu'yu 以其人外气怫郁
