'a'ba'la'qi'ya'ji'you'jun 阿巴拉契亚鸡油菌
'yi'bei'mu'pu'tao'bao'pan 伊贝母葡萄孢盘
'yi'bian'bei'bao'mei 易变被孢霉
'yi'bian'si'pi'jun 易变丝皮菌
'yi'bo'kong'jun'shu 异薄孔菌属
'yi'can'bao'shu 异参孢属
'yi'cao'hei'fen'jun 虉草黑粉菌
'yi'ce'ling'bang'bao 异侧柃棒孢
'yi'cha'zi 异茶渍
'yi'chang'bei'san 异常杯伞
'yi'chang'ji'nang'jun 异常棘囊菌
'yi'chang'li'mao'pan'jun 异常粒毛盘菌
'yi'chang'pan'ge'jun 异常盘革菌
'yi'chang'xiao'shuang'suo'bao'pan'jun 异常小双梭孢盘菌
'yi'chang'xiu'ge'jun 异常锈革菌
'yi'chao'san'shu 蚁巢伞属
'yi'cui'mao'mei 易脆毛霉
'yi'cui'ruan'chi'jun 易脆软齿菌
'yi'dan'zi'jun'shu 异担子菌属
'yi'du'shuang'qi'gen 义笃双歧根
'yi'gan'pi'kong'jun 异干皮孔菌
'yi'hong'gu 怡红菇
'yi'hua'cao'sheng'bing'xiu'jun 异花草生柄锈菌
'yi'hun'se'ding'gu 易混色钉菇
'yi'huo'jia'niu'gan'jun 易惑假牛肝菌
'yi'huo'ru'niu'gan'jun 易惑乳牛肝菌
'yi'ji'yi'gang 异极衣纲
'yi'ji'yi'ke 异极衣科
'yi'ji'yi'mu 异极衣目
'yi'jie'bing'bao'shu 异接柄孢属
'yi'jing'dian'mei'shu 异茎点霉属
'yi'lan'ru'gu 易烂乳菇
'yi'lang'hei'fen'jun 伊朗黑粉菌
'yi'le'jia'zhi 伊勒假芝
'yi'lin'mo'gu 异鳞蘑菇
'yi'lou'zong'lin'yi 遗漏棕鳞衣
'yi'mai'fen'pan'jun 伊迈粉盘菌
'yi'mang'ju'dan'bao'xiu'jun 异芒菊单胞锈菌
'yi'meng'zhe'bao'hei'fen'jun 易萌褶孢黑粉菌
'yi'mu'shi'cha'zi 伊穆氏茶渍
'yi'na'qian'cai'bing'xiu'jun 异纳茜菜柄锈菌
'yi'na'ya'te'dan'bao'xiu'jun 伊纳亚特单胞锈菌
'yi'nang'chi'lie'jun 异囊齿裂菌
'yi'nang'dao'bao'san 异囊盗孢伞
'yi'nang'ti'rong'gai'niu'gan'jun 异囊体绒盖牛肝菌
'yi'nei'xiu'jun'shu 异内锈菌属
'yi'pan'jun 异盘菌
'yi'pan'jun'ke 异盘菌科
'yi'pan'jun'shu 异盘菌属
'yi'pei'dun'ju'bao'nang'mei 异配盾巨孢囊霉
'yi'pi'fen'zhe'xun 异皮粉摺蕈
'yi'pi'fen'zhe'xun 异皮粉褶蕈
'yi'pin'hong'jia'wei'bao 一品红假尾孢
'yi'qi'lin 异脐鳞
'yi'ren'hong'gu 怡人红菇
'yi'ren'se'hong'gu 怡人色红菇
'yi'rou'guo'yi 异肉果衣
'yi'sa'chong'yi'mei 伊萨虫疫霉
'yi'sa'ka'chong'zhang'mei 伊萨卡虫瘴霉
'yi'se'bing'xiu 异色柄锈
'yi'se'ci'pi 异色刺皮
'yi'se'huan'xiu 异色环锈
'yi'se'you'shuang'bao'xiu'jun 异色疣双胞锈菌
'yi'sheng'fen'zhe'xun 蚁生粉褶蕈
'yi'shi'ye'shu 伊氏叶属
'yi'si'pi'jun 怡丝皮菌
'yi'sui'jia'ji'kuai'jun 易碎假基块菌
'yi'sui'nang'bei'kuai'jun 易碎囊被块菌
'yi'suo'li'mo 缢缩丽蘑
'yi'tan'jun 蚁炭菌
'yi'teng'ceng'xiu 伊滕层锈
'yi'teng'dan'bao'xiu'jun 伊藤单胞锈菌
'yi'teng'nang'bao'xiu'jun 伊藤囊孢锈菌
'yi'teng'xiao'shan'xiu'jun 伊藤小栅锈菌
'yi'wai'jun 衣外菌
'yi'wai'jun'ke 衣外菌科
'yi'wai'jun'mu 衣外菌目
'yi'wai'jun'shu 衣外菌属
'yi'wei'e'gao 异味鹅膏
'yi'wei'nei'nang'mei 异味内囊霉
'yi'wei'ni'hei'er 易萎拟黑耳
'yi'wu'gong'yi 疑蜈蚣衣
'yi'wu'ju'bao'nang'mei 易误巨孢囊霉
'yi'xian'chong'cao 蚁线虫草
'yi'xing'bao'er'mei 异形孢耳霉
'yi'xing'bo'kong'jun 异形薄孔菌
'yi'xing'cha'zi 异形茶渍
'yi'xing'dan'bao'xiu'jun 异形单胞锈菌
'yi'xing'geng'chong'mei 异形梗虫霉
'yi'xing'hei'fen'jun 异形黑粉菌
'yi'xing'jie'he'mei 异形接合霉
'yi'xing'ju'bao'nang'mei 异型巨孢囊霉
'yi'xing'jun 异形菌
'yi'xing'jun'shu 异形菌属
'yi'xing'ping'cha'zi 异形平茶渍
'yi'xing'qiu'nang'mei 异形球囊霉
'yi'xing'yi'shu 异形衣属
'yi'yan'mai'bing'xiu'jun 异燕麦柄锈菌
'yi'yi'hei'sui'bing'jun 薏苡黑穗病菌
'yi'yi'pi'te'hei'fen'jun 薏苡皮特黑粉菌
'yi'yi'xing'hei'fen'jun 薏苡腥黑粉菌
'yi'zhe'hong'gu 异褶红菇
'yi'zhi'huang'hua'bing'xiu 一支黄花柄锈
'yin'bai'cha'zi 银白茶渍
'yin'bai'he'yi 银白褐衣
'yin'bai'ji'you'jun 银白鸡油菌
'yin'bai'jia'bei'dian'yi 银白假杯点衣
'yin'ban'da'ye'mei 隐斑大叶梅
'yin'bi'di'she'jun 荫蔽地舌菌
'yin'bian'dian'pan'jun 银边点盘菌
'yin'bing'hui'bao 隐柄灰包
'yin'chuang'yi'shu 隐床衣属
'yin'di'dun'pan'jun 荫地盾盘菌
'yin'di'feng'xian'bing'xiu'jun 阴地凤仙柄锈菌
'yin'di'zhou'pi'jun 阴地皱皮菌
'yin'dian'cong'zhi'hu 印滇丛枝瑚
'yin'dian'zhi'hu'jun 印滇枝瑚菌
'yin'du'diao'shi'jun 印度雕蚀菌
'yin'du'kuai'jun 印度块菌
'yin'du'li'mao'pan'jun 印度粒毛盘菌
'yin'du'mao'bei'jun 印度毛杯菌
'yin'du'mao'mei 印度毛霉
'yin'du'san'ban'ke 印度散斑壳
'yin'du'shi'er 印度石耳
'yin'du'shu'wei'su'hei'fen'jun 印度鼠尾粟黑粉菌
'yin'du'xiao'ban'yi 印度小斑衣
'yin'du'xing'hei'sui'bing'jun 印度腥黑穗病菌
'yin'er 银耳
'yin'er'gang 银耳纲
'yin'er'ke 银耳科
'yin'er'mu 银耳目
'yin'er'shu 银耳属
'yin'fu'pi'ke'shu 隐腐皮壳属
'yin'gai'kou'mo 银盖口蘑
'yin'gan'he'huan'bing'gu 隐杆褐环柄菇
'yin'guang'si'mo'jun 银光丝膜菌
'yin'guo'tai'cao'bing'xiu'jun 隐果苔草柄锈菌
'yin'guo'yin'nang'yi 隐果隐囊衣
'yin'kong'jun'shu 隐孔菌属
'yin'lei'qiu'nang'mei 隐类球囊霉
'yin'lian'hua'you'shuang'bao'xiu'jun 银莲花疣双胞锈菌
'yin'mi'bing'xiu'jun 隐秘柄锈菌
'yin'nang'yi'shu 隐囊衣属
'yin'ni'dou'bao'jun 隐匿豆包菌
'yin'qiu'jiao'mu'ke 隐球酵母科
'yin'qiu'jiao'mu'shu 隐球酵母属
'yin'qiu'ke'shu 隐球壳属
'yin'se'bing'xiu'jun 银色柄锈菌
'yin'se'hong'zhe'san 银色红褶伞
'yin'se'si'mo'jun 银色丝膜菌
'yin'se'xiao'bao'jiao'gu 银色小包脚菇
'yin'sheng'bing'xiu 隐生柄锈
'yin'sheng'bing'xiu'jun 隐生柄锈菌
'yin'sheng'xiao'qi'san 阴生小脐伞
'yin'sheng'xiao'ya'qi'san 阴生小亚脐伞
'yin'si'cao'gu 银丝草菇
'yin'si'gu 银丝菇
'yin'si'ren'ge'jun 银丝韧革菌
'yin'tiao'hei'fen'jun 隐条黑粉菌
'yin'wen'zi'yi 隐文字衣
'yin'xing'qiu'nang'mei 荫性球囊霉
'yin'xing'qiu'nang'mei 隐形球囊霉
'yin'xing'rui'kong'jun 银杏锐孔菌
'yin'yang'huo'bing'xiu 淫羊藿柄锈
'yin'yang'rou'you'yi 阴阳肉疣衣
'yin'zhu'suo'hu'jun 银朱锁瑚菌
'ying'an'tan'tuan'jun 硬暗炭团菌
'ying'bing'gu'shu 硬柄菇属
'ying'bing'lin'san 硬柄鳞伞
'ying'bing'ren'san 硬柄韧伞
'ying'bing'shi'rui 硬柄石蕊
'ying'bing'xiao'pi'san 硬柄小皮伞
'ying'cao'bao'kong'jun 硬糙孢孔菌
'ying'ceng'xiu'jun'shu 硬层锈菌属
'ying'cha'si'ge'jun 硬叉丝革菌
'ying'cha'zi'shu 瘿茶渍属
'ying'chong'sheng'mei 蝇虫生霉
'ying'ci'ge'jun 硬刺革菌
'ying'ci'xiao'pi'san 硬刺小皮伞
'ying'dai'yi 硬袋衣
'ying'dan'zhi'chong'mei 蝇单枝虫霉
'ying'di'zhang'jun 硬地杖菌
'ying'er'si'kong'jun 硬二丝孔菌
'ying'fen'jun'shu 蝇粪菌属
'ying'feng'wo'jun 硬蜂窝菌
'ying'gai'zhen'ceng'kong 硬盖针层孔
'ying'gan'shi'mei 蝇干尸霉
'ying'geng'chong'mei 硬梗虫霉
'ying'guang'shuang'qi'gen 荧光双歧根
'ying'guang'song'luo 硬光松萝
'ying'guang'xiao'gu 荧光小菇
'ying'hei'kong'jun 硬黑孔菌
'ying'hong'pi'kong'jun 硬红皮孔菌
'ying'ji'pi'yi 硬鸡皮衣
'ying'juan'mei 硬卷霉
'ying'juan'mei 蝇卷霉
'ying'kong'ge'jun'shu 硬孔革菌属
'ying'kong'jun'shu 硬孔菌属
'ying'la'san 硬蜡伞
'ying'mao'mian'yi 硬毛面衣
'ying'mao'shuan'jun 硬毛栓菌
'ying'mao'si'gai'san 硬毛丝盖伞
'ying'mao'song'luo 硬毛松萝
'ying'mao'yang'shi'kong'jun 硬毛杨氏孔菌
'ying'mo'pan'jun 硬膜盘菌
'ying'niu'gan'jun 硬牛肝菌
'ying'pi'di'xing 硬皮地星
'ying'pi'di'xing'shu 硬皮地星属
'ying'pi'fu'jun'ke 硬皮腹菌科
'ying'pi'fu'jun'shu 硬皮腹菌属
'ying'pi'he'ceng'kong'jun 硬皮褐层孔菌
'ying'pi'ling'zhi 硬皮灵芝
'ying'pi'ma'bo'ke 硬皮马勃科
'ying'pi'ma'bo'shu 硬皮马勃属
'ying'pi'pan'jun 樱皮盘菌
'ying'qiao'lie'xi'yi 硬壳裂隙衣
'ying'shi'er 硬石耳
'ying'shi'pi'pan'jun 硬湿皮盘菌
'ying'shu'mei'shu 硬束霉属
'ying'si'mo'jun 硬丝膜菌
'ying'tian'tou'gu 硬田头菇
'ying'tou'jun'shu 蝇头菌属
'ying'wei'bing'xiu'jun'duo'kong'bian'zhong 莺尾柄锈菌多孔变种
'ying'wu'lv'la'san 鹦鹉绿蜡伞
'ying'xian'kong'jun 硬纤孔菌
'ying'yang'du'jun 硬羊肚菌
'ying'yi'shu 硬衣属
'ying'yi'shu 鹰衣属
'ying'zhuang'tan'jiao'jun 瘿状炭角菌
'yong'chong'cao 蛹虫草
'you'bao'chong'cao 疣孢虫草
'you'bao'dian'guang'pan'jun 疣孢碘光盘菌
'you'bao'gui'san 疣孢鬼伞
'you'bao'han'xun'jiao'mu'shu 有孢汉逊酵母属
'you'bao'he'pan'jun 疣孢褐盘菌
'you'bao'hei'fen'jun 疣孢黑粉菌
'you'bao'huang'zhi'hu'jun 疣孢黄枝瑚菌
'you'bao'ji'bao'fen'pan'jun 疣孢集孢粪盘菌
'you'bao'ji'you'jun 疣孢鸡油菌
'you'bao'lan'bo'pan'jun 疣孢兰伯盘菌
'you'bao'mao'xue'er'jun 疣孢毛靴耳菌
'you'bao'mei'shu 疣孢霉属
'you'bao'ni'gui'san 疣孢拟鬼伞
'you'bao'niao'chao'pan'jun 疣孢鸟巢盘菌
'you'bao'pan'jun 疣孢盘菌
'you'bao'san'shu 疣孢伞属
'you'bao'shan'hu'jun'shu 疣孢珊瑚菌属
'you'bao'yuan'kong'niu'gan'jun 疣孢圆孔牛肝菌
'you'bao'zi'pan'jun 疣孢紫盘菌
'you'bei'jun'shu 疣杯菌属
'you'bi'dun'ju'bao'nang'mei 疣壁盾巨孢囊霉
'you'bi'qiu'nang'mei 疣壁球囊霉
'you'bing'niu'gan'jun'shu 疣柄牛肝菌属
'you'bing'song'ta'niu'gan'jun 疣柄松塔牛肝菌
'you'bu'bao'shu 优步孢属
'you'cha'wai'dan'zi'jun 油茶外担子菌
'you'di'mo'pan'jun 油滴膜盘菌
'you'die'sheng'xing'mao'ge'jun 疣叠生星毛革菌
'you'dun'pan'jun 疣盾盘菌
'you'gai'gui'bi'shu 疣盖鬼笔属
'you'gai'xiao'nang'pi'jun 疣盖小囊皮菌
'you'ge'jun 疣革菌
'you'ge'shuang'yuan'yi 优格双缘衣
'you'guo'xiao'wang'yi 优果小网衣
'you'hu'jun'ke 油壶菌科
'you'hu'jun'mu 油壶菌目
'you'hu'jun'shu 油壶菌属
'you'huang'cha'zi 油黄茶渍
'you'huang'kou'mo 油黄口蘑
'you'huang'yi 疣黄衣
'you'jun'shu 游菌属
'you'kong'yi'shu 疣孔衣属
'you'kou'mo 油口蘑
'you'kou'zuo'ke'shu 疣口座壳属
'you'mei'da'bao'yi 优美大孢衣
'you'mei'yi 莠梅衣
'you'mo 油蘑
'you'na'yi'shu 尤纳衣属
'you'pan'bao'shu 油盘孢属
'you'pi'mi'huan'jun 疣皮蜜环菌
'you'ping'cha'zi 疣平茶渍
'you'qiu'bao'pan'jun 疣球孢盘菌
'you'qiu'nei'nang'mei 疣裘内囊霉
'you'ru'bao'shu 疣蠕孢属
'you'ruo'li'bing'xiu'jun 优若藜柄锈菌
'you'se'hei'nang'ji'yi 有色黑囊基衣
'you'se'mu'chi'jun 有色木齿菌
'you'se'xiao'wang'yi 油色小网衣
'you'shan'bei'bao'xiu 油杉被孢锈
'you'shan'chi'lie'jun 油杉齿裂菌
'you'shan'hu'zhi 疣珊瑚枝
'you'shan'jin'xiu 油衫金锈
'you'shuang'bao'xiu'jun'shu 疣双胞锈菌属
'you'song'luo 疣松萝
'you'suo'a'tai'jun 有锁阿泰菌
'you'tao'qiu'nang'mei 幼套球囊霉
'you'tong'shan'xiu'jun 油桐栅锈菌
'you'wei'bao'yi 疣微孢衣
'you'wei'er'mei 有味耳霉
'you'wei'ru'gu 油味乳菇
'you'ya'ce'pan'jun 优雅侧盘菌
'you'yi'shu 疣衣属
'you'zhu'bao'dui'hei'fen'jun 莠竹孢堆黑粉菌
'you'zhu'bing'xiu'jun 莠竹柄锈菌
'you'zhu'pi'te'hei'fen'jun 莠竹皮特黑粉菌
'you'zhu'sheng'bing'xiu'jun 莠竹生柄锈菌
'you'zhuang'nang'bei'kuai'jun 疣状囊被块菌
'you'zhuang'wu'geng'nang'mei 疣状无梗囊霉
'yu'er'shu 榆耳属
'yu'gan'li'zhe'san 榆干离褶伞
'yu'gan'zi'pan'san'xiu'jun 余甘子盘伞锈菌
'yu'gen'mei'yi 羽根梅衣
'yu'hong'niu'gan'jun 玉红牛肝菌
'yu'hong'niu'gan'jun'shu 玉红牛肝菌属
'yu'hu'jun'ke 羽瑚菌科
'yu'hu'jun'shu 羽瑚菌属
'yu'jiu'hua'luo'qiu'bao'hei'fen'jun 雨久花裸球孢黑粉菌
'yu'kong'jun'shu 榆孔菌属
'yu'lei'bao'jun'shu 鱼雷孢菌属
'yu'lin'hui'chui 榆林灰锤
'yu'long'fei'yi 玉龙肺衣
'yu'lu'gu 鱼露菇
'yu'mao'bing'xiu'jun 羽茅柄锈菌
'yu'mao'cao'gu 羽毛草菇
'yu'mi'hei'fen'jun 玉米黑粉菌
'yu'mi'ke'xiu'jun 玉米壳锈菌
'yu'nang'jun'shu 羽囊菌属
'yu'pan'jun'shu 雨盘菌属
'yu'sheng'ye'zhi'jun 榆生叶痣菌
'yu'shu'shu'jie'hu'jun 玉蜀黍节壶菌
'yu'xiu'ge'jun 榆锈革菌
'yu'xun'li'zhe'san 玉蕈离褶伞
'yu'xun'shu 玉蕈属
'yu'ye'jin'hua'chi'lie'jun 玉叶金花齿裂菌
'yu'ying'kong'jun 榆硬孔菌
'yu'zan'bing'xiu'jun 玉簪柄锈菌
'yu'zhu'tiao'hei'fen'jun 玉竹条黑粉菌
'yuan'an'duo'kong'jun 远安多孔菌
'yuan'bao'ce'er 圆孢侧耳
'yuan'bao'ce'er'shu 圆孢侧耳属
'yuan'bao'chi'er 圆孢齿耳
'yuan'bao'chong'mei 圆孢虫霉
'yuan'bao'chong'yi'mei 圆孢虫疫霉
'yuan'bao'duo'kong'jun 圆孢多孔菌
'yuan'bao'fen'zhe'xun 圆孢粉褶蕈
'yuan'bao'he'hei'fen'jun 圆孢核黑粉菌
'yuan'bao'la'wo'kong'jun 圆孢蜡卧孔菌
'yuan'bao'mei'shu 圆孢霉属
'yuan'bao'mu'hu 圆孢木瑚
'yuan'bao'niu'gan'jun'shu 圆孢牛肝菌属
'yuan'bao'si'mo'jun 圆孢丝膜菌
'yuan'bao'tan'hei'fen'jun 圆孢炭黑粉菌
'yuan'bao'tuo'mo 圆孢托蘑
'yuan'bao'xiu'ge'jun 圆孢锈革菌
'yuan'bao'xue'er 园孢靴耳
'yuan'chi'dun'ju'bao'nang'mei 圆齿盾巨孢囊霉
'yuan'chi'jun'shu 圆齿菌属
'yuan'ci'bao'duo'kong'jun 圆刺孢多孔菌
'yuan'ci'pan'jun'shu 缘刺盘菌属
'yuan'dan'bao'xiu'jun 原单胞锈菌
'yuan'dao'yi'suan'xia'ye'yi 原岛衣酸狭叶衣
'yuan'di'mo'gu 园地蘑菇
'yuan'ding'yi'shu 圆顶衣属
'yuan'dun'san'shu 圆盾伞属
'yuan'fu'ban'cha'yi 原辐瓣茶衣
'yuan'gai'niu'gan'jun 缘盖牛肝菌
'yuan'guo'mei'chen'yi 圆果煤尘衣
'yuan'hu'bing'xiu'jun 元胡柄锈菌
'yuan'hun'wang'yi 原混网衣
'yuan'kong'ke'ke 圆孔壳科
'yuan'kong'ke'mu 圆孔壳目
'yuan'kong'ke'shu 圆孔壳属
'yuan'kong'niu'gan'jun'ke 圆孔牛肝菌科
'yuan'kong'niu'gan'jun'shu 圆孔牛肝菌属
'yuan'kong'qiang'jun'ke 圆孔腔菌科
'yuan'li'san'jun 远离伞菌
'yuan'lie'niu'pi'ye 缘裂牛皮叶
'yuan'lin'yi'shu 原鳞衣属
'yuan'mao'chi'jun'shu 原毛齿菌属
'yuan'mao'da'ye'mei 缘毛大叶梅
'yuan'mao'dao'yi 缘毛岛衣
'yuan'mao'liu'guo'yi 缘毛榴果衣
'yuan'mao'mei'shu 缘毛梅属
'yuan'mao'ping'ge'jun'ke 原毛平革菌科
'yuan'mao'ping'ge'jun'shu 原毛平革菌属
'yuan'mao'yi'shu 缘毛衣属
'yuan'mei'gong'yi 圆梅蚣衣
'yuan'mei'shu 原梅属
'yuan'mo'gai'niu'gan'jun 缘膜盖牛肝菌
'yuan'nang'jun'shu 原囊菌属
'yuan'nang'mei'ke 原囊霉科
'yuan'nang'mei'mu 原囊霉目
'yuan'nang'mei'shu 原囊霉属
'yuan'niu'gan'jun'shu 圆牛肝菌属
'yuan'pan'jun'gang 圆盘菌纲
'yuan'pan'jun'ke 圆盘菌科
'yuan'pan'jun'mu 圆盘菌目
'yuan'pan'jun'shu 圆盘菌属
'yuan'pan'yi 圆盘衣
'yuan'pan'yi'shu 圆盘衣属
'yuan'pei'yi'shu 原胚衣属
'yuan'pian'yi 圆片衣
'yuan'pian'yi'shu 圆片衣属
'yuan'qiu'di'zhang 圆球地杖
'yuan'ru'yi 原乳衣
'yuan'ru'yi'shu 原乳衣属
'yuan'she'fu'jun'shu 原舌腹菌属
'yuan'shi'e'gao 袁氏鹅膏
'yuan'si'ti'you'hu'jun 原丝体油壶菌
'yuan'tong'lie'ya'fei'yi 园筒裂芽肺衣
'yuan'tou'san'shu 圆头伞属
'yuan'tou'shan'hu'zhi 圆头珊瑚枝
'yuan'tou'zhu'yi 圆头柱衣
'yuan'xing'bing'xiu'jun 圆形柄锈菌
'yuan'yang'du'jun 圆羊肚菌
'yuan'ye'hei'wu'gong'yi 圆叶黑蜈蚣衣
'yuan'ye'huang'sui'ye 圆腋黄髓叶
'yuan'zhu'bao'si'chi'jun 圆柱孢丝齿菌
'yuan'zhu'jun'shu 圆炷菌属
'yuan'zhu'san'wei'gui'bi 圆柱散尾鬼笔
'yuan'zhui'zhong'jun 圆锥钟菌
'yue'gui'sheng'bing'xiu'jun 月桂生柄锈菌
'yue'han'si'dun'jin'qian'jun 约翰斯顿金钱菌
'yue'han'xun'lian'he'pan'jun 约翰逊链核盘菌
'yue'ju'ren'ge'jun 月桔韧革菌
'yue'mi'kong'jun 栎迷孔菌
'yue'mu'xiao'ji'mao'jun 悦目小集毛菌
'yue'nan'luo'gai'gu 越南裸盖菇
'yue'nan'shan'hu'jun 越南珊瑚菌
'yue'nan'song'ta'niu'gan'jun 越南松塔牛肝菌
'yue'ren'fen'zhe'xun 悦人粉褶蕈
'yue'se'hong'gu 悦色红菇
'yue'xi'ban'zhi'pan'jun 岳西斑痣盘菌
'yue'xi'san'ban'ke 岳西散斑壳
'yue'ye'jun 月夜菌
'yun'ban'bing'niu'gan'jun 晕斑柄牛肝菌
'yun'bao'hui'xian'yi 晕孢灰线衣
'yun'bi'bing'xiu'jun 匀壁柄锈菌
'yun'huan'qiu'nang'mei 晕环球囊霉
'yun'nan'ai'you'yi 云南矮疣衣
'yun'nan'ba'bao'pan'jun 云南八孢盘菌
'yun'nan'ce'pan'jun 云南侧盘菌
'yun'nan'dai'yi 云南袋衣
'yun'nan'di'hong'gu 云南地红菇
'yun'nan'di'hua'jun 云南地花菌
'yun'nan'dong'gu 云南冬菇
'yun'nan'dun'nang'pan'jun 云南钝囊盘菌
'yun'nan'duo'she'jun 云南多舌菌
'yun'nan'fei'yi 云南肺衣
'yun'nan'fen'zhe'xun 云南粉褶蕈
'yun'nan'gu 云南菇
'yun'nan'hei'dan'chao'jun 云南黑蛋巢菌
'yun'nan'hong'pan'jun 云南红盘菌
'yun'nan'hua'er 云南花耳
'yun'nan'ji'you'jun 云南鸡油菌
'yun'nan'jia'di'er 云南假地耳
'yun'nan'jia'zhi 云南假芝
'yun'nan'la'ba'jun 云南喇叭菌
'yun'nan'lan'bo'pan'jun 云南兰伯盘菌
'yun'nan'liu'shan'xiu'jun 云南柳栅锈菌
'yun'nan'mao'she'jun 云南毛舌菌
'yun'nan'mei'kou'mo 云南美口蘑
'yun'nan'ming'jia'xiu 云南明痂锈
'yun'nan'nei'bi'jun 云南内笔菌
'yun'nan'qi'bang'gu 云南脐棒菇
'yun'nan'qiu'gai'gu 云南球盖菇
'yun'nan'ru'tu'yi 云南乳突衣
'yun'nan'shen'dao'yi 云南肾岛衣
'yun'nan'shi'er 云南石耳
'yun'nan'shi'rui 云南石蕊
'yun'nan'tan'hei'fen'jun 云南炭黑粉菌
'yun'nan'tiao'bao'niu'gan'jun 云南条孢牛肝菌
'yun'nan'tiao'hei'fen'jun 云南条黑粉菌
'yun'nan'tie'shan'jin'xiu'jun 云南铁杉金锈菌
'yun'nan'xiao'ao'de'mo 云南小奥德蘑
'yun'nan'xiao'guo'yi 云南小果衣
'yun'nan'xin'chi'lie'jun 云南新齿裂菌
'yun'nan'xue'yi 云南雪衣
'yun'nan'zhuan'bao'fa 云南砖孢发
'yun'rong'gai'niu'gan'jun 云绒盖牛肝菌
'yun'se'wu'zhi 匀色乌芝
'yun'shan'bei'bao'xiu 云杉被胞锈
'yun'shan'di'hua'jun 云杉地花菌
'yun'shan'duo'nian'wo'kong'jun 云杉多年卧孔菌
'yun'shan'gai'jia'xiu'jun 云杉盖痂锈菌
'yun'shan'jin'xiu'jun 云杉金锈菌
'yun'shan'la'san 云杉蜡伞
'yun'shan'rui'kong'jun 云杉锐孔菌
'yun'shan'san'ban'ke 云杉散斑壳
'yun'shan'wen'zi'yi 云杉文字衣
'yun'shan'ya'bao'pan'jun 云杉芽孢盘菌
'yun'tai'tiao'hei'fen'jun 芸苔条黑粉菌
'yun'wu'tai'cao'bing'xiu'jun 云雾苔草柄锈菌
'yun'xiang'cao'tuan'hei'fen'jun 芸香草团黑粉菌
'yun'zhi'shu 云芝属
'za'lv'gan'bao'yi 杂绿杆孢衣
'za'se'fei'yi 杂色肺衣
'za'se'hei'wen'yi 杂色黑文衣
'za'se'hong'gu 杂色红菇
'za'se'lin'san 杂色鳞伞
'za'se'ren'san 杂色韧伞
'za'se'ru'niu'gan'jun 杂色乳牛肝菌
'za'se'xiao'cui'bing'gu 杂色小脆柄菇
'za'se'zhu'sun 杂色竹荪
'za'shi'dun'yi 匝氏盾衣
'za'wen'lin'san 杂纹鳞伞
'zai'liu'yi'shu 载瘤衣属
'zan'bi'ya'e'gao 赞比亚鹅膏
'zang'shi'e'gao 臧氏鹅膏
'zang'shi'niu'gan'jun'shu 臧氏牛肝菌属
'zang'shi'qiao'xiu'jun 臧氏鞘锈菌
'zao'ceng'xiu 枣层锈
'zao'guang'ti'yi 藻光体衣
'zao'hong'ban'yi 枣红斑衣
'zao'hong'he'ceng'kong'jun 枣红褐层孔菌
'zao'hong'kong'ren'jun 枣红孔韧菌
'zao'hong'ma'bo 枣红马勃
'zao'hong'tiao'bao'niu'gan'jun 枣红条孢牛肝菌
'zao'hong'xiao'cui'bing'gu 枣红小脆柄菇
'zao'hu'jun'shu 藻瑚菌属
'zao'san'jun'shu 藻伞菌属
'zao'sheng'si'gai'san 早生丝盖伞
'zao'sheng'xiao'gu 早生小菇
'zao'sheng'xiao'pi'san 早生小皮伞
'zao'shu'he'tiao'hei'fen 早熟禾条黑粉
'zao'shu'shan'hu'zhi 早熟珊瑚枝
'zao'si'san'shu 早丝伞属
'zao'wei'kou'mo 皂味口蘑
'zao'wo'dan'pan'yi 蚤窝淡盘衣
'zao'yan'shan'bing'xiu'jun 藻岩山柄锈菌
'ze'di'zao'shu'he'tiao'hei'fen'jun 泽地早熟禾条黑粉菌
'ze'lan'bing'xiu 泽兰柄锈
'ze'lan'qiao'xiu'jun 泽兰鞘锈菌
'ze'le'chang'bao'pan'jun 泽勒长孢盘菌
'ze'le'kou'mo 泽勒口蘑
'ze'sheng'niu'gan'jun 泽生牛肝菌
'ze'shi'niu'gan'jun 泽氏牛肝菌
'ze'tian'wai'dan'jun 泽田外担菌
'zeng'tian'shi'song'luo 增田氏松萝
'zha'lan'pi'shi'er 栅栏皮石耳
'zha'mu'duo'bao'xiu'jun 扎木多胞锈菌
'zhai'bao'bing'xiu'jun 窄孢柄锈菌
'zhai'bao'suo'shi'pan'jun 窄孢索氏盘菌
'zhai'gai'mu'ceng'kong'jun 窄盖木层孔菌
'zhai'zhe'gan'gai'xiu'san 窄褶干盖锈伞
'zhai'zhe'la'mo 窄褶蜡蘑
'zhan'bian'mei'shu 粘鞭霉属
'zhan'bing'he'kong'xiao'niu'gan'jun 粘柄褐孔小牛肝菌
'zhan'bing'ru'gu 粘柄乳菇
'zhan'bing'xiao'gu 粘柄小菇
'zhan'chi'ke'shu 毡赤壳属
'zhan'gai'bao'jiao'gu 粘盖包脚菇
'zhan'gai'huan'xiu'san 粘盖环锈伞
'zhan'gai'jun'shu 粘盖菌属
'zhan'gai'ru'niu'gan'jun 粘盖乳牛肝菌
'zhan'gai'xiao'bao'jiao'gu 粘盖小包脚菇
'zhan'ge'bao'shu 粘隔孢属
'zhan'gu'shu 粘菇属
'zhan'hong'gu 粘红菇
'zhan'jiao'si'mo'jun 粘脚丝膜菌
