'a'zi'wu'sheng'zhi'fa'men 阿字无生之法门
'xiu'chi'kong'le'zhi'hui'dao 修持空乐智慧道
'xiu'chi'ru'huan'zhi'deng'chi 修持如幻之等持
'xiu'ci'dao'shi'yi'jing'jian 修此道时依净见
'xiu'li'san'shi'er'zeng'yi 修离三十二增益
'xiu'xing'bu'ying'pian'zhi'zhu 修行不应偏执著
'xiu'xing'da'cheng'jian'jie'shi 修行大乘见解时
'xu'bu'yi'duo'yi'ming'shuo 续部以多异名说
'xu'kong'jun'jian'wei'ping'zi 虚空均见为瓶子
'xu'shi'shuang'yun'da'zhong'guan 须是双运大中观
'xu'yao'an'li'wei'zheng'liang 需要安立为正量
'xu'yi'ben'ti'yi'fan'ti 许一本体异反体
'xu'yi'guan'cha'chu'zeng'yi 需依观察除增益
'xu'zuo'kong'ji'er'kong'gu 需作空基而空故
'xuan'shuo'er'di'dao'zhong'guan 宣说二谛道中观
'xun'si'bian'lun'zhi'ci'ju 寻思辩论之词句
'yi'ban'er'yan'li'gen'zhe 一般而言利根者
'yi'ben'xing'zhong'jie'bu'cheng 依本性中皆不成
'yi'bi'zhi'li'bu'duan'huo 以彼之力不断惑
'yi'bu'neng'shuo'bu'cun'zai 亦不能说不存在
'yi'bu'neng'shuo'wei'yin'hai 亦不能说未饮海
'yi'bu'pian'yu'ren'he'fang 亦不偏于任何方
'yi'bu'xiang'wei'dao'guan'jian 义不相违道关键
'yi'cheng'jin'shi'li'zong'yi 一乘仅是立宗已
'yi'chuan'li'zhi'shi'hou'sheng 依传理智狮吼声
'yi'ci'bian'bie'zhi'miao'hui 以此辨别之妙慧
'yi'ci'dang'zhi'fo'zhong'sheng 依此当知佛众生
'yi'ci'ding'jie'duan'she'zhi 以此定解断蛇执
'yi'ci'ding'xie'bao'deng'lun 依此定解宝灯论
'yi'ci'duan'chu'zhu'xian'xian 以此断除诸显现
'yi'ci'qian'zhe'yin'hou'zhe 依次前者引后者
'yi'ci'ruo'neng'huo'de'guo 依此若能获得果
'yi'ci'shu'sheng'zhi'ding'jie 依此殊胜之定解
'yi'ci'xian'fen'zhi'se'shen 以此现分之色身
'yi'ci'zhi'hui'er'guan'cha 以此智慧而观察
'yi'cong'zhong'chu'shan'shuo'he 依从中出善说河
'yi'da'jiu'jing'zhi'tong'shi 已达究竟之同时
'yi'da'ming'cheng'zan'shu'sheng 以大名称赞殊胜
'yi'dan'wu'you'lun'fan'xiu 一旦无有轮番修
'yi'er'di'li'zuo'guan'cha 以二谛理作观察
'yi'er'di'shi'er'an'li 以二谛式而安立
'yi'fa'er'di'bu'xiang'wei 一法二谛不相违
'yi'fa'yi'ke'xian'zhong'zhong 一法亦可现种种
'yi'fei'hu'wei'yi'ti'gu 亦非互为一体故
'yi'fen'bie'nian'suo'shu'fu 以分别念所束缚
'yi'huan'xi'xin'sa'gan'lu 以欢喜心洒甘露
'yi'huo'fei'you'fei'wu'bian 抑或非有非无边
'yi'huo'le'zhi'zhong'zhong'xiang 抑或了知种种相
'yi'huo'li'xi'zhi'zhong'guan 抑或离戏之中观
'yi'huo'shi'kong'xian'xian'xu 抑或实空显现许
'yi'ji'ju'sheng'da'shou'yin 以及俱生大手印
'yi'ji'li'zheng'jie'xiang'wei 以及理证皆相违
'yi'ji'qi'qing'xian'ben'zun 以及器情现本尊
'yi'ji'wu'bian'zhi'li'zheng 以及无边之理证
'yi'ji'yu'ju'quan'shi'wai 以及语句诠释外
'yi'jian'duan'chu'zi'xiang'zhi 亦渐断除自相执
'yi'jian'wu'wo'xu'zheng'kong 已见无我许证空
'yi'jian'xiu'xi'zhu'you'fa 依见修习诸有法
'yi'jing'he'wei'gong'suo'jian 异境何为共所见
'yi'ju'fang'bian'er'xuan'shuo 以句方便而宣说
'yi'ju'li'zheng'er'xuan'shuo 依据理证而宣说
'yi'ju'li'zheng'zen'cheng'li 依据理证怎成立
'yi'ju'shen'guang'yi'yu'ju 以具深广义语句
'yi'ju'zheng'liang'bu'neng'li 依据正量不能立
'yi'kao'ding'jie'jin'gang'huo 依靠定解金刚火
'yi'kao'guan'cha'er'di'hui 依靠观察二谛慧
'yi'kao'guan'cha'er'jue'ze 依靠观察而抉择
'yi'kao'ming'yan'guan'cha'liang 依靠名言观察量
'yi'kao'ta'yuan'zhuan'bian'gu 依靠他缘转变故
'yi'kao'xian'liang'yu'bi'liang 依靠现量与比量
'yi'kao'zi'li'ke'zheng'wu 依靠自力可证悟
'yi'ke'shi'di'er'xiu'chi 亦可实地而修持
'yi'kou'tong'sheng'yi'mi'yi 异口同声一密意
'yi'li'bu'cheng'you'cheng'ren 以理不成有承认
'yi'li'cheng'li'er'zuo'da 以理成立而作答
'yi'li'fen'xi'ding'jie'zhong 以理分析定解中
'yi'li'fen'xi'er'xuan'shuo 以理分析而宣说
'yi'li'guan'cha'fa'zhi'zhe 以理观察法智者
'yi'li'guan'cha'wei'cheng'qian 以理观察未成前
'yi'li'tui'duan'neng'cheng'li 以理推断能成立
'yi'li'yi'zhi'ci'guan'dian 以理亦知此观点
'yi'liang'guan'cha'jue'ding'gu 以量观察决定故
'yi'liang'guan'cha'jun'bu'cheng 以量观察均不成
'yi'mie'si'bian'ding'jie'dao 以灭四边定解道
'yi'neng'xian'qian'shuang'yun'guo 亦能现前双运果
'yi'qie'bu'xian'ru'xu'kong 一切不现如虚空
'yi'qie'fan'nao'jian'wei'bo 一切烦恼渐微薄
'yi'qie'fang'song'zhen'ke'xiao 一切放松真可笑
'yi'qie'jing'xu'zhu'lun'dian 一切经续诸论典
'yi'qie'jun'cheng'ying'cheng'pai 一切均成应成派
'yi'qie'po'li'xi'lun'gu 一切破立戏论故
'yi'qie'shen'dao'zhi'gen'ben 一切深道之根本
'yi'qie'suo'jing'zhi'gou'ran 一切所净之垢染
'yi'qie'suo'yuan'zhi'xing'xiang 一切所缘之形象
'yi'qie'suo'zhi'zhi'zi'xing 一切所知之自性
'yi'qie'xian'xian'zhi'shi'xiang 一切显现之实相
'yi'qie'xin'yu'xin'suo'fa 一切心与心所法
'yi'qie'xu'bu'zhong'mi'yi 一切续部终密意
'yi'ru'tu'wu'ping'tu'xiang 亦如吐物瓶涂香
'yi'sheng'ding'jie'yu'bi'zhong 已生定解于彼中
'yi'shi'hui'mie'zheng'fa'zhe 亦是毁灭正法者
'yi'shi'jin'jiu'xian'xiang'yan 亦是仅就现相言
'yi'shi'kong'huan'zhi'ding'jie 依实空幻之定解
'yi'shi'shi'xiang'xian'xiang'bie 亦是实相现相别
'yi'shi'xiang'yi'yi'qie'fa 依实相义一切法
'yi'shui'yu'ge'zhong'sheng'qian 一水于各众生前
'yi'shui'zhi'shui'liang'cheng'li 一水执水量成立
'yi'si'wu'you'zhu'zi'hou 亦似无有柱子后
'yi'ti'yi'zhe'ling'yi'po 一体一遮另亦破
'yi'tong'ming'cheng'bu'xiang'tong 义同名称不相同
'yi'wei'bi'deng'sheng'yuan'zhe 意为彼等声缘者
'yi'wei'bu'te'jia'luo'zhe 一位补特伽罗者
'yi'wei'chang'jiu'shou'ku'xing 亦未长久受苦行
'yi'wei'kong'xing'zhi'ding'jie 亦为空性之定解
'yi'wu'ci'qu'ci'she'fen 亦无此取此舍分
'yi'wu'fei'ta'ru'zhu'ping 一物非他如柱瓶
'yi'wu'suo'you'ru'xu'kong 一无所有如虚空
'yi'wu'zhen'shi'cheng'li'gu 亦无真实成立故
'yi'xin'ming'jing'zhong'suo'xian 依心明镜中所现
'yi'xu'yu'shi'mi'yi'lun 以续与释密意论
'yi'ying'neng'gou'duan'fan'nao 亦应能够断烦恼
'yi'you'er'zhong'zhi'lei'bie 亦有二种之类别
'yi'you'ru'ci'er'cheng'ren 已有如此二承认
'yi'you'yi'wu'bu'ke'neng 一有一无不可能
'yi'you'yi'wu'bu'ying'li 一有一无不应理
'yi'you'zhi'shi'ling'wu'you 一有之时另无有
'yi'yu'cheng'zong'er'guan'cha 以余乘宗而观察
'yi'yuan'an'zhu'zhi'deng'chi 一缘安住之等持
'yi'zhao'ben'xing'wu'suo'xu 依照本性无所许
'yi'zhao'zi'zhi'zhi'hui'li 依照自之智慧力
'yi'zhe'bu'ju'ze'bu'sheng 一者不具则不生
'yi'zhe'xian'jian'ling'wei'jian 一者现见另未见
'yi'zheng'kong'xing'ji'huang'miu 已证空性极荒谬
'yi'zheng'kong'xing'ren'jie'zheng 已证空性人皆证
'yi'zheng'sheng'yi'zhi'shi'xiang 依证胜义之实相
'yi'zheng'xian'kong'ping'deng'xing 已证现空平等性
'yi'zhi'cun'zai'wo'zhi'ye 一直存在我执也
'yi'zhi'shi'xiang'ru'ding'zhi 诣至实相入定智
'yi'zhi'xian'xian'wei'kong'xing 以知显现为空性
'yi'zhi'xue'yu'you'zhi'zhe 依之雪域有智者
'yin'cang'zhu'da'cheng'jiu'zhe 印藏诸大成就者
'yin'chu'zi'qian'xian'xian'wai 因除自前显现外
'yin'du'ju'de'yue'cheng'shi 印度具德月称师
'yin'duan'er'zhang'zhi'xian'kong 因断二障之现空
'yin'er'cheng'zhi'wei'shuang'yun 因而称之为双运
'yin'guo'xian'mi'zhi'jian'jie 因果显密之见解
'yin'qu'guo'ming'xiao'zhong'guan 因取果名小中观
'yin'shui'yi'ke'xian'jian'wei 因水亦可现见为
'yin'ta'fei'zhe'jie'bu'xu 引他非遮皆不许
'yin'wei'a'di'yue'ga'ji 因为阿底约嘎即
'yin'wei'ben'xing'zhong'wu'you 因为本性中无有
'yin'wei'chang'wo'sui'yi'duan 因为常我虽已断
'yin'wei'dan'zhu'mi'luan'xiang 因为耽著迷乱相
'yin'wei'dan'zhu'ren'wu'wo 因唯耽著人无我
'yin'wei'dui'jing'yu'you'jing 因为对境与有境
'yin'wei'er'di'xu'shuang'yun 因为二谛需双运
'yin'wei'mang'xiu'yu'xia'lian 因为盲修与瞎练
'yin'wei'pao'kai'xian'xian'wai 因为抛开显现外
'yin'wei'zhong'guan'zi'heng'liang 因为中观自衡量
'yin'wu'xian'kong'lun'fan'zhi 因无现空轮番执
'yin'xiu'xu'heng'sui'shi'xiang 因修需恒随实相
'yin'yi'bu'neng'zhi'er'di 因一不能执二谛
'yin'yi'sheng'zhe'ru'ding'hui 因以圣者入定慧
'yin'yi'wu'gou'li'guan'cha 因以无垢理观察
'yin'zhong'you'guo'cheng'ren'deng 因中有果承认等
'ying'cheng'zhu'fa'heng'you'wu 应成诸法恒有无
'ying'dang'jing'qin'jing'gou'ran 应当精勤净垢染
'ying'dang'ru'shi'zhi'zi'zong 应当如是知自宗
'yong'bu'tui'hui'zhi'shi'you 永不退回执实有
'yong'su'wang'nian'xiu'he'yong 庸俗妄念修何用
'yong'yuan'cheng'wei'wu'you'ye 永远成为无有也
'you'bing'fei'wei'suo'cheng'xu 有并非为所承许
'you'cheng'ren'yu'wu'cheng'ren 有承认与无承认
'you'ci'bian'lun'deng'zhi'shi 由此辩论等之时
'you'ci'zhi'zhuo'zhi'xin'qian 有此执著之心前
'you'er'di'yi'si'guo'shi 有二谛一四过失
'you'er'di'yi'si'guo'shi 有二谛异四过失
'you'fa'dan'kong'zhi'shi'xiang 有法单空之实相
'you'he'li'yi'you'he'hai 有何利益有何害
'you'he'wei'zheng'ta'shi'fa 有何未证他实法
'you'jing'gou'ran'yu'qing'jing 有境垢染愈清净
'you'jing'qing'jing'ling'yi'fang 有境清净另一方
'you'neng'xiu'xing'he'fa'ye 又能修行何法也
'you'qi'bu'xin'ye'yin'guo 尤其不信业因果
'you'qi'yu'jiao'yu'ben'shi 尤其于教与本师
'you'ru'bao'deng'zhi'ding'jie 犹如宝灯之定解
'you'ru'dao'yu'bi'ying'xiang 犹如道与彼影像
'you'ru'guan'kan'xi'ju'deng 犹如观看戏剧等
'you'ru'hai'shui'yin'yi'kou 犹如海水饮一口
'you'ru'li'jing'shi'liu'ci 犹如历经十六次
'you'ru'shi'hou'zhi'shan'shuo 犹如狮吼之善说
'you'ru'sui'mu'mo'ca'huo 犹如燧木摩擦火
'you'ru'you'cong'yan'zi'xiang 犹如由从烟子相
'you'ru'yue'xing'zhi'ying'kui 犹如月形之盈亏
'you'ru'zhe'tang'yu'feng'mi 犹如蔗糖与蜂蜜
'you'shi'fa'yu'wu'shi'fa 有实法与无实法
'you'shi'wu'shi'ci'er'zhe 有实无实此二者
'you'shuo'bu'cha'an'zhu'xiu 有说不察安住修
'you'shuo'fei'you'fei'wu'xin 有说非有非无心
'you'shuo'sheng'yuan'a'luo'han 有说声缘阿罗汉
'you'shuo'sheng'yuan'zi'xiang'xu 有说声缘自相续
'you'shuo'wei'yi'xu'guan'cha 有说唯一需观察
'you'shuo'zi'zong'da'yuan'man 有说自宗大圆满
'you'wei'gong'jian'nai'wei'shui 有谓共见乃为水
'you'wei'gong'jian'wei'shi'xing 有谓共见为湿性
'you'wei'shi'su'ji'zhong'yao 有谓世俗极重要
'you'wu'cheng'ren'zen'xiang'wei 有无承认怎相违
'you'wu'he'zhe'jie'bu'cheng 有无何者皆不成
'you'xian'yi'ji'wu'xian'deng 有现以及无现等
'you'xie'yu'zhe'chu'bu'zhi 有些愚者初不执
'you'xu'sheng'yi'di'zhu'yao 有许胜义谛主要
'you'yu'wu'you'jun'tong'deng 有与无有均同等
'you'zhao'yi'ri'hui'cheng'xin 有朝一日会诚信
'you'zhe'guan'dai'sheng'yi'xu 有者观待胜义许
'you'zhe'guan'dian'tai'guo'fen 有者观点太过分
'you'zhe'pao'kai'sheng'yi'di 有者抛开胜义谛
'you'zhe'shuo'he'jie'bu'zhi 有者说何皆不执
'you'zhe'ze'jiu'shi'su'yan 有者则就世俗言
'you'zhi'nian'tou'reng'cun'zai 有之念头仍存在
'yu'ben'ji'zhong'ru'shi'zhu 于本基中如是住
'yu'bi'gong'tong'suo'jian'jing 于彼共同所见境
'yu'bi'jiu'jing'da'yuan'man 于彼究竟大圆满
'yu'bi'reng'jiu'zhi'zhuo'gu 于彼仍旧执著故
'yu'bi'xi'qi'ri'cheng'qian 于彼稀奇日乘前
'yu'chi'cheng'wei'shu'fu'yin 愚痴成为束缚因
'yu'ci'bi'neng'qi'cheng'xin 于此必能起诚信
'yu'ci'che'di'le'da'shi 于此彻底了达时
'yu'ci'er'qu'lun'hui'shi 于此二取轮回时
'yu'ci'jin'ming'bu'tong'yi 与此仅名不同已
'yu'ci'li'de'cheng'xin'men 于此理得诚信门
'yu'ci'mi'yi'de'cheng'xin 于此密意得诚信
'yu'ci'ming'xian'er'xuan'shuo 于此明显而宣说
'yu'ci'shuang'yun'zhi'zhi'hui 于此双运之智慧
'yu'ci'xu'wei'yin'guo'zhe 于此许为因果者
'yu'ci'yi'kao'kong'xing'li 于此依靠空性理
'yu'ci'ying'dang'heng'qin'xiu 于此应当恒勤修
'yu'ci'yu'lai'yu'xiu'xi 于此愈来愈修习
'yu'ci'zan'shi'zheng'dao'zhong 于此暂时正道中
'yu'da'yuan'man'zhi'xin'bu 于大圆满之心部
'yu'fen'bie'nian'bu'ke'si 余分别念不可思
'yu'ji'dao'guo'ci'san'zhe 于基道果此三者
'yu'ji'dao'guo'yi'qie'fa 于基道果一切法
'yu'ji'shen'shen'guang'da'yi 于极甚深广大义
'yu'jia'xu'ji'wu'shang'xu 瑜伽续及无上续
'yu'jian'zhen'yi'xiang'wei'gu 与见真义相违故
'yu'lai'yu'jia'qing'jing'hou 愈来愈加清净后
'yu'lai'yu'jing'zhong'zhi'ci 愈来愈净终至此
'yu'lai'yu'zeng'zhi'cheng'du 愈来愈增之程度
'yu'lian'shi'jiao'zhi'zi'zong 于莲师教之自宗
'yu'ping'deng'xing'da'yuan'man 于平等性大圆满
'yu'ren'he'fa'jie'bu'xu 于任何法皆不许
'yu'se'yi'se'kong'jiao'yi 与色以色空教义
'yu'shuo'wu'zhe'you'he'yi 于说无遮有何疑
'yu'ye'yin'guo'yuan'qi'fa 于业因果缘起法
'yu'you'fei'bang'wei'wu'li 于有诽谤为无理
'yu'yu'xian'xian'ci'er'zhe 与余显现此二者
'yu'zhe'zong'qin'yi'bu'cun 余者纵勤亦不存
'yu'zhong'kun'yu'huan'wang'zhong 愚众困于幻网中
'yu'zhu'shi'su'xian'xian'fa 于诸世俗显现法
'yu'zhu'xian'xian'ruo'guan'cha 于诸显现若观察
'yu'zhu'you'zhu'bu'xiang'tong 与柱有柱不相同
'yuan'li'guan'cha'zhi'xiu'xing 远离观察之修行
'yuan'li'si'bian'xi'lun'yao 远离四边戏论要
'yuan'li'si'bian'zhi'xi'lun 远离四边之戏论
'yuan'li'xi'lun'da'kong'xing 远离戏论大空性
'yuan'li'xi'lun'da'zhong'guan 远离戏论大中观
'yuan'li'xian'xian'jin'kong'xing 远离显现仅空性
'yuan'li'yi'qie'si'bian'xi 远离一切四边戏
'yuan'li'yi'qie'zhu'pian'duo 远离一切诸偏堕
'yuan'li'you'wu'shi'fei'deng 远离有无是非等
'yuan'li'zeng'sun'shu'sheng'yi 远离增损殊胜义
'yuan'li'zhe'po'yu'jian'li 远离遮破与建立
'yuan'man'xuan'shuo'fa'wu'wo 圆满宣说法无我
'yuan'quan'da'yuan'man'xu'bu 源泉大圆满续部
'yue'cheng'ru'shi'shi'ci'yi 月称如实释此义
'yue'cheng'zhong'guan'zi'shi'yun 月称中观自释云
'za'zi'wu'sheng'wu'si'men 匝字无生无死门
'zai'san'jie'cheng'er'jian'li 再三竭诚而建立
'zai'san'zan'tan'shi'su'di 再三赞叹世俗谛
'zan'shi'an'li'shui'wei'liang 暂时安立水为量
'zan'shi'dao'wei'zhi'xian'xian 暂时道位之显现
'zan'shi'e'gui'yin'ye'zhang 暂时饿鬼因业障
'zan'shi'er'zhe'fen'bie'yan 暂时二者分别言
'zan'shi'guan'dai'jin'jia'li 暂时观待仅假立
'zan'shi'sheng'wen'zhong'xing'zhe 暂时声闻种性者
'zan'shi'wei'he'bu'ke'neng 暂时为何不可能
'zan'wu'jiao'zheng'qiao'jue'gu 暂无教证窍诀故
'ze'bi'yi'qie'jie'he'li 则彼一切皆合理
'ze'bi'yi'qie'jun'fei'li 则彼一切均非理
'ze'cheng'ju'you'xi'lun'gu 则成具有戏论故
'ze'cheng'wu'lun'he'you'qing 则成无论何有情
'ze'chu'bi'wai'jian'ta'fa 则除彼外见他法
'ze'chu'wu'wei'fa'zhi'wai 则除无为法之外
'ze'dang'cheng'ren'wu'zhe'jian 则当承认无遮见
'ze'nong'deng'wu'bu'neng'xian 则脓等物不能现
'ze'ru'bu'tong'zhi'zhong'sheng 则如不同之众生
'ze'ru'he'neng'xian'jian'shui 则如何能现见水
'ze'ru'jian'zhu'ping'yan'shi 则如见柱瓶眼识
'ze'ru'wei'shi'xu'cheng'ren 则如唯识需承认
'ze'wei'dan'kong'li'xian'ji 则违单空立现基
'ze'wei'suo'xu'zi'bu'kong 则违所许自不空
'ze'wei'zi'hai'zi'ji'ye 则为自害自己也
'ze'wei'zi'zong'you'cheng'ren 则违自宗有承认
'ze'wu'zheng'liang'yu'fei'liang 则无正量与非量
'ze'xu'cheng'li'wei'shi'xiang 则须成立为实相
'ze'yi'dian'wu'yuan'qi'kong 则已玷污缘起空
'ze'yi'guan'cha'er'cheng'ren 则依观察而承认
'ze'yu'qian'ru'xiao'cheng'zhe 则于前入小乘者
'ze'yu'sheng'yi'di'zhi'zhong 则于胜义谛之中
'ze'yu'tong'yi'zhi'mi'yi 则于同一之密意
'ze'yu'wu'you'ying'yu'kui 则于无有盈与亏
'ze'zheng'xian'you'jing'deng'jian 则证现有净等见
'ze'zhu'sheng'zhe'fo'zhi'hui 则诸圣者佛智慧
'zen'hui'cheng'wei'bu'kong'ye 怎会成为不空耶
'zen'neng'wu'wu'yu'da'fu 怎能无误予答复
'zhao'jian'ben'yi'zhu'da'de 照见本义诸大德
'zhen'shi'hu'bu'xiang'wei'gu 真实互不相违故
'zhen'shi'you'shi'cheng'bu'kong 真实有实成不空
'zheng'dang'zhi'shi'wu'guan'cha 正当之时无观察
'zheng'dao'xiu'xing'wu'yi'yi 正道修行无意义
'zheng'fa'shan'shuo'zhi'bai'chuan 正法善说之百川
'zheng'hang'ru'ding'zhi'zhong'guan 正行入定之中观
'zheng'hang'xian'you'zhu'lun'nie 正行现有诸轮涅
'zheng'kai'ci'er'zhi'hui'yan 睁开此二之慧眼
'zheng'liang'bing'fei'wu'yi'yi 正量并非无意义
'zheng'liang'ke'yi'cheng'li'gu 正量可以成立故
'zheng'liang'yi'cheng'bu'he'li 正量亦成不合理
'zheng'liang'zi'ran'zhi'zhi'hui 正量自然之智慧
'zheng'que'guan'cha'zhi'hui'qian 正确观察智慧前
'zheng'wei'wei'duan'zhu'suo'duan 证违未断诸所断
'zheng'wu'ci'yao'yu'shen'ru 证悟此要愈深入
'zheng'wu'ci'yi'ji'xi'qi 证悟此义极稀奇
'zheng'wu'deng'xing'wu'xian'lie 证悟等性无贤劣
'zheng'wu'wei'yi'dan'kong'jie 证悟唯一单空界
'zheng'wu'wu'li'wu'he'xiu 证悟无离无合修
'zheng'wu'wu'you'gao'yu'di 证悟无有高与低
'zheng'wu'xian'kong'wu'er'ji 证悟现空无二基
'zheng'xiu'mang'xiu'zhi'cha'bie 正修盲修之差别
'zheng'xiu'yuan'li'si'bian'xi 正修远离四边戏
'zheng'zai'kong'shi'wu'xian'xian 正在空时无显现
'zheng'zhi'guan'cha'da'xian'ren 正直观察大仙人
'zhi'bi'ji'shi'jiu'jing'liang 执彼即是究竟量
'zhi'bi'yuan'quan'ji'long'wang 知彼源泉即龙王
'zhi'bi'zhi'xin'bian'cun'zai 执彼之心便存在
'zhi'cang'bao'qi'shen'guang'hai 智藏宝器深广海
'zhi'gao'wu'shang'zhi'li'zong 至高无上之立宗
'zhi'hui'qian'bo'ru'wo'zhe 智慧浅薄如我者
'zhi'hui'xi'you'zheng'fa'deng 智慧稀有正法灯
'zhi'hui'zeng'ru'shang'xian'yue 智慧增如上弦月
'zhi'hui'zi'zhi'ben'ti'zhe 智慧自之本体者
'zhi'li'xuan'shuo'shi'xing'xu 智力宣说事行续
'zhi'qian'xun'si'ru'wo'zhe 智浅寻思如我者
'zhi'qu'neng'ling'wo'xin'cheng 知取能令我心成
'zhi'shi'lun'fan'xian'xian'gu 只是轮番显现故
'zhi'shi'xin'jie'fei'zheng'jian 只是信解非正见
'zhi'shuo'wei'kong'zhu'yao'zhe 执说唯空主要者
'zhi'wai'ta'fa'sheng'yi'di 之外他法胜义谛
'zhi'wei'suo'duan'shuo'sheng'yi 执为所断说胜义
'zhi'yun'wo'ruo'wei'zheng'kong 执蕴我若未证空
'zhi'zhe'ge'xiu'yi'qiao'jue 智者各修一窍诀
'zhi'zhe'yi'kou'tong'yin'shuo 智者异口同音说
'zhi'zhi'jiu'jing'jin'gang'ding 直至究竟金刚顶
'zhi'zhi'yi'kao'lun'fan'shi 直至依靠轮番式
'zhong'guan'pai'xu'yi'li'zheng 中观派需以理证
'zhong'guan'xian'jian'bu'cun'zai 中观现见不存在
'zhong'guan'you'wu'cheng'ren'fou 中观有无承认否
'zhong'guan'zi'zong'shi'yu'fei 中观自宗是与非
'zhong'jian'cha'zhu'dang'jiao'ti 中间察住当交替
'zhong'sheng'ping'yong'guo'fang'song 众生平庸过放松
'zhong'sheng'shi'fo'dang'xian'xian 众生是佛当显现
'zhong'you'yi'ri'bi'zheng'wu 终有一日必证悟
'zhou'er'fu'shi'ru'you'hai 周而复始入有海
'zhu'fa'ben'lai'ji'kong'xing 诸法本来即空性
'zhu'fa'ben'lai'ping'deng'gu 诸法本来平等故
'zhu'fa'ben'lai'wei'kong'xing 诸法本来为空性
'zhu'fa'ben'xing'wei'yi'ti 诸法本性为一体
'zhu'fa'sui'jie'wei'deng'xing 诸法虽皆为等性
'zhu'fa'wu'miu'zhi'shi'xiang 诸法无谬之实相
'zhu'fa'zi'xing'zhu'ben'ti 诸法自性住本体
'zhu'si'cha'yi'zhi'zhuo'jian 诸伺察意执著见
'zhu'ti'bu'kong'kan'guan'cha 柱体不空堪观察
'zhu'xian'zi'xing'jing'tian'zun 诸现自性净天尊
'zhu'yu'cheng'shi'zhu'er'zhe 柱与成实柱二者
'zhu'yu'he'chu'yi'dang'qu 住于何处亦当取
'zhu'zhi'zhe'yi'qi'yu'zan 诸智者以奇语赞
'zhu'zi'ben'lai'ji'qing'jing 柱子本来即清净
'zhuo'zhong'xuan'shuo'ben'yi'zhong 着重宣说本义中
'zhuo'zhong'xuan'shuo'deng'zhi'shen 着重宣说等智身
'zi'cun'zai'shi'yi'ta'kong 自存在时以他空
'zi'mie'si'bian'lie'yi'an 自灭四边劣意暗
'zi'ran'guang'ming'zhi'zhi'hui 自然光明之智慧
'zi'ran'zhi'hui'wu'zhu'xian 自然智慧无住现
'zi'ran'zhi'hui'zhi'fo'guo 自然智慧之佛果
'zi'ta'yi'kao'ci'shi'zhi 自他依靠此实执
'zi'xian'zhang'ai'suo'zhe'zhang 自现障碍所遮障
'zi'xin'zheng'zai'dong'nian'shi 自心正在动念时
'zi'xing'ben'lai'ji'qing'jing 自性本来即清净
'zi'xing'guang'ming'da'yuan'man 自性光明大圆满
'zi'xing'guang'ming'ping'deng'xing 自性光明平等性
'zi'xing'jun'shi'kong'xing'gu 自性均是空性故
'zi'xu'pai'lun'xu'suo'po 自续派论许所破
'zi'xu'pai'yi'sheng'yi'di 自续派以胜义谛
'zi'zong'bu'duo'xian'yu'kong 自宗不堕现与空
'zi'zong'cheng'xu'he'guan'dian 自宗承许何观点
'zi'zong'cun'zai'cheng'ren'fang 自宗存在承认方
'zi'zong'guan'cha'bu'guan'cha 自宗观察不观察
'zi'zong'qi'bu'you'tong'guo 自宗岂不有同过
'zi'zong'zhu'lun'zhong'cheng'ren 自宗诸论中承认
'zi'zun'ta'zun'you'xian'lie 自尊他尊有贤劣
'zong'jing'bai'nian'qin'si'wei 纵经百年勤思维
'zui'chu'guan'cha'ji'zhong'yao 最初观察极重要
'zui'zhong'bi'ding'xu'zheng'wu 最终必定需证悟
'zui'zhong'jiu'jing'shen'ao'yi 最终究竟深奥义
'zui'zhong'wei'yi'guan'cha'yin 最终未以观察引
