'a'da'ri'ge 阿达日格
'po'du 坡度
'po'du'biao 坡度标
'po'du'zhe'jian 坡度折减
'po'mian'fang'hu 坡面防护
'pu'ba 蒲坝
'pu'cao'pi 铺草皮
'pu'cha 铺碴
'pu'cha'che 铺碴车
'pu'cha'ji 铺碴机
'pu'dao'cha 铺道碴
'pu'dao'cha'ji 铺道岔机
'pu'dong'xian'ruan'si'duan 浦东线阮四段
'pu'er'du 普洱渡
'pu'gui'ji'di 铺轨基地
'pu'gui'lie'che 铺轨列车
'pu'jia 蒲家
'pu'qi'gong'cheng 铺砌工程
'pu'shan'dian 蒲山店
'pu'she'wu'feng'xian'lu 铺设无缝线路
'pu'she'zhai 普舍寨
'pu'tao'jing 葡萄菁
'pu'tong'lie'che 普通列车
'pu'tong'lv'ke'kuai'che 普通旅客快车
'pu'tong'lv'ke'lie'che 普通旅客列车
'pu'tong'lv'ke'man'che 普通旅客慢车
'pu'xiong 普雄
'pu'zhen'ji 铺枕机
'qi'ang'xian 齐昂线
'qi'ao 奇奥
'qi'ao'bu'ce 奇奥不测
'qi'bei'xian 齐北线
'qi'bo'dao'ji 起拨道机
'qi'bo'dao'qi 起拨道器
'qi'dao 起道
'qi'dao'ding'ji 起道钉机
'qi'dao'ding'qi 起道钉器
'qi'dao'qi 起道器
'qi'dao'xiu 起道修
'qi'dian 七甸
'qi'dong'dian'lu 启动电路
'qi'feng'ta 奇峰塔
'qi'gan'di 旗杆底
'qi'ha'ri'ge'tu 齐哈日格图
'qi'he'xi'gui 骑鹤西归
'qi'hong'xian 齐红线
'qi'jia'bao 祁家堡
'qi'jia'zi 七家子
'qi'jian'fang 七间房
'qi'long'xing 七龙星
'qi'quan'hu 七泉湖
'qi'su'mu 七苏木
'qi'ta'ci'hui 其他词汇
'qi'tu'chang 弃土场
'qi'wen 祁文
'qi'xia'ying 旗下营
'qi'ya'xin'hao 气压信号
'qi'yan'qiao 七眼桥
'qi'ying 七营
'qian'chao'gao 欠超高
'qian'dian 前甸
'qian'gui'xian 黔桂线
'qian'he 千河
'qian'jia'dian 钱家店
'qian'jin'zhen 前进镇
'qian'mo'tou 前磨头
'qian'shan'xi 铅山西
'qian'shi'jia 前十家
'qian'yao 前窑
'qian'yin'zhong'liang 牵引重量
'qian'zhai 前寨
'qiang'ci'ji 强磁机
'qiang'zhi'nei'jie 强制内接
'qiang'zhi'shi'jiao'ban'lou 强制式搅拌楼
'qiao'gui 桥规
'qiao'han 桥涵
'qiao'han'biao 桥涵表
'qiao'han'kuo'kong 桥涵扩孔
'qiao'liang 桥梁
'qiao'liang'biao 桥梁标
'qiao'liang'gao'du 桥梁高度
'qiao'liang'han'dong 桥梁涵洞
'qiao'liang'han'dong'gong'cheng 桥梁涵洞工程
'qiao'liang'heng'xiang'gang'du 桥梁横向刚度
'qiao'liang'jian'ding'shi'yan 桥梁检定试验
'qiao'liang'kong'jing'bu'zu 桥梁孔径不足
'qiao'liang'nao'du 桥梁挠度
'qiao'liang'qian'ji 桥梁浅基
'qiao'liang'qian'ji'fang'hu 桥梁浅基防护
'qiao'liang'shang'gong'du 桥梁上拱度
'qiao'liang'shi'yan'che 桥梁实验车
'qiao'liang'xia'bu'gou'zao 桥梁下部构造
'qiao'liang'zhen'mu 桥梁枕木
'qiao'liang'zhi'zuo 桥梁支座
'qiao'liang'zi'zhen'pin'lv 桥梁自振频率
'qiao'mian'lian'xu 桥面连续
'qiao'mian'pu'zhuang 桥面铺装
'qiao'shang'gui'dao'jie'gou 桥上轨道结构
'qiao'sui'bing'hai'zheng'zhi 桥隧病害整治
'qiao'sui'che 桥隧车
'qiao'sui'da'xiu 桥隧大修
'qiao'sui'gai'zao 桥隧改造
'qiao'sui'jing'chang'bao'yang 桥隧经常保养
'qiao'sui'xun'shou 桥隧巡守
'qiao'sui'xun'shou'gong 桥隧巡守工
'qiao'sui'yang'hu 桥隧养护
'qiao'sui'zong'he'wei'xiu 桥隧综合维修
'qiao'tou'yin'xian 桥头引线
'qiao'xu 桥圩
'qiao'zhen 桥枕
'qiao'zhi'shui'wen'guan'ce 桥址水文观测
'qie'xian'xing'dao'cha 切线型道岔
'qie'zi'xi 茄子溪
'qin'bei'xian 钦北线
'qin'feng'ying 勤丰营
'qin'he'bei 沁河北
'qin'huai'zhi'xian 秦淮支线
'qin'jia'ba 覃家坝
'qin'jia'zhuang 秦家庄
'qin'ling'sui'dao 秦岭隧道
'qin'shen'ke'yun'zhuan'xian 秦沈客运专线
'qin'shen'zhuan'xian 秦沈专线
'qin'shui'xi'shu 亲水系数
'qin'zhou'dong 钦州东
'qing'bian'gui'dao'lun'che 轻便轨道轮车
'qing'bian'tie'lu 轻便铁路
'qing'biao 清表
'qing'bu'zhao'li 轻不着力
'qing'dui'zi 青堆子
'qing'gang 青杠
'qing'hong'gao'su'gong'lu 青红高速公路
'qing'kong'ru'xi 晴空如洗
'qing'li'yu'wa'chu 清理与挖除
'qing'liang'dian 清凉店
'qing'ling'zi 青岭子
'qing'sao'yuan 清扫员
'qing'shai'dao'chuang 清筛道床
'qing'shi'lan'gan 青石栏杆
'qing'shui'gou 清水沟
'qing'shui'he'xi 清水河西
'qing'shui'shan 青水山
'qing'tai'po 清泰坡
'qing'wei'gao'su'gong'lu 青威高速公路
'qing'xiao 清啸
'qing'xing'gui'dao'che 轻型轨道车
'qing'yang'shan 庆阳山
'qing'yin'gao'su'gong'lu 青银高速公路
'qing'zang'ning'duan 青藏宁段
'qing'zang'tie'lu 青藏铁路
'qing'zhou'bei'zhan 青州北站
'qing'zhou'shi'nan 青州市南
'qing'zhou'shi'zhan 青州市站
'qiu'li'gou 秋梨沟
'qiu'mu'yuan 秋木园
'qiu'mu'zhuang 秋木庄
'qiu'xing'zhi'zuo 球型支座
'qu'chai'he 取柴河
'qu'duan'hao 区段号
'qu'duan'huo'wu'lie'che 区段货物列车
'qu'jia'dian 曲家店
'qu'jiu 渠旧
'qu'li 渠黎
'qu'xian'ban'jing 曲线半径
'qu'xian'biao 曲线标
'qu'xian'ce'liang 曲线测量
'qu'xian'chao'gao 曲线超高
'qu'xian'chu'cha'dao'cha 曲线出岔道岔
'qu'xian'jian'gui 曲线尖轨
'qu'xian'nei'jie 曲线内接
'qu'xian'she'ji 曲线设计
'qu'xian'yang'hu 曲线养护
'qu'xian'zhe'cha 曲线辙叉
'qu'xian'zheng'shi 曲线正矢
'qu'xin 取芯
'qu'xing'li 取行李
'quan'bu'shi'yan 全部试验
'quan'gou 泉沟
'quan'he 权河
'quan'mian'qi'dao'dao'gu 全面起道捣固
'quan'sha 泉厦
'quan'shui'tun 泉水屯
'quan'yang 泉阳
'quan'zhan'yi 全站仪
'quan'zhou'xi 泉州西
'que'xian'ze'ren'qi 缺陷责任期
'que'yue'zhen'mu 缺月枕木
'ran'zhou 燃轴
'rang'he 瀼河
'rang'hu'lu 让湖路
'rao'yang'he 绕阳河
're'ban'li'qing 热拌沥青
're'chu'li'gang'gui 热处理钢轨
're'zhou 热轴
'ren'gong'jie'suo'jin'lu 人工解锁进路
'ren'jia'dian 任家店
'ren'jie 人解
'ren'shen'gong'jian 人神共鉴
'ren'xing'dao 人行道
'ri'dong'gao'su'gong'lu 日东高速公路
'ri'jiang'yu'liang 日降雨量
'rong'kou 溶口
'rong'lan 荣兰
'rong'xu'qiang'du'jian'ding 容许强度检定
'rong'xue'qi 融雪器
'rou'xing'ji'ceng 柔性基层
'ru'hua'li'qing 乳化沥青
'ru'ji'gou 汝箕沟
'ruan'hua'dian 软化点
'ruan'ji'chu'li 软基处理
'ruan'tu'lu'ji 软土路基
'ruan'xiang 阮巷
'ruan'zuo'kuai'su 软座快速
'ruan'zuo'kuai'su'wo 软座快速卧
'ruan'zuo'pu'ke 软座普客
'ruan'zuo'pu'kuai 软座普快
'ruan'zuo'pu'kuai'wo 软座普快卧
'ruan'zuo'te'kuai 软座特快
'ruan'zuo'te'kuai'wo 软座特快卧
'rui'jiao'zhe'cha 锐角辙叉
'rui'lin 瑞临
'rui'xue'piao'piao 瑞雪飘飘
'ruo'ci'ji 弱磁机
'sa'bu 洒布
'sai'jin'qiao 赛金桥
'sai'wu'su 赛乌苏
'san'bao'tun 三宝屯
'san'dao'ying 三道营
'san'deng'piao 三等票
'san'dui'zi 三堆子
'san'ge'zhuang 三葛庄
'san'gei'cun 三给村
'san'guan'kou 三关口
'san'gui'lu 三轨路
'san'he'chang 三合场
'san'he'xian 三河县
'san'hua'shi 三花石
'san'hui'ba 三汇坝
'san'hui'zhen 三汇镇
'san'ji'gong'lu 三级公路
'san'jia'zhai 三家寨
'san'jiang'zhen 三江镇
'san'jie'hai'zi 三介海子
'san'kai'dao'cha 三开道岔
'san'lun'ya'lu'ji 三轮压路机
'san'mao'xian 三茂线
'san'men'xia'xi 三门峡西
'san'shi'jia 三十家
'san'shi'li'jing'zi 三十里井子
'san'shi'li'pu 三十里堡
'san'shi'san'hao 三十三号
'san'tang 三唐
'san'tang'ji 三堂集
'san'wan'xian 三万线
'san'yang'chuan 三阳川
'san'yi'jing 三义井
'san'ying'tu 三营图
'san'yuan'ba 三元坝
'san'yuan'pu 三源浦
'sang'gen'da'lai 桑根达来
'sang'xi'xian 桑锡线
'sang'yuan'zi 桑园子
'sao'xuan'ji 扫选机
'sao'xue'ban 扫雪板
'se'deng 色灯
'se'deng'xin'hao 色灯信号
'se'deng'xin'hao'ji 色灯信号机
'sen'chen 森沉
'sha'chang'ping 沙厂坪
'sha'dao'cha 砂道碴
'sha'gou'tai 沙沟台
'sha'guai'zi 沙拐子
'sha'hai 砂害
'sha'he'xian 沙河线
'sha'hou'suo 沙后所
'sha'jiang 砂浆
'sha'jiang'gou'feng 砂浆勾缝
'sha'jiang'kang'ya'qiang'du 砂浆抗压强度
'sha'li 砂砾
'sha'long'ping 沙龙坪
'sha'ma'la'da 沙马拉达
'sha'mo'lu'ji 沙漠路基
'sha'quan'zi 沙泉子
'sha'ri'nai 沙日乃
'sha'sha'po 沙沙坡
'sha'shi'lu'mian 砂石路面
'sha'tuo 沙坨
'sha'tuo'zi 沙沱子
'sha'xi'ba 沙溪坝
'sha'yuan 沙园
'sha'zi'he 沙子河
'shan'chang'tun 山场屯
'shan'cheng'zhen 山城镇
'shan'dian 闪点
'shan'he'tun 山河屯
'shan'pi'shi 山皮石
'shan'pi'tu 山皮土
'shan'shen 山深
'shan'shi 山市
'shan'song'gang 杉松岗
'shan'tou'xian 汕头线
'shan'wan'zi 山湾子
'shang'ban'cheng 上板城
'shang'ban'cheng'nan 上板城南
'shang'cang 上仓
'shang'gao'zhen 上高镇
'shang'ge'da 上格达
'shang'hai'nan'xian 上海南线
'shang'hai'tie'dao'da'xue 上海铁道大学
'shang'hai'tie'lu'ju 上海铁路局
'shang'jiu'wu 商酒务
'shang'ju'bang'duan 上局蚌段
'shang'ju'fu'duan 上局阜段
'shang'ju'fu'duan 上局福段
'shang'ju'hang'duan 上局杭段
'shang'ju'hang'zhou'bei 上局杭州北
'shang'ju'he'duan 上局合段
'shang'ju'he'duan'pu 上局合段浦
'shang'ju'hu'duan 上局沪段
'shang'ju'huai'duan 上局淮段
'shang'ju'jin'duan 上局金段
'shang'ju'nan'duan 上局南段
'shang'ju'ning'dong'duan 上局宁东段
'shang'ju'ning'duan 上局宁段
'shang'ju'pu'duan 上局浦段
'shang'ju'rao'duan 上局饶段
'shang'ju'shao'duan 上局邵段
'shang'ju'wu'duan 上局芜段
'shang'ju'xiang'duan 上局向段
'shang'ju'xiang'duan 上局翔段
'shang'ju'ying'duan 上局鹰段
'shang'ju'yong'duan 上局永段
'shang'ju'yong'duan 上局甬段
'shang'lan'cun 上兰村
'shang'lan'cun'xian 上兰村线
'shang'mian'ceng 上面层
'shang'pu'xiong 上普雄
'shang'qi'tai 上齐台
'shang'qian'xian 上铅线
'shang'qiu'nan 商丘南
'shang'san 上三
'shang'si 上寺
'shang'wei'ke'zhi 尚未可知
'shang'xi'pu 上西铺
'shang'xia'dao'zhuang'zhi 上下道装置
'shang'xing'che 上行车
'shang'yao'dun 上腰墩
'shang'yuan 上园
'shao'jia'tang 邵家堂
'shao'shan 韶山
'shao'shan'xian 韶山线
'shao'shui 绍水
'she'bo'tu 舍伯吐
'she'ji'jiao'di 设计交底
'she'li 舍力
'she'li'hu 舍力虎
'she'tang 社棠
'shen'biao 申表
'shen'chang'lv 伸长率
'shen'chi'nan 神池南
'shen'da'xian 沈大线
'shen'dan'xian 沈丹线
'shen'hai'gao'su'gong'lu 沈海高速公路
'shen'ji'xian 沈吉线
'shen'jia'dian 申家店
'shen'jia'he 沈家河
'shen'jing'zi 深井子
'shen'ju'ji'duan 沈局吉段
'shen'ju'shen'duan 沈局沈段
'shen'ju'zhang'duan 沈局长段
'shen'mu'bei 神木北
'shen'shan'xian 沈山线
'shen'shu 神树
'shen'shuo'xian 神朔线
'shen'suo'jie'tou 伸缩接头
'shen'suo'qu 伸缩区
'shen'tao'lian'jie'xian 沈桃连接线
'shen'yang'ju 沈阳局
'shen'yang'nan 沈阳南
'shen'yang'tie'lu'ju 沈阳铁路局
'shen'yang'xi 沈阳西
'shen'yu'he 神峪河
'shen'zhong 申中
'sheng'chan'pei'he'bi 生产配合比
'sheng'chang 升昌
'sheng'chu'che 牲畜车
'sheng'dao 省道
'sheng'guang'bao'jing 声光报警
'sheng'lang 圣浪
'sheng'li'qiao 胜利桥
'sheng'ping'zhang 声屏障
'sheng'ting'gao'guan'ju 省厅高管局
'sheng'xiang'mu'ban 省项目办
'sheng'zhi'qu 生芝渠
'shi'ba'tai 十八台
'shi'ban'dun 石板墩
'shi'ban'gou 石板沟
'shi'ban'shao 石板哨
'shi'ban'tan 石板滩
'shi'chang 石长
'shi'chang'xian 石长线
'shi'er'li'ge 十二里阁
'shi'fa'zhi'da'lie'che 始发直达列车
'shi'fang'bao'po 石方爆破
'shi'fang'gong'cheng 石方工程
'shi'feng'zuo'ye 试风作业
'shi'gong'ce'liang 施工测量
'shi'gong'dan'wei 施工单位
'shi'gong'dui 施工队
'shi'gong'fang'an 施工方案
'shi'gong'feng'bi'xian'lu 施工封闭线路
'shi'gong'guo'du 施工过渡
'shi'gong'pei'he'fei 施工配合费
'shi'gong'tiao'jian 施工条件
'shi'gong'zhun'bei'qi 施工准备期
'shi'gong'zu'zhi 施工组织
'shi'gong'zu'zhi'ji'gou 施工组织机构
'shi'gong'zu'zhi'she'ji 施工组织设计
'shi'gui 事规
'shi'hui'gai'shan'tu 石灰改善土
'shi'hui'ji'liang 石灰剂量
'shi'hui'tu 石灰土
'shi'hui'wen'ding'tu 石灰稳定土
'shi'hui'yan'dao'cha 石灰岩道碴
'shi'jia'bian 石家砭
'shi'jia'pu 史家铺
'shi'jia'zhuang'bei 石家庄北
'shi'jia'zui 施家嘴
'shi'jian 试件
'shi'jian'fang 十间房
'shi'jian'jian'ge'fa 时间间隔法
'shi'jiao'ding'qi'piao 市郊定期票
'shi'jing'shan'nan 石景山南
'shi'jue'xin'hao 视觉信号
'shi'lang'zhuang 石郎庄
'shi'lin 石磷
'shi'lin'nan 石林南
'shi'long 石砻
'shi'ma'ba 石马坝
'shi'men'ling 石门岭
'shi'men'xian'bei 石门县北
'shi'men'xian'nan 石门县南
'shi'men'zi 石门子
'shi'mian'dao'chuang 石棉道床
'shi'miao'gou 石庙沟
'shi'nao 石脑
'shi'qu'tie'lu 市区铁路
'shi'ren'cheng 石人城
'shi'san'jian'fang 十三间房
'shi'tang'lu 石塘路
'shi'tou'he 石头河
'shi'tuo 石沱
'shi'xia'zi 石峡子
'shi'xian 石岘
'shi'xian'you'dao 视线诱导
'shi'xian'you'dao'she'shi 视线诱导设施
'shi'xie 石屑
'shi'xu'dian'lu 时序电路
'shi'ya'zhuang 石崖庄
'shi'yan'bao'gao'dan 试验报告单
'shi'yan'jian'ce 试验检测
'shi'yan'jian'ce'zhong'xin 试验检测中心
'shi'yan'qiao 石燕桥
'shi'yan'shi'zhu'ren 试验室主任
'shi'you'xian 石油线
'shi'you'zhi'da'lie'che 石油直达列车
'shi'yun'zhuan'lie'che 试运转列车
'shi'zhu'cao 石柱槽
'shi'zhuang 师庄
'shi'zi'ba 石子坝
'shi'zi'shan 石子山
'shi'zu 施组
'shou'cha'ji 收碴机
'shou'dong'xin'hao 手动信号
'shou'fei'dao 收费岛
'shou'fei'she'shi 收费设施
'shou'kong 手孔
'shou'tai 手台
'shou'tui'diao'che 手推调车
'shou'xin'hao 手信号
'shou'zhi'dong'ji 手制动机
'shu'dao'sha 输导砂
'shu'he 蜀河
'shu'le'he 疏勒河
'shu'qu'xian 竖曲线
'shu'she 树舍
'shu'zhi'du 竖直度
'shu'zi'jing 署字井
'shua'po 刷坡
'shuang'an'tun 双安屯
'shuang'cheng'bao 双城堡
'shuang'dong'dao'cha 双动道岔
'shuang'dong'qiao 双洞桥
'shuang'feng'yi 双凤驿
'shuang'he'kou 双河口
'shuang'huang'deng 双黄灯
'shuang'kai'dao'cha 双开道岔
'shuang'meng 双蒙
'shuang'miao'zi 双庙子
'shuang'pao'zi 双泡子
'shuang'shan'tun 双山屯
'shuang'shi'qiao 双石桥
'shuang'wang 双望
'shuang'xian 双线
'shuang'xian'cha'ru'duan 双线插入段
'shuang'xian'tie'lu 双线铁路
'shuang'yang'dian 双羊店
'shuang'zhai 双寨
'shuang'zhen'ya'li'biao 双针压力表
'shuang'zi'he 双子河
'shui'da'xian 水大线
'shui'dian'duan 水电段
'shui'gou 水沟
'shui'hai'duan'dao 水害断道
'shui'hai'fu'jiu 水害复旧
'shui'hai'qiang'xiu 水害抢修
'shui'hong'xian 水红线
'shui'hua're 水化热
'shui'hui'bi 水灰比
'shui'jia'hu 水家湖
'shui'li 水礼
'shui'mo'he 水磨河
'shui'ni 水泥
'shui'ni'gai'shan'tu 水泥改善土
'shui'ni'ji'liang 水泥剂量
'shui'ni'jiang 水泥浆
'shui'ni'wen'ding'tu 水泥稳定土
'shui'ping'la'gan 水平拉杆
'shui'ta 水塔
'shui'wen 水稳
'shui'zhang'xian 水张线
'shui'zhun'yi 水准仪
'shun'he'chang 顺河场
'shun'po 顺坡
'shuo'zhou'xi 朔州西
'si'dao'gou 四道沟
'si'dao'wan 四道湾
'si'fen'di 四分地
'si'fen'tan 四分滩
'si'fen'zhen'mu 四分枕木
'si'geng'jiang'can 四更将残
'si'he'tai 四合台
'si'he'tun 四合屯
'si'ji'gong'lu 四级公路
'si'ji'hao 司机号
'si'jia'ling 司家岭
'si'jing'zi 四井子
'si'ke'shu 四棵树
'si'ma'jia 四马架
'si'mei'xian 四梅线
'si'meng 思濛
'si'tai'zi 四台子
'si'tian 思甜
'si'ting 泗亭
'song'ba 松坝
'song'he 松河
'song'kan 松坎
'song'lin'dian 松林店
'song'mu'zhuang 松木桩
'song'pu 松铺
'song'pu'hou'du 松铺厚度
'song'pu'xi'shu 松铺系数
'song'shao'guan 松韶关
'song'shu'po 松树坡
'song'shu'tai 松树台
'song'shu'zhen 松树镇
'song'shui'cao 送水槽
'su'ban 苏坂
'su'liao'pai'shui'ban 塑料排水板
'su'xian'lu'cao 塑限路槽
'su'xiong 苏雄
'su'zhen 素枕
'su'zhong'tan'wang 诉衷谈往
'su'zhou'xi 苏州西
'suan'wang'zhuang 算王庄
'sui'dao 隧道
'sui'dao'biao 隧道标
'sui'dao'bing'hai 隧道冰害
'sui'dao'fang'huo'cuo'shi 隧道防火措施
'sui'dao'fang'pai'shui 隧道防排水
'sui'dao'gong'cheng 隧道工程
'sui'dao'nei'xian'lu 隧道内线路
'sui'dao'wa'jue'ji 隧道挖掘机
'sui'fu'xian 濉阜线
'sui'gui 遂规
'sui'ji'qu'yang 随即取样
'sui'jia'xian 绥佳线
'sui'man 绥满
'sui'ning'nan 遂宁南
'sui'ning'xi 遂宁西
'sui'shi'dao'cha 碎石道碴
'sui'shi'dao'chuang 碎石道床
'sui'shi'dian'ceng 碎石垫层
'sui'shi'lu'mian 碎石路面
'sui'shi'zhuang 碎石桩
'sui'xi 绥西
'sui'yu'xian 遂渝线
'sui'zhong'bei 绥中北
'sun'zhen 孙镇
'suo'ding'gui'wen 锁定轨温
'suo'duan'gui 缩短轨
'suo'jia'cun 索家村
'suo'tu'han 索图罕
'ta'bei 塔北
'ta'er'gen 塔尔根
'ta'er'qi 塔尔气
'ta'li'gen'tu 塔力根土
'ta'shi'hai 他石海
'ta'shi'zui 塔石嘴
'ta'ya'yi 塔崖驿
'ta'yuan 塔源
'tai'bei 台背
'tai'bei'hui'tian 台背回填
'tai'ge'mu 台阁牧
'tai'hong 太洪
'tai'ji'tun 台集屯
'tai'ju'tai'duan 太局太段
'tai'ju'yuan'duan 太局原段
'tai'lan'xian 太岚线
'tai'ling 太岭
'tai'ping'chuan 太平川
'tai'ping'dian 太平店
'tai'qing 苔青
'tai'qu 台曲
'tai'shan'zhan 泰山站
'tai'xin'xian 太新线
'tai'yang'gou 太阳沟
'tai'yuan'bei 太原北
'tai'yuan'dong 太原东
'tai'yuan'tie'lu'ju 太原铁路局
'tai'yuan'xi 太原西
'tan'cheng'zhan 郯城站
'tan'dian 坦甸
'tan'fang'luo'shi 坍方落石
'tan'gang 潭岗
'tan'huang 弹簧
'tan'huang'jian'gui 弹簧尖轨
'tan'jia'jing 谭家井
'tan'li'ji'dian'qi 弹力继电器
'tan'luo'du 坍落度
'tan'xing'kou'jian 弹性扣件
'tang'bao 塘豹
'tang'du'kou 塘渡口
'tang'fang 唐坊
'tang'fang'cun 唐房村
'tang'gang 唐港
'tang'gu'nan 塘沽南
'tang'gu'xian 塘沽线
'tang'guan'tun 唐官屯
'tang'hai 棠海
'tang'jia'tuo 唐家沱
'tang'jin'zhi'xian 唐津支线
'tang'jin'zhi'xian 塘津支线
'tang'shan'bei 唐山北
'tang'shan'cheng 汤山城
'tang'tou'gou 汤头沟
'tang'wang'shan 唐王山
'tang'zi 塘子
'tao'bu'qi 陶卜齐
'tao'cun'dong 桃村东
'tao'er'wan 桃儿湾
'tao'gan'jiao'huan 套杆铰环
'tao'jia'gou 陶家沟
'tao'jia'tun 陶家屯
'tao'lai'zhao 陶赖昭
'tao'si'hao 陶思浩
'tao'si'tu 桃司兔
'tao'wei'xian 桃威线
'tao'xian'dao'cha 套线道岔
'tao'ying 桃映
'tao'yu'xian 陶榆线
'te'bie'yong'tu'xian 特别用途线
'te'deng'ke'che 特等客车
'te'kuai'lv'ke'lie'che 特快旅客列车
'te'zhong'che'liang'huo'zai 特种车辆活载
'te'zhong'duan'mian'jian'gui 特种断面尖轨
'ti'xian 梯线
'tian'chuang'xiu'ri'bao'biao 天窗修日报表
'tian'de'quan 天德泉
'tian'fu'bei 天府北
'tian'fu'zhi'xing 天府之星
'tian'gang 天岗
'tian'ji 田集
'tian'jin'bei 天津北
'tian'jin'xi 天津西
'tian'jin'xi'xian 天津西线
'tian'qiao'ling 天桥岭
'tian'ran'sha 天然砂
'tian'ran'sha'li 天然砂砾
'tian'shi'fu 田师府
'tian'wa'gao'du 填挖高度
'tian'xi 天西
'tian'xi'sui'shi 填隙碎石
'tian'zhu'hou'du 填筑厚度
'tian'zhuang'zhen 田庄镇
'tiao'biao 调标
'tiao'gui 调规
'tiao'jian 调监
'tiao'pin'gui'dao'dian'lu 调频轨道电路
'tiao'zi'he 条子河
'tie'bei'shan 铁背山
'tie'dao'biao'zhi 铁道标志
'tie'dao'bu 铁道部
'tie'dao'ce'liang 铁道测量
'tie'dao'dao'kou 铁道道口
'tie'dao'gai'lun 铁道概论
'tie'dao'kan'ce 铁道勘测
'tie'dao'kan'tan 铁道勘探
'tie'dao'lian'jie'xian 铁道连接线
'tie'dao'qiang'xiu 铁道抢修
'tie'dao'qu'xian 铁道曲线
'tie'dao'she'ji 铁道设计
'tie'dao'xian'jie 铁道限界
'tie'dao'xian'lu 铁道线路
'tie'dao'xian'lu'tu 铁道线路图
'tie'dao'xuan'xian 铁道选线
'tie'dao'yi'xue'yuan 铁道医学院
'tie'lu 铁路
'tie'lu'ban'shi'chu 铁路办事处
'tie'lu'biao'zhi 铁路标志
'tie'lu'ce'liang 铁路测量
'tie'lu'dao'kou 铁路道口
'tie'lu'fen'ju 铁路分局
'tie'lu'ju 铁路局
'tie'lu'kan'ce 铁路勘测
'tie'lu'kan'tan 铁路勘探
'tie'lu'lian'jie'xian 铁路连接线
'tie'lu'qu'xian 铁路曲线
'tie'lu'sui'dao 铁路隧道
'tie'lu'xian'jie 铁路限界
'tie'lu'xian'lu 铁路线路
'tie'lu'xian'lu'tu 铁路线路图
'tie'lu'xin'hao 铁路信号
'tie'lu'xuan'xian 铁路选线
'tie'tong 铁通
'ting'che'chang 停车场
'ting'che'shi'ju 停车视距
'ting'che'xin'hao 停车信号
'ting'ji'gai'hua 停机改话
'ting'jue'xin'hao 听觉信号
'ting'liang 亭亮
'tong'an'yi 通安驿
'tong'bei 通北
'tong'che'dian'li 通车典礼
'tong'fo'si 铜佛寺
'tong'gu'jing 铜鼓井
'tong'gu'xi 铜鼓溪
'tong'guan'ru'zu'li'yi 砼贯入阻力仪
'tong'guan'yi 铜罐驿
'tong'guo'dao'cha 通过道岔
'tong'guo'xin'hao'ji 通过信号机
'tong'hu'lan 砼护栏
'tong'hui'tan'yi 砼回弹仪
'tong'huo'xian 通霍线
'tong'jia'dian 佟家店
'tong'jiu'xian 铜九线
'tong'liao'bei 通辽北
'tong'liao'dong 通辽东
'tong'liao'xi 通辽西
'tong'ling'dong 铜陵东
'tong'lu'mian 砼路面
'tong'mu'zhai 桐木寨
'tong'qin'lie'che 通勤列车
'tong'rang'xian 通让线
'tong'san'gao'su'gong'lu 同三高速公路
'tong'tian'tun 通天屯
'tong'xin'guan'dao 通信管道
'tong'xin'ji'fang 通信机房
'tong'yong'han 通用函
'tong'yuan'bao 通远堡
'tong'zhen 砼枕
'tong'zhou'xi 通州西
'tong'zi'lin 桐子林
'tou'bao 头堡
'tou'biao'wen'jian 投标文件
'tou'ceng 透层
'tou'cheng'che 偷乘车
'tou'dao'jing 头道井
'tou'deng'piao 头等票
'tu'fang'diao'bo 土方调拨
'tu'feng 凸缝
'tu'gong'ge'shan 土工格栅
'tu'gong'ge'shi'zhi'cao 土工格室植草
'tu'gong'he'cheng'cai'liao 土工合成材料
'tu'gong'zhi'wu 土工织物
'tu'gui'wu'la 土贵乌拉
'tu'hu'mu 图呼木
'tu'ji'hui'tan'mo'liang 土基回弹模量
'tu'li'he 图里河
'tu'lie'mao'du 吐列毛杜
'tu'lu'fan 吐鲁番
'tu'men'ling 土们岭
'tu'men'zi 土门子
'tu'mu'er'tai 土牧尔台
'tu'qi'lu'biao 突起路标
'tu'qiao'zi 土桥子
'tu'xi 土溪
'tu'yuan'dian 土源点
'tuan'lin 团林
'tuan'shan'xian 团杉线
'tui'feng 推峰
'tui'jian'fang'an 推荐方案
'tui'xing'li'che 推行李车
'tuo'chuan'bu 拖船埠
'tuo'gui'qi 脱轨器
'tuo'ke'xun 托克逊
'tuo'liang'huan'zhu 托梁换柱
'tuo'shi 拓石
'tuo'yao'ling 驼腰岭
'wa'dian'lan'gou 挖电缆沟
'wa'kong'zhuang 挖孔桩
'wa'la'gan 瓦拉干
'wa'yao'ba 瓦窑坝
'wa'yao'tian 瓦窑田
'wa'zu 瓦祖
'wai'chan'ji 外掺剂
'wai'jia'ji 外加剂
'wai'nan'xian 外南线
'wai'tou'shan 歪头山
'wan'bi 腕臂
'wan'chen 弯沉
'wan'chen'zhi 弯沉值
'wan'dao 弯道
'wan'fa'tun 万发屯
'wan'gan'xian 皖赣线
'wan'gou 湾沟
'wan'jia'tun 万家屯
'wan'la'qiang'du 弯拉强度
'wan'li'yi'bi 万里一碧
'wan'neng'dao'chi 万能道尺
