'ai'er'bu'chou 哀而不愁
'yi'chu'zhi'jia'er'zhu'you'ji 以歜之家而主犹绩
'yi'chuang'zhi'tian'xia 以创制天下
'yi'ci'bu'he 以此不和
'yi'ci'chang'bu'jian'yue'yu'zhang'li 以此长不见悦于长吏
'yi'ci'gong'cheng 以此攻城
'yi'ci'jun'zhi'wai'chen'shou 以赐君之外臣首
'yi'ci'lun'zhi 以此论之
'yi'ci'quan'qi'zhen'er'ming'hou'shi 以此全其真而名后世
'yi'ci'san'shi'xian'ming'yu'zhu'hou 以此三世显名于诸侯
'yi'ci'shi'shi 以刺世事
'yi'ci'tu'gong 以此图功
'yi'ci'zhi'di 以此制敌
'yi'ci'zhong'zhan 以此众战
'yi'ci'zi'kui 以此自愧
'yi'ci'zi'zhong 以此自终
'yi'cong'yi'wang'zhi 以从逸王志
'yi'cong'zhi'zheng 以从执政
'yi'cun'zhi'di 一寸之地
'yi'cuo'wei'zhi'shuo 以错为之说
'yi'da'wang'shi'er'yi'yi 以达王事而已矣
'yi'da'wang'zhi'xian 以大王之贤
'yi'da'yi'xiao 以大易小
'yi'dai'bin'ke 以待宾客
'yi'dai'bu'ting'bu'yu'zhi'huan 以待不庭不虞之患
'yi'dai'yu'nian 以待余年
'yi'dai'zi'bu'shi'zhi'xu 以待子不时之需
'yi'dan'bu'neng'you 一旦不能有
'yi'dan'di'zui 一旦抵罪
'yi'dan'gao'che'si'ma 一旦高车驷马
'yi'dan'lin'xiao'li'hai 一旦临小利害
'yi'dan'shan'ling'beng 一旦山陵崩
'yi'dan'xuan'lu 一旦轩露
'yi'dan'yi'nian'man'qi'shi 一旦以年满七十
'yi'dan'yi'zui 一石亦醉
'yi'dang'qiang'hu'lang'zhi'qin 以当强虎狼之秦
'yi'dang'shi'de'shi'zhi'lin'ye 亦当世得失之林也
'yi'dao'ji'chen'gua'fu'zhi'suo'tan 以道羁臣寡妇之所叹
'yi'dao'ju'ding'huo'dai'tian'xia'zhi'shi 以刀锯鼎镬待天下之士
'yi'dao'ming'zhe'ye 以道鸣者也
'yi'dao'yu'qiong'e'zhi'shui'huo 以蹈于穷饿之水火
'yi'de'bu'yi'xing 以德不以形
'yi'de'fu'ci 以德辅此
'yi'de'li'zong'miao'ding'she'ji'yue'xun 以德立宗庙定社稷曰勋
'yi'de'qi'zhi 以得其志
'yi'de'ruo'bi 以德若彼
'yi'de'suo'yu 以得所欲
'yi'de'wei'yuan 以德为怨
'yi'deng'long'men 一登龙门
'yi'di'bi'bu'neng'kan 义帝必不能堪
'yi'di'yi'ren'yu'xiao'ruo'di'zhe'wei 以地以人与小弱弟者为
'yi'di'yu'wei 以地与魏
'yi'di'zhi'cun'wang 义帝之存亡
'yi'di'zhi'jiu'ye 仪狄之酒也
'yi'di'zhi'you'jun 夷狄之有君
'yi'die'ru'shan 倚叠如山
'yi'ding'wo'wang 以定我王
'yi'ding'yu'chu 以鼎与楚
'yi'dong'er'wu'ye'fu 一动而五业附
'yi'dong'yi'chun 一冬一春
'yi'du'liang'xiong'tian'xia 以度量雄天下
'yi'duan'bing'qi 异端并起
'yi'duo'ji'zhi'ti 以多疾之体
'yi'er'bao'shu'shi'qi'gong'zi'xiao'bai 已而鲍叔事齐公子小白
'yi'er'bu'le 以而不乐
'yi'er'fu'gui'di 已而复归帝
'yi'er'guo'wei'qin 以二国委秦
'yi'er'jun'lei'ran'xie'qi'zi'chu'jia 已而君累然携妻子出家
'yi'er'qi'zi'wei'guo'wen'zheng'gong 已而其子魏国文正公
'yi'er'qu'zhi 揖而去之
'yi'er'tan'yue 已而叹曰
'yi'er'xi'yang'zai'shan 已而夕阳在山
'yi'er'xuan'tai'zhou'hai'ling'xian'zhu'bu 已而选泰州海陵县主簿
'yi'er'zhi'chu 一二指搐
'yi'fa'de'zhi 一发得之
'yi'fang'luan'ye 以防乱也
'yi'fang'zhi'le 异方之乐
'yi'fei'chong'tian 一蜚冲天
'yi'fei'qi'shen 以肥其身
'yi'fei'yu'yi'ren 以非余一人
'yi'fei'zhi'yu 以废治狱
'yi'feng'ci'shi 以奉祠事
'yi'feng'cui'you'shi'yi'qu'yi'lai'er 抑丰悴有时一去一来而
'yi'feng'jian'yan 以讽谏焉
'yi'feng'ming'dong 以风鸣冬
'yi'feng'ru 以封汝
'yi'feng'yi'su 移风易俗
'yi'feng'zong'miao'ci'sheng'ji'fu 以奉宗庙粢盛祭服
'yi'fu'cheng'wang'tuo'zhou'gong'zhi'yi 以负成王托周公之意
'yi'fu'fu'zai'wu'shen 衣服附在吾身
'yi'fu'ke'xi'er'huo'ke'bei'ye 以福可喜而祸可悲也
'yi'fu'qie'wei'su'can'zhi'ze'jiu'yi 已负窃位素餐之责久矣
'yi'fu'se 易服色
'yi'fu'shi'yu'xia 以服事虞夏
'yi'fu'wu'liao 益复无聊
'yi'fu'xian'wang'zhi'zhi 以复先王之职
'yi'fu'xiang'guo'jia 以辅相国家
'yi'fu'ye'hu 一夫夜呼
'yi'fu'you'chen'ai'zhi'wai 以浮游尘埃之外
'yi'fu'you'si'lun'qi'xing'shang 宜付有司论其刑赏
'yi'fu'zuo'nan'er'qi'miao'hui 一夫作难而七庙隳
'yi'gai'qian'shi'zhi'shi 宜改前世之失
'yi'gai'shi'zhi'ming 以盖世之名
'yi'gao 以告
'yi'gao'di'zhao'ru'wei'ji'shi'zhong 以高第召入为给事中
'yi'gao'jiu'fan 以告舅犯
'yi'gao'qi'cong'shi'su'shi 以告其从事苏轼
'yi'gao'xian'di'zhi'ling 以告先帝之灵
'yi'gao'xuan'zi 以告宣子
'yi'gao'yu'ren 以告于人
'yi'gao'zhao'xuan'zi 以告赵宣子
'yi'ge'cong'qi'zhi'ye 亦各从其志也
'yi'ge'er'he'zhi 依歌而和之
'yi'ge'yong'da'song'zhi'gong'de 以歌咏大宋之功德
'yi'gei'gong'shang 以给公上
'yi'gong'dao'zhi'nan'ming 以公道之难明
'yi'gong'shan'xi'qian'li'zhi'qin 以攻山西千里之秦
'yi'gong'shang'di'shan'chuan'bai'shen'zhi'si 以供上帝山川百神之祀
'yi'gong'shang'yong 以供上用
'yi'gong'zhi'jian 一宫之间
'yi'gou'bu'wang'huan 衣垢不忘浣
'yi'gu'qi'hou'ming'zhi'yue'bao'chan 以故其后名之曰褒禅
'yi'gu'qi'suo 亦固其所
'yi'gu'qin 宜鼓琴
'yi'gu'xiang'wei'shang'jiang'jun 以故相为上将军
'yi'gu'zuo'qi 一鼓作气
'yi'guan'cai'zhi'qin 以管蔡之亲
'yi'guan'er'jian'zhi 衣冠而见之
'yi'guang'chi'wu'wang'zhi'xin 以广侈吴王之心
'yi'guang'ling 移广陵
'yi'guang'xian'di'yi'de 以光先帝遗德
'yi'gui'bu'yi'chang 以贵不以长
'yi'gui'yu'xian'sheng 一归于先生
'yi'guo'gong'gong'er'wei'zhi 一国共攻而围之
'yi'guo'shi'er'lun 以国士而论
'yi'guo'zhi'le'ye 异国之乐也
'yi'hai'nong'zhe'fan 以害农者蕃
'yi'hao 邑号
'yi'he'cong'er'yong'zhi 亦何从而用之
'yi'he'gu'zai 亦曷故哉
'yi'he'hen'hu'qiu'sheng 亦何恨乎秋声
'yi'he'mian'mu'fu'shang'fu'mu'zhi'qiu 亦何面目复上父母之丘
'yi'he'ren 繄何人
'yi'he'shi'er'fan 以何市而反
'yi'he'suo'fa'shou'ye 宜何所法守也
'yi'he'yi'yi'ci'le'ye 亦何以易此乐也
'yi'hou'suo'cheng 以后所称
'yi'hu'ci'zun'er'ju'bei 宜乎辞尊而居卑
'yi'hu'ge'zhi'qi'neng'yi'xiang'sheng'ye 宜乎各致其能以相生也
'yi'hui'yu'jue'xin 亦悔于厥心
'yi'huo'cheng'yu'chu 亦获成于楚
'yi'huo'ci'zuo 亦或赐坐
'yi'huo'jue'wei 以获爵位
'yi'huo'shu'shi'nian'huo'yi'er'bai'nian 亦或数十年或一二百年
'yi'ji'neng'yan 亦既能言
'yi'ji'qi'jing'wu'shi'shi'zhi'bian 以纪其景物时世之变
'yi'ji'qi'sheng'zhi'yu'tan'xie'er'wang 以济其生之欲贪邪而亡
'yi'ji'yi'rong 一肌一容
'yi'ji'yu'nan 以及于难
'yi'ji'yu'nan 宜及于难
'yi'ji'zi'gui 以箕子归
'yi'ji'zi'wei'chen 以季子为臣
'yi'ji'zi'wei'zun'er'duo'jin 以季子位尊而多金
'yi'jia'er'ren 已嫁二人
'yi'jia'fu'zhou'shi 以夹辅周室
'yi'jia'you'mou'nian'mou'yue'mou'jia'zi 以嘉祐某年某月某甲子
'yi'jian'qi'huo'ye 亦见其惑也
'yi'jian'yu'zhi'wu'suo'wang'er'bu'le 以见予之无所往而不乐
'yi'jian'zhi'liu'er 以蹇之六二
'yi'jiang'an'er'bu'jiu'yu 抑将安而不救欤
'yi'jiang'ju'er'cong'zhi'hu 亦将举而从之乎
'yi'jiang'qiong'e'qi'shen'si'chou'qi'xin 抑将穷饿其身思愁其心
'yi'jiang'you'gan'yu'si'wen 亦将有感于斯文
'yi'jiao'xing'yu'bu'si 以侥幸于不死
'yi'jie'bu'yu'zhe'ye 以戒不虞者也
'yi'jie'di'nan 一介嫡男
'yi'jie'di'nv 一介嫡女
'yi'jie'jian'li'xing'zhong'yu'qi 以节俭力行重于齐
'yi'jie'shu'sheng 一介书生
'yi'jie'wu'yu'qin'er 亦皆务于勤耳
'yi'jin'chen'li 以尽臣礼
'yi'jin'qi'suo'fa'zai 亦谨其所发哉
'yi'jin'wu'chi 以尽吾齿
'yi'jin'wu'liang 以谨无良
'yi'jin'yu'shi 义近于史
'yi'jing'hai'er'kua'yao'zhi'ye 以惊骇而夸耀之也
'yi'jing'ke'yi'zhi'bai'dong 一静可以制百动
'yi'jing'pin'ti 一经品题
'yi'jing'qi'suo'wei 以旌其所为
'yi'jing'zhi'da'ji'ru'yao 一胫之大几如要
'yi'jiong'xiu'huang 宜扃岫幌
'yi'jiu'yi'yan 以就役焉
'yi'jue'liu'lv'zhi'ci'xiong 以决刘吕之雌雄
'yi'jun'wei'zhang'zhe 以君为长者
'yi'jun'zhi'ling 以君之灵
'yi'jun'zi'zhang'zhe'zhi'dao'dai'tian'xia 以君子长者之道待天下
'yi'jun'zi'zhi'suo'yi'dong'xin'zhe'ye 亦君子之所宜动心者也
'yi'kao'cong'zhe 以犒从者
'yi'ke'qin'wei'gong 以恪勤为公
'yi'ke'wei'ming 以刻为明
'yi'ke'wei'tian'xia'hou'shi'fa 亦可为天下后世法
'yi'ke'yi'jie'fen 亦可以解纷
'yi'ke'yi'nan'mian'er'zhi'qin 宜可以南面而制秦
'yi'ke'yi'shao'kui'yi 亦可以少愧矣
'yi'ke'yi'zhi'yi 亦可以止矣
'yi'kou'liang'di 以口量地
'yi'kuang'tian'xia 一匡天下
'yi'kui'zhou'shi 以窥周室
'yi'kun'wei'zhu'hou'zhu'ke 以髡为诸侯主客
'yi'lai'dang'yao'wo'bian'jiang 以来荡摇我边疆
'yi'lai'gao'wo'yue 亦来告我曰
'yi'lai'hui'shi'shi 以来会时事
'yi'lan'guan'jiang'liu'zhi'sheng 以览观江流之胜
'yi'lao 已老
'yi'lao'ding'guo'ze'si'zhi 以劳定国则祀之
'yi'lao'ren'si'po'xia 一老人死坡下
'yi'lao'yu'hu'you'zhi'xia 以老于户牖之下
'yi'le'qi'zhi 以乐其志
'yi'le'sheng'song'si 以乐生送死
'yi'lei'ming'xia 以雷鸣夏
'yi'li'chu'huai'wang'sun'xin 以立楚怀王孙心
'yi'li'qi'si'ren 以利其嗣人
'yi'li'wei'luo 以礼为罗
'yi'li'xiang'qing 以利相倾
'yi'li'yu'shi 以立于世
'yi'li'zi'mian'gui 以例自免归
'yi'liao'yi'gu'wu'yu'ye 亦聊以固吾圉也
'yi'lin'chang'bai'xing'er'qing'zhong'bu'zhi 以临长百姓而轻重布之
'yi'lin'er'zhou'zhi'jiao 以临二周之郊
'yi'lin'pang'huang 以临彷徨
'yi'lin'zhao'bai'guan 以临照百官
'yi'ling'zhao'hou'si'zhi'yu'yi 遗令诏后嗣之余义
'yi'luan'wei'zhi 以乱为治
'yi'luan'yi'zheng 以乱易整
'yi'lun'zheng'ju'jin'gu 议论证据今古
'yi'lv'wen 瘗旅文
'yi'ma'ke'dai 倚马可待
'yi'man'yao'fu 夷蛮要服
'yi'mao'nai'yu 乙卯乃雨
'yi'mei'qi'shen 以没其身
'yi'mei'ye 夷昧也
'yi'mei'ye'li 夷昧也立
'yi'mei'ye'si 夷昧也死
'yi'meng'wei'wu'yi'hu 以盟为无益乎
'yi'meng'wei'you'yi'hu 以盟为有益乎
'yi'mian'guan'tu'xian 亦免冠徒跣
'yi'mian'shang'wei'zhi'tian 以绵上为之田
'yi'mian'yu'kun'qiong'zhi'huan 以免于困穷之患
'yi'mian'yu'nan 以免于难
'yi'min'gong'zhi'zi'gong'yu'wu'you 懿敏公之子巩与吾游
'yi'ming'da'wang'zhi'shi'xin 以明大王之失信
'yi'ming'jing'ren 一鸣惊人
'yi'ming'min'gong'cai 以明民共财
'yi'ming'qi'nian 以名其年
'yi'ming'qi'shu 以名其书
'yi'ming'qi'zi 以名其子
'yi'ming'shi'bai'guan 以明示百官
'yi'ming'wen'yu'tian'xia 以明闻于天下
'yi'ming'xian'wang'zhi'ji'zhe 以明先王之迹者
'yi'ming'ye 亦命也
'yi'mo'bu'you'hou'jin'zhi'shi'fu'tian 亦莫不有后进之士负天
'yi'mo'gan'yun 亦莫敢愠
'yi'mo'gan'yun'yan 亦莫敢愠焉
'yi'nai'duo'gu'rou'zhi'shu'er'kang'jing 已乃堕骨肉之属而抗刭
'yi'nai'yan'ke'ru'guan 已乃延客入观
'yi'nan'chuang'yi'ji'ao 倚南窗以寄傲
'yi'nan'gao 以难告
'yi'neng'bian'jun'zi'yu'xiao'ren'ye 以能辨君子与小人也
'yi'neng'ru'si'ma'ci'shi'shi 已能如司马刺史时
'yi'neng'ye 易能也
'yi'neng'yi'wai'shi'su 亦能遗外世俗
'yi'neng'you'cheng'gong 以能有成功
'yi'nian'lao 以年老
'yi'nie'ren 以啮人
'yi'nuo'bi'cheng 已诺必诚
'yi'nv'bu'chao 一女不朝
'yi'pi'fu'zhi'li 以匹夫之力
'yi'pian'zhi'zhong'san'zhi'yi'yan 一篇之中三致意焉
'yi'pin'yu'chu 以聘于楚
'yi'po'shi'qu'jiu'zhi'fen'yi 亦颇识去就之分矣
'yi'po'yi'wen'mo'zi'wei 亦颇以文墨自慰
'yi'pou'zhi'tu'wei'gan 一抔之土未干
'yi'qi'bi'mian'er'fu'lai 意其必免而复来
'yi'qi'bu'hua'wei'xiu'rang 意其不化为朽壤
'yi'qi'bu'sha'wei'ren 以其不杀为仁
'yi'qi'di'shi'shi'ran 亦其地势使然
'yi'qi'di'zi'lan'wei'ling'yin 以其弟子兰为令尹
'yi'qi'er'fa 易奇而法
'yi'qi'er'jian 益奇而坚
'yi'qi'fu'jian'zhi'si 移其伏剑之死
'yi'qi'gu 以齐故
'yi'qi'jia'lian'er'gong'sheng'ye 以其价廉而工省也
'yi'qi'jie'zi'gao 以气节自高
'yi'qi'lei'wei'zhao 以其类为招
'yi'qi'mu'jun 以其目君
'yi'qi'nai'hua'shan'zhi'yang'ming'zhi'ye 以其乃华山之阳名之也
'yi'qi'neng'yue'luan'ju'zhi'yu 以其能越挛拘之语
'yi'qi'piao'ran'tuo'qu'shi'su'zhi'le 意其飘然脱去世俗之乐
'yi'qi'qin'qin'ken'ken 意气勤勤恳恳
'yi'qi'qiu'si'zhi'shen'er'wu'bu'zai 以其求思之深而无不在
'yi'qi'qu'er'jing'qiu 亦崎岖而经丘
'yi'qi'ren 逸其人
'yi'qi'she'ji 以弃社稷
'yi'qi'si'ren'er'rou'bai'gu'ye 繄起死人而肉白骨也
'yi'qi'suo'ru 以其所入
'yi'qi'tu'zhu'tai 以其土筑台
'yi'qi'wo'ran'dan'zhe'wei'gao'mu 宜其渥然丹者为槁木
'yi'qi'wu'li'yu'jin 以其无礼于晋
'yi'qi'xian'jin 以其先晋
'yi'qi'yang'yang 意气扬扬
'yi'qi'yi'fu 一起一伏
'yi'qi'yi'ye 亦其宜也
'yi'qi'you'de 以其有得
'yi'qi'yu'zhou'bu'ke'ze'qu'zhi'lu 以其于周不可则去之鲁
'yi'qi'zi'er'yi 遗其子而已
'yi'qian 益虔
'yi'qian'jin'wei'lu'lian'shou 以千金为鲁连寿
'yi'qiang'yu'nei 义强于内
'yi'qie'ke'jing'ke'e'zhi'zhuang 一切可惊可愕之状
'yi'qie'shu'ji 一切疏计
'yi'qin'gong'zhi 以秦攻之
'yi'qin'shi'qi'bian 仪秦失其辨
'yi'qing'chen'hou'yu'chu 以请陈侯于楚
'yi'qing'er'yan 以情而言
'yi'qing'yao'nie 以清妖孽
'yi'qing'zhuo'shu'xiu'zhi'dian 以清酌庶羞之奠
'yi'qiu'bi'qi'shuo 以求毕其说
'yi'qiu'cheng'da'gong 以求成大功
'yi'qiu'dou'hu'zhi'lu 以求斗斛之禄
'yi'qiu'ge'di 以求割地
'yi'qiu'qi'suo'wei'qing'jing'ji'mie'zhe 以求其所谓清净寂灭者
'yi'qiu'qin'mei'yu'zhu'shang 以求亲媚于主上
'yi'qiu'yi'chun 一秋一春
'yi'qiu'zhi 以求知
'yi'qu'er'fu'gu 已去而复顾
'yi'qu'qi'guo 以取其国
'yi'qu'qu'zhi'qi'zai'hai'bin 以区区之齐在海滨
'yi'qu'qu'zhi'song 以区区之宋
'yi'qu'xian'gui'zhe 以取显贵者
'yi'qu'yuan'ming 以屈原鸣
'yi'qu'zhi 亦去之
'yi'quan'neng'zhe 以劝能者
'yi'que'qi'er'cun'wei 以却齐而存魏
'yi'ran'hei'zhe'wei'xing'xing 黟然黑者为星星
'yi'ran'zhi'xiao'ye 已然之效也
'yi'ren'yong'er'tian'xia'cong 一人用而天下从
'yi'ren'zhi'si'yan'ye 一人之私言也
'yi'ren'zhi'xin 一人之心
'yi'ren'zhi'zhong 一人之众
'yi'ri'bu'zai'shi'ze'ji 一日不再食则饥
'yi'ri'fu'de'er'ji'han'zhi 一日弗得而饥寒至
'yi'ri'wu'zhong 一日无仲
'yi'ri'yu'yu'tong'zai'nei'ting 一日与余同在内庭
'yi'ri'zhi'nei 一日之内
'yi'rong'you'wei'bi'ran'ye 亦容有未必然也
'yi'ru'jun'yi 以辱君义
'yi'ruo'ci'zhe 亦若此者
'yi'ruo'he'er'tu'zhi 宜若何而图之
'yi'ruo'qi'ju'yin'shi'yu'shan'jie'ye 宜若起居饮食与山接也
'yi'ruo'tian'xia'zhi'min 以弱天下之民
'yi'ruo'you'yi'er'wu'sun'zhe 宜若有益而无损者
'yi'sai'zhong'jian'zhi'lu'ye 以塞忠谏之路也
'yi'san'nian'yi 已三年矣
'yi'san'shi'ci'zhuang'zong'er'gao'zhi'yue 以三矢赐庄宗而告之曰
'yi'sao'jin'dai'wu'hui'zhi'xi 一扫近代芜秽之习
'yi'shan 一善
'yi'shan'ren'er'gao'zhi'yue 挹山人而告之曰
'yi'shang'xian'di'zhi'ming 以伤先帝之明
'yi'shang'xian'wang'zhi'ming 以伤先王之明
'yi'shang'yi'yong 一觞一咏
'yi'shang'yong'zhi'gu'ye 以上用之故也
'yi'shao'ling'chi 以稍陵迟
'yi'shen'er'er'ren'yan 一身而二任焉
'yi'shen'ru'ji'qin 以深入击秦
'yi'shen'xia'zhi 以身下之
'yi'sheng'er'xiang'ru'zu 一胜而相如族
'yi'sheng'yi'shi 以生以食
'yi'sheng'yi'zai 亦盛矣哉
'yi'shi'cang'lin 以实仓廪
'yi'shi'chan'yu'zhi'ren 以事谄谀之人
'yi'shi'cheng'jun'zhi'guan 以是承君之官
'yi'shi'guan'zhi 以是观之
'yi'shi'hou'ren'er'fu'ai'hou'ren'ye 亦使后人而复哀后人也
'yi'shi'huo'jin'su'yi'dan 一食或尽粟一石
'yi'shi'jie'mu'yu'zhi'jiao 一时皆慕与之交
'yi'shi'miao'pao 以实庙庖
'yi'shi'mu'qi'tai'chang'bo'shi 以事母弃太常博士
'yi'shi'qi'jia 以世其家
'yi'shi'qi'li 以适其力
'yi'shi'qi'wu'you 以示其无有
'yi'shi'qiu'bo 以是求伯
'yi'shi'ren'jun'de'ru'jia'sheng'zhi'chen 亦使人君得如贾生之臣
'yi'shi'sheng'wei'cai 以石生为才
'yi'shi'suo'an 衣食所安
'yi'shi'tian'xia'zhi'le 以适天下之乐
'yi'shi'tian'xia'zhi'ren 意使天下之人
'yi'shi'wei'dian'ke'hu 以是为典可乎
'yi'shi'wu'min'jiang'ze'sheng'yu'yan'luan 异时吾民将择胜于岩峦
'yi'shi'wu'nian'qi'yue'shi'ri'gui'zang 以十五年七月十日归葬
'yi'shi'xian'shi 一时贤士
'yi'shi'yi'di 以弑义帝
'yi'shi'yi'ren 以事一人
'yi'shi'you'huo'fei'zhi 义士犹或非之
'yi'shi'yu'ben'zou 衣食于奔走
'yi'shi'yu'shi'hu'sheng 衣食于是乎生
'yi'shi'zai'de 奕世载德
'yi'shi'zhi'liang'ye 医师之良也
'yi'shi'zhi'zhi 亦使知之
'yi'shi'zu'er'zhi'rong'ru 衣食足而知荣辱
'yi'shou'jin'yu'zhi'zhong'ye 以守金玉之重也
'yi'shou'jue'mian'zui 以受爵免罪
'yi'shou'xia'zhong 以收夏众
'yi'shu'er'he'zhi 亦属而和之
'yi'shu'jun'shi 以数军实
'yi'shu'ke'er'gao'zhi 以属客而告之
'yi'shui'zhi'li 伊谁之力
'yi'shun'ji'tian'di 以顺及天地
'yi'shun'zuo'you'zhi'xin 以顺左右之心
'yi'si 以死
'yi'si'da'yi'tong'zhi'jun 以俟大一统之君
'yi'si'fu'guan'ren'feng'zhe'de'yan 以俟夫观人风者得焉
'yi'si'qie'bu'xiu 亦死且不朽
'yi'si'qin'shi'ze'si'zhi 以死勤事则祀之
'yi'si'wu'shi'zhi'guo 以四无事之国
'yi'si'you'yi'an'zhi 益思有以安之
'yi'si'you'yi'bao'zhi 益思有以保之
'yi'si'you'yi'rou'zhi 益思有以柔之
'yi'si'zhi'bu'yu'su'pin'ye 以斯知不欲速贫也
'yi'si'zhi'bu'yu'su'xiu'ye 以斯知不欲速朽也
'yi'sui'qi'hou 以随其后
'yi'sui'si'fang 以绥四方
'yi'tai'shen'yi 亦太甚矣
'yi'tai'shou'shuo'ru'ci 诣太守说如此
'yi'tai'yu'guo 以泰于国
'yi'tian'ji 义田记
'yi'tian'tian'xia 以忝天下
'yi'tian'xia 一天下
'yi'tian'xia'zhi'da'guo'yu'zhi 以天下之大过予之
'yi'tian'zhi'dao'xian'wang'zhi'ling 以天之道先王之灵
'yi'tong'dao'wei'peng 以同道为朋
'yi'tong'li'wei'peng 以同利为朋
'yi'tong'qi'kuang'huo 以通其狂惑
'yi'tou'hu 宜投壶
'yi'tou'huo'yu'ci'xie 以偷活于此邪
'yi'tou'qiang'di'er 以头抢地耳
'yi'tu'tian'xia'zhi'er'mu 以涂天下之耳目
'yi'wan'ren'ge'yi'xin 亿万人各异心
'yi'wan'sheng'zhi'qiang'guo 夷万乘之强国
'yi'wang'tian'xia 以王天下
'yi'wang'yu'chu 以亡于楚
'yi'wei'bi'gui 以为必归
'yi'wei'bi'you'ke'yi'zi'an'zhi'ji 以为必有可以自安之计
'yi'wei'bu'ru'er'zhi'huan 以为不入耳之欢
'yi'wei'chang'xiang 以慰长想
'yi'wei'chang'yi'guo'shi'dai'zhi'ye 亦未尝以国士待之也
'yi'wei'chen'ji 已为陈迹
'yi'wei'chu'fan 以为触犯
'yi'wei'ci'shi 意谓此时
'yi'wei'di'ze'ao 以为弟则傲
'yi'wei'er'yu'chu'ye 以为贰于楚也
'yi'wei'fu'guo 以为俘馘
'yi'wei'fu'xian'er'ru'yu'ci'zhe 以慰夫贤而辱于此者
'yi'wei'guan'you 以为观游
'yi'wei'gui'lin'xiang'jun 以为桂林象郡
'yi'wei'gui'wu 以为鬼物
'yi'wei'guo'dian 以为国典
'yi'wei'hou'tu 以为后图
'yi'wei'huang'huo'bai'luan 以为荒惑败乱
'yi'wei'jie'qi'min 以威劫齐民
'yi'wei'jun'you 以为君忧
'yi'wei'li'ling'su'yu'shi'da'fu'jue 以为李陵素与士大夫绝
'yi'wei'mian'yu'huo 亦未免于祸
'yi'wei'pu'ju'er'shi 以为仆沮贰师
'yi'wei'qi 宜围棋
'yi'wei'ren'wu'suo'bu'zhi 以谓人无所不至
'yi'wei'shao'chui'cha'yan 亦惟少垂察焉
'yi'wei'shao'chui'lian'yan 亦惟少垂怜焉
'yi'wei'shi'si'sheng'zhi'fu'wu'cai'zhang 亦唯是死生之服物采章
'yi'wei'sui'zan'xiang'bie 以为虽暂相别
'yi'wei'tan'er'bu'zhi'zu 以为贪而不知足
'yi'wei'tian'xia'yi'biao 以为天下仪表
'yi'wei'tong'xing'zhi'qin'ke'yi'xiang'ji 以为同姓之亲可以相继
'yi'wei'wang'gong 以卫王宫
'yi'wei'wen'hou'jin'zhi'shi 抑未闻后进之士
'yi'wei'wen'zhe'qi'zhi'suo'xing 以为文者气之所形
'yi'wei'wu'shi'yi 以为无事矣
'yi'wei'xian'jun'bu'qin'bu'pan'zhi'chen 以为先君不侵不叛之臣
'yi'wei'xin'mian'yu'sang'shi'ran'er 以为新免于丧适然耳
'yi'wei'xiu'xi'zhi'suo 以为休息之所
'yi'wei'ya'jian'you'shi'ren'zhi'yi 以为雅健有诗人之意
'yi'wei'yan'yuan'meng'ke'fu'chu 以为颜渊孟轲复出
'yi'wei'yi'jia 以为一家
'yi'wei'you'meng'ke'zhi'feng 以为有孟轲之风
'yi'wei'zhi'qi'yan'zhi'bei'ye 亦未知其言之悲也
'yi'wei'zhi'yuan 以为之援
'yi'wei'zi'fang'cai'you'yu 以为子房才有余
'yi'wei'zi'wei'zou'zhi'gu'yue 夷维子谓邹之孤曰
'yi'wei'zi'yue 夷维子曰
'yi'wei'zi'ze'bu'xiao 以为子则不孝
'yi'wei'zi'zhi'ce'er'cong 夷维子执策而从
'yi'wei'zong'zu'jiao'you'guang'chong 以为宗族交游光宠
'yi'wen'sheng'wei'cai 以温生为才
'yi'wen'xiu'zhi 以文修之
'yi'wo'du'wu 繄我独无
'yi'wu'guan'zhi 以吾观之
'yi'wu'kui'yu'xin'ye 已无愧于心也
'yi'wu'lin'zhi 以武临之
'yi'wu'meng'yan 亦无瞢焉
'yi'wu'qian'zhi'zhong 以五千之众
'yi'wu'ru'xian'ren 以污辱先人
'yi'wu'suo'qu'yan 亦无所取焉
'yi'wu'wei'chang'yi'ri'zhi'qi'qi'ye 以吾未尝一日之戚戚也
'yi'wu'you'ke'shi 以无忧客使
'yi'wu'zhi'gu 夷吾桎梏
'yi'xi 噫嘻
'yi'xi'qi'min 以喜其民
'yi'xi'shan'zhi'bai'yun 挹西山之白云
'yi'xian'di'zhi'ming 以先帝之明
'yi'xian'hu'wu 亦先乎吾
'yi'xian'ru'nan 宜先入南
'yi'xiang'jian'qi'wei'ren 以想见其为人
'yi'xiang'jian'tu 以相剪屠
'yi'xiang'jing 以相警
'yi'xiang'qi'li'zhe'wei'you'de 已飨其利者为有德
'yi'xiang'qi'long 宜享其隆
'yi'xiang'yan'fu'su 以项燕扶苏
'yi'xiang'you'ye 以相宥也
'yi'xiang'zhi'si 意象之死
'yi'xiao'zi'qiu'zhi'xia 以效兹丘之下
'yi'xie'qi'huai 以泄其怀
'yi'xie'zhu'hou 以携诸侯
'yi'xin'gu'ju'jian 以心孤句践
'yi'xin'suo'wei'wei 抑心所谓危
'yi'xing 已行
'yi'xing'chuan'fei 逸兴遄飞
'yi'xing'shi'ran'ye 亦形势然也
'yi'xing'shi'yu'zhu'hou 以行事于诸侯
