'an'dian'niu'dian'han 按电钮点焊
'han'si'duo'xing'qi'ti'bao'hu'han 焊丝惰性气体保护焊
'han'si'heng'bai'pin'lv 焊丝横摆频率
'han'si'jian'ju 焊丝间距
'han'si'juan'quan 焊丝卷圈
'han'si'pan 焊丝盘
'han'si'pan'rao'ji 焊丝盘绕机
'han'si'shen'chang 焊丝伸长
'han'si'shen'chu'chang'du 焊丝伸出长度
'han'si'song'jin'su'du 焊丝送进速度
'han'si'ting'bai'shi'jian 焊丝停摆时间
'han'tai 焊态
'han'ti 焊体
'han'tiao'bao'wen'tong 焊条保温筒
'han'tiao'dian'hu'han 焊条电弧焊
'han'tiao'dian'hu'qie'ge 焊条电弧切割
'han'tiao'gang'si 焊条钢丝
'han'tiao'gong'yi'xing 焊条工艺性
'han'tiao'han 焊条焊
'han'tiao'ji'ya'ji 焊条挤压机
'han'tiao'jia 焊条夹
'han'tiao'jia'chi'duan 焊条夹持端
'han'tiao'jia'qian 焊条夹钳
'han'tiao'jin'shu 焊条金属
'han'tiao'pian'xin'du 焊条偏心度
'han'tiao'qian 焊条钳
'han'tiao'rong'hua'su'du 焊条熔化速度
'han'tiao'rong'hua'xing 焊条熔化性
'han'tiao'shang'de'han'yao 焊条上的焊药
'han'tiao'shi'yong'xing 焊条使用性
'han'tiao'xin 焊条芯
'han'tiao'xin'xian 焊条芯线
'han'tiao'ya'tu'ji 焊条压涂机
'han'tiao'yao'pi'han'shui'liang 焊条药皮含水量
'han'tiao'yin'hu'duan 焊条引弧端
'han'tiao'zhi'jing 焊条直径
'han'tiao'zi'dong'tu'mo'ji 焊条自动涂抹机
'han'tou 焊头
'han'tou 焊透
'han'tou'lv 焊透率
'han'tou'shen'du 焊透深度
'han'wang 焊网
'han'wei 焊位
'han'wei'bu'dang 焊位不当
'han'xi'bang'liao 焊锡棒料
'han'xian 焊线
'han'xian'ji 焊线机
'han'xian'ju 焊线距
'han'xian'mai'hu'han 焊线埋弧焊
'han'xiang 焊向
'han'xin 焊芯
'han'xiu 焊修
'han'yan 焊眼
'han'yao 焊药
'han'zai'rong'qi'di'shang'de 焊在容器底上的
'han'zha 焊渣
'han'zhang 焊胀
'han'zhe'jin'shu 焊着金属
'han'zhe'lv 焊着率
'han'zhi 焊趾
'han'zhi'duan'gai 焊制端盖
'han'zhi'fa'lan 焊制法兰
'han'zhi'feng'tou 焊制封头
'han'zhi'guan 焊制管
'han'zhi'lie'wen 焊趾裂纹
'han'zhi'lv'he'jin 焊制铝合金
'han'zhi'ye'lun 焊制叶轮
'han'zhu 焊珠
'han'zhu'han'jie 焊珠焊接
'han'zhuang'ping'tai 焊装平台
'han'zui 焊嘴
'he'feng'han'jie 合缝焊接
'he'ge'zi'dong'han'gong 合格自动焊工
'he'jin'gang'qi'han'tiao 合金钢气焊条
'he'jin'guo'du'xi'shu 合金过度系数
'he'jin'guo'du'xi'shu 合金过渡系数
'he'jin'ji 合金剂
'he'li'han'jie 赫利焊接
'he'qing'han 核氢焊
'he'qing'han'ji 核氢焊机
'hei'bo'li 黑玻璃
'heng'bai'han'dao 横摆焊道
'heng'dian'ya'han'ji 恒电压焊机
'heng'feng'han'jie 横缝焊接
'heng'gong'lv'dian'han'ji 恒功率电焊机
'heng'gong'lv'shi'han'jie'dian'yuan 恒功率式焊接电源
'heng'han 横焊
'heng'han'wei'zhi 横焊位置
'heng'jia'shi'guo'lu'gou'jia 桁架式锅炉构架
'heng'jiao'han 横角焊
'heng'jiao'han'feng 横角焊缝
'heng'liang'shi'lu'pai 横梁式炉排
'heng'lie'duo'si'mai'hu'han 横列多丝埋弧焊
'heng'lie'shuang'si'bing'lian'mai'hu'han 横列双丝并联埋弧焊
'heng'lie'shuang'si'chuan'lian'mai'hu'han 横列双丝串联埋弧焊
'heng'lie'shuang'si'mai'hu'han 横列双丝埋弧焊
'heng'lie'wen 横裂纹
'heng'liu'dian'han'ji 恒流电焊机
'heng'liu'shi'han'jie'dian'yuan 恒流式焊接电源
'heng'wan'shi'yan 横弯试验
'heng'wen'ya'li'han 恒温压力焊
'heng'xiang'bai'dong'han'feng 横向摆动焊缝
'heng'xiang'bai'dong'han'jie 横向摆动焊接
'heng'xiang'bu'mi'shi 横向不密实
'heng'xiang'chui'zhi'jiao'han'feng 横向垂直角焊缝
'heng'xiang'feng'han 横向缝焊
'heng'xiang'gun'dong'wei'zhi'han'jie 横向滚动位置焊接
'heng'xiang'han'feng 横向焊缝
'heng'xiang'han'jie 横向焊接
'heng'xiang'jiao'feng'han'jie 横向角缝焊接
'heng'xiang'jiao'han'feng 横向角焊缝
'heng'xiang'lie'wen 横向裂纹
'heng'xiang'zi'dong'han 横向自动焊
'heng'ya'dian'han'ji 恒压电焊机
'heng'ya'shi'han'jie'dian'yuan 恒压式焊接电源
'heng'ya'ya'li'han 恒压压力焊
'heng'zhi'bu'dong'wei'zhi 横置不动位置
'heng'zhi'bu'dong'wei'zhi'guan'han'jie 横置不动位置管焊接
'hong'guan'duan'kou'fen'xi 宏观断口分析
'hong'guan'jian'yan 宏观检验
'hong'lu 烘炉
'hong'se'dou'li'sui'shi 红色豆粒燧石
'hong'wai'qian'han 红外钎焊
'hong'wai'xian'han'jie 红外线焊接
'hong'wai'xian'jia're'qi 红外线加热器
'hong'wai'xian'qian'han 红外线钎焊
'hou'gong 后拱
'hou'han'fa 后焊法
'hou'qing'han 后倾焊
'hou're 后热
'hou're'wen'du 后热温度
'hou'tui'han 后退焊
'hou'tui'han'jie 后退焊接
'hou'tui'han'jie'fa 后退焊接法
'hou'tui'shi'qi'han 后退式气焊
'hou'tuo'liang 后拖量
'hou'xiang'fen'duan'han'jie 后向分段焊接
'hu'chang 弧长
'hu'guang'zhuo'shang 弧光灼伤
'hu'han 弧焊
'hu'han'bian'ya'qi 弧焊变压器
'hu'han'dian'dong'fa'dian'ji'zu 弧焊电动发电机组
'hu'han'dian'yuan 弧焊电源
'hu'han'fa'dian'ji 弧焊发电机
'hu'han'guan 弧焊管
'hu'han'ji 弧焊机
'hu'han'ji'qi'ren 弧焊机器人
'hu'han'nei'ran'fa'dian'ji'zu 弧焊内燃发电机组
'hu'han'zheng'liu'qi 弧焊整流器
'hu'jiao 护脚
'hu'keng 弧坑
'hu'keng'lie'wen 弧坑裂纹
'hu'xin 弧心
'hu'ya'fan'kui'dian'hu'han 弧压反馈电弧焊
'hu'yan 弧焰
'hu'zhu 弧柱
'hu'zhu'dian'wei'ti'du 弧柱电位梯度
'hu'zhu'ya'jiang 弧柱压降
'hua'can'shu'qi'dong 滑参数启动
'hua'xue'han 化学焊
'hua'xue'qing'xi 化学清洗
'hua'yi'mian'duan'kou 滑移面断口
'huan'cao'shi'mi'feng'mian'dui'han'fa'lan 环槽式密封面对焊法兰
'huan'feng 环缝
'huan'feng'dui'jie'han 环缝对接焊
'huan'feng'han'jie 环缝焊接
'huan'feng'heng'xiang'han'jie 环缝横向焊接
'huan'feng'zi'dong'han 环缝自动焊
'huan'han'feng 环焊缝
'huan'jie 环接
'huan'kou 环口
'huan'rao'han'jie'fu'jian'kong'kou 环绕焊接附件孔口
'huan'xiang'kong'zhi'han'jie 换向控制焊接
'huan'xing'cao'lie'wen'shi'yan 环形槽裂纹试验
'huan'xing'gui'dao'zi'dong'han'jie 环形轨道自动焊接
'huan'xing'gun'han'ji 环形滚焊机
'huan'xing'han'feng 环形焊缝
'huan'xing'han'feng 环行焊缝
'huan'xing'han'feng'han'jie 环形焊缝焊接
'huan'xing'lie'wen'shi'yan 环形裂纹试验
'huan'yuan'han'jie 还原焊接
'huan'yuan'qu 还原区
'huang'tong'han'tiao 黄铜焊条
'hui'dai'shi'guan'ping 回带式管屏
'hui'huo'bao'xian'qi 回火保险器
'hui'huo'dian'liu 回火电流
'hui'huo'fang'zhi'qi 回火防止器
'hui'huo'han'dao 回火焊道
'hui'huo'shi'jian 回火时间
'hui'ling'dun'fang'yu'ne 惠灵顿防雨呢
'hui'liu'pai 汇流排
'hui'ran'shi 回燃室
'hui'shao 回烧
'hui'shao'fang'zhi'qi 回烧防止器
'hui'shui'wen'du 回水温度
'hui'zha'wu'li're'sun'shi 灰渣物理热损失
'hun'he'bi 混合比
'hun'he'jie'tou 混合接头
'hun'he'qi'ti'bao'hu'dian'hu'han 混合气体保护电弧焊
'hun'he'qi'ti'bao'hu'han 混合气体保护焊
'hun'he'qi'ti'ke'ran'fan'wei 混合气体可燃范围
'hun'he'shi 混合室
'huo'chuang'ran'shao'guo'lu 火床燃烧锅炉
'huo'guan'guo'lu 火管锅炉
'huo'hua'dian'hu'han 火花电弧焊
'huo'hua'dui'han 火花对焊
'huo'hua'han 火花焊
'huo'shi'ran'shao'guo'lu 火室燃烧锅炉
'huo'xing'qi'ti 活性气体
'huo'xing'qi'ti'bao'hu'dian'hu'han 活性气体保护电弧焊
'huo'xing'qi'ti'bao'hu'jin'shu'ji'han'jie 活性气体保护金属极焊接
'huo'xing'qian'liao 活性钎料
'huo'yan'biao'mian'qing'li 火焰表面清理
'huo'yan'han 火焰焊
'huo'yan'han'jie 火焰焊接
'huo'yan'jiao'zheng 火焰矫正
'huo'yan'pen'tu 火焰喷涂
'huo'yan'qi'bao 火焰气刨
'huo'yan'qian'han 火焰钎焊
'huo'yan'qie'ge 火焰切割
'huo'yan'qie'ge'ji 火焰切割机
'huo'yan'qie'guan'ji 火焰切管机
'huo'yan're'xiao'lv 火焰热效率
'huo'yan'wen'ding'xing 火焰稳定性
'ji'ban'ji'guan 基板基管
'ji'chu'chen'jiang 基础沉降
'ji'di'cai'liao 基底材料
'ji'duan'li 机锻力
'ji'guang'han 激光焊
'ji'guang'han'ji 激光焊机
'ji'guang'han'jie 激光焊接
'ji'guang'han'jie'ji 激光焊接机
'ji'guang'han'jie'qi 激光焊接器
'ji'guang'han'jie'shi 激光焊接室
'ji'guang'han'jie'tou 激光焊接头
'ji'guang'han'jie'xi'tong 激光焊接系统
'ji'guang'kou'qiang'jiao'xing'han'jie'ji 激光口腔矫形焊接机
'ji'guang'qian'han 激光钎焊
'ji'guang'qie'ge 激光切割
'ji'han 挤焊
'ji'qi'guan 集汽管
'ji'qi'han'jie 机器焊接
'ji'qi'ren'gong'zuo'kong'jian 机器人工作空间
'ji'qi'ren'yun'dong'zi'you 机器人运动自由
'ji'suan'bi'wen 计算壁温
'ji'suan'ji'fu'zhu'han'jie'gong'yi'she'ji 计算机辅助焊接工艺设计
'ji'suan'ji'fu'zhu'han'jie'jie'gou'she'ji 计算机辅助焊接结构设计
'ji'suan'ran'liao'xiao'hao'liang 计算燃料消耗量
'ji'suan'ya'li 计算压力
'ji'xiang'lian'xiang 集箱联箱
'ji'xie'chu'gou 机械除垢
'ji'xie'han 机械焊
'ji'xie'han'jie'chui'guan 机械焊接吹管
'ji'xie'hua'han'jie 机械化焊接
'ji'xie'jia'gong 机械加工
'ji'xie'la'shen'xiao'chu'ying'li 机械拉伸消除应力
'ji'xie'sun'shang 机械损伤
'ji'xie'tong'feng 机械通风
'ji'xie'xie'dai 机械携带
'ji'xing'xiao'ying 极性效应
'ji'zhi'dian'liu 基值电流
'ji'zhun'dian 基准点
'ji'zhun'yuan 基准圆
'jia'da'ban'dui'jie'dian'han 加搭板对接点焊
'jia'da'ban'dui'jie'gun'han 加搭板对接滚焊
'jia'dun'han'feng'wai'guan 驾吨焊缝外观
'jia'gu'ban 加固板
'jia'jin'leng'han 夹紧冷焊
'jia'jin'li 夹紧力
'jia'kuan'de'han'feng 加宽的焊缝
'jia'qiang'han'feng 加强焊缝
'jia'qiang'han'feng'bu'zu'huo'guo'liang 加强焊缝不足或过量
'jia'qiang'han'feng'gao'du 加强焊缝高度
'jia'qiang'han'feng'han'liu 加强焊缝焊瘤
'jia'qiang'han'jie 加强焊接
'jia'qiang'jin 加强筋
'jia'qiang'le 加强勒
'jia'qiang'quan 加强圈
'jia're'shi'jian 加热时间
'jia'su'dian'ya 加速电压
'jia'tie'bian'de'xie 加贴边的鞋
'jia'wu 夹钨
'jia'ya'han 加压焊
'jia'ya'han'jie 加压焊接
'jia'ya'leng'han 加压冷焊
'jia'ya'lv're'han'jie 加压铝热焊接
'jia'ya'lv're'ji'han'jie 加压铝热剂焊接
'jia'ya're'ji'han 加压热剂焊
'jia'ya'tu'lun 加压凸轮
'jia'ya'zhu'han 加压铸焊
'jia'yao'guan 加药管
'jia'za'wu 夹杂物
'jia'zha 夹渣
'jian'ding'huo'zi'ge 鉴定或资格
'jian'du 碱度
'jian'duan'han 间断焊
'jian'duan'han'feng 间断焊缝
'jian'duan'han'jie 间断焊接
'jian'duan'jiao'feng'han'jie 间断角缝焊接
'jian'ge'han'jie 间隔焊接
'jian'jie'dian'han 间接点焊
'jian'jie'dian'hu 间接电弧
'jian'jie'tan'hu'han 间接碳弧焊
'jian'jie'zuo'yong'tan'hu'han 间接作用碳弧焊
'jian'qie'chun'qu 剪切唇区
'jian'tou'dian'ji 尖头电极
'jian'xi'han'feng 间隙焊缝
'jian'xie'shi'jian 间歇时间
'jian'xing'han'tiao 碱性焊条
'jian'xing'zha 碱性渣
'jian'ya'qi 减压器
'jian'yan'ka'gui 检验卡规
'jian'zhu'chu'gou 碱煮除垢
'jian'zhu'jie'gou'han'jie 建筑结构焊接
'jiao'ban'mo'ca'han 搅拌摩擦焊
'jiao'ban'zhi'jing 焦斑直径
'jiao'bian'xing 角变形
'jiao'cha'han'jie 交叉焊接
'jiao'cha'han'tiao'shi'ya'bo'dian'han 交叉焊条式压薄点焊
'jiao'cheng'ban 角撑板
'jiao'chi 角尺
'jiao'cuo'duan'xu'han'feng 交错断续焊缝
'jiao'cuo'duan'xu'jiao'han 交错断续角焊
'jiao'cuo'duan'xu'jiao'han'feng 交错断续角焊缝
'jiao'cuo'duan'xu'jiao'han'pao 交错断续角焊靤
'jiao'cuo'han 交错焊
'jiao'cuo'jian'duan'han 交错间断焊
'jiao'cuo'sai'han 交错塞焊
'jiao'du'fa 角度法
'jiao'guan'shi'guo'lu 角管式锅炉
'jiao'han 浇焊
'jiao'han 角焊
'jiao'han'feng 角焊缝
'jiao'han'feng'ao'du 角焊缝凹度
'jiao'han'feng'chi'cun 角焊缝尺寸
'jiao'han'feng'duan'mian'xing'zhuang 角焊缝断面形状
'jiao'han'feng'han'hou 角焊缝焊喉
'jiao'han'feng'han'jiao 角焊缝焊脚
'jiao'han'feng'hou'du 角焊缝厚度
'jiao'han'feng'ping'han 角焊缝平焊
'jiao'han'jie 角焊接
'jiao'han'jie'tou 角焊接头
'jiao'he'han'tiao 绞合焊条
'jiao'he'han'tiao 胶合焊条
'jiao'jie'dian'han 胶接点焊
'jiao'jie'dian'han 胶结点焊
'jiao'jie'jie'tou 角接接头
'jiao'jie'ping'han 角接平焊
'jiao'liu'deng'li'zi'hu'han 交流等离子弧焊
'jiao'liu'dian'han'ji 交流电焊机
'jiao'liu'dian'hu'han 交流电弧焊
'jiao'liu'han'ji 交流焊机
'jiao'liu'han'jie'bian'ya'qi 交流焊接变压器
'jiao'liu'hu'han'dian'yuan 交流弧焊电源
'jiao'liu'hu'han'ji 交流弧焊机
'jiao'liu'rong'hua'ji'qi'bao'hu'han 交流熔化极气保护焊
'jiao'liu'wu'ji'qi'bao'hu'han 交流钨极气保护焊
'jiao'xing 矫形
'jiao'yuan 矫圆
'jiao'zhi'liu'hu'han'ji 交直流弧焊机
'jiao'zhi'liu'liang'yong'han'ji 交直流两用焊机
'jiao'zhi'liu'liang'yong'hu'han'dian'yuan 交直流两用弧焊电源
'jiao'zhi'liu'liang'yong'hu'han'ji 交直流两用弧焊机
'jiao'zhu'bu'han 浇注补焊
'jiao'zhu'han'jie 浇注焊接
'jie'chu'ban 接触板
'jie'chu'chong'ji'han 接触冲击焊
'jie'chu'dian'han 接触点焊
'jie'chu'dian'zha'han 接触电渣焊
'jie'chu'dian'zu 接触电阻
'jie'chu'dui'han'ji'de'jia'ya'tu'lun 接触对焊机的加压凸轮
'jie'chu'fan'ying'qian'han 接触反应钎焊
'jie'chu'han 接触焊
'jie'chu'han'ji'duan'liu'qi 接触焊机断流器
'jie'chu'han'jie 接触焊接
'jie'chu'han'tong'dian'shi'jian 接触焊通电时间
'jie'chu'shi'han'jie 接触式焊接
'jie'chu'shi'yi'que'fa'sheng'qi 接触式乙炔发生器
'jie'die'rong'jie'fa 阶叠熔接法
'jie'feng 接逢
'jie'gou'han'jie 结构焊接
'jie'guan'kai'kong'de'han'jie'bu'qiang 接管开孔的焊接补强
'jie'he'ceng 结合层
'jie'he'gen'bu 接合根部
'jie'he'qiang'du 结合强度
'jie'he'qu 结合区
'jie'he'xian 接合线
'jie'jing'ceng'zhuang'xian 结晶层状线
'jie'jing'ping'jun'xian'su'du 结晶平均线速度
'jie'li'duan'kou 解理断口
'jie'liu 结瘤
'jie'mian'bo'chang 界面波长
'jie'mian'bo'fu 界面波幅
'jie'mian'can'shu 界面参数
'jie'neng'han'tiao 节能焊条
'jie'ti'shi'han 阶梯式焊
'jie'ti'xing'duo'ceng'han 阶梯形多层焊
'jie'tou'bu'fen'han'tou 接头部分焊透
'jie'tou'gen'bu 接头根部
'jie'tou'han'jie'gong'yi'gui'cheng 接头焊接工艺规程
'jie'tou'han'tou'shen'du 接头焊透深度
'jie'tou'qu'fen'ji'chang'yong'ming'ci 接头区分及常用名词
'jie'tou'quan'han'tou 接头全焊透
'jie'tou'quan'han'tou'de'fei'biao'zhun'jiao'fa 接头全焊透的非标准叫法
'jie'tou'quan'han'tou'po'kou'han'feng 接头全焊透坡口焊缝
'jie'tou'she'ji 接头设计
'jie'tou'xing'zhuang 接头形状
'jin'han'tiao'jin'shu'hu'han 浸焊条金属弧焊
'jin'mi'han'feng 紧密焊缝
'jin'shen'bei'xin 紧身背心
'jin'shu'dian'hu'han 金属电弧焊
'jin'shu'dui'han'biao'mian 金属堆焊表面
'jin'shu'duo'xing'qi'ti'bao'hu'han'jie 金属惰性气体保护焊接
'jin'shu'han'jie'you'guan 金属焊接油罐
'jin'shu'han'tiao'duo'xing'qi'ti'bao'hu'han 金属焊条惰性气体保护焊
'jin'shu'ji'dian'hu'han 金属极电弧焊
'jin'shu'ji'duo'xing'qi'ti'bao'hu'hu'han'ji 金属极惰性气体保护弧焊机
'jin'shu'ji'qi'bao'hu'han 金属极气保护焊
'jin'shu'ke'han'xing 金属可焊性
'jin'shu'pen'tu 金属喷涂
'jin'shu'rong'di'huo'fei'jian 金属熔滴或飞溅
'jin'shu'rong'ji'qie'ge 金属熔剂切割
'jin'shu'tao'ci'han'jie 金属陶瓷焊接
'jin'shu'wang'han'ji 金属网焊机
'jin'shu'yu'qian'han 金属浴钎焊
'jin'zhan'qian'han 浸沾钎焊
'jin'zhuang'tu'han 筋状凸焊
'jin'zi'qian'han 浸渍钎焊
'jing'dian'chong'ji'han 静电冲击焊
'jing'dian'han 静电焊
'jing'guan'lv'guan 井管滤管
'jing'hua'qi 净化器
'jing'ji'yun'xing 经济运行
'jing'jian'fu'shi 晶间腐蚀
'jing'jian'lie'wen 晶间裂纹
'jing'jian'shen'ru 晶间渗入
'jing'jie'xin'su'ti 晶界欣素体
'jing'kou'fang'suan'qi 井口防酸器
'jing'mi'han'ji 精密焊机
'jing'mi'han'jie 精密焊接
'jing'mi'ji'guang'han'jie'ji 精密激光焊接机
'jing'shi'hui'huo'dian'lu 井式回火电炉
'jing'shi'ji'shu'qi 井式计数器
'jing'ti'guan'hu'han'dian'yuan 晶体管弧焊电源
'jing'wen'ji 井温计
'jing'xiang'mo'ca'han 径向摩擦焊
'jing'xing'ji'shu'qi 井型计数器
'jing'xing'jia'ban'chuan 井形甲板船
'jing'zai'huo'dong'zai'jie'gou 静载或动载结构
'jing'zha'guan'hu'han'zheng'liu'qi 晶闸管弧焊整流器
'jing'zhong'shi'an'quan'fa 静重式安全阀
'jiu'han'jie'que'xian'jian'yan 九焊接缺陷检验
'ju'bu'bian'xing 局部变形
'ju'bu'er'mian'jiao 局部二面角
'ju'bu'gan'shi'shui'xia'han 局部干式水下焊
'ju'bu'ke'han'xing 局部可焊性
'ju'bu'xiao'chu'ying'li 局部消除应力
'ju'bu'ying'li 局部应力
'ju'chi'xing'bian 锯齿形边
'ju'chi'xing'duan'xu'jiao'han'feng 锯齿形断续角焊缝
'ju'chi'xing'lie'wen 锯齿形裂纹
'ju'han 炬焊
'ju'shu'du 拘束度
'ju'shu'han'jie 拘束焊接
'ju'shu'xi'shu 拘束系数
'ju'shu'ying'li 拘束应力
'juan'ban'dui'jie'han 卷板对接焊
'juan'ban'ji 卷板机
'juan'bian'ban'jing 卷边半径
'juan'bian'gao'du 卷边高度
'juan'bian'han 卷边焊
'juan'bian'han'feng 卷边焊缝
'juan'bian'jiao'han'feng 卷边角焊缝
'juan'bian'jie'tou 卷边接头
'juan'guan 卷管
'juan'han'shi'dan'ceng'yuan'tong 卷焊式单层圆筒
'jue're'lu'tang 绝热炉膛
'jun'yun'bu'yao 均匀布药
'ka'wa'han'jie'tao'guan'gua 卡瓦焊接套管挂
'kai'cao'da'han'feng 开槽搭焊缝
'kai'cao'han 开槽焊
'kai'han'jie'po'kou 开焊接坡口
'kai'kong'bu'qiang 开孔补强
'kai'kou'dui'jie'han 开口对接焊
'kai'po'kou 开坡口
'kai'shi'jia'ya'qi'han 开式加压气焊
'kang'la'qiang'du 抗拉强度
'kang'shi'hu'mo 抗蚀护膜
'ke'fen'shi'sheng'mei'qi'du'li'shi'sheng'mei'qi 可分式省煤器独立式省煤器
'ke'han'de 可焊的
'ke'han'fu'he'tong'ban 可焊复合铜板
'ke'han'gang 可焊钢
'ke'han'xing 可焊性
'ke'han'xing'shi'yan 可焊性试验
'ke'kong'dian'hu'han'jie 可控电弧焊接
'ke'kong'gui'hu'han'zheng'liu'qi 可控硅弧焊整流器
'ke'kong'guo'du'dian'hu'han 可控过渡电弧焊
'ke'kong'zheng'liu'qi'han'jie 可控整流器焊接
'ke'mai'lei'er'wan'qu'shi'yan 柯麦雷尔弯曲试验
'ke'tiao'ju'shu'lie'wen'shi'yan 可调拘束裂纹试验
'ke'xuan'zhuan'han'jie'bian'ya'qi 可旋转焊接变压器
'ken'ze'er'wan'qu'shi'yan 肯泽尔弯曲试验
'kong'dao'bi 孔道比
'kong'dao'chang'du 孔道长度
'kong'han 孔焊
'kong'qi'deng'li'zi'hu'qie'ge 空气等离子弧切割
'kong'qi'dian'hu'qie'ge 空气电弧切割
'kong'qi'ji'guang'qie'ge 空气激光切割
'kong'qi'qing'han'jie 空气氢焊接
'kong'qi'tan'hu'qie'ge 空气碳弧切割
'kong'qi'yi'que'han 空气乙炔焊
'kong'qi'yi'que'han'jie 空气乙炔焊接
'kong'qi'yu're'qi 空气预热器
'kong'qiao'guan'kong'dai 孔桥管孔带
'kong'qiao'jian'ruo'xi'shu 孔桥减弱系数
'kong'xi'han 空隙焊
'kong'xi'lv 孔隙率
'kong'zai'dian'ya 空载电压
'kua'bu'han 跨步焊
'kuai'han'jie 块焊接
'kuai'qian'han 块钎焊
'kuai'su'ge'zui 快速割嘴
'kuai'su'han'jie 快速焊接
'kuai'su'qie'ge 快速切割
'kuai'zhuang'guo'lu 快装锅炉
'kuan'feng'han'jie 宽缝焊接
'kuan'gou'dui'xia 宽沟对虾
'kuang'jia'shi'guo'lu'gou'jia 框架式锅炉构架
'kuang'jing'jiao'che 矿井绞车
'kuo'kou'tao'guan'jie'tou 扩口套管接头
'kuo'san'feng'han 扩散缝焊
'kuo'san'han 扩散焊
'kuo'san'han'jie 扩散焊接
'kuo'san'qian'han 扩散钎焊
'kuo'san'qing 扩散氢
'kuo'san'tuo'yang 扩散脱氧
'kuo'san'yang'hua 扩散氧化
'la'ba'mo 喇叭模
'la'ba'po'kou'han'feng 喇叭坡口焊缝
'la'ba'xing'po'kou 喇叭形坡口
'la'ba'xing'po'kou'han 喇叭形坡口焊
'la'ba'xing'po'kou'han'jie 喇叭形坡口焊接
'la'shen'ju'shu'lie'wen'shi'yan 拉伸拘束裂纹试验
'la'shen'ju'shu'lie'wen'shi'yan'shi'yan 拉伸拘束裂纹试验试验
'la'zhi'wu'feng'guan 拉制无缝管
'lai'liu 来流
'lan'shi'shan'yang'pi 蓝湿山羊皮
'lao'tie'qian'han 烙铁钎焊
'lao'tie'tou 烙铁头
'lei'guan'qu 雷管区
'lei'she'guang'han'jie 雷射光焊接
'leng'bi'zhen'kong'qian'han'lu 冷壁真空钎焊炉
'leng'han 冷焊
'leng'han'feng 冷焊缝
'leng'hui'dou 冷灰斗
'leng'lie'min'gan'xi'shu 冷裂敏感系数
'leng'lie'pan'ju 冷裂判据
'leng'lie'wen 冷裂纹
'leng'que'shi'jian 冷却时间
'leng'tai'juan'ban 冷态卷板
'leng'tai'wan'guan 冷态弯管
'leng'ya'han 冷压焊
'leng'ya'jie 冷压接
'leng'yin'ji 冷阴极
'li'hai'lie'wen'shi'yan 里海裂纹试验
'li'han 立焊
'li'han'jiao'han'feng 立焊角焊缝
'li'han'wei'zhi 立焊位置
'li'jiao'han 立角焊
'li'jiao'han'feng 立角焊缝
'li'jiao'liang 离焦量
'li'lun'ji'suan'bi'hou 理论计算壁厚
'li'lun'kong'qi'liang 理论空气量
'li'lun'ran'shao'wen'du 理论燃烧温度
'li'shi'guo'lu 立式锅炉
'li'xiang'xia'han'tiao 立向下焊条
'li'zhuang'bei'shi'ti 粒状贝氏体
'lian'bang'de'guo 联邦德国
'lian'dai'shi'lu'pai 链带式炉排
'lian'he'xing'deng'li'zi'hu 联合型等离子弧
'lian'jie'han'feng 连接焊缝
'lian'jie'shi'yao'pi'bao'si'han'jie 链节式药皮包丝焊接
'lian'sheng'jie'jing 联生结晶
'lian'shi'duan'xu'jiao'han 链式断续角焊
'lian'shi'fen'duan'jiao'han 链式分段角焊
'lian'tiao'lu'pai 链条炉排
'lian'tiao'lu'pai'guo'lu 链条炉排锅炉
'lian'xi'han'feng 联系焊缝
'lian'xu'dian'han 连续点焊
'lian'xu'gan'ying'gun'han 连续感应滚焊
'lian'xu'han 连续焊
'lian'xu'han'feng 连续焊缝
'lian'xu'han'jie 连续焊接
'lian'xu'han'jie'gang'gui 连续焊接钢轨
'lian'xu'ji'guang'han 连续激光焊
'lian'xu'jiao'han'feng 连续角焊缝
'lian'xu'leng'que'zhuan'bian'tu 连续冷却转变图
'lian'xu'leng'que'zhuan'bian'tu'tu 连续冷却转变图图
'lian'xu'pai'wu 连续排污
'lian'xu'shi'lu'han'guan'fa 连续式炉焊管法
'lian'xu'shi'lu'han'guan'ji'zu 连续式炉焊管机组
'lian'xu'song'si'dian'hu'han 连续送丝电弧焊
'lian'xu'tian'jiao'han'feng 连续填角焊缝
'lian'xu'tie'jiao'han 连续贴角焊
'liang'duan'da'jie'han 两端搭接焊
'liang'ji'jian'ya'qi 两级减压器
'liang'jian'han'jie 梁间焊接
'liang'shi'yin'xian'han'jie 梁式引线焊接
'lie'ji'dian'han'fa'dong'ji 裂极电焊发动机
'lie'ji'shi'dian'han'fa'dian'ji 裂极式电焊发电机
'lie'kou'han 裂口焊
'lie'wen'kuo'zhan'lv 裂纹扩展率
'lie'wen'kuo'zhan'su'lv 裂纹扩展速率
'lie'wen'min'gan'xing 裂纹敏感性
'lie'wen'shi'yan 裂纹试验
'lie'wen'zhang'kai'wei'yi 裂纹张开位移
'lie'zhi'han'feng 劣质焊缝
'lin'de'gang'guan'dui'han'fa 林德钢管对焊法
'lin'jie'han'qi'lv 临界含汽率
'lin'jie'lie'wen'chi'cun 临界裂纹尺寸
'lin'jie'ying'li'qiang'du'yin'zi 临界应力强度因子
'lin'pian'shi'lu'pai 鳞片式炉排
'lin'shi'dian'ban 临时垫板
'lin'shi'dian'ding'han'feng 临时点定焊缝
