'an'fa'yi'chuan 按法以传
'suo'yi'ying'gai'zhi'zhe'wu'ji 所以营溉之者无极
'suo'zai'si'ying 所在司迎
'suo'zhu'wu'juan 所诛无蠲
'ta'nian'hui'zhuo'yu'kou 他念秽浊于口
'tai'bai'jian'fei 太白检肺
'tai'bo'long'wang 太伯龙王
'tai'chu'jun 太初君
'tai'chu'zhang'ren 太初丈人
'tai'dan'yu'nv'san'ren'shi'wei 太丹玉女三人侍卫
'tai'di'jun 太帝君
'tai'di'zhang'ren 太帝丈人
'tai'he'jun 太和君
'tai'he'yu'nv 太和玉女
'tai'he'zhang'ren 太和丈人
'tai'hua'liu'fen 太华流氛
'tai'hua'zhi'jin 太华执巾
'tai'ji'shang'gong 太极上宫
'tai'ping'jun 太平君
'tai'ping'zhang'ren 太平丈人
'tai'qing'jun 太清君
'tai'qing'san'shi'liu'zhen'jun 太清三十六真君
'tai'qing'shi'er'zhen'jun 太清十二真君
'tai'qing'xuan'yuan'shang'san'tian'yuan'ji'da'dao 太清玄元上三天元极大道
'tai'qing'yu'bi'xia 太清玉陛下
'tai'qing'zhang'ren 太清丈人
'tai'shan'er'shi'si'yu'zui'xing'bu'mu 泰山二十四狱罪刑簿目
'tai'shang'da'dao'jun'shou'yu'yuan'shi'tian'zun 太上大道君受于元始天尊
'tai'shang'da'dao'jun'shou'zhi'yu'yuan'shi'tian'zun 太上大道君受之于元始天尊
'tai'shang'dao'de'jun 太上道德君
'tai'shang'dao'jun'qi'wen'bu'yi 太上道君启问不已
'tai'shang'huang'zhen'dao'jun 太上皇真道君
'tai'shang'lao'jun 太上老君
'tai'shang'san'qi'jun 太上三气君
'tai'shang'suo'chuan'huang'di 太上所传黄帝
'tai'shang'wan'du'wan'sheng'shen'huang 太上万度万生神皇
'tai'shang'wu'ji 太上无极
'tai'shang'wu'lao'jun 太上五老君
'tai'shang'wu'wei'da'dao'zhu'jun'zhang'ren 太上无为大道诸君丈人
'tai'shang'yu'zhen'jun 太上玉真君
'tai'shang'yuan'jun'zhang'ren 太上元君丈人
'tai'shang'zhang'ren 太上丈人
'tai'shi'jun 太始君
'tai'shi'zhang'ren 太始丈人
'tai'su'jun 太素君
'tai'su'yu'nv'qi'ren'shi'wei 太素玉女七人侍卫
'tai'su'zhang'ren 太素丈人
'tai'sui'mou'zi'mou'yue'shuo'mou'ri'zi 太岁某子某月朔某日子
'tai'xu'jun 太虚君
'tai'xu'zhang'ren 太虚丈人
'tai'xuan'dou'yu'jing'huang'fang 太玄都玉京黄房
'tai'xuan'shang'gong'bei'di 太玄上宫北帝
'tai'xuan'shang'gong'gao'zhen'da'shen 太玄上宫高真大神
'tai'xuan'shang'gong'tian'shang'san'guan 太玄上宫天上三官
'tai'xuan'shang'gong'tian'zhen'zhong'xian 太玄上宫天真众仙
'tai'xuan'shang'gong'wu'di 太玄上宫五帝
'tai'xuan'shang'gong'wu'yue'zhu'zhen'ren 太玄上宫五岳诸真人
'tai'xuan'shang'gong'yang'tai'zhen'ren 太玄上宫阳台真人
'tai'xuan'shang'gong'zhi'zhen'zun'shen 太玄上宫至真尊神
'tai'xuan'shang'guan'shang'huang'da'di 太玄上官上皇大帝
'tai'xuan'shang'guan'tai'su'zhen'ren 太玄上官太素真人
'tai'xuan'shang'yi'jun 太玄上一君
'tai'xuan'yu'nv'wu'ren'shi'wei 太玄玉女五人侍卫
'tai'xuan'zhang'ren 太玄丈人
'tai'yang'dai'zhi'yi'ming 太阳待之以明
'tai'yang'ji'pen 太阳激喷
'tai'yi'huan'xi 太一欢喜
'tai'yi'jun 太一君
'tai'yi'jun 太仪君
'tai'yi'shi'zhe 太乙使者
'tai'yi'zhang'ren 太一丈人
'tai'yi'zhang'ren 太乙丈人
'tai'yi'zhang'ren 太仪丈人
'tai'yuan'jun 太元君
'tai'yuan'jun 太渊君
'tai'yuan'yi'jun 太元一君
'tai'yuan'yi'jun'zhang'ren 太元一君丈人
'tai'yuan'zhang'ren 太元丈人
'tai'yuan'zhang'ren 太渊丈人
'tai'zhen'an'bi 太真按笔
'tang'you'tai'shang'zhen'wang 堂有太上真王
'tang'you'yuan'qi'dai'fu 堂有元气大夫
'tang'you'yuan'qi'zhang'ren 堂有元炁丈人
'ti'jin'que'zhi'xuan'chuang 题金阙之玄窗
'ti'xie'xian'ren 提携仙人
'ti'yu'xi'nan'yang'zheng'yu'que 题于西南阳正玉阙
'tian'bao'jun 天宝君
'tian'bao'zhang'ren 天宝丈人
'tian'bao'zhi'yi'zhi'fu 天宝之以致浮
'tian'cang'yu'nv'que'si'yang'sheng 天仓玉女却死养生
'tian'di'cheng'zhi'yi'fen'pan 天地乘之以分判
'tian'di'da'jie'zhi'yu'jiao 天地大劫之欲交
'tian'di'de'zhi'er'fen'pan 天地得之而分判
'tian'di'fen'pan 天地分判
'tian'di'fu'mu 天地父母
'tian'di'gai'yi 天地改易
'tian'di'ju'cun 天地俱存
'tian'di'jun 天帝君
'tian'di'kai'zhang 天地开张
'tian'di'ming'xing 天地溟涬
'tian'di'qi'jin 天地淇津
'tian'di'shou'yi'bu'kui 天地守以不亏
'tian'di'wei'gen 天地未根
'tian'di'yun'du 天地运度
'tian'di'zhang'ren 天帝丈人
'tian'di'zhou 天地周
'tian'di'zi'xia'zhe 天帝自下者
'tian'guan 天官
'tian'guan'dao'cong 天官导从
'tian'guang'kai'yang 天光开阳
'tian'hao'zhi'ling 天号之灵
'tian'huang'lao'jun 天皇老君
'tian'huang'zhang'ren 天皇丈人
'tian'jun'zou'qi'ling'gai 天钧奏其袊盖
'tian'qi'bo'yu'jin'gong 天炁勃于金宫
'tian'qi'bo'yu'mu'gong 天炁勃于木宫
'tian'qi'bo'yu'shui'gong 天炁勃于水宫
'tian'qi'bo'yu'tu'gong 天炁勃于土宫
'tian'qi'fan'yi'jie'zhi'zai 天炁反一劫之灾
'tian'qi'ji'yu'huo'gong 天炁激于火宫
'tian'qi'ji'yu'mu'gong 天炁激于木宫
'tian'qi'ji'yu'shui'gong 天炁激于水宫
'tian'qi'ji'yu'tu'gong 天炁激于土宫
'tian'qi'rou'shun'er'wu'ji 天气柔顺而无极
'tian'qi'yi'jiao 天炁一交
'tian'qi'zhong'kai'yun 天炁中开运
'tian'ren'cheng'qing 天人称庆
'tian'ren'ge'yong 天人歌咏
'tian'ren'wu'hai 天人无害
'tian'ren'yue'qing 天人悦庆
'tian'shang'tian'xia 天上天下
'tian'shen'ji'ming 天神记名
'tian'shen'shi'hu 天神侍护
'tian'shi'zhang'ren 天师丈人
'tian'wu'wu'wen 天无五文
'tian'wu'zhou'ye 天无昼夜
'tian'xia 天下
'tian'xia'ge'chang 天下歌唱
'tian'xia'jiao'ku 天下燋枯
'tian'xia'jiao'shao 天下燋烧
'tian'xuan'di'zhang 天玄地张
'tian'yan'min'lun 天颜愍论
'tian'you'jiu'yuan 天有九元
'tian'yuan'fen'du 天元分度
'tian'zai'dang'min 天灾荡民
'tian'zhen'miao'zhong 天真妙重
'tian'zhen'suo'zun 天真所尊
'tian'zhi'ji 天之极
'tian'zhi'yuan'jing'yu'tai'ji 天致元精于太极
'tian'zhi'yuan'jing'yu'tai'xuan'zhen'ren 天致元精于太玄真人
'tian'zhong'huang'ting'wu'ji 天中黄庭戊己
'tian'zi'de'zhi'yi'zhi'zhi 天子得之以致治
'tian'zi'hou'wang'feng'zhi 天子侯王奉之
'tiao'chua'zi'xuan 儵欻自玄
'tiao'lie'shan'e 条列善恶
'tiao'ren'zui'zhuang 条人罪状
'tiao'zheng'gui'shi 条正鬼事
'ting'zi'ran'zhi'yun'biao 挺自然之运表
'tong'chu'tai'xuan'dou 同出太玄都
'tong'dao'di'men 同到帝门
'tong'hui'yun'ting 同会云庭
'tong'jing'bai'qian 通径百千
'tong'xue'zhi'ren 同学之人
'tong'yu'si'xiang 统御四乡
'tou'dai'bai'jing'yu'guan 头戴白精玉冠
'tou'dai'chi'jing'yu'guan 头戴赤精玉冠
'tou'dai'huang'jing'yu'guan 头戴黄精玉冠
'tou'dai'qing'jing'yu'guan 头戴青精玉冠
'tou'dai'xuan'jing'yu'guan 头戴玄精玉冠
'tu'di'xian'mo 土地陷没
'tu'shen'zhu'yi'xia'zhen 吐神祝以遐震
'tu'wu'zhang'tian 土雾障天
'tu'zhong'sheng'huo 土中生火
'tui'shu'jie'hui 推数劫会
'tui'xiao'yun'du 推校运度
'wai'you'li'quan'yu'jiang'zhi'chi 外有醴泉玉浆之池
'wan'dao'fu'mu 万道父母
'wan'de'fu'mu 万德父母
'wan'di'chao'zhen 万帝朝真
'wan'di'zhong'shen 万帝众神
'wan'fu'jun 万福君
'wan'fu'zhang'ren 万福丈人
'wan'jie'wu'qiong 万劫无穷
'wan'li'wu'yan 万里无烟
'wan'min'zi'si 万民自死
'wan'min'zui'jian'shen'zhong 万民罪简深重
'wan'pin'cun'yan 万品存焉
'wan'qi'yang'jin 万气扬津
'wan'qi'zhang'ren 万气丈人
'wan'shen'wei'hu 万神卫护
'wan'sheng'zhang'ren 万生丈人
'wan'shi'cui'wang 万试摧亡
'wan'wu'yi'shi'xiao'mie 万物一时消灭
'wan'wu'yi'yi 万无遗一
'wan'yao'mie'cui 万妖灭摧
'wan'yi'qu'chu 万疫驱除
'wan'yuan'ru'xin 万愿如心
'wan'yuan'zhang'ren 万元丈人
'wan'zai'bu'gan 万灾不干
'wan'zai'bu'jing 万灾不经
'wan'zai'bu'sheng 万灾不生
'wan'zai'si'chong 万灾四充
'wan'zai'xiao'wang 万灾消亡
'wan'zhong'yi'yi 万中遗一
'wei'ang'bi'zui 胃昂毕觜
'wei'da'bai'liu 谓大百六
'wei'da'jie'geng'shi 为大劫更始
'wei'da'yang'jiu 谓大阳九
'wei'da'yang'jiu'zhi'zai 为大阳九之灾
'wei'de'xing'yu'xia'shi 未得行于下世
'wei'e'fan'jie 为恶犯戒
'wei'fu'ba'fang 威伏八方
'wei'ling'hui'kuo 威灵恢廓
'wei'qing'wei'gui 唯清为贵
'wei'qing'zhai'he'shi 惟清斋合式
'wei'shen'ming'zhi'bao 为神明之宝
'wei'shen'ming'zhi'zong 为神明之宗
'wei'sheng'jun'zhong'min 为圣君种民
'wei'shi'cun'zhi'bu'jue 为使存之不绝
'wei'shi'qiao'liang 为世桥梁
'wei'tai'yi'suo'ju 为太乙所举
'wei'tai'yi'suo'ju'yan 为太一所举言
'wei'tian'di'da'zai 为天地大灾
'wei'tian'di'zhi'gen 为天地之根
'wei'tian'zhong'zhi'zun 为天中之尊
'wei'wan'qi'zhi'gen 为万气之根
'wei'wan'wu'zhi'zun 为万物之尊
'wei'wei'hu'tai'kong 巍巍乎太空
'wei'wei'hu'tai'xu 巍巍乎太虚
'wei'wu'shi'zhi'zong 为无始之宗
'wei'xiao'bai'liu 谓小百六
'wei'xiao'yang'jiu'liu'tian'qi'shang 谓小阳九六天炁上
'wei'yi'shi'tong'ling'zhi'shen'xian 为役使通灵致神仙
'wei'you'guang'ming 未有光明
'wei'zhi'zhe'yong'ju 为之者永居
'wei'zhong'dao'zhi'zun 为众道之尊
'wen'shi'qu'zhe 文势曲折
'wu'bu'jing 勿不精
'wu'chen'ai'zhi'shi'lian 无尘埃之是恋
'wu'dao'kai'tu 五道开涂
'wu'di'fu 五帝符
'wu'di'fu'yi 五帝辅翼
'wu'di'si'si'zhen'ren 五帝四司真人
'wu'di'suo'jing 五帝所敬
'wu'di'wen'cai'wu'pi 五帝纹彩五匹
'wu'di'zhang'zhi'yi'de'zhen 五帝掌之以得镇
'wu'di'zhen'fu 五帝真符
'wu'fang'yun'guan'san'shi'er'fu 五方运关三十二覆
'wu'fu'guang'ming 无复光明
'wu'gan'ji'shang 无敢疾伤
'wu'gen'ming'ji'xuan'tong'da'zhi'hui'yuan 无根冥寂玄通大智慧原
'wu'gong'qing'ming 五宫清明
'wu'gu'da'gui 五谷大贵
'wu'gu'feng'er'wu'shi'min 五谷丰而无食民
'wu'gu'feng'shu 五谷丰熟
'wu'hao'bu'zai 无毫不载
'wu'ji'da'dao 无极大道
'wu'ji'tai'shang'yuan'jun 无极太上元君
'wu'ji'wu'qiong 无极无穷
'wu'ku'ba'nan 五苦八难
'wu'lao'ling'bao'wu'pian'zhen'wen 五老灵宝五篇真文
'wu'lao'yu'pian 五老玉篇
'wu'lao'zhang'lu 五老掌录
'wu'li'ke'sui 无吏可随
'wu'liang'dong'ming 无量洞明
'wu'ling'xuan'lao'di'jun 五灵玄老帝君
'wu'nian'du'zhu'ku'nan 五念度诸苦难
'wu'nian'jie'sheng'hei'jing'bao'hua'wu'zhong 五年皆生黑精宝华五重
'wu'qi'jun 五气君
'wu'qi'pai'huai 五炁徘徊
'wu'qi'zhang'ren 五气丈人
'wu'shang'wan'fu'jun 无上万福君
'wu'shang'wan'qi'jun 无上万气君
'wu'shang'wan'sheng'jun 无上万生君
'wu'shang'wan'yuan'jun 无上万元君
'wu'shang'wu'dian 无上无巅
'wu'shang'xuan'lao 无上玄老
'wu'shi'hao'fen 无失毫分
'wu'suo'yin'ni 无所隐匿
'wu'wei'xiu'dao 五为修道
'wu'xian'jun 五仙君
'wu'xian'liao'kuo'wu'duan 无先寥廓无端
'wu'xian'zhang'ren 五仙丈人
'wu'xing'dang'dang 无形荡荡
'wu'xing'huang'fei 五星皇妃
'wu'xing'zhen'jun 五星真君
'wu'yang'shu'zhong 无鞅数众
'wu'yi'li'xing 无以立形
'wu'you'bu'che 无幽不彻
'wu'you'bu'kai 无幽不开
'wu'you'diao'shang 无有凋伤
'wu'you'hui'lun 无有毁沦
'wu'you'shang'ji 无有伤疾
'wu'you'tian'nian 无有天年
'wu'you'you'yin 无有幽隐
'wu'you'zhe'shang 无有折伤
'wu'you'zhou'ye 无有昼夜
'wu'you'zu'zong 无有祖宗
'wu'yu'bao'zhi'yi'chang'cun 五狱保之以长存
'wu'yue 五岳
'wu'yue 五月
'wu'yue'bao'zhen 五岳保镇
'wu'yue'bu'ling 五岳不灵
'wu'yue'cong'zhi'yi'de'ling 五岳从之以得灵
'wu'yue'fei'xian 五岳飞仙
'wu'yue'ming'shan'xue'ren'ji'de'dao'zhao'shu 五岳名山学人及得道兆庶
'wu'yue'si'du 五岳四渎
'wu'yue'si'du'he'hai'da'shen 五岳四渎河海大神
'wu'zai'zhi'zhong 五灾之中
'wu'zhe'qi'de'ru'di 五者其德如地
'wu'zhe'qing'long'feng'fu 五者青龙奉符
'wu'zhe'shen'tong'yu'nv 五者神童玉女
'wu'zhe'tian'fa'zi'ran'ji'le 五者天发自然妓乐
'wu'zhe'wei'zhi'suo'yi 五者谓之所诣
'wu'zhe'yi'hou'shi'zi'sun 五者宜后世子孙
'wu'zhen'chang'cun 五镇长存
'wu'zhen'dao'nai'xing 吾真道乃行
'wu'zheng'li'ke'shou 无正吏可守
'wu'zhong'sheng'you 无中生有
'wu'zu'wu'zong 无祖无宗
'xi'bei'yu'shan'zi'wei'shang'gong 西北玉山紫微上宫
'xi'fang'bai'di'ling'bao'chi'shu'yu'pian 西方白帝灵宝赤书玉篇
'xi'fang'qi'bao'jin'men'hao'ling'huang'lao 西方七宝金门皓灵皇老
'xi'fang'qi'bao'jin'men'hao'ling'huang'lao'di'jun 西方七宝金门皓灵皇老帝君
'xi'fang'qi'bao'jin'men'hao'ling'huang'lao'jun'fu'ming 西方七宝金门皓灵皇老君符命
'xi'fang'qi'qi'su'tian 西方七炁素天
'xi'fang'qi'zai'su'tian 西方七灾素天
'xi'fang'su'tian 西方素天
'xi'fang'xiong'bo'e'shou'du'shi'jie'bu'sheng'hai'xin 西方凶勃恶兽毒螫皆不生害心
'xi'fang'zi'gui 西方自归
'xi'feng'zi'wei'shang'gong 悉封紫微上宫
'xi'hua'jin'tang'yu'xian'zhen'mu 西华金堂玉仙真母
'xi'shan'shen'zhou 西山神咒
'xi'wang'mu 西王母
'xi'wei'qiao'liang 希为桥梁
'xi'yi'mu'gong 悉诣木宫
'xia'bei'yue 下北岳
'xia'ce'di'qi 下策地祇
'xia'dong'yue 下东岳
'xia'fa'er'shi'si'ying 下发二十四应
'xia'fu'wu'xin 下副物心
'xia'he'san'qi'zhi'tao'rong 下和三炁之陶镕
'xia'he'zhong'sheng'yu'ling'qu 下和众生于灵衢
'xia'jiao'yu'wei'wen'zhe'hu 下教于未闻者乎
'xia'jing'zai'di'wei'wu'yue 下精在地为五岳
'xia'liu'zhong'sun 下流种孙
'xia'nan'yue 下南岳
'xia'qing'shen'zhen'da'ci'zhi'jiao 下庆神真大慈之教
'xia'sheng'shen'ling 下生神灵
'xia'wei'chang'shan 下为常山
'xia'wei'hua'yin'shan 下为华阴山
'xia'wei'huo'shan 下为霍山
'xia'wei'song'gao'shan 下为嵩高山
'xia'wei'tai'shan 下为泰山
'xia'wei'zhi'bao 下谓之宝
'xia'xi'yue 下西岳
'xia'xi'yue'zhi'tian'fen'du 下西岳制天分度
'xia'xuan'wu'tu'zhi'ling 下旋五土之灵
'xia'yin'jiu'quan'zhi'liu'fang 下引九泉之流芳
'xia'you'chang'sheng'zhi'yuan 下有长生之渊
'xia'you'chi'quan'zhi'dan'chi 下有赤泉之丹池
'xia'you'wu'yue 下游五岳
'xia'you'yu'quan'chang'he 下有玉泉长河
'xia'you'zhao'hua'zhi'yuan 下有朝华之渊
'xia'yu'ba'ji'si'li 下与八极司隶
'xia'yu'bei'feng'du'bo'shi'zhe 下与北酆都伯使者
'xia'yu'san'guan'jiu'fu'jiu'bu'ci'jian 下与三官九府九部刺奸
'xia'yu'san'guan'kao'zhao 下与三官考召
'xia'yuan'xiao'yang'jiu'xiao'bai'liu 下元小阳九小百六
'xia'yuan'xuan'huang'dong'yuan'dong'ling'wan'xian 下元玄黄洞渊洞灵万仙
'xia'zan'san'tian'zhi'bao'wen 下赞三天之宝文
'xia'zheng'sheng'sheng'zhi'zhong'he 下拯生生之众和
'xia'zhi'di'men 下治地门
'xia'zhi'dong'he 下制东河
'xia'zhong'yue 下中岳
'xia'zhou'xing'di'shang 下周行地上
'xian'dao'ri'cheng 仙道日成
'xian'du'zhi'hou 仙度之后
'xian'lian'ba'wei 仙炼八威
'xian'nie'gui'shen 祆孽鬼神
'xian'qi'zheng'wen 鲜其正文
'xian'sheng'suo'zong 仙圣所宗
'xian'shu 衔书
'xian'zhe'jian'zhi'wei'zhi'xian 贤者见之谓之贤
'xiang'bei'fu'zhi'wu'mei 向北服之五枚
'xiang'dong'fu'zhi'jiu'mei 向东服之九枚
'xiang'fu'bao'guang 项负宝光
'xiang'fu'wu'qiong 享福无穷
'xiang'nan'fu'zhi'san'mei 向南服之三枚
'xiang'wang'fu'zhi'shi'er'mei 向王服之十二枚
'xiang'xi'fu'zhi'qi'mei 向西服之七枚
'xiang'you'ye'zhao'yao'wu'qiong 向幽夜照曜无穷
'xiang'zuo'wu'qiong'ye 享祚无穷也
'xiao'bai'liu 小百六
'xiao'bai'liu'chou'wei 小百六丑未
'xiao'bai'liu'mao 小百六卯
'xiao'bai'liu'wu 小百六午
'xiao'bai'liu'you 小百六酉
'xiao'bai'liu'zi 小百六子
'xiao'di'shang'ren'gui'gong'guo 校地上人鬼功过
'xiao'di'shang'zhao'min 校地上兆民
'xiao'ding'ling'bao'zhen'jing'xue'zhe 校定灵宝真经学者
'xiao'ding'xue'zhe'gong'guo 校定学者功过
'xiao'ding'zhao'min 校定兆民
'xiao'ding'zhong'xian'ming'lu 校定众仙名录
'xiao'ge'yong'yong 啸歌邕邕
'xiao'jie 小劫
'xiao'jie'fu'ming 小劫符命
'xiao'jie'zhi'jiao 小劫之交
'xiao'lang'jiu'xuan 啸朗九玄
'xiao'ming'he'yuan 啸命河源
'xiao'ming'shi'tian 啸命十天
'xiao'tian'su'zhou'hang 校天宿周行
'xiao'tian'xia'xue'dao 校天下学道
'xiao'wu'di'yi'zhao'long 啸五帝以召龙
'xiao'xue'dao'bu'lu'ming'mu'qing'zhong'shen'qian 校学道簿录名目轻重深浅
'xiao'yang'jiu'chen'xu 小阳九辰戌
'xiao'yang'jiu'hai 小阳九亥
'xiao'yang'jiu'shen 小阳九申
'xiao'yang'jiu'si 小阳九巳
'xiao'yang'jiu'yin 小阳九寅
'xiao'yao'qu'dao'yu'xuan'yuan'zhi'gen 逍遥取道于玄元之根
'xie'chan'jia'wei 邪谄假伪
'xin'cong'ti'sheng 心聪体圣
'xin'duan'shen'ding 心端神定
'xin'guo'tai'ping 欣国太平
'xin'suo'xi'yuan 心所希愿
'xin'wu'lao'zhi'kai'ming 欣五老之开明
'xing'ci'yi'jing 行此宜精
'xing'dong'fu 姓洞浮
'xing'hei'jie 姓黑节
'xing'lai'zuo'qi 行来坐起
'xing'shang'jin 姓上金
'xing'tong'ban 姓通班
'xing'xiu'bu'xing 星宿不行
'xing'xun 姓爓
'xing'zi'neng'fei 形自能飞
'xiong'kou'zi'yi 凶寇自夷
'xiong'ni'zi'xiao 凶逆自消
'xiu'hai'meng'shou'ling'ao'zhi'jin 朽骸蒙受灵奥之津
'xiu'lai'zhe'zhi'qiao'liang'ye 修来者之桥梁也
'xiu'zhai'gong'yang 修斋供养
'xiu'zhai'jie 修斋戒
'xuan'du'su'you'jin'ming 玄都宿有金名
'xuan'du'zi'wei'gong'jiu'ge 玄都紫微宫旧格
'xuan'du'zi'wei'gong'xia'yuan'ge 玄都紫微宫下元格
'xuan'du'zi'wei'gong'zhong'yuan'ge 玄都紫微宫中元格
'xuan'du'zi'wei'guan'zhong'yuan'ge 玄都紫微官中元格
'xuan'du'zi'wei'shang'gong'jiu'ge 玄都紫微上宫旧格
'xuan'du'zi'wei'shang'guan'jiu'ge 玄都紫微上官旧格
'xuan'fei'chun'dong 蝖飞蠢动
'xuan'gao'pu'wen 宣告普闻
'xuan'ji'bei'dou'can'ran'ju'xia 璇玑北斗惨然俱下
'xuan'ji'yu'heng 璇玑玉衡
'xuan'ji'yu'heng'xing'zhen'jun 璇玑玉衡星真君
'xuan'ke'you'jin 玄科有禁
'xuan'tu'zhao'yun 玄图肇运
'xuan'xiang'kai'tu 玄象开图
'xuan'xiang'tui'qian 玄象推迁
'xuan'xing'shang'gong 旋行上宫
'xuan'xing'song'jing 旋行诵经
'xuan'xing'tai'xu 旋行太虚
'xuan'xing'yu'shan'yi'za 旋行玉山一匝
'xuan'yuan'lao'jun 玄元老君
'xuan'ze'zhong'ren 选择种人
'xuan'zi'zhang'sheng 玄滋长生
'xue'chu'sheng'ji 削除生籍
'xue'chu'zui'jian 削除罪简
'xue'chu'zui'lu 削除罪录
'xue'dao'ying'de'shen'xian'ren'ming 学道应得神仙人名
'xue'ren'shan'e 学人善恶
'xue'si'shang'sheng 削死上生
'xue'wei'hai'chuan 血为海川
'xue'xian'ren'ming'gong'guo'shen'qian 学仙人名功过深浅
'xue'zhe'shen 学者身
'xue'zhe'yi'qi'yue'sui'ke'xiu'zhai 学者以其月随科修斋
'xun'xie'bu'dai 逊谢不逮
'yan'hun'xiu'zhi'ku 延惛朽之枯
'yan'nian'chang'sheng 延年长生
'yan'suan'yi'ming 延算益命
'yan'wu'xing'yu'xuan'fu 演五行于玄府
'yan'you'neng'sheng 焉有能胜
'yan'zhi'rong'ru'zhi'suo'ru 焉知荣辱之所如
'yang'dan'ling'zhen'lao'di'jun 阳丹灵真老帝君
'yang'er'yi'yi'chang'cun 养二仪以长存
'yang'jing'he'yu'tai'chu 养精和于太初
'yang'liu'fu'yu'chi'ya 养六府于齿牙
'yang'qi'fou 阳炁否
'yang'qi'ji 阳炁激
'yang'qi'ze'zhuan'tian'guan 阳炁则转天关
'yang'qi'zhi'ji 阳炁之极
'yang'ren'jing'yu'dan'chun 养人精于丹唇
'yang'shu'jiu'jiu 阳数九九
'yang'shu'zhi'jiu'jiu'zhe 阳数之九九者
'yang'xun'tai'zhen'zhi'ling'guan 仰寻太真之灵官
'yao'guan'tian'xia'zhi'xue'zhi'ren 遥观天下至学之人
'yao'wei'gui'shen 妖伪鬼神
'yao'wei'za'su 妖伪杂俗
'ye'zhi'yu'liu'huo'zhi'ting 冶之于流火之庭
'yi'an'bei'fang'wu'qi'zhi'tian 以安北方五炁之天
'yi'an'dong'fang'jiu'qi'zhi'tian 以安东方九炁之天
'yi'an'nan'fang'san'hei'zhi'tian 以安南方三黑之天
'yi'an'xi'fang'qi'qi'zhi'tian 以安西方七炁之天
'yi'an'zhong'yang'yi'qi'zhi'tian 以安中央一炁之天
'yi'bai'yu'fei'yi 衣白羽飞衣
'yi'chi'ming'kai'xuan'zhi'shi 以赤明开玄之始
'yi'chong'tian'zhen'ye 以崇天真也
'yi'chu'fu'yang'zhi'shi 以出俯仰之式
'yi'chuan'xi'wang'mu 以传西王母
'yi'ci'wen'gu'gu'tian'yuan'shi'zhi'qi 以此文故固天元始之炁
'yi'ci'wen'gu'tian'qi 以此文固天炁
'yi'ci'wen'gu'tian'yuan'shi'zhi'hei 以此文固天元始之黑
'yi'ci'wen'gu'tian'yuan'shi'zhi'qi 以此文固天元始之炁
'yi'de'shi'jie 亦得尸解
'yi'du'wu'di'ren 以度五帝人
'yi'du'zhong'ren'da'zai'chu 以度种人大灾出
'yi'fang'ren'ren 一方仁人
'yi'fang'xiong'bo'e'shou'du'shi 一方凶勃恶兽毒螫
'yi'fang'xiong'bo'e'shou'du'shi'jie'bu'sheng'hai'xin 一方凶勃恶兽毒螫皆不生害心
'yi'fu'di'guan 移付地官
'yi'fu'tai'shang'da'dao'jun 以付太上大道君
'yi'gao'shui'di 以告水帝
'yi'gao'wu'di 以告五帝
'yi'gu'bai'tian'yuan'shi'zhi'qi 以固白天元始之炁
'yi'gu'chi'tian'fen'du 以固赤天分度
'yi'gu'chi'tian'yuan'shi'zhi'qi 以固赤天元始之炁
'yi'gu'huang'tian'yuan'shi'zhi'qi 以固黄天元始之炁
'yi'gu'qing'tian'yuan'shi'zhi'qi 以固青天元始之炁
'yi'gu'xuan'tian'yuan'shi'zhi'hei 以固玄天元始之黑
'yi'hai'gui'fu 移还鬼府
'yi'hei'shu'bai'zeng'qi'cun'pei'shen 以黑书白缯七寸佩身
'yi'jiu'qi'qing'yu'fei'yi 衣九炁青羽飞衣
'yi'ku'xiu'er'mao'fan 易枯朽而茂繁
'yi'li'yao'yong 以立要用
'yi'ling'dou'gong 诣灵都宫
'yi'long'feng'chi 驿龙凤驰
'yi'ming'ba'wei'long'shu 一名八威龙书
'yi'ming'ba'wei'zhao'long'wen 一名八威召龙文
'yi'ming'ba'wei'zhi'tian'wen 一名八威制天文
'yi'ming'bao'jie'dong'qing'jiu'tian'ling'shu 一名宝劫洞清九天灵书
'yi'ming'bei'shan'shen'zhou 一名北山神呪
'yi'ming'chi'di'ba'wei'ce'wen 一名赤帝八威策文
'yi'ming'di'guan 移名地官
'yi'ming'dong'shan'shen'zhou'ba'wei'ce'wen 一名东山神呪八威策文
'yi'ming'fu'di'guan 移名付地官
'yi'ming'gui'guan 移名鬼官
'yi'ming'huang'di'wei'ling'ce'wen 一名黄帝威灵策文
'yi'ming'huang'shen'da'zhou 一名黄神大呪
'yi'ming'jin'zhen'bao'ming'dong'wei'pian 一名金真宝明洞微篇
'yi'ming'jiu'tian'shen'zhou 一名九天神呪
'yi'ming'jiu'yin'ling'shu 一名九阴灵书
'yi'ming'nan'yun'tong'tian'bao'ling'jin 一名南云通天宝灵衿
'yi'ming'sheng'shen'bao'zhen'dong'xuan'zhang 一名生神宝真洞玄章
'yi'ming'sheng'zhen'quan 一名生真券
'yi'ming'xi'shan'shen'zhou 一名西山神呪
'yi'ming'yuan'shen'sheng'zhen'bao'ming'wen 一名元神生真宝明文
'yi'nian'jing'jin'ku'xing 一念精进苦行
'yi'pei'shen 以佩身
'yi'qi'liu'xing 疫炁流行
'yi'qi'mi'tian 疫炁弥天
