'an'hao'xin'xue 暗耗心血
'xin'ji'qi'duan 心悸气短
'xin'jing'que'shang'fei 心经却上肺
'xin'jing'xing'xue 心经荥穴
'xin'ju'bao'luo'zhi'zhong 心居包络之中
'xin'ju'yu'xiong'qiang 心居于胸腔
'xin'lv'gai'bian 心率改变
'xin'lv'he'xin'lv 心率和心律
'xin'pi'liang'xu 心脾两虚
'xin'qi'chong'pei 心气充沛
'xin'qi'de'tui'dong 心气的推动
'xin'qi'tong'yu'she 心气通于舌
'xin'qi'wang'sheng 心气旺盛
'xin'qian'qu'bie'men'he'ci'tong 心前区憋闷和刺痛
'xin'qian'qu'teng'tong 心前区疼痛
'xin'qing'ji'zao 心情急躁
'xin'qing'kai'lang 心情开朗
'xin'qing'yi'yu 心情抑郁
'xin'shang'ze'shen'qu 心伤则神去
'xin'shen'bu'ding 心神不定
'xin'shen'bu'jiao 心肾不交
'xin'shen'bu'jiao'zhi'zheng 心肾不交之证
'xin'shen'yang'xu 心肾阳虚
'xin'shen'yang'xu'zhi'zheng 心肾阳虚之证
'xin'shen'yin'xu 心肾阴虚
'xin'sheng'pi 心生脾
'xin'shi'qu'shen'yang'de'wen'xu 心失去肾阳的温煦
'xin'shi'shen'yin'de'shang'cheng 心失肾阴的上承
'xin'shi'wu'de'chan'sheng 新事物的产生
'xin'shi'wu'sheng'cheng 新事物生成
'xin'shou'shao'yin'zhi'mai 心手少阴之脉
'xin'shu'huo 心属火
'xin'shu'huo'pi'shu'tu 心属火脾属土
'xin'wei'shen'ming'zhi'zhu 心为神明之主
'xin'wei'shen'zhi'ju 心为神之居
'xin'wei'wu'zang'liu'fu'zhi'da'zhu 心为五脏六腑之大主
'xin'wei'zang'fu'zhi'zhu 心为脏腑之主
'xin'wen'fa'san'yao 辛温发散药
'xin'wu'ci 心无此
'xin'xing'zhi 心行之
'xin'yang'bu'zhen 心阳不振
'xin'yang'yi'wen'pi 心阳以温脾
'xin'yang'you'wen'xu'zhi'gong 心阳有温煦之功
'xin'yang'zhu'wen'xu'er'gui'shu'yu'huo 心阳主温煦而归属于火
'xin'you'bing'bian 心有病变
'xin'you'shi'huo 心有实火
'xin'you'suo'zhu 心有所主
'xin'you'xin'yin'xin'yang 心有心阴心阳
'xin'zai'qiao'wei'she 心在窍为舌
'xin'zai'wu'xing'shu'huo 心在五行属火
'xin'zang'de'bo'dong 心脏的搏动
'xin'zhe'sheng'zhi'ben 心者生之本
'xin'zhi'bo'dong 心之搏动
'xin'zhi'he'mai'ye 心之合脉也
'xin'zhi'xia'you'xin'bao'luo 心之下有心包络
'xin'zhi'xing'xue'gong'neng'zheng'chang 心之行血功能正常
'xin'zhu'huo'er'zhi'yu'shen'shui 心主火而制于肾水
'xin'zhu'shen'zhi'de'gong'neng'bu'ji 心主神志的功能不及
'xin'zhu'shen'zhi'de'gong'neng'guo'kang 心主神志的功能过亢
'xin'zhu'shen'zhi'de'gong'neng'yi'chang 心主神志的功能异常
'xin'zhu'shou'jue'yin 心主手厥阴
'xin'zhu'xing'xue'he'fei'zhu'hu'xi 心主行血和肺主呼吸
'xin'zhu'xue'he'fei'zhu'qi 心主血和肺主气
'xin'zhu'xue'yu'fei'zhu'qi 心主血与肺主气
'xin'zhu'zhi'gong'cheng'ye 心主之宫城也
'xin'zhu'zhi'hou 心主之后
'xin'zhu'zhi'qian 心主之前
'xing'bi 行痹
'xing'cheng'de'bing'li'chan'wu 形成的病理产物
'xing'cheng'shi'mi 形成食糜
'xing'cheng'xue'liu'bu'chang 形成血流不畅
'xing'han'zhi'leng'she'dan 形寒肢冷舌淡
'xing'huai'er'wu'zi 形坏而无子
'xing'jian'yu'wai 形见于外
'xing'ming'zhi'suo'guan 性命之所关
'xing'qi 行气
'xing'qi'yu'fu 行气于府
'xing'qi'yu'li'shui'zhi'fa 行气与利水之法
'xing'shao'yin 行少阴
'xing'shou'shao'yang'zhi'qian 行手少阳之前
'xing'shou'tai'yin 行手太阴
'xing'si'dao'chui'de'wei'kai'lian'rui 形似倒垂的未开莲蕊
'xing'tai'bian'hua 形态变化
'xing'tai'shang'duo'shu'zhong'kong 形态上多属中空
'xing'tai'xue'fang'mian 形态学方面
'xing'tai'yin'shao'yin'zhi'jian 行太阴少阴之间
'xing'ti'zhu'qiao 形体诸窍
'xing'wu'ding'chu 行无定处
'xing'xi'zao'er'e'shi 性喜燥而恶湿
'xing'xian'de'fa'yu'jian'qu'cheng'shu 性腺的发育渐趋成熟
'xing'xian'zhu'jian'shuai'tui 性腺逐渐衰退
'xing'xiang'xin'zang 行向心脏
'xing'xiang'ye 形象也
'xing'yang'er'shi'wu'du 行阳二十五度
'xing'ye'zhe 行也者
'xing'yin'er'shi'wu'du 行阴二十五度
'xing'yu'cun'kou'dong'mai'wai'ce 行于寸口动脉外侧
'xing'yu'pang'gu'qian'mian 行于胖骨前面
'xing'yu'ru'li 行于乳里
'xing'yu'shang'zhi'nei'ce'hou'yuan'zhi'gu 行于上肢内侧后缘之故
'xing'yu'shou'shao'yin'jing'bie'zhi'qian 行于手少阴经别之前
'xing'zhi'jiao'chou'hou 性质较稠厚
'xing'zhi'jiao'qing'xi 性质较清稀
'xing'zhi'mu'kuang'xia 行至目眶下
'xiong'bu 胸部
'xiong'gu'jian'tu 胸骨剑突
'xiong'kuo'he'fu'qiang 胸廓和腹腔
'xiong'man'chuan'ke 胸满喘咳
'xiong'men'ke'chuan 胸闷咳喘
'xiong'men'ou'e 胸闷呕恶
'xiong'qiang 胸腔
'xiong'xie'liang'ru'huo'shao'fu 胸胁两乳或少腹
'xiong'xie'yin'tong'zhang'man 胸胁引痛胀满
'xiu'jue'ling'min 嗅觉灵敏
'xu'er'you're 虚而有热
'xu'han 虚寒
'xu'han'zheng 虚寒证
'xu'he'shi'de'bing'ji'bian'hua 虚和实的病机变化
'xu're 虚热
'xu'ruo'shuai'tui'bu'zu'di'zheng'hou 虚弱衰退不足的证候
'xu'shi'geng'ti 虚实更替
'xu'xiang 虚象
'xu'xiang'bu'ming'xian 虚象不明显
'xu'yi'bei'yong 蓄以备用
'xu'yu'dan'tian 蓄于丹田
'xu'zheng 虚证
'xuan'fa'he'bu'san 宣发和布散
'xuan'fa'shi'sheng 宣发是升
'xuan'fa'wei'qi 宣发卫气
'xuan'fu 玄府
'xuan'fu'bu'tong 玄府不通
'xuan'hua 宣化
'xuan'wu'gu'wei 宣五谷味
'xue'bu'neng'zi'xing 血不能自行
'xue'cang'yu'gan 血藏于肝
'xue'cong'shang'yi 血从上溢
'xue'de'huo'han'huo're 血的或寒或热
'xue'de'wen'er'xing 血得温而行
'xue'de'ying'yang'he'zi'run 血的营养和滋润
'xue'fei'qi'bu'yun 血非气不运
'xue'guan'you'ji'qi'feng'fu 血管又极其丰富
'xue'hang'chi'huan'xing'cheng'xue'pi 血行迟缓形成血疲
'xue'hang'mai'zhong 血行脉中
'xue'he'jin'ye'de'guan'xi 血和津液的关系
'xue'he'jin'ye'de'yun'xing'chi'huan 血和津液的运行迟缓
'xue'he'jin'ye'yun'xing'chi'huan 血和津液运行迟缓
'xue'huo'jin'ye'de'tong'dao 血或津液的通道
'xue'mai'chong'ying 血脉充盈
'xue'mai'de'tiao'he'yu'liu'li 血脉的调和与流利
'xue'mai'he'li 血脉和利
'xue'mai'kong'xu 血脉空虚
'xue'mai'luan'suo 血脉挛缩
'xue'mai'shou'zu 血脉受阻
'xue'mai'xiang'chuan 血脉相传
'xue'qi'xing'zhi'pian 血气形志篇
'xue'she'hun 血舍魂
'xue'shi'qi'de'zai'ti 血是气的载体
'xue'shu'yin'er'zhu'jing 血属阴而主静
'xue'shuai'shao 血衰少
'xue'sui'qi'sheng 血随气升
'xue'sui'qi'xian 血随气陷
'xue'tuo'zhe'qi'yi'yi'tuo 血脱者气亦逸脱
'xue'wei'de'xuan'qu 穴位的选取
'xue'wei'jie'za 穴位结扎
'xue'wei'mai'xian 穴位埋线
'xue'xu'xue're 血虚血热
'xue'xu'ze'mian'se'wu'hua 血虚则面色无华
'xue'xu'zhe'qi'yi'yi'shuai 血虚者气亦易衰
'xue'ye'chong'ying 血液充盈
'xue'ye'de'zheng'chang'yun'xing 血液的正常运行
'xue'ye'kui'xu 血液亏虚
'xue'ye'shi'shen'zhi'huo'dong'de'wu'zhi'ji'chu 血液是神志活动的物质基础
'xue'ye'zai'mai'nei'zheng'chang'de'yun'xing 血液在脉内正常地运行
'xue'you'suo'chong 血有所充
'xue'you'wei'xin'suo'zhu 血又为心所主
'xue'yu'jin'ye'tong'chu'yi'yuan 血与津液同出一源
'xue'yu'ze'mian'se'qing'zi 血瘀则面色青紫
'xue'yun'zheng'chang 血运正常
'xue'zai'mai'zhong'xun'xing 血在脉中循行
'xue'zhe'shen'qi'ye 血者神气也
'xue'zheng'lun 血证论
'xue'zhi'cang 血之藏
'xue'zhi'jing'wei'luo 血之精为络
'xue'zhi'qing'zhuo 血之清浊
'xue'zhi'zhu 血之主
'xun'bai'wai'hou'lian'xia'he'yan'zhong 循稗外后廉下合胭中
'xun'bi'nei'hou'lian 循臂内后廉
'xun'bi'nei'shang'gu'xia'lian 循臂内上骨下廉
'xun'bi'shang'lian 循臂上廉
'xun'da'zhi'qi'gu'nei'chu'qi'duan 循大趾歧骨内出其端
'xun'fa'ji 循发际
'xun'fu'chong'shen'ze'mao 熏肤充身泽毛
'xun'gu'yin 循股阴
'xun'hou'long 循喉咙
'xun'hou'long'zhi'hou 循喉咙之后
'xun'hou'yan 循喉咽
'xun'huan'guan'zhu 循环贯注
'xun'jia'che 循颊车
'xun'jian'bo'nei 循肩膊内
'xun'jing 循颈
'xun'jing'gu 循京骨
'xun'jing'gu'hou 循胫骨后
'xun'jing'qu'xue 循经取穴
'xun'jing'ru'xin'zhong 循经入心中
'xun'jing'shang'yan'yu'xin 循经上炎于心
'xun'mai'shang'xia 循脉上下
'xun'nao'nei'hou'lian 循臑内后廉
'xun'nei'huai'zhi'hou 循内踝之后
'xun'pu'nei 循脯内
'xun'shou'biao'wan 循手表腕
'xun'shou'wai'ce 循手外侧
'xun'shu'san'jiao 循属三焦
'xun'xiao'zhi'ci'zhi'chu'qi'duan 循小指次指出其端
'xun'xiao'zhi'zhi'nei'chu'qi'duan 循小指之内出其端
'xun'xie'li 循胁里
'xun'xing'bu'wei 循行部位
'xun'xing'yu'fu'mian 循行于腹面
'xun'xing'yu'shen'bu 循行于深部
'xun'xing'yu'tou'mian'bu 循行于头面部
'xun'xing'yu'xiong 循行于胸
'xun'xiong 循胸
'xun'xiong'chu'xie 循胸出胁
'xun'yan'xia'ge 循咽下隔
'xun'yu'ji 循鱼际
'xun'yu'yu'mo 熏于育膜
'xun'zhi'nei'ce'bai'rou'ji 循趾内侧白肉际
'xun'zhi'shang'lian 循指上廉
'xun'zhong'zhi'chu'qi'duan 循中指出其端
'xun'zu'fu'shang 循足附上
'ya'chi'de'sheng'zhang'yu'tuo'luo 牙齿的生长与脱落
'ya'chi'jian'gu'bu'yi'tuo'luo 牙齿坚固不易脱落
'ya'chi'yi'yu'song'dong 牙齿易于松动
'ya'tong 压痛
'yan'da'tui'nei'ce 沿大腿内侧
'yan'da'tui'nei'ce'zhong'xian 沿大腿内侧中线
'yan'er'bu'tu 咽而不吐
'yan'er'hou 沿耳后
'yan'er'qian 沿耳前
'yan'fa'ji 沿发际
'yan'fu'nei 沿腹内
'yan'fu'tu'xiang'shang 沿伏兔向上
'yan'gan'kou'ke 咽干口渴
'yan'gan'kou'zao 咽干口燥
'yan'ge'xiang'xia 沿隔向下
'yan'hou 咽喉
'yan'hou'long 沿喉咙
'yan'hou'long'de'hou'bian 沿喉咙的后边
'yan'huo'xing 炎火行
'yan'ji 眼疾
'yan'ji'li 沿脊里
'yan'ji'zhe 言寄者
'yan'ji'zhu'li'mian'shang'xing 沿脊柱里面上行
'yan'ji'zhu'liang'pang'de'ji'rou 沿脊柱两旁的肌肉
'yan'jing'gu'xiang'shang 沿胫骨向上
'yan'jing'pang'chu 沿颈旁出
'yan'jing'xia'xing'zhi'jian'shang 沿颈下行至肩上
'yan'ren'shen'zhi'yin'yang 言人身之阴阳
'yan'shang'bi'wai'ce'xiang'shang'zhi'jian'bu 沿上臂外侧向上至肩部
'yan'shang'zhi'nei'ce'hou'yuan 沿上肢内侧后缘
'yan'shi'dao'qian'chu'kou'qiang 沿食道浅出口腔
'yan'wo 胭窝
'yan'wu'ming'zhi'chu'qi'chi'ce'duan 沿无名指出其尺侧端
'yan'wu'xing'ze'bi'ji'yin'yang 言五行则必及阴阳
'yan'xia'ling'gu'hou'xia'yuan 沿下领骨后下缘
'yan'xia'zhi'jing'gu'qian'yuan'xia'xing'zhi'zu'bei 沿下肢胫骨前缘下行至足背
'yan'xie'li'qian'chu'qi'jie 沿胁里浅出气街
'yan'xiong'ce 沿胸侧
'yan'xiong'qiang'li 沿胸腔里
'yan'zao'gan'ke 咽燥干咳
'yan'zhe'ben'jing'jin'ru'xin'zhong 沿着本经进入心中
'yan'zhe'ben'jing'shang'xing 沿着本经上行
'yan'zhi'shang'xing 沿指上行
'yan'zhi'yi'yang'shen'jing 咽之以养肾精
'yan'zu'bei'xing'chu'yu'zu'di'si'zhi'wai'ce'duan 沿足背行出于足第四趾外侧端
'yang'bai'xue 阳白穴
'yang'bu'zhi'yin 阳不制阴
'yang'chang'ze'yin'xiao 阳长则阴消
'yang'de'jue'dui'kang'sheng 阳的绝对亢盛
'yang'jia'yu'yin'wei'zhi'han 阳加于阴谓之汗
'yang'jing'bie'luo'zou'xiang'yin'jing 阳经别络走向阴经
'yang'jing'fen'bu'zai'wai'ce'mian 阳经分布在外侧面
'yang'jing'he'ji'biao 阳经和肌表
'yang'jing'xing'yu'si'zhi'wai'ce'shu'fu 阳经行于四肢外侧属腑
'yang'ke'yi'zhuan'hua'wei'yin 阳可以转化为阴
'yang'ming'jing'xing'yu'mian'bu'e'bu 阳明经行于面部额部
'yang'ming'jing'xing'yu'qian'xiong'fu'mian 阳明经行于前胸腹面
'yang'ming'mai'shuai 阳明脉衰
'yang'ming'yu'tai'yin'wei'biao'li 阳明与太阴为表里
'yang'ming'zao'tu'de'yin'zi'an 阳明燥土得阴自安
'yang'pian'sheng 阳偏胜
'yang'pian'sheng'bi'ran'hui'zhi'yin 阳偏胜必然会制阴
'yang'qi'ben'ke'yi'zhi'yin 阳气本可以制阴
'yang'qi'bu'da'shou'ai 阳气布达受碍
'yang'qi'de'wen'xu'gong'neng'jian'ruo 阳气的温煦功能减弱
'yang'qi'de'yi'hui'fu 阳气得以恢复
'yang'qi'kang'sheng 阳气亢盛
'yang'qi'pian'sheng 阳气偏盛
'yang'qi'sheng'hua'bu'zu 阳气生化不足
'yang'qi'sheng'teng'er'shang 阳气升腾而上
'yang'qi'sheng'xie 阳气升泄
'yang'qi'sheng'xie'tai'guo 阳气升泄太过
'yang'qi'shuai'jie'yu'shang 阳气衰竭于上
'yang'qi'shuai'tui'de'han'zheng 阳气衰退的寒证
'yang'qi'sui'jin'ye'wai'xie'er'wang'tuo 阳气随津液外泄而亡脱
'yang'qi'xiang'dui'pian'sheng 阳气相对偏盛
'yang'qi'zhe 阳气者
'yang'qiang'bu'xie 阳强不泄
'yang're'xia'jiang 阳热下降
'yang're'zheng'zhuang 阳热症状
'yang'sheng 阳盛
'yang'sheng'er'hao'shang'ji'ti'de'yin'ye 阳盛而耗伤机体的阴液
'yang'sheng'er'yin'wei'xu 阳盛而阴未虚
'yang'sheng'ze'yin'xu 阳盛则阴虚
'yang'sheng'zhe'xie're 阳盛者泻热
'yang'shou'zhi 阳受之
'yang'sun'zhi'yin 阳损之阴
'yang'wei'wei'yu'yang 阳维维于阳
'yang'xiang'dui'de'pian'kang 阳相对的偏亢
'yang'xiang'dui'kang'sheng 阳相对亢盛
'yang'xie'qin'ren'ren'ti 阳邪侵人人体
'yang'xie'shang'yin 阳邪伤阴
'yang'xie'zhi'bing 阳邪致病
'yang'xing'sheng'fa 阳性升发
'yang'xu'bu'neng'hua'sheng'yin'ye 阳虚不能化生阴液
'yang'xu'bu'neng'zhi'yin 阳虚不能制阴
'yang'xu'bu'neng'zhi'yue'yin 阳虚不能制约阴
'yang'xu'shui'fan 阳虚水泛
'yang'xu'xie'xie 阳虚泄泻
'yang'xu'ze'bu'neng'zhi'yin 阳虚则不能制阴
'yang'xu'ze'wai'han 阳虚则外寒
'yang'xu'zhe'fu'yang 阳虚者扶阳
'yang'zhu'dong'er'yi'hao'san 阳主动而易耗散
'yang'zhu're 阳主热
'yao'dao'bing'suo 药到病所
'yao'wu'de'xing'neng 药物的性能
'yao'wu'gui'jing 药物归经
'yao'wu'zhi'liao 药物治疗
'yao'xi'leng'tong'he'wei'ruo 腰膝冷痛和萎弱
'yao'xing 药性
'yao'you'yin'yang 药有阴阳
'yao'ze'zong'mai'gan 摇则宗脉感
'ye'hou'shang'jian 腋后上肩
'ye'mang 夜盲
'ye'tai'wu'zhi 液态物质
'ye'wo 腋窝
'ye'wo'liang'jin'zhi'jian 腋窝两筋之间
'ye'xia 腋下
'ye'xia'san'cun'chu 腋下三寸处
'yi'bei'xie'qin 易被邪侵
'yi'biao'yi'li'xiang'hu'pei'he 一表一里相互配合
'yi'bie'qi'bing 以别其病
'yi'bing'de'chuan'ran 疫病的传染
'yi'bu'ke'wu'zhi 亦不可无制
'yi'bu'wei'fen 以部位分
'yi'chang'bian'hua 异常变化
'yi'cheng'bai'wu 以成百物
'yi'chun'ji'wei'duo 以春季为多
'yi'ci'xiang'ke 以次相克
'yi'ci'xiang'sheng 以次相生
'yi'ci'xiang'zhi 以此详之
'yi'cun'wu'fen 一寸五分
'yi'dao'sui'fan 医道虽繁
'yi'fa'fang'xuan'lun 异法方宣论
'yi'fang'tai'sheng 一方太盛
'yi'fen'bie'yin'yang'wei'shou'wu 以分别阴阳为首务
'yi'fen'wei'er 一分为二
'yi'feng'sheng'shen 以奉生身
'yi'fu'yang'huo'yi'yin'zhi'fa 以扶阳或益阴之法
'yi'fu'yu'xue'he'jin'ye 依附于血和津液
'yi'gan'shu'mu 以肝属木
'yi'gan'xing 易感性
'yi'gan'ying'zuo'guan 以肝应左关
'yi'guan 医贯
'yi'guan'qi'miao 以观其妙
'yi'guan'si'pang 以灌四旁
'yi'guan'xin'mai'er'xing'hu'xi'yan 以贯心脉而行呼吸焉
'yi'hang 一行
'yi'he 一合
'yi'huo'wei'li 以火为例
'yi'jian'qi'se 已见其色
'yi'jing'jing 医经精
'yi'jing'jing'yi 医经精义
'yi'jing'luo'wei'qu'dao 以经络为渠道
'yi'jing'mai'wei'ji 以经脉为纪
'yi'kao'fei'xi'ru'de'qing'qi 依靠肺吸入的清气
'yi'ke'ju'qi'qiang'ban 亦可居其强半
'yi'lai'yu'qi'de'tui'dong 依赖于气的推动
'yi'lai'yu'shen'de'qi'hua 依赖于肾的气化
'yi'lai'yu'xin'zang'de'bo'dong 依赖于心脏的搏动
'yi'mai'dong'guo'cheng'fen 以脉动过程分
'yi'nao 乙脑
'yi'niao'shi'jin 遗尿失禁
'yi'qi'chong'men 一七冲门
'yi'qi'fei'zheng'zang'ye 以其非正脏也
'yi'qi'gu'tuo'zhi'fa 益气固脱之法
'yi'qi'sheng'wu 以器盛物
'yi'qi'wei'fei'zhi'fu 以其为肺之腑
'yi'qi'xie 溢奇邪
'yi'qiang 抑强
'yi'qiang'fu'ruo 抑强扶弱
'yi'qiang'ling'ruo 以强凌弱
'yi'qiang'zhi'da'fu'ye 一腔之大府也
'yi'qie'jing'wei'wu'zhi 一切精微物质
'yi're'wei'zhu 以热为主
'yi'ri'ze'qi'shao'yi 一日则气少矣
'yi'rong'si'mo 以荣四末
'yi'san'jiao'wei'tong'dao 以三焦为通道
'yi'san'yin'han 以散阴寒
'yi'shang'duan'nei 以上端内
'yi'shang'jin'ye 易伤津液
'yi'shang'sheng'wei'shun 以上升为顺
'yi'shang'sheng'wei'zhu 以上升为主
'yi'she'di'shang'pin 以舌抵上聘
'yi'shen'zhi'biao 一身之表
'yi'sheng'qing'wei'zhu 以升清为主
'yi'sheng'yang'ji'rou 以生养肌肉
'yi'shi'si'wei'huo'dong'de'shi'chang 意识思维活动的失常
'yi'shi'ting'xiu'yan 忆视听嗅言
'yi'shi'xing'de'rao'luan 一时性的扰乱
'yi'suo'sheng 已所胜
'yi'tong'er'bu'yi'zhi 宜通而不宜滞
'yi'tong'wei'yong 以通为用
'yi'wei'nei'ji 一为内疾
'yi'wei'shen'suo'zhu 亦为肾所主
'yi'wen'ji'rou 以温肌肉
'yi'wu'qin'ru'mu'zhong 异物侵入目中
'yi'wu'zhi'wei'ji'chu 以物质为基础
'yi'xi'yang'wei 易袭阳位
'yi'xi'yin'wei 易袭阴位
'yi'xia'bi'guan 以下髀关
'yi'xia'guan'duan'nei 以下贯端内
'yi'xia'jiang'wei'he 以下降为和
'yi'xia'xiong'zhong 以下胸中
'yi'xia'xun'zhong'yang 以下循钟阳
'yi'xiao'yin'yi 以消阴翳
'yi'xing'tai'fen 以形态分
'yi'xue'huo'wen 医学或问
'yi'xue'ren'men 医学人门
'yi'xue'san'zi'jing 医学三字经
'yi'xue'shi'zai'yi 医学实在易
'yi'xue'zhen'chuan 医学真传
'yi'yang'wu'qi 以养五气
'yi'yang'wu'zang'zhi'qi 以养五脏之气
'yi'yi'tong'liang 以一统两
'yi'yin'xu'wei'zhu'de'yin'yang'liang'xu 以阴虚为主的阴阳两虚
'yi'yin'yang'zuo'wei'zong'gang 以阴阳作为总纲
'yi'yin'yi'yang 一阴一阳
'yi'yin'yi'yang'xiang'wei'biao'li 一阴一阳相为表里
'yi'you'ci'shen 一有此身
'yi'yu'fa'nu 易于发怒
'yi'yu'gu'zhe 易于骨折
'yi'yu'nan'jie 抑郁难解
'yi'yu'quan'yu 易于痊愈
'yi'yu'yi'tuo 易于逸脱
'yi'zang'fu'fen'yin'yang 以脏腑分阴阳
'yi'zang'fu'lai'fen 以脏腑来分
'yi'zang'shou'bing 一脏受病
'yi'zang'yi'fu 一脏一腑
'yi'zang'yi'fu'xiang'wei'biao'li 一脏一腑相为表里
'yi'zang'yi'fu'zhi 一脏一腑之
'yi'zhe 一者
'yi'zhi'he'xing'fen'de'hu'xiang'zhuan'hua 抑制和兴奋的互相转化
'yi'zhi'he'zhi'yue 抑制和制约
'yi'zhi'qi'bing 以知其病
'yi'zhi'qi'bing'suo'qi'suo'zai'ye 以知其病所起所在也
'yi'zhi'qi'qiang 抑制其强
'yi'zhi'shu'fen 以至数分
'yi'zhi'xu'yu 医旨绪余
'yi'zhi'yang'kang'huo'sheng 抑制阳亢火盛
'yi'zong'bi'du 医宗必读
'yin'bai'xue 隐白穴
'yin'chang'ze'yang'xiao 阴长则阳消
'yin'de'jue'dui'pian'sheng 阴的绝对偏盛
'yin'de'xiang'dui'bu'zu 阴的相对不足
'yin'feng'qi'shen'zhi'xu 因逢其身之虚
'yin'fu 阴阜
'yin'gu 阴谷
'yin'han'sheng'yi'yu'sun'shang'yang'qi 阴寒盛易于损伤阳气
'yin'han'zhi'xie'pian'sheng 阴寒之邪偏盛
'yin'huo'yang'de'pian'sheng 阴或阳的偏胜
'yin'huo'yang'de'pian'shuai 阴或阳的偏衰
'yin'huo'yang'de'yi'fang'bu'zu 阴或阳的一方不足
'yin'ji'zhong'kuai 瘾积肿块
'yin'jin'kui'xu 阴津亏虚
'yin'jing'bao'shi 引经报使
'yin'jing'bie 阴经别
'yin'jing'bie'luo'zou'xiang'yang'jing 阴经别络走向阳经
'yin'jing'fen'bu'zai'nei'ce'mian 阴经分布在内侧面
'yin'jing'xing'yu'si'zhi'nei'ce'shu'zang 阴经行于四肢内侧属脏
'yin'jing'yu'mai 淫精于脉
'yin'jiu'bing'sun'hao 因久病损耗
'yin'pian'sheng 阴偏胜
'yin'pian'sheng'dao'zhi'yang'shuai 阴偏胜导致阳衰
'yin'pian'sheng'ye'bi'ran'hui'zhi'yang 阴偏胜也必然会制阳
'yin'qi'dong'er'fa'ye 因其动而发也
'yin'qi'pian'sheng 阴气偏盛
'yin'qiao'yang'qiao 阴跷阳跷
'yin'sheng 阴盛
'yin'sheng'er'yang'wei'xu 阴盛而阳未虚
'yin'sheng'neng'zhang 音声能彰
'yin'sheng'sheng'nei'han 阴盛生内寒
'yin'sheng'yang'sheng 阴胜阳胜
'yin'sheng'ze'yang'xu 阴盛则阳虚
'yin'sheng'zhe'qu'han 阴盛者祛寒
'yin'shi'bu'zu 饮食不足
'yin'shi'kou'wei 饮食口味
'yin'shi'lao'juan 饮食劳倦
'yin'shi'ru'kou 饮食入口
'yin'shi'tiao'yang 饮食调养
'yin'shi'wu'ru'wei 饮食物入胃
'yin'shi'wu'xiao'hua'pai'xie'de'tong'dao 饮食物消化排泄的通道
'yin'wei'wei'yu'yin 阴维维于阴
'yin'wei'yang'wei 阴维阳维
'yin'xiang'dui'de'pian'sheng 阴相对的偏盛
'yin'xiang'dui'kang'sheng 阴相对亢盛
'yin'xie'he'yang'xie 阴邪和阳邪
'yin'xie'qin'ru'ren'ti 阴邪侵入人体
'yin'xie'zhi'bing 阴邪致病
'yin'xu'bu'neng'hua'sheng'yang'qi 阴虚不能化生阳气
'yin'xu'bu'neng'zhi'yang'er'zhi'yang'kang'zhe 阴虚不能制阳而致阳亢者
'yin'xu'bu'neng'zhi'yue'yang 阴虚不能制约阳
'yin'xu'huo'mu 阴虚火睦
'yin'xu'ze'nei're 阴虚则内热
'yin'xu'zhe'bu'yin 阴虚者补阴
'yin'xu'zhi'shi 因虚致实
'yin'ya'shi'yin 音哑失音
'yin'yang'biao'li'han're'xu'shi 阴阳表里寒热虚实
'yin'yang'de'ge'ju 阴阳的格拒
'yin'yang'de'hu'sun 阴阳的互损
'yin'yang'de'pian'sheng 阴阳的偏胜
'yin'yang'de'pian'sheng'pian'shuai 阴阳的偏盛偏衰
'yin'yang'de'pian'shuai 阴阳的偏衰
'yin'yang'de'wang'shi 阴阳的亡失
'yin'yang'de'xiao'zhang'shi'qu'xie'tiao'ping'heng 阴阳的消长失去协调平衡
'yin'yang'de'zhuan'hua 阴阳的转化
'yin'yang'dong'tai'ping'heng 阴阳动态平衡
'yin'yang'he 阴阳和
'yin'yang'hu'gen 阴阳互根
'yin'yang'ji'wu'xing'zhi'qi 阴阳即五行之气
'yin'yang'ju'sun 阴阳俱损
'yin'yang'liang'lei 阴阳两类
'yin'yang'ping'fu 阴阳平复
'yin'yang'wu'miu 阴阳无谬
'yin'yang'xiang'guan 阴阳相贯
'yin'yang'xiang'he 阴阳相合
'yin'yang'xiang'jiao 阴阳相交
'yin'yang'zhi'fen 阴阳之分
'yin'yang'zhi'gen'di 阴阳之根蒂
'yin'ye'bu'hua'er'yin'han'nei'sheng 阴液不化而阴寒内盛
'yin'ye'bu'zu 阴液不足
'yin'ye'bu'zu'bu'neng'zhi'yue'yang'qi 阴液不足不能制约阳气
'yin'ye'bu'zu'ji'zi'yang 阴液不足及滋养
'yin'ye'he'yang'qi 阴液和阳气
'yin'ye'kui'sun 阴液亏损
'yin'yin'shi'sheng'qi'xue 因饮食生气血
'yin'you'xiang'dui'de'bu'zu 阴由相对的不足
'yin'yu'shi 因于湿
'yin'zheng'ke'yi'zhuan'hua'wei'yang'zheng 阴证可以转化为阳证
'yin'zhuo'qi'zai'shang 因浊气在上
'ying'feng'liu'lei 迎风流泪
'ying'qi'fen'bu'yu'xue'mai'zhi'zhong 营气分布于血脉之中
'ying'qi'fu'yu'ying'yang 营气富于营养
'ying'qi'he'fei 营气和肺
'ying'qi'he'jin'ye 营气和津液
'ying'qi'he'wei'qi 营气和卫气
'ying'qi'he'xue'ye'de'gong'neng'jian'quan'yu'fou 营气和血液的功能健全与否
