'a'mu'bai'mei'ren 阿母白媒人
'xiao'ren'fan'xing 小人犯刑
'xiao'ren'gan'yi'jue 小人甘以绝
'xiao'ren'huai'hui 小人怀惠
'xiao'ren'huai'tu 小人怀土
'xiao'ren'jiao'er'bu'tai 小人骄而不泰
'xiao'ren'nan'shi'er'yi'shuo'ye 小人难事而易说也
'xiao'ren'peng'zhi 校人烹之
'xiao'ren'qiong'si'lan'yi 小人穷斯滥矣
'xiao'ren'qiu'zhu'ren 小人求诸人
'xiao'ren'suo'shi 小人所视
'xiao'ren'suo'yi'he'shi 小人所以合时
'xiao'ren'tong'er'bu'he 小人同而不和
'xiao'ren'xia'da 小人下达
'xiao'ren'xue'dao'ze'yi'shi'ye 小人学道则易使也
'xiao'ren'xue'she'yu'yin'gong'zhi'ta 小人学射於尹公之他
'xiao'ren'you'yong'er'wu'yi'wei'dao 小人有勇而无义为盗
'xiao'ren'yu'yu'li 小人喻于利
'xiao'ren'ze'yi'shen'xun'li 小人则以身殉利
'xiao'ren'zhi'de'cao 小人之德草
'xiao'ren'zhi'de'cao'ye 小人之德草也
'xiao'ren'zhi'guo'ye'bi'wen 小人之过也必文
'xiao'ren'zhi'jiao'gan'ruo'li 小人之交甘若醴
'xiao'ren'zhi'ze 小人之泽
'xiao'sa'jiang'mei 潇洒江梅
'xiao'se'cui'cheng'shu'yu 晓色催成疏雨
'xiao'se'yun'kai 晓色云开
'xiao'sheng'zhuan'xin'nian'ying'yu 笑声转新年莺语
'xiao'shi'bu'shi'yue 小时不识月
'xiao'shi'qu'zheng'xi 小试去征西
'xiao'shi'shang'de 小识伤德
'xiao'shi'wu'zhe 晓是舞者
'xiao'shou'ying'xian'ming'zhu 消瘦影嫌明烛
'xiao'shu'bin'yi'ban 萧疏鬓已斑
'xiao'si'er'fu'qu 效死而弗去
'xiao'si'lian'jun 萧寺怜君
'xiao'si'wei'ze 孝思维则
'xiao'si'wu'qu 效死勿去
'xiao'sui'tian'zhang'ru 晓随天仗入
'xiao'suo'jiang'cheng'mu 萧索江城暮
'xiao'tan'ke'yin'xiong'nu'xue 笑谈渴饮匈奴血
'xiao'tang'shen'chu 小堂深处
'xiao'tao'wu'lai'yi'liao'ren 小桃无赖已撩人
'xiao'ti'ye'zhe 孝悌也者
'xiao'tiao'ting'yuan 萧条庭院
'xiao'tiao'yi'dai'bu'tong'shi 萧条异代不同时
'xiao'tie'jin'ni 小帖金泥
'xiao'wa'cheng'xiao'ting 小娃撑小艇
'xiao'wei'yu'shu'fei'han'hai 校尉羽书飞瀚海
'xiao'wen'ke'cong'he'chu'lai 笑问客从何处来
'xiao'wu'er'dong 效物而动
'xiao'xi'fan'jin'que'shan'xing 小溪泛尽却山行
'xiao'xi'jing'chen'chen 消息竟沉沉
'xiao'xi'man'xu 消息满虚
'xiao'xi'shui'chuan'dao'ju'shuang 消息谁传到拒霜
'xiao'xi'ying'xu 消息盈虚
'xiao'xian'qie'qie'ru'si'yu 小弦切切如私语
'xiao'xian'yi'da'xian 小贤役大贤
'xiao'xiang'feng'gu'ren 潇湘逢故人
'xiao'xiao'ban'ma'ming 萧萧班马鸣
'xiao'xiao'huang'ye'bi'shu'chuang 萧萧黄叶闭疏窗
'xiao'xiao'ji'ye'feng'jian'yu 萧萧几叶风兼雨
'xiao'xiao'ling'bo'luo'wa 小小凌波罗袜
'xiao'xiao'mu'yu'zi'gui'ti 萧萧暮雨子规啼
'xiao'xiao'ran'yue 嚣嚣然曰
'xiao'xiao'wu'ye'song'han'sheng 萧萧梧叶送寒声
'xiao'xiao'yu'xie 潇潇雨歇
'xiao'xue'er'da'yi 小学而大遗
'xiao'yan'shu'xiang'zui'jiao'ruan 小艳疏香最娇软
'xiao'yan'zhan'zhan 小言詹詹
'xiao'yao'chi'ge'liang 逍遥池阁凉
'xiao'yao'hu'qin'wo'qi'xia 逍遥乎寝卧其下
'xiao'yao'hu'wu'shi'zhi'ye 逍遥乎无事之业
'xiao'yao'hu'wu'wei'zhi'ye 逍遥乎无为之业
'xiao'yao'you'xian'qin'zhuang'zi 逍遥游先秦庄子
'xiao'yin'wu'lai'si'qiong'qiu 晓阴无赖似穷秋
'xiao'yin'yin'di'ren'lai'qu 笑吟吟地人来去
'xiao'yu'rou'sang'mo'shang'lai 笑语柔桑陌上来
'xiao'yu'xian'xian'feng'xi'xi 小雨纤纤风细细
'xiao'yu'ying'ying'an'xiang'qu 笑语盈盈暗香去
'xiao'yuan'di'kan 小园低槛
'xiao'yuan'hua'luan'fei 小园花乱飞
'xiao'yuan'sui'yi'fang'fei 小园随意芳菲
'xiao'yuan'xiang'jing 小园香径
'xiao'yuan'xiang'jing'du'pai'huai 小园香径独徘徊
'xiao'yuan'xin'liang 小院新凉
'xiao'yue'guo'can'lei 晓月过残垒
'xiao'yue'zhui'su'yun'wei 晓月坠宿云微
'xiao'yun'hong'chao 小晕红潮
'xiao'ze'yi'ba 小则以霸
'xiao'zhe'jiao'ye 校者教也
'xiao'zhe'ru'wu 小者如雾
'xiao'zhi'bu'ji'da'zhi 小知不及大知
'xiao'zhi'jian'jian 小知间间
'xiao'zhi'wei'ye 小之微也
'xiao'zhi'zhi'ye 孝之至也
'xiao'zhou'cong'ci'shi 小舟从此逝
'xiao'zi'bu'yu'qi'qin 孝子不谀其亲
'xiao'zi'cao'yao'yi'xiu'ci'fu 孝子操药以修慈父
'xiao'zi'gan'wen 小子敢问
'xiao'zi'ming'gu'er'gong'zhi 小子鸣鼓而攻之
'xiao'zi'ming'gu'er'gong'zhi'ke'ye 小子鸣鼓而攻之可也
'xiao'zi'shao'jin 小子少进
'xiao'zi'ting'zhi 小子听之
'xiao'zi'wu'suo'wei 小子无所畏
'xiao'zi'xiang'jian'wu'yi'zhan 小字香笺无意展
'xiao'zi'zhi'zhi 孝子之至
'xiao'zu'yi'hua'zi 小足以化子
'xie'ba'gui'er'er'ao 蟹八跪而二螯
'xie'ba'yu'chai'deng'ying'pan 斜拔玉钗灯影畔
'xie'bu'cheng'shu 写不成书
'xie'cheng'xian'hua 写成闲话
'xie'ci'zhi'qi'suo'li 邪辞知其所离
'xie'fei'xian'yi'ao'you 挟飞仙以遨游
'xie'fen'qiu'qiong'sao 屧粉秋蛩扫
'xie'fen'yi'xiang'he'chu 屧粉衣香何处
'xie'feng'xi'yu 斜风细雨
'xie'feng'xi'yu'bu'xu'gui 斜风细雨不须归
'xie'gong'su'chu'jin'shang'zai 谢公宿处今尚在
'xie'gong'xing'chu'cang'tai'mei 谢公行处苍苔没
'xie'gong'zui'xiao'pian'lian'nv 谢公最小偏怜女
'xie'guang'dao'xiao'chuan'zhu'hu 斜光到晓穿朱户
'xie'guang'zhao'xu'luo 斜光照墟落
'xie'hou'xiang'feng 邂逅相逢
'xie'hua'jian'bai 颉滑坚白
'xie'hua'you'shi 颉滑有实
'xie'jia'lai'gui'men 谢家来贵门
'xie'jia'shi'fu'xu 谢家事夫婿
'xie'jia'ting'yuan'can'geng'li 谢家庭院残更立
'xie'jian'chan'xiao 胁肩谄笑
'xie'jing'dou'mi 斜径都迷
'xie'liu'bi'men'er'bu'nei 泄柳闭门而不内
'xie'liu'huan'xin'zhi'feng'qiao 斜溜鬟心只凤翘
'xie'liu'shen'xiang 泄柳申详
'xie'niang'xuan'lei'li'feng'qian 谢娘悬泪立风前
'xie'qi'bu'neng'xi 邪气不能袭
'xie'ri'han'lin'dian'mu'ya 斜日寒林点暮鸦
'xie'ri'luo'yu'ting 斜日落渔汀
'xie'ri'wei'neng'du 斜日未能度
'xie'ru'qin'si 写入琴丝
'xie'shuo'bao'xing'you'zuo 邪说暴行又作
'xie'shuo'bao'xing'you'zuo 邪说暴行有作
'xie'shuo'zhe'bu'de'zuo 邪说者不得作
'xie'ta'jiu'peng'shi'lv 谢他酒朋诗侣
'xie'tai'shan'yi'chao'bei'hai 挟太山以超北海
'xie'tang'shuang'yan 谢堂双燕
'xie'xiang'hong'chuang'yue'ye'qian 写向红窗月夜前
'xie'xiang'hua'tang'xi'dou 携向华堂戏斗
'xie'yang'cao'shu 斜阳草树
'xie'yang'du'yi'xi'lou 斜阳独倚西楼
'xie'yang'gua'shen'shu 斜阳挂深树
'xie'yang'hong'yin'shuang'shu 斜阳红隐霜树
'xie'yang'lei'man 斜阳泪满
'xie'yang'que'zhao'lan'gan 斜阳却照阑干
'xie'yang'que'zhao'shen'shen'yuan 斜阳却照深深院
'xie'yang'ran'ran'chun'wu'ji 斜阳冉冉春无极
'xie'yang'shan'xia'duo'shuai'cao 斜阳山下多衰草
'xie'yang'ying'shan'luo 斜阳映山落
'xie'yang'zheng'zai 斜阳正在
'xie'yang'zhi'song'ping'bo'yuan 斜阳只送平波远
'xie'yang'zhi'yu'huang'hun'jin 斜阳只与黄昏近
'xie'yi'hua'ping'si'wang'shi 斜倚画屏思往事
'xie'yi'xun'long'zuo'dao'ming 斜倚薰笼坐到明
'xie'yu'ke'dou 蟹与科斗
'xie'yue'ban'chuang'hai'shao'shui 斜月半窗还少睡
'xie'yue'chen'chen'cang'hai'wu 斜月沉沉藏海雾
'xie'zhao'nong'qing 斜照弄晴
'xie'zhi'yan'yue 谐之言曰
'xie'zhu'zhang'geng'mang'xie 携竹杖更芒鞋
'xin'bing'zhong'xu'xin'yao'yi 心病终须心药医
'xin'bu'zu'yan 信不足焉
'xin'che'wei'zhi 心彻为知
'xin'chen'jing'zu'chen'li'bing'er'shui'he 信臣精卒陈利兵而谁何
'xin'chou'yi'ji 新愁易积
'xin'chui'jian'huang'liang 新炊间黄粱
'xin'chun'tou'xiang'liu'shao'gui 新春偷向柳梢归
'xin'dao'bu'du 信道不笃
'xin'de'yu'yi'chuan'dian'he 信得羽衣传钿合
'xin'duan'xin'feng'jiu 心断新丰酒
'xin'er'hao'gu 信而好古
'xin'er'hou'jian 信而后谏
'xin'fan'hu'bu'qu 新翻胡部曲
'xin'fan'qu'miao 新翻曲妙
'xin'fu'che'zai'hou 新妇车在后
'xin'fu'chu'lai'shi 新妇初来时
'xin'fu'qi'yan'zhuang 新妇起严妆
'xin'fu'ru'qing'lu 新妇入青庐
'xin'fu'shi'ma'sheng 新妇识马声
'xin'fu'wei'fu'li 新妇谓府吏
'xin'geng'yu'hou'luo'qun'ya 新耕雨后落群鸦
'xin'gu'ji'sheng 新谷既升
'xin'gu'ke'shi'ruo'si'hui'hu 心固可使若死灰乎
'xin'gui'fan'yuan'jiu'gui'ku 新鬼烦冤旧鬼哭
'xin'he'er'chu 心和而出
'xin'hen'yun'shan'qian'die 新恨云山千叠
'xin'hu'fu'zi'bu'yan'bu'xiao'bu'qu'hu 信乎夫子不言不笑不取乎
'xin'ji'hu'qin'yu 心寄胡琴语
'xin'jin'yu'yi 信近于义
'xin'jiu'you'tian'can'jiu'kun 新酒又添残酒困
'xin'kai'qi'xuan'cheng'yuan'zhen'biao'chen 新开棋轩呈元珍表臣
'xin'ku'zao'feng'qi'yi'jing 辛苦遭逢起一经
'xin'ku'zui'lian'tian'shang'yue 辛苦最怜天上月
'xin'kun'yan'er'bu'neng'zhi 心困焉而不能知
'xin'lai'hai'e 新来还恶
'xin'lai'mo'shi 新来莫是
'xin'lai'yan'kuo'yun'yin 新来雁阔云音
'xin'lan'yi'qie 心懒意怯
'xin'liu'shu'jiu'sha'zhou 新柳树旧沙洲
'xin'lv'an'tong'nan'pu 新绿暗通南浦
'xin'lv'jian'jian 新绿溅溅
'xin'lv'sheng'shi 新绿生时
'xin'lv'xiao'chi'tang 新绿小池塘
'xin'mo'ruo'he 心莫若和
'xin'neng'xing'ci'wu'zhe 信能行此五者
'xin'nian'dou'wei'you'fang'hua 新年都未有芳华
'xin'nian'jiu'en 心念旧恩
'xin'qi'bian'ge'tian'ya 心期便隔天涯
'xin'qi'qie'chu 心期切处
'xin'qi'wo'yi'she 心期卧亦赊
'xin'qie'cheng'zhi 心且成之
'xin'qing'sui'zai'zhi'yin'shi 心情虽在只吟诗
'xin'qing'wan'shi'jie'hong'mao 心轻万事皆鸿毛
'xin'qing'xi'lv'ping'sha 新晴细履平沙
'xin'ren'mei'ru'yu 新人美如玉
'xin'ru'jie'xi 心如结兮
'xin'ru'jun'bu'jun 信如君不君
'xin'ruo'si'hui 心若死灰
'xin'ruo'xian'yu'tian'di'zhi'jian 心若县于天地之间
'xin'sheng'man'zou'yi'xian'yu 新声慢奏移纤玉
'xin'shi'dan'dan 信誓旦旦
'xin'shi'qi'yue'qiang 心使气曰强
'xin'shi'wan'chong 心事万重
'xin'shi'yan'bo'nan'ding 心事眼波难定
'xin'shu'zhi'dong 心术之动
'xin'si'shuang'si'wang 心似双丝网
'xin'si'yan'ye 信斯言也
'xin'song'hen'bu'gao'qian'chi 新松恨不高千尺
'xin'sui'ming'yue'dao'hu'tian 心随明月到胡天
'xin'sui'yan'fei'mie 心随雁飞灭
'xin'ting'feng'jing 新亭风景
'xin'tong'chu'yin 新桐初引
'xin'wei'san'yue'nian'liu'ye'si'gu 辛未三月念六夜四鼓
'xin'wu'suo'zhi 心无所知
'xin'wu'tian'you 心无天游
'xin'xin'ci'sheng'yi 欣欣此生意
'xin'xing'rong'ti'er'shun'hu'wen 信行容体而顺乎文
'xin'xu'qi'mi 心绪凄迷
'xin'yan'bu'mei 信言不美
'xin'yan'jin'liu 新烟禁柳
'xin'yan'ning'bi 新烟凝碧
'xin'yang'chai'fu'ai'hu 新样钗符艾虎
'xin'yang'jing'zhuang 新样靓妆
'xin'yi'cheng'zhi 信以成之
'xin'yi'er'bu'qi 信矣而不期
'xin'yi'yu'nang'shi 心异於曩时
'xin'yin'liao'miao 信音辽邈
'xin'you'ling'xi'yi'dian'tong 心有灵犀一点通
'xin'you'tan'jian'yuan'tian'han 心忧炭贱愿天寒
'xin'you'tian'you 心有天游
'xin'yu'xin'shi'zhi 心与心识知
'xin'yu'yang'hua'gong'yuan 心与杨花共远
'xin'yu'you'you'dao 信於友有道
'xin'yue'juan'juan 新月娟娟
'xin'ze'min'ren'yan 信则民任焉
'xin'ze'ren'ren'yan 信则人任焉
'xin'ze'shi'zhi'ye 心则使之也
'xin'zhe'quan'wu'shi'chu 信着全无是处
'xin'zhe'xiao'qi'zhong 信者效其忠
'xin'zhi'chang'bie'li 心知长别离
'xin'zhi'mu'han'you'qian 信知暮寒犹浅
'xin'zhi'ren'bu'nu 心之人不怒
'xin'zhi'sheng'nan'e 信知生男恶
'xin'zhi'shi'ye 心之适也
'xin'zhi'yu'fu 心止于符
'xin'zhi'yu'xing 心之与形
'xin'zhi'yu'xun'ye'dai 心之于殉也殆
'xin'zhi'zao'bo'su 新知遭薄俗
'xin'zhong'chang'ku'bei 心中常苦悲
'xin'zhong'wei'nian'nong'sang'ku 心中为念农桑苦
'xin'zhuang'yi'mian'xia'zhu'lou 新妆宜面下朱楼
'xin'zi'yi'cheng'hui 心字已成灰
'xing'ben'ai'qiu'shan 性本爱丘山
'xing'ben'sheng'yu'jing 形本生于精
'xing'bi'yi'xiang 行比一乡
'xing'bian'er'you'sheng 形变而有生
'xing'bu'bi'guo 行不必果
'xing'bu'de'mei'fu 形不得美服
'xing'bu'du'jing 行不笃敬
'xing'bu'ke'yi 性不可易
'xing'bu'li'er'sheng'wang'zhe'you'zhi'yi 形不离而生亡者有之矣
'xing'bu'lv'yu 行不履阈
'xing'bu'ren'ren'zhi'zheng 行不忍人之政
'xing'bu'shang'da'fu 刑不上大夫
'xing'bu'ya'yi'zhi'wei'kuan 行不崖异之谓宽
'xing'bu'yan'zhi'jiao 行不言之教
'xing'bu'you'jing 行不由径
'xing'bu'zhi'suo'zhi 行不知所之
'xing'chen'gu'you'lie'yi 星辰固有列矣
'xing'chen'zhi'yuan'ye 星辰之远也
'xing'cheng'yu'si'er'hui'yu'sui 行成于思而毁于随
'xing'chong'kong'xu 形充空虚
'xing'chui'ping'ye'kuo 星垂平野阔
'xing'ci'nan'yi'zhe 幸此南夷谪
'xing'da'xing'ji'wang 性达形迹忘
'xing'dao'shi'qiao'wen'xi'yu 行到石桥闻细雨
'xing'dao'shui'qiong'chu 行到水穷处
'xing'dao'zhong'ting'shu'hua'duo 行到中庭数花朵
'xing'de'ren'yi 形德仁义
'xing'dou'heng'you'guan 星斗横幽馆
'xing'duan'fei'suo'xu 性短非所续
'xing'er'bu'yuan 行而不远
'xing'er'de'zhi 幸而得之
'xing'fa'bu'zhong'ze'min'wu'suo'cuo'shou'zu 刑罚不中则民无所措手足
'xing'fu'de'ci'fu 幸复得此妇
'xing'fu'luan'qi'suo'wei 行拂乱其所为
'xing'ge'er'qu'zhi 行歌而去之
'xing'gong'jian'yue'shang'xin'se 行宫见月伤心色
'xing'gong'zhi'jun'zui'qiong'jiang 星宫之君醉琼浆
'xing'gu'ke'shi'ru'gao'mu 形固可使如槁木
'xing'gu'ke'shi'ruo'gao'hai 形固可使若槁骸
'xing'gu'zao'xing 形固造形
'xing'han'can'lan 星汉灿烂
'xing'han'luo'bi'yao'wu'yue 兴酣落笔摇五岳
'xing'he'lu'qi 星河鹭起
'xing'he'qiu'yi'yan 星河秋一雁
'xing'he'yu'zhuan'qian'fan'wu 星河欲转千帆舞
'xing'hu'guo'zheng'ru'bi'qi'jiu'ye 行乎国政如彼其久也
'xing'hu'wan'wu'zhi'shang'er'bu'li 行乎万物之上而不栗
'xing'hu'wu'fang 行乎无方
'xing'hu'wu'ming 行乎无名
'xing'hu'wu'ming'zhe 行乎无名者
'xing'hua'ru'xue 杏花如雪
'xing'hua'shu'ying'li 杏花疏影里
'xing'hua'wei'yu'shi'qing'xiao 杏花微雨湿轻绡
'xing'hua'wu'chu'bi'chun'chou 杏花无处避春愁
'xing'huo'shi'zhi 行或使之
'xing'ji'you'chi 行己有耻
'xing'jiang'zi'zheng 形将自正
'xing'jin'fang'xia'shan 兴尽方下山
'xing'jin'jiang'nan 行尽江南
'xing'jin'mu'sha'shuai'cao 行尽暮沙衰草
'xing'jin'qing'xi'bu'jian'ren 行尽青溪不见人
'xing'jin'wan'hui'zhou 兴尽晚回舟
'xing'jing'bu'kui 形精不亏
'xing'jing'hua'yin 行经华阴
'xing'jiu'er'ru 形就而入
'xing'jun'si'ma'zhi'qie'yong 行军司马智且勇
'xing'jun'yong'bing'zhi'dao 行军用兵之道
'xing'kai'su'mian 杏开素面
'xing'ke'guang'wen'xun 幸可广问讯
'xing'lai'mei'du'wang 兴来美独往
'xing'lao'er'bu'xiu'ze'bi 形劳而不休则弊
'xing'le'xu'ji'chun 行乐须及春
'xing'lin'wan'hu'dong 星临万户动
'xing'liu'san'xi 行流散徙
'xing'lu'nan'san'shou'zhi'er 行路难三首之二
'xing'lu'nan'san'shou'zhi'san 行路难三首之三
'xing'lu'nan'san'shou'zhi'yi 行路难三首之一
'xing'lu'zhe'xiang'wang'ye 形戮者相望也
'xing'lv'jie'yu'chu'yu'wang'zhi'tu 行旅皆欲出於王之涂
'xing'mian'zhu'ge 醒眠朱阁
'xing'ming'bi'xiang 刑名比详
'xing'ming'bi'xiang 形名比详
'xing'ming'fei'ru'you 性命非汝有
'xing'ming'yi'ming'er'yin'ren'ci'zhi 形名已明而因任次之
'xing'mo'ruo'jiu 形莫若就
'xing'mo'ruo'yuan 形莫若缘
'xing'nai'chang'sheng 形乃长生
'xing'neng'zheng'sheng 幸能正生
'xing'nian'qi'shi'er'you'you'ying'er'zhi'se 行年七十而犹有婴儿之色
'xing'nian'si'shi'er'you'nei're'zhi'bing'yi'si 行年四十而有内热之病以死
'xing'nian'si'sui 行年四岁
'xing'pi'ren'ke'ye 行辟人可也
'xing'qi'suo'bu'neng'xing'ye 行其所不能行也
'xing'qi'suo'wu'shi'ye 行其所无事也
'xing'qi'yi'ye 行其义也
'xing'qing'bu'li 性情不离
'xing'qing'mei'xiao 杏青梅小
'xing'qu'dao'zhe'bu'zhi 行衢道者不至
'xing'qu'er'jin'yue 行趋而进曰
'xing'quan'you'zu'yi'wei'er 形全犹足以为尔
'xing'quan'zhe'shen'quan 形全者神全
'xing'ren'ceng'jian 行人曾见
'xing'ren'chang'jian 行人长见
'xing'ren'dan'yun'dian'hang'pin 行人但云点行频
'xing'ren'diao'dou'feng'sha'an 行人刁斗风沙暗
'xing'ren'geng'zai'chun'shan'wai 行人更在春山外
'xing'ren'gong'jian'ge'zai'yao 行人弓箭各在腰
'xing'ren'gui'yi'su 行人归意速
'xing'ren'jian'lao 行人渐老
'xing'ren'qi'chu 行人凄楚
'xing'ren'qu'zhao'yi'bo'zhuan 行人去棹依波转
'xing'ren'ru'kong'bu'sheng 刑人如恐不胜
'xing'ren'yin'xin'jue 行人音信绝
'xing'ren'zheng'er'wang 行仁政而王
'xing'ren'zhu'zu'ting 行人驻足听
'xing'ren'zi'xiang'jiang'tou'xing 行人自向江头醒
'xing'ren'zi'yu'xiu'shi'zhi 行人子羽修饰之
'xing'ruo'gao'hai 形若槁骸
'xing'san'ri'er'bu'yi 醒三日而不已
'xing'san'shi'li'er'hou'yu 行三十里而后愈
'xing'shi'qing'qiu'fa 兴是清秋发
'xing'shi'shang'xian 行事尚贤
'xing'shi'tong'jiao'huan 醒时同交欢
'xing'shi'zhi'qing'er'wang'qi'shen 行事之情而忘其身
'xing'shu'hu'su 行殊乎俗
'xing'sui'ping'ye'kuo 星随平野阔
'xing'ti'bao'shen 形体保神
'xing'tian'ru'jing 行天入境
'xing'tian'wu'gan'qi 刑天舞干戚
'xing'tian'xia'zhi'da'dao 行天下之大道
'xing'wang'li'he 兴亡离合
'xing'wu'wei'guo 幸勿为过
'xing'xia'zhi'shi 行夏之时
'xing'xian'er'qu'zi'xian'zhi'xing 行贤而去自贤之行
'xing'xiang'jin'ye 性相近也
'xing'xiao'bian'er'bu'shi'qi'da'chang'ye 行小变而不失其大常也
'xing'xing'bao'ru'lei 性行暴如雷
'xing'xing'ran'jian'yu'qi'mian 悻悻然见於其面
'xing'xing'ru'ye 行行如也
'xing'xiu'fan'de 性修反德
'xing'yan'zi'wei'er'tian'xia'hua 行言自为而天下化
'xing'ye'si'liang 行也思量
'xing'ye'wu'liao 醒也无聊
'xing'yi'bu'yi 行一不义
'xing'yi'gao'pu'yi'zi 行以告蒲衣子
'xing'yi'yi'da'qi'dao 行义以达其道
'xing'yi'you'jian'yi 行义有间矣
'xing'yin'lu'shan'fa 兴因庐山发
'xing'ying'kong'chou'zuo 形影空酬酢
'xing'ying'xiang'diao 形影相吊
'xing'you'bu'de'zhe 行有不得者
'xing'you'bu'qian'yu'xin 行有不慊於心
'xing'you'gui'lai'shuang'yan 幸有归来双燕
'xing'you'wei'yin'ke'xiang'xia 幸有微吟可相狎
'xing'you'yu'li 行有余力
'xing'yu'da'dao 行于大道
'xing'yu'gua'qi 刑於寡妻
'xing'yu'se'ye 形与色也
'xing'yu'wan'wu'zhe 行于万物者
'xing'yuan'bi'zi'er 行远必自尔
'xing'yue'yan'ying'yun'tong'long 星月掩映云朣胧
'xing'yun'fei'xu'gong'qing'kuang 行云飞絮共轻狂
'xing'yun'you'ying'yue'han'xiu 行云有影月含羞
'xing'zhe'bi'yi'jin 行者必以赆
'xing'zhe'jian'qi'shou'ji 行者践其首脊
'xing'zhe'you'guo'liang'ye 行者有裹粮也
'xing'zhi'bu'xing 形之不形
'xing'zhi'da'zhe'ye 形之大者也
'xing'zhi'dong'wei'zhi'wei 性之动谓之为
'xing'zhi'fei'ren'suo'neng'ye 行止非人所能也
'xing'zhi'hua'zhi'liu 兴治化之流
'xing'zhi'yi'li'yi 行之以礼义
'xing'zhi'yi'wu'de 行之以五德
'xing'zhi'yi'zhong 行之以忠
'xing'zhi'yu'xing'yi'pi'yi 形之与形亦辟矣
'xing'zhou'lv'shui'qian 行舟绿水前
'xing'zi'ci'li 刑自此立
'xing'zi'you'hui'shang 邢子友会上
'xing'zun'er'yan 形尊而严
'xiong'di'bu'zhi 兄弟不知
'xiong'di'li'san 兄弟离散
'xiong'di'qi'zi'li'san 兄弟妻子离散
'xiong'di'yi'yi 兄弟怡怡
'xiong'di'zao'sha'lu 兄弟遭杀戮
'xiong'fei'ci'cong'rao'lin'jian 雄飞雌从绕林间
'xiong'feng'fu'kan 雄风拂槛
'xiong'fu'zhe'shi'zhi 凶服者式之
'xiong'ji'yi'sheng'tian'xia'bai 雄鸡一声天下白
'xiong'jing'niao'shen 熊经鸟申
'xiong'ming'yu'shang'feng 雄鸣于上风
'xiong'nian'bu'mian'yu'si'wang 凶年不免於死亡
'xiong'nian'fen'qi'tian'er'bu'zu 凶年粪其田而不足
'xiong'nian'mian'yu'si'wang 凶年免於死亡
'xiong'nu'cao'huang'ma'zheng'fei 匈奴草黄马正肥
'xiong'pao'long'yin'yin'yan'quan 熊咆龙吟殷岩泉
'xiong'ru'yu'jiu'jun 雄入于九军
'xiong'shen'ya'jian 雄深雅健
'xiong'shi'shang'you 凶事尚右
'xiong'xian'er'di'cong 兄先而弟从
'xiong'xiong'yan'zhong'yi'shang'fa'wei'shi 匈匈焉终以赏罚为事
'xiong'ze'yi'yu 兄则以妪
'xiong'zhong'bu'zheng 胸中不正
'xiong'zi'ying'fa 雄姿英发
'xiu'ba'xiang'luo'an'jie 羞把香罗暗解
'xiu'e'yu'ci'ming'ye 休恶遇此命也
'xiu'er'bu'shi'zhe'you'yi'fu 秀而不实者有矣夫
'xiu'er'bu'wei'ye 羞而不为也
'xiu'ge'qing'pao 绣阁轻抛
'xiu'hong'bin'qian'hen 羞红鬓浅恨
'xiu'hu'ceng'kui 绣户曾窥
'xiu'ji'yi'an'bai'xing 修己以安百姓
'xiu'ji'yi'an'ren 修己以安人
'xiu'ji'yi'jing 修己以敬
'xiu'jiang'bai'fa'chang'huang'ji 休将白发唱黄鸡
'xiu'jiang'bai'fa'dui'hua'zan 羞将白发对华簪
'xiu'jin'xiao'lan'gan 休近小阑干
'xiu'ju'nan'xu 秀句难续
'xiu'ju'xiang'bu'jian'wei'bu'xiu 休居乡不见谓不修
'xiu'luo'yi'shang'zhao'mu'chun 绣罗衣裳照暮春
'xiu'mu'bu'zhe 朽木不折
'xiu'qu'shang'ceng'lou 羞去上层楼
'xiu'qu'yi'wei'lan 休去倚危栏
'xiu'qu'yi'wei'lan 休去倚危阑
'xiu'quan'you'dai'zhi'xiang'qian 绣圈犹带脂香浅
'xiu'sha'rui'zhu'gong'nv 羞杀蕊珠宫女
'xiu'shang'er'qu'xia 修上而趋下
'xiu'shen'yi'ming 修身以明
'xiu'shou'wu'yan'wei'zui'chang 袖手无言味最长
'xiu'shou'zhan'zhi'ju 修守战之具
'xiu'shuo'jiu'chou'xin'hen 休说旧愁新恨
'xiu'shuo'lu'yu'kan'kuai 休说鲈鱼堪脍
'xiu'shuo'wang'shi'jie'fei 休说往事皆非
'xiu'shuo'xiang'si 休说相思
'xiu'wei'ren'nian'yuan 绣帏人念远
'xiu'wen'qi'yan 羞闻其言
'xiu'wo'qiang'wu 修我墙屋
'xiu'wo'yuan'yang'zhu 绣幄鸳鸯柱
'xiu'wu'qin'zheng 绣屋秦筝
'xiu'wu'zhi'xin 羞恶之心
'xiu'xian'jun'zhi'ye 修先君之业
'xiu'xing'wu'you'er'wai'qi'xing'hai 修行无有而外其形骸
'xiu'xiong'zhong'zhi'cheng'yi'ying'tian'di'zhi'qing'er'wu'ying 修胸中之诚以应天地之情而勿撄
'xiu'yan'wei'chang'kai 羞颜未尝开
'xiu'yi'wen'yi'xiang 绣衣闻异香
'xiu'yi'xing'ke 绣衣行客
'xiu'yu'e'er'zheng'shua 羞与蛾儿争耍
'xiu'zhao'hong'lou'ye'di 休照红楼夜笛
'xiu'zhi'yu'bang 修之于邦
'xiu'zhi'yu'jia 修之于家
'xiu'zhi'yu'shen 修之于身
'xiu'zhi'yu'tian'xia 修之于天下
'xiu'zhi'yu'xiang 修之于乡
