'an'jian'bu'men 安监部门
'sheng'chan'jing'ying'dan'wei'zhu'yao'fu'ze'ren'zai'ben'dan'wei'fa'sheng'zhong'da'sheng'chan'an'quan'shi'gu'shi 生产经营单位主要负责人在本单位发生重大生产安全事故时
'sheng'chan'jing'ying'gui'mo'jiao'xiao 生产经营规模较小
'sheng'chan'jing'ying'huo'dong'zhong'fa'sheng'de 生产经营活动中发生的
'sheng'chan'jing'ying'te'dian 生产经营特点
'sheng'chan'jing'ying'xiang'mu'chang'suo 生产经营项目场所
'sheng'chan'jing'ying'xiang'mu'chang'suo'you'duo'ge'cheng'bao'dan'wei'cheng'zu'dan'wei 生产经营项目场所有多个承包单位承租单位
'sheng'ji'ren'min'zheng'fu 省级人民政府
'sheng'ji'ren'min'zheng'fu'jie'dao'fa'sheng'te'bie'zhong'da'shi'gu'zhong'da'shi'gu'de'bao'gao'hou 省级人民政府接到发生特别重大事故重大事故的报告后
'sheng'ji'ren'min'zheng'fu'she'qu'de'shi'ji'ren'min'zheng'fu'xian'ji'ren'min'zheng'fu'fu'ze'diao'cha 省级人民政府设区的市级人民政府县级人民政府负责调查
'shi'dang'yan'chang 适当延长
'shi'gong'dan'wei 施工单位
'shi'gu'bao'gao 事故报告
'shi'gu'bao'gao'hou'chu'xian'xin'qing'kuang'de'ying'dang'ji'shi'bu'bao 事故报告后出现新情况的应当及时补报
'shi'gu'bao'gao'ying'dang'ji'shi'zhun'que'wan'zheng 事故报告应当及时准确完整
'shi'gu'chu'li 事故处理
'shi'gu'chu'li'de'qing'kuang 事故处理的情况
'shi'gu'chu'li'de'qing'kuang'you'fu'ze'shi'gu'diao'cha'de'ren'min'zheng'fu 事故处理的情况由负责事故调查的人民政府
'shi'gu'de'jian'yao'jing'guo 事故的简要经过
'shi'gu'deng'ji 事故等级
'shi'gu'diao'cha 事故调查
'shi'gu'diao'cha'bao'gao 事故调查报告
'shi'gu'diao'cha'bao'gao'bao'song 事故调查报告报送
'shi'gu'diao'cha'bao'gao'bao'song'fu'ze'shi'gu'diao'cha'de'ren'min'zheng'fu'hou 事故调查报告报送负责事故调查的人民政府后
'shi'gu'diao'cha'bao'gao'ying'dang'bao'kuo'xia'lie'nei'rong 事故调查报告应当包括下列内容
'shi'gu'diao'cha'bao'gao'ying'dang'fu'ju'you'guan'zheng'ju'cai'liao 事故调查报告应当附具有关证据材料
'shi'gu'diao'cha'chu'li 事故调查处理
'shi'gu'diao'cha'chu'li'gong'zuo 事故调查处理工作
'shi'gu'diao'cha'chu'li'qi'jian 事故调查处理期间
'shi'gu'diao'cha'chu'li'ying'dang'an'zhao'shi'shi'qiu'shi'zun'zhong'ke'xue'de'yuan'ze 事故调查处理应当按照实事求是尊重科学的原则
'shi'gu'diao'cha'chu'li'ying'dang'jian'chi'shi'shi'qiu'shi'zun'zhong'ke'xue'de'yuan'ze 事故调查处理应当坚持实事求是尊重科学的原则
'shi'gu'diao'cha'de'you'guan'zi'liao 事故调查的有关资料
'shi'gu'diao'cha'de'you'guan'zi'liao'ying'dang'gui'dang'bao'cun 事故调查的有关资料应当归档保存
'shi'gu'diao'cha'gong'zuo'ji'gao'jie'shu 事故调查工作即告结束
'shi'gu'diao'cha'gong'zuo'you'zhong'da'shu'lou 事故调查工作有重大疏漏
'shi'gu'diao'cha'he'chu'li 事故调查和处理
'shi'gu'diao'cha'he'chu'li'de'ju'ti'ban'fa'you'guo'wu'yuan'zhi'ding 事故调查和处理的具体办法由国务院制定
'shi'gu'diao'cha'qi'xian 事故调查期限
'shi'gu'diao'cha'zhong'fa'xian'she'xian'fan'zui'de 事故调查中发现涉嫌犯罪的
'shi'gu'diao'cha'zhong'xu'yao'jin'xing'ji'shu'jian'ding'de 事故调查中需要进行技术鉴定的
'shi'gu'diao'cha'zu 事故调查组
'shi'gu'diao'cha'zu'cheng'yuan 事故调查组成员
'shi'gu'diao'cha'zu'cheng'yuan'bu'de'shan'zi'fa'bu'you'guan'shi'gu'de'xin'xi 事故调查组成员不得擅自发布有关事故的信息
'shi'gu'diao'cha'zu'cheng'yuan'ying'dang'ju'you'shi'gu'diao'cha'suo'xu'yao'de'zhi'shi'he'zhuan'chang 事故调查组成员应当具有事故调查所需要的知识和专长
'shi'gu'diao'cha'zu'cheng'yuan'ying'dang'zai'shi'gu'diao'cha'bao'gao'shang'qian'ming 事故调查组成员应当在事故调查报告上签名
'shi'gu'diao'cha'zu'cheng'yuan'zai'shi'gu'diao'cha'gong'zuo'zhong'ying'dang'cheng'xin'gong'zheng'ke'jin'zhi'shou 事故调查组成员在事故调查工作中应当诚信公正恪尽职守
'shi'gu'diao'cha'zu'de'zu'cheng'ying'dang'zun'xun'jing'jian'xiao'neng'de'yuan'ze 事故调查组的组成应当遵循精简效能的原则
'shi'gu'diao'cha'zu'ke'yi'pin'qing'you'guan'zhuan'jia'can'yu'diao'cha 事故调查组可以聘请有关专家参与调查
'shi'gu'diao'cha'zu'ke'yi'zhi'jie'zu'zhi'zhuan'jia'jin'xing'ji'shu'jian'ding 事故调查组可以直接组织专家进行技术鉴定
'shi'gu'diao'cha'zu'lv'xing'xia'lie'zhi'ze 事故调查组履行下列职责
'shi'gu'diao'cha'zu'ying'dang'ji'shi'jiang'you'guan'cai'liao'huo'zhe'qi'fu'yin'jian'yi'jiao'si'fa'ji'guan'chu'li 事故调查组应当及时将有关材料或者其复印件移交司法机关处理
'shi'gu'diao'cha'zu'ying'dang'wei'tuo'ju'you'guo'jia'gui'ding'zi'zhi'de'dan'wei'jin'xing'ji'shu'jian'ding 事故调查组应当委托具有国家规定资质的单位进行技术鉴定
'shi'gu'diao'cha'zu'ying'dang'zi'shi'gu'fa'sheng'zhi'ri'qi'liu'shi'ri'nei'ti'jiao'shi'gu'diao'cha'bao'gao 事故调查组应当自事故发生之日起六十日内提交事故调查报告
'shi'gu'diao'cha'zu'you'quan'xiang'you'guan'dan'wei'he'ge'ren'liao'jie'yu'shi'gu'you'guan'de'qing'kuang 事故调查组有权向有关单位和个人了解与事故有关的情况
'shi'gu'diao'cha'zu'you'you'guan'ren'min'zheng'fu'an'jian'bu'men'fu'you'an'jian'zhi'ze'de'you'guan'bu'men 事故调查组由有关人民政府安监部门负有安监职责的有关部门
'shi'gu'diao'cha'zu'zu'zhang 事故调查组组长
'shi'gu'diao'cha'zu'zu'zhang'you'fu'ze'shi'gu'diao'cha'de'ren'min'zheng'fu'zhi'ding 事故调查组组长由负责事故调查的人民政府指定
'shi'gu'diao'cha'zu'zu'zhang'zhu'chi'shi'gu'diao'cha'zu'de'gong'zuo 事故调查组组长主持事故调查组的工作
'shi'gu'fa'sheng'dan'wei 事故发生单位
'shi'gu'fa'sheng'dan'wei'de'fu'ze'ren'he'you'guan'ren'yuan'zai'shi'gu'diao'cha'qi'jian'bu'de'shan'li'zhi'shou 事故发生单位的负责人和有关人员在事故调查期间不得擅离职守
'shi'gu'fa'sheng'dan'wei'dui'shi'gu'fa'sheng'fu'you'ze'ren'de'yi'zhao'xia'lie'gui'ding'chu'yi'fa'kuan 事故发生单位对事故发生负有责任的依照下列规定处以罚款
'shi'gu'fa'sheng'dan'wei'dui'shi'gu'fa'sheng'fu'you'ze'ren'de'you'you'guan'bu'men 事故发生单位对事故发生负有责任的由有关部门
'shi'gu'fa'sheng'dan'wei'fu'ze'ren'jie'dao'shi'gu'bao'gao'hou'ying'dang'li'ji'qi'dong'shi'gu'xiang'ying'ying'ji'yu'an 事故发生单位负责人接到事故报告后应当立即启动事故相应应急预案
'shi'gu'fa'sheng'dan'wei'gai'kuang 事故发生单位概况
'shi'gu'fa'sheng'dan'wei'ji'qi'you'guan'ren'yuan'you'xia'lie'xing'wei'zhi'yi'de 事故发生单位及其有关人员有下列行为之一的
'shi'gu'fa'sheng'dan'wei'suo'zai'di'ren'min'zheng'fu'ying'dang'pai'ren'can'jia 事故发生单位所在地人民政府应当派人参加
'shi'gu'fa'sheng'dan'wei'ying'dang'an'zhao'fu'ze'shi'gu'diao'cha'de'ren'min'zheng'fu'de'pi'fu 事故发生单位应当按照负责事故调查的人民政府的批复
'shi'gu'fa'sheng'dan'wei'ying'dang'ren'zhen'xi'qu'shi'gu'jiao'xun 事故发生单位应当认真吸取事故教训
'shi'gu'fa'sheng'dan'wei'zhu'yao'fu'ze'ren 事故发生单位主要负责人
'shi'gu'fa'sheng'dan'wei'zhu'yao'fu'ze'ren'shou'dao'xing'shi'chu'fa'huo'zhe'che'zhi'chu'fen'de 事故发生单位主要负责人受到刑事处罚或者撤职处分的
'shi'gu'fa'sheng'dan'wei'zhu'yao'fu'ze'ren'you'xia'lie'xing'wei'zhi'yi'de 事故发生单位主要负责人有下列行为之一的
'shi'gu'fa'sheng'de'shi'jian'de'dian'yi'ji'shi'gu'xian'chang'qing'kuang 事故发生的时间地点以及事故现场情况
'shi'gu'fa'sheng'de'yuan'yin'he'shi'gu'xing'zhi 事故发生的原因和事故性质
'shi'gu'fa'sheng'di 事故发生地
'shi'gu'fa'sheng'di'gong'an'ji'guan'gen'ju'shi'gu'de'qing'kuang 事故发生地公安机关根据事故的情况
'shi'gu'fa'sheng'di'you'guan'di'fang'ren'min'zheng'fu 事故发生地有关地方人民政府
'shi'gu'fa'sheng'di'yu'shi'gu'fa'sheng'dan'wei'bu'zai'tong'yi'ge'xian'ji'yi'shang'xing'zheng'qu'yu'de 事故发生地与事故发生单位不在同一个县级以上行政区域的
'shi'gu'fa'sheng'fu'you'ze'ren'de'guan'bu'men 事故发生负有责任的关部门
'shi'gu'fa'sheng'hou 事故发生后
'shi'gu'fa'sheng'hou'tao'ni'de 事故发生后逃匿的
'shi'gu'fa'sheng'hou'you'guan'dan'wei'he'ren'yuan'ying'dang'tuo'shan'bao'hu'shi'gu'xian'chang'yi'ji'xiang'guan'zheng'ju 事故发生后有关单位和人员应当妥善保护事故现场以及相关证据
'shi'gu'fa'sheng'jing'guo'he'shi'gu'jiu'yuan'qing'kuang 事故发生经过和事故救援情况
'shi'gu'fang'fan 事故防范
'shi'gu'fang'fan'he'zheng'gai'cuo'shi 事故防范和整改措施
'shi'gu'jiao'xun 事故教训
'shi'gu'jing'guo 事故经过
'shi'gu'jiu'yuan 事故救援
'shi'gu'qiang'jiu 事故抢救
'shi'gu'shang'wang'ren'shu'bian'hua 事故伤亡人数变化
'shi'gu'sun'shi 事故损失
'shi'gu'xian'chang 事故现场
'shi'gu'xian'chang'you'guan'ren'yuan'ke'yi'zhi'jie'xiang'shi'gu'fa'sheng'di'xian'ji'yi'shang'ren'min'zheng'fu'an'jian'bu'men 事故现场有关人员可以直接向事故发生地县级以上人民政府安监部门
'shi'gu'xian'chang'you'guan'ren'yuan'ying'dang'li'ji'bao'gao'ben'dan'wei'fu'ze'ren 事故现场有关人员应当立即报告本单位负责人
'shi'gu'xian'chang'you'guan'ren'yuan'ying'dang'li'ji'xiang'ben'dan'wei'fu'ze'ren'bao'gao 事故现场有关人员应当立即向本单位负责人报告
'shi'gu'xing'zhi 事故性质
'shi'gu'yi'ban'fen'wei 事故一般分为
'shi'gu'yi'jing'zao'cheng'huo'zhe'ke'neng'zao'cheng'de'shang'wang'ren'shu'bao'kuo'xia'luo'bu'ming'de'ren'shu 事故已经造成或者可能造成的伤亡人数包括下落不明的人数
'shi'gu'yin'huan 事故隐患
'shi'gu'ying'ji'cuo'shi 事故应急措施
'shi'gu'yuan'yin 事故原因
'shi'gu'zao'cheng'de'ren'yuan'shang'wang'he'zhi'jie'jing'ji'sun'shi 事故造成的人员伤亡和直接经济损失
'shi'gu'zao'cheng'de'shang'wang'ren'shu'fa'sheng'bian'hua'de'ying'dang'ji'shi'bu'bao 事故造成的伤亡人数发生变化的应当及时补报
'shi'gu'ze'ren 事故责任
'shi'gu'ze'ren'de'ren'ding'yi'ji'dui'shi'gu'ze'ren'zhe'de'chu'li'jian'yi 事故责任的认定以及对事故责任者的处理建议
'shi'gu'ze'ren'ren'ding 事故责任认定
'shi'gu'ze'ren'zhe 事故责任者
'shi'ren'yi'shang'wu'shi'ren'yi'xia'zhong'shang 十人以上五十人以下重伤
'shi'shi'jian'cha 实施监察
'shi'shi'qiu'shi 实事求是
'shi'shi'qiu'shi'zun'zhong'ke'xue'de'yuan'ze 实事求是尊重科学的原则
'shi'shi'zong'he'jian'du'guan'li 实施综合监督管理
'shi'xiang 事项
'shi'xing'lian'he'jian'cha 实行联合检查
'shi'ye'dan'wei 事业单位
'shi'yong 使用
'shi'yong'guo'jia'ming'ling'tao'tai'jin'zhi'shi'yong'de'wei'ji'sheng'chan'an'quan'de'gong'yi'she'bei'de 使用国家明令淘汰禁止使用的危及生产安全的工艺设备的
'shi'yong'qian 使用前
'shi'zhi'du'zhi 失职渎职
'shi'zhi'du'zhi'xing'wei 失职渎职行为
'shi'zhi'zao'cheng'san'ren'yi'shang'shi'ren'yi'xia'si'wang 是指造成三人以上十人以下死亡
'shi'zhi'zao'cheng'san'ren'yi'xia'si'wang'huo'zhe'shi'ren'yi'xia'zhong'shang 是指造成三人以下死亡或者十人以下重伤
'shi'zhi'zao'cheng'san'shi'ren'yi'shang'si'wang'huo'zhe'yi'bai'ren'yi'shang'zhong'shang 是指造成三十人以上死亡或者一百人以上重伤
'shi'zhi'zao'cheng'shi'ren'yi'shang'san'shi'ren'yi'xia'si'wang 是指造成十人以上三十人以下死亡
'shou'dao'xing'shi'chu'fa 受到刑事处罚
'shou'hai'ren 受害人
'shou'hai'ren'fa'xian'ze'ren'ren'you'qi'ta'cai'chan'de'ke'yi'sui'shi'qing'qiu'ren'min'fa'yuan'zhi'xing 受害人发现责任人有其他财产的可以随时请求人民法院执行
'shou'li'de'ju'bao'shi'xiang'jing'diao'cha'he'shi'hou'ying'dang'xing'cheng'shu'mian'cai'liao 受理的举报事项经调查核实后应当形成书面材料
'shou'li'ju'bao'shi'xiang 受理举报事项
'shou'li'shi'gu'bao'gao 受理事故报告
'shou'li'shi'gu'bao'gao'he'ju'bao 受理事故报告和举报
'shou'li'you'guan'an'quan'sheng'chan'de'ju'bao 受理有关安全生产的举报
'shou'qu'de'fei'yong 收取的费用
'shou'qu'fei'yong 收取费用
'shou'quan 授权
'shou'quan'de'you'guan'bu'men'ji'gou 授权的有关部门机构
'shou'quan'you'guan'bu'men 授权有关部门
'shu'mian'cai'liao 书面材料
'shu'mian'ji'lu 书面记录
'shu'tong'jiao'tong 疏通交通
'shu'yu'guo'jia'gong'zuo'ren'yuan'de'bing'yi'fa'ji'yu'chu'fen 属于国家工作人员的并依法给予处分
'shui'shang'jiao'tong'an'quan 水上交通安全
'sui'shi'jie'shou'shi'gu'diao'cha'zu'de'xun'wen 随时接受事故调查组的询问
'sui'shi'qing'qiu'ren'min'fa'yuan'zhi'xing 随时请求人民法院执行
'suo'cheng'de'yi'xia'bu'bao'kuo'ben'shu 所称的以下不包括本数
'suo'xu'shi'jian 所需时间
'suo'zai'qu'yu'nei 所在区域内
'ta'ren'cai'chan'sun'shi'de'ying'dang'yi'fa'cheng'dan'pei'chang'ze'ren 他人财产损失的应当依法承担赔偿责任
'tan'hu 袒护
'tao'ni 逃匿
'te'bie'zhong'da'shi'gu 特别重大事故
'te'bie'zhong'da'shi'gu'san'shi'ri'nei'zuo'chu'pi'fu 特别重大事故三十日内做出批复
'te'bie'zhong'da'shi'gu'yi'xia'deng'ji'shi'gu 特别重大事故以下等级事故
'te'bie'zhong'da'shi'gu'yi'xia'deng'ji'shi'gu'de'bao'gao'he'diao'cha'chu'li 特别重大事故以下等级事故的报告和调查处理
'te'bie'zhong'da'shi'gu'you'guo'wu'yuan'huo'zhe'guo'wu'yuan'shou'quan'you'guan'bu'men'zu'zhi'shi'gu'diao'cha'zu'jin'xing'diao'cha 特别重大事故由国务院或者国务院授权有关部门组织事故调查组进行调查
'te'bie'zhong'da'shi'gu'zhong'da'shi'gu'zhu'ji'shang'bao'zhi'guo'wu'yuan'an'quan'sheng'chan'jian'du'guan'li'bu'men 特别重大事故重大事故逐级上报至国务院安全生产监督管理部门
'te'da'sheng'chan'an'quan'shi'gu 特大生产安全事故
'te'da'sheng'chan'an'quan'shi'gu'ying'ji'jiu'yuan'yu'an 特大生产安全事故应急救援预案
'te'shu'qing'kuang 特殊情况
'te'shu'qing'kuang'xia 特殊情况下
'te'shu'qing'kuang'xia'pi'fu'shi'jian'ke'yi'shi'dang'yan'chang'dan'yan'chang'de'shi'jian'zui'chang'bu'chao'guo'san'shi'ri 特殊情况下批复时间可以适当延长但延长的时间最长不超过三十日
'te'zhong'she'bei 特种设备
'te'zhong'she'bei'yi'ji'wei'xian'wu'pin'de'rong'qi'yun'shu'gong'ju 特种设备以及危险物品的容器运输工具
'te'zhong'zuo'ye'cao'zuo'zi'ge'zheng'shu 特种作业操作资格证书
'te'zhong'zuo'ye'ren'yuan 特种作业人员
'te'zhong'zuo'ye'ren'yuan'wei 特种作业人员未
'te'zhong'zuo'ye'ren'yuan'wei'an'zhao'gui'ding'jing'zhuan'men'de'an'quan'zuo'ye'pei'xun 特种作业人员未按照规定经专门的安全作业培训
'ti'chu'chu'li'yi'jian 提出处理意见
'ti'chu'dui'shi'gu'ze'ren'zhe'de'chu'li'jian'yi 提出对事故责任者的处理建议
'ti'chu'fang'fan'he'zheng'gai'cuo'shi 提出防范和整改措施
'ti'chu'jian'yi 提出建议
'ti'chu'pi'ping 提出批评
'ti'chu'yi'jian 提出意见
'ti'chu'zheng'gai'cuo'shi 提出整改措施
'ti'gao'an'quan'sheng'chan'ji'neng 提高安全生产技能
'ti'gao'an'quan'sheng'chan'ji'neng'zeng'qiang'shi'gu'yu'fang'he'ying'ji'chu'li'neng'li 提高安全生产技能增强事故预防和应急处理能力
'ti'gao'an'quan'sheng'chan'shui'ping 提高安全生产水平
'ti'gao'gong'zuo'xiao'lv 提高工作效率
'ti'gao'zhi'gong'de'an'quan'sheng'chan'yi'shi 提高职工的安全生产意识
'ti'gong'bi'xu'de'zi'jin 提供必需的资金
'ti'gong'ji'shu'fu'wu 提供技术服务
'ti'gong'xu'jia'zheng'ming 提供虚假证明
'ti'gong'yi'qie'bian'li'tiao'jian 提供一切便利条件
'ti'jiao'bao'gao 提交报告
'ti'jiao'bao'gao'qi'xian 提交报告期限
'ti'jiao'shi'gu'diao'cha'bao'gao 提交事故调查报告
'ti'jiao'shi'gu'diao'cha'bao'gao'de'qi'xian'ke'yi'shi'dang'yan'chang 提交事故调查报告的期限可以适当延长
'tie'lu'jiao'tong'an'quan 铁路交通安全
'ting'chan'ting'ye 停产停业
'ting'chan'ting'ye'zheng'dun 停产停业整顿
'ting'zhi'shi'yong 停止使用
'ting'zhi'zuo'ye 停止作业
'tong'cheng'an'quan'sheng'chan'jian'du'jian'cha'ren'yuan 统称安全生产监督检查人员
'tong'guo 通过
'tong'ji'fen'xi 统计分析
'tong'shi'fei'zhi 同时废止
'tong'shi'she'ji 同时设计
'tong'shi'she'ji'tong'shi'shi'gong'tong'shi'tou'ru'sheng'chan'he'shi'yong 同时设计同时施工同时投入生产和使用
'tong'shi'shi'gong 同时施工
'tong'shi'tou'ru'sheng'chan'he'shi'yong 同时投入生产和使用
'tong'yi'xie'tiao'guan'li 统一协调管理
'tou'ru'sheng'chan'he'shi'yong 投入生产和使用
'tou'ru'shi'yong 投入使用
'tou'zi'ren 投资人
'tuo'shan'bao'cun 妥善保存
'tuo'shan'bao'cun'xian'chang'zhong'yao'hen'ji'wu'zheng 妥善保存现场重要痕迹物证
'tuo'shan'bao'hu 妥善保护
'tuo'shan'bao'hu'shi'gu'xian'chang'yi'ji'xiang'guan'zheng'ju 妥善保护事故现场以及相关证据
'tuo'yan'bu'bao 拖延不报
'wan'shan'an'quan'sheng'chan'tiao'jian 完善安全生产条件
'wan'zheng 完整
'wei'an'quan'sheng'chan'ti'gong'ji'shu'fu'wu'de'zhong'jie'ji'gou 为安全生产提供技术服务的中介机构
'wei'an'zhao'dui'cong'ye'ren'yuan'jin'xing'an'quan'sheng'chan'jiao'yu'he'pei'xun 未按照对从业人员进行安全生产教育和培训
'wei'an'zhao'gui'ding 未按照规定
'wei'an'zhao'gui'ding'ru'shi'gao'zhi'cong'ye'ren'yuan'you'guan'de'an'quan'sheng'chan'shi'xiang'de 未按照规定如实告知从业人员有关的安全生产事项的
'wei'an'zhao'gui'ding'she'li'an'quan'sheng'chan'guan'li'ji'gou'huo'zhe'pei'bei'an'quan'sheng'chan'guan'li'ren'yuan'de 未按照规定设立安全生产管理机构或者配备安全生产管理人员的
'wei'an'zhao'pi'zhun'de'an'quan'she'shi'she'ji'shi'gong'de 未按照批准的安全设施设计施工的
'wei'cai'qu'ke'kao'de'an'quan'cuo'shi'huo'zhe'bu'jie'shou'you'guan'zhu'guan'bu'men'yi'fa'shi'shi'de'jian'du'guan'li'de 未采取可靠的安全措施或者不接受有关主管部门依法实施的监督管理的
'wei'dui'an'quan'she'bei'jin'xing'jing'chang'xing'wei'hu'bao'yang'he'ding'qi'jian'ce'de 未对安全设备进行经常性维护保养和定期检测的
'wei'fa'sheng'shi'gu'de'dan'wei'ti'gong'xu'jia'zheng'ming'de'zhong'jie'ji'gou 为发生事故的单位提供虚假证明的中介机构
'wei'fa'suo'de 违法所得
'wei'fa'suo'de'bu'zu'wu'wan'yuan'de'dan'chu'huo'zhe'bing'chu'yi'wan'yuan'yi'shang'wu'wan'yuan'yi'xia'de'fa'kuan 违法所得不足五万元的单处或者并处一万元以上五万元以下的罚款
'wei'fa'suo'de'shi'wan'yuan'yi'shang'de'bing'chu'wei'fa'suo'de'yi'bei'yi'shang'wu'bei'yi'xia'de'fa'kuan 违法所得十万元以上的并处违法所得一倍以上五倍以下的罚款
'wei'fa'suo'de'wu'wan'yuan'yi'shang'de'bing'chu'wei'fa'suo'de'yi'bei'yi'shang'wu'bei'yi'xia'de'fa'kuan'mei'you'wei'fa'suo'de 违法所得五万元以上的并处违法所得一倍以上五倍以下的罚款没有违法所得
'wei'fa'suo'de'zai'wu'qian'yuan'yi'shang'de'bing'chu'wei'fa'suo'de'er'bei'yi'shang'wu'bei'yi'xia'de'fa'kuan 违法所得在五千元以上的并处违法所得二倍以上五倍以下的罚款
'wei'fan'an'quan'sheng'chan'fa'lv'fa'gui 违反安全生产法律法规
'wei'fan'an'quan'sheng'chan'gui'zhang'zhi'du'huo'zhe'cao'zuo'gui'cheng'de 违反安全生产规章制度或者操作规程的
'wei'fan'ben'tiao'li'gui'ding 违反本条例规定
'wei'fan'zhi'an'guan'li'xing'wei 违反治安管理行为
'wei'hu'bao'yang 维护保养
'wei'hu'bao'yang'jian'ce'ying'dang'zuo'hao'ji'lu'bing'you'you'guan'ren'yuan'qian'zi 维护保养检测应当作好记录并由有关人员签字
'wei'ji'cong'ye'ren'yuan'sheng'ming'an'quan 危及从业人员生命安全
'wei'ji'sheng'chan'an'quan 危及生产安全
'wei'jian'li'zhuan'men'an'quan'guan'li'zhi'du 未建立专门安全管理制度
'wei'jing'qu'de'zhuan'ye'zi'zhi'de'ji'gou'jian'ce'jian'yan'he'ge 未经取得专业资质的机构检测检验合格
'wei'jing'shi'gu'diao'cha'zu'zu'zhang'yun'xu 未经事故调查组组长允许
'wei'jing'yan'shou'he'ge 未经验收合格
'wei'jing'yi'fa'pi'zhun'shan'zi'sheng'chan'jing'ying'chu'cun'wei'xian'wu'pin'de 未经依法批准擅自生产经营储存危险物品的
'wei'jing'yun'xu 未经允许
'wei'qi'bao'mi 为其保密
'wei'qian'ding'an'quan'sheng'chan'guan'li'xie'yi 未签订安全生产管理协议
'wei'tuo 委托
'wei'wei'cong'ye'ren'yuan'ti'gong'fu'he'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'de'lao'dong'fang'hu'yong'pin'de 未为从业人员提供符合国家标准或者行业标准的劳动防护用品的
'wei'xian'hua'xue'pin 危险化学品
'wei'xian'qu'yu'nei 危险区域内
'wei'xian'wu'pin 危险物品
'wei'xian'wu'pin'de'rong'qi'yun'shu'gong'ju 危险物品的容器运输工具
'wei'xian'wu'pin'de'sheng'chan'jing'ying'chu'cun'dan'wei 危险物品的生产经营储存单位
'wei'xian'wu'pin'de'sheng'chan'jing'ying'chu'cun'dan'wei'yi'ji'kuang'shan'jian'zhu'shi'gong'dan'wei 危险物品的生产经营储存单位以及矿山建筑施工单位
'wei'xian'wu'pin'de'sheng'chan'jing'ying'chu'cun'dan'wei'yi'ji'kuang'shan'jian'zhu'shi'gong'dan'wei'de'zhu'yao'fu'ze'ren 危险物品的生产经营储存单位以及矿山建筑施工单位的主要负责人
'wei'xian'wu'pin'rong'qi 危险物品容器
'wei'xian'wu'pin'yun'shu'gong'ju 危险物品运输工具
'wei'xian'yin'su 危险因素
'wei'xian'zuo'ye 危险作业
'wei'yi'fa'lv'xing'an'quan'sheng'chan'guan'li'zhi'ze'dao'zhi'shi'gu'fa'sheng'de'yi'zhao'xia'lie'gui'ding'chu'yi'fa'kuan 未依法履行安全生产管理职责导致事故发生的依照下列规定处以罚款
'wei'yi'fa'qu'de'pi'zhun'huo'zhe'yan'shou'he'ge'de'dan'wei 未依法取得批准或者验收合格的单位
'wei'yi'fa'qu'de'pi'zhun'yan'shou'de'dan'wei 未依法取得批准验收的单位
'wei'zai'you'jiao'da'wei'xian'yin'su'de'sheng'chan'jing'ying'chang'suo'you'guan'she'shi'she'bei'shang'she'zhi'ming'xian'de'an'quan'jing'shi'biao'zhi'de 未在有较大危险因素的生产经营场所有关设施设备上设置明显的安全警示标志的
'wei'zao 伪造
'wei'zao'cheng'ren'yuan'shang'wang'de'yi'ban'shi'gu 未造成人员伤亡的一般事故
'wei'zao'huo'zhe'gu'yi'po'huai'shi'gu'xian'chang'de 伪造或者故意破坏事故现场的
'wei'zhang'zhi'hui 违章指挥
'wei'zhang'zhi'hui'qiang'ling'mao'xian'zuo'ye 违章指挥强令冒险作业
'wei'zhi'ding'zhuan'zhi'an'quan'sheng'chan'guan'li'ren'yuan'jin'xing'an'quan'jian'cha'yu'xie'tiao'de 未指定专职安全生产管理人员进行安全检查与协调的
'wen'jia'bao 温家宝
'wu'fa'bao'zheng'an'quan 无法保证安全
'wu'nian'nei'bu'de'dan'ren'ren'he'sheng'chan'jing'ying'dan'wei'de'zhu'yao'fu'ze'ren 五年内不得担任任何生产经营单位的主要负责人
'wu'qian'wan'wan'yuan'yi'shang'yi'yi'yuan'yi'xia'zhi'jie'jing'ji'sun'shi'de'shi'gu 五千万万元以上一亿元以下直接经济损失的事故
'wu'shi'ren'yi'shang'yi'bai'ren'yi'xia'zhong'shang 五十人以上一百人以下重伤
'wu'zheng 物证
'xia'lie'yong'yu'de'han'yi 下列用语的含义
'xia'luo'bu'ming 下落不明
'xia'tong'huo'zhe'yi'yi'yuan'yi'shang'zhi'jie'jing'ji'sun'shi'de'shi'gu 下同或者一亿元以上直接经济损失的事故
'xian'chang'an'quan'guan'li 现场安全管理
'xian'chang'jian'tu 现场简图
'xian'ji'ren'min'zheng'fu 县级人民政府
'xian'ji'ren'min'zheng'fu'ye'ke'yi'wei'tuo'shi'gu'fa'sheng'dan'wei'zu'zhi'shi'gu'diao'cha'zu'jin'xing'diao'cha 县级人民政府也可以委托事故发生单位组织事故调查组进行调查
'xian'ji'yi'shang'di'fang'ge'ji'ren'min'zheng'fu 县级以上地方各级人民政府
'xian'ji'yi'shang'di'fang'ge'ji'ren'min'zheng'fu'fu'ze'an'quan'sheng'chan'jian'du'guan'li'de'bu'men 县级以上地方各级人民政府负责安全生产监督管理的部门
'xian'ji'yi'shang'di'fang'ge'ji'ren'min'zheng'fu'ying'dang'gen'ju'ben'xing'zheng'qu'yu'nei'de'an'quan'sheng'chan'zhuang'kuang 县级以上地方各级人民政府应当根据本行政区域内的安全生产状况
