'a'za 腌臜
'yi'nong 一弄
'yi'nuo 猗傩
'yi'nuo'qian'jin 一诺千金
'yi'nv 佚女
'yi'nv 缢女
'yi'ou 一沤
'yi'pai 一派
'yi'pan 一盼
'yi'pan 夷盘
'yi'pei 抑配
'yi'pen'yi'xing 一喷一醒
'yi'peng'xue 一捧雪
'yi'pi 椅披
'yi'pian 一偏
'yi'pian'bing'xin 一片冰心
'yi'pian'gong'shang 一片宫商
'yi'pian'shi 一片石
'yi'pie 一瞥
'yi'pie 一覕
'yi'pin 一品
'yi'pin 逸品
'yi'pin'bai'shan 一品白衫
'yi'pin'ji 一品集
'yi'pin'ru'xi 一贫如洗
'yi'pin'yi'xiao 一嚬一笑
'yi'po 医婆
'yi'po 姨婆
'yi'po 瑿珀
'yi'pou'tu 一抔土
'yi'pu 义铺
'yi'pu 艺圃
'yi'pu'sai 伊蒲塞
'yi'pu'shi'han 一暴十寒
'yi'qi 一气
'yi'qi 一起
'yi'qi 一齐
'yi'qi 义旗
'yi'qi 义气
'yi'qi 伊祁
'yi'qi 伊祈
'yi'qi 伊耆
'yi'qi 噫气
'yi'qi 夷齐
'yi'qi 彝器
'yi'qi 意气
'yi'qi 懿戚
'yi'qi 踦跂
'yi'qi 逸妻
'yi'qi'liang'xiong 一栖两雄
'yi'qia 衣帢
'yi'qian 义钱
'yi'qian 依前
'yi'qian 噫欠
'yi'qian 意钱
'yi'qian 瘗钱
'yi'qian'bu'zhi 一钱不直
'yi'qian'si'yi 一谦四益
'yi'qian'tai'shou 一钱太守
'yi'qiang'yi'qi 一枪一旗
'yi'qiang'yi'qi 一鎗一旗
'yi'qiao 圯桥
'yi'qiao'bu'tong 一窍不通
'yi'qie 一切
'yi'qie 壹切
'yi'qie'fa 一切法
'yi'qie'jing 一切经
'yi'qie'jing'yin'yi 一切经音义
'yi'qie'you'qing 一切有情
'yi'qie'zhong'sheng 一切众生
'yi'qie'zhong'zhi 一切种智
'yi'qie'zhu'fo 一切诸佛
'yi'qin 一芹
'yi'qin 仪秦
'yi'qin 夷衾
'yi'qin 懿亲
'yi'qin 议亲
'yi'qin'e 忆秦娥
'yi'qin'yi'he 一琴一鹤
'yi'qing 倚倾
'yi'qing 移情
'yi'qing'li'xing 怡情理性
'yi'qiu 宜秋
'yi'qiu 弈秋
'yi'qiu'yi'he 一丘一壑
'yi'qiu'zhi'he 一丘之貉
'yi'qu 一曲
'yi'qu 义渠
'yi'qu 以去
'yi'qu 仪渠
'yi'qu 异趣
'yi'qu 意趣
'yi'qu'bu'fan 一去不返
'yi'qu'tong'gong 异曲同工
'yi'quan 倚劝
'yi'quan 驿券
'yi'quan'wu 一全坞
'yi'quan'wu 一泉坞
'yi'que 伊阙
'yi'que 诣阙
'yi'que'fo'kan 伊阙佛龛
'yi'qun 逸羣
'yi'qun 逸群
'yi'ran 依然
'yi'rang 揖让
'yi'rang 蚁壤
'yi'ren 一人
'yi'ren 一任
'yi'ren 一稔
'yi'ren 义人
'yi'ren 伊人
'yi'ren 依人
'yi'ren 依仁
'yi'ren 倚人
'yi'ren 夷任
'yi'ren 宜人
'yi'ren 异人
'yi'ren 易人
'yi'ren 艺人
'yi'ren 遗人
'yi'ren 邑人
'yi'ren'chuan'xu'wan'ren'chuan'shi 一人传虚万人传实
'yi'ren'di 一人敌
'yi'ren'fang 宜人坊
'yi'ren'he'cuan 弋人何篡
'yi'ren'li'xia 依人篱下
'yi'ren'quan 一人泉
'yi'ren'wu'shi'shi'ren'wu'yi 疑人勿使使人勿疑
'yi'reng'jiu'guan 一仍旧贯
'yi'ri 一日
'yi'ri 已日
'yi'ri 异日
'yi'ri 移日
'yi'ri 翊日
'yi'ri 翌日
'yi'ri 翼日
'yi'ri'jiu'qian 一日九迁
'yi'ri'qian'li 一日千里
'yi'ri'san'qiu 一日三秋
'yi'ri'wan'ji 一日万几
'yi'ri'zhi'chang 一日之长
'yi'ri'zhi'ya 一日之雅
'yi'rong 一戎
'yi'rong 遗荣
'yi'rong'da'ding'le 一戎大定乐
'yi'rong'yi 一戎衣
'yi'ru 邑入
'yi'ru'fan'zhang 易如反掌
'yi'sai 抑塞
'yi'san'zu 夷三族
'yi'sang 桋桑
'yi'sang 翳桑
'yi'sao 抑搔
'yi'sao 绎骚
'yi'sao 驿骚
'yi'se 一色
'yi'se 倚瑟
'yi'se 怡色
'yi'se 意色
'yi'se'fu 一色服
'yi'se'xing 倚瑟行
'yi'sha 一霎
'yi'sha'qu'sha 以杀去杀
'yi'shan 倚扇
'yi'shan 夷山
'yi'shan 宜山
'yi'shan 峄山
'yi'shan 弋山
'yi'shan 沂山
'yi'shan 移山
'yi'shan 翊善
'yi'shan 颐山
'yi'shan 黟山
'yi'shan'guan 翼善冠
'yi'shan'ji 遗山集
'yi'shan'ke'shi 峄山刻石
'yi'shang 一晌
'yi'shang 圯上
'yi'shang 夷伤
'yi'shang 蚁裳
'yi'shang 衣裳
'yi'shang'lao'ren 圯上老人
'yi'shang'yi'yong 一觞一咏
'yi'shang'zhi'hui 衣裳之会
'yi'she 义舍
'yi'she 遗蛇
'yi'shen 以甚
'yi'shen 已甚
'yi'shen 怡神
'yi'shen 颐神
'yi'shen'er'ren 一身二任
'yi'shen'liang'yi 一身两役
'yi'shen'shi'dan 一身是胆
'yi'shen'shi'fa 以身试法
'yi'shen'yi'gui 疑神疑鬼
'yi'sheng 一生
'yi'sheng 一眚
'yi'sheng 佾生
'yi'sheng 倚声
'yi'sheng 医生
'yi'sheng 异生
'yi'sheng 怡声
'yi'sheng 逸声
'yi'sheng'liang'dan 以升量石
'yi'sheng'ren 一生人
'yi'shi 一世
'yi'shi 一时
'yi'shi 一食
'yi'shi 义士
'yi'shi 义师
'yi'shi 义试
'yi'shi 乙士
'yi'shi 亦世
'yi'shi 仪式
'yi'shi 仪适
'yi'shi 伊始
'yi'shi 倚事
'yi'shi 倚恃
'yi'shi 医士
'yi'shi 医师
'yi'shi 壹是
'yi'shi 夷世
'yi'shi 奕世
'yi'shi 异事
'yi'shi 异时
'yi'shi 役使
'yi'shi 意识
'yi'shi 懿事
'yi'shi 懿士
'yi'shi 懿氏
'yi'shi 猗氏
'yi'shi 疑事
'yi'shi 移时
'yi'shi 绎史
'yi'shi 翌室
'yi'shi 翼室
'yi'shi 艺事
'yi'shi 谊士
'yi'shi 轶事
'yi'shi 轶诗
'yi'shi 逸史
'yi'shi 逸士
'yi'shi 逸诗
'yi'shi 遗世
'yi'shi 遗失
'yi'shi 遗矢
'yi'shi 陭氏
'yi'shi 驿使
'yi'shi'fu'mu 衣食父母
'yi'shi'ke 衣食客
'yi'shi'long'men 一世龙门
'yi'shi'men 倚市门
'yi'shi'san'ke 医十三科
'yi'shi'shui'zu 衣食税租
'yi'shi'tong'ren 一视同仁
'yi'shi'tou'shui 以石投水
'yi'shi'wu'cheng 一事无成
'yi'shi'zhi'xiong 一世之雄
'yi'shi'zhong 一事中
'yi'shi'zu'cheng'qian'gu'hen 一失足成千古恨
'yi'shou 抑首
'yi'shou 益寿
'yi'shou 艗首
'yi'shou 鹢首
'yi'shou'jia'e 以手加额
'yi'shou'yi'zu 一手一足
'yi'shou'zhe'tian 一手遮天
'yi'shu 一曙
'yi'shu 义塾
'yi'shu 义疏
'yi'shu 义鼠
'yi'shu 异书
'yi'shu 异数
'yi'shu 役属
'yi'shu 意树
'yi'shu 移书
'yi'shu 艺术
'yi'shu 蚁术
'yi'shu 逸书
'yi'shu 遗书
'yi'shu 遗属
'yi'shu 驿书
'yi'shu'bai'huo 一树百获
'yi'shuang 一双
'yi'shuang'liang'hao 一双两好
'yi'shui 夷水
'yi'shui 峄水
'yi'shui 役水
'yi'shui 易水
'yi'shui 沂水
'yi'shui 潩水
'yi'shui'ge 易水歌
'yi'shui'ji'shui 以水济水
'yi'shui'tou'shui 以水投水
'yi'shun 一瞬
'yi'shuo 医说
'yi'shuo 夷说
'yi'shuo 异说
'yi'shuo 意说
'yi'shuo 懿铄
'yi'shuo 熠烁
'yi'shuo 臆说
'yi'si 夷俟
'yi'si 意似
'yi'si 意思
'yi'si 疑似
'yi'si 邑司
'yi'si'bu'gua 一丝不挂
'yi'su 一粟
'yi'su 异俗
'yi'su 翼宿
'yi'suan 意筭
'yi'sui 宜岁
'yi'sui 疫岁
'yi'sun 抑损
'yi'sun 挹损
'yi'suo'de'nan 一索得男
'yi'suo'zhu 一索珠
'yi'ta 依挞
'yi'tai 义台
'yi'tai 彝泰
'yi'tai 意态
'yi'tai 簃台
'yi'tai 誃台
'yi'tai 謻台
'yi'tai'er'miao 一台二妙
'yi'tai'wan'fang 仪态万方
'yi'tan 夷坦
'yi'tan'zhi 一弹指
'yi'tang 仪堂
'yi'tang 泆汤
'yi'tang'jiu'zi 易堂九子
'yi'tang'wo'xue 以汤沃雪
'yi'tang'zhi'fei 以汤止沸
'yi'ti 一体
'yi'ti 弋绨
'yi'ti 遗体
'yi'tian 义田
'yi'tian 佚田
'yi'tian 意田
'yi'tian 易田
'yi'tian 移天
'yi'tian'yi'ri 移天易日
'yi'tiao 役调
'yi'tiao'bian 一条鞭
'yi'tiao'bing 一条冰
'yi'tie 一帖
'yi'ting 夷亭
'yi'ting 驿亭
'yi'tong 一同
'yi'tong 一统
'yi'tong 一通
'yi'tong 义通
'yi'tong 仪同
'yi'tong 壹统
'yi'tong 异同
'yi'tong'san'si 仪同三司
'yi'tong'zhi 一统志
'yi'tou 一头
'yi'tou 一投
'yi'tou'di 一头地
'yi'tou'lv'dang 依头缕当
'yi'tu 义徒
'yi'tu 夷涂
'yi'tu 异途
'yi'tu 役徒
'yi'tu 瘗土
'yi'tu 裔土
'yi'tuan 疑团
'yi'tuan'he'qi 一团和气
'yi'tui 挹退
'yi'tui'wei'jin 以退为进
'yi'tuo 一庹
'yi'tuo 依托
'yi'tuo 诒托
'yi'tuo 颐脱
'yi'wai 意外
'yi'wan 亿万
'yi'wan'ni 一丸泥
'yi'wang 一王
'yi'wang 伊望
'yi'wang 倚望
'yi'wang 夷望
'yi'wang 意望
'yi'wang 意网
'yi'wang 懿望
'yi'wang 遗忘
'yi'wang'da'jin 一网打尽
'yi'wang'jian'lai 以往鉴来
'yi'wang'qing'shen 一往情深
'yi'wang'sun 忆王孙
'yi'wei 一味
'yi'wei 一苇
'yi'wei 仪卫
'yi'wei 伊威
'yi'wei 依微
'yi'wei 依违
'yi'wei 依韦
'yi'wei 夷维
'yi'wei 异味
'yi'wei 意味
'yi'wei 扆帷
'yi'wei 易纬
'yi'wei 猗萎
'yi'wei 猗违
'yi'wei 翊卫
'yi'wei 翼卫
'yi'wei 蛜威
'yi'wei'chan 一味禅
'yi'wei'chen 一微尘
'yi'wei'ji'lan'tu 易纬稽览图
'yi'wei'li 乙未历
'yi'wei'tong'gua'yan 易纬通卦验
'yi'wen 一文
'yi'wen 异闻
'yi'wen 疑问
'yi'wen 移文
'yi'wen'bu'zhi 一文不值
'yi'wen'hui'you 以文会友
'yi'wen'lei'ju 艺文类聚
'yi'wen'qian 一文钱
'yi'wen'zhi 艺文志
'yi'wo 咿喔
'yi'wo 瘗薶
'yi'wo'feng 一窝蜂
'yi'wu 一物
'yi'wu 义乌
'yi'wu 义武
'yi'wu 伊吾
'yi'wu 依乌
'yi'wu 噫呜
'yi'wu 屹屼
'yi'wu 异物
'yi'wu 役物
'yi'wu 意乌
'yi'wu 邑屋
'yi'wu'lu 伊吾卢
'yi'wu'lv 医巫闾
'yi'wu'lv 医无闾
'yi'wu'yi'shi 一五一十
'yi'wu'zai'wu 一误再误
'yi'wu'zhi 异物志
'yi'xi 一息
'yi'xi 一昔
'yi'xi 一袭
'yi'xi 义熙
'yi'xi 伊昔
'yi'xi 依俙
'yi'xi 依夕
'yi'xi 依稀
'yi'xi 倚巇
'yi'xi 倚席
'yi'xi 呹肸
'yi'xi 噫嘻
'yi'xi 忔戏
'yi'xi 意溪
'yi'xi 易系
'yi'xi 疑隙
'yi'xi 譩嘻
'yi'xi'shang'cun 一息尚存
'yi'xia 一夏
'yi'xia 义侠
'yi'xia 意下
'yi'xia'tou'luan 以碬投卵
'yi'xian 夷险
'yi'xian 峄县
'yi'xian 彝宪
'yi'xian 易县
'yi'xian 溢羡
'yi'xian 议贤
'yi'xian 迤涎
'yi'xian 黟县
'yi'xian'qin 一弦琴
'yi'xian'tian 一线天
'yi'xiang 一向
'yi'xiang 一饷
'yi'xiang 仪象
'yi'xiang 倚相
'yi'xiang 异相
'yi'xiang 意向
'yi'xiang 意象
'yi'xiang 遗象
'yi'xiang 邑庠
'yi'xiang'bin'ying 衣香鬓影
'yi'xiang'kao'cheng 仪象考成
'yi'xiang'mian 一向眠
'yi'xiao 义孝
'yi'xiao'da'fang 贻笑大方
'yi'xiao'qian'jin 一笑千金
'yi'xiao'san 一笑散
'yi'xiao'zhi'zhi 一笑置之
'yi'xiao'zuo'zhong 移孝作忠
'yi'xie 倚邪
'yi'xie'bu'ru'yi'xie 一蟹不如一蟹
'yi'xie'qian'li 一泻千里
'yi'xin 一心
'yi'xin 义心
'yi'xin 噫歆
'yi'xin 异心
'yi'xin 役心
'yi'xin 易心
'yi'xin'chuan'xin 以心传心
'yi'xin'sheng'an'gui 疑心生暗鬼
'yi'xin'sheng'an'gui 疑心生闇鬼
'yi'xing 一姓
'yi'xing 一星
'yi'xing 义兴
'yi'xing 仪刑
'yi'xing 仪形
'yi'xing 宜兴
'yi'xing 异行
'yi'xing 意兴
'yi'xing 意行
'yi'xing 懿行
'yi'xing 易姓
'yi'xing 蚁行
'yi'xing 逸兴
'yi'xing 遗行
'yi'xing'hu 宜兴壶
'yi'xing'qu'xing 以刑去刑
'yi'xing'wang 异姓王
'yi'xing'yu'se 义形于色
'yi'xing'zuo'li 一行作吏
'yi'xiong'di 义兄弟
'yi'xiong'di 姨兄弟
'yi'xiu 一宿
'yi'xiu'jue 一宿觉
'yi'xiu'ye'xing 衣绣夜行
'yi'xiu'zhou'xing 衣绣昼行
'yi'xu 意绪
'yi'xu 瀷淢
'yi'xu 议叙
'yi'xu'xi 噫吁嚱
'yi'xuan 义玄
'yi'xuan 乙选
'yi'xuan 翼宣
'yi'xuan'guang 易玄光
'yi'xuan'mo 蚁旋磨
'yi'xue 一吷
'yi'xue 义学
'yi'xue 蚁穴
'yi'xue'xi'xue 以血洗血
'yi'xun 彝训
'yi'xun 贻训
'yi'xun'dao 驿巡道
'yi'xun'yi'you 一熏一莸
'yi'ya 伊轧
'yi'ya 咿哑
'yi'ya 咿轧
'yi'ya 噫哑
'yi'ya 易牙
'yi'ya 逸雅
'yi'ya'chi 一牙齿
'yi'yan 一严
'yi'yan 一言
'yi'yan 夷延
'yi'yan 夷晏
'yi'yan 异言
'yi'yan 怡颜
'yi'yan 贻燕
'yi'yan 迤衍
'yi'yan 遗言
'yi'yan 饴盐
'yi'yan'dao 驿盐道
'yi'yan'ji'chu'si'ma'nan'zhui 一言既出驷马难追
'yi'yan'ji'chu'si'ma'nan'zhui 一言旣出驷马难追
'yi'yan'jiu'ding 一言九鼎
'yi'yan'nan'jin 一言难尽
'yi'yan'shi 一言诗
'yi'yang 义阳
'yi'yang 倚佯
'yi'yang 夷羊
'yi'yang 宜阳
'yi'yang 峄阳
'yi'yang 弋阳
'yi'yang 怡养
'yi'yang 悒怏
'yi'yang 抑扬
'yi'yang 栘杨
'yi'yang 泆阳
'yi'yang 益阳
'yi'yang 荑杨
'yi'yang 迤扬
'yi'yang 颐养
'yi'yang'dun'cuo 抑扬顿挫
'yi'yang'hu'lu 依样葫芦
'yi'yang'jing'shen 颐养精神
'yi'yang'lai'fu 一阳来复
'yi'yang'qiang 弋阳腔
'yi'yang'sheng 一阳生
'yi'yao 一腰
'yi'yao 一要
'yi'yao 熠耀
'yi'yao 疑耀
'yi'ye 一叶
'yi'ye 乙夜
'yi'ye 噫噎
'yi'ye 奕叶
'yi'ye 已业
'yi'ye 肄业
'yi'ye'bi'mu 一叶蔽目
'yi'ye'hong 一擫红
'yi'ye'liang'dou 一叶两豆
'yi'ye'zhi'qiu 一叶知秋
'yi'yi 一一
'yi'yi 一意
'yi'yi 一艺
'yi'yi 义役
'yi'yi 乙乙
'yi'yi 伊邑
'yi'yi 依依
'yi'yi 依倚
'yi'yi 俋俋
'yi'yi 咿咿
'yi'yi 夷仪
'yi'yi 夷怿
'yi'yi 夷羿
'yi'yi 奕奕
'yi'yi 嶷嶷
'yi'yi 已已
'yi'yi 廙廙
'yi'yi 异义
'yi'yi 异议
'yi'yi 役役
'yi'yi 怡怡
'yi'yi 怡怿
'yi'yi 悒悒
'yi'yi 意义
'yi'yi 懿懿
'yi'yi 抑抑
'yi'yi 揖揖
'yi'yi 易易
'yi'yi 易蜴
'yi'yi 曀曀
'yi'yi 枍诣
'yi'yi 泆泆
'yi'yi 浥浥
'yi'yi 熠熠
'yi'yi 燡燡
'yi'yi 猗猗
'yi'yi 猗移
'yi'yi 疑义
'yi'yi 绎绎
'yi'yi 翊翊
'yi'yi 翳翳
'yi'yi 翼翼
'yi'yi 薏苡
'yi'yi 裔夷
'yi'yi 裔裔
'yi'yi 裛裛
'yi'yi 觺觺
'yi'yi 迤迤
'yi'yi 逸逸
'yi'yi 遗佚
'yi'yi 遗逸
'yi'yi 遗遗
'yi'yi 邑邑
'yi'yi 醳醳
'yi'yi 驿驿
'yi'yi 鶃鶃
'yi'yi'chi'wan 以一持万
'yi'yi'dai'lao 以佚待劳
'yi'yi'dai'lao 以逸待劳
'yi'yi'dai'shui 一衣带水
'yi'yi'fa'yi 以夷伐夷
'yi'yi'feng'bai 以一奉百
'yi'yi'ge'en 以义割恩
'yi'yi'gu'xing 一意孤行
'yi'yi'jing'bai 以一警百
'yi'yi'ming'zhu 薏苡明珠
'yi'yi'ni'zhi 以意逆志
'yi'yin 一音
'yi'yin 伊尹
'yi'yin 依隐
'yi'yin 易音
'yi'yin 沂垠
'yi'yin 溢饮
'yi'yin'sheng 一阴生
'yi'yin'tou'yu 以蚓投鱼
'yi'yin'yi'yong 一吟一咏
'yi'yin'yi'zhuo 一饮一啄
'yi'ying 一应
'yi'ying 咿嘤
'yi'ying 荑英
'yi'yong 义勇
'yi'yong'jun 义勇军
'yi'you 伊优
'yi'you 佚游
'yi'you 咿呦
'yi'you 咿嚘
'yi'you 夷犹
'yi'you 夷由
'yi'you 欭嚘
'yi'you 益友
'yi'you'sheng'zhai'ji 亦有生斋集
'yi'yu 一隅
'yi'yu 伊郁
'yi'yu 佚豫
'yi'yu 依于
'yi'yu 倚玉
'yi'yu 呓语
'yi'yu 壹郁
'yi'yu 夷愉
'yi'yu 夷玉
'yi'yu 寱语
'yi'yu 异域
'yi'yu 怡豫
'yi'yu 抑郁
'yi'yu 易与
'yi'yu 易于
'yi'yu 溢誉
'yi'yu 猗与
'yi'yu 疑狱
'yi'yu 瘗玉
'yi'yu 移玉
'yi'yu 螔蝓
'yi'yu 衣鱼
'yi'yu 逸豫
'yi'yu'ge 瘗玉歌
'yi'yu'hu'di 伊于胡底
'yi'yu'ji 疑狱集
'yi'yu'ji 疑雨集
'yi'yu'jian 疑狱笺
'yi'yu'mai'xiang 瘗玉埋香
'yi'yu'tu'zan 异鱼图赞
'yi'yuan 一元
'yi'yuan 医院
'yi'yuan 异苑
'yi'yuan 艺苑
'yi'yuan'da'wu 一元大武
'yi'yuan'shang 移辕赏
'yi'yue 依约
'yi'yue 怡悦
'yi'yue 熠爚
'yi'yun 依韵
'yi'yun'shu'she 艺芸书舍
'yi'zai 一再
'yi'zai 邑宰
'yi'zai'bi'xian 意在笔先
'yi'zai'yan'wai 意在言外
'yi'zan 翊赞
'yi'zan 衣簪
'yi'zan'zhui'ju 遗簪坠屦
'yi'zang 义赃
'yi'zao 意造
'yi'ze 夷则
'yi'ze 易箦
'yi'zeng 忔憎
'yi'zhan 义战
'yi'zhan 乙旃
'yi'zhan 疑战
'yi'zhan 蚁战
'yi'zhan 遗占
'yi'zhan 驿站
'yi'zhan'qu'zhan 以战去战
'yi'zhang 乙帐
'yi'zhang 仪仗
'yi'zhang 依杖
'yi'zhang 倚杖
'yi'zhang 姨丈
'yi'zhang 宜章
'yi'zhang 彝章
'yi'zhang'hong 一丈红
'yi'zhang'jin 一掌金
'yi'zhang'qing 一丈青
'yi'zhang'yi'chi 一张一弛
'yi'zhao 一朝
'yi'zhao 亿兆
'yi'zhao'quan'zai'shou 一朝权在手
'yi'zhao'yi'xi 一朝一夕
'yi'zhe 一辙
'yi'zhe 意者
'yi'zhe 易辙
'yi'zhe 遗折
'yi'zhen'huang'liang 一枕黄粱
'yi'zheng 义征
'yi'zheng 义证
'yi'zheng 医正
'yi'zheng 呓挣
'yi'zheng'wang'da'chen'hui'yi 议政王大臣会议
'yi'zhi 一指
'yi'zhi 一枝
'yi'zhi 一致
'yi'zhi 义旨
'yi'zhi 仪制
'yi'zhi 伊挚
'yi'zhi 夷跖
'yi'zhi 异志
'yi'zhi 役志
'yi'zhi 怡志
'yi'zhi 意制
'yi'zhi 意志
'yi'zhi 意指
'yi'zhi 意旨
'yi'zhi 意智
'yi'zhi 意致
'yi'zhi 懿旨
'yi'zhi 抑制
'yi'zhi 疑止
'yi'zhi 疑滞
'yi'zhi 益智
'yi'zhi 绎志
'yi'zhi 艺植
'yi'zhi 遗直
'yi'zhi 颐指
'yi'zhi'bai'wan 一掷百万
'yi'zhi'ban'jie 一知半解
'yi'zhi'bao'yuan 以直报怨
'yi'zhi'chan 一指禅
'yi'zhi'chun 一枝春
'yi'zhi'hua 一枝花
'yi'zhi'qi'shi 颐指气使
'yi'zhi'qian'jin 一掷千金
'yi'zhi'qian'kun 一掷乾坤
'yi'zhi'qing'li'si 仪制清吏司
'yi'zhi'ri 一之日
'yi'zhi'shu 一纸书
'yi'zhi'wei'shen'qi'ke'zai'hu 一之谓甚其可再乎
'yi'zhi'xiang 一枝香
'yi'zhi'you'dan 易知由单
'yi'zhi'zong 益智粽
'yi'zhong 一种
'yi'zhong 一终
'yi'zhong 义冢
'yi'zhong 亿中
'yi'zhong 倚重
'yi'zhong 易种
'yi'zhong 疑冢
'yi'zhong 蚁众
'yi'zhong 蚁冢
'yi'zhong'jian 栘中监
'yi'zhong'qing 一种情
'yi'zhong'ren 意中人
'yi'zhou 伊周
'yi'zhou 伊州
'yi'zhou 夷洲
'yi'zhou 宜州
'yi'zhou 忔皱
'yi'zhou 沂州
'yi'zhou 益州
'yi'zhou 舣舟
'yi'zhou 裔胄
'yi'zhou 迤洲
'yi'zhou 鹢舟
'yi'zhou'jiang 益州江
'yi'zhou'ming'hua'lu 益州名画录
'yi'zhou'shu 逸周书
'yi'zhou'shuang'ji 艺舟双楫
'yi'zhu 一注
'yi'zhu 义主
'yi'zhu 仪注
'yi'zhu 宜主
'yi'zhu 意珠
'yi'zhu 挹注
'yi'zhu 衣珠
'yi'zhu 谊主
'yi'zhu 逸珠
'yi'zhu 遗珠
'yi'zhu'guan 一柱观
'yi'zhu'nan'zhi 一柱难支
'yi'zhu'qing'tian 一柱擎天
'yi'zhu'tan'que 以珠弹雀
'yi'zhu'xiang 一炷香
'yi'zhuan 易传
'yi'zhuan'yu 一转语
'yi'zhuang 一壮
'yi'zhuang 义庄
'yi'zhuang 仪状
'yi'zhuang 意状
'yi'zhuang 衣装
'yi'zhun 彝准
'yi'zhuo 倚卓
'yi'zhuo 猗卓
'yi'zhuo 衣着
'yi'zi 义子
'yi'zi 倚子
'yi'zi 姨子
'yi'zi 宜子
'yi'zi 易字
'yi'zi 椅子
'yi'zi 胰子
'yi'zi 衣眦
'yi'zi 邑子
'yi'zi'bao'bian 一字褒贬
'yi'zi'chan 一字禅
'yi'zi'jin 一字巾
'yi'zi'qian'jin 一字千金
'yi'zi'shi 一字师
'yi'zi'wang 一字王
'yi'zi'yi'zhu 一字一珠
'yi'zong 一宗
'yi'zong 义纵
'yi'zong 夷宗
'yi'zong'jin'jian 医宗金鉴
'yi'zu 依阻
'yi'zu 屹崪
'yi'zu 异族
'yi'zu 艺祖
'yi'zu 逸足
'yi'zu 遗族
'yi'zu'san'zong 一祖三宗
'yi'zu'zhi'ling 一卒之令
'yi'zuan'yan 易纂言
'yi'zui 疑罪
'yi'zui'di 义觜笛
'yi'zun 义樽
'yi'zun 移樽
'yi'zun 邑尊
'yi'zuo 一坐
'yi'zuo 一座
'yi'zuo 一昨
'yi'zuo 扆座
'yin'ai 喑醷
'yin'ai 堙暧
'yin'ai 银艾
'yin'an 嚚暗
'yin'an 嚚闇
'yin'an 引岸
'yin'an 阴安
'yin'ban 印板
'yin'ban 阴坂
'yin'ban 阴阪
'yin'bei'yu'hua 银杯羽化
'yin'ben 印本
'yin'ben 淫奔
'yin'bi 尹笔
'yin'bi 引避
'yin'bi 荫庇
'yin'bin 寅宾
'yin'bing 饮冰
'yin'bing'shi'bo 饮冰食蘗
'yin'bu 引布
'yin'bu 荫补
'yin'cai 印材
'yin'cao 阴曹
'yin'chan 银蟾
'yin'che 寅车
'yin'chen 因尘
'yin'chen 因陈
'yin'chen 茵蔯
'yin'chen 阴臣
'yin'chen 阴辰
'yin'chen 霒霃
'yin'chen 音尘
'yin'cheng 鄞城
'yin'chi 印池
'yin'chi'xiang 茵墀香
'yin'chong 阴虫
'yin'chu'shi 引雏诗
'yin'chuan 银船
'yin'chuang 印床
'yin'chuang 絪床
'yin'chuang 银床
'yin'chun'zi'zui 饮醇自醉
'yin'ci 淫祠
'yin'ci 淫辞
'yin'cun 印存
'yin'cuo 阴错
'yin'cuo'yang'cha 阴错阳差
'yin'dao 引导
'yin'dao 引道
'yin'dao 银刀
'yin'dao 阴道
'yin'de 阴德
'yin'de 隐地
'yin'di 因地
'yin'di 引地
'yin'di 荫第
'yin'di 阴地
'yin'di'qu'zi 因敌取资
'yin'di'zhi'yi 因地制宜
'yin'dian 印典
'yin'diao 音调
'yin'ding 银锭
'yin'du 印度
'yin'du 饮犊
'yin'dui 引对
'yin'dun 阴遁
'yin'duo 尹铎
'yin'e 吟哦
'yin'e 喑恶
'yin'e 垠堮
'yin'e 鄞鄂
'yin'e 阴恶
'yin'e 龈腭
'yin'e'chi'zha 喑恶叱咤
'yin'e'yang'shan 隐恶扬善
'yin'er 因而
'yin'er'bu'fa 引而不发
'yin'fang 印房
'yin'fang 淫放
'yin'fen 引分
'yin'feng 淫风
'yin'feng'ge 吟风阁
'yin'feng'yong'yue 吟风咏月
'yin'fou 吟缶
'yin'fu 喑付
'yin'fu 引服
'yin'fu 引绋
'yin'fu 殷富
'yin'fu 殷阜
'yin'fu 茵伏
'yin'fu 荫附
'yin'fu 阴伏
'yin'fu 饮福
'yin'fu'jing 阴符经
'yin'gan 阴干
'yin'gang 银釭
'yin'ge 因革
'yin'gong 尹宫
'yin'gong 银宫
'yin'gong 阴功
'yin'gong 阴拱
'yin'gong 隐宫
'yin'gong'jia'si 因公假私
'yin'gou 银钩
'yin'gou 阴沟
'yin'gu 姻故
'yin'gua 阴瓜
'yin'gua 隐栝
'yin'guan 银管
'yin'guan 阴官
'yin'guan 阴馆
'yin'guan 音官
'yin'guang 饮光
'yin'guang'nu 引光奴
'yin'gui 尹轨
'yin'gui 银桂
'yin'gui 银龟
'yin'guo 因国
'yin'guo 因果
'yin'guo 引过
'yin'hai 银海
'yin'han 银汉
'yin'han 音翰
'yin'hang 引吭
'yin'hao 殷浩
'yin'hao 音耗
'yin'he 引河
'yin'he 银河
'yin'he 银褐
'yin'he 阴何
'yin'he 阴和
'yin'he 阴喝
'yin'he 饮和
'yin'hen 饮恨
'yin'hen'tun'sheng 饮恨吞声
'yin'hong 阴虹
'yin'hu 荫户
'yin'hu 隐鹄
'yin'hua 嚚猾
'yin'hua 银花
'yin'hua 隐化
'yin'hua'lu 因话录
