'a'bei'qi'nuo 阿贝奇诺
'yi'gan'yi'qi'jie'yu'ke'li 乙肝益气解郁颗粒
'yi'gao'xue'tang'su'ji'fa'shi'yan 胰高血糖素激发试验
'yi'gao'xue'tang'su'shi'yan 胰高血糖素试验
'yi'ge'ding 一格定
'yi'gong'ke'li 益宫颗粒
'yi'gu'tai 益古泰
'yi'guan'kong'chang'wen'he'shu 胰管空肠吻合术
'yi'guan'kuo'zhang'dao'guan 胰管扩张导管
'yi'guan'qie'kai'qu'shi'shu 胰管切开取石术
'yi'guan'shen'jing'qie'duan'shu 翼管神经切断术
'yi'guan'zhi'jia 胰管支架
'yi'guan'zhi'jia'xi'tong 胰管支架系统
'yi'han'ning 怡含宁
'yi'han'qing 宜含清
'yi'hao'ke 易好克
'yi'he 义颌
'yi'he'chun'jiao'nang 颐和春胶囊
'yi'he'xiu'fu 义颌修复
'yi'heng 亿恒
'yi'heng 伊衡
'yi'hong 益宏
'yi'huan 伊缓
'yi'huan'lin'xian'an 异环磷酰胺
'yi'huo 亿活
'yi'huo'su 怡活素
'yi'ji'kang 易集康
'yi'ji'tai'yuan'mei 胰激肽原酶
'yi'jia 伊甲
'yi'jia 溢佳
'yi'jia'gai 伊加盖
'yi'jia'lin 易佳林
'yi'jia'yi 益加益
'yi'jiang'gai'su 依降钙素
'yi'jie'duan'ban 一阶段板
'yi'jie'duan'jing'qian'lu'ban 一节段颈前路板
'yi'jie'ka 伊捷卡
'yi'jie'luo 伊捷罗
'yi'jin'jiang'tang'ke'li 益津降糖颗粒
'yi'jin'pai'shi'ke'li'ren'min 已金排石颗粒人民
'yi'jing 依静
'yi'jing'kou'fu'ye 益精口服液
'yi'jun 一君
'yi'jun'ding 益君定
'yi'ka'bei'te'na 依卡倍特钠
'yi'kai 怡开
'yi'kang'bei'song 益康倍松
'yi'kang'jiao'nang 益康胶囊
'yi'kang'ke'ou 益康克欧
'yi'kang'luo'ke 益康洛克
'yi'kang'ning 伊康宁
'yi'kang'ning 依康宁
'yi'kang'shu 怡康舒
'yi'kang'wan 抑亢丸
'yi'kang'wan'da'mi'wan 抑亢丸大蜜丸
'yi'kang'zhi'ke 益康止克
'yi'kang'zuo 益康唑
'yi'ke'ke 易克可
'yi'ke'ning 益可宁
'yi'ke'sha 依克沙
'yi'ke'shu 怡可舒
'yi'ke'xin 伊可新
'yi'ke'xin 益可欣
'yi'ke'xing 益可幸
'yi'ke'ya 易可亚
'yi'ke'ya'xin 易克亚欣
'yi'kuang'ting 一匡汀
'yi'kun'ning 益坤宁
'yi'lai 益莱
'yi'lai'fen 亿来芬
'yi'lai'ning 亿来宁
'yi'lai'xi'an 伊来西胺
'yi'le 怡乐
'yi'le 益乐
'yi'le'ding 异乐定
'yi'le'ding 怡乐定
'yi'le'wei 依乐韦
'yi'lei'shi'yan 溢泪试验
'yi'li'an 壹丽安
'yi'li'fu 忆力福
'yi'li'jia 伊力佳
'yi'li'kang 依利康
'yi'li'kang 宜利康
'yi'li'lu 依立卢
'yi'li'miao 宜利妙
'yi'li'ping 伊粒平
'yi'li'shu 宜立舒
'yi'li'shuang 伊立爽
'yi'li'tai 宜力泰
'yi'li'xi 宜力喜
'yi'li'xin 伊利欣
'yi'li'xin 怡力昕
'yi'li'zhi 宜利治
'yi'liao'qi'gong'zhi'liao 医疗气功治疗
'yi'lin 依林
'yi'lin 依膦
'yi'lin 忆林
'yi'ling'kou'fu'ye 蚁灵口服液
'yi'ling'shu 益灵舒
'yi'long 依龙
'yi'lu 益禄
'yi'lu'mei 易路美
'yi'lu'shu 依路舒
'yi'lun'ding 依伦定
'yi'ma'da'zheng'hong'hua'you 依马打正红花油
'yi'ma'xin 益玛欣
'yi'mai 宜迈
'yi'mai'ge 伊迈格
'yi'mai'kang'fen'san'pian 益脉康分散片
'yi'mai'kang'jiao'nang 益脉康胶囊
'yi'mai'kang'pian 益脉康片
'yi'mai'kang'ruan'jiao'nang 益脉康软胶囊
'yi'mai'lin 亿迈林
'yi'mai'ning 益脉宁
'yi'mai'ou 益迈欧
'yi'mai'qing 伊迈青
'yi'mei 亿美
'yi'mei 胰酶
'yi'mei'li 怡美力
'yi'mei'ning 怡美宁
'yi'mei'qi 亿美奇
'yi'mei'shu 伊美舒
'yi'mei'si 依美思
'yi'mei'tai 壹枚泰
'yi'mei'xin 依美欣
'yi'mei'ya 伊美雅
'yi'meng 怡蒙
'yi'meng'ting 易蒙停
'yi'mi 苡米
'yi'mi'gen 薏米根
'yi'mian'po 一面坡
'yi'mu'cao 益母草
'yi'mu'cao'chong'ji 益母草冲剂
'yi'mu'cao'fen'san'pian 益母草分散片
'yi'mu'cao'gao 益母草膏
'yi'mu'cao'han'xian'yi'mu'cao'gao 益母草含鲜益母草膏
'yi'mu'cao'han'xian'yi'mu'cao'jiao'nang 益母草含鲜益母草胶囊
'yi'mu'cao'han'xian'yi'mu'cao'ke'li 益母草含鲜益母草颗粒
'yi'mu'cao'jiao'nang 益母草胶囊
'yi'mu'cao'ke'li 益母草颗粒
'yi'mu'cao'ke'li'wu'tang 益母草颗粒无糖
'yi'mu'cao'ke'li'wu'tang'xing 益母草颗粒无糖型
'yi'mu'cao'kou'fu'ye 益母草口服液
'yi'mu'cao'liu'jin'gao 益母草流浸膏
'yi'mu'cao'liu'jin'gao'fu'yi 益母草流浸膏附一
'yi'mu'cao'pian 益母草片
'yi'mu'cao'ruan'jiao'nang 益母草软胶囊
'yi'mu'cao'zhu'she'ye 益母草注射液
'yi'mu'chong'ji 益母冲剂
'yi'mu'duo 依姆多
'yi'mu'kang 亿木康
'yi'mu'ke'li 益母颗粒
'yi'mu'lan 依木兰
'yi'mu'wan 益母丸
'yi'na'lin 怡那林
'yi'na'pu'li 依那普利
'yi'na'pu'li'la 依那普利拉
'yi'na'pu'li'qing'lv'sai'qin 依那普利氢氯噻嗪
'yi'na'tong 抑那通
'yi'na'xi'pu 依那西普
'yi'nan'bing'li'hui'zhen 疑难病理会诊
'yi'nan'jiao'cha'pei'xue 疑难交叉配血
'yi'nao'fu'jian'jiao'nang 益脑复健胶囊
'yi'nao'jiao'nang 益脑胶囊
'yi'nao'ning'pian 益脑宁片
'yi'nao'pian 益脑片
'yi'neng 亿能
'yi'neng'sen 依能森
'yi'ni'shu 依尼舒
'yi'nian'jin 一捻金
'yi'nian'jin'jiao'nang 一捻金胶囊
'yi'ning 易宁
'yi'ning'shi 怡宁适
'yi'nuo 忆诺
'yi'nuo 益诺
'yi'nuo'da 依诺达
'yi'nuo'gan'su 依诺肝素
'yi'nuo'gan'su'na 依诺肝素钠
'yi'nuo'ni'kang 怡诺尼康
'yi'nuo'ping 依诺平
'yi'nuo'sha'xing 依诺沙星
'yi'nuo'shu 伊诺舒
'yi'nuo'si 怡诺思
'yi'nuo'wei 依诺维
'yi'nuo'xin 伊诺欣
'yi'ou'qing 亦欧青
'yi'pa'mi'xing 异帕米星
'yi'pa'si'ta 依帕司他
'yi'pin 一品
'yi'ping 益平
'yi'ping'qing 怡平青
'yi'ping'su 一平苏
'yi'pu'bi'shan 依普比善
'yi'pu'ding 依普定
'yi'pu'huang'tong 依普黄酮
'yi'pu'li 怡普利
'yi'pu'ning 益谱柠
'yi'qi'an'shen'pian 益气安神片
'yi'qi'bu'xue'pian 益气补血片
'yi'qi'cong'ming'wan 益气聪明丸
'yi'qi'er'kuo'cheng'xing'shu 一期耳廓成形术
'yi'qi'fu'mai'jiao'nang 益气复脉胶囊
'yi'qi'fu'mai'zhu'she'ji 益气复脉注射剂
'yi'qi'gu'shen'jiao'nang 益气固肾胶囊
'yi'qi'he'wei'jiao'nang 益气和胃胶囊
'yi'qi'huo'xue'dai'pao'ji'zhang'zhou'shi'zhong'yi'yuan 益气活血袋泡剂漳州市中医院
'yi'qi'huo'xue'ke'li 益气活血颗粒
'yi'qi'kang 易启康
'yi'qi'ping'heng'gong'neng'ping'ding 仪器平衡功能评定
'yi'qi'qiang'shen'ke'li 益气强身颗粒
'yi'qi'tong'bi'jiao'nang 益气通痹胶囊
'yi'qi'wei'xue'jiao'nang 益气维血胶囊
'yi'qi'wei'xue'ke'li 益气维血颗粒
'yi'qi'wen'yang'jiao'nang 益气温阳胶囊
'yi'qi'xian 易齐先
'yi'qi'yang'xue'bu'jiu 益气养血补酒
'yi'qi'yang'xue'he'ji 益气养血合剂
'yi'qi'yang'xue'kou'fu'ye 益气养血口服液
'yi'qi'yang'yuan'ke'li 益气养元颗粒
'yi'qing 亦清
'yi'qing 猗清
'yi'qing 逸青
'yi'qing'jiao'nang 一清胶囊
'yi'qing'ke'li 一清颗粒
'yi'qing'ke'li'wu'zhe'tang 一清颗粒无蔗糖
'yi'qing'pian 一清片
'yi'qing'ruan'jiao'nang 一清软胶囊
'yi'qiong 依琼
'yi'qu'kang'zuo 伊曲康唑
'yi'ran 益然
'yi'ren 宜仁
'yi'rong 易容
'yi'ru'shuan 益汝栓
'yi'ru'te 易如特
'yi'rui 伊瑞
'yi'rui 怡瑞
'yi'rui'sha 易瑞沙
'yi'sa'lin 益萨林
'yi'sai'pu 益赛普
'yi'sha'a'ding'fu'yi 依沙吖啶附一
'yi'sha'a'ding'rong'ye'chuan'ran 依沙吖啶溶液传染
'yi'sha'a'ding'rong'ye'long'yan'shi'er 依沙吖啶溶液龙岩市二
'yi'sha'a'ding'rong'ye'long'yan'shi'ren'min'yi'yuan 依沙吖啶溶液龙岩市人民医院
'yi'sha'a'ding'rong'ye'nan'ping'shi'pi 依沙吖啶溶液南平市皮
'yi'sha'a'ding'rong'ye'quan'zhou'shi'ren'min 依沙吖啶溶液泉州市人民
'yi'sha'a'ding'rong'ye'xia'men'shi'er 依沙吖啶溶液厦门市二
'yi'sha'a'ding'rong'ye'xia'men'shi'zhong'shan'yi'yuan 依沙吖啶溶液厦门市中山医院
'yi'sha'a'ding'rong'ye'xia'men'shi'zhong'yi'yuan 依沙吖啶溶液厦门市中医院
'yi'sha'a'ding'rong'ye'xie'he 依沙吖啶溶液协和
'yi'sha'a'ding'sheng'er 依沙吖啶省二
'yi'sha'ya'ding'rong'ye'quan'zhou'shi'yi 依沙丫啶溶液泉州市一
'yi'sha'ya'ding'rong'ye'xia'men'shi'si'ming'qu'yi'yuan 依沙丫啶溶液厦门市思明区医院
'yi'shan'fu 易善复
'yi'shen'bao 怡神保
'yi'shen'bu'gu'kou'fu'ye 益肾补骨口服液
'yi'shen'bu'gu'ye 益肾补骨液
'yi'shen'hua'shi'ke'li 益肾化湿颗粒
'yi'shen'jian'gu'jiao'nang 益肾健骨胶囊
'yi'shen'jian'gu'pian 益肾健骨片
'yi'shen'jian'yao'kou'fu'ye 益肾健腰口服液
'yi'shen'jiang'tang'yin'ren'min 益肾降糖饮人民
'yi'shen'jiang'zhuo'ke'li'ren'min 益肾降浊颗粒人民
'yi'shen'juan'bi'wan 益肾蠲痹丸
'yi'shen'kang'jiao'nang 益肾康胶囊
'yi'shen'ling'jiao'nang 益肾灵胶囊
'yi'shen'ling'ke'li 益肾灵颗粒
'yi'shen'ling'ke'li'wu'tang'xing 益肾灵颗粒无糖型
'yi'shen'ling'wan 益身灵丸
'yi'shen'qing'zhuo'kou'fu'ye 益肾清浊口服液
'yi'shen'shi'qi'wei'wan 益肾十七味丸
'yi'shen'wu'fa'kou'fu'ye 益肾乌发口服液
'yi'shen'xiao'ke'jiao'nang 益肾消渴胶囊
'yi'shen'xing'yang'jiao'nang 益肾兴阳胶囊
'yi'shen'zhuang'yao'wan'quan'zhou'shi'zheng'gu'yi'yuan 益肾壮腰丸泉州市正骨医院
'yi'sheng 亦升
'yi'sheng 颐圣
'yi'shi'an 依士安
'yi'shi'an 忆诗安
'yi'shi'chun 益适纯
'yi'shi'ke'li 益视颗粒
'yi'shi'ning 易使宁
'yi'shi'qing 一世情
'yi'shu 一舒
'yi'shu 奕舒
'yi'shu'chang 逸舒长
'yi'shu'da 易舒达
'yi'shu'ji 异舒吉
'yi'shu'jia'lin 依舒佳林
'yi'shu'ning 益舒宁
'yi'shu'sheng 逸舒升
'yi'shu'song 逸舒松
'yi'shu'zhi 伊舒致
'yi'shuang 依双
'yi'shuang 益爽
'yi'shuang'bi 易双必
'yi'si'jie 亿思捷
'yi'si'ling 一司灵
'yi'si'tan 依斯坦
'yi'si'ting 依思汀
'yi'si'tong 益思通
'yi'si'xin 益思欣
'yi'song 亿松
'yi'su 依苏
'yi'su 意速
'yi'su'xin 怡速欣
'yi'suo 抑索
'yi'suo 益索
'yi'suo'jia 伊索佳
'yi'suo'man 伊索曼
'yi'tai 益太
'yi'tai'da 伊泰达
'yi'tai'li 意泰丽
'yi'tai'mei 抑肽酶
'yi'tai'na 一泰纳
'yi'tai'qing 伊泰青
'yi'tan 益坦
'yi'tan'jing 易坦静
'yi'te 依特
'yi'te'an 伊特安
'yi'teng'xiao 亿腾消
'yi'ti'ba'tai 依替巴肽
'yi'ti'dong'mai'ban 异体动脉瓣
'yi'ti'gong'gan'qie'chu'shu 异体供肝切除术
'yi'ti'gong'shen'qu'shen'shu 异体供肾取肾术
'yi'ti'gong'yi'qie'chu'shu 异体供胰切除术
'yi'ti'gu 异体骨
'yi'ti'gu'mie'huo 异体骨灭活
'yi'ti'guan'jie'mie'huo 异体关节灭活
'yi'ti'ji'jian 异体肌腱
'yi'ti'lin'suan'er'na 依替膦酸二钠
'yi'ti'pi'da'dong'qian'zhi'zi'ti'pi'shu 异体皮打洞嵌植自体皮术
'yi'ti'pi'he'zhi'bei 异体皮和制备
'yi'ti'pi'yi'zhi'shu 异体皮移植术
'yi'ti'pi'zang'yi'zhi'shu 异体脾脏移植术
'yi'ti'pi'zhi'bei 异体皮制备
'yi'ti'shen'jing 异体神经
'yi'ti'shen'yi'zhi'shu 异体肾移植术
'yi'ti'shi'dan'dao'zhi'jia 一体式胆道支架
'yi'ti'wei'qie'chu'shu 胰体尾切除术
'yi'ti'xin 益替欣
'yi'ti'xue'guan 异体血管
'yi'ti'zu'zhi'zhi'bei 异体组织制备
'yi'tian 伊天
'yi'ting 易汀
'yi'tong 益通
'yi'tong'jing'luo 易通经络
'yi'tong'shu'zhu'she'ye 伊痛舒注射液
'yi'tuo 益妥
'yi'tuo'bo'gan 依托泊苷
'yi'tuo'fen 易妥芬
'yi'tuo'fen'na'zhi 依托芬那酯
'yi'tuo'hong'mei'su 依托红霉素
'yi'tuo'kao'xi 依托考昔
'yi'tuo'li 宜妥利
'yi'tuo'mi'zhi 依托咪酯
'yi'tuo'mi'zhi'zhi'fang'ru 依托咪酯脂肪乳
'yi'wan'zhi 怡万之
'yi'wei'kang 怡维康
'yi'wei'lian'jie'qi 移位连接器
'yi'wei'mo'si 依维莫司
'yi'wei'mo'si'xi'tuo'guan'zhuang'dong'mai'zhi'jia'xi'tong 依维莫司洗脱冠状动脉支架系统
'yi'wei'ning 益维宁
'yi'wei'ning'jiao'nang 益胃宁胶囊
'yi'wei'qiu'jie'ru'zhi'liao 钇微球介入治疗
'yi'wei'shi 易维适
'yi'wei'te 易维特
'yi'wei'tuo 伊维妥
'yi'wei'wei'nian'mo'xian'xiang 异位胃粘膜显象
'yi'wei'yi'ti'yi'zhi'yi'xian'qie'chu'shu 异位异体移植胰腺切除术
'yi'wei'zhi 易为治
'yi'xi'de 伊西德
'yi'xi'mei'tan 依西美坦
'yi'xi'qi 益喜琪
'yi'xi'shu 亿希舒
'yi'xian'an 乙酰胺
'yi'xian'ban'guang'an'suan 乙酰半胱氨酸
'yi'xian'chuan'ci'shu 胰腺穿刺术
'yi'xian'gu'xian'an 乙酰谷酰胺
'yi'xian'gu'xian'an'lv'hua'na 乙酰谷酰胺氯化钠
'yi'xian'gu'xian'an'pu'tao'tang 乙酰谷酰胺葡萄糖
'yi'xian'guan'zhi'jia'ji'dao'yin'xi'tong 胰腺管支架及导引系统
'yi'xian'ji'ta'mei'su 乙酰吉他霉素
'yi'xian'jia'xing'nang'zhong'nei'yin'liu'shu 胰腺假性囊肿内引流术
'yi'xian'jia'xing'nang'zhong'qie'chu'shu 胰腺假性囊肿切除术
'yi'xian'luo'xuan'mei'su 乙酰螺旋霉素
'yi'xian'nang'zhong'nei'yin'liu'shu 胰腺囊肿内引流术
'yi'xian'nang'zhong'wai'yin'liu'shu 胰腺囊肿外引流术
'yi'xian'tian'ma'su 乙酰天麻素
'yi'xian'wu'tou'jian 乙酰乌头碱
'yi'xian'xian'xiang 胰腺显象
'yi'xian'xiu'bu'shu 胰腺修补术
'yi'xian'yi'zhi'shu 胰腺移植术
'yi'xian'zhi'jia'yin'dao'xi'tong 胰腺支架引导系统
'yi'xian'zhou'wei'shen'jing'qie'chu'shu 胰腺周围神经切除术
'yi'xian'zuo'an 乙酰唑胺
'yi'xiang'dang'hong'gao 益香当红膏
'yi'xiao'shi'niao'chen'zha'ji'shu 一小时尿沉渣计数
'yi'xiao'shi'niao'xi'bao'pai'xie'lv 一小时尿细胞排泄率
'yi'xin 依信
'yi'xin 忆欣
'yi'xin 忆辛
'yi'xin 意欣
'yi'xin 益欣
'yi'xin'ba'di'ran'ji'bu'ya'ke'li 益心巴迪然吉布亚颗粒
'yi'xin'ba'di'ran'ji'bu'ya'ke'li'wu'tang'xing 益心巴迪然吉布亚颗粒无糖型
'yi'xin'bao 伊辛保
'yi'xin'jiao'nang 益心胶囊
'yi'xin'kang'jiao'nang 彝心康胶囊
'yi'xin'kang'pian 益心康片
'yi'xin'ke'li 益心颗粒
'yi'xin'kou'fu'ye 益心口服液
'yi'xin'li 怡新力
'yi'xin'ning'shen'pian 益心宁神片
'yi'xin'shu'jiao'nang 益心舒胶囊
'yi'xin'shu'ke'li 益心舒颗粒
'yi'xin'shu'pian 益心舒片
'yi'xin'shu'wan 益心舒丸
'yi'xin'tong'di'wan 益心酮滴丸
'yi'xin'tong'fen'san'pian 益心酮分散片
'yi'xin'tong'pian 益心酮片
'yi'xin'tong'ruan'jiao'nang 益心酮软胶囊
'yi'xin'wan 益心丸
'yi'xin'wei 亿新威
'yi'xing 依星
'yi'xing'duo'wan'bang'guan 异型多弯棒管
'yi'xing'gan'yan'ren'mian'yi'qiu'dan'bai 乙型肝炎人免疫球蛋白
'yi'xing'gan'yan'xue'yuan'yi'miao 乙型肝炎血源疫苗
'yi'xing'gang'ban'ban'jing'guan'zhuang'ban 异型钢板半径管状板
'yi'xing'gang'ban'chi'xing'ban 异型钢板匙型板
'yi'xing'gang'ban'duo'fa'xing'gu'zhe'ban 异型钢板多发性骨折板
'yi'xing'gang'ban'gen'gu'ban 异型钢板跟骨板
'yi'xing'gang'ban'jing'guan'zhuang'ban 异型钢板径管状板
'yi'xing'gang'ban'ke'bu'ban'zuo'you 异型钢板髁部板左右
'yi'xing'gang'ban'qiao'xing'ban 异型钢板桥形板
'yi'xing'gang'ban'qu'xing'chong'jian'ban 异型钢板曲型重建板
'yi'xing'gang'ban'san'ye'xing'ban 异型钢板三叶型板
'yi'xing'gang'ban'she'tou'xing'ban 异型钢板蛇头型板
'yi'xing'jie'gu'ban 异型接骨板
'yi'xing'jie'gu'ban'lu'gu'suo 异型接骨板颅骨锁
'yi'xing'jie'gu'ban'lu'kong'ban 异型接骨板颅孔板
'yi'xing'jie'gu'ban'yin'liu'ban 异型接骨板引流板
'yi'xing'lian'jie'gan 异型连接杆
'yi'xing'mi'ni'gang'ban 异形迷你钢板
'yi'xing'shuang'wan'bang'guan 异型双弯棒管
'yi'xuan'ning'jiao'nang 抑眩宁胶囊
'yi'xue'an'ke'li 伊血安颗粒
'yi'xue'kang 伊雪康
'yi'xue'sheng'jiao'nang 益血生胶囊
'yi'ya'xuan 益雅轩
'yi'yan 义眼
'yi'yan'an'zhuang 义眼安装
'yi'yan'jing 异烟肼
'yi'yan'mo 义眼模
'yi'yan'tai'da'kong'shu 义眼台打孔术
'yi'yang 易扬
'yi'yang'ben'liu'an 乙氧苯柳胺
'yi'ye 依叶
'yi'yi'gen 薏苡根
'yi'yi'ren 薏苡仁
'yi'yin'li 一音利
'yi'yong'feng'he'la'kou 医用缝合拉扣
'yi'yong'gao'fen'zi'beng'dai 医用高分子绷带
'yi'yong'gao'fen'zi'jia'ban 医用高分子夹板
'yi'yong'gu'ding'ban 医用固定板
'yi'yong'gu'ding'dai 医用固定带
'yi'yong'he'cheng'jiao 医用合成胶
'yi'yong'ji'rong'zhi'xue'sha'bu 医用即溶止血纱布
'yi'yong'jia'ban 医用夹板
'yi'yong'jiao'pen'wu'xing 医用胶喷雾型
'yi'yong'jiao'tu'mo'xing 医用胶涂抹型
'yi'yong'jiao'yuan'dan'bai'hai'mian 医用胶原蛋白海绵
'yi'yong'ju'bing'xi'xiu'bu'wang'sai 医用聚丙烯修补网塞
'yi'you 亿优
'yi'you 夷友
'yi'you'rui'kang 易优瑞康
'yi'yu 宜宇
'yi'yuan'san 益元散
'yi'yuan'sheng 益源生
'yi'yuan'ti'jian'cha'dian'jing'fa 衣原体检查电镜法
'yi'yuan'ti'jian'cha'mian'yi'xue'fa 衣原体检查免疫学法
'yi'yuan'ti'jian'cha'pei'yang'fa 衣原体检查培养法
'yi'yuan'ti'pei'yang 衣原体培养
'yi'yue 伊悦
'yi'zhe'mai'bu 依折麦布
'yi'zhe'mai'bu'xin'fa'ta'ting 依折麦布辛伐他汀
'yi'zhen'kang 依真慷
'yi'zhen'nv'jin'pian 益贞女金片
'yi'zhi 一芷
'yi'zhi 益智
'yi'zhi'cai'liao 移植材料
'yi'zhi'gan'qie'chu'shu'zai'yi'zhi'shu 移植肝切除术再移植术
'yi'zhi'huang'hua 一枝黄花
'yi'zhi'kang'nao'wan 益智康脑丸
'yi'zhi'ping'jiao'nang 益脂平胶囊
'yi'zhi'qu'gu'shu 移植取骨术
'yi'zhi'ren 益智仁
'yi'zhi'shen'shen'zhou'xue'zhong'qing'chu'shu 移植肾肾周血肿清除术
'yi'zhi'shen'tan'cha'shu 移植肾探查术
'yi'zhi'te 益之特
'yi'zhi'wu'la'jie'qi 移植物拉结器
'yi'zhong'gu'luo'ding 异种骨螺钉
'yi'zhong'jie 伊众捷
'yi'zhong'sheng'xue'pian 益中生血片
'yi'zhong'zhi'gu'rong'he'qi 异种植骨融合器
'yi'zhuang'jie'chang'jing'jian'cha 乙状结肠镜检查
'yi'zhuang'jie'chang'xuan'diao'shu 乙状结肠悬吊术
'yi'zhuang'nu'rou'qie'chu'jiao'mo'yi'zhi'shu 翼状胬肉切除角膜移植术
'yi'zhuang'nu'rou'qie'chu'shu 翼状胬肉切除术
'yi'zhuang'nu'rou'qie'chu'shu'gan'xi'bao'yi'zhi 翼状胬肉切除术干细胞移植
'yi'zuo'xin 益左欣
'yin'bai'chong'ji'hao'chuan'ran 茵白冲剂号传染
'yin'bai'gan'yan'chong'ji 茵白肝炎冲剂
'yin'bai'gan'yan'jiao'nang 茵白肝炎胶囊
'yin'bai'gan'yan'ke'li 茵白肝炎颗粒
'yin'bi'cheng 因必成
'yin'bi'shu 因必舒
'yin'bi'xin 因必欣
'yin'can'tong'luo'jiao'nang 银参通络胶囊
'yin'chai'hu 银柴胡
'yin'chai'ke'li 银柴颗粒
'yin'chen 茵陈
'yin'chen'hao 茵陈蒿
'yin'chen'wu'ling'wan 茵陈五苓丸
'yin'da'pa'an 吲哒帕胺
'yin'da'pa'an 吲达帕胺
'yin'dan'ping'gan'jiao'nang 茵胆平肝胶囊
'yin'dan'xin'nao'tong'ruan'jiao'nang 银丹心脑通软胶囊
'yin'dan'xin'tai'di'wan 银丹心泰滴丸
'yin'dao'ba'hen'qie'chu'shu 阴道疤痕切除术
'yin'dao'bi'suo'qie'kai'shu 阴道闭锁切开术
'yin'dao'bi'xue'zhong'qie'kai'shu 阴道壁血肿切开术
'yin'dao'cheng'xing'shu 阴道成形术
'yin'dao'fen'mi'wu'jian'cha 阴道分泌物检查
'yin'dao'gu'zu'zhi'zai'sheng'shu 引导骨组织再生术
'yin'dao'guan'xi'shang'yao 阴道灌洗上药
'yin'dao'heng'zong'ge'qie'kai'shu 阴道横纵膈切开术
'yin'dao'jing'jian'cha 阴道镜检查
'yin'dao'jing'jian'cha'dian'zi'jing 阴道镜检查电子镜
'yin'dao'kuo'zhang'shu 阴道扩张术
'yin'dao'liang'xing'zhong'wu'qie'chu'shu 阴道良性肿物切除术
'yin'dao'lie'shang'feng'he'shu 阴道裂伤缝合术
'yin'dao'nei'ren'gong'shou'jing'shu 阴道内人工授精术
'yin'dao'niao'dao'lou'xian'xiang 阴道尿道瘘显象
'yin'dao'qian'hou'bi'xiu'bu'shu 阴道前后壁修补术
'yin'dao'shi'jiao'yu'xun'lian 引导式教育训练
'yin'dao'suo'jin'shu 阴道缩紧术
'yin'dao'tian'sai 阴道填塞
'yin'dao'xing'ya'zhou'zu'zhi'zai'sheng'shu 引导性牙周组织再生术
'yin'dao'yi'wu'qu'chu'shu 阴道异物取出术
'yin'dao'zhi'chang'lou'xiu'bu'shu 阴道直肠瘘修补术
'yin'dao'zhong'ge'cheng'xing'shu 阴道中隔成形术
'yin'di'duan'suo'cheng'xing'shu 阴蒂短缩成型术
'yin'di'fei'da'zheng'fu'shu 阴蒂肥大整复术
'yin'duo'bu'fen 吲哚布芬
'yin'duo'jing'lv 吲哚菁绿
'yin'duo'lan 银朵兰
'yin'duo'mei'xin 吲哚美辛
'yin'duo'mei'xin'san'qi'bing'pian 吲哚美辛三七冰片
'yin'duo'mei'xin'shuan 吲哚美辛栓
'yin'gou'ye'liang'ce'ding 龈沟液量测定
'yin'hu'gan'mao'san 银胡感冒散
'yin'hua'gan'mao'ke'li 银花感冒颗粒
'yin'hua'mi'yan'ling 银花泌炎灵
'yin'hua'mi'yan'ling'pian 银花泌炎灵片
'yin'huang'chong'ji 银黄冲剂
'yin'huang'di'wan 银黄滴丸
'yin'huang'fen'san'pian 银黄分散片
'yin'huang'han'hua'pian 银黄含化片
'yin'huang'han'pian 银黄含片
'yin'huang'jiao'nang 银黄胶囊
'yin'huang'ke'li 银黄颗粒
'yin'huang'ke'li'wu'tang'xing 银黄颗粒无糖型
'yin'huang'kou'fu'ye 银黄口服液
'yin'huang'kou'han'pian 银黄口含片
'yin'huang'pian 银黄片
'yin'huang'qing'fei'jiao'nang 银黄清肺胶囊
'yin'huang'ruan'jiao'nang 银黄软胶囊
'yin'huang'wan 银黄丸
'yin'huang'zhu'she'ye 银黄注射液
'yin'ji'mei 蚓激酶
'yin'ji'za'jiao'ji'shu 印迹杂交技术
'yin'jia 银夹
'yin'jian 银尖
'yin'jing'bao'pi'guo'duan'zheng'xing'shu 阴茎包皮过短整形术
'yin'jing'bo'qi'shen'jing'jian'cha 阴茎勃起神经检查
'yin'jing'bu'fen'qie'chu'shu 阴茎部分切除术
'yin'jing'chao'sheng'xue'liu'tu'jian'cha 阴茎超声血流图检查
'yin'jing'chong'jian'cheng'xing'shu 阴茎重建成形术
'yin'jing'dong'mai'ce'ya'shu 阴茎动脉测压术
'yin'jing'hai'mian'ti'fen'li'shu 阴茎海绵体分离术
'yin'jing'hai'mian'ti'guan'liu'zhi'liao'shu 阴茎海绵体灌流治疗术
'yin'jing'hai'mian'ti'nei'yao'wu'zhu'she 阴茎海绵体内药物注射
'yin'jing'hai'mian'ti'zao'ying 阴茎海绵体造影
'yin'jing'ji'xing'zheng'xing'shu 阴茎畸型整形术
'yin'jing'jia'ti'zhi'fang'shu 阴茎假体置放术
'yin'jing'jing'mai'jie'za'shu 阴茎静脉结扎术
'yin'jing'nang'zhong'qie'chu'shu 阴茎囊肿切除术
'yin'jing'quan'qie'shu 阴茎全切术
'yin'jing'wai'shang'qing'chuang'shu 阴茎外伤清创术
'yin'jing'xue'guan'chong'jian'shu 阴茎血管重建术
'yin'jing'yan'chang'shu 阴茎延长术
