'ai'shi'wan'yuan'zhi'gen 爱是万缘之根
'shui'zhi'qing'zhe'chang'wu'yu 水之清者常无鱼
'shui'zhi'zhu'wu'fen 水只注五分
'shun'shi'zi'ran'wu'shi 顺事自然无事
'shuo'lai'sui'shi'yong'shi'fei 说来虽是用时非
'si'cha'yi'wei'ming'zhe 伺察以为明者
'si'chu'shi'er'wu 思出世而无
'si'dan'yue'zhi'ying'qing'yun 似淡月之映轻云
'si'li'xian'tian'jie'di'de'shi'gong 思立掀天揭地的事功
'si'ma'xi'men'gao 驷马喜门高
'si'qian'jun'zhi'nu 似千钧之弩
'si'qing 私情
'si'qiu'yue'zhi'dong'che'qun'pin 似秋月之洞彻群品
'si'ru'shi'er'you'wei'zhe 思入世而有为者
'si'shan'cun'rui'er'reng'ji 似膻存蚋而仍集
'si'shen'hou 思身后
'si'shu'mei'zhi'ying'dan'yue 似疏梅之映淡月
'si'wu'die'yu'fei'hua'gong'shi 似舞蝶与飞花共适
'su'jing'shi'xian'dou 俗境是仙都
'su'liu'zhi'xiong'ci'yi'xian 俗流之胸次亦闲
'su'xi'dui'shan 粟喜堆山
'sui'chu'tang'zhu'ren'shi 遂初堂主人识
'sui'de'hai'shi'shi 虽得还是失
'sui'jiao 虽狡
'sui'jie'chi'wan 虽戒痴顽
'sui'mu'shi'zhi'pian'ku'lu'shi'zhi'wan'chun 虽木石之偏枯鹿豕之顽蠢
'sui'nang'fa'yi'wen 虽囊乏一文
'sui'ren'shi'jian'yi'wei'gao'xia 随人识见以为高下
'sui'she'xu'jiao 虽涉虚骄
'sui'shi'you'wei'wu 遂视有为无
'sui'shi'zai'shi'bai'nian 虽是在世百年
'sui'shi'zhi'nei'shan'jiu'shi 随时之内善救时
'sui'shu'chan'zong 虽属禅宗
'sui'yuan'bian'shi'qian'yuan 随缘便是遣缘
'sui'zai'jie'qing'shan'lv'shu 随在皆青山绿树
'sun'zao'fu 孙造福
'suo'wei'tu'mu'xing'hai'er'yi 所谓土木形骸而已
'suo'wei'yin'qi'shi 所谓因其势
'suo'yi'du'yue'yi'shi 所以度越一世
'suo'yi'er'jian'ji'zhi 所易而渐及之
'suo'yi'fu'lai'bu'bi'xi 所以福来不必喜
'suo'yi'huo'lai'bu'bi'you 所以祸来不必忧
'suo'yi'jun'zi'ning'yi'feng'shuang'zi'xie 所以君子宁以风霜自挟
'suo'yi'zhi'ren'chang'ruo'wu'ruo'xu 所以至人常若无若虚
'ta'hai'ni'yue'da 他害你越大
'ta'ren'zhuo'duo 他人捉掇
'ta'xue'nai'wei'qiao 踏雪耐危桥
'ta'yi'ni'shen 他益你深
'tai'fen'ming'ze'qi'qu'bi'zhi'si 太分明则起趋避之私
'tai'ku'ze'wu'yi'ji'ren'li'wu 太枯则无以济人利物
'tai'ku'ze'wu'yi'shi'xing'yi'qing 太苦则无以适性怡情
'tai'xu'he'chang'yi'hao'zhang'bi 太虚何尝一毫障蔽
'tan'ai'chen'ni 贪爱沉溺
'tan'de'zhe'fen'jin'hen'bu'de'yu 贪得者分金恨不得玉
'tan'fen'hua'er'yan'zhe 谈纷华而厌者
'tan'fu'zheng'yi'wen 贪夫争一文
'tan'jie'shi'kong'cheng'ying'xiong 叹杰士空逞英雄
'tan'le'shi'wei'de'zi'yi 贪了世味的滋益
'tan'que'er'bu'zhi'shen'jing'zai'hou 弹雀而不知深井在后
'tan'sheng'bu'bi'wei'si 贪生不必畏死
'tan'xin'sheng'zhe 贪心胜者
'tan'zhong'zhi'yun'ying 潭中之云影
'tang'lang'zhi'tan 螳螂之贪
'tang'shu'yi'chang 唐鼠易肠
'tang'wu'zheng'zhu'yi'ju'qi 汤武征诛一局棋
'tang'yu'yi'xun'san'bei'jiu 唐虞揖逊三杯酒
'tao'le'ren'shi'de'pian'yi 讨了人事的便宜
'tao'shi'bu'tao'ming 逃世不逃名
'ti'wan'bei'ye 体万倍也
'tian'bao'wo'yi'fu 天薄我以福
'tian'di'ji'wei'qin'zhen 天地即为衾枕
'tian'di'jing'wu 天地景物
'tian'di'shang'wu'ting'xi 天地尚无停息
'tian'di'wan'wei'da'kuai 天地丸为大块
'tian'di'ye'bu'neng'zhuan'dong'wo 天地也不能转动我
'tian'di'you'wan'gu 天地有万古
'tian'di'zhi'qi 天地之气
'tian'di'zhong'wan'wu 天地中万物
'tian'e'wo'yi'yu 天扼我以遇
'tian'guang'chang'yu'shui'xiang'lian 天光常与水相连
'tian'ji'jiu'wu'xin'chu'you'qi'zhong 天即就无心处牖其衷
'tian'ji'jiu'zhu'yi'zhong'duo'qi'hun 天即就著意中夺其魂
'tian'lao'wo'yi'xing 天劳我以形
'tian'li'lu'shang'shen'kuan 天理路上甚宽
'tian'qie'nai'wo'he'zai 天且奈我何哉
'tian'qing'ri'bai 天青日白
'tian'ren'qi'xiang'yuan'zai 天人岂相远哉
'tian'shu'zhan'shi'ji'er'bu'kua'du'xing 恬忄詹适己而不夸独醒
'tian'xia'wu'bu'ru'wo'tao'rong'zhong'yi 天下无不入我陶熔中矣
'tian'xia'zi'wu'que'xian'zhi'shi'jie 天下自无缺陷之世界
'tian'xia'zi'wu'xian'ce'zhi 天下自无险侧之
'tian'yi'wu'suo'yong'qi'ji'liang'yi 天亦无所用其伎俩矣
'tian'yu'fu'ren'bi 天欲福人必
'tian'yu'huo'ren 天欲祸人
'tian'zhi'ji'jian'bu'ce 天之机缄不测
'tian'zi'ying'jia'guo 天子营家国
'tiao'dao'shi'ye'yao'xi'jian 挑到时也要息肩
'tie'zhi 贴之
'ting'jing'ye'zhi'zhong'sheng 听静夜之钟声
'ting'ren'ji'luo 听人羁络
'ting'ren'yan'er'xin'shi'shang'zhi'hu 听人言而信市上之虎
'ting'shu'sheng'niao'yu'you'yang 听数声鸟语悠扬
'ting'wu'chai'shan'zi'xiu'chi 听吾侪善自修持
'tou'chan 头禅
'tou'chi'dao'di 头持到底
'tu'chui'cheng'zhi'gong'zhe 图垂成之功者
'tu'lu'lu'wei'yuan'xia'ju'er'yi 徒碌碌为辕下驹而已
'tu'quan'gong'bi 兔犬共毙
'tu'wei'jiu'zhi'gong 图未就之功
'tu'xun'xun'zuo'shui'zhong'fu'er'yi 徒汛汛作水中凫而已
'tu'yi'wang'zai'hu'shi 兔已亡再呼矢
'tu'ying'san'ku 兔营三窟
'tu'zou'huang'tai 兔走荒台
'tui'bu'ji'jin'bu'de'zhang'ben 退步即进步的张本
'tui'hou'yi'bu'zi'kuan'ping'yi'bu 退后一步自宽平一步
'tun'tu'lu'he 吞吐六合
'wan'de'xin'shang'zhi'ben'lai 完得心上之本来
'wan'jing'yi'zhe'yuan'wu'di 万境一辙原无地
'wan'jing'zhi'chen'yuan'zi'xi 万境之尘缘自息
'wan'ming'mei'jie 完名美节
'wan'nian'zi'ran'yan'leng 万念自然厌冷
'wan'shan'quan'shi 万善全始
'wan'wu'yi'ti'yuan'wu'chu 万物一体原无处
'wan'wu'zao'zhi'er'sheng 万物遭之而生
'wan'wu'zao'zhi'er'si 万物遭之而死
'wang'dui'ren'ze'mian'mu'ke'zeng 亡对人则面目可憎
'wang'gong 王公
'wang'wang'bi'ren'yi'qiu'jing 往往避人以求静
'wang'xin'jin'er'hou'zhen'xin'xian 妄心尽而后真心现
'wang'zhong'jin'shen 望重缙绅
'wei'chao'yu'mu'shang 为巢于幕上
'wei'da'ren'ze'wu'fang'yi'zhi'xin 畏大人则无放逸之心
'wei'dan'zhi'mu'jian'fa'yu'zhong'yao 韦诞之墓见伐于钟繇
'wei'e'er'wei'ren'zhi 为恶而畏人知
'wei'fen'xiao'rang'ye 位分霄壤也
'wei'gong'ze'sheng'ming 惟公则生明
'wei'jian'ze'zu'yong 惟俭则足用
'wei'lian'ze'sheng'wei 惟廉则生威
'wei'liao'seng'jia'shi'su'jia 未了僧家是俗家
'wei'mian'yang'pan'zhi'chi 未免仰攀之耻
'wei'mo'tu'gui'wu'er'xin'ye 维摩屠刽无二心也
'wei'ping'xin'zhe'shi'zhi'duo 惟平心者始知多
'wei'qi'gua'yu'er'yi 惟期寡欲而已
'wei'qi'he'nuan'xin'zhi'ren 惟气和暖心之人
'wei'qi'zi'shang 惟期自尚
'wei'qu'li 为曲礼
'wei'ren'duo'bing'wei'zu'xiu 为人多病未足羞
'wei'shan'er'ji'ren'zhi 为善而急人知
'wei'shan'er'yu'zi'gao'sheng'ren 为善而欲自高胜人
'wei'shao'shi'zhe'fang'zhi'shao'shi'zhi'wei'fu 惟少事者方知少事之为福
'wei'sheng'min'li'ming 为生民立命
'wei'sheng'wen'er'zhao'ji'zhuang 为声闻而招击撞
'wei'shi'ping'qing'er'yi 惟事平情而已
'wei'shu'chang'liu'fan 为鼠常留饭
'wei'shu'ze'ping'qing 惟恕则平情
'wei'wen'yi'ri'qing'xian 未闻一日清闲
'wei'xiao'min'ze'wu'hao'heng'zhi'ming 畏小民则无豪横之名
'wei'xing 猬兴
'wei'xue'wu'shen'zeng'yi'de'gong'fu 为学无甚增益的工夫
'wei'yi'zi'yan'er'kuan 威宜自严而宽
'wei'ying'wei'quan 为鹰为犬
'wei'you'gen'bu'zhi'er'zhi 未有根不植而枝
'wei'you'ji'bu'gu'er'dong'yu'jian'jiu'zhe 未有基不固而栋宇坚久者
'wei'zhi'ce'bao'guo'jia 位之策保国家
'wei'zhi'zheng 违之正
'wei'zi 为子
'wen'bu'ya'xun 文不雅驯
'wen'shi'fei'he'chu'an'jiao 问是非何处安脚
'wen'shi'qing'ru'he'fa'fu 问世情如何发付
'wen'yi'shan'yan 闻一善言
'wen'zhang'gao'bai'xue 文章高白雪
'wen'zhang'zuo'dao'ji'chu 文章做到极处
'wen'zi'sun'zhi'fu'zhi 问子孙之福祉
'wen'zu'zong'zhi'de'ze 问祖宗之德泽
'wo'bu'jing'jin 我不兢进
'wo'bu'xi'rong 我不希荣
'wo'guo'bu'tan 我果不贪
'wo'guo'bu'zheng 我果不争
'wo'guo'wei'hong'lu'da'ye 我果为洪炉大冶
'wo'guo'wei'ju'hai'chang'jiang 我果为巨海长江
'wo'niu'jiao'shang 蜗牛角上
'wo'you'gong'yu'ren'bu'ke'nian 我有功于人不可念
'wo'zhu'le'hai'dang'fang'shou 握住了还当放手
'wu'cao'qie'yi'yi'qi'wan 毋操切以益其顽
'wu'dan'chu'nan 毋惮初难
'wu'dan'qi'nan 毋惮其难
'wu'fei'da'hai'fu'ou 无非大海浮沤
'wu'fei'jian'dao'zhi'wen 无非见道之文
'wu'fei'kang'ji'shen'xin 无非康济身心
'wu'fei'ke'qi'xiang'fu'de 无非客气降伏得
'wu'fen'bian'wu'hui 五分便无悔
'wu'fen'bian'wu'yang 五分便无殃
'wu'gao'mang'quan'shi'zhi'pi 无膏盲泉石之癖
'wu'guo'bian'shi'gong 无过便是功
'wu'heng'wu'dao'yi'tong'zhi 吾亨吾道以通之
'wu'hou'wu'de'yi'ya'zhi 吾厚吾德以迓之
'wu'jia'rang'san'fen'zhi'gong 务加让三分之功
'wu'jie'gong'lun'yi'kuai 毋借公论以快
'wu'jie'wu'yi'ti 物皆吾一体
'wu'lao'duo'mai'yan'zhi 无劳多买胭脂
'wu'le'le'xin 无了了心
'wu'le'qi'bian'er'gu'wei'ran'zhi 毋乐其便而姑为染指
'wu'lei'bian'zhen'sheng'jing 物累便臻圣境
'wu'lun'fu'mu'xiong'di 无论父母兄弟
'wu'lun'gong'ming'fu'gui 无论功名富贵
'wu'mo'da'yu'tian'di'ri'yue 物莫大于天地日月
'wu'nai'bu 毋乃不
'wu'ni'ren'zhi'zha 毋逆人之诈
'wu'pian'xin'er'wei'jian'suo'qi 毋偏信而为奸所欺
'wu'po'lin'shi'zhi'chi'mi 悟破临事之痴迷
'wu'qiang'kai'qi'suo'bi 毋强开其所闭
'wu'qing'jiao'qi'suo'nan 毋轻矫其所难
'wu'qu'wan'gu'zhi'qi'liang 毋取万古之凄凉
'wu'ren'ji'yi'er'fei'ren'yan 毋任己意而废人言
'wu'ren'shi'shi'yi'ci'jing'xiang'zhu'zhi'xin'mu 吾人时时以此景象注之心目
'wu'ren'shi'zhi'yu'hua'liu'lan'man'zhi'shi 吾人适志于花柳烂漫之时
'wu'rong'yi'zhen'zhi'xia'lou 勿容一针之罅漏
'wu'ru'chu'jin'shi'chan'ji 悟入处尽是禅机
'wu'ru'cun'xin'yi'sun 无如寸心挹损
'wu'ru'hao'shu'liang'you 无如好书良友
'wu'ru'wu'huai'jing'jie 悟入无坏境界
'wu'shan'er'zhi'ren'yu 无善而致人誉
'wu'shang'chong'ya 无伤冲雅
'wu'shao'sui'er'jin'xing'shan'zhi'dang 毋少随而近腥膻之党
'wu'shen'suo'xiang'zhe 吾身所享者
'wu'shen'suo'yi'zhe 吾身所贻者
'wu'shi'bian'si'you'xian'za'nian'xiang'fou 无事便思有闲杂念想否
'wu'shi'chang'ru'you'shi'shi 无事常如有事时
'wu'shi'jiu'an 毋恃久安
'wu'si'bu'hui'er'shang'da'ti 毋私不惠而伤大体
'wu'wei'yu'niao'qin'ren 毋为鱼鸟亲人
'wu'xi'kuai'xin 毋喜快心
'wu'yi 毋以
'wu'yi'ji'zhi'chang'er'xing'ren'zhi'duan 毋以己之长而形人之短
'wu'yi'wu'xin'yi'bu'zhi 吾逸吾心以补之
'wu'yi'xiao'ren'zhi'si'e 无异小人之肆恶
'wu'yin'ji'zhi 毋因己之
'wu'yin'qun'yi'er'zu'du'jian 毋因群疑而阻独见
'wu'you'fu'yi 毋忧拂意
'wu'you'ta'qi 无有他奇
'wu'you'ta'yi 无有他异
'wu'yuan'bian'shi'de 无怨便是德
'wu'yuan'ji'ze'chu'wu'you'ai 无圆机则触物有碍
'wu'zao'ji'yi'su'qi'fen 毋躁急以速其忿
'wu'ze'ku'hai'wei'yue'jing 悟则苦海为乐境
'wu'zhen'zai'ze'yu'shi'bian'dao 无真宰则遇事便倒
'wu'zi'ren'er'wei'qi'suo'shi 毋自任而为气所使
'xi'bai'shen'san'de'zhi'mei 悉败身散德之媒
'xi'he'yi'tian 溪壑易填
'xi'ji'yan'xuan'zhe 喜寂厌喧者
'xi'nu'qing 喜怒轻
'xi'qian'bai'shi'zhi'rong 希千百事之荣
'xi'ri'suo'yun'wo 昔日所云我
'xi'shu'jiu'shi 悉属旧时
'xi'yong'fei'hua'luo'xu 席拥飞花落絮
'xi'zai 惜哉
'xia'juan'qu'jiao'yi 下绢去纟矣
'xian'bu'ri'zuo'fan'nao'zhang'zhong'yi 鲜不日坐烦恼障中矣
'xian'bu'yi'du'shi'wei'gan'yi'er'zong'ran'zhi'zhi'yu 鲜不以毒螫为甘饴而纵染指之欲
'xian'bu'yi'ming'zhu'wei'guai'wu'er'qi'an'jian'zhi'xin 鲜不以明珠为怪物而起按剑之心
'xian'chen'bu'ran 纤尘不染
'xian'da'xiao'tan'guan 先达笑弹冠
'xian'guan'pu'zhi'ying 闲观扑纸蝇
'xian'guan'qu 闲观去
'xian'kan'ting'qian'hua'kai'hua'luo 闲看庭前花开花落
'xian'kuan'hou'yan'zhe'ren'yuan'qi'ku 先宽后严者人怨其酷
'xian'nong'hou'dan'zhe'ren'wang'qi'hui 先浓后淡者人忘其惠
'xian'peng'shan'ming'ting'ping'sheng 闲烹山茗听瓶声
'xian'qian 现前
'xian'ren'zhu'yi'bi'huo 险人著意避祸
'xian'shi 闲适
'xian'wu'de'zui'yu'ming'ming 先无得罪于冥冥
'xian'yi'wei'huo'jing'zhi 先以微祸儆之
'xian'yu'gong'shou'qi'yi 贤愚共受其益
'xian'yu'xin'tai'ming 贤愚心太明
'xian'zhong'bu'fang'guo 闲中不放过
'xian'zhong'wan'wu'qing 闲中玩物情
'xian'zhong'yan'ji'tan'yuan 闲中演偈谈元
'xiang'dao'bai'gu'huang'quan 想到白骨黄泉
'xiang'han'wei'lu'shang'yong'yi'dian'chi're'xin'chang 向寒微路上用一点赤热心肠
'xiang'mang'li'tou'xian 向忙里偷闲
'xiang'min'wu'he'ping'zhi'fu 享民物和平之福
'xiang'qu'xiao'rang'yi 相去霄壤矣
'xiang'san'shi'yin'shi'zhong'an 向三时饮食中谙
'xiang'sheng'xi'wei'dan'zhi'zhong 向声希味淡之中
'xiang'xian'chu'kan'ren'mang 向闲处看人忙
'xiang'zhi'you'an'jian 相知犹按剑
'xiao'chi'ren'zi'sheng'zhang'ai 笑痴人自生障碍
'xiao'chu'bu'shen'lou 小处不渗漏
'xiao'de'jia'ting'nei'xian'xue 消得家庭内嫌雪
'xiao'gao'mi'gu'er'bu'zhi 销膏靡骨而不知
'xiao'min'yi'bu'ke'bu'wei 小民亦不可不畏
'xiao'que'xin'zhong'bi'lin 消却心中鄙吝
'xiao'ren'hao'ming 小人好名
'xiao'ren'hua'ru'zhi'gao 小人滑如脂膏
'xiao'ren'zi'you'dui'tou 小人自有对头
'xiao'shi'bi'meng'long 小事必朦胧
'xiao'shi'bi'si'cha 小事必伺察
'xiao'shi'bi'zong'chi 小事必纵弛
'xiao'xi 消息
'xiao'yan'chou'yu'hao'duan 效妍丑于毫端
'xie'bao'fu'mian 谢豹覆面
'xie'mo'bian'wei'zhi'zhen'jun'zi'yi 邪魔便为知真君子矣
'xie'shi'dang'xie'yu'zheng'sheng'zhi'shi 谢事当谢于正盛之时
'xie'yu'shui'tong'yuan 偕盂水同圆
'xin'bu'ke'fang 心不可放
'xin'di'chen'mi 心地沉迷
'xin'di'gan'jing 心地干净
'xin'di'shang'wu'feng'tao 心地上无风涛
'xin'fu'ze'qun'mo'tui'ting 心伏则群魔退听
'xin'ke'wang'dong 心可妄动
'xin'le'ze'tu'si'zao'kang'ju'ran'jing'tu 心了则屠肆糟糠居然净土
'xin'qi'yao'he'yi 心气要和易
'xin'ran'yi 信然矣
'xin'shao'dai'huang 心稍怠荒
'xin'shen'hun'xiao'gu'er 心神混淆故耳
'xin'shi'yi'ke'ming'zhu 心是一颗明珠
'xin'si'yao'zhen'jian 心思要缜缄
'xin'ti'cheng'che 心体澄彻
'xin'ti'guang'ming 心体光明
'xin'xin'zhe 欣欣者
'xin'you'si'qian 心有丝牵
'xin'yu'jing'liang'wang'yi 心与境两忘矣
'xin'yu'zhu'ju'kong 心与竹俱空
'xin'zai 信哉
'xin'zhe'xiu'yi'zhi'gen 心者修裔之根
'xin'zhe'yu'jing 心着于静
'xin'zhi'wei'huo 心之为祸
'xin'zhong'chang'you'fu'xin'zhi'shi 心中常有拂心之事
'xing'bu'qu 行不去
'xing'cang 行藏
'xing'chu'shi'shi'guan'miao'dao 行处时时观妙道
'xing'de'qu 行得去
'xing'hai'tu'ju 形骸徒具
'xing'lai'zui'dao'luo'hua'qian 兴来醉倒落花前
'xing'ming'de'wo'yao'ren 性命的我要认
'xing'sheng'qi'jian'zhe 幸生其间者
'xing'tian'cheng'che 性天澄彻
'xing'tian'zhong'you'hua'yu 性天中有化育
'xing'yu'yin'yong'feng'ya 兴于吟咏风雅
'xing'zhi'zai'wo 行止在我
'xiong'zhong'di'qu'shu'dou'chen 胸中涤去数斗尘
'xiong'zhong'zi'wu'huo'yan'bing'jing 胸中自无火焰冰竞
'xiu'chi'wu'jian'fen'zhong 修持毋减分中
'xiu'qi'lang 休起浪
'xiu'qing'ce'yi'bian 休轻策一鞭
'xiu'shen 修身
'xiu'xiang'hou'men'qing'ye'ju 休向侯门轻曳裾
'xiu'xiang'jun'zi'chan'mei 休向君子谄媚
'xiu'ye'er'yu'jing'shi'hai'su 修业而欲惊世骇俗
'xiu'yu'xiao'ren'chou'chou 休与小人仇雠
'xiu'zheng'jing'fu 休徵景福
'xiu'zhi'dang'ru'ling'yun'bao'shu 修之当如凌云宝树
'xu'cong'mu'luo'cao'ku'zhi'hou 须从木落草枯之后
'xu'cong'nong'yan'chang'zhong'shi'lai 须从浓艳场中试来
'xu'da'shi'jie 许大世界
'xu'fang'yi'ren'zhe'nao 须防一人着脑
'xu'fang'yi'shi'bu'zhong 须防一事不终
'xu'jia'zhong'mu'yi'cheng'chi 须假众木以撑持
'xu'nian'jing'jing'kong 须念净境空
'xu'nian'shuai'lao'de'xin'suan 须念衰老的辛酸
'xu'sao'chu'nong'dan 须扫除浓淡
'xu'sheng'zhi'xiu 虚生之羞
'xu'shi'cao'cun'han'yang 须是操存涵养
'xu'shi'da'huo'liu'jin'er'qing'feng'mu'ran 须是大火流金而清风穆然
'xu'shi'di'jin'zha'zi 须是涤尽渣滓
'xu'xian'an'jin'shi'zhong'zi'wei 须先谙尽世中滋味
'xu'xian'ling'de'shi'wai'feng'guang 须先领得世外风光
'xu'xiang'bo'bing'shang 须向薄冰上
'xu'xiang'chang'shi'nian'nian'shou'de'ding 须向常时念念守得定
'xu'xiang'sheng'shi'shi'shi'kan 须向生时事事看
'xu'yao'huai'lang'miao'de'jing'lun 须要怀廊庙的经纶
'xu'yao'ren'wo'lu'chui 须要任我炉锤
'xu'ze'yi'li'lai'ju 虚则义理来居
'xu'zhi'fu'zhi'you'yin 须知福至有因
'xu'zhi'tui'yi'bu'zhi'fa 须知退一步之法
'xuan'jin'pei'yu 悬金佩玉
'xuan'qian'zhuan'kun'de'jing'lun 旋乾转坤的经纶
'xue'dao'zhe'xu'yao'nu'suo 学道者须要努索
'xue'fen'bu'ruo'ren'chi'wei'gao 雪忿不若忍耻为高
'xue'shi 学识
'xue'shi'yi'ge'xun'chang'de'jia'fan 学是一个寻常的家饭
'xue'ye'ting'ji'ming 雪夜听鸡鸣
'xue'zhe'bu'ke'bu'li'wei'sao'chu'ye 学者不可不力为扫除也
'xue'zhe'dong'jing'shu'cao'xuan'ji'yi'qu 学者动静殊操喧寂异趣
'xue'zhe'xu'sao'chu'wai'wu'zhi'mi'ben'lai 学者须扫除外物直觅本来
'xue'zhe'yao'shou'shi'jing'shen'bing'gui'yi'chu 学者要收拾精神并归一处
'xue'zhe'yao'tian'ji'qing'che'xiong 学者要天机清彻胸
'xue'zhe'you'duan'jing'ye'de'xin'si 学者有段兢业的心思
'xun'su'shi'ku 徇俗是苦
'xun'zheng'zhu 逊征诛
'yan'chou'he'cun 妍丑何存
'yan'cu'you'yu'yi'nian 延促由于一念
'yan'dai'yong'zhong'zhi'ren'yi'kuan'yan'hu'cun 严待庸众之人宜宽严互存
'yan'du'han'tan 雁度寒潭
'yan'jian'han'song'zong'lao 偃蹇寒松纵老
'yan'kan'xi'jin'zhi'jing'zhen 眼看西晋之荆榛
'yan'liang'zhi'tai 炎凉之态
'yan'mi'shuai'cao 烟迷衰草
'yan'qian'shi'you'yue'dao'feng'lai 眼前时有月到风来
'yan'qu'er'tan'bu'liu'ying 雁去而潭不留影
'yan'ru'he'xu'qiu'rong 厌辱何须求荣
'yan'shuang'sha'wu'er'he'qi'ai'ran 严霜杀物而和气蔼然
'yan'yan'ku'si 言言酷似
'yang'di'zi'ru'yang'gui'nv 养弟子如养闺女
'yang'xi'shen'yi'wei'zhao'fu'zhi'ben 养喜神以为招福之本
'yang'xiu'zhi'qu'jian'sha'yu'cao'cao 杨修之躯见杀于曹操
'yao'bao'rong'de 要包容的
'yao'duan'yun'shui'de 要段云水的
'yao'fang'ta'yi'tiao'qu'lu 要放他一条去路
'yao'fu'zhi 尧夫支
'yao'ge'mu'shi'de'nian'tou 要个木石的念头
'yao'guan'qi'mo'lu 要观其末路
'yao'kan'ta'hui'jiu 要看他会救
'yao'kan'ta'hui'shou 要看他会受
'yao'li'sao'chu 要力扫除
'yao'qian'bai'ren'zhi'huan 邀千百人之欢
'yao'qu'wei'mi'feng 要曲为弥缝
'yao'shan'wei'hua'hui 要善为化诲
'yao'si'qi'kan'shou 要思其堪受
'yao'yi'shi'qu'wei'xian 要以识趣为先
'yao'you'heng'jiu'zhi'cao 要有恒久之操
'yao'yu'bu'ru'tao'ming'zhi'wei'shi 要誉不如逃名之为适
'yao'zhi'fang'xia 要知放下
'yao'zhi'pin'jian'de'tong'yang 要知贫贱的痛痒
'yao'zhi'ti'xing 要知提醒
'ye'jing'tian'gao 夜静天高
'ye'mian'ba'chi 夜眠八尺
'ye'rong'mao'zhe 叶荣茂者
'ye'se'geng'wu 野色更无
'ye'shen'ren'jing'du'zuo'guan'xin 夜深人静独坐观心
'yi'a'quan'shi'zhe 依阿权势者
'yi'ai'qi'zi'zhi'xin'ai'fu'mu 以爱妻子之心爱父母
'yi'bao'jue 以保爵
'yi'bao'qi'chen 异宝奇琛
'yi'bi'gu'han'zhi'shi 以庇孤寒之士
'yi'bo'ze'zhi 宜蕃择之
'yi'bu'bi'you'cha'yuan'xi'gou'zhi'jing'ming 亦不必有察渊洗垢之精明
'yi'bu'ke'bu'huai'xu'sheng'zhi'you 亦不可不怀虚生之忧
'yi'bu'ke'tai'lu'qi'feng'mang 亦不可太露其锋芒
'yi'bu'li'fang'ming 亦不立芳名
'yi'bu'shou'zao'hua'zhi'tao'zhu 亦不受造化之陶铸
'yi'bu'yi'tai'ku'ji 亦不宜太枯寂
'yi'cai'ming'guan'shi'jian'sha 以才名冠世见杀
'yi'chang'xian'fu'gui 一场闲富贵
'yi'cheng'wu'jing'ti 以澄吾静体
'yi'cheng'xin'gan'dong'zhi 以诚心感动之
'yi'cong'rong'bu'yi'ji'lie 宜从容不宜激烈
'yi'dang'shi'zhi'tian'yu 亦当适志恬愉
'yi'dao'yan'guan 以道眼观
'yi'dian'bu'ren'de'nian'tou 一点不忍的念头
'yi'duan'bu'wei'de'qi'jie 一段不为的气节
'yi'er'shen'shen'er'yi 抑而伸伸而抑
'yi'fan'shou'ze'yi'xiu'wan'shi 一犯手则遗羞万世
'yi'fan'yu'yi'fan'feng 一番雨一番风
'yi'gao'cai'er'wan'shi 倚高才而玩世
'yi'ge'qing'ming'zai'qian'kun 遗个清名在乾坤
'yi'hao'bian'sheng'chan'fu 一毫便生缠缚
'yi'hao'bu'luo'shi'qing'ke'jiu 一毫不落世情窠臼
'yi'hao'bu'shou 一毫不受
'yi'he'qi'xun'zheng'zhi 以和气熏蒸之
'yi'huan'ji'yan 以幻迹言
'yi'hui'xin 以灰心
'yi'ji'huo'cai'zhi'xin'ji'xue'wen 以积货财之心积学问
'yi'ji'ji'e'zhi'ren 以济饥饿之人
'yi'ji'yong'bu'yi'shen 以迹用不以神
'yi'jiao'bian'zhuan 一觉便转
'yi'jiu'shi'ying'bian'yi'quan'yi'fa'ye 亦救时应变一权宜法也
'yi'ju'qi'shi 宜居其实
'yi'jue'ji'chen'xiao 宜绝迹尘嚣
'yi'kai'qie'bu'yi'you'you 宜剀切不宜优游
'yi'ke'gu'chang'tian'ji 亦可鼓畅天机
'yi'ke'jing'ti'duo'qi 亦可儆惕惰气
'yi'ke'tuo'shi'jian'zhi'jiang'suo 亦可脱世间之缰锁
'yi'ke'xiao'huan'ye'er'chang'dao'xin 亦可消幻业而长道心
'yi'ke'yi'yuan'hai 亦可以远害
'yi'ku'yi'le'xiang'mo'lian 一苦一乐相磨练
'yi'ku'zhi'gao'mu'yi 已枯之槁木矣
'yi'kuan'zhe'dou'shi'guang'yu'liang 意宽者斗室广于两
'yi'lai'tan'fu'zhi'ce'mu 以来贪夫之侧目
'yi'leng'qing'dang'zhi 以冷情当之
'yi'leng'yan'shi'zhi 以冷眼视之
'yi'lu'ji'zhi'chang'ye 以露己之长也
'yi'lun'zhi'xin'yue'du'ming 一轮之心月独明
'yi'lv'yi'si'wu'rong'tan'mao 一缕一丝勿容贪冒
'yi'mi'ji'zhi'mei'ye 以秘己之美也
'yi'ming'yi'qi'jie'ji'li'zhi 以名义气节激励之
'yi'mou'bu'cheng 一谋不成
'yi'nai'zi'ji'you'yi'wei 一耐字极有意味
'yi'nian'chang'xing 一念常惺
'yi'nian'ci'xiang 一念慈祥
'yi'nian'cuo 一念错
'yi'nian'guo'cha 一念过差
'yi'nian'jing'jue 一念惊觉
