'ai'feng'ren'zhi'zi'ye 艾封人之子也
'you'shu'cun'hu'qi'jian 有数存乎其间
'you'shu'ren'jian 有庶人剑
'you'shuo'ze'ke 有说则可
'you'su'zhi'suo'da'ku'ye 又俗之所大苦也
'you'sun'xiu'zhe 有孙休者
'you'suo'chu'er'wu'qiao'zhe'you'shi 有所出而无窍者有实
'you'suo'wei'wo'zhe 有所谓蜗者
'you'suo'zheng'zhe'you'suo'cha 有所正者有所差
'you'tang'lang'zhi'nu'bi'yi'dang'che'yi 犹螳螂之怒臂以当车轶
'you'tian 有天
'you'tian'dao 有天道
'you'tian'zi'jian 有天子剑
'you'tu'zhe'zhi'bu'zhi'ye 有土者之不知也
'you'tu'zhi'jun'yu 有土之君与
'you'wai'ru'zhe 由外入者
'you'wan'bu'tong'zhi'wei'fu 有万不同之谓富
'you'wei'er'lei'zhe 有为而累者
'you'wei'shi'you'fu'wei'shi'you'shi'ye'zhe 有未始有夫未始有始也者
'you'wei'shi'you'fu'wei'shi'you'wu'ye'zhe 有未始有夫未始有无也者
'you'wei'shi'you'shi'ye'zhe 有未始有始也者
'you'wei'shi'you'wu'ye'zhe 有未始有无也者
'you'wei'wu'wei 有谓无谓
'you'wei'ye 有为也
'you'wei'ye 犹未也
'you'wei'ye'yu'dang 有为也欲当
'you'wei'ze'kui 有为则亏
'you'wen'dao'er'ying'zhi'zhe 有问道而应之者
'you'wen'er'ying'zhi 有问而应之
'you'wen'hu'wu'wei 又问乎无为
'you'wen'yue 又问曰
'you'wen'zhou'zhi'zheng'cang'shi'you'lao'dan'zhe 由闻周之征藏史有老聃者
'you'wu'cai'zhi 有物采之
'you'wu'xue'yi'fu'bu'qian'xing'zhi'e 犹务学以复补前行之恶
'you'wu'ye'zhe 有无也者
'you'xi'jie'jie'ran'ruo'fu'jian'gu'er'qiu'wang'zi'zhe'xie 又奚杰杰然若负建鼓而求亡子者邪
'you'xi'shi'yan 又奚事焉
'you'xi'yi'zi'duo 又奚以自多
'you'xi'zu'yi'yu'zhi'dao 又奚足以语至道
'you'xi'zui'yan 又奚罪焉
'you'xia 右下
'you'xian'tian'de'sheng'zhe'wu'xie 有先天地生者物邪
'you'xiang'ren'ye 犹象人也
'you'xiao'ren'yan 有小人焉
'you'xiao'shi'xiao'mu'zhi'zai'da'shan'ye 犹小石小木之在大山也
'you'xie'yu'ci 有械于此
'you'xin'er'wei'zhi 有心而为之
'you'xin'yu'jian'bai'tong'yi'zhi'jian 游心于坚白同异之间
'you'xing'you'ming 有形有名
'you'xing'zhe'yu'wu'xing'wu'zhuang'er'jie'cun'zhe'jin'wu 有形者与无形无状而皆存者尽无
'you'xu'chuan'lai'chu'zhou 有虚船来触舟
'you'yi 有异
'you'yi'e'hai'tian'xia 又以恶骇天下
'you'yi'er'wei'xing 有一而未形
'you'yi'huo'ye 又一惑也
'you'yi'ju'yan 有一狙焉
'you'yi'lei'yi 有遗类矣
'you'yi'ren'zai'qi'shang 有一人在其上
'you'yi'shi'hou'zhi'zhe 有一史后至者
'you'yi'wei'wei'shi'you'wu'zhe 有以为未始有物者
'you'yi'wen'ren'zhi'guo 又一闻人之过
'you'yi'xiang'ying'ye 有以相应也
'you'yi'yan 有一焉
'you'ying'xiang'jing 犹应向景
'you'you 犹有
'you'you'jiang'shan 又有江山
'you'you'suo'dai'zhe'ye 犹有所待者也
'you'you'suo'xun 犹有所循
'you'you'wei'shu'ye 犹有未树也
'you'you'ye'zhe 有有也者
'you'you'zun'zu'zhe'cun 犹有尊足者存
'you'yu'ci 由与赐
'you'yu'fu'zhe 有渔父者
'you'yu'gu'ci'zhi 有余故辞之
'you'yu'he'tang'tong'xi'er'zuo 又与合堂同席而坐
'you'yu'li'lin'er'wang'zhen 游于栗林而忘真
'you'yu'shi'bu'ji'tai'shi 有虞氏不及泰氏
'you'yu'shi'qi'you'cang'ren'yi'yao'ren 有虞氏其犹藏仁以要人
'you'yu'shi'si'sheng'bu'ru'yu'xin 有虞氏死生不入于心
'you'yu'shi'zhi'gong 有虞氏之宫
'you'yu'shi'zhi'yao'yang'ye 有虞氏之药疡也
'you'yu'tian'di 游于天地
'you'yu'wei'hai'zhe 有余为害者
'you'yu'yan 有鱼焉
'you'yu'yao'zheng'shan 犹与尧争善
'you'yu'yi'qi'ru'xing'man'wo 又欲以其辱行漫我
'you'yu'yi'zhi'gou'zhong 游于羿之彀中
'you'yu'zhi'jian'hu'zi 又与之见壶子
'you'zhang'yi'zhe 有张毅者
'you'zhe'yang'zhang 游者鞅掌
'you'zheng'er'bu'ju 有正而不距
'you'zhi'chang'ran 犹之畅然
'you'zhi'da'wei'zhi'suo'cun 又知大隗之所存
'you'zhi'jing 鼬之径
'you'zhi'ke'ye 犹之可也
'you'zhi'kui'ran 犹之魁然
'you'zhi'tan'lu 游之坛陆
'you'zhi'tian'xia'zhe'zai 有治天下者哉
'you'zhi'ye'zhe 宥之也者
'you'zhi'zai'ren 有治在人
'you'zhong 右中
'you'zhong'chu'zhe 由中出者
'you'zhong'dao'er'hu'zhe 有中道而呼者
'you'zhu'er'bu'zhi 有主而不执
'you'zhu'hou'jian 有诸侯剑
'you'zi'ye'er'bu'ke 有自也而不可
'you'zi'ye'er'bu'ran 有自也而不然
'you'zi'ye'er'ke 有自也而可
'you'zi'ye'er'ran 有自也而然
'you'zu'yi'yang'qi'shen 犹足以养其身
'you'zu'you'zu 有族有祖
'you'zuo'you'you 有左有右
'yu'bi'bai'hua 与彼百化
'yu'bi'er'bu'liu 郁闭而不流
'yu'bie'bu'yan'shen 鱼鳖不厌深
'yu'bu'ke'tuo'yu'yuan 鱼不可脱于渊
'yu'bu'wei'wang'er'wei'ti'hu 鱼不畏网而畏鹈鹕
'yu'chang'wei'nv'wang'yan'zhi 予尝为女妄言之
'yu'chang'yan'bu'si'zhi'dao 予尝言不死之道
'yu'chi'you'zhan'yu'zhuo'lu'zhi'ye 与蚩由战于涿鹿之野
'yu'chu'shui'er'sheng 鱼处水而生
'yu'chu'you'cong'rong 鱼出游从容
'yu'ci'hu'yan'zhi 于此乎言之
'yu'ci'yan'yi 于此言已
'yu'da'bu'zhong 于大不终
'yu'da'gong 语大功
'yu'dai'zi'xiang 欲代子相
'yu'dao'cen'ci 与道参差
'yu'dao'da'jian 与道大蹇
'yu'dao'er'fei'qi'dao'zhe 语道而非其道者
'yu'dao'er'fei'qi'xu'zhe 语道而非其序者
'yu'dao'pai'huai 与道徘徊
'yu'dao'xiang'fu'er'xing 与道相辅而行
'yu'di'wang'zhi'de 于帝王之德
'yu'dong'wu'ji'xie'er'xing 予动吾脊胁而行
'yu'e'hu'zhi'e'si'zhi'fei'ruo'sang'er'bu'zhi'gui'zhe'xie 予恶乎知恶死之非弱丧而不知归者邪
'yu'e'hu'zhi'fu'si'zhe'bu'hui'qi'shi'zhi'qi'sheng'hu 予恶乎知夫死者不悔其始之蕲生乎
'yu'e'hu'zhi'shuo'sheng'zhi'fei'huo'xie 予恶乎知说生之非惑邪
'yu'e'qu'jiu 欲恶去就
'yu'e'zhi'nie'wei'xing 欲恶之孽为性
'yu'er'bu'qiu'qi'bao 与而不求其报
'yu'er'zheng'yu'zang'zhang'ren 寓而政于臧丈人
'yu'fang'jiang'yu'zao'wu'zhe'wei'ren 予方将与造物者为人
'yu'fei'long 御飞龙
'yu'fu'gui'gen 欲复归根
'yu'fu'mo 鱼傅沫
'yu'fu'ren'zhi'wei'tu 与夫人之为徒
'yu'fu'zhi'yong'ye 渔父之勇也
'yu'fu'zi'wei'wu 与夫子为五
'yu'gao'ruo 予告若
'yu'gong'you'hu 禹攻有扈
'yu'gu'dao 愚故道
'yu'gu'wei'tu 与古为徒
'yu'gu'xie'chu 与汩偕出
'yu'gua'ren'chu 与寡人处
'yu'guo'huan'hu 予果欢乎
'yu'he'de 渔何得
'yu'he'e 予何恶
'yu'hu'mou'bao'hun'dun'zhi'de 与忽谋报浑沌之德
'yu'hu'qi'gu'er'bu'jian'ye 与乎其觚而不坚也
'yu'hu'shi'xiang'yu'yu'yu'hun'dun'zhi'di 与忽时相与遇于浑沌之地
'yu'hu'zhi'wo'de'ye 与乎止我德也
'yu'ji'tong'ze'ying 与己同则应
'yu'jian'xian'sheng'jiu'yi 欲见先生久矣
'yu'jian'zhi'shen'ru 鱼见之深入
'yu'jie'wei'gou 与接为构
'yu'jing'ze'ping'qi 欲静则平气
'yu'jue'wang'zhi'xi'hao'ye 欲绝王之喜好也
'yu'kou'fu'di 御寇伏地
'yu'kou'zhang'er'bu'neng 予口张而不能
'yu'kui'hu'dao'de 余愧乎道德
'yu'lai'nian'bian'qi 予来年变齐
'yu'li'yu'yu'zhou'zhi'zhong 余立于宇宙之中
'yu'liang'zhong'you'wang 于梁中有王
'yu'luan'shi'bu'wei'gou'cun 遇乱世不为苟存
'yu'ma'zhi'shi 舆马之饰
'yu'mao'zhi'rong 羽旄之容
'yu'meng'yue 与盟曰
'yu'mi'lu'gong'chu 与麋鹿共处
'yu'neng'yan'zhe'chu'ye 与能言者处也
'yu'neng'you'wu'yi 予能有无矣
'yu'nian'yun'er'wang'yi 予年运而往矣
'yu'ou'wen'zhi'xuan'ming 于讴闻之玄冥
'yu'peng'peng'ran'qi'yu'bei'hai'er'ru'yu'nan'hai'ye 予蓬蓬然起于北海而入于南海也
'yu'pian'ku 禹偏枯
'yu'qi'ju'ru 与齐俱入
'yu'qi'yu'yao'er'fei'jie 与其誉尧而非桀
'yu'qi'yu'yao'er'fei'jie'ye 与其誉尧而非桀也
'yu'qiang'dei'zhi 禺强得之
'yu'qie'chao 余且朝
'yu'qiu'qi'xing'hu 于丘其幸乎
'yu'qu'jiu'xia'feng 禹趋就下风
'yu'ren'bing'li'er'shi'ren'hua 与人并立而使人化
'yu'ren'he'zhe 与人和者
'yu'ren'he'zhe'ye 与人和者也
'yu'ren'ju 与人居
'yu'ren'yi 俞仁义
'yu'ren'yi'zhong'xin 语仁义忠信
'yu'ren'you'zhi'bing'zhe 与人有痔病者
'yu'ren'zhi'fu'ju'er'sha'qi'zi 与人之父居而杀其子
'yu'ren'zhi'lun'zhe 于人之论者
'yu'ren'zhi'wei'tu'ye 与人之为徒也
'yu'ren'zhi'xiong'ju'er'sha'qi'di 与人之兄居而杀其弟
'yu'ren'zhu'er'sui'zhi 虞人逐而谇之
'yu'ri'wu'shi 与日无始
'yu'shao'er'zi'you'yu'liu'zhi'nei 予少而自游于六之内
'yu'shen'wei'yi 与神为一
'yu'shen'ze'shun'xin 欲神则顺心
'yu'shi 于是
'yu'shi'ai'gong'hao'zhi'wu'ri 于是哀公号之五日
'yu'shi'chi'de'fu'shu 于是鸱得腐鼠
'yu'shi'dan'er'shu'zhi'dai'fu'yue 于是旦而属之大夫曰
'yu'shi'fu'fu'qi'dai 于是夫负妻戴
'yu'shi'hu'jin'ju'zhi'yan 于是乎斤锯制焉
'yu'shi'hu'shi'xiu 于是乎始修
'yu'shi'hu'tian'xia'shi'qiao'jie'zhuo'zhi 于是乎天下始乔诘卓鸷
'yu'shi'hu'wei'zhi'tiao'se 于是乎为之调瑟
'yu'shi'hu'xi'nu'xiang'yi 于是乎喜怒相疑
'yu'shi'hu'you 于是乎有
'yu'shi'hu'you'lei'you'ting 于是乎有雷有霆
'yu'shi'hu'yue'er'yu'zhi'yu'qi 于是乎刖而鬻之于齐
'yu'shi'hui'zi'kong 于是惠子恐
'yu'shi'ju'hua 与时俱化
'yu'shi'min'jie'chao'ju'yi'bi'zhi 于是民皆巢居以避之
'yu'shi'qi'suo'fei'er'fei'qi'suo'shi 欲是其所非而非其所是
'yu'shi'qiao'qi 于是桥起
'yu'shi'qu'er'ru'shen'shan 于是去而入深山
'yu'shi'qun'xun'er'que 于是逡巡而却
'yu'shi'san'hu'xie 于是三呼邪
'yu'shi'tai'qing'wen'hu'wu'qiong 于是泰清问乎无穷
'yu'shi'tai'qing'yang'er'tan'yue 于是泰清仰而叹曰
'yu'shi'wei'tian'xia 虞始为天下
'yu'shi'wen'wang'bu'chu'gong'san'yue 于是文王不出宫三月
'yu'shi'wu'ren'sui'deng'gao'shan 于是无人遂登高山
'yu'shi'wu'yu'qin 于事无与亲
'yu'shi'xiao'xi 与时消息
'yu'shi'xie'xing'er'bu'ti 与世偕行而不替
'yu'shi'yan'he'bo'shi'xuan'qi'mian'mu 于是焉河伯始旋其面目
'yu'shi'yan'he'bo'xin'ran'zi'xi 于是焉河伯欣然自喜
'yu'shi'yong'you 于是庸有
'yu'shi'you'mao'bing 予适有瞀病
'yu'shi'you'you'you'zhi'bing 予适有幽忧之病
'yu'shi'yu'zu 于是语卒
'yu'shi'zhe'ju'wang'jian'tai'zi 与使者俱往见太子
'yu'shi'zheng'yi'guan'yu'zhi'zuo 于是正衣冠与之坐
'yu'shui'ze'er'ke'hu 于谁责而可乎
'yu'su'hua'shi 与俗化世
'yu'sui'you'qi'xiang 予虽有祈向
'yu'tai'ding'zhe 宇泰定者
'yu'tian'di'wei'he 与天地为合
'yu'tian'he'zhe 与天和者
'yu'tian'he'zhe'ye 与天和者也
'yu'tian'wei'tu 与天为徒
'yu'tian'wei'tu'zhe 与天为徒者
'yu'tian'wei'yi 与天为一
'yu'tian'xia'geng'shi 与天下更始
'yu'tong'hu'de'er'xin'ju'yi 欲同乎德而心居矣
'yu'tun'zhi'kang'bi'zhe 与豚之亢鼻者
'yu'wang'er'bu'zhi'qi'suo'qiong 愈往而不知其所穷
'yu'wang'jian'zhi 禹往见之
'yu'wang'tong'kuang'chuang 与王同筐床
'yu'wei'nv'meng'yi'meng'ye 予谓女梦亦梦也
'yu'wei'qing'jiang'shi'he'bo'zhi'suo 予为清江使河伯之所
'yu'wei'ren'qi 与为人妻
'yu'wei'zhong'you'liang 于魏中有梁
'yu'wen'zhi'er'xia'ru 鱼闻之而下入
'yu'wu'hua'zhe 与物化者
'yu'wu'jie'xun 与物皆殉
'yu'wu'qie'zhe 与物且者
'yu'wu'qiong'zhe 与物穷者
'yu'wu'ru'yi 予无如矣
'yu'wu'suo'yong'tian'xia'wei 予无所用天下为
'yu'wu'tong'li 与物同理
'yu'wu'wei'yi'er'tong'qi'bo 与物委蛇而同其波
'yu'wu'wu'shi'ye 于物无视也
'yu'wu'wu'zhong'wu'shi 与物无终无始
'yu'wu'xiang'ren'xiang'mi 与物相刃相靡
'yu'wu'yin'wu'dang'ye 于五音无当也
'yu'wu'you'yi'er'mo'zhi'qi'ji 与物有宜而莫知其极
'yu'wu'zhi'ci'de'hu 欲无至此得乎
'yu'wu'zhong'shi 与物终始
'yu'xiang'qiu'er'bu'neng'xiang'de 欲相求而不能相得
'yu'xiang'wang'hu'jiang'hu 鱼相忘乎江湖
'yu'xiang'yu'chu'yu'lu 鱼相与处于陆
'yu'xiang'zao'hu'shui 鱼相造乎水
'yu'xiao'bu'yi 于小不遗
'yu'xing'mie'wang 与形灭亡
'yu'yan'shi'jiu 寓言十九
'yu'yang'qi'yi 于羊弃意
'yu'ye 宇也
'yu'yi'qi'zhi 于蚁弃知
'yu'yi'shi'er'de'dan'mo'yan 与一世而得淡漠焉
'yu'yin'yi'cheng'zhi 予因以乘之
'yu'yin'yi'qiu 予因以求
'yu'yin'yi'qiu'shi'ye 予因以求时夜
'yu'yong'li'er'tang'yong'bing 禹用力而汤用兵
'yu'you'er'bu'zhi'qi'suo'yi 予有而不知其所以
'yu'you'gui'ye 语有贵也
'yu'you'he'gui'lao'dan'zai 予又何规老聃哉
'yu'you'ju'sheng 与忧俱生
'yu'you'qie'fu'you'yu'liu'zhi'wai 予又且复游于六之外
'yu'you'xi'shi'yan 予又奚事焉
'yu'yu'de'ji 于鱼得计
'yu'yu'nv 予语女
'yu'yu'nv 余语女
'yu'yu'ru 余语汝
'yu'yu'ru'he'zu'yi'shi'zhi'zai 予与汝何足以识之哉
'yu'yu'ru'san'huang'wu'di'zhi'zhi'tian'xia 余语汝三皇五帝之治天下
'yu'yu'ruo'zhong'bu'jin'ye 予与若终不近也
'yu'yu'yi'gai'zhong 於于以盖众
'yu'yu'you'wen'hu'ruo 予欲有问乎若
'yu'yu'zhe 俞俞者
'yu'yue'ren'shui'zhan 与越人水战
'yu'zhe'wei'yun'hu 雨者为云乎
'yu'zhe'you'yu'qie'hu 渔者有余且乎
'yu'zhe'yu'qie'de'yu 渔者余且得予
'yu'zhe'yu'you'yan 愚者与有焉
'yu'zhi'pei'tian'hu 与之配天乎
'yu'zhi'shi 禹之时
'yu'zhi'suo'gui'zhe 语之所贵者
'yu'zhi'wei'wu'fang'ze'wei'wu'guo 与之为无方则危吾国
'yu'zhi'wei'you'fang'ze'wei'wu'shen 与之为有方则危吾身
'yu'zhi'wei'yu'yi 与之为娱矣
'yu'zhi'xiang'qi 愚知相欺
'yu'zhi'ze'quan 誉之则劝
'yu'zhi'zheng'ye 与之政也
'yu'zhi'zhi 予知之
'yu'zhi'zhi'tian'xia 禹之治天下
'yu'zhi'zhi'ye 愚之至也
'yu'zhong'er'shi'zhi 欲终而释之
'yu'zhong'ni 遇仲尼
'yu'zhong'nian'yan'sun 予终年厌飧
'yu'zi'zai'lu'zhi'yuan 予自宰路之渊
'yuan'de'shi'zhi 愿得试之
'yuan'du'lou 援髑髅
'yuan'du'yi'wei'jing 缘督以为经
'yuan'er'bao'zhen 缘而葆真
'yuan'er'bu'ke'bu'ju'zhe 远而不可不居者
'yuan'er'jing 渊而静
'yuan'feng'yue 苑风曰
'yuan'fu'fan'wu'tu'yang'zhi'si 愿复反吾屠羊之肆
'yuan'hu'qi'ju'ye 渊乎其居也
'yuan'jing'er'bai'xing'ding 渊静而百姓定
'yuan'ju'zhi'bian'zi'shan'lin'lai 猿狙之便自山林来
'yuan'jun'jue 元君觉
'yuan'mo'er'lei'sheng 渊默而雷声
'yuan'qi'tu'er'zhu'bu'zhi 远其涂而诛不至
'yuan'sheng'yi'ming'er'shi'fei'ci'zhi 原省已明而是非次之
'yuan'tian'di'zhi'mei'er'da'wan'wu'zhi'li 原天地之美而达万物之理
'yuan'tuo'yu'bie'zhi'suo'bu'neng'you'ye 鼋鼍鱼鳖之所不能游也
'yuan'wang'lv'mu'xia 愿望履幕下
'yuan'wen'de'ren 愿闻德人
'yuan'wen'qi'fang 愿闻其方
'yuan'wen'qi'yao 愿闻其要
'yuan'wen'san'jian 愿闻三剑
'yuan'wen'shen'ren 愿闻神人
'yuan'wen'sheng'zhi 愿闻圣治
'yuan'wen'wei'sheng'zhi'jing'er'yi'yi 愿闻卫生之经而已矣
'yuan'wen'yi'yan 愿闻一言
'yuan'wen'yu'hong'meng 愿闻于鸿蒙
'yuan'wo'hun'hu 远我昏乎
'yuan'xian'hua'guan 原宪华冠
'yuan'xian'ju'lu 原宪居鲁
'yuan'xian'sheng'zhi'yan'qi'feng'ye 愿先生之言其风也
'yuan'xian'xiao'yue 原宪笑曰
'yuan'xian'ying'zhi'yue 原宪应之曰
'yuan'yi 远矣
'yuan'yi'jing'nei'lei'yi 愿以境内累矣
'yuan'yi'suo'wen'si'qi'ze 愿以所闻思其则
'yuan'yin'chu'er'wen'zhi 愿因楚而问之
'yuan'you'jiu'ming 渊有九名
'yuan'yuan'hu'qi'bu'ke'ce'ye 渊渊乎其不可测也
'yuan'yuan'hu'qi'ruo'hai 渊渊乎其若海
'yuan'zai 远哉
'yuan'ze'bi'zhong'zhi'yi'yan 远则必忠之以言
'yuan'ze'bu'li 缘则不离
'yuan'zhe'bu'yi'gui 圆者不以规
'yuan'zhe'zhong'gui 圆者中规
'yue'ai'dai'ta 曰哀骀它
'yue'bo'yi 曰伯夷
'yue'chu'shi 曰触氏
'yue'fen'zhi'zhi'ye 约分之至也
'yue'gu'bu'sheng'huo 月固不胜火
'yue'man'shi 曰蛮氏
'yue'miao'gu'she'zhi'shan 曰藐姑射之山
'yue'mo'wei'dao 曰莫为盗
'yue'ren'duan'fa'wen'shen 越人断发文身
'yue'ren'san'shi'shi'qi'jun 越人三世弑其君
'yue'ren'xun'zhi'yi'ai 越人熏之以艾
'yue'shu'bu'yi 约束不以
'yue'wei'jiao 约为胶
'yue'xiao'ren'xun'cai 曰小人殉财
'yue'yang'yi'chi'sheng 约养以持生
'yue'you'nan 越有难
'yue'zhe'zhi'lv 刖者之屡
'yue'zhi 跃之
'yue'zhu'xiao'zhe'bu'ke'yi'huai'da 曰褚小者不可以怀大
'yun'er'mie'lie'zhi 芸而灭裂之
'yun'jiang'bu'de'wen 云将不得问
'yun'jiang'da'xi 云将大喜
'yun'jiang'dong'you 云将东游
'yun'jiang'jian'zhi 云将见之
'yun'jiang'yue 云将曰
'yun'liang'wan'wu'er'bu'kui 运量万物而不匮
'yun'qi'bu'dai'zu'er'yu 云气不待族而雨
'yun'wu'zhi'xie'ye 运物之泄也
'yun'xing'er'yu'shi'yi 云行而雨施矣
'yun'zhe'wei'yu'hu 云者为雨乎
'yun'zhi'wu'pang 运之无旁
'yun'zhi'yi'wu'pang 运之亦无旁
'za'er'xia'zhe'bu'ke'sheng'shu'ye 杂而下者不可胜数也
'za'hu'mang'wu'zhi'jian 杂乎芒芴之间
'za'ze'duo 杂则多
'zai'bai'dao'zhi 再拜盗跖
'zai'bai'er'ci 再拜而辞
'zai'bai'er'jin 再拜而进
'zai'bai'qi'shou 再拜稽首
'zai'bai'qi'shou'er'wen'yue 再拜稽首而问曰
'zai'dong'xia'qing'qing 在冬夏青青
'zai'gu'man'gu 在谷满谷
'zai'hu'er'bu'wen 再呼而不闻
'zai'hun'mang'zhi'zhong 在混芒之中
'zai'ji'cao'mu 灾及草木
'zai'keng'man'keng 在坑满坑
'zai'liu'ji'zhi'xia'er'bu'wei'shen 在六极之下而不为深
'zai'lou'yi 在蝼蚁
'zai'ren'shang'shi 宰人上食
'zai'ren'zhe 灾人者
'zai'shi'ni 在屎溺
'zai'shou'qi'yang 再受其殃
'zai'tai'ji'zhi'xian'er'bu'wei'gao 在太极之先而不为高
'zai'wa'pi 在瓦甓
'zai'wai'zhe'ban 在外者半
'zai'wan'wu'zhi'shou 在万物之首
'zai'wo'xie'wang'hu'bi 在我邪亡乎彼
'zai'wu'yi'qu 在物一曲
'zai'wu'zhi'xu 在物之虚
'zai'xing'zhi'mei'e 在行之美恶
'zai'yu'huo'zhi 再欲活之
'zai'zhi'ye'zhe 在之也者
'zang'yu'gu 臧与谷
'zang'yu'qi'de'er'yi'yi 臧于其德而已矣
'zang'zhang'ren'mei'ran'er'bu'ying 臧丈人昧然而不应
'zao'bing'zhi'ben'ye 造兵之本也
'zao'mu'wei'ji 凿木为机
'zao'shi'bu'ji'xiao 造适不及笑
'zao'shi'you'suo'yong 遭时有所用
'zao'sui'er'ru'jing 凿隧而入井
'zao'xue'er'jing'shen 澡雪而精神
'zao'you'ji 灶有髻
'zao'zhi'shi'bu'bi'qi'ren 遭治世不避其任
'ze'an'ping'lu'er'yi'yi 则安平陆而已矣
'ze'bi'bu'lai'gao'jie'li'xing 则必不赖高节戾行
'ze'bi'bu'sheng'ren'yi 则必不胜任矣
'ze'bi'she'jian 则必摄缄
'ze'bi'yi'e'sheng'sui'zhi 则必以恶声随之
'ze'bi'you'bu'xiao'zhi'xin'ying'zhi'er'bu'zhi'qi'ran'ye 则必有不肖之心应之而不知其然也
'ze'bi'you'ren'dao'zhi'huan 则必有人道之患
'ze'bi'you'yin'yang'zhi'huan 则必有阴阳之患
'ze'bian'rong'yi'se 则变容易色
'ze'bing'yu'dou'hu'er'qie'zhi 则并与斗斛而窃之
'ze'bing'yu'fu'xi'er'qie'zhi 则并与符玺而窃之
'ze'bing'yu'quan'heng'er'qie'zhi 则并与权衡而窃之
'ze'bing'yu'ren'yi'er'qie'zhi 则并与仁义而窃之
'ze'bo'ran'zuo'se 则勃然作色
'ze'bo'sai'yi'you 则博塞以游
'ze'bu'de'yi 则不得已
'ze'bu'mian'yu'wang'gu'zhi'huan 则不免于网罟之患
'ze'bu'qiu'wen'yi'dai'xing 则不求文以待形
'ze'bu'wei'zhi'dao'yu'zhi'ren'ye 则不谓之道谀之人也
'ze'cha'shu'du'yi 则差数睹矣
'ze'cheng'fei'wu'zi'zhi'shi 则诚非吾子之事
'ze'chu'zhi'cun'bu'zu'yi'cun'cun 则楚之存不足以存存
'ze'ci'yi'fang'ao 则辞以放骜
'ze'da'dao'bu'qi 则大盗不起
'ze'da'you'yi'ju 则大忧以惧
'ze'dai'bu'cheng 则殆不成
'ze'dao'zhi'yi'bo'yi'yi 则盗跖亦伯夷已
'ze'er'mu'bing'yi 则耳目病矣
'ze'fan'wei'shi'wang'er'chu'wei'shi'cun'ye 则凡未始亡而楚未始存也
'ze'fan'yi'wu'ji 则反一无迹
'ze'fei'ran'er'fan 则废然而反
'ze'fu'gu'bo 则妇姑勃
'ze'fu'kui'jie'qie'dan'nang'er'qu 则负匮揭箧担囊而趋
'ze'fu'ran'zuo'se 则怫然作色
'ze'fu'shi'zhi'wei'xing 则夫士之为行
'ze'fu'zi'xiong'di'xiang'jie'ye 则父子兄弟相戒也
'ze'fu'zi'you'you'peng'zhi'xin'ye'fu 则夫子犹有蓬之心也夫
'ze'geng'zai'ye 则耕在野
'ze'gong'da'ming'xian'er'tian'xia'yi'ye 则功大名显而天下一也
'ze'gong'fen'ding'yi 则功分定矣
'ze'gou'sheng'you'xuan'mian'zhi'zun 则苟生有轩冕之尊
'ze'gua'ren'e'hu'shu'guo'er'ke 则寡人恶乎属国而可
'ze'he'ju'zhi'you 则何惧之有
'ze'he'ru'zhi'you 则何辱之有
'ze'he'shi'zhi'you 则何事之有
'ze'hu'ke'de'er'lei'xie 则胡可得而累邪
'ze'hu'luo'wu'suo'rong 则瓠落无所容
'ze'hu'zhang'she'zhi 则呼张歙之
'ze'hu'zui'hu'tian'zai 则胡罪乎天哉
'ze'ji'hu'quan 则几乎全
'ze'ji'san'zu 泽及三族
'ze'ji'tian'xia 泽及天下
'ze'ji'wan'shi'er'bu'wei'ren 泽及万世而不为仁
'ze'jie'wei'zhi'zhou 则芥为之舟
'ze'jie'yi'ban'bo'luo 则解衣般礴裸
'ze'jiu 则鸠
'ze'jun'zi'zhi'dao 则君子之道
'ze'ke'bu'wei'you'da'yang 则可不谓有大扬
'ze'ke'hu 则可乎
'ze'ke'ran'er'xiao 则嗑然而笑
'ze'ke'yi'ji'ci'yan'yi 则可以及此言矣
'ze'ke'yi'ji'tian'xia 则可以寄天下
'ze'ke'yi'tuo'tian'xia 则可以托天下
'ze'ke'yi'you'zhi 则可以有之
'ze'kou'lan'er'wei'shang 则口烂而为伤
'ze'lie'shi'huai'zhi'san'qun 则列士坏植散群
'ze'liu'zao'xiang'rang 则六凿相攘
'ze'mei'e'you'jian'yi 则美恶有间矣
'ze'mo'ruo'yi'ming 则莫若以明
'ze'mo'shi'bu'xing'xun'chang 则没世不行寻常
'ze'nei'qi'qi'qin'er'wai'qu'qi'zhu'zhi'shi 则内弃其亲而外去其主之事
'ze'niao'luan'yu'shang'yi 则鸟乱于上矣
'ze'nu'chu'yu'bu'nu'yi 则怒出于不怒矣
'ze'nuan'nuan'shu'shu'er'si'zi'shuo'ye 则暖暖姝姝而私自说也
'ze'qi'fu'da'yi'ye'wu'li 则其负大翼也无力
'ze'qi'fu'da'zhou'ye'wu'li 则其负大舟也无力
'ze'qi'jie'zhi'ye'si'bu'jie'zhi'zhe 则其解之也似不解之者
'ze'qi'shi'yi'lu'mang'er'bao'yu 则其实亦卤莽而报予
'ze'qi'suo'yong'zhe'zhong'er'suo'yao'zhe'qing'ye 则其所用者重而所要者轻也
'ze'qi'zi'wei'chu'wei 则其自为处危
'ze'qiong'tong'wei'han'shu'feng'yu'zhi'xu'yi 则穷通为寒暑风雨之序矣
'ze'qu'cao'du'yi 则趣操睹矣
