'a'ba'duo'na'duo 阿巴多纳多
'suo'si'gai'te 索思盖特
'suo'ta'er 索塔尔
'suo'tai'er'si 索泰尔斯
'suo'ti'la'si 索提拉斯
'suo'wa'er'de'song 索瓦尔德松
'suo'xiao 索肖
'ta'bi'li'si 塔比历斯
'ta'bo'er'da 塔博尔达
'ta'bo'er'da 塔波尔达
'ta'de'yi 塔德伊
'ta'en'hao'sen 塔恩豪森
'ta'er'dai'li 塔尔代利
'ta'er'de'li 塔尔德利
'ta'er'le'li'si'ke'duo'er'ba 塔尔勒里斯科多尔巴
'ta'fu'la'li'di'si 塔夫拉里迪斯
'ta'ge'er'sen 塔格尔森
'ta'ge'li'ya'ni 塔格利亚尼
'ta'ke'xi'si'li 塔克西斯利
'ta'kua'lun'bo 塔夸伦博
'ta'la'bu'te 塔拉布特
'ta'la'ge'na'jing'ji 塔拉戈纳竞技
'ta'la'la'kai 塔拉拉凯
'ta'la'la'qie 塔拉拉切
'ta'la'meng'di 塔拉蒙蒂
'ta'la'wei'er 塔拉维尔
'ta'la'wei'ka'he'di 塔拉维卡赫蒂
'ta'la'wei'la 塔拉韦拉
'ta'le'si 塔勒斯
'ta'lei 塔雷
'ta'lu'bu'wa 塔鲁布瓦
'ta'ma'si 塔马斯
'ta'mei'lu'si 塔梅鲁斯
'ta'mu'duo 塔穆多
'ta'mu'wo'si 塔姆沃思
'ta'pa'luo'wei'qi 塔帕洛维奇
'ta'pa'ti'ao 塔帕提奥
'ta'pi'ya 塔皮亚
'ta'qi'na'di 塔奇纳蒂
'ta'shen'che 塔什彻
'ta'shi'gan'huo'che'tou 塔什干火车头
'ta'shi'gan'mian'nong'dui 塔什干棉农队
'ta'shi'gan'te'la'ke'tu 塔什干特拉克图
'ta'ta'bo'ya 塔塔波亚
'ta'ta'zu'qiu'xue'yuan 塔塔足球学院
'ta'tuo'er'la'lu'zi 塔托尔拉鲁兹
'ta'wa'nuo 塔瓦诺
'ta'wa'si'ke 塔瓦斯科
'ta'wa'ya'er'wei 塔瓦亚尔维
'ta'wei'li'ya 塔维里亚
'ta'yi'feng'ke'la 塔伊丰科拉
'ta'yi'feng'tu'ke'man 塔伊丰土克曼
'tai'ao'jian'sen 泰奥简森
'tai'bi 泰比
'tai'bi'si'bo'er'tu 泰比斯波尔图
'tai'de'la'wei 泰德拉维
'tai'jiao'guo'gao 抬脚过高
'tai'jing'yin'hang 泰京银行
'tai'ke'kan 泰克坎
'tai'lun'di'na'mo 泰伦迪纳摩
'tai'mu'li'an 泰穆里安
'tai'wan'qiu'yuan 台湾球员
'tai'yang'shen'ka'la'ma'li'ya 太阳神卡拉马利亚
'tan'pu'lei'dun 坦普雷顿
'tang'bu'li'qi 汤布里奇
'tang'jia'shu 唐家庶
'tang'jing 唐京
'tang'ka'shi'da 唐卡士打
'tang'ke'si'te'liu'lang'zhe 唐克斯特流浪者
'tang'le'pu 汤乐普
'tang'mu'jin'si 汤姆金斯
'tang'mu'ke'luo'er 汤姆克罗尔
'tang'mu'pi'te'si 汤姆皮特斯
'tang'ning 唐宁
'tang'peng'ju 唐鹏举
'tang'xiao'cheng 唐晓程
'te'de'si'ke 特德斯科
'te'en'bu'er 特恩布尔
'te'er'fu'de'lian'dui 特尔福德联队
'te'er'li'ji 特尔利济
'te'er'na'wa 特尔那瓦
'te'er'qie'ge'te 特尔切格特
'te'er'wei'lun 特尔维伦
'te'fei'ke'ai'er'ding'da'ge 特菲克艾尔丁达格
'te'fu'fei'ke'ai'er'di'ao'ke 特夫菲克艾尔迪奥克
'te'ke'la'ke 特克拉克
'te'la'bu'zong'ti'yu 特拉布宗体育
'te'la'pa'tuo'ni 特拉帕托尼
'te'la'wei'fu'xia'pu'er 特拉维夫夏普尔
'te'lan'mi'er'liu'lang'zhe 特兰米尔流浪者
'te'lao'lei 特劳雷
'te'le'ke 特勒克
'te'le'ke'mu 特勒科姆
'te'lei'ka'li'qi 特雷卡里奇
'te'lei'mei'er 特雷梅尔
'te'lei'mo'er 特雷默尔
'te'lei'mo'li'na'si 特雷莫利纳斯
'te'lei'shi 特雷施
'te'lei'te'ke 特雷特科
'te'lei'wei'suo 特雷维索
'te'lei'wo'xin'ke'lai'er 特雷沃辛克莱尔
'te'lei'ze'gai 特雷泽盖
'te'li 特里
'te'li'ai'si'di'na 特里埃斯蒂纳
'te'li'ke 特里科
'te'li'nuo'wei'qie'lei'si 特里诺维切累斯
'te'li'sen 特里森
'te'li'sen'bei'ge 特里森贝格
'te'li'si'di'an 特里斯蒂安
'te'li'si'di'an'pi'er'si'man 特里斯蒂安皮尔斯曼
'te'li'si'tan 特里斯坦
'te'li'wei'nuo 特里维诺
'te'li'zi 特里兹
'te'long'kai'di 特隆凯蒂
'te'lu'qie'te 特鲁切特
'te'lu'sa'sa'na 特鲁萨萨那
'te'lun'xin 特伦辛
'te'luo'de 特罗德
'te'luo'fei'jing'ji 特罗菲竞技
'te'luo'huo'fu'si'ji 特罗霍夫斯基
'te'luo'mu'se 特罗姆瑟
'te'luo'mu'si'da'en 特罗姆斯达恩
'te'luo'qiao'fu'si'ji 特罗乔夫斯基
'te'luo'ta'mu'duo'si 特罗塔穆多斯
'te'luo'yang 特罗扬
'te'mo'li'an 特莫里安
'te'na 特纳
'te'nei'li'fei 特内里费
'te'rui'sen'si 特瑞森斯
'te'she 特舍
'te'si'di'de 特斯蒂德
'te'si'te'luo'te 特斯特罗特
'te'wei'si 特维斯
'te'wen'te 特文特
'teng'ren'jun 藤任军
'ti'bu'men'jiang 替补门将
'ti'bu'shou'men'yuan 替补守门员
'ti'chu'jie 踢出界
'ti'fei'er'te 提费尔特
'ti'ge'li'luo'si 提格里罗斯
'ti'mi'sai'la 提米塞拉
'ti'mi'yue'han'sen 提米约翰森
'ti'qiang'shi 踢墙式
'ti'qiang'shi'er'guo'yi 踢墙式二过一
'ti'ya'ge 提亚戈
'ti'ya'ge'a'er'kan'ta'la 提亚戈阿尔坎塔拉
'ti'ya'ge'fu'lei'ta'si 提亚戈弗雷塔斯
'ti'ya'ge'ge'mai'si 提亚戈戈麦斯
'ti'ya'ge'luo'na'er'duo 提亚戈罗纳尔多
'ti'ya'ge'ta'er'ji'nuo 提亚戈塔尔吉诺
'ti'ya'ge'wa'lun'te 提亚戈瓦伦特
'ti'ya'ge'xi'er'wa 提亚戈席尔瓦
'tian'e'hai'shi 天鹅海市
'tian'jin'tai'da 天津泰达
'tian'yu'lai 田玉来
'tian'zhong'xiu'zai 田中秀哉
'tiao'bian 挑边
'tiao'qiu 挑球
'tie'gan'qiu'mi 铁杆球迷
'tie'shen'ding'fang 贴身盯防
'tie'shen'fang'shou 贴身防守
'tie'shen'jin'bi 贴身紧逼
'ting'jia 廷加
'ting'qiu 停球
'tong'she 捅射
'tou'chui'jian'gong 头槌建功
'tou'ding'qiu 头顶球
'tou'hao'she'shou 头号射手
'tou'qiu'bai'du 头球摆渡
'tou'qiu'gong'men 头球攻门
'tou'qiu'jie'wei 头球解围
'tu'ba'ke'wei'qi 图巴科维奇
'tu'ba'ke'wei'qi 图拔科维奇
'tu'bi'zi 图比兹
'tu'bo'er'ku'si'ta'na 图波尔库斯塔纳
'tu'er'bo'ge 图尔伯格
'tu'er'huo'te 图尔霍特
'tu'er'ku'guo'ji 图尔库国际
'tu'er'qi'lian'sai 土耳其联赛
'tu'fan'a'er'si'lan 图凡阿尔斯兰
'tu'gai 图盖
'tu'gai'ba'ha'di'er 图盖巴哈迪尔
'tu'hao'te 图豪特
'tu'la'ben'bu'qiao'ge'kui'si'te 图拉本布乔格奎斯特
'tu'la'ben'di'lun'ge 图拉本迪伦格
'tu'la'ben'ke'li'si'teng'sen 图拉本克里斯滕森
'tu'la'ben'mo'sai'jia'de 图拉本莫塞加德
'tu'la'ben'sai'er'sen 图拉本塞尔森
'tu'la'ben'yan'sen 图拉本延森
'tu'la'mu 图拉姆
'tu'lan'te'fu'ci 图兰特夫茨
'tu'lei 图雷
'tu'li'ao'de'mei'luo 图利奥德梅罗
'tu'lu'zi 图卢兹
'tu'na'wu'zu'mu'ku 图纳乌祖姆库
'tu'ni 图尼
'tu'po 突破
'tu'qian'hou'wei 突前后卫
'tu'ran'qi'jiao 突然起脚
'tu'ran'si'wang'fa 突然死亡法
'tu'ru'jin'qu 突入禁区
'tuo'bi'ya'si 托比亚斯
'tuo'bi'ya'si'lao 托比亚斯劳
'tuo'di 托蒂
'tuo'er'duo 托尔多
'tuo'er'ge'luo 托尔格洛
'tuo'er'jia'ao'zi'gen 托尔加奥兹根
'tuo'er'jia'ceng'jin 托尔加曾金
'tuo'er'jia'duo'gan'te'zi 托尔加多甘特兹
'tuo'er'jia'xi'han 托尔加西罕
'tuo'er'na'ji 托尔纳吉
'tuo'er'tuo'lai'luo 托尔托莱罗
'tuo'hou'zhong'wei 拖后中卫
'tuo'la'lan 托拉兰
'tuo'le'ni'ti'nuo 托勒尼提诺
'tuo'lei'si 托雷斯
'tuo'li'bi'ao 托里比奥
'tuo'li'ma 托利马
'tuo'li'si 托利斯
'tuo'ma'sen 托马森
'tuo'ma'sen 托玛森
'tuo'ma'si 托马斯
'tuo'ma'si'ai'li'ke'sen 托马斯埃里克森
'tuo'ma'si'bu'fei'er 托马斯布费尔
'tuo'ma'si'duo'er 托马斯多尔
'tuo'ma'si'fu'lan'ke 托马斯弗兰克
'tuo'ma'si'jia'la'sai'ke 托马斯加拉塞克
'tuo'ma'si'luo'ka'te'li 托马斯洛卡特利
'tuo'ma'si'man'fu'lei'di'ni 托马斯曼弗雷迪尼
'tuo'ma'si'mei'da'er 托马斯梅达尔
'tuo'ma'si'sha'fu 托马斯沙夫
'tuo'ma'si'shi'te'le 托马斯施特勒
'tuo'ma'si'shu'ni'man 托马斯舒尼曼
'tuo'ma'si'ta'ge'er'sen 托马斯塔格尔森
'tuo'ma'si'wei'er'jia'de 托马斯维尔加德
'tuo'ma'si'xi'wo'ke 托马斯西沃克
'tuo'ma'si'yan'sen 托马斯延森
'tuo'ma'suo'ni 托马索尼
'tuo'ma'xi 托马西
'tuo'mi'qi 托米奇
'tuo'mi'si'te'yin'lai'en 托米斯特因莱恩
'tuo'ni 托尼
'tuo'ni'ao'ji 托尼奥济
'tuo'ni'bo'er'sen 托尼波尔森
'tuo'ni'ka'yi'ge 托尼卡伊格
'tuo'ni'mu'ni'ao'si 托尼穆尼奥斯
'tuo'ni'tuo 托尼托
'tuo'ni'xi'bo'te 托尼希伯特
'tuo'si'tuo 托斯托
'tuo'song'ao'lu 托松奥卢
'tuo'te'na'mu 托特纳姆
'tuo'te'na'mu're'ci 托特纳姆热刺
'tuo'xi'qi 托西奇
'tuo'xi'qi 托希奇
'tuo'yan'zhan'shu 拖延战术
'tuo'yi'er'kao'fu 托伊尔考夫
'tuo'yi'wei'ao 托伊维奥
'tuo'ze'er 托泽尔
'wa'ai'le 瓦埃勒
'wa'duo'ci 瓦多茨
'wa'er'da'er 瓦尔达尔
'wa'er'di'er 瓦尔迪尔
'wa'er'gai'lun 瓦尔盖伦
'wa'er'jia'lun 瓦尔加伦
'wa'er'ke'wei'sai'er 瓦尔科维塞尔
'wa'er'shi'lai'ge 瓦尔施莱格
'wa'er'shi'le'ge'er 瓦尔施勒格尔
'wa'er'wei'er'de 瓦尔维尔德
'wa'er'ze'mu'yun'dong 瓦尔泽姆运动
'wa'ge'huo'en 瓦格霍恩
'wa'ge'na'luo'wei 瓦格纳洛维
'wa'he'si'mu'si 瓦赫斯穆思
'wa'ji'mei'ke'si 瓦吉梅克斯
'wa'jia'si 瓦加斯
'wa'jia'si'wei'la'er'ba 瓦加斯维拉尔巴
'wa'ka'shen 瓦卡什
'wa'ke'la'fu 瓦科拉夫
'wa'ke'la'fu'si'fu'ke'si 瓦科拉夫斯弗克斯
'wa'ke'si'mu'te 瓦克斯穆特
'wa'la'xi'ya'ke 瓦拉西亚克
'wa'lai'li'ao'bei'tuo'tuo 瓦莱里奥贝托托
'wa'lai'yue 瓦莱约
'wa'lang'xie'ne 瓦朗榭讷
'wa'lao'li'ao 瓦劳利奥
'wa'le'hai'mu'jing'ji 瓦勒海姆竞技
'wa'le'li'na 瓦勒里纳
'wa'le'ni'zha'na 瓦勒尼扎纳
'wa'le'sa'er 瓦勒萨尔
'wa'lei'la 瓦雷拉
'wa'long'bei'he'la'mi 瓦隆贝赫拉米
'wa'lun'ting 瓦伦廷
'wa'lun'xi'ya 瓦伦西亚
'wa'lun'xi'ya'mu'li'luo 瓦伦西亚穆里洛
'wa'mu'fo'er 瓦姆佛尔
'wa'na'si'ba'da 瓦纳斯巴达
'wa'nao'deng'na'er'de 瓦瑙登纳尔德
'wa'ni'ge'li 瓦尼格里
'wa'ni'li 瓦尼利
'wa'pei'na'er 瓦佩纳尔
'wa'pu'la'si 瓦普拉斯
'wa'qie'ke 瓦切克
'wa'sai'er 瓦塞尔
'wa'si'ke'da'ga'ma 瓦斯科达伽马
'wa'si'ke'da'jia'ma 瓦斯科达迦马
'wa'si'lan'hong'xing 瓦斯兰红星
'wa'si'lu'yi 瓦斯鲁伊
'wa'suo'si'ji 瓦索斯基
'wa'te'ke 瓦特克
'wa'teng'sha'yi'de 瓦滕沙伊德
'wa'xi'lie'fu'si'ji 瓦西列夫斯基
'wa'xi'lie'wei'qi 瓦西列维奇
'wa'xi'lu'a 瓦希鲁阿
'wa'yi'la'di 瓦伊拉蒂
'wa'yi'li'ning 瓦伊里宁
'wa'zi'te 瓦兹特
'wai'ji'qiu'yuan 外籍球员
'wai'wei'chuan'zhong 外围传中
'wai'wei'fang'shou 外围防守
'wai'wei'yuan'she 外围远射
'wan'cheng 万程
'wan'da'xue 万大雪
'wan'de'er 万德尔
'wan'deng'bu'qie 万登布切
'wan'hou'liang 万厚良
'wan'qiao'pu 万乔普
'wan'xiang'shi'zheng'fu 万象市政府
'wang'da'lei 王大雷
'wang'dong 王栋
'wang'feng'qing 王锋庆
'wang'gang 王刚
'wang'jia'xi'can'an 望加锡惨案
'wang'jun 王军
'wang'pai'she'shou 王牌射手
'wang'sheng 王圣
'wang'shou'ting 王寿挺
'wang'suo'long 王锁龙
'wang'wei'man 王维满
'wang'xiao'shi 王小诗
'wang'yong'po 王永珀
'wei'ai'la 维埃拉
'wei'ai'li 维埃里
'wei'ai'li'ni'ya 维埃利尼亚
'wei'bo 韦伯
'wei'bu'si'te 维布斯特
'wei'da'er 维达尔
'wei'da'er'sen 维达尔森
'wei'dan'ge'xi 维丹戈西
'wei'de'ao'dun 维德奥顿
'wei'de'er'sen 韦德尔森
'wei'deng'fei'le 魏登费勒
'wei'deng'fei'le 维登菲勒
'wei'deng'hao'sen 维登豪森
'wei'di'jia'er 维迪加尔
'wei'di'qi 维迪奇
'wei'du'ka 维杜卡
'wei'du'li'ge 维杜里格
'wei'duo'li'ya 维多里亚
'wei'duo'li'ya 维多利亚
'wei'duo'li'ya'ti'yu'xue'hui 维多利亚体育学会
'wei'duo'xi'qi 维多西奇
'wei'en'bo'er 维恩博尔
'wei'en'bu'li'qi 韦恩布里奇
'wei'en'lu'te'le'ji 韦恩鲁特勒吉
'wei'en'si'te'la 维恩斯特拉
'wei'er'bao'wei'de 维尔鲍威德
'wei'er'bei'ke 维尔贝克
'wei'er'bi'ke 威尔比克
'wei'er'bi'si'te 维尔比斯特
'wei'er'de'lun 维尔德伦
'wei'er'de'ma'te 维尔德马特
'wei'er'de'si'tong 韦尔德斯通
'wei'er'dong'ke 维尔东克
'wei'er'du 维尔杜
'wei'er'ge 维尔戈
'wei'er'hai'en 维尔海恩
'wei'er'hai'fu 维尔海夫
'wei'er'he'si'te 维尔赫斯特
'wei'er'huo'wen 维尔霍温
'wei'er'ji'li 维尔吉利
'wei'er'jia 维尔加
'wei'er'jia'de 维尔加德
'wei'er'kao'te'lei 维尔考特雷
'wei'er'ma'er 维尔马尔
'wei'er'mai'lun 维尔麦伦
'wei'er'man'te 维尔曼特
'wei'er'mi'er 维尔米尔
'wei'er'ming'dun'chui'tou 威尔明顿锤头
'wei'er'miu'lun 维尔缪伦
'wei'er'mo'te 威尔默特
'wei'er'mu'si 维尔穆斯
'wei'er'nei 维尔内
'wei'er'shi'lian'sai 威尔士联赛
'wei'er'shi'pu 威尔士浦
'wei'er'shu'lei 维尔舒雷
'wei'er'si'ta'peng 维尔斯塔蓬
'wei'er'su'yi'ceng 维尔苏伊曾
'wei'er'ta'ning 维尔塔宁
'wei'er'tang'en 维尔汤恩
'wei'er'tu'si 维尔图斯
'wei'er'tuo'de 维尔托德
'wei'er'wa 维尔瓦
'wei'er'wo'er'te 威尔沃尔特
'wei'er'xi'er 威尔希尔
'wei'er'xi'ke 维尔西克
'wei'er'xun'ru'ni'ao'er 威尔逊儒尼奥尔
'wei'er'yue'han'xun 威尔约翰逊
'wei'fang'bei 潍坊杯
'wei'fang'zu'xiao'bei 潍坊足校杯
'wei'feng'zu'he 威峰组合
'wei'gan 维甘
'wei'gan'jing'ji 维甘竞技
'wei'ge'er'ke 魏格尔克
'wei'ge'er'te 维格尔特
'wei'ge'huo'si'te 维格霍斯特
'wei'ge'li'tuo 维戈里托
'wei'ge'na'er 维格纳尔
'wei'gen 韦根
'wei'gu'er'si 维古尔斯
'wei'hai'er'mu'sen 维海尔姆森
'wei'he'ni'ya'lei'ke 维赫尼亚雷克
'wei'ji'ya'ni 维吉亚尼
'wei'jia'suo'la 维加索拉
'wei'jie'er'si 维杰尔斯
'wei'kang'bi'liu'lang'zhe 韦康比流浪者
'wei'ke'duo 维克多
'wei'ke'duo'ai'si'pa'sang'ding 维克多埃斯帕桑丁
'wei'ke'duo'ka'si'ta'nuo 维克多卡斯塔诺
'wei'ke'duo'sang'qie'si 维克多桑切斯
'wei'ke'duo'wa'si'kui'zi 维克多瓦斯奎兹
'wei'ke'tuo'ba'er'de'si 维克托巴尔德斯
'wei'ke'tuo'wu'ge'ma'lei'ke 维克托乌戈马雷科
'wei'ke'tuo'xi'er'wa 维克托席尔瓦
'wei'ke'xie'er 维克谢尔
'wei'ke'xing 魏克兴
'wei'la'er 维拉尔
'wei'la'er'te 维拉尔特
'wei'la'fa'nei 维拉法内
'wei'la'ka'zi 维拉卡兹
'wei'la'ke'lu'zi 维拉克鲁兹
'wei'la'mei'a 维拉梅阿
'wei'la'qi'de'luo 维拉奇德罗
'wei'la'xin'xing 维拉新星
'wei'la'yue'si 维拉约斯
'wei'lan'niu'si 维兰纽斯
'wei'le'ming'ke'si 维勒明克斯
'wei'li 维利
'wei'li'a'ka'er 维利阿卡尔
'wei'li'bu'luo'ke 维利布罗克
'wei'li'ka 维利卡
'wei'lian'er'shi 威廉二世
'wei'lian'jia'la'si 威廉加拉斯
'wei'lian'jian'sen 威廉简森
'wei'lian'mu'si'ma'ding'nei'zi 威廉姆斯马丁内兹
'wei'lu'xi'na 维鲁西纳
'wei'lun'bo'ge 威伦伯格
'wei'luo'suo 维罗索
'wei'mi'er'bo'gen 维米尔伯根
'wei'ni'si 威尼斯
'wei'ni'si 维尼斯
'wei'ni'xiu'si 维尼休斯
'wei'ni'xiu'si 维尼修斯
'wei'ni'ya'luo'li 维尼亚罗利
'wei'nu'qi'wo 维奴奇沃
'wei'qi'ni'ya'lei'ke 维奇尼亚雷克
'wei'qi'ying'yi'lang 尾崎瑛一郎
'wei'qie'li 维切利
'wei'qin'cha 维琴查
'wei'sai'er'si 维塞尔斯
'wei'sai'er'xi'han 维塞尔希汉
'wei'sen'bei'ge'er 魏森贝格尔
'wei'sen'bo'ge 维森伯格
'wei'sen'bo'ge 维森博格
'wei'sen'te 维森特
'wei'sen'te'sang'qie'si 维森特桑切斯
'wei'shan'xian'dai 蔚山现代
'wei'shu'ya 韦舒亚
'wei'si'ba'deng'dui 威斯巴登队
'wei'si'bu'lang 韦斯布朗
'wei'si'bu'lang 维斯布朗
'wei'si'da'lu 韦斯达路
'wei'si'da'lu 韦斯达鲁
'wei'si'ge'huo'fu 维斯格霍夫
'wei'si'la'pu'luo'qi'ke 维斯拉普罗奇克
'wei'si'li'luo'pei'si 威斯利洛佩斯
'wei'si'li'si'nai'de 威斯利斯奈德
'wei'si'li'song'ke 威斯利松克
'wei'si'ni'ao'fu'si'ji 维斯尼奥夫斯基
'wei'si'te'fa'li'ya'hei'ne 威斯特法利亚黑讷
'wei'si'te'jia'de 威斯特加德
'wei'si'te'jia'de 维斯特加德
'wei'si'te'man 韦斯特曼
'wei'si'te'wei'er'de 韦斯特维尔德
'wei'si'xian 韦斯咸
'wei'tai'bi'si 维泰比斯
'wei'te'en 威特恩
'wei'te'ke 维特克
'wei'te'ke'luo 维特科洛
'wei'te'sai'le 维特塞勒
'wei'te'si 维特斯
'wei'te'si'da'xue 威特斯大学
'wei'tie'bu'si'ke'huo'che'tou 维萜布斯克火车头
'wei'tuo'ge'mai'si 维托戈麦斯
'wei'tuo'li'ao 维托里奥
'wei'tuo'li'ao'tuo'si'tuo 维托里奥托斯托
'wei'tuo'mo'lei'nuo 维托莫雷诺
'wei'wa'er'duo'la'duo 维瓦尔多拉多
'wei'wei'ya'ni 维维亚尼
'wei'wei'ya'nuo 维维亚诺
'wei'xi'te'er 韦希特尔
'wei'ya'lei'ji'ao 维亚雷吉奥
'wei'ya'li 维亚利
'wei'ye'li 维耶里
'wei'ye'na'kuai'su 维也纳快速
'wei'yi'min 魏意民
'wei'ze 维泽
'wei'ze'la 维泽拉
'wei'zhan'kui 魏占奎
'wen'bu'er'deng'jing'ji 温布尔登竞技
'wen'di'en'si 温蒂恩斯
'wen'ge 温格
'wen'hu'yi 文虎一
'wen'jun'wu 闻君武
'wen'lai'bei'la'ka'si'dui 文莱贝拉卡斯队
'wen'lai'bei'la'ka'si'lian 文莱贝拉卡斯联
'wen'lai'dui 文莱队
'wen'lai'wei'jia'ya'ju'le'bu 文莱维嘉雅俱乐部
'wen'na'er'de 温纳尔德
'wen'ni'ya 文尼亚
'wen'ning'ge'er 温宁格尔
'wen'sen'te'kan'de'la 文森特坎德拉
'wen'sen'zuo'ge'lei'la 文森佐格雷拉
'wen'sen'zuo'si'xi'ge'na'nuo 文森佐斯西格纳诺
'wen'shou'fan'ji 稳守反击
'wen'te'tu'er 温特图尔
'weng'de'er'tu'la'xi 翁德尔图拉希
'weng'ge'er 翁格尔
'weng'te'ha'xing 翁特哈兴
'wo'de'ge'mo'si 沃德戈默斯
'wo'en 沃恩
'wo'er'de'si 沃尔德斯
'wo'er'dun 沃尔顿
'wo'er'fu 沃尔夫
'wo'er'fu'gang'wo'er'fu 沃尔夫冈沃尔夫
'wo'er'fu'si'bao 沃尔夫斯堡
'wo'er'kan'a'er'si'lan 沃尔坎阿尔斯兰
'wo'er'kan'bei'ji'luo'ge'lu 沃尔坎贝基罗格鲁
'wo'er'kan'de'mi'lei'er 沃尔坎德米雷尔
'wo'er'kan'ke'ka'luo'ge'lu 沃尔坎科卡洛格鲁
'wo'er'kan'sen 沃尔坎森
'wo'er'kao'te 沃尔考特
'wo'er'ke'fen'ke 沃尔克芬克
'wo'er'ke'te 沃尔科特
'wo'er'kui'te'zi 沃尔奎特兹
'wo'er'long'liu'lang'zhe 沃尔隆流浪者
'wo'er'nuo'ke 沃尔诺克
'wo'er'pa'tuo 沃尔帕托
'wo'er'pei 沃尔佩
'wo'er'pi 沃尔皮
'wo'er'qie'si'te'cheng 沃尔切斯特城
'wo'er'shi'la'ge 沃尔施拉格
'wo'er'te'ba'sai'ji'ao 沃尔特巴塞吉奥
'wo'er'tuo'lun 沃尔托伦
'wo'er'xi'han'mu 沃尔西汉姆
'wo'jia'di'na 沃加蒂纳
'wo'ke'si'ha'er'mo'tuo 沃克斯哈尔摩托
'wo'ke'suo'pu 沃克索普
'wo'la'bu'xiu'gang 沃拉不锈钢
'wo'le'da'mu 沃勒达姆
'wo'le'er 沃勒尔
'wo'luo'ning 沃罗宁
'wo'mu'gu'er 沃姆古尔
'wo'nuo'ke 沃诺克
'wo're'er 沃热尔
'wo'si'kan'pu 沃斯坎普
'wo'te'fu 沃特福
'wo'te'fu'de 沃特福德
'wo'te'fu'de'lian 沃特福德联
'wo'te'lei'wu'si 沃特雷乌斯
'wo'xin 沃辛
'wu'cheng'ying 吴承瑛
'wu'de'gai'te 伍德盖特
'wu'de'le'zhi 乌德勒支
'wu'di'nei'si 乌迪内斯
'wu'dian'ni'si 乌甸尼斯
'wu'duo'en'wo'ke 乌多恩沃科
'wu'er'ba'nuo 乌尔巴诺
'wu'er'ge'si 乌尔格斯
'wu'er'lai'xi 乌尔赖希
'wu'er'lei'xi 乌尔雷希
'wu'er'sai'ke 武尔塞克
'wu'er'sai'si 乌尔赛斯
'wu'er'sai'si 乌尔塞斯
'wu'er'zi'ci'ni 乌尔兹茨尼
'wu'er'zuo'ji'qi 武尔佐吉奇
'wu'fa'lu'xi 乌法鲁西
'wu'fu'ke'a'er'si'lan 乌夫克阿尔斯兰
'wu'fu'ke'ai'si 乌夫克埃斯
'wu'fu'ke'sai'lan 乌夫克塞兰
'wu'ge'de'luo'lun'suo 乌格德洛伦索
'wu'gu'er'bo'la'er 乌古尔博拉尔
'wu'gu'er'de'mi'er'ke'er 乌古尔德米尔科尔
'wu'gu'er'kai'si'jin 乌古尔凯斯金
'wu'gu'er'yi'er'di'li'mu 乌古尔伊尔迪里姆
'wu'gu'er'yi'xi'ka'er 乌古尔伊西卡尔
'wu'gu'er'yin'si'man 乌古尔因斯曼
'wu'jin'gui 吴金贵
'wu'ka'er'wu'gu'er 乌卡尔乌古尔
'wu'ke'lan'lian'sai 乌克兰联赛
'wu'ke'sai'wei'qi 武克塞维奇
'wu'la'ge'er'da'xi'er'wa 武拉格尔达席尔瓦
'wu'la'gui'lian'sai 乌拉圭联赛
'wu'la'gui'san'cha'ji 乌拉圭三叉戟
'wu'la'si'gu'le'er 乌拉斯古勒尔
'wu'lan'jia 乌兰加
'wu'lan'wei'ling'dun 兀兰威灵顿
'wu'lei'li'ao'ge'mai'si 乌雷里奥戈麦斯
'wu'lu'da'ge 乌鲁达格
'wu'ma'ya 乌马亚
'wu'mu'nei'ge'bu 乌穆内格布
'wu'mu'te'bu'lu'te 乌穆特布鲁特
'wu'mu'te'suo'ceng 乌穆特索曾
'wu'na'er 乌纳尔
'wu'na'er'a'er'pu'gan 乌纳尔阿尔普甘
'wu'na'er'sa'li 乌纳尔萨里
'wu'nai'ai'ke'si'bo'xi'tuo 乌奈埃克斯波西托
'wu'pei'ta'er 乌佩塔尔
'wu'po'ta'er 武珀塔尔
'wu'pu'si'te 乌普斯特
'wu'qi'shun 吴奇顺
'wu'qie 乌切
'wu'qiu'pao'dong 无球跑动
'wu'qiu'ren 无球人
'wu'qun'li 吴群立
'wu'sa'ke'ao'er'kun 乌撒克奥尔昆
'wu'sha'ke 乌沙克
'wu'si'ta'li 乌斯塔里
'wu'si'ta'li'si 乌斯塔里斯
'wu'si'ta'li'zi 乌斯塔里兹
'wu'song'qiao 吴松桥
'wu'su'ke'la 乌苏克拉
'wu'ta'ka 乌塔卡
'wu'te'le'zhi 乌特勒支
'wu'wei'la'bo'de 乌维拉波德
'wu'xi'ni'qi 武西尼奇
'wu'yi'fa'lu'xi 乌伊法鲁西
'wu'yi'fa'lu'xi 乌伊法卢西
'wu'yi'jia'er'li'zha'a'er'si'lan 乌伊加尔里扎阿尔斯兰
'wu'yi'ka'ni 乌伊卡尼
'wu'yi'teng'si 武伊腾斯
'xi'ba'li'ya 希巴里亚
'xi'ban'ya'lian'sai 西班牙联赛
'xi'ban'ya'ren 西班牙人
'xi'ban'ya'zu'qiu'jia'ji'lian'sai 西班牙足球甲级联赛
'xi'ban'ya'zu'qiu'yi'ji'lian'sai 西班牙足球乙级联赛
'xi'bi'er'si'ji 西比尔斯基
