'ai'ci'qiong'du 哀此茕独
'ran'ze'xiao'gu'bu'ke'yi'di'da 然则小固不可以敌大
'ran'ze'yi'yu'zhi'bu'ju 然则一羽之不举
'ran'ze'you'tong'yu 然则有同与
'ran'ze'zhi'tian'xia'du'ke'geng'qie'wei'yu 然则治天下独可耕且为与
'ran'ze'zi'fei'shi'zhi'ye 然则子非食志也
'ran'ze'zi'zhi'shi'wu'ye'yi'duo'yi 然则子之失伍也亦多矣
'rang'di'bian'xiao 壤地褊小
'ren 仁
'ren'bu'kan'qi'you 人不堪其忧
'ren'bu'ke'wei'zhong'ye 仁不可为众也
'ren'bu'zu'yu'shi'ye 人不足与适也
'ren'gao'zhi'yi'you'guo 人告之以有过
'ren'heng'ai'zhi 人恒爱之
'ren'heng'jing'zhi 人恒敬之
'ren'jiang'xiang'shi 人将相食
'ren'jie'wei'wo'hui'ming'tang 人皆谓我毁明堂
'ren'jie'yi'wei'jian 人皆以为贱
'ren'jie'you'bu'ren'ren'zhi'xin 人皆有不忍人之心
'ren'jie'you'zhi 人皆有之
'ren'ke'sha'yu 人可杀与
'ren'li'bu'zhi'yu'ci 人力不至於此
'ren'lun'ming'yu'shang 人伦明於上
'ren'lun'zhi'zhi'ye 人伦之至也
'ren'qi'wei'zhi'zai 人岂为之哉
'ren'qie'zhi 仁且智
'ren'ren'qin'qi'qin 人人亲其亲
'ren'ren'ye 仁人也
'ren'shao'ze'mu'fu'mu 人少则慕父母
'ren'si 人死
'ren'yan'zai 人焉哉
'ren'ye 人也
'ren'ye 仁也
'ren'yi'chong'se 仁义充塞
'ren'yi'er'chi'wei'yi 人役而耻为役
'ren'yi'shu'bu'yu'fu'gui 人亦孰不欲富贵
'ren'yi'ye 人役也
'ren'you'bu'wei'ye 人有不为也
'ren'you'heng'yan 人有恒言
'ren'yu'bu'ren'er'yi'yi 仁与不仁而已矣
'ren'yue 人曰
'ren'yue'zhi 人悦之
'ren'ze'rong 仁则荣
'ren'zhe'ai'ren 仁者爱人
'ren'zhe'ru'she 仁者如射
'ren'zhe'wu'di 仁者无敌
'ren'zhi 仁智
'ren'zhi'an'zhai'ye 人之安宅也
'ren'zhi'da'lun'ye 人之大伦也
'ren'zhi'dao'ye 人之道也
'ren'zhi'duan'ye 仁之端也
'ren'zhi'huan 人之患
'ren'zhi'shi 仁之实
'ren'zhi'suo'yi'yi'yu'qin'shou'zhe'ji'xi 人之所以异於禽兽者几希
'ren'zhi'suo'yu 人之所欲
'ren'zhi'suo'yu'ye 人之所欲也
'ren'zhi'yi'qi'yan'ye 人之易其言也
'ren'zhi'you'dao'ye 人之有道也
'ren'zhi'you'shi'si'duan'ye 人之有是四端也
'ren'zhi'zheng'lu'ye 人之正路也
'ri'yi'bu'zu'yi 日亦不足矣
'ru'bi'zi'wei'er'hou'yong'zhi 如必自为而後用之
'ru'bu'dai'qi'zhao'er'wang 如不待其招而往
'ru'bu'de'yi 如不得已
'ru'chi'zhi 如耻之
'ru'ci 如此
'ru'ci'ze'wei'zhi'fu'yi 如此则为之服矣
'ru'ci'ze'yu'qin'shou'xi'ze'zai 如此则与禽兽奚择哉
'ru'e'zhi 如恶之
'ru'gao 如告
'ru'huo'yi're 如火益热
'ru'men 入门
'ru'qi'dao 如其道
'ru'qi'shi'zi'zhi'fu'kong'zi'ye 如七十子之服孔子也
'ru'qi'yu'yu'zhi 汝其于予治
'ru'qiong'ren'wu'suo'gui 如穷人无所归
'ru'qu 如去
'ru'ri'yue'zhi'shi 如日月之食
'ru'sha'ren'zhi'zui 如杀人之罪
'ru'shi'yu'jiang 如时雨降
'ru'shi'yu'yu'fu 如使予欲富
'ru'shui'yi'shen 如水益深
'ru'shun'er'yi'yi 如舜而已矣
'ru'wang'dao'er'cong'bi 如枉道而从彼
'ru'yi'chao'yi'chao'guan 如以朝衣朝冠
'ru'yi'li 如以利
'ru'yi'shi'qi'fu'xiong 入以事其父兄
'ru'yi'yu'zi'gong 入揖於子贡
'ru'you'bu'shi'sha'ren'zhe 如有不嗜杀人者
'ru'you'yi'zhao'zhi'huan 如有一朝之患
'ru'yu'ping'zhi'tian'xia 如欲平治天下
'ru'ze'xiao 入则孝
'ru'zhe'zhi'dao 儒者之道
'ru'zhi'he'bu'diao 如之何不吊
'ru'zhi'he'qi'shi'si'min'er'si'ye 如之何其使斯民而死也
'ru'zhi'he'ze'ke 如之何则可
'ru'zhi'he'ze'ke'ye 如之何则可也
'ru'zhi'qi'fei'yi 如知其非义
'ru'zhi'qi'ke'ye 如之其可也
'ru'zhi'zhe'ruo'yu'zhi'hang'shui'ye 如智者若禹之行水也
'ru'zhi'zhe'yi'xing'qi'suo'wu'shi 如智者亦行其所无事
'ru'zhong'ye'qi'bu'zhong 如中也弃不中
'ruo'ci'he'fu 若刺褐夫
'ruo'da'han'zhi'wang'yun'ni'ye 若大旱之望云霓也
'ruo'da'zao'zhi'wang'yu'ye 若大早之望雨也
'ruo'fu'cheng'gong 若夫成功
'ruo'fu'jun'zi'suo'huan 若夫君子所患
'ruo'fu'run'ze'zhi 若夫润泽之
'ruo'gu'bu'ke'yi'di 弱固不可以敌
'ruo'gua'ren'zhe 若寡人者
'ruo'he'fu'jie 若合符节
'ruo'huo'zhi'shi'ran 若火之始然
'ruo'jiang'mei'yan 若将浼焉
'ruo'min 若民
'ruo'sha'qi'fu'xiong 若杀其父兄
'ruo'shi 若是
'ruo'shi'ban'hu 若是班乎
'ruo'shi'qi'da'hu 若是其大乎
'ruo'shi'qi'shen'yu 若是其甚与
'ruo'shi'yu'jiang 若时雨降
'ruo'ta'zhi'yu'shi'chao 若挞之於市朝
'ruo'wu'zui'er'jiu'si'di 若无罪而就死地
'ruo'yao'bu'ming'xuan 若药不暝眩
'ruo'yi'qiang 弱役强
'ruo'yu'qi 若於齐
'ruo'zeng'zi 若曾子
'ruo'zhong'zi'zhe 若仲子者
'san'bu'xiao'ye 三不孝也
'san'dai'gong'zhi 三代共之
'san'dai'zhi'de'tian'xia'ye'yi'ren 三代之得天下也以仁
'san'guo'qi'men'er'bu'ru 三过其门而不入
'san'li'zhi'cheng 三里之城
'san'nian'tao'qi'jun 三年讨其君
'san'nian'zhi'sang 三年之丧
'san'nian'zhi'wai 三年之外
'san'ri'bu'shi 三日不食
'san'su'er'hou'chu'zhou 三宿而後出昼
'san'yan 三咽
'san'yue'wu'jun'ze'diao 三月无君则吊
'sang'ji'cong'xian'zu 丧祭从先祖
'sang'wu'ri'yi 丧无日矣
'sao'ni 嫂溺
'sao'ni'bu'yuan 嫂溺不援
'sao'ni'yuan'zhi'yi'shou'zhe 嫂溺援之以手者
'sao'ni'ze'yuan'zhi'yi'shou'hu 嫂溺则援之以手乎
'sha'er'duo'zhi 杀而夺之
'sha'fa'yong'zhang 杀伐用张
'sha'qi'mi'lu'zhe 杀其麋鹿者
'sha'ren'yi'ting'yu'ren 杀人以梃与刃
'sha'ren'ying'cheng 杀人盈城
'sha'ren'ying'ye 杀人盈野
'sha'yi'bu'gu 杀一不辜
'shan'shi'ye 善士也
'shan'tui'qi'suo'wei'er'yi'yi 善推其所为而已矣
'shan'yu'ren'tong 善与人同
'shan'zai'wen'ye 善哉问也
'shan'zai'yan'hu 善哉言乎
'shang'di'ji'ming 上帝既命
'shang'gu'jie'yu'cang'yu'wang'zhi'shi 商贾皆欲藏於王之市
'shang'shi'gao'rang 上食槁壤
'shang'wu'dao'kui'ye 上无道揆也
'shang'wu'li 上无礼
'shang'xia'jiao'zheng'li 上下交征利
'shang'you'hao'zhe 上有好者
'shang'zhe'wei'ying'ku 上者为营窟
'shang'zhi'sun'zi 商之孙子
'shao'wo'zhou'wang'jian'xiu 绍我周王见休
'shao'ze'yang'yang'yan 少则洋洋焉
'she'guan'wei'ding 舍馆未定
'she'ji'cong'ren 舍己从人
'she'jie'qu'zhu'qi'gong'zhong'er'yong'zhi 舍皆取诸其宫中而用之
'she'long'ju'zhi 蛇龙居之
'she'qi'neng'wei'bi'sheng'zai 舍岂能为必胜哉
'she'shi'ru'po 舍矢如破
'she'wei'xiang'xu'xue'xiao'yi'jiao'zhi 设为庠序学校以教之
'she'wo'qi'shui'ye 舍我其谁也
'she'zhe'zheng'ji'er'hou'fa 射者正己而後发
'she'zheng'lu'er'bu'you 舍正路而不由
'she'zhi 舍之
'shen'geng'yi'nou 深耕易耨
'shen'tong'wen 沈同问
'shen'tong'yi'qi'si'wen'yue 沈同以其私问曰
'shen'you'xing'yue 沈犹行曰
'shen'zhi'yi'xiao'ti'zhi'yi 申之以孝悌之义
'sheng 生
'sheng'ren 圣人
'sheng'ren'fu'qi 圣人复起
'sheng'ren'ji'jie'mu'li'yan 圣人既竭目力焉
'sheng'ren'you'you'zhi 圣人有忧之
'sheng'ren'zhi'dao'shuai 圣人之道衰
'sheng'ren'zhi'tu'ye 圣人之徒也
'sheng'ren'zhi'you'min'ru'ci 圣人之忧民如此
'sheng'ren'zhi'yu'min 圣人之於民
'sheng'sha 牲杀
'sheng'wang'bu'zuo 圣王不作
'sheng'xing'fa 省刑罚
'sheng'yin'bu'zu'ting'yu'er'yu 声音不足听於耳与
'sheng'yu'qi'xin 生於其心
'sheng'ze'e'ke'yi'ye 生则恶可已也
'sheng'ze'wu'bu'neng 圣则吾不能
'sheng'zhi 胜之
'shi 仕
'shi'bi'zhan'wen 使毕战问
'shi'bo'qi'e'yu'zhong'ye 是播其恶於众也
'shi'bu'de'geng'nou'yi'yang'qi'fu'mu 使不得耕耨以养其父母
'shi'bu'nan 是不难
'shi'bu'ren'ye 是不仁也
'shi'bu'sheng'you'sheng'ye 视不胜犹胜也
'shi'bu'wei'ye 是不为也
'shi'bu'xing'ye 势不行也
'shi'bu'yi'zhuo 逝不以濯
'shi'bu'zhi'ye 是不智也
'shi'chai'lang'ye 是豺狼也
'shi'chan'er'bu'zheng 市廛而不征
'shi'cheng'bu'neng'ye 是诚不能也
'shi'cheng'he'xin'zai 是诚何心哉
'shi'cheng'xiao'ren'ye 士诚小人也
'shi'cheng'zai'wo 是诚在我
'shi'chu'ren'chuan'zhu 使楚人传诸
'shi'ci'wan'sheng'zhi'jun 视刺万乘之君
'shi'cong'liang'ren'zhi'suo'zhi 施从良人之所之
'shi'dao'zhe'gua'zhu 失道者寡助
'shi'di'li'bu'ru'ren'he'ye 是地利不如人和也
'shi'dong'tian'xia'zhi'bing'ye 是动天下之兵也
'shi'er'bu'shou'lu 仕而不受禄
'shi'er'yue'yu'liang'cheng 十二月舆梁成
'shi'fei'er'suo'zhi'ye 是非尔所之也
'shi'fei'jun'zi'zhi'dao 是非君子之道
'shi'fei'ru'suo'zhi'ye 是非汝所知也
'shi'fei'zhi'xin 是非之心
'shi'gong'hu 食功乎
'shi'gong'ye 食功也
'shi'gu 是故
'shi'guan'shu'jian'yin 使管叔监殷
'shi'he'ru'zhi'ye 是何濡滞也
'shi'he'shang'zai 是何伤哉
'shi'he'yan'ye 是何言也
'shi'he'yi'yu'ci'ren'er'sha'zhi 是何异於刺人而杀之
'shi'he'zu'yu'yan'ren'yi'ye 是何足与言仁义也
'shi'huo'yi'dao'ye 是或一道也
'shi'huo'zhi'ye 是货之也
'shi'ji'wei'zheng 使己为政
'shi'ji'yi'suo'sheng'zhe 是集义所生者
'shi'jian'ye 是简也
'shi'jie'yi'shen 是街已甚
'shi'jue'wu'ye 是绝物也
'shi'jun'jing 使浚井
'shi'jun'wu'yi 事君无义
'shi'kuang'zhi'cong 师旷之聪
'shi'lao'zhi'zhuan'hu'gou'he 使老稚转乎沟壑
'shi'lin'fu'mu 食廪父母
'shi'luan'tian'xia'ye 是乱天下也
'shi'lv'tian'xia'er'lu'ye 是率天下而路也
'shi'min'bu'de'yi'shi 使民不得衣食
'shi'min'ran 使民然
'shi'mou'fei'wu'suo'neng'ji'ye 是谋非吾所能及也
'shi'nai'ren'shu'ye 是乃仁术也
'shi'qi'bu'ke 识其不可
'shi'qi'hu'shi'chu'hu 事齐乎事楚乎
'shi'qi'jun'zhe 弑其君者
'shi'qi'min'ye 失其民也
'shi'qi'min'zhe 失其民者
'shi'qi'ren'chuan'zhi 使齐人传之
'shi'qi'shen'er'neng'shi'qi'qin'zhe 失其身而能事其亲者
'shi'qi'wei'si'tu 使契为司徒
'shi'qi'xin'ye 失其心也
'shi'qi'ye 是气也
'shi'qin 事亲
'shi'qin'fu'yue 事亲弗悦
'shi'qin'ruo'zeng'zi'zhe 事亲若曾子者
'shi'qin'shi'ye 事亲是也
'shi'qin'shou'ye 是禽兽也
'shi'qin'wei'da 事亲为大
'shi'ren'er'chi'wei'shi'ye 矢人而耻为矢也
'shi'ren'qi'bu'ren'yu'han'ren'zai 矢人岂不仁於函人哉
'shi'ren'wei'kong'bu'shang'ren 矢人惟恐不伤人
'shi'ri'hai'sang 时日害丧
'shi'ru'ci'qi'ji'ye 仕如此其急也
'shi'ru'shi'ye 试如是也
'shi'shang'man'er'can'xia'ye 是上慢而残下也
'shi'shang'wei'neng'chong'qi'lei'ye'hu 是尚为能充其类也乎
'shi'she'zhi 始舍之
'shi'shi'bu'neng'zhi'shi 士师不能治士
'shi'shi'cong'wai'lai 施施从外来
'shi'shi'min'yang'sheng'sang'si'wu'han'ye 是使民养生丧死无憾也
'shi'shou'ye 世守也
'shi'shu'ren'bu'ren 士庶人不仁
'shi'shu'ren'yao'yu'lu 使数人要於路
'shi'shu'ren'yue 士庶人曰
'shi'shu'wei'da 事孰为大
'shi'shuai'dao'wei 世衰道微
'shi'si 师死
'shi'su'suo'wei'bu'xiao'zhe'wu 世俗所谓不孝者五
'shi'tian'shi'bu'ru'di'li'ye 是天时不如地利也
'shi'tian'xia'shi'zhe'jie'yu'li'yu'wang'zhi'chao 使天下仕者皆欲立於王之朝
'shi'tian'xia'yue'er'gui'ji 视天下悦而归己
'shi'tian'xia'zhi'fu'gui'zhi'ye 是天下之父归之也
'shi'wang 诗亡
'shi'wang'liang'yu'bi'xi'cheng 使王良与嬖奚乘
'shi'wang'min'ye 是罔民也
'shi'wei'ke'zhi'ye 是未可知也
'shi'wei'san'jun'zhe'ye 是畏三军者也
'shi'wei'wang'zhe'shi'ye 是为王者师也
'shi'wei'yu'fu'hu 是为欲富乎
'shi'wen'wang 师文王
'shi'wu'fu'ye 是无父也
'shi'wu'jun'ye 是无君也
'shi'wu'shi'er'shi 士无事而食
'shi'xie'shuo'wu'min 是邪说诬民
'shi'xin'zu'yi'wang'yi 是心足以王矣
'shi'xing'er'liang'shi 师行而粮食
'shi'yan'de'wei'da'zhang'fu'hu 是焉得为大丈夫乎
'shi'ye 师也
'shi'ye 是也
'shi'yi 什一
'shi'yi'bu'gao'ye 是以不告也
'shi'yi'bu'wang'jian'ye 是以不往见也
'shi'yi'bu'xie'jiu'yi 是亦不屑就已
'shi'yi'bu'xie'qu'yi 是亦不屑去已
'shi'yi'hou'shi'wu'chuan'yan 是以後世无传焉
'shi'yi'jun'zi'yuan'pao'chu'ye 是以君子远庖厨也
'shi'yi'nan'ye 是以难也
'shi'yi'ru'shi'qi'ji'ye 是以如是其急也
'shi'yi'sheng'ren'ye 是亦圣人也
'shi'yi'wei'ren'zhe 是以惟仁者
'shi'yi'yi'you'zui'yan 是亦羿有罪焉
'shi'yi'yi'zhi'rou'ye 是鶃鶃之肉也
'shi'yi'zheng'er'wu'di'yu'tian'xia 十一征而无敌於天下
'shi'yi'zou'ye 是亦走也
'shi'you'di'zi'er'chi'shou'ming'yu'xian'shi'ye 是犹弟子而耻受命於先师也
'shi'you'e'shi'er'ju'xia'ye 是犹恶湿而居下也
'shi'you'e'zui'er'qiang'jiu 是犹恶醉而强酒
'shi'you'qin'shi 施由亲始
'shi'you'zhi're'er'bu'yi'zhuo'ye 是犹执热而不以濯也
'shi'yu'chang 室於场
'shi'yu'dun'jiang'shi 使虞敦匠事
'shi'yu'ren'wei'shan'zhe'ye 是与人为善者也
'shi'yu'suo'yu'ye 是予所欲也
'shi'yu'zhi'zhi 使禹治之
'shi'yun 诗云
'shi'zai'shi'zi 是在世子
'shi'zai'yi'er'qiu'zhu'nan 事在易而求诸难
'shi'ze'ke'you'ye 是则可忧也
'shi'ze'mu'jun 仕则慕君
'shi'ze'tong 是则同
'shi'ze'zhang'zi'yi'yi 是则章子已矣
'shi'ze'zi'bu'yue 士则兹不悦
'shi'ze'zui'zhi'da'zhe 是则罪之大者
'shi'zhe'shi'lu 仕者世禄
'shi'zhe'zhi'zhi'lei'ye 是折枝之类也
'shi'zhi 食志
'shi'zhi'ben'ye 事之本也
'shi'zhi'ju'yu'wang'suo 使之居於王所
'shi'zhi'qu'er 是之取尔
'shi'zhi'shi'wei'ye 士之失位也
'shi'zhi'shi'ye 士之仕也
'shi'zhi'shu'shi'nian 事之数十年
'shi'zhi'xiang'hou'ye 世之相後也
'shi'zhi'yi'ben 使之一本
'shi'zhi'yi'li 事之以礼
'shi'zhi'yi'pi'bi 事之以皮币
'shi'zhi'yi'quan'ma 事之以犬马
'shi'zhi'yi'zhu'yu 事之以珠玉
'shi'zhou'gong'suo'ying'ye 是周公所膺也
'shi'zhu'dai'fu'guo'ren'jie'you'suo'jin'shi 使诸大夫国人皆有所矜式
'shi'zi'de'zhi 使自得之
'shi'zi'qiu'huo'ye 是自求祸也
'shi'zi'wei'ran'you'yue 世子谓然友曰
'shi'zi'yi'wu'yan'hu 世子疑吾言乎
'shi'zi'yin'chen'zi'er'yi'gao'meng'zi 时子因陈子而以告孟子
'shi'zi'yue 世子曰
'shi'zi'zi'chu'fan 世子自楚反
'shi'zuo'yong'zhe 始作俑者
'shou'shen 守身
'shou'shen'wei'da 守身为大
'shou'shu'wei'da 守孰为大
'shou'ti'niao'ji'zhi'dao 兽蹄鸟迹之道
'shou'wang'xiang'zhu 守望相助
'shou'xian'wang'zhi'dao 守先王之道
'shou'xiang'shi 兽相食
'shou'zhi'ben'ye 守之本也
'shou'zhi'wu'zhi 手之舞之
'shou'zhi'zou'kuang'ye 兽之走圹也
'shu'bu'wei'shi 孰不为事
'shu'bu'wei'shou 孰不为守
'shu'gu'bu'ru'chi 数罟不入池
'shu'ke'yi'fa'zhi 孰可以伐之
'shu'ke'yi'sha'zhi 孰可以杀之
'shu'kou'zhi'jia'ke'yi'wu'yi 数口之家可以无矣
'shu'le 孰乐
'shu'min'gong'zhi 庶民攻之
'shu'min'qu'zhi 庶民去之
'shu'min'zi'lai 庶民子来
'shu'neng'yi'zhi 孰能一之
'shu'neng'yu'zhi 孰能与之
'shu'neng'yu'zhi 孰能御之
'shu'nian 数年
'shu'ren'qie'zhi 孰仁且智
'shu'shi'cheng 舒是惩
'shu'suo'zhi'ye 述所职也
'shu'yi'wu'gu 树艺五谷
'shu'yu'qi 疏逾戚
'shu'yue 书曰
'shu'zhi'yi'sang 树之以桑
'shu'zhi'zhe 述职者
'shuai'you'jiu'zhang 率由旧章
'shui'gan'wu'zhi 谁敢侮之
'shui'neng'zhi're 谁能执热
'shui'ni'xing 水逆行
'shui'you'di'zhong'hang 水由地中行
'shui'zai'shui'zai 水哉水哉
'shun 舜
'shun'bu'gao'er'qu 舜不告而娶
'shun'er'yi'yi 舜而已矣
'shun'he'ren'ye 舜何人也
'shun'ji'mei 舜既没
'shun'jin'shi'qin'zhi'dao 舜尽事亲之道
'shun'ming'yu'shu'wu 舜明於庶物
'shun'sheng'yu'zhu'feng 舜生於诸冯
'shun'shi'yi'zhang'huo 舜使益掌火
'shun'tian'zhe'cun 顺天者存
'shun'wang'yu'tian 舜往于田
'shun'wei'fa'yu'tian'xia'ke'chuan'yu'hou'shi 舜为法於天下可传於後世
'shun'yi'bu'de'yu 舜以不得禹
'shun'yuan'yi 舜远矣
'shun'yue 舜曰
'shun'zai'chuang'qin 舜在床琴
'shun'zhi'bu'gao'er'qu 舜之不告而娶
'shun'zhi'dao 舜之道
'shun'zhi'zhi'tian'xia 舜之治天下
'si 死
'si 泗
'si'bu'xiao'ye 四不孝也
'si'cheng'ye 斯城也
'si'cheng'zhe 思诚者
'si'de'min'yi 斯得民矣
'si'de'tian'xia'yi 斯得天下矣
'si'er'zhe'tian'ye 斯二者天也
'si'fang'lai'guan'zhi 四方来观之
'si'hai'zhi'nei 四海之内
'si'ji'yong'guang 思戢用光
'si'jing'zhi'nei'bu'zhi 四境之内不治
'si'jun'er 思君尔
'si'ke'yi'jian'yi 斯可以见矣
'si'min'qin'qi'shang 斯民亲其上
'si'qi'chang'yi 死其长矣
'si'qi'zi 私妻子
'si'shang'yong 死伤勇
'si'su'yi'yi 斯速已矣
'si'tian'xia'wei'yi'wei'yu'ji 思天下惟羿为愈己
'si'tian'xia'zhi'min'zhi'yan 斯天下之民至焉
'si'tu'wu'chu'xiang 死徒无出乡
'si'ye 似也
'si'yi'yi'hao'cuo'yu'ren 思以一毫挫於人
'si'yi'yuan 四夷怨
'si'you'bu'ren'ren'zhi'zheng'yi 斯有不忍人之政矣
'si'yu'xiang'ren'li 思与乡人立
'song 宋
'song'ren'you'min'qi'miao'zhi'bu'chang'er'ya'zhi'zhe 宋人有闵其苗之不长而揠之者
'sou 叟
'sou'zhi'suo'zhi'ye 叟之所知也
'su'yu'zhi'you'er'chuan'ming 速於置邮而传命
'su'yu'zhou 宿於昼
'sui'bi'hu'ke'ye 虽闭户可也
'sui'bu'de'yu 虽不得鱼
'sui'da'guo'bi'wei'zhi'yi 虽大国必畏之矣
'sui'he'kuan'bo 虽褐宽博
'sui'ji'wo'si 遂及我私
'sui'jue'shi'nv 绥厥士女
'sui'pi'fa'ying'guan'er'jiu'zhi 虽被发缨冠而救之
'sui'qian'wan'ren'wu'wang'yi 虽千万人吾往矣
'sui'ran 虽然
'sui'ri'ta'er'qiu'qi'chu 虽日挞而求其楚
'sui'ri'ta'er'qiu'qi'qi'ye 虽日挞而求其齐也
'sui'ruo'qiu'ling 虽若丘陵
'sui'shi'wu'chi'zhi'tong'shi'shi'mo'zhi'huo'qi 虽使五尺之童适市莫之或欺
'sui'shi'yi'yue'tu'gang'cheng 岁十一月徒杠成
'sui'shou'qi'tian'li 遂收其田里
'sui'tan'xi'luo'cheng'yu'wo'ce 虽袒裼裸裎於我侧
'sui'wan'yi 虽万镒
'sui'xiao'zi'ci'sun 虽孝子慈孙
'sui'ye 岁也
'sui'you'ci'ba'wang'bu'yi'yi 虽由此霸王不异矣
'sui'you'e'ren 虽有恶人
'sui'you'ji 虽有基
'sui'you'tai'chi'niao'shou 虽有台池鸟兽
'sui'you'zhi'hui 虽有智慧
'sui'yu'geng 虽欲耕
'sui'yu'wu'wang 虽欲无王
'sui'zhou'yi'zhu'ye 虽周亦助也
'suo'e'wu'shi'er'ye 所恶勿施尔也
'suo'e'yu'zhi'zhe 所恶於智者
'suo'shi'zhi'su 所食之粟
'suo'wei'gu'guo'zhe 所谓故国者
'suo'yang'wang'er'zhong'shen'ye 所仰望而终身也
'suo'yi'bie'ye'ren'ye 所以别野人也
'suo'yi'wei'ren'jie'you'bu'ren'ren'zhi'xin'zhe 所以谓人皆有不忍人之心者
'suo'yi'wei'ze'shan'yi 所以为则善矣
'suo'yi'zi'wei 所以自为
'suo'yu'yu'zhi'ju'zhi 所欲与之聚之
'ta'ren'you'xin 他人有心
'ta'ri 他日
'ta'ri'gui 他日归
'ta'ri'guo'zhi 他日过之
'ta'ri'jun'chu 他日君出
'ta'ye 獭也
'tai'gong'pi'zhou 太公辟纣
'tai'jia'yue 太甲曰
'tai'shan'zhi'yu'qiu'die 泰山之於丘垤
'tai'shi'yue 太誓曰
'tang'fang'jie 汤放桀
'tang'ju'bo 汤居亳
'tang'shi'bo'zhong'wang'wei'zhi'geng 汤使亳众往为之耕
'tang'shi'ge 汤事葛
'tang'shi'ren'wen'zhi'yue 汤使人问之曰
'tang'shi'ye 汤是也
'tang'shi'yi'zhi'niu'yang 汤使遗之牛羊
'tang'shi'yue 汤誓曰
'tang'shi'zheng 汤始征
'tang'yi'qi'shi'li 汤以七十里
'tang'yi'zheng'zi'ge'shi 汤一征自葛始
'tang'you'shi'ren'wen'zhi'yue 汤又使人问之曰
'tang'zhi'yu'yi'yin 汤之於伊尹
'tang'zhi'zhong 汤执中
'tao'wei'ji'you 陶为己忧
'tao'ye'yi'yi'qi'xie'qi'yi'su'zhe 陶冶亦以其械器易粟者
'teng 滕
'teng'ding'gong'hong 滕定公薨
'teng'gu'xing'zhi'yi 滕固行之矣
'teng'jun 滕君
'teng'wen'gong'shang 滕文公上
'teng'wen'gong'wei'shi'zi 滕文公为世子
'teng'wen'gong'wen 滕文公问
'teng'wen'gong'wen'yue 滕文公问曰
'teng'wen'gong'xia 滕文公下
'ti'chu'er'nv'yu'wu 涕出而女於吴
'ti'zhi'chong'ye 体之充也
'tian'jiang'xia'min 天降下民
'tian'li'ye 天吏也
'tian'ming'mi'chang 天命靡常
'tian'ran'gu'zhi 填然鼓之
'tian'shi'bu'ru'di'li 天时不如地利
'tian'xia'bu'xin'fu'er'wang'zhe 天下不心服而王者
'tian'xia'da'yue 天下大悦
'tian'xia'da'yue'er'jiang'gui'ji 天下大悦而将归己
'tian'xia'e'hu'ding 天下恶乎定
'tian'xia'gu'wei'qi'zhi'ye 天下固畏齐之也
'tian'xia'gui'yin'jiu'yi 天下归殷久矣
'tian'xia'guo'jia 天下国家
'tian'xia'he'gan'you'yue'jue'zhi 天下曷敢有越厥志
'tian'xia'ke'yun'yu'zhang 天下可运於掌
'tian'xia'mo'bu'yu'ye 天下莫不与也
'tian'xia'mo'qiang'yan 天下莫强焉
'tian'xia'mu'zhi 天下慕之
'tian'xia'ni 天下溺
'tian'xia'shun'zhi 天下顺之
'tian'xia'wu'dao 天下无道
'tian'xia'wu'di 天下无敌
'tian'xia'xin'zhi 天下信之
'tian'xia'you'da'luan 天下又大乱
'tian'xia'you'da'zun'san 天下有达尊三
'tian'xia'you'dao 天下有道
'tian'xia'you'wei'ping 天下犹未平
'tian'xia'zhi'ben'zai'guo 天下之本在国
'tian'xia'zhi'bu'zhu'miao'zhang'zhe'gua'yi 天下之不助苗长者寡矣
'tian'xia'zhi'da'lao'ye 天下之大老也
'tian'xia'zhi'fu'gui'zhi 天下之父归之
'tian'xia'zhi'jian'gong'ye 天下之贱工也
'tian'xia'zhi'liang'gong'ye 天下之良工也
'tian'xia'zhi'min'ju'an 天下之民举安
'tian'xia'zhi'qiong'min'er'wu'gao'zhe 天下之穷民而无告者
'tian'xia'zhi'sheng'jiu'yi 天下之生久矣
'tian'xia'zhi'shi'duo'jiu'zhi'zhe 天下之士多就之者
'tian'xia'zhi'shi'yue'zhi 天下之士悦之
'tian'xia'zhi'tong'yi'ye 天下之通义也
'tian'xia'zhi'yan 天下之言
'tian'xia'zhi'yan'xing'ye 天下之言性也
'tian'xia'zhi'yu'ji'qi'jun'zhe 天下之欲疾其君者
'tian'ye 天也
'tian'ye'bu'pi 田野不辟
'tian'you'ran'zuo'yun 天油然作云
'tian'zhi'dao'ye 天之道也
'tian'zhi'fang'jue 天之方蹶
'tian'zhi'gao'ye 天之高也
'tian'zhi'zun'jue'ye 天之尊爵也
'tian'zi'bu'ren 天子不仁
'tian'zi'shi'zhu'hou'yue'xun'shou 天子适诸侯曰巡狩
'tian'zi'zhi'shi'ye 天子之事也
'tian'zuo'nie 天作孽
'ting'qi'yan'ye 听其言也
'ting'yu'zai 听於宰
'tong'chao'shen'xi 同朝甚喜
'tong'guo'jie'cheng'bu'xiao'yan 通国皆称不孝焉
'tong'yang'gong'tian 同养公田
'tu'bu'chuo'ye 徒哺啜也
'tu'fa'bu'neng'yi'zi'xing 徒法不能以自行
'tu'shan'bu'zu'yi'wei'zheng 徒善不足以为政
'tu'you'e'piao'er'bu'zhi'fa 涂有饿莩而不知发
'tui'e'e'zhi'xin 推恶恶之心
