'a'ben'da'zuo'jiao'nang 阿苯达唑胶囊
'yi'xuan'ning'jiao'nang 抑眩宁胶囊
'yi'yan'jing'pian 异烟肼片
'yi'yan'jing'pian 异胭肼片
'yi'yan'jing'zhu'she'ye 异烟肼注射液
'yi'yi'ren 薏苡仁
'yi'yong'beng'dai 医用绷带
'yi'yong'chao'sheng'yi'qi'ji'you'guan'she'bei 医用超声仪器及有关设备
'yi'yong'chou'yang'dao'qi'tou 医用臭氧导气头
'yi'yong'ci'gong'zhen'she'bei 医用磁共振设备
'yi'yong'dian'zi'yi'qi'she'bei'lei 医用电子仪器设备类
'yi'yong'feng'he'cai'liao'ji'nian'he'ji 医用缝合材料及粘合剂
'yi'yong'gao'fen'zi'beng'dai 医用高分子绷带
'yi'yong'gao'fen'zi'jia'ban 医用高分子夹板
'yi'yong'gao'pin'yi'qi'she'bei 医用高频仪器设备
'yi'yong'he'su'she'bei 医用核素设备
'yi'yong'hua'yan'he'ji'chu'she'bei'qi'ju 医用化验和基础设备器具
'yi'yong'ji'guang'yi'qi'she'bei 医用激光仪器设备
'yi'yong'jiao'bu 医用胶布
'yi'yong'jiao'dai 医用胶带
'yi'yong'jiu'jing 医用酒精
'yi'yong'mian'qian 医用棉签
'yi'yong're'tie 医用热贴
'yi'yong'sha'bu'kou'zhao 医用纱布口罩
'yi'yong'sha'bu'kuai 医用纱布块
'yi'yong'sha'bu'kuai 医用纱布快
'yi'yong'sha'bu'pian 医用纱布片
'yi'yong'shang'kou'hu'li'mo 医用伤口护理膜
'yi'yong'she'xian'fang'hu'yong'pin'zhuang'zhi 医用射线防护用品装置
'yi'yong'sheng'wu'jiao'ti'fen'san'ji 医用生物胶体分散剂
'yi'yong'sheng'wu'jiao'ti'fen'san'ji'hui'han'shu'tai 医用生物胶体分散剂汇涵术泰
'yi'yong'sheng'wu'jiao'ti'fen'san'ji'man'lin 医用生物胶体分散剂曼琳
'yi'yong'sheng'wu'jiao'ti'fen'san'ji'ya'fu 医用生物胶体分散剂雅肤
'yi'yong'shu'ye'tie 医用输液贴
'yi'yong'tuo'zhi'mian 医用脱脂棉
'yi'yong'tuo'zhi'sha'bu'kou'zhao 医用脱脂纱布口罩
'yi'yong'xiang'pi'gao 医用橡皮膏
'yi'yong'xiang'pi'gao'tou'qi'jiao'dai 医用橡皮膏透气胶带
'yi'zhi'cheng'zhang'tian'tian'gai'pian 益智成长天天钙片
'yi'zhi'er'yi'xian'an'yi'suan'yi'er'an'zhu'she'ye 一止二乙酰氨乙酸乙二胺注射液
'yi'zhi'hao'shang'shi'qu'tong'gao 一枝蒿伤湿祛痛膏
'yi'zhi'ren 益智仁
'yi'zhong'sheng'xue'jiao'nang 益中生血胶囊
'yin'bei'zhi'ke'ke'li 银贝止咳颗粒
'yin'chai'hu 银柴胡
'yin'chai'ke'li 银柴颗粒
'yin'chen 茵陈
'yin'chen'wu'ling'wan 茵陈五苓丸
'yin'da'pa'an'huan'shi'jiao'nang 吲达帕胺缓释胶囊
'yin'da'pa'an'huan'shi'pian 吲达帕胺缓释片
'yin'da'pa'an'huan'shi'pian 银达帕胺缓释片
'yin'da'pa'an'jiao'nang 吲达帕胺胶囊
'yin'da'pa'an'pian 吲达帕胺片
'yin'dan'xin'tai'di'wan 银丹心泰滴丸
'yin'dao'chong'xi'qi 阴道冲洗器
'yin'duo'bu'fen'pian 吲哚布芬片
'yin'duo'mei'xin'ca'ji'xiao'yan'tong'ca'ji 吲哚美锌擦剂消炎痛擦剂
'yin'duo'mei'xin'chang'rong'pian 吲哚美辛肠溶片
'yin'duo'mei'xin'chang'rong'pian'xiao'yan'tong 吲哚美辛肠溶片消炎痛
'yin'duo'mei'xin'fu'nan'tong'shuan 吲哚美辛呋喃酮栓
'yin'duo'mei'xin'fu'nan'zuo'tong'shuan 吲哚美辛呋喃唑酮栓
'yin'duo'mei'xin'huan'shi'jiao'nang 吲哚美辛缓释胶囊
'yin'duo'mei'xin'jiao'nang 吲哚美辛胶囊
'yin'duo'mei'xin'kong'shi'pian 吲哚美辛控释片
'yin'duo'mei'xin'pian 吲哚美辛片
'yin'duo'mei'xin'pian'xiao'yan'pian 吲哚美辛片消炎片
'yin'duo'mei'xin'shuan 吲哚美辛栓
'yin'duo'mei'xin'xiao'yan'tong'chang'rong'pian 吲哚美辛消炎痛肠溶片
'yin'hua'gan'mao'ke'li 银花感冒颗粒
'yin'hua'mang'guo'jiao'nang 银花芒果胶囊
'yin'huang'di'wan 银黄滴丸
'yin'huang'han'hua'di'wan 银黄含化滴丸
'yin'huang'han'pian 银黄含片
'yin'huang'jiao'nang 银黄胶囊
'yin'huang'ke'li 银黄颗粒
'yin'huang'ke'li'wu'tang'xing 银黄颗粒无糖型
'yin'huang'kou'fu'ye 银黄口服液
'yin'huang'pian 银黄片
'yin'huang'qing'fei'jiao'nang 银黄清肺胶囊
'yin'huang'ruan'jiao'nang 银黄软胶囊
'yin'ji'mei'chang'rong'jiao'nang 蚓激酶肠溶胶囊
'yin'ju'qing'jie'pian 银菊清解片
'yin'ke'luo'yin'xing'ye'pian 银可络银杏叶片
'yin'li'zi'fu'ke'wai'yong'kang'jun'ning'jiao 银离子妇科外用抗菌凝胶
'yin'li'zi'kang'jun'shui'ning'jiao'fu'yan'hao 银离子抗菌水凝胶妇炎号
'yin'liang'ru'suan'zuo'yang'fu'sha'xing'zhu'she'ye 银亮乳酸左氧氟沙星注射液
'yin'mi'pian 银蜜片
'yin'qi'shi 阴起石
'yin'qiao'jie'du'he'ji 银翘解毒合剂
'yin'qiao'jie'du'ke'li 银翘解毒颗粒
'yin'qiao'jie'du'kou'fu'ye 银翘解毒口服液
'yin'qiao'jie'du'pian 银翘解毒片
'yin'qiao'jie'du'wan 银翘解毒丸
'yin'qiao'shang'feng'jiao'nang 银翘伤风胶囊
'yin'qin'jiao'nang 银芩胶囊
'yin'te'fen'zhu'she'yong'chong'zu'ren'gan'rao'su 因特芬注射用重组人干扰素
'yin'xie'ling'ke'li 银屑灵颗粒
'yin'xing'da'mo'zhu'she'ye 银杏达莫注射液
'yin'xing'mi'huan'kou'fu'rong'ye 银杏密环口服溶液
'yin'xing'mi'huan'kou'fu'ye 银杏密环口服液
'yin'xing'ruan'jiao'nang'you'lai'mei 银杏软胶囊优莱美
'yin'xing'tong'zhi'di'wan 银杏酮脂滴丸
'yin'xing'tong'zhi'fen'san'pian 银杏酮酯分散片
'yin'xing'ye 银杏叶
'yin'xing'ye'di'wan 银杏叶滴丸
'yin'xing'ye'fen'san'pian 银杏叶分散片
'yin'xing'ye'jiao'nang 银杏叶胶囊
'yin'xing'ye'pian 银杏叶片
'yin'xing'ye'pian'luo'xin'tong'pian 银杏叶片络欣通片
'yin'xing'ye'ruan'jiao'nang 银杏叶软胶囊
'yin'xing'ye'ti'qu'wu'pian'jin'na'duo 银杏叶提取物片金纳多
'yin'xing'ye'ti'qu'wu'zhu'she'ye'jin'na'duo'zhen 银杏叶提取物注射液金纳多针
'yin'yang'huo 淫羊藿
'yin'zhi'huang'jiao'nang 茵栀黄胶囊
'yin'zhi'huang'ke'li 茵栀黄颗粒
'yin'zhi'huang'kou'fu'ye 茵栀黄口服液
'yin'zhi'huang'zhu'she'ye'sao'ma 茵栀黄注射液扫码
'ying'er'an'pian 婴儿安片
'ying'er'bao'fei'ning 婴儿保肺宁
'ying'er'jian'pi'ke'li 婴儿健脾颗粒
'ying'er'jian'pi'san 婴儿健脾散
'ying'er'jian'pi'san'ying'er'su 婴儿健脾散婴儿素
'ying'er'ping 婴儿平
'ying'er'su'pian 婴儿素片
'ying'er'su'ying'er'jian'pi'san 婴儿素婴儿健脾散
'ying'guang'su'na'zhu'she'ye 荧光素钠注射液
'ying'tai'qing'shuang'lv'fen'suan'na'huan'shi'jiao'nang 英太青双氯芬酸纳缓释胶囊
'yong'long'huo'luo'you'bao'ji'you 永龙活络油保济油
'you'fu'ding'pian 优副定片
'you'gui'wan 右归丸
'you'jiang'tang'pian'ge'lie'ben'niao'pian 优降糖片格列本脲片
'you'ka'dan'xiao'er'an'fen'wan'an'ke'li 优卡丹小儿氨酚烷胺颗粒
'you'ka'dan'xiao'er'xin'su'gan'mao'ke'li 优卡丹小儿新速感冒颗粒
'you'ni'si'zao'yun'shi'zhi 优尼斯早孕试纸
'you'te'shu'fu'fang'cu'suan'di'sai'mi'song'ru'gao 优特舒复方醋酸地塞米松乳膏
'you'te'shu'mi'kang'zuo'lv'bei'ta'suo'ru'gao 优特舒咪康唑氯倍他索乳膏
'you'xie'ning'ke'li 幼泻宁颗粒
'you'xuan'tang'gan'lv'hua'na'zhu'she'ye 右旋糖酐氯化钠注射液
'you'xuan'tang'gan'pu'tao'tang 右旋糖酐葡萄糖
'you'xuan'tang'gan'pu'tao'tang'zhu'she'ye 右旋糖酐葡萄糖注射液
'you'xuan'tang'gan'tie'pian 右旋糖酐贴片
'you'xuan'tang'gan'tie'pian 右旋糖酐铁片
'you'xuan'tang'gan'tie'zhu'she'ye 右旋糖酐铁注射液
'yu'biao'bu'shen'wan 鱼鳔补肾丸
'yu'chong'shi'dao'guan'chong'xi'qi 预充式导管冲洗器
'yu'chuang'gan'you'mi'pian 愈创甘油醚片
'yu'dai'fu'fu'fang'ban'lan'gen'ke'li 御大夫复方板蓝根颗粒
'yu'dai'fu'fu'fang'lv'mei'su'shuan 御大夫复方氯霉素栓
'yu'dai'fu'wu'zi'yan'zong'kou'fu'ye 御大夫五子衍宗口服液
'yu'dai'fu'xian'zhu'li 御大夫鲜竹沥
'yu'dai'fu'zhi'ke'pi'pa'lu 御大夫治咳枇杷露
'yu'dai'wan 愈带丸
'yu'fang'tang'hai'gou'wan'li'he 御坊堂海狗丸礼盒
'yu'fen'dai'yin'kou'fu'rong'ye 愈酚待因口服溶液
'yu'fen'pen'tuo'yi'bing'qin'ke'li 愈酚喷托异丙嗪颗粒
'yu'fen'wei'lin'jiao'nang 愈酚维林胶囊
'yu'fen'wei'lin'pian 愈酚维林片
'yu'fen'wei'ma'dai'yin'kou'fu'rong'ye 愈酚伪麻待因口服溶液
'yu'fen'wei'ma'pian 愈酚伪麻片
'yu'feng'dan 愈风丹
'yu'feng'ning'xin'kou'fu'ye 愈风宁心口服液
'yu'feng'ning'xin'pian 愈风宁心片
'yu'gan'you'ru 鱼肝油乳
'yu'gan'you'ru'ru'bai'xing 鱼肝油乳乳白型
'yu'jin 郁金
'yu'jin'yin'xie'pian 郁金银屑片
'yu'jin'zhu'she'ye'sao'ma 鱼金注射液扫码
'yu'lan'jiang'tang'jiao'nang 玉兰降糖胶囊
'yu'li'ren 郁李仁
'yu'lin'zhen'huang'wan 玉林珍黄丸
'yu'mei'jia'ma'min'tang'jiang 愈美甲麻敏糖浆
'yu'mei'jia'ma'min'tang'jiang'kuai'ke'lu 愈美甲麻敏糖浆快克露
'yu'mei'jia'ma'min'tang'jiang'ya'bang 愈美甲麻敏糖浆雅邦
'yu'mei'pian 愈美片
'yu'mi'xu 玉米须
'yu'ping'feng'ke'li 玉屏风颗粒
'yu'ping'feng'ke'li'qian'fu'zhi 玉屏风颗粒千服止
'yu'ping'feng'ke'li'xi'ming'tang 玉屏风颗粒西鸣堂
'yu'ping'feng'kou'fu'ye 玉屏风口服液
'yu'quan'wan 玉泉丸
'yu'shang'ling'jiao'nang 愈伤灵胶囊
'yu'sheng'tang'chang'qing'cha 御生堂肠清茶
'yu'shi'zhi'ruan'gao 鱼石脂软膏
'yu'ting'zuo'que'nuo'yun'tong'pian 毓婷左炔诺孕酮片
'yu'xing'cao 鱼腥草
'yu'xing'cao'di'yan'ye 鱼腥草滴眼液
'yu'xing'cao'qin'lan'he'ji 鱼腥草芩蓝合剂
'yu'xing'cao'su'na'pian 鱼腥草素纳片
'yu'xing'cao'su'na'pian 鱼腥草素钠片
'yu'xing'cao'su'na'pian'du'yan'ping 鱼腥草素钠片独言平
'yu'xing'cao'su'na'shuan 鱼腥草素钠栓
'yu'xing'cao'zhen'sao'ma 鱼腥草针扫码
'yu'xing'cao'zhu'she'ye 鱼腥草注射液
'yu'xing'cao'zhu'she'ye'sao'ma 鱼腥草注射液扫码
'yu'xue'bi'jiao'nang 瘀血痹胶囊
'yu'xue'bi'pian 瘀血痹片
'yu'ye'qing'huo'jiao'nang 玉叶清火胶囊
'yu'ye'qing'huo'jiao'nang'xing'bi'da 玉叶清火胶囊兴必达
'yu'you'ruan'jiao'nang 鱼油软胶囊
'yu'zan'qing'yan'shi'wu'wei'wan 玉簪清咽十五味丸
'yu'zhu 玉竹
'yu'zhu'gao 玉竹膏
'yuan'he'zheng'wei'pian 元和正胃片
'yuan'hong'wai'li'liao'gu'zhi'zeng'sheng'tie 远红外理疗骨质增生贴
'yuan'hong'wai'li'liao'tie 远红外理疗贴
'yuan'hong'wai'li'liao'tie'die'da'sun'shang'zhuan'yong 远红外理疗贴跌打损伤专用
'yuan'hong'wai'li'liao'tie'gu'zhi'zeng'sheng'zhuan'yong 远红外理疗贴骨质增生专用
'yuan'hong'wai'li'liao'tie'jing'zhui'bing'zhuan'yong 远红外理疗贴颈椎病专用
'yuan'hong'wai'li'liao'tie'yao'tui'tong'zhuan'yong 远红外理疗贴腰腿痛专用
'yuan'hong'wai'li'liao'tie'yao'zhui'jian'pan'tu'chu'zhuan'yong 远红外理疗贴腰椎间盘突出专用
'yuan'hong'wai'xiao'tong'tie 远红外消痛贴
'yuan'hu'wei'shu'pian 元胡胃舒片
'yuan'hu'zhi'tong'di'wan 元胡止痛滴丸
'yuan'hu'zhi'tong'jiao'nang 元胡止痛胶囊
'yuan'hu'zhi'tong'ke'li 元胡止痛颗粒
'yuan'hu'zhi'tong'pian 元胡止痛片
'yuan'shou'jiao'nang 源首胶囊
'yue'da'ning'yan'suan'er'jia'shuang'gua'huan'shi'pian 悦达宁盐酸二甲双胍缓释片
'yue'ji'hua 月季花
'yue'jian'cao'you'jiao'wan 月见草油胶丸
'yue'ju'bao'he'wan 越鞠保和丸
'yue'qing'xin'yan'ke'ning'pian 乐清欣炎可宁片
'yue'yue'shu'tong'jing'bao'ke'li 月月舒痛经宝颗粒
'yun'che'tie 晕车贴
'yun'che'tie'gao 晕车贴膏
'yun'che'tie'ren'tou 晕车贴人头
'yun'fu'gao'gai'pian 孕妇高钙片
'yun'fu'wei'ta'jin'ma'li'wei'gai'kou'jiao'pian 孕妇维他金马力维钙口嚼片
'yun'kang'kou'fu'ye 孕康口服液
'yun'kang'tang'jiang 孕康糖浆
'yun'ma'ma'gao'gai'pian 孕妈妈高钙片
'yun'mei'zi'jian'fei'jiao'nang 韵美姿减肥胶囊
'yun'nan'bai'yao 云南白药
'yun'nan'bai'yao'chuang'ke'tie 云南白药创可贴
'yun'nan'bai'yao'chuang'ke'tie'jia'ting'zhuang 云南白药创可贴家庭装
'yun'nan'bai'yao'chuang'ke'tie'qing'qiao'tou'qi 云南白药创可贴轻巧透气
'yun'nan'bai'yao'chuang'kou'tie'bian'xie'xing 云南白药创口贴便携型
'yun'nan'bai'yao'ding 云南白药酊
'yun'nan'bai'yao'fen 云南白药粉
'yun'nan'bai'yao'gao 云南白药膏
'yun'nan'bai'yao'jiao'nang 云南白药胶囊
'yun'nan'bai'yao'qi'wu'ji 云南白药气雾剂
'yun'nan'bai'yao'ying'gao'tou'qi'xing 云南白药硬膏透气型
'yun'san'xi'tong'jiao'nang 孕三烯酮胶囊
'yun'shi'gan'mao'he'ji 云实感冒合剂
'yun'teng'ji'luo'kang 熨熥激络康
'yun'tong'ding'jiao'nang 晕痛定胶囊
'yun'xiao 云硝
'yun'zhi'bao'nei'tang'tai'jiao'nang 云芝胞内糖肽胶囊
'yun'zhi'gan'tai'ke'li 云芝肝泰颗粒
'zai'lin'a'mo'xi'lin'ke'li 再林阿莫西林颗粒
'zang'qing'guo'chong'ji 藏青果冲剂
'zang'qing'guo'hou'pian 藏青果喉片
'zang'qing'guo'ke'li 藏青果颗粒
'zao'ci 皂刺
'zao'jiao 皂角
'zao'jiao'ci 皂角刺
'zao'ren'an'shen'jiao'nang 枣仁安神胶囊
'zao'ren'an'shen'ke'li 枣仁安神颗粒
'zao'suan'shuang'zhi'na'lv'hua'na'zhu'she'ye 藻酸双酯钠氯化钠注射液
'zao'suan'shuang'zhi'na'pian 藻酸双酯钠片
'zao'yun'jian'ce'shi'zhi 早孕检测试纸
'zao'yun'shi'zhi 早孕试纸
'zao'zao'yun 早早孕
'zao'zao'yun'jian'ce'shi'he'da'wei 早早孕检测试盒大卫
'zao'zao'yun'jian'ce'shi'tiao'kuai'su'xiu 早早孕检测试条快速秀
'zao'zao'yun'jian'ce'shi'zhi'kuai'su'xiu 早早孕检测试纸快速秀
'zao'zao'zhi'niao'zhi'ban'xing 早早知尿纸板型
'zao'zao'zhi'niao'zhi'tiao'xing 早早知尿纸条型
'ze'gui'long'shuang'pian 泽桂癃爽片
'ze'lan 泽兰
'ze'xie 泽泻
'zeng'guang'jiao'nang 增光胶囊
'zeng'sheng'ping'pian 增生平片
'zeng'xiao'lian'huang'pian 增效联磺片
'zeng'xiao'qi'guan'yan'pian 增效气管炎片
'zha'chong'shi'san'wei'wan 扎冲十三味丸
'zhan'jin'huo'xue'san 展筋活血散
'zhang'nao'bo'he'liu'zhi'ru'gao 樟脑薄荷柳酯乳膏
'zhang'nao'shui'he'lv'quan'ding 樟脑水合氯醛酊
'zhang'nao'shui'he'lv'quan'ding'ya'tong'shui 樟脑水合氯醛酊牙痛水
'zhang'yan'ming'jiao'nang 障眼明胶囊
'zhang'yan'ming'pian 障眼明片
'zhe'bei'mu 浙贝母
'zhe'tang'tie'zhu'she'ye 蔗糖铁注射液
'zhen'he'ling'pian 珍合灵片
'zhen'jiang'gao'yao 镇江膏药
'zhen'ju'jiang'ya'pian 珍菊降压片
'zhen'ke'ning'di'wan 镇咳宁滴丸
'zhen'ke'ning'ke'li 镇咳宁颗粒
'zhen'ke'tang'jiang 镇咳糖浆
'zhen'long'zheng'hong'hua'you 真龙正红花油
'zhen'nao'ning'jiao'nang 镇脑宁胶囊
'zhen'qi'bu'xue'kou'fu'ye 珍芪补血口服液
'zhen'qi'fu'zheng'jiao'nang 贞芪扶正胶囊
'zhen'qi'fu'zheng'ke'li 贞芪扶正颗粒
'zhen'qi'fu'zheng'ke'li'han'tang'xing 贞芪扶正颗粒含糖型
'zhen'qi'fu'zheng'ke'li'wu'tang'xing 贞芪扶正颗粒无糖型
'zhen'rong'dan'he'ji 贞蓉丹合剂
'zhen'shan'li'wei'pian 珍杉理胃片
'zhen'shi'ming'di'yan'ye 珍视明滴眼液
'zhen'tong'huo'luo'ding 镇痛活络酊
'zhen'yuan'jiao'nang 振源胶囊
'zhen'yuan'kou'fu'ye 振源口服液
'zhen'yuan'qing'yan'san 珍元清咽散
'zhen'zhu 珍珠
'zhen'zhu'cao 珍珠草
'zhen'zhu'ceng'fen 珍珠层粉
'zhen'zhu'ling'zhi'pian 珍珠灵芝片
'zhen'zhu'ming'mu'di'yan'ye 珍珠明目滴眼液
'zhen'zhu'mo 珍珠末
'zheng'chai'hu'yin'jiao'nang 正柴胡饮胶囊
'zheng'chang'sheng'kou'fu'di'yi'ya'bao'gan'jun'jiao'nang 整肠生口服地衣芽胞杆菌胶囊
'zheng'da'wei'ta'di'yan'ye 正大维他滴眼液
'zheng'gu'shui 正骨水
'zheng'hong'hua'you 正红花油
'zheng'hong'hua'you'yong'long 正红花油永龙
'zheng'lu'wan 正露丸
'zheng'mao'xiong'dan'wan 正茂熊胆丸
'zheng'qing'feng'tong'ning'huan'shi'pian 正清风痛宁缓释片
'zheng'qing'feng'tong'ning'pian 正清风痛宁片
'zheng'qing'feng'tong'ning'zhu'she'ye'sao'ma 正清风痛宁注射液扫码
'zheng'tian'wan 正天丸
'zheng'tong'pian'an'fen'ka'pi'lin'pian 正痛片氨酚咖匹林片
'zheng'wei'jiao'nang 正胃胶囊
'zheng'wei'pian 正胃片
'zheng'xin'tai'ke'li 正心泰颗粒
'zheng'xin'tai'pian 正心泰片
'zheng'zhou'fei'er'wan 郑州肥儿丸
'zhi'bai'bu 炙白部
'zhi'bai'di'huang'wan 知柏地黄丸
'zhi'bai'di'huang'wan'da'mi'wan 知柏地黄丸大密丸
'zhi'bai'di'huang'wan'nong'suo'wan 知柏地黄丸浓缩丸
'zhi'bai'di'huang'wan'shui'mi'wan 知柏地黄丸水蜜丸
'zhi'bai'di'huang'wan'xiao'mi'wan 知柏地黄丸小蜜丸
'zhi'bai'fu'zi 制白附子
'zhi'bai'he 炙百合
'zhi'bai'qian 炙白前
'zhi'bi'tuo'jiao'nang 脂必妥胶囊
'zhi'bi'tuo'pian 脂必妥片
'zhi'cao'wu 制草乌
'zhi'cao'wu 炙草乌
'zhi'chuan'ling'zhu'she'ye'sao'ma 止喘灵注射液扫码
'zhi'chuan'wu 制川乌
'zhi'chuan'wu 炙川乌
'zhi'chuang'jiao'nang 痔疮胶囊
'zhi'chuang'ning'shuan 痔疮宁栓
'zhi'chuang'pian 痔疮片
'zhi'chuang'shuan 痔疮栓
'zhi'chuang'zhi'xue'ke'li 痔疮止血颗粒
'zhi'dai'pian 治带片
'zhi'dou'shi'she'xiang'zhi'chuang'gao 痔斗士麝香痔疮膏
'zhi'dou'shi'she'xiang'zhi'chuang'shuan 痔斗士麝香痔疮栓
'zhi'er'ling'gao'zi 稚儿灵膏滋
'zhi'er'ling'ke'li 稚儿灵颗粒
'zhi'fang'ran'shao'dan 脂肪燃烧弹
'zhi'fang'ran'shao'dan'di'san'dai 脂肪燃烧弹第三代
'zhi'fang'ran'shao'dan'zhi 脂肪燃烧弹纸
'zhi'fang'ru'zhu'she'ye 脂肪乳注射液
'zhi'gan'cao 炙甘草
'zhi'gan'jia'jiao'nang 治感佳胶囊
'zhi'gan'ling'ke'li 治感灵颗粒
'zhi'he'shou'wu 制何首乌
'zhi'huang'qi 炙黄芪
'zhi'jiang'ning'pian 脂降宁片
'zhi'jiang'ning'pian'an'luo'ning'pian 脂降宁片安络宁片
'zhi'jun'bi'tuo'zhu'she'yong'tou'bao'sai'wo'na 治菌必妥注射用头孢噻肟钠
'zhi'kang'dai'pao'ji 痔康袋泡剂
'zhi'kang'jiao'nang 痔康胶囊
'zhi'kang'jiao'nang 致康胶囊
'zhi'ke 枳壳
'zhi'ke'bao'pian 止咳宝片
'zhi'ke'bao'pian'te'yi 止咳宝片特一
'zhi'ke'chuan'ke'li 止咳喘颗粒
'zhi'ke'ding'chuan'pian 止咳定喘片
'zhi'ke'ju'hao'yu'mei'fen'san'pian 止刻句号愈美分散片
'zhi'ke'ju'hong'jiao'nang 止咳橘红胶囊
'zhi'ke'ju'hong'ke'li 止咳橘红颗粒
'zhi'ke'ju'hong'ke'li'han'tang'xing 止咳橘红颗粒含糖型
'zhi'ke'ju'hong'ke'li'kang'zhi'song 止咳橘红颗粒康芝松
'zhi'ke'ju'hong'ke'li'wu'tang'xing 止咳橘红颗粒无糖型
'zhi'ke'ju'hong'kou'fu'ye 止咳橘红口服液
'zhi'ke'ning'sou'jiao'nang 止咳宁嗽胶囊
'zhi'ke'pi'pa'he'ji 止咳枇杷合剂
'zhi'ke'pi'pa'he'ji 治咳枇杷合剂
'zhi'ke'pi'pa'ke'li 止咳枇杷颗粒
'zhi'ke'pi'pa'lu 治咳枇杷露
'zhi'ke'pi'pa'tang'jiang 止咳枇杷糖浆
'zhi'ke'pian 止咳片
'zhi'ke'qing'jiao'nang 脂可清胶囊
'zhi'ke'qu'tan'ke'li 止咳祛痰颗粒
'zhi'ke'tao'hua'san 止咳桃花散
'zhi'ke'wan 止咳丸
'zhi'le'ning'gan'lu'chun'yan'suan'zhi'pian 旨乐宁甘露醇烟酸酯片
'zhi'li'ning'pian 止痢宁片
'zhi'ling'jun'si'jiao'nang 至灵菌丝胶囊
'zhi'ma'huang 炙麻黄
'zhi'mai'kang'jiao'nang 脂脉康胶囊
'zhi'mei'jun'su'pao'teng'pian 制霉菌素泡腾片
'zhi'mei'jun'su'pian 制霉菌素片
'zhi'mei'su'pian 制霉素片
'zhi'mei'su'yin'dao'pao'teng'pian 制霉素阴道泡腾片
'zhi'mei'su'yin'dao'shuan 制霉素阴道栓
'zhi'mi'ling'shuan 治糜灵栓
'zhi'mu 知母
'zhi'nan'wu'wei'zi 炙南五味子
'zhi'pian'tong'jiao'nang 治偏痛胶囊
'zhi'pian'tong'ke'li 治偏痛颗粒
'zhi'ru'cai'liao'he'ren'gong'qi'guan 植入材料和人工器官
'zhi'ru'xiang 制乳香
'zhi'shi 枳实
'zhi'shou'wu 炙首乌
'zhi'shu'kuan'zhong'jiao'nang 枳术宽中胶囊
'zhi'sou'hua'tan'jiao'nang 止嗽化痰胶囊
'zhi'sou'hua'tan'ke'li 止嗽化痰颗粒
'zhi'sou'ke'chuan'ning'tang'jiang 止嗽咳喘宁糖浆
'zhi'sou'kou'fu'ye 止嗽口服液
'zhi'sou'li'xiao'jiao'nang 止嗽立效胶囊
'zhi'sou'li'xiao'wan 止嗽立效丸
'zhi'sou'pian 止嗽片
'zhi'sou'qing'guo'wan 止嗽青果丸
'zhi'sou'sao'tan'wan 止嗽扫痰丸
'zhi'su'ning'pian 痔速宁片
'zhi'te'jia'pian 痔特佳片
'zhi'tian'nan'xing 制天南星
'zhi'tong'feng'shi'wan 止痛风湿丸
'zhi'tong'hua'zheng'jiao'nang 止痛化癥胶囊
'zhi'tong'hua'zheng'pian 止痛化癥片
'zhi'tuo'jie'bai'pian 智托洁白片
'zhi'wu'ben'cao'yi'jun'xi'ye 植物本草抑菌洗液
'zhi'wu'she 制乌蛇
'zhi'xiang'fu 制香附
'zhi'xie'bao'tong'ke'li 止泻保童颗粒
'zhi'xie'chong'ji 止泻冲剂
'zhi'xie'ke'li 止泻颗粒
'zhi'xie'li'ke'li 止泻利颗粒
'zhi'xie'ling'tang'jiang 止泻灵糖浆
'zhi'xuan'an'shen'ke'li 止眩安神颗粒
'zhi'xue'bao'jiao'nang 止血宝胶囊
'zhi'xue'bao'ke'li 止血宝颗粒
'zhi'xue'bao'pian 止血宝片
'zhi'xue'fang'suan'an'jia'ben'suan'zhu'she'ye 止血芳酸氨甲苯酸注射液
'zhi'xue'fang'suan'an'jia'huan'suan'zhu'she'ye 止血芳酸氨甲环酸注射液
'zhi'xue'fang'suan'zhu'she'ye 止血芳酸注射液
'zhi'xue'min'fen'huang'yi'an'zhu'she'ye 止血敏酚磺乙胺注射液
'zhi'xue'min'zhu'she'ye 止血敏注射液
'zhi'yan'hu'suo 炙延胡索
'zhi'yan'xiao'jiao'nang 痔炎消胶囊
'zhi'yan'xiao'ke'li 痔炎消颗粒
'zhi'yan'xiao'pian 痔炎消片
'zhi'yang'xiao'yan'shui 止痒消炎水
'zhi'yuan'hu 制元胡
'zhi'yuan'zhi 制远志
'zhi'yuan'zhi 炙远志
'zhi'zhi'bing'huang'fu'le'ru'gao 芝芝冰黄肤乐乳膏
'zhi'zi'jin'hua'wan 栀子金花丸
'zhi'zi'yuan 炙紫苑
'zhong'an'ji'suan'zhu'she'ye 种氨基酸注射液
'zhong'da'shuang'lv'fen'suan'na'huan'shi'pian 中大双氯芬酸钠缓释片
'zhong'feng'hui'chun'jiao'nang 中风回春胶囊
'zhong'gan'ling'jiao'nang 重感灵胶囊
'zhong'gan'ling'pian 重感灵片
'zhong'hua'die'da'wan 中华跌打丸
'zhong'jiao'bu 中胶布
'zhong'jie'feng'pian 肿节风片
'zhong'jie'feng'ruan'jiao'nang 肿节风软胶囊
'zhong'jie'feng'zhu'she'ye 肿节风注射液
'zhong'jie'feng'zhu'she'ye'die'mai'ling'sao'ma 肿节风注射液碟迈灵扫码
'zhong'jie'feng'zhu'she'ye'sao'ma 肿节风注射液扫码
