'a'gai'gou'yan'yang 啊该狗岩养
'za'ya'bian'lu'jue 咋讶扁禄绝
'za'zhen'zhuang'su'weng 匝振妆酥翁
'zai'mu'mu 栽姆母
'zai'pan'ge'ye'lu 宰判歌夜麓
'zai'zai'ji'yu'yu'yu'yu 灾宰吉雨与屿禹
'zai'zai'zan'cuan'yuan 再在咱攒源
'zai'zai'zan'cuan'yuan'yuan'peng'qiao'mo 再在咱攒源缘捧鞘末
'zai'zai'zan'dan 再在咱弹
'zai'zan'cuan'yuan'yuan'peng'qiao'mo 在咱攒源缘捧鞘末
'zan'fan'dun'tuo'nu 赞饭顿驮努
'zang'ba'fa'lei'shi 葬八罚磊拭
'zang'wei'gui'xun'po 脏维瑰驯泼
'zang'zhuan'xu'yu'ji 葬转绪俞圾
'zao'liang'ge'qie 造梁割茄
'zao'na'hui'qi 凿拿贿祈
'zao'sui'chang'kou'zhao 藻虽唱扣赵
'zao'wan'yi'yu'fu 枣挽沂郁辐
'zao'xian'bian'rang'ding 澡险编嚷丁
'ze'pai'ze'ze'zhi'zhi'xu'xu'xu 择排则泽挚掷须徐许
'zei'mei'san'zhen'qi 贼煤散斟棋
'zei'ming'wei'jie'lan 贼明未秸缆
'zen'keng'gen'lan'ta 怎坑跟栏他
'zeng'xing'she 增猩蛇
'zha'lin'dang'zha'wu 渣霖挡眨坞
'zha'ti'xi'sa'yue 炸梯晰洒曰
'zha'zai 铡载
'zhai'fu'leng'han'xue 寨辐棱旱薛
'zhai'li'zhi'luo'shu 翟沥侄箩恕
'zhai'qing'ba'che'shi 寨倾坝车世
'zhan'bang'la'xian'liu 辗绑拉弦瘤
'zhan'bu'kun'zheng'zhi 展布昆拯峙
'zhan'ci'hao'zhua'gui 崭次豪抓闺
'zhan'dian'ju'gong'wan 战点锯汞万
'zhan'jia'qiao'chu'nuo 栈稼侨雏挪
'zhan'kuang'sa'xie'kui 展狂萨协窥
'zhan'pi'wu 蘸劈梧
'zhan'xu'san'qian'shi 瞻旭散钳是
'zhang'bing'yi'qi'rong 账病矣企戎
'zhang'shu'zao'ge'li 樟赎噪蛤利
'zhang'xin'bi'hu'han 杖衅比狐含
'zhao'chang'ya'chen'zhuai 昭猖呀尘拽
'zhao'ke'pei'zhun'guai 招坷佩谆拐
'zhao'lu'que'yi'yan 爪禄炔邑厌
'zhe'jiao'qu'kan'pan 锗郊曲看畔
'zhe'quan'xiao'zang'ni 浙颧霄赃你
'zhe'que'cong 着炔丛
'zhe'zhe 这浙
'zhe'zhe'zhe'zhe'zhe'zhe'li'zhe 折哲蛰辙者锗梨蔗
'zhe'zhe'zhen 这浙珍
'zhe'zhe'zhen'zhen 这浙珍斟
'zhe'zhe'zhen'zhen'shi're'zao'zao'zao'zao 这浙珍斟时热早澡蚤躁
'zhen'ao 帧熬
'zhen'ding'san'er'mi 帧订三贰密
'zhen'geng 针埂
'zhen'jing'dang'lv'zhuang 振精荡驴撞
'zhen'lia'chu'zhi'yi 镇俩躇只胰
'zhen'lian'peng'ge'jie 臻帘烹搁借
'zhen'qian'bo'shun'tuo 枕钳钵瞬驼
'zhen'qiu'mi'zhui'piao 疹秋泌追漂
'zhen'ying'ji 震盈及
'zhen'zheng'ben'pei'liu 侦拯苯赔硫
'zheng'bai'lue'fen'cheng 征拜略酚澄
'zheng'bei'jin'ka'zhu 症卑近卡主
'zheng'nian'xian'gua'gong 争撵咸挂功
'zheng'sen'qu 郑森龋
'zheng'zhi'zhi'men'jing 证纸炙闷径
'zhi'fu 值扶
'zhi'fu'lue'yao'wen 殖附掠耀紊
'zhi'hu 植户
'zhi'ku'yue'yi'gui 智哭跃疫闺
'zhi'xian'chan'zha'qiang 值贤产眨枪
'zhi'xie'qiao'reng'fei 值斜巧仍菲
'zhi'xu'lu'hou'gong 置虚戮候供
'zhi'ying'shao'du'zha 趾影芍肚闸
'zhong'cang'hao'xing 衷藏嚎杏
'zhong'ju'xin'ya'jiao 众局信哑交
'zhong'pi'xing'sha'ci 忠坯醒砂赐
'zhong'quan'rao're'nan'zhong'long'zhong'zhong'liu'zhong'bu'tan 种全绕惹南肿窿重仲馏众埠谭
'zhong'sha'liao'ga'jian 衷纱镣嘎建
'zhong'yi'zhu'mao 仲颐株帽
'zhou'bao'tun'zhu'si 舟爆屯助四
'zhou'bi 咒闭
'zhou'qiao'wa'qian'tun 帚锹瓦仟屯
'zhou'song'can'geng'men 诌讼惨庚们
'zhou'wu'mi'bi'ju 洲坞迷庇局
'zhou'zhan'cang'lv'gan 洲栈仓履甘
'zhou'zhou'mu'zhou'zhou 咒皱亩昼骤
'zhou'zhou'mu'zhou'zhou'zhu'qin 咒皱亩昼骤珠寝
'zhou'zhou'yu'mang'yu'su'yu'gao'mo'jiu'shi'gao'yang'gao 肘帚逾氓鱼粟愉皋墨究试高羊膏
'zhou'zhou'zhou 洲诌粥
'zhou'zhou'zhou'zhou'zhou'zhu'hu'hu'ren 咒皱宙昼骤珠壶葫刃
'zhou'zhou'zhou'zhou'zhou'zhu'qin'shao'nv'zhu 咒皱宙昼骤珠寝芍女株
'zhu'ba 著靶
'zhu'bian'she'mu'shi 煮辫蛇母逝
'zhu'gei'yi'xie'wei 铸给姨谢苇
'zhu'jun'guan'xi'ke 诸军管烯磕
'zhu'lai'wu'yu 柱来勿榆
'zhu'luan'yi'chu'die 株乱宜楚迭
'zhu'mo'fei'kuang'nie 住摸诽况啮
'zhu'qiu'bao'wu'pai 助求饱巫徘
'zhu'wan'zuo'liu'xiao 铸挽佐溜宵
'zhu'xia 猪暇
'zhu'xie'zang'zhu'su 柱邪葬烛速
'zhu'zhu'lian 助蛀廉
'zhuan'bu'yang'hao'wei 撰部洋郝危
'zhuan'huang'jiu'kan'yan 篆蝗韭刊言
'zhuan'ruan'ju'er'yu 转阮鞠二宇
'zhuan'zhuang'zhuang 转装妆
'zhuang'fen'gang'suo're 装芬钢蓑惹
'zhuang'quan 壮痊
'zhuang'quan'you'gong'qu 幢劝有龚区
'zhuang'zhui'chou 状椎瞅
'zhui'zhui 锥追
'zhun'shen'zhi'xia'zhi 谆呻植匣稚
'zhuo'du'zhai'xiong'dai 酌度窄匈带
'zhuo'fu'xiao'xi'long 酌拂嚣悉拢
'zhuo'ge'yu'zan 拙阁渝暂
'zhuo'nai'rao'qu'zhuo'qi'zhuo'zhen 卓耐扰娶桌迄酌甄
'zhuo'qi'zhi'sang'yuan 浊戚置桑袁
'zhuo'shi'zhang'chu'dong 酌石胀橱董
'zhuo'wa'dou 啄洼斗
'zhuo'xue'gu'yi'hui 灼削顾铱慧
'zhuo'zao'tan'zhuang'ji 捉灶摊妆季
'zhuo'zhe'gao'kao'huai'cha 啄着糕拷怀茬
'zhuo'zhe'gao'kao'huai'huai'yin'yin'huai'huan'huan'huan 啄着糕拷怀淮殷音坏欢环桓
'zhuo'zhen 酌甄
'zi'ai'mi'fen'dun 字皑麋粉吨
'zi'bo'xian'chou'fu 滋薄陷畴釜
'zi'chuo'dian'mei'he 淄绰掂没喝
'zi'die'an'zhe'shu 资谍俺辙蜀
'zi'duan'xian'qi'hai 子短衔企还
'zi'gong'pei 兹功佩
'zi'liao'ni'gui'mi 自寥腻诡靡
'zi'shuo'kang'li'ai 紫说抗吏蔼
'zi'wu 自芜
'zi'yao'ye'ci 姿耀椰次
'zong'mu 踪母
'zong'yuan'liang'yun'cheng 棕援粮韵橙
'zou'xian'yang'ao'shan 奏纤痒熬赡
'zou'ye'shi 揍液誓
'zu'bian'wan'wu'gu 租变完午顾
'zu'chuang'hua 诅创猾
'zu'jiang'pan'wen'mu 祖桨叛吻幕
'zu'rao'jie'ba'qing 诅扰姐笆氰
'zu'ru'tan'ming'zi 足乳袒螟咨
'zu'shen'xue'huan'dao 诅呻学焕刀
'zu'tuo'huo'xu'bie 卒托火续憋
'zu'tuo'luo'tao'jiu 足鸵裸逃灸
'zu'xia'li 诅吓梨
'zu'yong'mi'xiang'quan 足咏觅厢泉
'zuan'xi'ren'shang 纂析韧伤
'zuan'zhou'jia'xiong'yi 纂咒枷兄臆
'zui'li'guo'xu'bao 醉里国旭暴
'zui'xiang'tan'gai'li 嘴详瘫溉李
'zuo'mei'long'mao'jin 柞枚咙茂尽
'zuo'zhao'tao'duo'hao 佐招绦掇好
'zuo'zuo 左佐
