'bai'bing 白病
'xie'jie'chang'fu'zheng 邪结肠腑证
'xie'jing'bing 蟹睛病
'xie'lian'yin'shang'zheng 邪恋阴伤证
'xie'liu'yin'fen'zheng 邪留阴分证
'xie'qi'zu'bi'zheng 邪气阻闭证
'xie'qin'fei'wei'zheng 邪侵肺卫证
'xie're'chi'sheng'zheng 邪热炽盛证
'xie're'chuan'li'fei'wei're'sheng'zheng 邪热传里肺胃热盛证
'xie're'chuan'li'zheng 邪热传里证
'xie're'liu'lian'zheng 邪热留恋证
'xie're'nei'bi'zheng 邪热内闭证
'xie're'nei'rao'zheng 邪热内扰证
'xie're'nei'xian'zheng 邪热内陷证
'xie're'wei'qing'yin'ye'kui'sun'zheng 邪热未清阴液亏损证
'xie're'wei'qing'zheng 邪热未清证
'xie're'yong'jie'zheng 邪热壅结证
'xie're'yu'zheng'zheng 邪热郁蒸证
'xie'ru'fei'wei'zheng 邪入肺卫证
'xie'ru'qi'fen'zheng 邪入气分证
'xie'ru'qi'ying're'du'nei'xian'zheng 邪入气营热毒内陷证
'xie'ru'qi'ying're'du'nei'yun'zheng 邪入气营热毒内蕴证
'xie'ru'qi'ying'zheng 邪入气营证
'xie'ru'shao'yang'zheng 邪入少阳证
'xie'ru'wei'qi'zheng 邪入卫气证
'xie'ru'xue'fen'zheng 邪入血分证
'xie'ru'ying'fen'zheng 邪入营分证
'xie'ru'ying'xue'zheng 邪入营血证
'xie'tong'bing 胁痛病
'xie'xi'fei'wei'zheng 邪袭肺卫证
'xie'xian'xin'bao'zheng 邪陷心包证
'xie'xian'xin'gan'xue're'dong'feng'zheng 邪陷心肝血热动风证
'xie'xian'xin'gan'zheng 邪陷心肝证
'xie'xian'zheng'tuo'zheng 邪陷正脱证
'xie'xie'bing 泄泻病
'xie'yong'jing'luo'zheng 邪壅经络证
'xie'yu'fei'wei'zheng 邪郁肺胃证
'xie'yu'fei'wei'zheng 邪郁肺卫证
'xie'yu'hua'huo'zheng 邪郁化火证
'xie'yu'hua're'zheng 邪郁化热证
'xie'yu'shao'yang'zheng 邪郁少阳证
'xie'yu'wei'qi'zheng 邪郁卫气证
'xie'zai'fei'wei'zheng 邪在肺卫证
'xie'zai'qi'ta'zheng 邪在气他证
'xie'zai'qi'ying'zheng 邪在气营证
'xie'zai'shao'yang'zheng 邪在少阳证
'xie'zai'wei'qi'zheng 邪在卫气证
'xie'zai'xue'fen'zheng 邪在血分证
'xie'zai'ying'fen'zheng 邪在营分证
'xie'zai'ying'xue'zheng 邪在营血证
'xie'zhu'jing'luo'zheng 邪注经络证
'xie'zu'mo'yuan'zheng 邪阻膜原证
'xie'zu'zhong'bing 蟹足肿病
'xin'dan'qi'xu'zheng 心胆气虚证
'xin'fei'feng're'zheng 心肺风热证
'xin'fei'qi'xu'zheng 心肺气虚证
'xin'fei're'du'zheng 心肺热毒证
'xin'fei'yin'xu'zheng 心肺阴虚证
'xin'fei'yu're'zheng 心肺郁热证
'xin'gan'feng'huo'zheng 心肝风火证
'xin'gan're'chi're'yong'xue'yu'zheng 心肝热炽热壅血瘀证
'xin'gan're'chi'zheng 心肝热炽证
'xin'gan'yin'xu'zheng 心肝阴虚证
'xin'huo'chi'sheng'zheng 心火炽盛证
'xin'huo'pian'kang'zheng 心火偏亢证
'xin'huo'shang'yan'zheng 心火上炎证
'xin'ji'bing 心悸病
'xin'jing'huo'sheng'zheng 心经火盛证
'xin'jing'ji're'zheng 心经积热证
'xin'jing'shi'huo'zheng 心经实火证
'xin'jing'xu'huo'zheng 心经虚火证
'xin'mai'bo'bi'zu'zheng 心脉搏痹阻证
'xin'mai'bo'yu'zu'zheng 心脉搏瘀阻证
'xin'pi'feng're'zheng 心脾风热证
'xin'pi'huo'chi'zheng 心脾火炽证
'xin'pi'huo'yu'zheng 心脾火郁证
'xin'pi'ji're'xun'jing'shang'yan'zheng 心脾积热循经上炎证
'xin'pi'ji're'zheng 心脾积热证
'xin'pi'kui'xu'zheng 心脾亏虚证
'xin'pi'liang'xu'xu'feng'dong'yue'zheng 心脾两虚虚风动越证
'xin'pi'liang'xu'zheng 心脾两虚证
'xin'pi'qi'xu'zheng 心脾气虚证
'xin'pi'shi're'zheng 心脾湿热证
'xin'pi'shou'sun'zheng 心脾受损证
'xin'pi'xue'xu'zheng 心脾血虚证
'xin'pi'yu're'zheng 心脾郁热证
'xin'qi'bu'zu'zheng 心气不足证
'xin'qi'kui'xu'zheng 心气亏虚证
'xin'shen'bu'jiao'zheng 心肾不交证
'xin'shen'bu'ning'zheng 心神不宁证
'xin'shen'huo'luan'zheng 心神惑乱证
'xin'shen'kui'xu'zheng 心肾亏虚证
'xin'shen'qi'xu'zheng 心肾气虚证
'xin'shen'yang'xu'zheng 心肾阳虚证
'xin'shen'yin'xu'zheng 心肾阴虚证
'xin'shuai'bing 心衰病
'xin'xu'dan'qie'zheng 心虚胆怯证
'xin'xu'xue'shao'zheng 心虚血少证
'xin'xue'bu'zu'zheng 心血不足证
'xin'xue'kui'xu'zheng 心血亏虚证
'xin'xue'yu'zu'zheng 心血瘀阻证
'xin'yang'bao'tuo'zheng 心阳暴脱证
'xin'yang'bu'zhen'zheng 心阳不振证
'xin'yang'bu'zu'zheng 心阳不足证
'xin'yang'kui'xu'zheng 心阳亏虚证
'xin'yang'xu'shuai'zheng 心阳虚衰证
'xin'yang'yu'tuo'zheng 心阳欲脱证
'xin'yin'bu'zu'zheng 心阴不足证
'xin'yin'kui'sun'zheng 心阴亏损证
'xin'yin'kui'xu'zheng 心阴亏虚证
'xin'ying'hao'sun'gan'shen'bu'zu'zheng 心营耗损肝肾不足证
'xin'ying'hao'sun'zheng 心营耗损证
'xin'ying'kui'xu'zheng 心营亏虚证
'xiong'bi'xin'tong'bing 胸痹心痛病
'xiong'bu'nei'shang'bing 胸部内伤病
'xiong'luo'bu'he'zheng 胸络不和证
'xu'feng'nei'dong'zheng 虚风内动证
'xu'han'zheng 虚寒证
'xu'huo'shang'fu'zheng 虚火上浮证
'xu'huo'shang'yan'zheng 虚火上炎证
'xu'huo'zhuo'luo'zheng 虚火灼络证
'xu'lao'bing 虚劳病
'xu're'zheng 虚热证
'xu'shi'jia'za'zheng 虚实夹杂证
'xu'yang'shang'fu'zheng 虚阳上浮证
'xuan'bing 癣病
'xuan'er'chuang'bing 旋耳疮病
'xuan'yin'bing 悬饮病
'xuan'yun'bing 眩晕病
'xuan'zhu'zhi'bing 悬珠痔病
'xue'bai'rou'fu'zheng 血败肉腐证
'xue'bu'ru'jin'zheng 血不濡筋证
'xue'bu'yang'xin'zheng 血不养心证
'xue'fen'zheng 血分证
'xue'gu'bing 血臌病
'xue'guan'tong'shen'bing 血灌瞳神病
'xue'han'ning'zhi'zheng 血寒凝滞证
'xue'han'zheng 血寒证
'xue'hang'yu'zhi'zheng 血行郁滞证
'xue'jie'xiong'zheng 血结胸证
'xue'jing'bing 血精病
'xue'jue'bing 血厥病
'xue'ku'zheng 血枯证
'xue'lin'bing 血淋病
'xue'liu'bing 血瘤病
'xue'mai'yu'zu'zheng 血脉瘀阻证
'xue're'chang'zao'zheng 血热肠燥证
'xue're'dong'feng'zheng 血热动风证
'xue're'nei'rao'zheng 血热内扰证
'xue're'nei'sheng'zheng 血热内盛证
'xue're'nei'xian'zheng 血热内陷证
'xue're'shang'luo'zheng 血热伤络证
'xue're'wang'xing'zheng 血热妄行证
'xue're'yong'zhi'zheng 血热壅滞证
'xue're'yu'jie'zheng 血热瘀结证
'xue're'yu'zhi'zheng 血热瘀滞证
'xue're'zheng 血热证
'xue'xu'chang'zao'zheng 血虚肠燥证
'xue'xu'feng'dong'zheng 血虚风动证
'xue'xu'feng'rao'zheng 血虚风扰证
'xue'xu'feng'zao'zheng 血虚风燥证
'xue'xu'gan'wang'zheng 血虚肝旺证
'xue'xu'han'ning'zheng 血虚寒凝证
'xue'xu'jin'kui'zheng 血虚津亏证
'xue'xu'luo'sun'zheng 血虚络损证
'xue'xu'qi'tuo'zheng 血虚气脱证
'xue'xu'sheng'feng'zheng 血虚生风证
'xue'xu'shi'yang'zheng 血虚失养证
'xue'xu'xue'yu'zheng 血虚血瘀证
'xue'xu'yang'fu'zheng 血虚阳浮证
'xue'xu'yin'kui'zheng 血虚阴亏证
'xue'xu'zheng 血虚证
'xue'yi'bao'jing'bing 血翳包睛病
'xue'yu'cheng'ji'zheng 血瘀成积证
'xue'yu'cheng'yong'zheng 血瘀成痈证
'xue'yu'feng'zao'zheng 血瘀风燥证
'xue'yu'hua'huo'zheng 血瘀化火证
'xue'yu'hua're'zheng 血瘀化热证
'xue'yu'ji'jie'zheng 血瘀积结证
'xue'yu'luo'zhi'zheng 血瘀络滞证
'xue'yu'qi'ni'zheng 血瘀气逆证
'xue'yu'qi'ni'zu'se'qing'qiao'zheng 血瘀气逆阻塞清窍证
'xue'yu'qi'zhi'zheng 血瘀气滞证
'xue'yu'rou'fu'zheng 血瘀肉腐证
'xue'yu'shi'yang'zheng 血瘀失养证
'xue'yu'tan'ning'zheng 血瘀痰凝证
'xue'yu'tan'zhi'zheng 血瘀痰滞证
'xue'yu'zheng 血瘀证
'xue'yu'zu'luo'zheng 血瘀阻络证
'xue'zao'sheng'feng'zheng 血燥生风证
'xue'zao'shi'yang'zheng 血燥失养证
'xue'zhi'zheng 血滞证
'ya'tong'bing 牙痛病
'ya'xuan'bing 牙宣病
'ya'yong'bing 牙痈病
'yan'dan'bing 眼丹病
'yan'hou'jun'bing 咽喉菌病
'yan'jun'bing 咽菌病
'yan'ke'ai'bing 眼科癌病
'yan'ke'liu'bing 眼科瘤病
'yan'ke'qi'ta'bing'jin'shi'bing 眼科其他病近视病
'yan'ke'qi'ta'bing'lao'shi'bing 眼科其他病老视病
'yan'ke'qi'ta'bing'yuan'shi'bing 眼科其他病远视病
'yan'mian'ding'chuang'bing 颜面疔疮病
'yan'shi'bing 厌食病
'yan'zhu'po'sun'feng'xie'cheng'xi'zheng 眼珠破损风邪乘袭证
'yan'zhu'po'sun'zheng 眼珠破损证
'yang'bi'zheng 阳闭证
'yang'du'wai'fa'zheng 阳毒外发证
'yang'huang'bing 阳黄病
'yang'ming'bing 阳明病
'yang'ming'fa'huang'zheng 阳明发黄证
'yang'ming'fu'shi'xiao'chang're'sheng'zheng 阳明腑实小肠热盛证
'yang'ming'fu'shi'zheng 阳明腑实证
'yang'ming're'jie'qi'ye'liang'xu'zheng 阳明热结气液两虚证
'yang'ming're'jie'yin'ye'kui'sun'zheng 阳明热结阴液亏损证
'yang'ming're'jie'zheng 阳明热结证
'yang'ming're'sheng'zheng 阳明热盛证
'yang'ming're'zheng 阳明热证
'yang'ming'shi'zheng 阳明实证
'yang'ming'xue're'zheng 阳明血热证
'yang'ming'zao'jie'zheng 阳明燥结证
'yang'ming'zheng 阳明证
'yang'qi'bao'tuo'zheng 阳气暴脱证
'yang'qi'kui'xu'zheng 阳气亏虚证
'yang'qi'xu'shuai'zheng 阳气虚衰证
'yang'qi'yu'tuo'zheng 阳气欲脱证
'yang're'nei'bi'zheng 阳热内闭证
'yang'shu'zheng 阳暑证
'yang'shui'bing 阳水病
'yang'wei'bing 阳萎病
'yang'xu'han'ning'zheng 阳虚寒凝证
'yang'xu'han'sheng'zheng 阳虚寒盛证
'yang'xu'han'shi'zu'luo'zheng 阳虚寒湿阻络证
'yang'xu'han'tan'zheng 阳虚寒痰证
'yang'xu'nei'han'zheng 阳虚内寒证
'yang'xu'shi'yang'zheng 阳虚失养证
'yang'xu'shui'fan'zheng 阳虚水泛证
'yang'xu'tan'ning'zheng 阳虚痰凝证
'yang'xu'xue'yu'zheng 阳虚血瘀证
'yang'xu'yu'tuo'zheng 阳虚欲脱证
'yao'du'bing 药毒病
'yao'tong'bing 腰痛病
'ye'ge'bing 噎膈病
'ye'suan'bing 叶酸病
'ye'ti'bing 夜啼病
'ye'yong'bing 腋痈病
'yi'ding'bing 疫疔病
'yi'du'gong'cuan'zheng 疫毒攻窜证
'yi'du'gong'hou'zheng 疫毒攻喉证
'yi'du'li'bing 疫毒痢病
'yi'du'nei'bi'zheng 疫毒内闭证
'yi'du'qin'xi'zheng 疫毒侵袭证
'yi'du'xun'zheng'zheng 疫毒薰蒸证
'yi'jing'bing 遗精病
'yi'niao'bing 遗尿病
'yi'po'sun'qi 已破损期
'yi'qi 一期
'yi're'shang'luo'zheng 疫热伤络证
'yi'wu'geng'hou'bing 异物梗喉病
'yi'wu'ru'bi'bing 异物入鼻病
'yi'wu'ru'er'bing 异物入耳病
'yi'wu'ru'mu'bing 异物入目病
'yi'yin'bing 溢饮病
'yin'bi'tan'shi'zheng 阴闭痰湿证
'yin'bi'zheng 阴闭证
'yin'chuang'bing 阴疮病
'yin'chui'bing 阴吹病
'yin'du'wai'fa'zheng 阴毒外发证
'yin'han'nei'bi'zheng 阴寒内闭证
'yin'han'nei'jie'zheng 阴寒内结证
'yin'han'ning'ju'zheng 阴寒凝聚证
'yin'han'ning'zhi'zheng 阴寒凝滞证
'yin'han'zheng 阴寒证
'yin'huang'bing 阴黄病
'yin'jie'yang'tuo'zheng 阴竭阳脱证
'yin'jin'bu'zu'zheng 阴津不足证
'yin'jing'tan'he'bing 阴茎痰核病
'yin'liu'wei'chang'zheng 饮留胃肠证
'yin'shang'qi'hao'zheng 阴伤气耗证
'yin'shang'wei'bai'zheng 阴伤胃败证
'yin'sheng'yang'shuai'zheng 阴盛阳衰证
'yin'sheng'yang'xu'zheng 阴盛阳虚证
'yin'shi'ji'zhi'zheng 饮食积滞证
'yin'shi'ting'zhi'zheng 饮食停滞证
'yin'shu'zheng 阴暑证
'yin'shui'bing 阴水病
'yin'sun'ji'yang'zheng 阴损及阳证
'yin'sun'yang'kui'zheng 阴损阳亏证
'yin'ting'bing 阴挺病
'yin'ting'xiong'xie'zheng 饮停胸胁证
'yin'xie'shang'fan'zheng 饮邪上犯证
'yin'xu'chang'zao'zheng 阴虚肠燥证
'yin'xu'du'lian'zheng 阴虚毒恋证
'yin'xu'fei're'zheng 阴虚肺热证
'yin'xu'fei'zao'zheng 阴虚肺燥证
'yin'xu'feng'dong'zheng 阴虚风动证
'yin'xu'gan'wang'zheng 阴虚肝旺证
'yin'xu'huo'chi'zheng 阴虚火炽证
'yin'xu'huo'dong'zheng 阴虚火动证
'yin'xu'huo'fu'zheng 阴虚火浮证
'yin'xu'huo'wang'zheng 阴虚火旺证
'yin'xu'jin'kui'zheng 阴虚津亏证
'yin'xu'nei're'zheng 阴虚内热证
'yin'xu're'du'zheng 阴虚热毒证
'yin'xu're'yu'zheng 阴虚热郁证
'yin'xu'shen'kui'zheng 阴虚肾亏证
'yin'xu'shi're'zheng 阴虚湿热证
'yin'xu'tan'huo'zheng 阴虚痰火证
'yin'xu'tan're'zheng 阴虚痰热证
'yin'xu'xie'lian'zheng 阴虚邪恋证
'yin'xu'xie'liu'zheng 阴虚邪留证
'yin'xu'xue're'zheng 阴虚血热证
'yin'xu'xue'yu'zheng 阴虚血瘀证
'yin'xu'xue'zao'zheng 阴虚血燥证
'yin'xu'yang'fu'zheng 阴虚阳浮证
'yin'xu'yang'kang'feng'yang'shang'rao'zheng 阴虚阳亢风阳上扰证
'yin'xu'yang'kang'zheng 阴虚阳亢证
'yin'xu'zao're'zheng 阴虚燥热证
'yin'xue'bu'zu'zheng 阴血不足证
'yin'xue'kui'xu'zheng 阴血亏虚证
'yin'yang'bing 阴痒病
'yin'yang'li'jue'zheng 阴阳离决证
'yin'yang'liang'xu'zheng 阴阳两虚证
'yin'yang'shi'tiao'zheng 阴阳失调证
'yin'ye'bu'zu'huo'du'chi'sheng'zheng 阴液不足火毒炽盛证
'yin'ye'bu'zu'zheng 阴液不足证
'yin'ye'fa'jie'zheng 阴液乏竭证
'yin'ye'kui'xu'zheng 阴液亏虚证
'yin'yi'si'zhi'zheng 饮溢四肢证
'yin'zhen'bing 瘾疹病
'yin'zu'xiong'ge'zheng 饮阻胸膈证
'ying'bing 瘿病
'ying'fen'zheng 营分证
'ying'feng'leng'lei'bing 迎风冷泪病
'ying'wei'bu'he'zheng 营卫不和证
'ying'yong'bing 瘿痈病
'you'bing 疣病
'you'feng'bing 油风病
'you'mu'bing 疣目病
'you'tou'ju'bing 有头疽病
'you'yu'shang'shen'zheng 忧郁伤神证
'yu'bi'xue'mai'zheng 瘀闭血脉证
'yu'bing 郁病
'yu'du'gong'cuan'zheng 余毒攻窜证
'yu'du'ning'zhi'zheng 余毒凝滞证
'yu'du'shang'yin'zheng 余毒伤阴证
'yu'du'wei'qing'wei'qi'xu'ruo'zheng 余毒未清卫气虚弱证
'yu'du'wei'qing'zheng 余毒未清证
'yu'huo'shang'yin'zheng 郁火伤阴证
'yu'ji'fa'huang'zheng 瘀积发黄证
'yu'jie'zheng 瘀结证
'yu'rao'shen'ming'zheng 瘀扰神明证
'yu're'hu'jie'zheng 瘀热互结证
'yu're'jiao'zu'zheng 瘀热交阻证
'yu're'nei'yu'zheng 瘀热内郁证
'yu're'ru'luo'zheng 瘀热入络证
'yu're'wei'jin'fei'wei'yin'shang'zheng 余热未尽肺胃阴伤证
'yu're'wei'jin'zheng 余热未尽证
'yu're'wei'qing'zheng 余热未清证
'yu're'yong'zu'zheng 瘀热壅阻证
'yu're'zheng 瘀热证
'yu're'zu'luo'zheng 瘀热阻络证
'yu're'zu'zhi'zheng 瘀热阻滞证
'yu'tan'hua'huo'zheng 瘀痰化火证
'yu'ting'qing'qiao'zheng 瘀停清窍证
'yu'ting'xiong'xie'zheng 瘀停胸胁证
'yu'xie'rao'mu'zheng 余邪扰目证
'yu'xie'wei'jin'tan'yu'zhi'luo'zheng 余邪未尽痰瘀滞络证
'yu'xie'wei'jin'zheng 余邪未尽证
'yu'xue'bi'bi'zheng 瘀血痹闭证
'yu'xue'bi'zu'zheng 瘀血痹阻证
'yu'xue'cheng'fei'zheng 瘀血乘肺证
'yu'xue'hua're'zheng 瘀血化热证
'yu'xue'ling'xin'zheng 瘀血凌心证
'yu'xue'liu'zhi'zheng 瘀血留滞证
'yu'xue'nei'jie'zheng 瘀血内结证
'yu'xue'nei'ting'qing'qiao'shou'zu'zheng 瘀血内停清窍受阻证
'yu'xue'nei'ting'zheng 瘀血内停证
'yu'xue'nei'zhi'zheng 瘀血内滞证
'yu'xue'nei'zu'zheng 瘀血内阻证
'yu'xue'ning'zhi'zheng 瘀血凝滞证
'yu'xue'shang'luo'zheng 瘀血伤络证
'yu'xue'ting'zhe'zheng 瘀血停着证
'yu'xue'ting'zhi'zheng 瘀血停滞证
'yu'xue'zheng 瘀血证
'yu'xue'zu'ge'zheng 淤血阻膈证
'yu'xue'zu'luo'zheng 瘀血阻络证
'yu'xue'zu'zhi'zheng 瘀血阻滞证
'yu'zhi'bao'gong'zheng 瘀滞胞宫证
'yu'zhi'hua'huo'zheng 瘀滞化火证
'yu'zhi'hua're'zheng 瘀滞化热证
'yu'zhi'ji'fu'zheng 瘀滞肌肤证
'yu'zhi'zheng 瘀滞证
'yu'zhong'teng'tong'zheng 瘀肿疼痛证
'yu'zhuo'zu'se'zheng 瘀浊阻塞证
'yu'zu'bao'mai'zheng 瘀阻胞脉证
'yu'zu'chang'luo'zheng 瘀阻肠络证
'yu'zu'chong'ren'zheng 瘀阻冲任证
'yu'zu'jing'luo'zheng 瘀阻经络证
'yu'zu'mai'luo'zheng 瘀阻脉络证
'yu'zu'nao'luo'zheng 瘀阻脑络证
'yu'zu'qi'bi'zheng 瘀阻气闭证
'yu'zu'qi'dao'zheng 瘀阻气道证
'yu'zu'qing'qiao'zheng 瘀阻清窍证
'yu'zu'wei'luo'zheng 瘀阻胃络证
'yu'zu'xin'mai'zheng 瘀阻心脉证
'yu'zu'xiong'xie'zheng 瘀阻胸胁证
'yu'zu'zhong'jiao'zheng 瘀阻中焦证
'yu'zu'zong'mai'zheng 瘀阻宗脉证
'yuan'qi'bai'tuo'xin'shen'san'luan'zheng 元气败脱心神散乱证
'yuan'qi'bai'tuo'zheng 元气败脱证
'yuan'qi'bu'zu'yin'xue'kui'sun'zheng 元气不足阴血亏损证
'yuan'qi'bu'zu'zheng 元气不足证
'yuan'qi'kui'xu'zheng 元气亏虚证
'yuan'qi'shuai'bai'zheng 元气衰败证
'yuan'shen'wai'tuo'zheng 元神外脱证
'yuan'xuan'bing 圆癣病
'yuan'yang'wai'tuo'zheng 元阳外脱证
'yuan'yi'nei'zhang'bing 圆翳内障病
'yue'jing'guo'duo'bing 月经过多病
'yue'jing'guo'shao'bing 月经过少病
'yue'jing'hou'qi'bing 月经后期病
'yue'jing'xian'hou'wu'ding'qi'bing 月经先后无定期病
'yue'jing'xian'qi'bing 月经先期病
'yun'du'fu'kui'zheng 蕴毒腐溃证
'yun'wu'yi'jing'bing 云雾移睛病
'yun'yong'bing 孕痈病
'zang'fu'xu'leng'zheng 脏腑虚冷证
'zang'zao'bing 脏躁病
'zao'gan'qing'qiao'zheng 燥干清窍证
'zao'qi'hua'huo'zheng 燥气化火证
'zao're'shang'fei'zheng 燥热伤肺证
'zao're'shang'jin'zheng 燥热伤津证
'zao're'wai'fan'zheng 燥热外犯证
'zao'shang'zhen'yin'zheng 燥伤真阴证
'zao'xie'bing 早泄病
'zao'xie'shang'fei'zheng 燥邪伤肺证
'zao'xie'shang'yin'zheng 燥邪伤阴证
'zao'zheng'lei 燥证类
'zha'sai'bing 痄腮病
'zhen'bao'yu'tong'bing 振胞瘀痛病
'zhen'chu're'tui'zheng 疹出热退证
'zhen'hou'yin'shang'zheng 疹后阴伤证
'zhen'hui'qi 疹回期
'zhen'qian'qi 疹前期
'zhen'yan'bing 针眼病
'zhen'yin'shuai'jie'zheng 真阴衰竭证
'zheng'chong'bing 怔忡病
'zheng'sheng'xie'shi'zheng 正盛邪实证
'zheng'xu'du'chi'zheng 正虚毒炽证
'zheng'xu'du'jie'zheng 正虚毒结证
'zheng'xu'du'lian'zheng 正虚毒恋证
'zheng'xu'xie'lian'fei'pi'qi'xu'zheng 正虚邪恋肺脾气虚证
'zheng'xu'xie'lian'nei'feng'rao'dong'zheng 正虚邪恋内风扰动证
'zheng'xu'xie'lian'tan'meng'qing'qiao'zheng 正虚邪恋痰蒙清窍证
'zheng'xu'xie'lian'yin'xu'fei're'zheng 正虚邪恋阴虚肺热证
'zheng'xu'xie'lian'yu're'wei'qing'zheng 正虚邪恋余热未清证
'zheng'xu'xie'lian'zheng 正虚邪恋证
'zheng'xu'xie'liu'zheng 正虚邪留证
'zheng'xu'xie'shi'zheng 正虚邪实证
'zheng'xu'yu'jie'zheng 正虚瘀结证
'zhi'liu'bing 脂瘤病
'zhi'yin'bing 支饮病
'zhong'du'bing 中毒病
'zhong'feng'bing 中风病
'zhong'jiao'shi're'zheng 中焦湿热证
'zhong'jiao'xu'han'zheng 中焦虚寒证
'zhong'qi 中期
'zhong'qi'bu'zu'pang'guang'shi'yue'zheng 中气不足膀胱失约证
'zhong'qi'bu'zu'zheng 中气不足证
'zhong'qi'kui'xu'zheng 中气亏虚证
'zhong'qi'xia'xian'pang'guang'shi'yue'zheng 中气下陷膀胱失约证
'zhong'qi'xia'xian'qing'yang'bu'sheng'zheng 中气下陷清阳不升证
'zhong'qi'xia'xian'zheng 中气下陷证
'zhong'qi'xu'han'zheng 中气虚寒证
'zhong'shu'bing 中暑病
'zhong'xu'zang'han'zheng 中虚脏寒证
'zhou'yong'bing 肘痈病
'zhu'xia'bing 疰夏病
'zhuan'bao'bing 转胞病
'zhuang'ji'shang'mu'bing 撞击伤目病
'zhuo'bi'zheng 浊闭证
'zhuo'tan'shang'ni'zheng 浊痰上逆证
'zhuo'xie'shang'fan'zheng 浊邪上犯证
'zi'bai'dian'feng'bing 紫白癜风病
'zi'bing 子病
'zi'dian'bing 紫癜病
'zi'dian'feng'bing 紫癜风病
'zi'fan'bing 子烦病
'zi'han'bing 自汗病
'zi'lin'bing 子淋病
'zi'man'bing 子满病
'zi'sou'bing 子嗽病
'zi'tan'bing 子痰病
'zi'xian'bing 子痫病
'zi'xuan'bing 子悬病
'zi'yong'bing 子痈病
'zi'yun'bing 子晕病
'zi'zhong'bing 子肿病
'zou'huang'bing 走黄病
'zu'di'ding'bing 足底疔病
'zu'fa'bei'bing 足发背病
'zu'fu'tong'bing 卒腹痛病
'zu'si'bing 卒死病
'zu'xin'tong'bing 卒心痛病
