'a'weng'san'ri'bu'gong'mi 阿翁三日不供糜
'wo'sheng'bu'wei'zhu'lu'lai 我生不为逐鹿来
'wo'suo'bei'xi'shi'xun'zhi'suo'can 我所备兮十旬之所餐
'wo'suo'zhan'xi'dao'bing'lian 我所瞻兮到并莲
'wo'suo'zhan'xi'hao'tian'zhu 我所瞻兮号天柱
'wo'suo'zhan'xi'hui'xian'yan 我所瞻兮会仙岩
'wo'suo'zhan'xi'jin'xian'ting 我所瞻兮尽仙亭
'wo'suo'zhan'xi'wan'nian'gong 我所瞻兮万年宫
'wo'suo'zhan'xi'yi'lan'tai 我所瞻兮一览台
'wo'suo'zhan'xi'yu'nv'feng 我所瞻兮玉女峰
'wo'suo'zhan'xi'yun'shi'tang 我所瞻兮云石堂
'wo'suo'zhan'xi'zai'yu'hua 我所瞻兮在玉华
'wo'ti'ci'hua'san'jie'xu 我题此画三嗟吁
'wo'xi'shang'cun'shui'neng'feng 我息尚存谁能封
'wo'xiao'wo'yu 我笑我语
'wo'you'yu'yuan 我游于袁
'wo'zhi'huai'yi'wu'shi'wu 我之怀矣无时无
'wo'zhi'kong'jia 我植孔嘉
'wo'zhi'ling'yan'ge'gao'bu'yi'dao 我知淩烟阁高不易到
'wu'chang'xiao'xi'shan'yao 吾长笑兮山摇
'wu'chu'ge'qian'li 吴楚各千里
'wu'chu'qie'yi'ji'yin'chuang 乌出妾亦汲银床
'wu'dai'ba'jun'zhuan'yan'guo 五代八君转眼过
'wu'de'bu'hen'sha'ren'ye'me'ge 兀的不恨煞人也么哥
'wu'fu'cuo'deng'zhi'chang'dao 吾复磋磴之长道
'wu'ge'yue 五歌曰
'wu'gui'shi'jie'wo'yi'gui 乌归时节我亦归
'wu'hu 呜呼
'wu'hu'xi'zi'kong'yan'yu 五湖西子空烟雨
'wu'hu'zhen'yan'jiu'bu'bian 呜呼真赝久不辨
'wu'huan'yun'zhong'zhi'chi'song 吾唤云中之赤松
'wu'jiang'bi'si'ta'meng'xiong'di 乌江逼死他盟兄弟
'wu'jin'yu'bian'yi'wang'yan 吾今欲辨已忘言
'wu'nian'chui'gong'ru'yao'tang 五年垂拱如尧汤
'wu'nian'ma'shang'de'tian'xia 五年马上得天下
'wu'shan'e'mei'chun'ru'chuang 吴山蛾眉春入窗
'wu'sheng'shu'hu'er'bai'nian 吾生倏忽而百年
'wu'shi'san'yue'ren'huang'huang 毋使三月人皇皇
'wu'ti'ru'ku'wu'xie'chu 乌啼如哭无歇处
'wu'tong'ba'gen'nuo 梧桐拔根挪
'wu'wai'tun'sheng'lei'du'du 屋外吞声泪笃笃
'wu'wei'ru'yuan'qin'er'ge'zhi 吾为汝援琴而歌之
'wu'wu'ri'yue'zhi'zhao'lin 吾无日月之照临
'wu'wu'san'zhao'yang'shou'tan 兀兀三朝仰首叹
'wu'wu'yi'wei'guang 吾无以为光
'wu'wu'yi'wei'ming 吾无以为明
'wu'xi'wu'xi'jiang'an'shi 乌兮乌兮将安适
'wu'xi'wu'xi'ting'wo'yan 乌兮乌兮听我言
'wu'xi'wu'xi'wu'ji'qie 乌兮乌兮毋急切
'wu'xi'wu'xi'xiu'ku'rao 乌兮乌兮休苦绕
'wu'xin'zi'lan'hua'mei 无心子懒画眉
'wu'xing'sheng'ke'ku'wai'chan 五行生克苦歪缠
'wu'yan'jiu'yi'jing'ping'zi 吾言久矣经平子
'wu'yi'wen 无疑问
'wu'yi'xi'zi'wang 吴以西子亡
'wu'yun'hui'shou'xin'mang'mang 五云回首心茫茫
'wu'zai'zhi'jian'zhu'li'jiu 乌在枝间伫立久
'xi'bian'you'dao 西边又倒
'xi'bu'rong'dan'che 昔不容单车
'xi'chui'xie'ben'ling'tou'zai 西陲写本零头在
'xi'er'qian'qin'zi'di'zai'yang'fei'shou 洗儿钱亲自递在杨妃手
'xi'fang'xi'pei'xiu 袭芳兮佩秀
'xi'fen'lai'shou'zhong'tian'ming 细分来寿终天命
'xi'hu'tian'jing'bi'duo'di 西湖天镜碧堕地
'xi'jin'chen'tu'gu 洗尽尘土骨
'xi'liu'ba'qu'shui'chan'yuan 溪流八曲水潺湲
'xi'liu'er'qu'shan'qi'nong 溪流二曲山气浓
'xi'liu'jiu'qu'shan'niao'ming 溪流九曲山鸟鸣
'xi'liu'liu'qu'cang'ping'kai 溪流六曲苍屏开
'xi'liu'qi'qu'shu'sheng'xiang 溪流七曲树生香
'xi'liu'san'qu'xi'zhuan'shen 溪流三曲溪转深
'xi'liu'si'qu'jing'yu'she 溪流四曲景逾赊
'xi'liu'wu'qu'za'yan'wu 溪流五曲杂烟雾
'xi'liu'yi'qu'kai'meng'rong 溪流一曲开蒙茸
'xi'lou'yue'luo'jin'pan'qing 西楼月落金盘倾
'xi'nan'yi'xing'guang'she'men 西南一星光射门
'xi'ren'zai'hua'dai'you'yan 昔人栽花待游宴
'xi'ri'tie'bu'ru 昔日铁不如
'xi'wang'ju'yong'nan 昔望居庸南
'xi'wei'ri'se'chu'dong'fang 熹微日色出东方
'xi'xi'rang'rang'ru'bu'ji 熙熙攘攘如不及
'xi'xi'yan'di'gong 翕翕炎帝宫
'xi'xu'liang'shao'nian 惜许两少年
'xi'yang'wan'qing'gu'mei'chu 夕阳万顷鹘没处
'xi'yu'qing'chen 细雨清晨
'xi'yuan'lu'li'mei'pian'qiao 洗冤录里每篇瞧
'xia'bo'ba'wen'yi'jin'xiao'er'lang 下剥八文一斤小儿郎
'xia'de'na'hu'zi'yao'sun'jin'dan'han 吓得那狐子妖孙尽胆寒
'xia'fu'zi'cheng'ren 下抚子成人
'xia'jiang'dong'zha'cheng'xiong'bing'yi'bai'wan 下江东诈称雄兵一百万
'xia'nai'yu'qian'long'zheng'jian'xi 下乃与潜龙争涧席
'xia'ru'qian'nian'gu'shi'xi 下入千年古石溪
'xia'shi'san'shan'wu'yue'he'xiong'zhang 下视三山五岳何雄长
'xia'you'mo'mo'zhi'huang'quan 下有漠漠之黄泉
'xian'chuang'juan'qi'kan'shan'hua 仙床倦起看山花
'xian'hua'xun'lu'san'tian'xiang 衔花驯鹿散天香
'xian'li'ji'lai'xiao'shui'ji 县吏即来销税籍
'xian'nian'cai'bi'xiao'chuang'dong 閒拈彩笔小窗东
'xian'shen'feng'zhi'shuang'cao 衔深风之霜草
'xian'sheng'gui'huan'si'qing'kua 先生归缓四清夸
'xian'sheng'he'ji'du'pang'huang 先生荷戟独彷徨
'xian'xian'yu'zhi'rou'qie'he 纤纤玉指柔且和
'xian'yang'gong'dian'yan'qin'jian 咸阳宫殿眼亲见
'xian'you'lin'suan'zu'zhi'an 现有磷酸组织胺
'xiang'dan'er'sao'shui'geng'ku 祥单二嫂谁更苦
'xiang'dang'pan'bo'xia'bi'shi 想当盘礴下笔时
'xiang'fei'yi'hou'yu'ci'er'san'lao 向非遗后馀此二三老
'xiang'feng'guan'zhang'ma'bu'xia 相逢官长马不下
'xiang'gou'xiao'wa'cai'chun'luo 香钩小袜裁春罗
'xiang'gu'jin'dou'si'ci 想古今都似此
'xiang'jiang'xi'wu'chao'shan 相将戏舞朝衫
'xiang'lai'lao'jiang'jin'wu'duo 向来老将今无多
'xiang'mao'dou'hen'hao 相貌都很好
'xiang'ren'jian'zhong'ke'xiang'si'shu 向人间种棵相思树
'xiang'shi'luo'ri'gu'yun'jian 想是落日孤云间
'xiang'tian'yi'miao'xuan'yan'tu 向天亦藐悬嵓图
'xiang'xi'kan 详细看
'xiang'xiang'zao'hua'chu'kai'pi 想像造化初开辟
'xiang'xue'po'hu'li'hua'qing 香雪泼户梨花晴
'xiang'ying'xiong'hao'jie 想英雄豪杰
'xiang'yu'jiang'dong'hao'qi 项羽江东豪气
'xiang'zhi'shan'xi'you'you 湘之山兮幽幽
'xiang'zhi'shui'xi'shu'shu 湘之水兮舒舒
'xiang'zhong'yi'ren'gao'qie'mei 相中一人高且美
'xiao'ao'gong'hou'dan'chang'yi 笑傲公侯但长揖
'xiao'che'ban'ban'huang'chen'wan 小车班班黄尘晚
'xiao'he'xia'yu'zi'fang'gui 萧何下狱子房归
'xiao'ji'zhi'juan'he'suo'si 小姬织倦何所思
'xiao'wu'geng'zuo'qi'yi'bei'zhong'xing'zhu 小武庚作起一辈中兴主
'xiao'xi'wei'chuan'tie'ban'zhang 消息未传帖半张
'xiao'yao'yi'zhang'hui'bei'lang 逍遥倚仗回北廊
'xiao'yu'sheng'zhi'chou'lao 笑余声之丑老
'xie'ce'xi'bao'qin 挟策兮抱琴
'xie'wan'zhang'zhi'jing'pu'xi'ji'hou'di 泻万丈之惊瀑兮击厚地
'xie'yu'lv'zhi'lan 携玉缕之篮
'xin'fang'nao'gai 心房脑盖
'xin'hun'zhen'li'xi 心魂震栗兮
'xin'ku'diao'zhuan'zhen'tu'lao 辛苦雕篆真徒劳
'xin'qi'yun'shui'xiang 心期云水乡
'xin'ti'zhan'ran'jue'xian'yi 心体湛然绝纤翳
'xin'zhi'bu'yan'shi'xing'si 心知不言识形似
'xing'chi'chi'yi'si'cha 行迟迟以四察
'xing'er'qian'zhe'li'yu'huang 行而前者骊与皇
'xing'kui'le'nan'yang'liu'xiu'qi'le'yi 幸亏了南阳刘秀起了义
'xing'lai'bu'jue'guo'qing'shan 兴来不觉过青山
'xing'lu'nan 行路难
'xing'ren'jie 行人嗟
'xing'tian'gan'qi'ben'biao'ju 刑天干戚奔飙飓
'xing'wang'cheng'bai 兴亡成败
'xing'xing'lu'xiang'lang'men'guo 行行路向郎门过
'xing'ying'xian'luo'po 形影先落魄
'xiong'pi'di'shou'hu'wu'ming 熊罴低首虎无鸣
'xiu'fang'li'xi'jiu'duo'shuo'bing'gun'cha 绣房里习就夺槊并滚叉
'xiu'zhi'xiang'gong'ming'shi'ye'zheng'cheng'bai 休只向功名事业争成败
'xu'jie'hu 吁嗟乎
'xu'xi'wu'jiang'qu'yi 吁戏吾将去矣
'xuan'wu'men'mou'sha'jian'cheng'he'yuan'ji 玄武门谋杀建成和元吉
'xuan'wu'yang'xi'bei'ji 旋吾扬兮北济
'xue'gua'yong'ci'qing'luan'bi 削瓜咏此晴峦碧
'xue'jian'hong'qun'dang'zhan'shou 血溅红裙当斩首
'xue'li'li'shi'zu'guai'shang'le'peng'you 血沥沥十族拐上了朋友
'xue'shi'yi'fan'bei'shi'luan 学诗亦反被诗乱
'ya'chuang'tai'dao'tu'gu'ci 牙床抬到土谷祠
'yan'ba'can'zhi'ze'qi'she 言罢餐之啧其舌
'yan'hua'liao'luan 眼花缭乱
'yan'jian'ta'yi'dao'liang'duan'jun'chen'ding 眼见他一刀两断君臣定
'yan'jiang'gui'xi'fu'shou'yin 言将归兮福寿阴
'yan'lang'shen'yi'lao 颜郎身已老
'yan'luan'zheng'tun'tu 岩峦争吞吐
'yan'mo'jiang'hu'zhan'man'shou 烟墨浆糊沾满手
'yan'neng'pa'si 焉能怕死
'yan'qian'an'de'ci'tu'wu 眼前安得此突兀
'yan'qiu'zhen'chan 眼球震颤
'yan'ran'di'zhen 俨然地震
'yan'ru'tian'xian'chao'zi'huang 俨如天仙朝紫皇
'yan'shan'shi'miao'duo'fei'li 沿山莳苗多费力
'yan'xia'fei'wen'sheng'zi'mie 檐下飞蚊生自灭
'yan'yi'diao'suo'shuai'shuai'liu 言已吊索衰衰柳
'yan'yi'diao'tou'qu 言已调头去
'yan'yuan'duan'ming'shi'wei'de'shen'me 颜渊短命是为的什么
'yan'zhi'ci'xi'you'ta'fang 焉知此夕游他方
'yang'cang'min'er'chang'xiao'xi 仰苍旻而长啸兮
'yang'er'wen'xi'tian'he'yi'bu'ren 仰而问兮天何以不仁
'yang'mian'xiang'tian'tian'bu'chen 仰面向天天不嗔
'yang'tian'da'fu'lie'nv'ying 仰天大拊列女膺
'yang'tian'que'xiao'jian'shan'xiao 仰天却笑箭山小
'yang'wan'li'yong'gui'ting'ci 杨万里咏归亭词
'yang'yang'hu'bei'tang'zhi'ling'long'xi 洋洋乎陂塘之玲珑兮
'yang'zhan'tian'chen'shang'yao'zhi'zheng'se 仰瞻天辰上曜之正色
'yang'zi'du'yi'jing 杨子读医经
'yao'qi'lang'deng'ji'tei'ye'ruan'za 咬脐郎登极忒也软匝
'yao'ren'fei'chen'lang'ma'zu 遥认飞尘郎马足
'yao'tai'zhi'zi'jian'zhi'jiao'xiu'ye 瑶台之子见之娇秀靥
'yao'wei'zhen'jing 药唯镇静
'yao'zhi'yi'jing'ben'zi'yi'jing'chu 要之医经本自易经出
'ye'bu'jian'yue'xi 夜不见月兮
'ye'feng'xi'xiu'xiu 野风兮脩脩
'ye'ji'tu'zi'bu'gan're'huo 野鸡兔子不敢惹祸
'ye'jia'ying'dao'dao'ling 叶嘉莹叨叨令
'ye'jia'ying'hong'xiu'xie 叶嘉莹红绣鞋
'ye'jia'ying'ji'sheng'cao 叶嘉莹寄生草
'ye'ma'zong'heng'ji'mo'qiu 野马纵横迹莫求
'ye'meng'gua'xi'nan'dou'bang 夜梦挂席南斗傍
'ye'ren'yin'bu'ci 野人饮不辞
'yi'bai'ba'jiang'luo'ri'jing 一百八将落日景
'yi'ban'de'hen'xin'du'kou'si'chai'lang 一般的狠心毒口似豺狼
'yi'ban'de'pi'san'zhe'fa'chi'zhe'jiao 一般的披散着发赤着脚
'yi'ban'sui'long'ban'wei'gui 一半随龙半为鬼
'yi'bei'geng'shuo'de'hao'feng'liang'hua 一杯羹说的好风凉话
'yi'bi'dong'hai'ming'yue'zhi'zhu'xi 遗彼东海明月之珠兮
'yi'bi'wang'mu'yun'xia'zhi'bo'xi 遗彼王母云霞之帛兮
'yi'chuan'geng'jin'da'chuan'tou 移船更近大船头
'yi'cun'kong'jian'yi'cun'jin 一寸空间一寸金
'yi'deng'qu'ying'jian'mian'mian 以灯取影见面腼
'yi'dui'fu'hao'jia 一堆符号加
'yi'ge'shi'chen'han'chun'jiu'weng 一个是沉酣春酒瓮
'yi'ge'shi'zi'wen'wu'jiang'shi 一个是自刎乌江时
'yi'ge'yue 一歌曰
'yi'geng'li'he'bao'zhao'yang'er'chuan 一更里荷包照样儿穿
'yi'guan'chuan'dai 衣冠穿戴
'yi'guan'huang'he'you'he'bi 衣冠煌赫又何必
'yi'guan'ju'xi'jiang'zhi'nan 一官俱系江之南
'yi'he'chu'lan'xiang'cai'qi 已荷锄篮向菜畦
'yi'jun'zi'xi'duo'shou 宜君子兮多寿
'yi'kong'bi'juan'zhe'guan'zi 一空碧绢遮棺梓
'yi'kong'lao'yi 亦孔劳矣
'yi'mao'sheng'er'zi 一猫生二子
'yi'mo'wo'qiu'yi 亦莫我逑矣
'yi'pian'mo'hu'can'dian'hua 一片模糊残点画
'yi'qi'er'an'shi 以祈儿安适
'yi'qiang'tian'man'jing'ji'ci 一腔填满荆棘刺
'yi'sha'shi'qi'xiong'ge'ju'ba'bing'ao 一霎时七雄割据把兵鏖
'yi'shen'peng'xi'ri'ye'chi 一身捧檄日夜驰
'yi'sheng'ge'ba'shuang'ti'heng 一声歌罢双涕横
'yi'sheng'kong'qie'quan'ma'cheng 一生空切犬马诚
'yi'sheng'xing'mu'wan'ren'jing 一声醒木万人惊
'yi'si'dao'xi'jin'yu 以斯道兮金玉
'yi'si'zheng'zi'qing'hong'mao 一死政自轻鸿毛
'yi'ta'zhi'wai'nan'cheng'chi 一榻之外难撑持
'yi'ting'ba'jiu'ge'bie'li 驿亭把酒歌别离
'yi'wei'shi'duo'lao'hun'dan 意谓世多老混蛋
'yi'wen'dong'hai'qing'tong'jun 一问东海青童君
'yi'wo'tian'shu'san'shi'liu 遗我天书三十六
'yi'xi'chu'ru'shan'bai'zhuan 一溪初入山百转
'yi'xi'qiu'feng'lai'shang'jing 一夕秋风来上京
'yi'xie'fu'mu'de 以谢父母德
'yi'xu'xi 噫吁戏
'yi'yan'fan'zhang'yi 一言反掌易
'yi'yang'hu'lu 依样葫芦
'yi'ye'bao'nue'wei'suo'po 一夜暴虐葳锁破
'yi'ye'deng'hua'xiang'ren'luo 一夜灯花向人落
'yi'yu'xing'mo'gu 一语幸莫辜
'yi'za'hui'chang'jing'yi'zhe 一匝回肠经一折
'yi'zai'chuang'tou'pi'wei'ji 衣在床头披未及
'yi'zhao'diao'luo'ru'xue'xue 一朝凋落如血雪
'yi'zhong'you'miao'yi 易中有妙义
'yi'zhong'zhi'ao'yu'yi'xiang'biao'li 医中之奥与易相表里
'yi'zhu'an'mian 医嘱安眠
'yin'he'dao'jin'fu'sang'yun 银河倒浸扶桑云
'yin'ji'er'wo'xi 隐几而卧兮
'yin'jin'bei'zhong'he 饮尽杯中涸
'yin'jiu'ru'yin'yao 饮酒如饮药
'yin'shi'shi'liu'han'mo'zong 印石时留翰墨踪
'yin'wo'yi'li 饮我以醴
'ying'de'shen'quan'ya'yong'nian 赢得神全迓永年
'ying'wei'lan'yi'pian'xie'yang'mu 映危栏一片斜阳暮
'yong'duan'qian'chan 永断牵缠
'you'bao'xiao'lang'hu'bian'niao 犹抱小郎呼便溺
'you'bu'wen'tian'jia'fu 又不闻田家妇
'you'chao'shi'bu'ken'zai'shan'wo'li'shui 有巢氏不肯在山窝里睡
'you'da'zhi'shuo'chu'de'yi'hua 有大志说出得意话
'you'er'you'er'ming'qi'er 有儿有儿名麒儿
'you'fang'zhi'wai'si'pian'pian 游方之外思翩翩
'you'fu'huan'shi'you 犹弗桓是友
'you'gou'huan'huan 有构桓桓
'you'huan'yan'yan 有环言言
'you'jia'you'jia'ren'wang'yin 有家有家仁王阴
'you'jiao'ta'zhang'sun'xing'jiao'li'kan'ke 又教他长孙行脚历坎坷
'you'jun'you'jun'sheng'ming'jun 有君有君圣明君
'you'mei'jun'zi'xi'he'si'qi'yan'ju 有美君子兮何斯其燕居
'you'pi'xian'xian 有辟闲闲
'you'qin'you'qin'zai'bei'tang 有亲有亲在北堂
'you'qiong'tan'li'wu'qiong'ji 有穷弹力无穷挤
'you'quan'sheng'er'fei 有泉声而飞
'you'ren'ning'gui'qi'xiong'ling 有人狞跪乞凶灵
'you'ri'xi'zi'you'yue 有日兮自有月
'you'sha'le'xie'hao'ren'gan'tian'he 又杀了些好人干天和
'you'shi'jie'xue'man'kong'fu 有时结雪漫空浮
'you'shi'lie'shan'tui'tian'xing 有时列山推天行
'you'shi'si'wo'bu'neng'kan 有时思我不能堪
'you'shi'yao'zhao'du'tian'jin 有时遥棹渡天津
'you'song'shi'er'yu 有松实而腴
'you'wu'tian'shang'zhe'xian'jin'luan'ke 又无天上谪仙金銮客
'you'xian'luan'he'ci'zhong'can 游仙鸾鹤此中骖
'you'xiang'hao'zhui'gu'qi'qing 又向毫锥汩绮情
'you'xiang'yun'duan'tiao'qing'bi 犹向云端眺青壁
'you'xiong'you'xiong'zhan'qian'san 有兄有兄瞻前三
'you'yan'zhi'xiang'jiang'zhi'fei'yu 又焉知湘江之非欤
'you'yi'qi'suo 有翼其所
'you'yuan'yang'zhi'yi'ni 有鸳鸯之旖旎
'you'zhou'zhi'zhen'yi'wu'lv 幽州之镇医巫闾
'yu'cang'cang'xi'yao'shen 郁苍苍兮窈深
'yu'ci'huang'huang'ji'yi'shi 于此惶惶计亦失
'yu'er'jing'xue'quan'bing'fou 瑜儿颈血痊病否
'yu'feng'qi'qi'er'tian'you'xi 御风骑气而天游兮
'yu'gan'xi'zi'rui 玉干兮紫蕤
'yu'gui'qi'ren'gu 蜮鬼欺人孤
'yu'han'gao'lou'zui'bu'cheng 雨撼高楼醉不成
'yu'huo'huo'yi'xun'zheng 余霍霍以迅征
'yu'jian'ke'mai'jiu'ke'gu 鱼贱可买酒可沽
'yu'jiang'ci'yu'zai'song'jun 欲将此语再诵君
'yu'jiang'si'ru'feng'yun'tai 欲将思入风云态
'yu'jue'feng'zhu'li'bu'jing 欲攫风住力不竞
'yu'jun'qian'tang'yi 遇君钱塘驿
'yu'lin'zao'yang'cai'gun'jiu'le'chuan 榆林遭殃才滚就了椽
'yu'ling'lie'zhi'feng 御泠冽之风
'yu'long'zhi'gan 于龙之干
'yu'qing'pen'feng'zhi'wa 雨倾盆风掷瓦
'yu'sui'feng'qu'wu'yi'yin 欲随风去无翼引
'yu'wei'jian'lai'ren'yu'lao 鱼尾渐来人欲老
'yu'xiao'lao'shan'jie'wu'shu 欲效崂山嗟无术
'yu'yan'bu'yan'shen'gan'ga 欲言不言神尴尬
'yu'yu'wen'jin'xi'yi'zhi'shui 予欲问津兮沂之水
'yu'yue'na'ren'hu'ju'zu 逾月那人忽遽卒
'yu'zao'hua'er'wei'tu 与造化而为徒
'yu'zhong'dao'er'qi'xi'chou'neng'an 欲中道而弃兮畴能安
'yu'zhou'ya'qian'san'cheng'shi 玉轴牙签散城市
'yu'zi'fen'fen'he'zu'shu 馀子纷纷何足数
'yuan'de'le'tu'gong'bu'mi 愿得乐土共哺糜
'yuan'hao'wen'qu'zhu'xing 元好问驱猪行
'yuan'jiang'ri'xi'chu'dong'fang 愿将日兮出东方
'yuan'jun'qi'mao'jing'jie'yao'qian'qu 愿君旗旄旌节耀前驱
'yuan'jun'zhen'chi'qu 愿君振翅去
'yuan'ming'li'xia'sheng'ya 渊明篱下生涯
'yuan'qiu'tian'guang'sa'wo'hun'zhuo'zhi 愿求天光洒我昏浊质
'yuan'shi'ge'lao'po'dui'li'chen'dong'xi 原是个老婆队里碜东西
'yuan'shi'zu'jian'du'zhi'li'sheng 元世祖建都直隶省
'yuan'wang'xi'gui'lin 远望兮桂林
'yuan'ya'jia'he'qiong'you'tan 缘厓架壑穷幽探
'yuan'yin'hu'xiao'sheng'xiong'feng 猿吟虎啸生雄风
'yue'cong'dong'fang'lai 月从东方来
'yue'ming'huan'pei'sheng'shan'ran 月明环佩声珊然
'yue'ru'you'xin'wa'ru'pa 月如有心蛙如怕
'yue'si'yang'xiu'wa'si'sao 月似佯羞蛙似臊
'yun'duan'xue'chu'jin'fu'qu 云端削出金芙蕖
'yun'he'tuo'nv'bu'tuo'zong 云何托女不托宗
'yun'sheng'wu'mie'he'shi'ji 云生雾灭何时极
'yun'tai'tu'wu'qiu'shan'gao 云台突兀秋山高
'yun'wu'xin'yi'chu'xiu 云无心以出岫
'yun'yan'chu'mo'sui'chao'bu 云烟出没随朝餔
'zai'ba'na'yi'rang'sheng'dian'biao'yi'fan 再把那揖让盛典表一番
'zai'bai'wu'zhong'ren 再拜屋中人
'zai'jin'luo'luo'ru'kong'sha 在今落落如空厦
'zai'shuo'na'cheng'tang'jie'wang'cheng'ren'zhu 再说那成汤解网称仁主
'zai'xi'mei'po'ta'po'kan 在昔媒婆踏破槛
'zan'hua'wei'jiu'wen'ren'yu 簪花未就闻人语
'zao'ling'yi'chu'zhao'ba'fang 早令一出照八方
'zao'po'hun'dun'zuo'liang'jian 凿破混沌作两间
'zao'qi'wang'xi'chuang 早起望曦窗
'zao'yi'quan'bu'wan'dan 早已全部完蛋
'zao'zuo'le'na'qiang'dao'he'gong'jian 造作了那枪刀和弓箭
'ze'xu'neng'de'ren'zhong'long 择婿能得人中龙
'zeng'wo'tong'guan'yu'wu'gou 赠我彤管与吴钩
'zhai'du'juan'zhi'xian'hun 摘杜鹃之鲜魂
'zhan'hou'ren'fu'gui'yi'che 战后人俘鬼一车
'zhan'jiang'feng'shen'you'zi'ya 斩将封神又子牙
'zhan'lu'he'xi'wei'yin'ming 瞻六合兮唯阴冥
'zhan'zhou'yu'xi'hong'meng 瞻宙宇兮鸿濛
'zhang'fu'xi'shen'yi 章甫兮深衣
'zhang'san'li'si'shi'he'ren 张三李四是何人
'zhang'sheng'bu'hao'jiu 张生不好酒
'zhang'xian'zhong'qi'sha'shi 张献忠七杀诗
'zhang'ya'duan'hui'shi'bu'xiu 长牙短喙食不休
'zhang'zhe'gu'wei'tong'zi'yue 长者顾谓童子曰
'zhang'zhe'xi'ju'bu 长者兮矩步
'zhao'bing'wen'fang'tai'bai'deng'lan 赵秉文仿太白登览
'zhao'bing'wen'hu'cong'xing 赵秉文扈从行
'zhao'bing'wen'hua'xia'mu 赵秉文花下墓
'zhao'bing'wen'jian'tai'xing 赵秉文渐台行
'zhao'bing'wen'lv'shan'xuan'yan'si 赵秉文闾山悬岩寺
'zhao'bing'wen'ti'da'ling'guan'jun'tie 赵秉文题大令冠军帖
'zhao'bing'wen'you'jian'shan 赵秉文游箭山
'zhao'min'yang'shou'huang'qi'pang 兆民仰首黄其庞
'zhao'yang'de'lai'le'yi'ge'si'ma'shi 照样的来了一个司马师
'zhe'cai'shi'jiang'le'lao'lai'shui'li'qu 这才是浆了捞来水里去
'zhe'cai'shi'ming'li'bu'gai'wang'fei'lao 这才是命里不该枉费劳
'zhe'ge'shuo 这个说
'zhe'gong'an 这公案
'zhe'jian'lie'fa'ge'yi'qu 折剑裂发歌一曲
'zhe'jian'shi 这件事
'zhe'qi'jian'kong'meng'zhou'liu'pao'sha'ma 这其间孔孟周流跑杀马
'zhe'shi'ge'bai'ding'qi'shou'xin'xing'yang 这是个白丁起手新兴样
'zhe'you'shi'wu'dai'gan'ge'qi'le'shou 这又是五代干戈起了手
'zhei'zhou'chao'de'wang'ye'gen'jing'li'wang 这周朝的王业根茎里旺
'zhen'chi'zhong'lei'zhi'xian'xi 振翅众类之先兮
'zhen'jie'qi'fang'hao'qiu'chuan 贞节奇坊好逑传
'zhen'li'mei'zai'pian'ji'zhong 真理每在偏激中
'zhen'qi'guai 真奇怪
'zhen'shan'ting'xia'luo'sheng'yu 镇山亭下罗笙竽
'zhen'tian'zi'sheng'lai'bu'shi'he'shang'liao 真天子生来不是和尚料
'zhen'yi'qian'ren'chu'cui'wei 振衣千仞出崔嵬
'zhen'zuo'bi'yu'ru'jing 枕左臂于汝颈
'zheng'de'wu'er'qu'le'jia'jing 正德无儿取了嘉靖
'zheng'shi'na'ri'shang'san'gan'mian'bu'qi 正是那日上三竿眠不起
'zheng'si'huang'he'dao'xie'wan'li'liu 正似黄河倒泻万里流
'zheng'zhong'yao'qiu 郑重要求
'zhi'cang'hai'zhi'hao'han 知沧海之浩瀚
'zhi'chi'bu'ke'qi 咫尺不可期
'zhi'dao'liu'bian'wang'zhen'chi 雉到流边忘振翅
'zhi'ge'wei'wu'xi'wen'hua'wei'xiu 止戈为武兮文化为休
'zhi'huan'qiu'xi'he'wei'cong 置寰球兮何蔚葱
'zhi'hui'du'jiang'bai'ma'miao 指挥渡江白马庙
'zhi'jian'ying'ri'he'hua'bie'yang'hong 只见映日荷花别样红
'zhi'jin'chun'hua'er'wang'tie 至今淳化二王帖
'zhi'jin'kan'ru'cheng'zhang'shi 只今看汝成长时
'zhi'jin'yu'zhou'ji'si'hai 只今宇宙极四海
'zhi'kong'an'che'xia'di'ting 止恐安车下帝庭
'zhi'nan'xing'ban'li 只南行半里
'zhi'ri'yue'xi'shou'bian 止日月兮手边
'zhi'shi'ren'kuang'shi'wo'kuang 知是人狂是我狂
'zhi'shuo'zhong'nan'yu'song'shao 只说终南与嵩少
'zhi'wo'zhe'qi'tian'hu 知我者其天乎
'zhi'you'yi'xi'jiu'pan'huan 志犹疑兮久盘桓
'zhi'yun'shan'zhi'wei'gao 知云山之巍高
'zhi'zhao'zhe're'nao'chu'shuo'lai 只照着热闹处说来
'zhi'zhe'kai'shou'yi'zhao'bian'bu'jia 只这开手一着便不佳
'zhi'zhe'san'sheng'tuo'gu'zou'bian'tian'ya 只这三声鼍鼓走遍天涯
'zhi'zhi'xi'shang'liao'xiang'yu 置之膝上聊相娱
'zhi'zhi'yu'tang'xia 植之于堂下
'zhi'zhu'kong'xiang'lei'ru'yu 踯躅空巷泪如雨
'zhi'zun'huang'yu'qi 知尊黄与岐
'zhong'chen'xiao'zi'shi'yuan'jia 忠臣孝子是冤家
'zhong'gai'dao'yi'xiang'cong 终改道以相从
