'a'na'zha'wang 阿那吒王
'ruo'neng'yi'ci'bu'shi'fu'li 若能以此布施福利
'ruo'neng'yi'ci'hui'fa'jie 若能以此回法界
'ruo'neng'yu'suo'zhu'chu'fang'mian 若能于所住处方面
'ruo'neng'zhi'xin'gui'jing'ji'zhan'li'zan'tan 若能志心归敬及瞻礼赞叹
'ruo'ren'e'ye'zhong 若人恶业重
'ruo'ren'yu'le'zhi 若人欲了知
'ruo'ren'zhi'xin'xing 若人知心行
'ruo'shan'nan'zi'shan'nv'ren 若善男子善女人
'ruo'shen'ruo'gui 若神若鬼
'ruo'shi'cheng'fu'sheng'zhe 若是承福生者
'ruo'shi'wu'wu'jian'zui 若是五无间罪
'ruo'shi'zui'ren 若是罪人
'ruo'shuo'yu'zhu'zhong'sheng'jian'wen'li'yi'deng'shi 若说于诸众生见闻利益等事
'ruo'tian'fu'jin 若天福尽
'ruo'tian'ruo'long 若天若龙
'ruo'tian'ruo'ren 若天若人
'ruo'wei'lai'shi 若未来世
'ruo'wei'lai'shi'zhong 若未来世中
'ruo'wei'lai'shi'zhong'sheng 若未来世众生
'ruo'wei'lai'shi'zhu'zhong'sheng'deng 若未来世诸众生等
'ruo'wei'lai'xian'zai'zhu'shi'jie'zhong 若未来现在诸世界中
'ruo'xian'zai'wei'lai 若现在未来
'ruo'ye'jie'zhong 若业结重
'ruo'yi'nian'jian'ju'da'ci'xin 若一念间具大慈心
'ruo'yi'wo'shen'li 若以我神力
'ruo'you'can'que'ren 若有残缺人
'ruo'you'e'ren'ji'e'shen'e'gui 若有恶人及恶神恶鬼
'ruo'you'ji'bing'ren 若有疾病人
'ruo'you'ke'ci'jing 若有刻此经
'ruo'you'lin'ming'zhong'ren 若有临命终人
'ruo'you'nan'zi'nv'ren 若有男子女人
'ruo'you'nv'ren 若有女人
'ruo'you'shan'nan'zi'shan'nv'ren 若有善男子善女人
'ruo'you'tian'ren 若有天人
'ruo'you'xiao'jing'ren 若有孝敬人
'ruo'you'yan'nv'shen 若有厌女身
'ruo'you'zhong'sheng 若有众生
'ruo'you'zhong'sheng'zuo'ru'shi'zui 若有众生作如是罪
'ruo'you'zhu'zhong'sheng 若有诸众生
'ruo'yu'bei'ni'fu'mu'zhe 若遇悖逆父母者
'ruo'yu'chen'hui'zhe 若遇瞋恚者
'ruo'yu'e'kou'zhe 若遇恶口者
'ruo'yu'e'yuan 若遇恶缘
'ruo'yu'fei'li'hui'yong'zhe 若遇非理毁用者
'ruo'yu'gu'zhe 若遇故者
'ruo'yu'hui'bang'san'bao'zhe 若遇毁谤三宝者
'ruo'yu'hui'bang'zhe 若遇毁谤者
'ruo'yu'liang'she'dou'luan'zhe 若遇两舌斗乱者
'ruo'yu'po'jie'fan'zhai'zhe 若遇破戒犯斋者
'ruo'yu'po'yong'chang'zhu'zhe 若遇破用常住者
'ruo'yu'qian'hou'fu'mu'e'du'zhe 若遇前后父母恶毒者
'ruo'yu'qian'lin'zhe 若遇悭吝者
'ruo'yu'qie'dao'zhe 若遇窃盗者
'ruo'yu'qing'fa'man'jiao'zhe 若遇轻法慢教者
'ruo'yu'qiu'zhi'hui 若欲求智慧
'ruo'yu'sha'sheng'zhe 若遇杀生者
'ruo'yu'shan'zhi'shi 若遇善知识
'ruo'yu'shao'shan'lin'mu'zhe 若遇烧山林木者
'ruo'yu'tang'huo'zhan'zhuo'shang'sheng'zhe 若遇汤火斩斫伤生者
'ruo'yu'tian'lie'zi'qing'zhe 若遇畋猎恣情者
'ruo'yu'wang'bu'sheng'chu'zhe 若遇网捕生雏者
'ruo'yu'wu'fan'wu'seng'zhe 若遇污梵诬僧者
'ruo'yu'wu'wo'gong'gao'zhe 若遇吾我贡高者
'ruo'yu'xie'jian'zhe 若遇邪见者
'ruo'yu'xie'yin'zhe 若遇邪淫者
'ruo'yu'yin'shi'wu'du'zhe 若遇饮食无度者
'ruo'yu'zui'xia'pin'qiong 若遇最下贫穷
'ruo'zai'lv'jian 若再履践
'ruo'zai'shi'shi 若在世时
'san'hai'zhi'nei 三海之内
'san'mu'gui'wang 三目鬼王
'san'qi'ri'nei'wu'sha'hai 三七日内勿杀害
'san'qi'ri'zhong'nian'qi'ming 三七日中念其名
'san'shi'ru'lai'tong'zan'tan'shi'fang'pu'sa'gong'gui'yi 三世如来同赞叹十方菩萨共皈依
'san'shi'sheng'zhong 三十生中
'san'shi'yi'qie'fo 三世一切佛
'san'tu'liu'dao'jue'chen'ai 三途六道绝尘埃
'san'yang'gui'wang 散殃鬼王
'san'ye'e'yin'zhi'suo'zhao'gan 三业恶因之所招感
'san'zhe 三者
'sang'shi'xing'ming 丧失性命
'se'jiu'jing'tian 色究竟天
'se'zhong'wu'da'zhong 色中无大种
'sha'li 刹利
'shan'guo'ri'zeng 善果日增
'shan'jian'tian 善见天
'shan'jin'shi'du 善禁是毒
'shan'nan'zi'shan'nv'ren 善男子善女人
'shan'neng'wei'mu'fa'ru'shi'da'yuan 善能为母发如是大愿
'shan'shen 山神
'shan'shi 善逝
'shan'shi'wei'chen 山石微尘
'shan'si'nian'zhi 善思念之
'shan'wang'fo 山王佛
'shan'xi'jie'guo 善习结果
'shan'xian'tian 善现天
'shan'zai'pu'sa 善哉菩萨
'shan'zai'shan'zai 善哉善哉
'shang'e'xi'zai 尚恶习在
'shang'huo'che'xia 上火彻下
'shang'huo'ci'bao 尚获此报
'shang'wei'pu'sa 尚为菩萨
'shang'zai'a'bi'di'yu 尚在阿鼻地狱
'shao'guang'tian 少光天
'shao'jiao'di'yu 烧脚地狱
'shao'jing'tian 少净天
'shao'shi'fu'mu'en'ai'zhe 少失父母恩爱者
'shao'shou'di'yu 烧手地狱
'shao'xiang'gong'yang 烧香供养
'shao'xiang'shao'hua 少香少花
'shao'you'kong'que 少有空缺
'she'ci'bao'yi 舍此报已
'she'du'gui'wang 摄毒鬼王
'she'huo'zan'xin 设或暂信
'she'shi'ding'shou 设使顶受
'she'shi'gong'yang 设食供养
'she'xie'gui'zheng 舍邪归正
'she'yi'de'wan'bao 舍一得万报
'she'yu'qiu'nan'nv 设欲求男女
'she'zhai'gong'yang 设斋供养
'she'zhu'deng'wu 舍诸等物
'shen'ding'zhi'hou 审定之后
'shen'gui'zhu'chi 神鬼助持
'shen'ju'chang'ji'guang 身居常寂光
'shen'kou'yi'ye 身口意业
'shen'sheng'zhen'zhong 深生珍重
'shen'shi'hun'mei 神识昏昧
'shen'shi'yuan'gu 深誓愿故
'shen'wei'da'zhang'zhe'zi 身为大长者子
'shen'wu'sha'hai 慎勿杀害
'shen'wu'xin'jiu'rou 慎五辛酒肉
'shen'yi'bu'zhu'xin 身亦不住心
'shen'yin'jiu'wo'chuang 呻吟久卧床
'shen'yu'li'yi 甚欲利益
'sheng'ge'luo'shou 生革络首
'sheng'gong'jing'xin 生恭敬心
'sheng'he'shi'jie 生何世界
'sheng'he'tian'zhong 生何天中
'sheng'mu 圣母
'sheng'nv'da'yue 圣女答曰
'sheng'nv'wen'yue 圣女问曰
'sheng'nv'you'wen 圣女又问
'sheng'nv'you'wen'da'gui'wang'yue 圣女又问大鬼王曰
'sheng'nv'you'wen'gui'wang'wu'du'yue 圣女又问鬼王无毒曰
'sheng'ren'tian'zhong 生人天中
'sheng'sheng'yong'li'qiang 生生勇力强
'sheng'shi'si'shi 生时死时
'sheng'shi'you'wu'shan'yin 生时又无善因
'sheng'si'dao'zhong 生死道中
'sheng'si'ye'yuan 生死业缘
'sheng'tian'ren'zhong 生天人中
'sheng'tian'yi'lai 生天以来
'sheng'wei'fan'zhi 生为梵志
'sheng'zhang'yi'lai'jie'bu'shi 生长以来皆不识
'sheng'zhe 圣者
'sheng'zhe'zi'li 生者自利
'sheng'zun'gui'jia 生尊贵家
'shi'ba'ri 十八日
'shi'ba'zhe 十八者
'shi'bo'luo'mi'yin 尸波罗蜜音
'shi'bu'zuo'fa'wang 誓不作法王
'shi'chan'nan'shi 是产难时
'shi'chou'lou'nv'ren 是丑陋女人
'shi'da'di'yu 是大地狱
'shi'da'gui'wang 是大鬼王
'shi'da'gui'wang'zhu'ming'zhe 是大鬼王主命者
'shi'da'guo'wang'deng 是大国王等
'shi'da'pu'sa 是大菩萨
'shi'da'shi'ci'bei'yuan'gu 是大士慈悲愿故
'shi'deng'bei'ren 是等辈人
'shi'di'zang'pu'sa 是地藏菩萨
'shi'di'zang'pu'sa'mo'he'sa 是地藏菩萨摩诃萨
'shi'di'zang'pu'sa'mo'he'sa'ju'da'ci'bei 是地藏菩萨摩诃萨具大慈悲
'shi'er'zhe 十二者
'shi'fang'wu'liang'shi'jie 十方无量世界
'shi'fang'zhu'fo 十方诸佛
'shi'fei'gui'ye 实非鬼也
'shi'gu'di'zang 是故地藏
'shi'gu'di'zang'pu'sa'ju'da'ci'bei 是故地藏菩萨具大慈悲
'shi'gu'fu'li 是故福利
'shi'gu'guan'shi'yin 是故观世音
'shi'gu'guan'yin'ru'dang'zhi 是故观音汝当知
'shi'gu'pu'guang 是故普广
'shi'gu'ru'deng 是故汝等
'shi'gu'wo'jin'dui'fo'shi'zun 是故我今对佛世尊
'shi'gu'zhang'zhe 是故长者
'shi'gu'zhong'sheng 是故众生
'shi'gui'wang'wu'du'zhe 时鬼王无毒者
'shi'guo'wang'deng 是国王等
'shi'he'shen'de 是何神德
'shi'huo'bu'ke'si'yi'shen'li 使获不可思议神力
'shi'huo'da'li 使获大利
'shi'jia'mou'ni'fo 释迦牟尼佛
'shi'jian'jie 世间解
'shi'jie'ming'jing'zhu 世界名净住
'shi'jin'e'shou 使近恶兽
'shi'jiu'zhe 十九者
'shi'jiu'zhong'sheng 誓救众生
'shi'jue'hua'ding'zi'zai'wang'ru'lai 时觉华定自在王如来
'shi'kong'zhong'you'sheng 时空中有声
'shi'ling'an'le 使令安乐
'shi'ling'gui'fo 使令归佛
'shi'ling'jie'tuo 使令解脱
'shi'liu'zhe 十六者
'shi'mi'lu'ren 是迷路人
'shi'ming'zhong'ren 是命终人
'shi'nan'yan'fu'ti'zhong'sheng 是南阎浮提众生
'shi'niu'geng'zhi 使牛耕之
'shi'po'luo'men'nv 时婆罗门女
'shi'qi'juan'shu'suo'sheng'jie 示其眷属所生界
'shi'qi'zhe 十七者
'shi'qing'zhi'jian 食顷之间
'shi'ren'bai'fan'sheng'yu'san'shi'san'tian 是人百返生于三十三天
'shi'ren'bi'jing'de'pu'sa'mo'ding'shou'ji 是人毕竟得菩萨摩顶授记
'shi'ren'bu'jiu'de'a'luo'han'guo 是人不久得阿罗汉果
'shi'ren'chao'yue'san'shi'jie'zui 是人超越三十劫罪
'shi'ren'dang'de'bai'fan'sheng'yu'san'shi'san'tian 是人当得百返生于三十三天
'shi'ren'dang'de'pu'sa'qian'suo'zai'tu'di'gui'shen 是人当得菩萨遣所在土地鬼神
'shi'ren'dang'de'qian'fan'sheng'yu'liu'yu'tian'zhong 是人当得千返生于六欲天中
'shi'ren'de'yu'heng'he'sha'fo 是人得遇恒河沙佛
'shi'ren'de'yu'wu'liang'zhu'fo 是人得遇无量诸佛
'shi'ren'fu'li 是人福利
'shi'ren'geng'neng'san'qi'ri'zhong 是人更能三七日中
'shi'ren'geng'neng'zhuan'du'jing'dian 是人更能转读经典
'shi'ren'gong'de 是人功德
'shi'ren'huo'da'guo'bao 是人获大果报
'shi'ren'ji'fa'da'bei'xin 是人既发大悲心
'shi'ren'ju'chu 是人居处
'shi'ren'juan'shu 是人眷属
'shi'ren'ming'zhong'zhi'hou 是人命终之后
'shi'ren'nian'ji'zhang'da 是人年既长大
'shi'ren'qian'wan'jie'zhong 是人千万劫中
'shi'ren'ruo'neng'su'hua'di'zang'pu'sa'xing'xiang 是人若能塑画地藏菩萨形像
'shi'ren'ruo'shi'ye'bao 是人若是业报
'shi'ren'ruo'shi'ye'bao'ming'jin 是人若是业报命尽
'shi'ren'xian'dang'nian'di'zang'pu'sa'ming'wan'bian 是人先当念地藏菩萨名万遍
'shi'ren'yu'shui'meng'zhong 是人于睡梦中
'shi'ren'yu'wu'shang'dao 是人于无上道
'shi'ren'yu'xian'jie'qian'fo'hui'zhong 是人于贤劫千佛会中
'shi'ren'ze'jian'fo 是人则见佛
'shi'ru'zao'bi'shi'yuan 使汝早毕是愿
'shi'san'sui'bi 十三岁毕
'shi'san'zhe 十三者
'shi'shan'nan'nv'deng 是善男女等
'shi'shan'nan'zi'deng 是善男子等
'shi'shan'nan'zi'shan'nv'ren 是善男子善女人
'shi'shan'nv'ren 是善女人
'shi'shan'zhi'shi 是善知识
'shi'shi 是时
'shi'shi'dao'li'tian'yu'wu'liang'xiang'hua 是时忉利天雨无量香华
'shi'shi'sheng'nv 是时圣女
'shi'shi'shi'fou 是事实否
'shi'shi'shi'huo 是石是火
'shi'shi'you'fo 时世有佛
'shi'shi'yun'he 是事云何
'shi'shi'zi'fen'xun'ju'zu'wan'hang'ru'lai 时狮子奋迅具足万行如来
'shi'si'ri 十四日
'shi'si'zhe 十四者
'shi'wei'lai'shi'mo'fa'zhong'sheng 使未来世末法众生
'shi'wo'juan'shu 使我眷属
'shi'wo'yun'he'liu'bu 使我云何流布
'shi'wo'zao'ling'she'zhai'tu'di'ling'qi 是我早令舍宅土地灵祇
'shi'wu'ri 十五日
'shi'wu'wu'jian'zui 是五无间罪
'shi'wu'zhe 十五者
'shi'xian'yi'qie'se 示现一切色
'shi'xin'sheng'zi 是新生子
'shi'yan'fu'ti'ren 是阎浮提人
'shi'yan'fu'ti'xing'shan'zhi'ren 是阎浮提行善之人
'shi'yi'zhe 十一者
'shi'you'di'yu 实有地狱
'shi'you'yi'er 十有一二
'shi'yuan'jiu'ba 誓愿救拔
'shi'yuan'shen'zhong 誓愿深重
'shi'zhang'zhe'jiu'zheng'wu'sheng 是长者久证无生
'shi'zhang'zhe'zi 时长者子
'shi'zhang'zhe'zi'yin'fa'yuan'yan 时长者子因发愿言
'shi'zhe 十者
'shi'zhi'shi'you'da'li'gu 是知识有大力故
'shi'zhong'neng'su'hua 是中能塑画
'shi'zhong'sheng'deng 是众生等
'shi'zhu'bu'ru'yi'shi 是诸不如意事
'shi'zhu'gui'wang 是诸鬼王
'shi'zhu'huo'shao 使诸火烧
'shi'zhu'juan'shu 是诸眷属
'shi'zhu'ren'deng 是诸人等
'shi'zhu'ri'deng 是诸日等
'shi'zhu'tian'long'ba'bu 使诸天龙八部
'shi'zhu'tian'ren 是诸天人
'shi'zhu'zhong'deng 是诸众等
'shi'zhu'zhong'sheng 是诸众生
'shi'zhu'zui'zhong 是诸罪众
'shi'zi'hou'yin 狮子吼音
'shi'zui'bao'ren'nai'zhi'duo'da'e'qu 是罪报人乃至堕大恶趣
'shi'zui'ren'bao 使罪人抱
'shi'zun 世尊
'shi'zun'cong'ding'men'shang 世尊从顶门上
'shi'zun'gao'ding'zi'zai'wang'pu'sa 世尊告定自在王菩萨
'shi'zun'gao'pu'guang'pu'sa'ji'si'zhong'deng 世尊告普广菩萨及四众等
'shi'zun'ju'jin'se'bi 世尊举金色臂
'shi'zun'ju'shen'fang'da'guang'ming 世尊举身放大光明
'shi'zun'shu'jin'se'bi 世尊舒金色臂
'shi'zuo'fang'bian 使作方便
'shou'da'ku'shi 受大苦时
'shou'da'kuai'le 受大快乐
'shou'fu'tong'zhao 手复铜爪
'shou'guan'ding'shui 授灌顶水
'shou'ji'da'ku 受极大苦
'shou'ji'shi'zhai 授记十斋
'shou'ji'zhong'zui 受极重罪
'shou'ming'bu'ke'ji'jie 寿命不可计劫
'shou'ming'zeng'yi 寿命增益
'shou'ming'zeng'zhang 寿命增长
'shou'ming'zhuan'zeng'chu'zui'zhang 寿命转增除罪障
'shou'nian'bai'sui 寿年百岁
'shou'nian'shi'san 寿年十三
'shou'sheng'miao'le 受胜妙乐
'shou'wu'liang'le 受无量乐
'shou'zhong'jin'xi 手中金锡
'shu'na'you'ta 数那由他
'shu'ru'heng'he'sha 数如恒河沙
'shu'shen 树神
'shui'meng'zhi'jian 睡梦之间
'shui'meng'zhi'zhong'xi'bu'an 睡梦之中悉不安
'shuo'bei'shi'xia'jian'bao 说卑使下贱报
'shuo'bian'di'shou'sheng'bao 说边地受生报
'shuo'bu'neng'jin 说不能尽
'shuo'chou'lou'long'can'bao 说丑陋癃残报
'shuo'di'zang'pu'sa'yu'suo'po'shi'jie 说地藏菩萨于娑婆世界
'shuo'fan'sheng'bian'ta'xian'shou'bao 说返生鞭挞现受报
'shuo'gu'rou'fen'li'bao 说骨肉分离报
'shuo'ji'ke'yan'bing'bao 说饥渴咽病报
'shuo'ji'zan'fo 说偈赞佛
'shuo'jing'kuang'sang'ming'bao 说惊狂丧命报
'shuo'juan'shu'dou'zheng'bao 说眷属斗诤报
'shuo'kuang'mi'qu'si'bao 说狂迷取死报
'shuo'lun'hui'di'chang'bao 说轮回递偿报
'shuo'mang'long'yin'ya'bao 说盲聋喑哑报
'shuo'pin'qiong'ku'chu'bao 说贫穷苦楚报
'shuo'qi'gong'de 说其功德
'shuo'qin'shou'ji'e'bao 说禽兽饥饿报
'shuo'que'ge'yuan'yang'bao 说雀鸽鸳鸯报
'shuo'shi'yu'shi 说是语时
'shuo'shi'yu'yi 说是语已
'shuo'su'yang'duan'ming'bao 说宿殃短命报
'shuo'suo'po'shi'jie'ji'yan'fu'ti'zui'ku'zhong'sheng 说娑婆世界及阎浮提罪苦众生
'shuo'suo'qiu'que'jue'bao 说所求阙绝报
'shuo'suo'qiu'wei'yuan'bao 说所求违愿报
'shuo'tian'di'zai'sha'bao 说天地灾杀报
'shuo'wu'she'bai'she'bao 说无舌百舌报
'shuo'wu'she'chuang'kou'bao 说无舌疮口报
'shuo'yan'fu'ti'bu'shi'xiao'liang 说阎浮提布施校量
'shuo'yi'jie'lun'hui'di'yu'bao 说亿劫轮回地狱报
'shuo'yong'chu'e'dao'bao 说永处恶道报
'shuo'yong'zai'chu'sheng'bao 说永在畜生报
'si'bai'qian'wan'yi'a'seng'qi'jie 四百千万亿阿僧祇劫
'si'fang'tian'wang'ju'cong'zuo'qi 四方天王俱从座起
'si'hou'you'bao 死后有报
'si'mu'gui'wang 四目鬼王
'si'ren'you'ye'zhang'huo'gu 斯人有业障惑故
'si'sui'ri'qian 死虽日浅
'si'tian'wang 四天王
'si'tian'wang'wen'yi 四天王闻已
'si'tian'wang'yan 四天王言
'si'yi'fu'mu'ji'zhu'juan'shu 思忆父母及诸眷属
'si'zhe 四者
'si'zi'nian'yan 私自念言
'su'chao'sheng'di 速超圣地
'su'da'na 苏怛拏
'su'de'jie'tuo 速得解脱
'su'fu'shen'hou 宿福深厚
'su'fu'shou'sheng 宿福受生
'su'hua'di'zang'pu'sa'xing'xiang 塑画地藏菩萨形像
'su'hua'di'zang'xing'xiang 塑画地藏形像
'su'hua'wei'rong 塑画威容
'su'ming'jie'tong 宿命皆通
'su'shuo'wo'mu'sheng'jie 速说我母生界
'su'yang'zhong'zui 宿殃重罪
'su'you'yang'bao 宿有殃报
'su'zhi'ming'tong 宿智命通
'sui'li'shi'yuan'bu'si'yi 虽立是愿不思议
'sui'mai'jia'zhai 遂卖家宅
'sui'qi'gen'xing 随其根性
'sui'wen'ru'lai'cheng'shi'zhi'yu 虽闻如来诚实之语
'sui'ye'bao'ying 随业报应
'sui'ye'shou'bao 随业受报
'sui'yi'huo'nan'nv 随意获男女
'sui'yuan'gong'bu'tang 随愿功不唐
'sui'zhi'ji'zhong 虽至极重
'suo'du'ren'tian 所度人天
'suo'fa'shi'yuan'jie'shu 所发誓愿劫数
'suo'fu'dan'wu 所负担物
'suo'guo'tu'di 所过土地
'suo'huo'fu'li 所获福利
'suo'huo'gong'de'fu'li 所获功德福利
'suo'ji'chen'shu 所积尘数
'suo'po 娑婆
'suo'po'shi'jie 娑婆世界
'suo'qiu'jie'ru'yi 所求皆如意
'suo'qiu'sui'yi 所求遂意
'suo'shi'yu'bie 所食鱼鳖
'suo'shou'bao'chu 所受报处
'suo'shou'bao'ying 所受报应
'suo'shou'fu'li 所受福利
'suo'shou'guo'bao 所受果报
'suo'shou'sheng'chu 所受生处
'suo'shou'sheng'shen 所受生身
'suo'wei'bai'hao'xiang'guang 所谓白毫相光
'suo'wei'da'yuan'man'guang'ming'yun 所谓大圆满光明云
'suo'wei'da'zhe 所谓大者
'suo'wei'e'du'gui'wang 所谓恶毒鬼王
'suo'wei'e'mu'gui'wang 所谓恶目鬼王
'suo'wei'shan'shi 所为善事
'suo'wei'si'tian'wang'tian 所谓四天王天
'suo'wei'tan'bo'luo'mi'yin 所谓檀波罗蜜音
'suo'you'cao'mu'cong'lin 所有草木丛林
'suo'you'di'yu'chu'fen'shen'di'zang'pu'sa 所有地狱处分身地藏菩萨
'suo'you'di'yu'ji'san'e'dao 所有地狱及三恶道
'suo'you'gong'de'ji'bu'si'yi'wei'shen'zhi'li 所有功德及不思议威神之力
'suo'you'ren'min 所有人民
'suo'yuan'su'cheng 所愿速成
'suo'zao'e'ye 所造恶业
'suo'zhong'shan'gen 所种善根
'ta'fang'huai'shi 他方坏时
'ta'hua'zi'zai'tian 他化自在天
'ta'jie'ci'huai 他界次坏
'ta'ren'wei'qi'cheng'nian'fo'ming 他人为其称念佛名
'tan'wei'ceng'you 叹未曾有
'tan'yue'zhi'ren 檀越之人
'tang'lai'wen'fo 倘来问佛
'tang'yu'tian'guo'san'zang'sha'men'shi'cha'nan'tuo'yi 唐于阗国三藏沙门实叉难陀译
'ti'lei'ai'lian 涕泪哀恋
'ti'lei'bei'tan 涕泪悲叹
'ti'lei'hao'qi 啼泪号泣
'ti'xie'jie'shou 提携接手
'ti'xing'jie'wu'jin 体性皆无尽
'ti'yu'jian'fu 替与减负
'tian'long'ba'bu 天龙八部
'tian'long'gui'shen 天龙鬼神
'tian'long'hu'nian 天龙护念
'tian'ren'shi 天人师
'tian'ren'wen'fo'shi'he'yin'fo'yan'di'zang'pu'sa'zhi 天人问佛是何因佛言地藏菩萨至
'tian'shen 天神
'tian'yi'zhu'ying 天衣珠璎
'tiao'fu'gang'qiang'zhong'sheng 调伏刚强众生
'tiao'yu'zhang'fu 调御丈夫
'tie'lv'tie'ma 铁驴铁马
'tie'she'tie'gou 铁蛇铁狗
'tie'wang'tie'sheng 铁网铁绳
'tie'wei'shan'nei 铁围山内
'tie'wei'zhi'nei 铁围之内
'tie'wu'di'yu 铁屋地狱
'ting'wo'shuo'zhi 听我说之
'ting'wo'wei'mu'suo'fa'guang'da'shi'yuan 听我为母所发广大誓愿
'ting'wu'jin'ri'yu'dao'li'tian'gong 听吾今日于忉利天宫
'tong'bu'shi'zhe 同布施者
'tong'hang'shi'shan 同行十善
'tong'sheng'ji'le'bang 同生极乐邦
'tong'suo'di'yu 铜锁地狱
'tou'qie'chang'zhu'cai'wu'gu'mi 偷窃常住财物谷米
'tou'tou'jiu'ba'ru'shi'zhong'sheng 头头救拔如是众生
'tou'zu'xiang'jiu 头足相就
'tu'di'feng'rang 土地丰壤
'tu'huo'chi'zhu'yu'qiang'zhi'shang 吐火驰逐狱墙之上
'tuo'de'chu'li 脱得出离
'tuo'huo'shan'li 脱获善利
'tuo'huo'zui'bao 脱获罪报
'tuo'ku'sheng'tian'tang 脱苦生天堂
'tuo'ru'zan'chu 脱入暂出
'tuo'zhuai'zui'ren 拖拽罪人
'wan'sheng'shan'chu 晚生善处
'wan'si'qian'sheng 万死千生
'wan'si'wan'sheng 万死万生
'wang'ren'zhe'shuo 望仁者说
'wang'shi'fu'mu 亡失父母
'wang'yu 妄语
'wang'zhu'gu'rou'juan'shu 望诸骨肉眷属
'wei'bei'jie'lv 违背戒律
'wei'ce'zhi'jian 未测之间
'wei'cheng'jiu 未成就
'wei'chu'jia'shi 未出家时
'wei'chu'san'jie 未出三界
'wei'da'fan'wang 为大梵王
'wei'dang'su'shuo 唯当速说
'wei'de'chu'li 未得出离
'wei'de'shou'sheng 未得受生
'wei'de'xiao'chu 未得消除
'wei'di'shi'shen 为帝释身
'wei'ding'qing'zhong 未定轻重
'wei'du 未度
'wei'hao'shi'dan'yu'bie'zhi'shu 唯好食啖鱼鳖之属
'wei'he'jie'tuo 未合解脱
'wei'he'shi'gu 为何事故
'wei'hu'shi'jing 卫护是经
'wei'hu'shi'ren 卫护是人
'wei'jiu'zhi'jian 未久之间
'wei'lai'bai'qian'wan'yi'jie'zhong 未来百千万亿劫中
'wei'lai'shi'zhong 未来世中
'wei'lai'xian'zai'shan'nan'nv'deng 未来现在善男女等
'wei'lai'xian'zai'zhu'shi'jie'zhong 未来现在诸世界中
'wei'lai'xian'zai'zhu'zhong'sheng'deng 未来现在诸众生等
'wei'lai'zhi'shi 未来之世
'wei'lin'zhong'ren'xiu'ci'sheng'yin 为临终人修此圣因
'wei'man'san'ri 未满三日
'wei'mian'xing'bang 未免兴谤
'wei'mu'she'gong'xiu'fu 为母设供修福
'wei'mu'shuo'fa 为母说法
'wei'qi'zi'shen 为其自身
'wei'quan'sheng'xin 未全生信
'wei'ran'ding'shou 唯然顶受
'wei'ran'shi'zun 唯然世尊
'wei'ru'ding'guan 为入定观
'wei'shan'wei'e 为善为恶
'wei'shen'shi'li 威神势力
'wei'shi'bing'ren 为是病人
'wei'shi'zui'ku'liu'dao'zhong'sheng 为是罪苦六道众生
'wei'sui'di'yu 为碎地狱
'wei'wang'chen'nv 为王臣女
'wei'wei'lai'shi'mo'fa'zhong'sheng 为未来世末法众生
'wei'wei'lai'xian'zai'yi'qie'zhong'deng 为未来现在一切众等
'wei'wei'lai'zhong'sheng'qian'zhi'li'yi 为未来众生遣知利益
'wei'wo'deng'shuo 为我等说
'wei'wo'jie'shuo 为我解说
'wei'wo'shuo'zhi 为我说之
'wei'xia'jian'ren 为下贱人
'wei'xian'fo'seng 未献佛僧
'wei'xian'zai'wei'lai'yi'qie'zhong'sheng 为现在未来一切众生
'wei'xiao'guo'wang 为小国王
'wei'xiu'gong'de 为修功德
'wei'xiu'ying'zhai 为修营斋
'wei'yan'fu'ti'ku'zhong'sheng 为阎浮提苦众生
'wei'yuan'cheng'fo'zhe 未愿成佛者
'wei'yuan'ren'zhe 唯愿仁者
'wei'yuan'shi'zun 唯愿世尊
'wei'yuan'ting'shou 唯愿听受
'wei'zao'fu'li 为造福利
'wei'zhai'shi'jing 未斋食竟
'wei'zhi'hun'shen'zai'he'qu 未知魂神在何趣
'wei'zhi'sheng'chu 未知生处
'wei'zhi'wo'mu'sheng'chu'he'qu 未知我母生处何趣
'wei'zhi'zui'fu 未知罪福
'wei'zhuang'xiong'bei 唯撞胸背
'wei'zuo'fang'bian 为作方便
'wei'zuo'gong'de 为作功德
'wei'zuo'sha'men 伪作沙门
'wen'ci'jing'dian 闻此经典
'wen'di'cang'ming 闻地藏名
'wen'di'zang'pu'sa'ming 闻地藏菩萨名
'wen'di'zang'pu'sa'yan 问地藏菩萨言
'wen'fo'suo'yan 闻佛所言
'wen'gui'wang'yue 问鬼王曰
'wen'ji'xin'shou 闻即信受
'wen'jian'zi'xiu 闻健自修
'wen'ming'jian'xing 闻名见形
'wen'pu'sa'ming 闻菩萨名
'wen'ren'zhe'shuo 闻仁者说
'wen'ru'ming'zhe 闻汝名者
'wen'shi'di'zang'pu'sa'mo'he'sa'ming'zhe 闻是地藏菩萨摩诃萨名者
'wen'shi'fo'ming 闻是佛名
'wen'shi'fo'ming'zhe 闻是佛名者
'wen'shi'jia'mou'ni'fo 闻释迦牟尼佛
'wen'shi'pu'sa'ming'zi 闻是菩萨名字
'wen'shu'shi'li 文殊师利
'wen'shu'shi'li'bai'fo'yan 文殊师利白佛言
'wen'xun'shi'zun 问讯世尊
'wen'yu'ru'lai 闻于如来
'wo'ben'ye'yuan 我本业缘
'wo'bi'shi'xing 我毕是形
'wo'chang'ri'ye 我常日夜
