'a'duo'nuo 阿多诺
'wu'xin'ji'shi'yu'zhou 吾心即是宇宙
'wu'xin'yu'shun'you 无心与顺有
'wu'xing 五行
'wu'xing 五性
'wu'xing'wu'chang'sheng 五行无常胜
'wu'xing'wu'chang'sheng 五行毋常胜
'wu'xing'xiang'sheng 五行相胜
'wu'xing'xiang'sheng 五行相生
'wu'xu'dan'xin 毋须担心
'wu'yan'wu'yi'zhi'yu 无言无意之域
'wu'yi 务义
'wu'yi 毋意
'wu'yi'ren'mie'tian 无以人灭天
'wu'yi'xiao'hai'da 无以小害大
'wu'yin'lun 无因论
'wu'yin'yi'guo 物因意果
'wu'yong'zhi'yong 无用之用
'wu'you 无有
'wu'yu 吴虞
'wu'yu 无欲
'wu'yu'bi 吴与弼
'wu'yue 吴樾
'wu'yun 五蕴
'wu'ze'bu'tong 物则不通
'wu'zei 五贼
'wu'zheng'fu'zhu'yi'lun'zhan 无政府主义论战
'wu'zhi 物质
'wu'zhi 物指
'wu'zhi'du'ying 无质独影
'wu'zhi'hui 吴稚晖
'wu'zhi'jin'hua'shi'qi 物质进化时期
'wu'zhi'lun 物质论
'wu'zhi'xing 物质性
'wu'zhi'ze'ying 物至则应
'wu'zhi'zuo'fa 五支作法
'wu'zhong'jin'hua'zhi'shi'qi 物种进化之时期
'wu'zhong'jing'zheng'yuan'ze 物种竞争原则
'wu'zhong'wei'shi'guan 五重唯识观
'wu'zhu 无住
'wu'zu'qing'zhong 无足轻重
'xi'chang 袭常
'xi'chang 习常
'xi'chao 郗超
'xi'ci'jin'yan 系辞尽言
'xi'dong 习动
'xi'fang'ren 西方人
'xi'fang'wen'hua 西方文化
'xi'fang'zhe'xue 西方哲学
'xi'fang'zheng'zhi'si'xiang 西方政治思想
'xi'fang'zheng'zhi'xue 西方政治学
'xi'fang'zhong'shi'ji 西方中世纪
'xi'he 羲和
'xi'la'ben'tu 希腊本土
'xi'la'cheng'bang'shi'dai 希腊城邦时代
'xi'la'cheng'bang'zhi'du 希腊城邦制度
'xi'la'hua'shi'dai 希腊化时代
'xi'la'wen 希腊文
'xi'la'yu 希腊语
'xi'la'zhe'xue 希腊哲学
'xi'la'zhe'xue'jia 希腊哲学家
'xi'lan'ni'xue'pai 昔兰尼学派
'xi'men'bao 西门豹
'xi'ming 袭明
'xi'nuo'pu 锡诺普
'xi'pi 翕辟
'xi'pi'cheng'bian 翕辟成变
'xi'qian 希迁
'xi'sai'luo 西塞罗
'xi'she'li 吸摄力
'xi'tian 西天
'xi'xiang'yuan 习相远
'xi'xin 习心
'xi'xin 洗心
'xi'xing 习行
'xi'xue'qi'mo 西学其末
'xi'yun 希运
'xia'de 下德
'xia'hou'jian 夏侯建
'xia'hou'sheng 夏侯胜
'xia'hou'xuan 夏侯玄
'xia'xue'shang'da 下学上达
'xian'dai'ke'xue 现代科学
'xian'dai'zhe'xue 现代哲学
'xian'fa'guo'jia 宪法国家
'xian'liang 现量
'xian'nong 纤秾
'xian'shi'xing 现实性
'xian'su'bao'pu 见素抱朴
'xian'tian'xue 先天学
'xian'wang'zhi'dao 先王之道
'xian'wei'chan'you 显微阐幽
'xian'xiang'shi'jie 现象世界
'xian'xing 现行
'xian'yan'lun 先验论
'xian'zhang'wen'wu 宪章文武
'xian'zhi'hou'wen 先质后文
'xian'zhi'xian'jue 先知先觉
'xiang'dai 相待
'xiang'dui 相对
'xiang'dui'min'zhu 相对民主
'xiang'dui'zhen'li 相对真理
'xiang'dui'zhu'yi 相对主义
'xiang'fan'er'bu'ke'yi'xiang'wu 相反而不可以相无
'xiang'fan'xiang'cheng 相反相成
'xiang'fan'xiang'ji 相反相济
'xiang'fan'xiang'yin 相反相因
'xiang'fei 相非
'xiang'fen 相分
'xiang'fu'shi 相夫氏
'xiang'guo'xiao'yao'yi 向郭逍遥义
'xiang'huo 相火
'xiang'ji 相即
'xiang'ji 相济
'xiang'jiu'xiang'sheng'er'xiang'cheng 相捄相胜而相成
'xiang'li'qin 相里勤
'xiang'li'shi 相里氏
'xiang'ling'shi 乡陵氏
'xiang'ru 相入
'xiang'sheng'yang'zhi'dao 相生养之道
'xiang'shu 象数
'xiang'tian 相天
'xiang'wai 象外
'xiang'wai'wu'dao 象外无道
'xiang'wai'zhi'xiang 象外之象
'xiang'wei 相为
'xiang'xiu 向秀
'xiang'xu 相续
'xiang'yan'pian 飨宴篇
'xiang'yin 相因
'xiang'yin'zhi'gong 相因之功
'xiang'yu 相与
'xiang'yuan 乡愿
'xiang'zi'qi 向子期
'xiao'bao'zhen 萧抱珍
'xiao'bian 小辩
'xiao'bian'er'bu'shi'da'chang 小变而不失大常
'xiao'chen 萧琛
'xiao'chu'nv 萧楚女
'xiao'ci'ze'zhong 孝慈则忠
'xiao'di 孝弟
'xiao'gu 小故
'xiao'guo'gua'min 小国寡民
'xiao'kang 小康
'xiao'qian 肖前
'xiao'ren'yu'yu'li 小人喻于利
'xiao'ren'zhi'bian 小人之辩
'xiao'san'shi 小三世
'xiao'sha'fu 萧萐父
'xiao'su'ge'la'di'xue'pai 小苏格拉底学派
'xiao'ti 孝悌
'xiao'ti 小体
'xiao'ti'zhong'xin 孝悌忠信
'xiao'tong 肖统
'xiao'tong'yi 小同异
'xiao'xi 消息
'xiao'ya'xi'ya 小亚细亚
'xiao'yan 萧衍
'xiao'yan 效验
'xiao'yao 逍遥
'xiao'yao'xue'pai 逍遥学派
'xiao'yi 小一
'xiao'zi'liang 萧子良
'xie'he 谢赫
'xie'ju'zhi'dao 絜矩之道
'xie'kun 谢鲲
'xie'liang'zuo 谢良佐
'xie'lin 谢林
'xie'mo'wai'dao 邪魔外道
'xie'shang'cai 谢上蔡
'xie'xuan 谢玄
'xie'ying'fang 谢应芳
'xin'bian 心辩
'xin'bo'la'tu'xue'pai 新柏拉图学派
'xin'bo'la'tu'zhu'yi 新柏拉图主义
'xin'cheng'zhi'shuo 心成之说
'xin'cun'zhu'yi'yun'dong 新村主义运动
'xin'fa 心法
'xin'gu'xiang'chu 新故相除
'xin'huo'zhi'yu 薪火之喻
'xin'ji 心迹
'xin'ji'li 心即理
'xin'ji'qi 心即气
'xin'ji'sheng'ming'li 心即生命力
'xin'jing'geng'hu'yuan'sheng 心境更互缘生
'xin'ju'zhong'li 心具众理
'xin'li 心力
'xin'ling'zhi'hui 心灵智慧
'xin'sheng'er'wu 心声二物
'xin'sheng'xin'hua 心声心画
'xin'shu 心术
'xin'suo 心所
'xin'tong'xing'qing 心统性情
'xin'wai'wu'li 心外无理
'xin'wai'wu'wu 心外无物
'xin'wai'wu'xue 心外无学
'xin'wang 心王
'xin'wang'bi'gai'zhi 新王必改制
'xin'wei'lv'ben 心为虑本
'xin'wu 心物
'xin'wu'ben'ti 心无本体
'xin'wu'he'yi 心物合一
'xin'wu'zi'ti 心无自体
'xin'xing 信行
'xin'xing 心性
'xin'yi'shi 心意识
'xin'zhai 心斋
'xin'zheng'zhi'xue 新政治学
'xin'zhi'guan'ze'si 心之官则思
'xing'bi'you'fei 兴必有废
'xing'bing 邢昺
'xing'cha'ke'zhi 省察克治
'xing'cheng'ming'ding 性成命定
'xing'cheng'yu'xi 性成于习
'xing'cun'ze'shen'cun 形存则神存
'xing'de 刑德
'xing'de'xiang'yang 刑德相养
'xing'e 性恶
'xing'er'shang 形而上
'xing'er'shang'xue 形而上学
'xing'er'shang'xue'wei'wu'zhu'yi 形而上学唯物主义
'xing'er'xia 形而下
'xing'fen 性分
'xing'fen'zhi'zhi 性分之知
'xing'ge'zi'zu 性各自足
'xing'guan'qun'yuan 兴观群怨
'xing'he'shan'mi 性禾善米
'xing'hua 形化
'xing'hun 形魂
'xing'ji 形迹
'xing'ji'li 性即理
'xing'jing'shen'chi 形静神驰
'xing'ju 性具
'xing'ju'er'shen'sheng 形具而神生
'xing'jue 性觉
'xing'ke'jian'zhi 行可兼知
'xing'kong 性空
'xing'kui'fan'yuan 形溃反原
'xing'li 性理
'xing'ling'shuo 性灵说
'xing'mie'ji'jue 兴灭继绝
'xing'ming 刑名
'xing'ming 形名
'xing'ming 性命
'xing'ou'zao'yu 幸偶遭遇
'xing'qi 行气
'xing'qi 性起
'xing'qi'qing 性其情
'xing'qi'suo'bu'zhi'yi'zhi'qi'zhi 行其所不知以致其知
'xing'qing 性情
'xing'qing'san'pin 性情三品
'xing'qu 兴趣
'xing'ri'sheng'ri'cheng 性日生日成
'xing'san'pin 性三品
'xing'shan 性善
'xing'shan'e'hun 性善恶混
'xing'shan'qing'e 性善情恶
'xing'shao 邢邵
'xing'shen 形神
'xing'shen'bu'er 形神不二
'xing'shen'fei'yi 形神非一
'xing'shen'xiang'he 形神相合
'xing'shen'xiang'ji 形神相即
'xing'shen'xiang'yi 形神相异
'xing'shi'shen'yi'li 形恃神以立
'xing'shi'zhi'liao'shuo 形式质料说
'xing'shi'zhi'zhi'cheng 行是知之成
'xing'si 形似
'xing'wei'fang'shi 行为方式
'xing'wei'zhi'fen 性伪之分
'xing'wu'shan'e'lun 性无善恶论
'xing'xi 性习
'xing'xian'zhi'hou 行先知后
'xing'xiang 兴象
'xing'xiang 性相
'xing'xiang'jin 性相近
'xing'xie'ze'shen'mie 形谢则神灭
'xing'xing'bu'er 形性不二
'xing'xiu 行秀
'xing'xiu'bu'er 性修不二
'xing'xu'qi'er'cheng 形须气而成
'xing'xu'shen'er'li'yan 形须神而立焉
'xing'yi'zhi'nan 行易知难
'xing'you'shan'you'e 性有善有恶
'xing'yuan'bi'zi'er 行远必自迩
'xing'yun 星云
'xing'zhe'sheng'zhi'ju 形者生之具
'xing'zhi 性智
'xing'zhi 性知
'xing'zhi'shen'yong 形质神用
'xing'zhong'zhi'qing 行重知轻
'xiong'bo'long 熊伯龙
'xiong'ci'lv 熊赐履
'xiong'hun 雄浑
'xiong'jie 雄节
'xiong'shi'li 熊十力
'xiong'zhong'ling 熊钟陵
'xiu'qi'zhi'ping 修齐治平
'xiu'shi'xue 修饰学
'xiu'wu'zhi'xin 羞恶之心
'xiu'zheng'de'min'zhu'zheng'zhi 修正的民主政治
'xu'ai 徐爱
'xu'fu'guan 徐复观
'xu'gan 徐干
'xu'guang'qi 徐光启
'xu'heng 许衡
'xu'ji 虚极
'xu'kuo 虚霩
'xu'qian 许谦
'xu'shen 许慎
'xu'shi 虚实
'xu'shi'sheng'bai 虚室生白
'xu'shou 徐寿
'xu'wei 虚位
'xu'wei 徐谓
'xu'wu'xing 虚无形
'xu'wu'you 虚无有
'xu'xiang 虚象
'xu'xing 许行
'xu'yi'er'jing 虚一而静
'xuan'de 玄德
'xuan'jie 悬解
'xuan'lan 玄览
'xuan'miao 玄妙
'xuan'ming 玄冥
'xuan'pin 玄牝
'xuan'tan 玄谈
'xuan'tong 玄通
'xuan'tong 玄同
'xuan'xue'gui 玄学鬼
'xuan'ye'shuo 宣夜说
'xuan'yi 玄一
'xuan'yi'zhi'dao 玄一之道
'xuan'yuan 玄远
'xuan'zang 玄奘
'xue'er'bu'si'ze'wang 学而不思则罔
'xue'er'bu'yan 学而不厌
'xue'er'shi'xi'zhi 学而时习之
'xue'er'you'ze'shi 学而优则仕
'xue'er'zhi'zhi 学而知之
'xue'fu'cheng 薛福成
'xue'ji'xuan 薛季宣
'xue'qi'xin'zhi 血气心知
'xue'shuo'ku 学说库
'xue'si 学思
'xue'wen'si'bian 学问思辨
'xue'xi 学习
'xue'xuan 薛瑄
'xue'yuan'pai 学园派
'xue'zhi 学知
'xun'can 荀粲
'xun'dao'er'bu'er 循道而不贰
'xun'kuang 荀况
'xun'li 循理
'xun'ming'jiu'li 循名究理
'xun'ming'ze'shi 循名责实
'xun'qing 荀卿
'xun'qiu'chao'yue 寻求超越
'xun'rong 荀融
'xun'shuang 荀爽
'xun'xi 熏习
'xun'yu 荀彧
'xun'yue 荀悦
'xun'zi 荀子
'ya'dian'fa'ting 雅典法庭
'ya'han'zhang 牙含章
'ya'li'shi'duo'de 亚里士多德
'ya'li'si'ti'bu 亚里斯提布
'ya'li'tu'duo'de'xue'shuo 亚里土多德学说
'ya'miao'zhu'zhang 揠苗助长
'ya'yuan 雅远
'yan'bei'ming 严北溟
'yan'bu'jin'yi 言不尽意
'yan'cong 彦琮
'yan'duo'fang 言多方
'yan'fu 严复
'yan'hui 颜回
'yan'ji'dao 严几道
'yan'jin'yi 言尽意
'yan'jiu'dui'xiang 研究对象
'yan'jiu'zi'ran 研究自然
'yan'jun 颜钧
'yan'jun'ping 严君平
'yan'ling'feng 严灵峰
'yan'luo'yao 阎罗妖
'yan'ping'zhong 晏平仲
'yan'ruo'qu 阎若璩
'yan'shi'gu 颜师古
'yan'shou 延寿
'yan'tian'you'ren 延天佑人
'yan'wei'xin'sheng 言为心声
'yan'xi'zhai 颜习斋
'yan'xing 言行
'yan'yan 言偃
'yan'yan'zhi 颜延之
'yan'yi 言意
'yan'yi'yu'xin 言以谕心
'yan'yi'zhi'bian 言意之辨
'yan'yin'li'er'bian 言因理而变
'yan'ying 晏婴
'yan'yu 严羽
'yan'yuan 颜元
'yan'yuan 颜渊
'yan'zhi'bei'yue'zhi'nan'shi'ye 燕之北越之南是也
'yan'zhi'tui 颜之推
'yan'zi 晏子
'yan'zun 严遵
'yang'bu'li'ke 杨布利柯
'yang'cheng'zhai 杨诚斋
'yang'ci'hu 杨慈湖
'yang'dong'ming 杨东明
'yang'gang'zhi'mei 阳刚之美
'yang'guan'fu'cha 仰观俯察
'yang'gui'shan 杨龟山
'yang'he 杨何
'yang'jian 杨简
'yang'liu'qiao 杨柳桥
'yang'qi 养气
'yang'qi 扬弃
'yang'quan 杨泉
'yang'rong'guo 杨荣国
'yang'shen 杨慎
'yang'sheng'an 杨升庵
'yang'shi 杨时
'yang'wan'li 杨万里
'yang'wang'sun 杨王孙
'yang'wen'hui 杨文会
'yang'xian'zhen 杨献珍
'yang'xin 养心
'yang'xiong 扬雄
'yang'xiong 杨雄
'yang'zhu 杨朱
'yang'zi 杨子
'yang'zi'ju 阳子居
'yang'zun'yin'bei 阳尊阴卑
'yao'bai'tuo 要摆脱
'yao'ci 爻辞
'yao'ji'heng 姚际恒
'ye'bao 业报
'ye'de'hui 叶德辉
'ye'ma 野马
'ye'qi 夜气
'ye'qing 叶青
'ye'shi 叶适
'ye'shui'xin 叶水心
'ye'xie 叶燮
'ye'zi'qi 叶子奇
'yi'ao'ni'ya 伊奥尼亚
'yi'bai'sha 易白沙
'yi'ben 一本
'yi'ben'wan'shu 一本万殊
'yi'bi'jiu'lu 伊壁鸠鲁
'yi'bi'jiu'lu'pai 伊壁鸠鲁派
'yi'bi'jiu'lu'pian 伊壁鸠鲁篇
'yi'bi'jiu'lu'xue'pai 伊壁鸠鲁学派
'yi'bi'jiu'lu'zhu'yi 伊壁鸠鲁主义
'yi'bing 义兵
'yi'bu'zhi'wei'zong 以不知为宗
'yi'chan'ti 一阐提
'yi'chan'ti'jia 一阐提迦
'yi'chan'yu'shi 以禅喻诗
'yi'ci'shu'yi 以辞抒意
'yi'cun 义存
'yi'da'li'nan'bu 意大利南部
'yi'dan'yong'you 一旦拥有
'yi'dao'zhi'yu 以道制欲
'yi'de'bao'yuan 以德报怨
'yi'de'pei'tian 以德配天
'yi'duo 一多
'yi'duo'xiang'ji 一多相即
'yi'duo'xiang'rong 一多相容
'yi'er'er 一而二
'yi'fa 已发
'yi'fa'wei'jiao 以法为教
'yi'fen'wei'er 一分为二
'yi'fu'se 易服色
'yi'gu 异故
'yi'gu'shen 一故神
'yi'guan 一贯
'yi'hang 一行
'yi'he 医和
'yi'hua 一画
'yi'ji'san 一即三
'yi'ji'yi'qie 一即一切
'yi'jian 意见
'yi'jian'gong'fu 易简工夫
'yi'jian'zhi'yin 以见知隐
'yi'jiang 意匠
'yi'jin'tui'gu 以今推古
'yi'jing 义净
'yi'jing 意境
'yi'jing'zhi'dong 以静制动
'yi'lei'bu'bi 异类不比
'yi'lei'du'lei 以类度类
'yi'lei'qu 以类取
'yi'lei'xing'za 以类行杂
'yi'lei'yu 以类予
'yi'li 义利
'yi'li 义理
'yi'li'sha'ren 以理杀人
'yi'li'shuang'xing 义利双行
'yi'li'wei'shi 以吏为师
'yi'li'zhi'bian 义利之辨
'yi'li'zhi'xing 义理之性
'yi'li'zhi'xue 义理之学
'yi'liang 一两
'yi'ming'ju'shi 以名举实
'yi'nian'fa'dong'ji'shi'xing 一念发动即是行
'yi'nian'san'qian 一念三千
'yi'qi'qu'ye 以其取也
'yi'qi'xiang'yu 以奇相御
'yi'qie'ji'yi 一切即一
'yi'qie'zhi'shi 一切知识
'yi'qing'wei'wen 以情纬文
'yi'qu 一曲
'yi'ren'jian'ji 依人建极
'yi'ren'wei'ben 以仁为本
'yi'rong 义荣
'yi'ru 义辱
'yi'ru'xue'wei'ben 以儒学为本
'yi'shi 意识
'yi'shi'er'yi'fei 一是而一非
'yi'shi'ting'shi 以适听适
'yi'shi'xing'tai 意识形态
'yi'shi'zu'yi'zhi'rong'ru 衣食足以知荣辱
'yi'shu 异熟
'yi'shuo'chu'gu 以说出故
'yi'ta'qi'xing 依他起性
'yi'tai 以太
'yi'tian'he'tian 以天合天
'yi'tong'gong'qu 异同攻取
'yi'wang'zhi'lai 以往知来
'yi'wu'guan'wu 以物观物
'yi'wu'liang'ti 一物两体
'yi'wu'wei'ben 以无为本
'yi'xia'zhi'bian 夷夏之辨
'yi'xiang 意象
'yi'xiao'tui'da 以小推大
'yi'xin'chuan'xin 以心传心
'yi'xin'san'guan 一心三观
'yi'xin'san'zhi 一心三智
'yi'xin'wan'jie 以心挽劫
'yi'xin'ying 易心莹
'yi'xin'yuan'wu 以心原物
'yi'xing'er'qiu'zhi 以行而求知
'yi'xing'qu'xing 以刑去刑
'yi'xing'tong'qing 以性统情
'yi'xing'wu'ming 以形务名
'yi'xing'xie'shen 以形写神
'yi'xing'xie'xing 以形写形
'yi'xuan 义玄
'yi'yan'xiang'fu 意验相符
'yi'yi'guan'zhi 一以贯之
'yi'yi'wei'li 以义为利
'yi'yin'yi'yang'zhi'wei'dao 一阴一阳之谓道
'yi'yu 意欲
'yi'yuan'wei'ben 以元为本
'yi'zai'bi'qian 意在笔前
'yi'ze'yi'zhi 异则异之
'yi'zhen'fa'jie 一真法界
'yi'zhen'jue'dai 一真绝待
'yi'zhen'wei'shi 以真为师
'yi'zhi'bai'lv 一致百虑
'yi'zhi'suo'zai'bian'shi'wu 意之所在便是物
'yi'zhi'wei'li 以知为力
'yi'zhi'xiang'shi 以智相识
'yi'zhong'duo 一中多
'yi'zhong'wan'shi 一种万实
'yi'zhou'er'yi'bu'zhou 一周而一不周
'yi'zi'bu'yi'ta 依自不依他
'yin'bi'xi'ran 引蔽习染
'yin'ge 因革
'yin'gua'zhi'dao 隐栝之道
'yin'guo 因果
'yin'guo'bao'ying 因果报应
'yin'guo'er'zhi 因过而知
'yin'guo'fei'wu 因果非物
'yin'hai'guang 殷海光
'yin'hao 殷浩
'yin'men'liu'yi 因门六义
'yin'ming 因明
'yin'rou'zhi'mei 阴柔之美
'yin'san'xiang 因三相
'yin'shi'shen'xiao 因势慎小
'yin'shi'si'guo 因十四过
'yin'tui 尹焞
'yin'wen 尹文
'yin'wen'zi 尹文子
'yin'wu'er'zhi 因悟而知
'yin'xi'er'zhi 因习而知
'yin'xiu 隐秀
'yin'xun'ge'hua 因循革化
'yin'yang 阴阳
'yin'yang'wu'xing'shuo 阴阳五行说
'yin'yang'xiang'bo 阴阳相薄
'yin'yang'zhi'da'yi 阴阳之大义
'yin'yi'er'zhi 因疑而知
'yin'yuan 因缘
'yin'yun 氤氲
'yin'yun 絪缊
'yin'zhi'yi'jin'xing 因知以进行
'yin'zhi'zhi'shuo 阴骘之说
'ying'chu'bian'hua 赢绌变化
'ying'hua'zhi'dao 应化之道
'ying'jian'bai 盈坚白
'ying'ning 撄宁
'ying'po 营魄
'ying'suo'zhuan'hua 赢缩转化
'ying'tian'di'zhe'wu'fei'wu 盈天地者无非物
'ying'tian'di'zhi'jian'wei'wan'wu 盈天地之间唯万物
'ying'xiong'yu'shi'shi'hu'wei'yin'guo 英雄与时势互为因果
'ying'xu 盈虚
'ying'you'tian'xia 郢有天下
'yong'chang'dong 用常动
'yong'heng'bu'bian 永恒不变
'yong'heng'cun'zai 永恒存在
'yong'heng'zhen'li 永恒真理
'yong'ming'yi'luan'ming 用名以乱名
'yong'ming'yi'luan'shi 用名以乱实
'yong'shi'yi'luan'ming 用实以乱名
'you'dai 有待
'you'dui 有对
'you'dui'zheng'er'hou'neng'jin 有对争而后能进
'you'huo'zhi'ran'zhu 犹火之燃烛
'you'ji 有迹
'you'jiao'wu'lei 有教无类
'you'lou 有漏
'you'ming 又名
'you'ming 有名
'you'qing 有情
'you'qiong 有穷
'you'ruo 有若
'you'sheng'yu'wu 有生于无
'you'tong'yi'er'hou'neng'cheng 有统一而后能成
'you'wai'hong'nei 游外弘内
'you'wei 有为
'you'wei'fa 有为法
'you'wo'zhi'jing 有我之境
'you'wu 有无
'you'wu'hun'yi'zhi'chang 有无混一之常
'you'wu'xiang'sheng 有无相生
'you'wu'you'ze 有物有则
'you'wu'zhi'yu 有物之域
'you'xian'xing 有限性
'you'xiang 有相
'you'xin 游心
'you'yin'er'wu'sheng'yan 有因而无生焉
'you'yu'yi 游于艺
'you'zi 有子
'you'zuo 游酢
'yu'bing'zhu'wei 玉柄麈尾
'yu'fan 虞翻
'yu'guang'yuan 于光远
'yu'ji 于吉
'yu'jia'ju 余家菊
'yu'jing 余靖
'yu'min'tong'le 与民同乐
'yu'qu'yuan 俞曲园
'yu'shi'guo 喻十过
'yu'ti 喻体
'yu'tian'wei'xi 与天为徙
'yu'tian'wei'yi 与天为一
'yu'xi'jiu 宇徙久
'yu'yi 喻依
'yu'ying'shi 余英时
'yu'yu 虞愚
'yu'yue 俞樾
'yu'ze'li 豫则立
'yu'zhou 宇宙
'yu'zhou'bian'shi'wu'xin 宇宙便是吾心
'yu'zhou'guan 宇宙观
'yu'zhou'zhi'zhuan 宇宙之砖
'yuan'can 袁粲
'yuan'cheng'shi'xing 圆成实性
'yuan'dao'li 缘道理
'yuan'du'wei'jing 缘督为经
'yuan'gu'sheng 辕固生
'yuan'ji 圆寂
'yuan'jie 元结
'yuan'jing 元精
'yuan'mei 袁枚
'yuan'qi 元气
'yuan'qi 缘起
'yuan'qi'ben'ti'lun 元气本体论
'yuan'qi'zhi'wai'wu'tai'ji 元气之外无太极
'yuan'qi'zi'dong'lun 元气自动论
'yuan'qi'zi'ran'lun 元气自然论
'yuan'qing'lun 缘情论
'yuan'rong'san'di 圆融三谛
'yuan'sheng 缘生
'yuan'shi'fan'zhong 原始反终
'yuan'shi'tian'zun 元始天尊
'yuan'shi'yao'zhong 原始要终
'yuan'tian'guan 缘天官
'yuan'xiang'li'zhen 元享利贞
'yuan'xie 袁燮
'yuan'xing'guan'nian 原型观念
'yuan'zhao 元照
'yuan'zhi 元知
'yuan'zhi 原质
'yuan'zi'lun'zhe 原子论者
'yue'dan'ping 月旦评
'yue'ding'su'cheng 约定俗成
'yue'gong'yuan'qian 约公元前
'yue'ming'jiao'er'ren'zi'ran 越名教而任自然
'yue'ying'wan'chuan 月映万川
'yun'dai'ying 恽代英
'yun'men'san'ju 云门三句
'yun'wei'shuo 韵味说
'yun'zhi'qi'zhong 允执其中
'zai'li 宰理
'zai'wo 宰我
'zai'yi 灾异
'zai'yu 宰予
'zai'yun'dong'zhong 在运动中
'zan'shi'bian'dong 暂时变动
'zang'chuan'yin'ming 藏传因明
'zang'san'er 臧三耳
'zang'wen'zhong 臧文仲
'zao'bu'wei'rui 凿不围枘
'zao'ming 造命
'zao'qi'xi'la'zhe'xue 早期希腊哲学
'zao'wu'zhe 造物者
'zeng'duo'ren'xing 增多人性
'zeng'guo'fan 曾国藩
'zeng'shen 曾参
'zeng'yi'zhi 增益执
'zeng'zi 曾子
'zhan'gan'quan 湛甘泉
'zhan'he 詹何
'zhan'lue'xue 战略学
'zhan'ran 湛然
'zhan'ruo'shui 湛若水
'zhang'bing'lin 章炳麟
'zhang'bo'duan 张伯端
'zhang'bo'xing 张伯行
'zhang'dai'nian 张岱年
'zhang'dao'ling 张道陵
'zhang'dong'sun 张东荪
'zhang'han 张韩
'zhang'heng 张衡
'zhang'heng'qu 张横渠
'zhang'hua 张华
'zhang'hui'yan 张惠言
'zhang'ji 张讥
'zhang'jiao 张角
'zhang'jiu'cheng 张九成
'zhang'ju'zheng 张居正
'zhang'jun'fang 张君房
'zhang'jun'mai 张君劢
'zhang'ling 张陵
'zhang'lu 张鲁
'zhang'lv'xiang 张履祥
'zhang'nan'xuan 张南轩
'zhang'rong 张融
'zhang'ru'xin 张如心
'zhang'san'feng 张三丰
'zhang'shen'fu 张申府
'zhang'sheng 张盛
'zhang'shi 张栻
'zhang'shi'ying 张世英
'zhang'shi'zhai 章实斋
'zhang'shi'zhao 章士钊
'zhang'song'nian 张崧年
'zhang'tai'yan 章太炎
'zhang'wang'cha'lai 彰往察来
'zhang'xia 张遐
'zhang'xiu 张修
'zhang'xue'cheng 章学诚
'zhang'yang'yuan 张杨园
'zhang'yi 张仪
'zhang'yuan'bian 张元忭
'zhang'zai 张载
'zhang'zhan 张湛
'zhang'zhi'dong 张之洞
'zhang'zhong'jing 张仲景
'zhao'dan'quan'shou 照单全收
'zhao'fu 赵复
'zhao'gui'zhen 赵归真
'zhao'ji'bin 赵纪彬
'zhao'qi 赵歧
'zhao'rui 赵蕤
'zhao'san'mu'si 朝三暮四
'zhe'quan'yu'biao'quan 遮诠与表诠
'zhe'xie'si'xiang 这些思想
'zhe'xue 哲学
'zhe'xue'ji'chu 哲学基础
'zhe'xue'lun'zhan 哲学论战
'zhe'xue'shi 哲学史
'zhe'xue'si'wei 哲学思维
'zhe'xue'ti'xi 哲学体系
'zhe'xue'xue'pai 哲学学派
'zhe'xue'xue'shuo 哲学学说
'zhe'xue'yan'jiu 哲学研究
'zhe'xue'zhi'fu 哲学之父
'zhe'xue'zhui'qiu 哲学追求
'zhe'yi'zhu'yi 这一主义
'zhe'zhong'zhu'yi 折衷主义
'zhen'de'xiu 真德秀
'zhen'di 真谛
'zhen'er'bu'liang 贞而不谅
'zhen'ji 真迹
'zhen'ji 真几
'zhen'ji 真己
'zhen'ke 真可
'zhen'li 真理
'zhen'li'xing 真理性
'zhen'luan 甄鸾
'zhen'qu 真趣
'zhen'ren 真人
'zhen'ru 真如
'zhen'shan'mei 真善美
'zhen'sheng 珍生
'zhen'shi'ben'zhi 真实本质
'zhen'shi'de'cun'zai 真实的存在
'zhen'shi'zhi'shi 真实知识
'zhen'wei'shi'liang 真唯识量
'zhen'xing 真性
'zhen'yi 真一
'zhen'yi'tong'wan'yi 真一统万一
'zhen'yi'zhi'dao 真一之道
'zhen'zai 真宰
'zhen'zheng'de'she'hui'zhu'yi 真正的社会主义
'zhen'zhi 真知
'zheng'de 正德
'zheng'fa'yan'cang 正法眼藏
'zheng'fan 正反
'zheng'fan'he 正反合
'zheng'guan'ying 郑观应
'zheng'hui 证会
'zheng'li'cai'liao 整理材料
'zheng'liang 证量
'zheng'ming 正名
'zheng'ming 正命
'zheng'qi 正奇
'zheng'qi'you'wei 正奇有位
'zheng'qi'yu'bu'zu 争起于不足
'zheng'qiao 郑樵
'zheng'que'ren'shi 正确认识
'zheng'ti'xu'yao 整体需要
'zheng'xian'zhi 郑鲜之
'zheng'xin 郑昕
'zheng'xin 正心
'zheng'xing 郑兴
'zheng'xuan 郑玄
'zheng'yan'ruo'fan 正言若反
'zheng'yi'bu'mou'li 正谊不谋利
'zheng'yin 郑隐
'zheng'zhi 征知
'zheng'zhi'chuan'tong 政治传统
'zheng'zhi'dou'zheng 政治斗争
'zheng'zhi'huo'dong 政治活动
