'a'gui'yang'xue'jiao'nang 阿归养血胶囊
'xiao'er'qi'ying'wan 小儿奇应丸
'xiao'er'qi'zha'kou'fu'ye 小儿芪楂口服液
'xiao'er'qi'zhen'pian 小儿七珍片
'xiao'er'qi'zhen'wan 小儿七珍丸
'xiao'er'qing'du'tang'jiang 小儿清毒糖浆
'xiao'er'qing'fei'ba'wei'wan 小儿清肺八味丸
'xiao'er'qing'fei'hua'tan'ju'jue'pian 小儿清肺化痰咀嚼片
'xiao'er'qing'fei'hua'tan'ke'li 小儿清肺化痰颗粒
'xiao'er'qing'fei'hua'tan'kou'fu'ye 小儿清肺化痰口服液
'xiao'er'qing'fei'hua'tan'pao'teng'pian 小儿清肺化痰泡腾片
'xiao'er'qing'fei'ke'li 小儿清肺颗粒
'xiao'er'qing'fei'san 小儿清肺散
'xiao'er'qing'fei'wan 小儿清肺丸
'xiao'er'qing'fei'zhi'ke'pian 小儿清肺止咳片
'xiao'er'qing'gan'ling'pian 小儿清感灵片
'xiao'er'qing'jie'ke'li 小儿清解颗粒
'xiao'er'qing're'gan'kang'kou'fu'ye 小儿清热感康口服液
'xiao'er'qing're'gan'mao'pian 小儿清热感冒片
'xiao'er'qing're'hua'tan'shuan 小儿清热化痰栓
'xiao'er'qing're'li'fei'kou'fu'ye 小儿清热利肺口服液
'xiao'er'qing're'ling 小儿清热灵
'xiao'er'qing're'ning'ke'li 小儿清热宁颗粒
'xiao'er'qing're'pian 小儿清热片
'xiao'er'qing're'xuan'fei'tie'gao 小儿清热宣肺贴膏
'xiao'er'qing're'zhen'jing'san 小儿清热镇惊散
'xiao'er'qing're'zhi'ke'he'ji 小儿清热止咳合剂
'xiao'er'qing're'zhi'ke'ke'li 小儿清热止咳颗粒
'xiao'er'qing're'zhi'ke'kou'fu'ye 小儿清热止咳口服液
'xiao'er'qing're'zhi'ke'tang'jiang 小儿清热止咳糖浆
'xiao'er'qing're'zhi'ke'wan 小儿清热止咳丸
'xiao'er'qing'yan'ke'li 小儿清咽颗粒
'xiao'er're'ke'kou'fu'ye 小儿热咳口服液
'xiao'er're'ke'qing'jiao'nang 小儿热咳清胶囊
'xiao'er're'su'qing'ke'li 小儿热速清颗粒
'xiao'er're'su'qing'kou'fu'ye 小儿热速清口服液
'xiao'er're'su'qing'tang'jiang 小儿热速清糖浆
'xiao'er'shen'shi'zhi'xie'san 小儿渗湿止泻散
'xiao'er'sheng'xue'tang'jiang 小儿生血糖浆
'xiao'er'shi'kou'san 小儿石蔻散
'xiao'er'shu'biao'wan 小儿疏表丸
'xiao'er'shu'gan'ning'tang'jiang 小儿暑感宁糖浆
'xiao'er'shuang'jie'zhi'xie'ke'li 小儿双解止泻颗粒
'xiao'er'shuang'jin'qing're'kou'fu'ye 小儿双金清热口服液
'xiao'er'shuang'qing'ke'li 小儿双清颗粒
'xiao'er'si'zheng'wan 小儿四症丸
'xiao'er'tai'ji'wan 小儿太极丸
'xiao'er'tong'ding 消尔痛酊
'xiao'er'tu'xie'ning 小儿吐泻宁
'xiao'er'tu'xie'ning'san 小儿吐泻宁散
'xiao'er'tui're'he'ji 小儿退热合剂
'xiao'er'tui're'ke'li 小儿退热颗粒
'xiao'er'tui're'kou'fu'ye 小儿退热口服液
'xiao'er'wei'bao'pian 小儿胃宝片
'xiao'er'wei'bao'wan 小儿胃宝丸
'xiao'er'xi'shi'ju'jue'pian 小儿喜食咀嚼片
'xiao'er'xi'shi'ke'li 小儿喜食颗粒
'xiao'er'xi'shi'pao'teng'pian 小儿喜食泡腾片
'xiao'er'xi'shi'pian 小儿喜食片
'xiao'er'xi'shi'tang'jiang 小儿喜食糖浆
'xiao'er'xiang'ju'wan 小儿香橘丸
'xiao'er'xiao'ji'hua'chong'san 小儿消积化虫散
'xiao'er'xiao'ji'qu'chong'san 小儿消积驱虫散
'xiao'er'xiao'ji'wan 小儿消积丸
'xiao'er'xiao'ji'zhi'ke'ke'li 小儿消积止咳颗粒
'xiao'er'xiao'ji'zhi'ke'kou'fu'ye 小儿消积止咳口服液
'xiao'er'xiao'ke'pian 小儿消咳片
'xiao'er'xiao'shi'jian'wei'wan 小儿消食健胃丸
'xiao'er'xiao'shi'ju'jue'pian 小儿消食咀嚼片
'xiao'er'xiao'shi'kai'wei'ke'li 小儿消食开胃颗粒
'xiao'er'xiao'shi'ke'li 小儿消食颗粒
'xiao'er'xiao'shi'pian 小儿消食片
'xiao'er'xie'li'pian 小儿泻痢片
'xiao'er'xie'su'ting'ke'li 小儿泻速停颗粒
'xiao'er'xie'xie'ting'ke'li 小儿泄泻停颗粒
'xiao'er'xie'zhi'san 小儿泻止散
'xiao'er'xuan'fei'zhi'ke'ke'li 小儿宣肺止咳颗粒
'xiao'er'yan'bian'ke'li 小儿咽扁颗粒
'xiao'er'yan'shi'ke'li 小儿厌食颗粒
'xiao'er'yan'shi'kou'fu'ye 小儿厌食口服液
'xiao'er'ye'ti'ke'li 小儿夜啼颗粒
'xiao'er'yi'ma'ke'li 小儿益麻颗粒
'xiao'er'zeng'shi'ke'li 小儿增食颗粒
'xiao'er'zeng'shi'pian 小儿增食片
'xiao'er'zeng'shi'wan 小儿增食丸
'xiao'er'zhen'bei'san 小儿珍贝散
'xiao'er'zhen'jing'san 小儿镇惊散
'xiao'er'zhen'jing'wan 小儿镇惊丸
'xiao'er'zhen'zhu'zhen'jing'wan 小儿珍珠镇惊丸
'xiao'er'zhi'bao'wan 小儿至宝丸
'xiao'er'zhi'ke'tang'jiang 小儿止咳糖浆
'xiao'er'zhi'li'tang'jiang 小儿智力糖浆
'xiao'er'zhi'sou'jin'dan 小儿止嗽金丹
'xiao'er'zhi'sou'tang'jiang 小儿止嗽糖浆
'xiao'er'zhi'sou'wan 小儿止嗽丸
'xiao'er'zhi'xiao'ling'pian 小儿治哮灵片
'xiao'er'zhi'xie'an'ke'li 小儿止泻安颗粒
'xiao'er'zhi'xie'gao 小儿止泻膏
'xiao'er'zhi'xie'ling'jiao'nang 小儿止泻灵胶囊
'xiao'er'zhi'xie'ling'ke'li 小儿止泻灵颗粒
'xiao'er'zhi'xie'pian 小儿止泻片
'xiao'er'zhi'xie'tie 小儿止泻贴
'xiao'er'zhu'huang'san 小儿珠黄散
'xiao'er'zi'cao'wan 小儿紫草丸
'xiao'feng'san 消疯散
'xiao'feng'zhi'tong'ning 消风止痛宁
'xiao'feng'zhi'tong'ning'jiao'nang 消风止痛宁胶囊
'xiao'feng'zhi'yang'ke'li 消风止痒颗粒
'xiao'he'gao 消核膏
'xiao'he'pian 消核片
'xiao'huo'luo'pian 小活络片
'xiao'huo'luo'wan 小活络丸
'xiao'ji'fei'er'wan 消积肥儿丸
'xiao'ji'hua'chong'jiao'nang 消积化虫胶囊
'xiao'ji'hua'chong'san 消积化虫散
'xiao'ji'hua'chong'tang'jiang 消积化虫糖浆
'xiao'ji'hua'zhi'pian 消积化滞片
'xiao'ji'jian'er'pian 消积健儿片
'xiao'ji'jie'bai'wan 消积洁白丸
'xiao'ji'tong'bian'jiao'nang 消积通便胶囊
'xiao'ji'wan 消积丸
'xiao'jian'zhong'he'ji 小建中合剂
'xiao'jian'zhong'jiao'nang 小建中胶囊
'xiao'jian'zhong'ke'li 小建中颗粒
'xiao'jian'zhong'pian 小建中片
'xiao'jie'an'jiao'nang 消结安胶囊
'xiao'jie'an'kou'fu'ye 消结安口服液
'xiao'jin'jiao'nang 小金胶囊
'xiao'jin'pian 小金片
'xiao'jin'wan 小金丸
'xiao'ke'an'jiao'nang 消渴安胶囊
'xiao'ke'chuan'fen'san'pian 消咳喘分散片
'xiao'ke'chuan'jiao'nang 消咳喘胶囊
'xiao'ke'chuan'ke'li 消咳喘颗粒
'xiao'ke'chuan'pian 消咳喘片
'xiao'ke'chuan'tang'jiang 消咳喘糖浆
'xiao'ke'jiang'tang'jiao'nang 消渴降糖胶囊
'xiao'ke'jiang'tang'pian 消渴降糖片
'xiao'ke'jiao'nang 消咳胶囊
'xiao'ke'kang'ke'li 消渴康颗粒
'xiao'ke'ke'li 消咳颗粒
'xiao'ke'ling'jiao'nang 消渴灵胶囊
'xiao'ke'ling'ke'li 消渴灵颗粒
'xiao'ke'ling'pian 消渴灵片
'xiao'ke'ling'wan 消渴灵丸
'xiao'ke'ning'pian 消咳宁片
'xiao'ke'pian 消咳片
'xiao'ke'ping'chuan'kou'fu'ye 消咳平喘口服液
'xiao'ke'ping'jiao'nang 消渴平胶囊
'xiao'ke'ping'pian 消渴平片
'xiao'ke'qing'ke'li 消渴清颗粒
'xiao'ke'tang'jiang 消咳糖浆
'xiao'ke'tong'mai'kou'fu'ye 消渴通脉口服液
'xiao'ke'wan 消渴丸
'xiao'lin'bai'du'san 消淋败毒散
'xiao'lin'bai'du'wan 消淋败毒丸
'xiao'luo'tong'jiao'nang 消络痛胶囊
'xiao'luo'tong'pian 消络痛片
'xiao'luo'xia'ku'cao'gao 消瘰夏枯草膏
'xiao'meng'jiao'nang 消朦胶囊
'xiao'meng'pian 消朦片
'xiao'meng'yan'gao 消朦眼膏
'xiao'mi'shuan 消糜栓
'xiao'mi'yin'dao'pao'teng'pian 消糜阴道泡腾片
'xiao'pi'he'wei'jiao'nang 消痞和胃胶囊
'xiao'pi'ling'ke'li 消疲灵颗粒
'xiao'qing'long'he'ji 小青龙合剂
'xiao'qing'long'jiao'nang 小青龙胶囊
'xiao'qing'long'ke'li 小青龙颗粒
'xiao'qing'long'kou'fu'ye 小青龙口服液
'xiao'ru'san'jie'jiao'nang 消乳散结胶囊
'xiao'shang'tong'cha'ji 消伤痛搽剂
'xiao'shi'jian'er'ke'li 消食健儿颗粒
'xiao'shi'jian'er'tang'jiang 消食健儿糖浆
'xiao'shi'jian'pi'pian 消食健脾片
'xiao'shi'jian'pi'wan 消食健脾丸
'xiao'shi'jian'wei'pian 消食健胃片
'xiao'shi'jiao'nang 消石胶囊
'xiao'shi'ke'li 消食颗粒
'xiao'shi'li'dan'jiao'nang 消石利胆胶囊
'xiao'shi'li'qi'ke'li 消食理气颗粒
'xiao'shi'pian 消石片
'xiao'shi'shi'wei'jiao'nang 消食十味胶囊
'xiao'shi'shi'wei'wan 消食十味丸
'xiao'shi'shun'qi'pian 消食顺气片
'xiao'shi'tie 消食贴
'xiao'shi'tui're'tang'jiang 消食退热糖浆
'xiao'shi'yang'wei'pian 消食养胃片
'xiao'shuan'chang'rong'jiao'nang 消栓肠溶胶囊
'xiao'shuan'he'ji 消栓合剂
'xiao'shuan'ke'li 消栓颗粒
'xiao'shuan'kou'fu'ye 消栓口服液
'xiao'shuan'tong'ke'li 消栓通颗粒
'xiao'shuan'tong'luo'jiao'nang 消栓通络胶囊
'xiao'shuan'tong'luo'ke'li 消栓通络颗粒
'xiao'shuan'tong'luo'pian 消栓通络片
'xiao'shuan'zai'zao'wan 消栓再造丸
'xiao'tan'ke'pian 消痰咳片
'xiao'tan'yi'kang'tang'jiang 消痰益康糖浆
'xiao'tang'ling'jiao'nang 消糖灵胶囊
'xiao'tang'ling'ke'li 消糖灵颗粒
'xiao'tang'ling'pian 消糖灵片
'xiao'tong'ning'zhu'she'ye 消痛宁注射液
'xiao'tong'tie'gao 消痛贴膏
'xiao'xuan'zhi'yun'pian 消眩止晕片
'xiao'yan'jiao'nang 消炎胶囊
'xiao'yan'jie'du'wan 消炎解毒丸
'xiao'yan'jie'tong'ba'bu'gao 消炎解痛巴布膏
'xiao'yan'li'dan'di'wan 消炎利胆滴丸
'xiao'yan'li'dan'fen'san'pian 消炎利胆分散片
'xiao'yan'li'dan'jiao'nang 消炎利胆胶囊
'xiao'yan'li'dan'ke'li 消炎利胆颗粒
'xiao'yan'li'dan'pian 消炎利胆片
'xiao'yan'li'dan'ruan'jiao'nang 消炎利胆软胶囊
'xiao'yan'ling'jiao'nang 消炎灵胶囊
'xiao'yan'ling'pian 消炎灵片
'xiao'yan'pian 消炎片
'xiao'yan'sheng'ji'gao 消炎生肌膏
'xiao'yan'tui're'he'ji 消炎退热合剂
'xiao'yan'tui're'jiao'nang 消炎退热胶囊
'xiao'yan'tui're'ke'li 消炎退热颗粒
'xiao'yan'xuan'shi'yao'gao 消炎癣湿药膏
'xiao'yan'zhen'tong'gao 消炎镇痛膏
'xiao'yan'zhi'ke'jiao'nang 消炎止咳胶囊
'xiao'yan'zhi'ke'pian 消炎止咳片
'xiao'yan'zhi'li'ling'pian 消炎止痢灵片
'xiao'yan'zhi'tong'gao 消炎止痛膏
'xiao'yao'he'ji 逍遥合剂
'xiao'yao'jiao'nang 逍遥胶囊
'xiao'yao'ke'li 逍遥颗粒
'xiao'yao'pian 逍遥片
'xiao'yao'ruan'jiao'nang 逍遥软胶囊
'xiao'yao'wan 逍遥丸
'xiao'yin'jiao'nang 消银胶囊
'xiao'yin'ke'li 消银颗粒
'xiao'yin'pian 消银片
'xiao'ying'qi'luo'wan 消瘿气瘰丸
'xiao'ying'wu'hai'wan 消瘿五海丸
'xiao'yu'ding'tong'gao 消瘀定痛膏
'xiao'yu'jiang'zhi'jiao'nang 消瘀降脂胶囊
'xiao'yu'kang'jiao'nang 消瘀康胶囊
'xiao'yu'kang'pian 消瘀康片
'xiao'zheng'fu'zheng'kou'fu'ye 消癥扶正口服液
'xiao'zheng'wan 消癥丸
'xiao'zheng'yi'gan'pian 消癥益肝片
'xiao'zhi'ling'pian 消痔灵片
'xiao'zhi'ling'zhu'she'ye 消痔灵注射液
'xiao'zhi'ruan'gao 消痔软膏
'xiao'zhi'shuan 消痔栓
'xiao'zhi'wan 消痔丸
'xiao'zhong'jiu'wei'san 消肿九味散
'xiao'zhong'pian 消肿片
'xiao'zhong'tong'cu'gao 消肿痛醋膏
'xiao'zhong'xiang'jiao'gao 消肿橡胶膏
'xiao'zhong'zhen'tong'gao 消肿镇痛膏
'xiao'zhong'zhi'chuang'jiao'nang 消肿痔疮胶囊
'xiao'zhong'zhi'chuang'pian 消肿痔疮片
'xiao'zhong'zhi'tong'ding 消肿止痛酊
'xiao'zhong'zhi'tong'tie 消肿止痛贴
'xiao'zhong'zhi'yang'cha'ji 消肿止痒搽剂
'xie'bai'tang'jiang 泻白糖浆
'xie'bai'wan 泻白丸
'xie'cao'ti'qu'wu'jiao'nang 缬草提取物胶囊
'xie'ding'jiao'nang 泻定胶囊
'xie'du'san 泻毒散
'xie'fei'ding'chuan'pian 泻肺定喘片
'xie'gan'an'shen'jiao'nang 泻肝安神胶囊
'xie'gan'an'shen'wan 泻肝安神丸
'xie'huang'fu'ning'ruan'gao 蟹黄肤宁软膏
'xie'huo'jie'du'pian 泻火解毒片
'xie'li'bao'tong'wan 泻痢保童丸
'xie'li'gu'chang'pian 泻痢固肠片
'xie'li'gu'chang'wan 泻痢固肠丸
'xie'li'ning'pian 泻痢宁片
'xie'li'xiao'jiao'nang 泻痢消胶囊
'xie'li'xiao'pian 泻痢消片
'xie'li'xiao'wan 泻痢消丸
'xie'qing'wan 泻青丸
'xie're'he'ji 泻热合剂
'xie'ri'ga'si'wei'tang'jiao'nang 协日嘎四味汤胶囊
'xie'ri'ga'si'wei'tang'san 协日嘎四味汤散
'xie'sai'tong'di'wan 血塞通滴丸
'xie'sai'tong'fen'san'pian 血塞通分散片
'xie'sai'tong'jiao'nang 血塞通胶囊
'xie'sai'tong'ju'jue'pian 血塞通咀嚼片
'xie'sai'tong'ke'li 血塞通颗粒
'xie'sai'tong'pao'teng'pian 血塞通泡腾片
'xie'sai'tong'pian 血塞通片
'xie'sai'tong'ruan'jiao'nang 血塞通软胶囊
'xie'sai'tong'zhu'she'ye 血塞通注射液
'xie'ting'feng'jiao'nang 泻停封胶囊
'xie'ting'jiao'nang 泻停胶囊
'xin'an'jiao'nang 心安胶囊
'xin'an'kou'fu'ye 心安口服液
'xin'an'ning'jiao'nang 心安宁胶囊
'xin'an'ning'pian 心安宁片
'xin'an'ruan'jiao'nang 心安软胶囊
'xin'bao'wan 心宝丸
'xin'bi'tao'xian'pian 新碧桃仙片
'xin'da'kang'di'wan 心达康滴丸
'xin'da'kang'fen'san'pian 心达康分散片
'xin'da'kang'jiao'nang 心达康胶囊
'xin'da'kang'ju'jue'pian 心达康咀嚼片
'xin'da'kang'pian 心达康片
'xin'da'kang'ruan'jiao'nang 心达康软胶囊
'xin'fang'bi'yan'jiao'nang 辛芳鼻炎胶囊
'xin'fu'fang'da'qing'ye'pian 新复方大青叶片
'xin'fu'fang'lu'hui'jiao'nang 新复方芦荟胶囊
'xin'fu'kang'jiao'nang 心复康胶囊
'xin'fu'man'ling'ruan'gao 新肤螨灵软膏
'xin'gan'bao'jiao'nang 心肝宝胶囊
'xin'huang'pian 新癀片
'xin'ji'kang'ke'li 心肌康颗粒
'xin'ji'tai'jiao'nang 心肌泰胶囊
'xin'jian'wei'pian 新健胃片
'xin'ke'ning'jiao'nang 心可宁胶囊
'xin'ke'shu'jiao'nang 心可舒胶囊
'xin'ke'shu'ju'jue'pian 心可舒咀嚼片
'xin'ke'shu'ke'li 心可舒颗粒
'xin'ke'shu'pian 心可舒片
'xin'ke'shu'wan 心可舒丸
'xin'le'kang'pian 新乐康片
'xin'li'kang'jiao'nang 欣力康胶囊
'xin'li'kang'ke'li 欣力康颗粒
'xin'li'wan 心力丸
'xin'li'zheng'gu'pen'wu'ji 新力正骨喷雾剂
'xin'ling'wan 心灵丸
'xin'lv'ning'pian 心律宁片
'xin'mai'an'pian 心脉安片
'xin'mai'long'zhu'she'ye 心脉隆注射液
'xin'mai'tong'jiao'nang 心脉通胶囊
'xin'mai'tong'pian 心脉通片
'xin'nao'jian'jiao'nang 心脑健胶囊
'xin'nao'jian'pian 心脑健片
'xin'nao'jing'pian 心脑静片
'xin'nao'kang'jiao'nang 心脑康胶囊
'xin'nao'kang'pian 心脑康片
'xin'nao'lian'tong'jiao'nang 心脑联通胶囊
'xin'nao'ning'jiao'nang 心脑宁胶囊
'xin'nao'qing'ruan'jiao'nang 心脑清软胶囊
'xin'nao'shu'ke'li 心脑舒颗粒
'xin'nao'shu'kou'fu'ye 心脑舒口服液
'xin'nao'shu'tong'jiao'nang 心脑舒通胶囊
'xin'nao'shu'tong'pian 心脑舒通片
'xin'nao'tong'kou'fu'ye 心脑通口服液
'xin'nao'xin'jiao'nang 心脑欣胶囊
'xin'nao'xin'pian 心脑欣片
'xin'nao'xin'wan 心脑欣丸
'xin'ning'jiao'nang 心宁胶囊
'xin'ning'pian 心宁片
'xin'pi'bu'yi'ke'li 心脾补益颗粒
'xin'qin'jiao'nang 辛芩胶囊
'xin'qin'ke'li 辛芩颗粒
'xin'qin'pian 辛芩片
'xin'qing'ning'jiao'nang 新清宁胶囊
'xin'qing'ning'pian 新清宁片
'xin'rong'jiao'nang 心荣胶囊
'xin'rong'ke'li 心荣颗粒
'xin'rong'kou'fu'ye 心荣口服液
'xin'rong'pian 心荣片
'xin'shen'an'jiao'nang 心神安胶囊
'xin'shen'ning'jiao'nang 心神宁胶囊
'xin'shen'ning'pian 心神宁片
'xin'sheng'hua'ke'li 新生化颗粒
'xin'sheng'hua'pian 新生化片
'xin'shu'bao'jiao'nang 心舒宝胶囊
'xin'shu'bao'pian 心舒宝片
'xin'shu'jiao'nang 心舒胶囊
'xin'shu'le'pian 心舒乐片
'xin'shu'ning'jiao'nang 心舒宁胶囊
'xin'shu'ning'pian 心舒宁片
'xin'shu'wan 心舒丸
'xin'su'ning'jiao'nang 心速宁胶囊
'xin'tong'kang'jiao'nang 心痛康胶囊
'xin'tong'kang'pian 心痛康片
'xin'tong'ke'li 心通颗粒
'xin'tong'kou'fu'ye 心通口服液
'xin'tong'ning'di'wan 心痛宁滴丸
'xin'tong'ning'pen'wu'ji 心痛宁喷雾剂
'xin'tong'shu'pen'wu'ji 心痛舒喷雾剂
'xin'wei'zhi'tong'jiao'nang 心胃止痛胶囊
'xin'wu'you'pian 心无忧片
'xin'xiang'zhi'tong'xi'ru'ji 辛香止痛吸入剂
'xin'xin'shu'jiao'nang 心欣舒胶囊
'xin'xing'gou'pi'gao 新型狗皮膏
'xin'xue'bao'jiao'nang 新血宝胶囊
'xin'xue'jiao'nang 新雪胶囊
'xin'xue'ke'li 新雪颗粒
'xin'xue'ning'jiao'nang 心血宁胶囊
'xin'xue'ning'pian 心血宁片
'xin'xue'pian 新雪片
'xin'xue'wan 新雪丸
'xin'yi'bi'yan'wan 辛夷鼻炎丸
'xin'yi'hao'jiao'nang 心益好胶囊
'xin'yi'hao'pian 心益好片
'xin'yuan'jiao'nang 心元胶囊
'xin'yue'jiao'nang 心悦胶囊
'xing'bei'zhi'ke'ke'li 杏贝止咳颗粒
'xing'he'zhi'ke'tang'jiang 杏荷止咳糖浆
'xing'jun'san 行军散
'xing'ling'di'wan 杏灵滴丸
'xing'ling'fen'san'pian 杏灵分散片
'xing'nao'an'shen'jiao'nang 醒脑安神胶囊
'xing'nao'an'shen'pian 醒脑安神片
'xing'nao'jiang'ya'wan 醒脑降压丸
'xing'nao'jing'zhu'she'ye 醒脑静注射液
'xing'nao'ku'ke'ya'pian 醒脑库克亚片
'xing'nao'ling'pian 星瑙灵片
'xing'nao'niu'huang'qing'xin'pian 醒脑牛黄清心片
'xing'nao'zai'zao'jiao'nang 醒脑再造胶囊
'xing'nao'zai'zao'wan 醒脑再造丸
'xing'pi'jiao'nang 醒脾胶囊
'xing'pi'kai'wei'ke'li 醒脾开胃颗粒
'xing'pi'yang'er'ke'li 醒脾养儿颗粒
'xing'qi'huo'xue'ke'li 行气活血颗粒
'xing'ren'zhi'ke'he'ji 杏仁止咳合剂
'xing'ren'zhi'ke'ke'li 杏仁止咳颗粒
'xing'ren'zhi'ke'kou'fu'ye 杏仁止咳口服液
'xing'ren'zhi'ke'tang'jiang 杏仁止咳糖浆
'xing'su'gan'mao'ke'li 杏苏感冒颗粒
'xing'su'he'ji 杏苏合剂
'xing'su'zhi'ke'ke'li 杏苏止咳颗粒
'xing'su'zhi'ke'kou'fu'ye 杏苏止咳口服液
'xing'su'zhi'ke'ruan'jiao'nang 杏苏止咳软胶囊
'xing'su'zhi'ke'tang'jiang 杏苏止咳糖浆
'xing'wan'zhi'ke'ke'li 杏菀止咳颗粒
'xing'xiang'tu'er'feng'jiao'nang 杏香兔耳风胶囊
'xing'xiang'tu'er'feng'ke'li 杏香兔耳风颗粒
'xing'xiang'tu'er'feng'pian 杏香兔耳风片
'xing'xiang'tu'er'feng'ruan'jiao'nang 杏香兔耳风软胶囊
'xing'xiao'wan 醒消丸
'xiong'dan'chuan'bei'kou'fu'ye 熊胆川贝口服液
'xiong'dan'di'wan 熊胆滴丸
'xiong'dan'die'da'gao 熊胆跌打膏
'xiong'dan'fen'di'yan'ye 熊胆粉滴眼液
'xiong'dan'han'pian 熊胆含片
'xiong'dan'huang'qin'di'yan'ye 熊胆黄芩滴眼液
'xiong'dan'jiang're'pian 熊胆降热片
'xiong'dan'jiao'nang 熊胆胶囊
'xiong'dan'jiu 熊胆酒
'xiong'dan'jiu'xin'dan 熊胆救心丹
'xiong'dan'jiu'xin'wan 熊胆救心丸
'xiong'dan'ju'jue'pian 熊胆咀嚼片
'xiong'dan'kai'ming'pian 熊胆开明片
'xiong'dan'pai'shi'pian 熊胆排石片
'xiong'dan'shu'gan'li'dan'jiao'nang 熊胆舒肝利胆胶囊
'xiong'dan'shuan 熊胆栓
'xiong'dan'wan 熊胆丸
'xiong'dan'yan'yao'shui 熊胆眼药水
'xiong'dan'yin'chen'kou'fu'ye 熊胆茵陈口服液
'xiong'dan'zhi'chuang'gao 熊胆痔疮膏
'xiong'dan'zhi'ling'gao 熊胆痔灵膏
'xiong'dan'zhi'ling'shuan 熊胆痔灵栓
'xiong'e'shen'rong'he'ji 雄蛾参茸合剂
'xiong'ju'shang'qing'ke'li 芎菊上清颗粒
'xiong'ju'shang'qing'pian 芎菊上清片
'xiong'ju'shang'qing'wan 芎菊上清丸
'xiong'xiang'tong'mai'di'wan 芎香通脉滴丸
'xiong'zhi'tong'yu'san 芎芷痛瘀散
'xiong'zhi'zhi'tong'ke'li 芎芷止痛颗粒
'xu'can'jiu 续参酒
'xu'duan'zhuang'gu'jiao'nang 续断壮骨胶囊
'xu'han'ting'jiao'nang 虚汗停胶囊
'xu'han'ting'ke'li 虚汗停颗粒
'xu'han'ting'tang'jiang 虚汗停糖浆
'xu'han'wei'tong'jiao'nang 虚寒胃痛胶囊
'xu'han'wei'tong'ke'li 虚寒胃痛颗粒
'xuan'fei'zhi'sou'he'ji 宣肺止嗽合剂
'xuan'gui'di'wan 玄归滴丸
'xuan'ju'jiao'nang 玄驹胶囊
'xuan'ju'pian 玄驹片
'xuan'ling'yao'shui 癣灵药水
'xuan'mai'gan'ju'han'pian 玄麦甘桔含片
'xuan'mai'gan'ju'jiao'nang 玄麦甘桔胶囊
'xuan'mai'gan'ju'ke'li 玄麦甘桔颗粒
'xuan'qi'kou'fu'ye 玄芪口服液
'xuan'qi'tong'bi'jiao'nang 玄七通痹胶囊
'xuan'shi'yao'shui 癣湿药水
'xuan'xia'qu'du'jiao'nang 玄夏祛毒胶囊
'xuan'yao'gao 癣药膏
'xuan'yao'yu'hong'gao 癣药玉红膏
'xuan'yun'ning'ke'li 眩晕宁颗粒
'xuan'yun'ning'pian 眩晕宁片
'xue'an'jiao'nang 血安胶囊
'xue'bao'jiao'nang 血宝胶囊
'xue'bao'pian 血宝片
'xue'bi'jing'zhu'she'ye 血必净注射液
'xue'dan'jie'du'wan 雪胆解毒丸
'xue'dan'su'jiao'nang 雪胆素胶囊
'xue'dan'su'pian 雪胆素片
'xue'dan'wei'chang'wan 雪胆胃肠丸
'xue'fu'sheng'jiao'nang 血复生胶囊
'xue'fu'sheng'pian 血复生片
'xue'fu'zhu'yu'jiao'nang 血府逐瘀胶囊
'xue'fu'zhu'yu'ke'li 血府逐瘀颗粒
'xue'fu'zhu'yu'kou'fu'ye 血府逐瘀口服液
'xue'fu'zhu'yu'pao'teng'pian 血府逐瘀泡腾片
'xue'fu'zhu'yu'pian 血府逐瘀片
'xue'fu'zhu'yu'ruan'jiao'nang 血府逐瘀软胶囊
'xue'fu'zhu'yu'wan 血府逐瘀丸
'xue'ha'chong'cao'ruan'jiao'nang 雪哈虫草软胶囊
'xue'ha'da'bu'su'pian 雪哈大补素片
'xue'ha'ling'zhi'jiu 雪哈灵芝酒
'xue'jie'shang'yu'san 血竭伤愈散
'xue'kang'jiao'nang 血康胶囊
'xue'kang'ke'li 血康颗粒
'xue'kang'kou'fu'ye 血康口服液
'xue'li'gao 雪梨膏
'xue'li'zhi'ke'tang'jiang 雪梨止咳糖浆
'xue'lian'chong'cao'he'ji 雪莲虫草合剂
'xue'lian'gui'qi'kou'fu'ye 雪莲归芪口服液
'xue'lian'kou'fu'ye 雪莲口服液
'xue'lian'yao'jiu 雪莲药酒
'xue'lian'zhu'she'ye 雪莲注射液
'xue'luo'tong'jiao'nang 血络通胶囊
'xue'mai'qing'pian 血脉清片
'xue'mai'tong'jiao'nang 血脉通胶囊
'xue'mei'an'jiao'nang 血美安胶囊
'xue'mei'an'pian 血美安片
'xue'niao'an'jiao'nang 血尿安胶囊
'xue'niao'an'pian 血尿安片
'xue'niao'jiao'nang 血尿胶囊
'xue'niao'pian 血尿片
'xue'ning'an'ji'pa'er'tang'jiang 血宁安吉杷尔糖浆
'xue'ning'jiao'nang 血宁胶囊
'xue'ning'ke'li 血宁颗粒
'xue'ning'pian 血宁片
'xue'ning'tang'jiang 血宁糖浆
'xue'ping'jiao'nang 血平胶囊
'xue'ping'pian 血平片
'xue'qi'yao'jiu 雪奇药酒
'xue'sao'pu'qing'san 血骚普清散
'xue'shan'jin'luo'han'zhi'tong'tu'mo'ji 雪山金罗汉止痛涂膜剂
'xue'shan'wei'bao'jiao'nang 雪山胃宝胶囊
