'an'ding'qing'jing 安定清静
'pai'bian'de'yi'chang 排便的异常
'pai'niao'de'yi'chang 排尿的异常
'pai'niao'zhang'ai 排尿障碍
'pai'xie'zhang'ai 排泄障碍
'pan'zhuo'fen'yan 潘灼焚焰
'pan'zhuo'gan'jing 蟠灼肝经
'pang'guang'bu'li'wei'gu 膀胱不利为雇
'pang'guang'de'gong'neng'shi'tiao 膀胱的功能失调
'pang'guang'shi'yue 膀胱失约
'pei'tai'fa'yu 胚胎发育
'pei'tu'sheng'jin'fa 培土生金法
'pei'tu'zhi'shui'fa 培土制水法
'pei'yi'liu'fu 配以六腑
'pei'zhu'fang 配主方
'pi'ban 癖斑
'pi'bing'chang'jian'zheng'zhuang 脾病常见症状
'pi'bu'jian'yun 脾不健运
'pi'bu'sheng'qing 脾不升清
'pi'bu'sheng'qing'ze'yun'hua'wu'quan 脾不升清则运化无权
'pi'bu'tong'xue 脾不统血
'pi'bu'tong'xue'er'shi'xue 脾不统血而失血
'pi'de'qi'yin'liang'xu 脾的气阴两虚
'pi'de'sheng'qing 脾的升清
'pi'de'yang'qi'bu'zu 脾的阳气不足
'pi'de'yang'qi'gu'she'zuo'yong'de 脾的阳气固摄作用的
'pi'de'yang'qi'shi'tiao 脾的阳气失调
'pi'de'yang'qi'xu'sun 脾的阳气虚损
'pi'de'yin'xue'bu'zu 脾的阴血不足
'pi'de'yin'yang'qi'xue'shi'tiao 脾的阴阳气血失调
'pi'de'yin'yang'qi'xue'shi'tiao'pi 脾的阴阳气血失调脾
'pi'de'yun'hua'he'san'jing 脾的运化和散精
'pi'de'yun'hua'wu'li 脾的运化无力
'pi'dian 癖点
'pi'fa'wu'li 疲乏无力
'pi'fu'cang'bai 皮肤苍白
'pi'fu'de'ru'yang'zuo'yong'jian'ruo 皮肤的濡养作用减弱
'pi'fu'fa'ban 皮肤发斑
'pi'fu'gan'zao 皮肤干燥
'pi'fu'huang'ran 皮肤黄染
'pi'fu'ji'rou'hen'xue'zhong'tong 皮肤肌肉痕血肿痛
'pi'fu'jian'er'mao'fa'chang 皮肤坚而毛发长
'pi'fu'jing'yang 皮肤痉痒
'pi'fu'se'hei 皮肤色黑
'pi'fu'song'chi 皮肤松驰
'pi'fu'tan'yang'huo'luo'xie 皮肤痰痒或落屑
'pi'fu'zhi'mi 皮肤致密
'pi'gan'fei'shen 脾肝肺肾
'pi'guo'xue 脾裹血
'pi'he'wei'chang'de'yun'hua'sheng'jiang 脾和胃肠的运化升降
'pi'kai'qiao'yu'kou 脾开窍于口
'pi'lao'guo'du 疲劳过度
'pi'qi'bu'ru 脾气不濡
'pi'qi'bu'zu 脾气不足
'pi'qi'jian'yun 脾气健运
'pi'qi'jian'yun'shi'zhi 脾气健运失职
'pi'qi'nai'jue 脾气乃绝
'pi'qi'xu 脾气虚
'pi'qi'xu'bu'neng'tong'xue 脾气虚不能统血
'pi'qi'xu'sun 脾气虚损
'pi'qi'zhu'sheng 脾气主升
'pi'shen'yang'xu 脾肾阳虚
'pi'shen'yang'xu'bu'zu 脾肾阳虚不足
'pi'sheng'wei'jiang 脾升胃降
'pi'shi'jian'yun 脾失健运
'pi'shi'jian'yun'bu'neng'wei'wei'xing'qi'jin'ye 脾失健运不能为胃行其津液
'pi'shi'jian'yun'fu'zhang 脾失健运腹胀
'pi'shi'jian'yun'zhe 脾失健运者
'pi'shi'wen'xu 脾失温煦
'pi'shu'tu 脾属土
'pi'tong'xue 脾统血
'pi'tu'xu 脾土虚
'pi'wei'de'bing'bian 脾胃的病变
'pi'wei'de'yun'hua'gong'neng'shi'tiao 脾胃的运化功能失调
'pi'wei'de'yun'hua'shui'ye 脾胃的运化水液
'pi'wei'gong'neng'jian'ruo 脾胃功能减弱
'pi'wei'hou'tian'zhi'ben 脾为后天之本
'pi'wei'qi'xue'sheng'hua'zhi'yuan 脾胃气血生化之源
'pi'wei'qi'zhi 脾胃气滞
'pi'wei'sheng'jiang'gong'neng 脾胃升降功能
'pi'wei'sheng'jiang'shi'chang 脾胃升降失常
'pi'wei'shi'kun 脾为湿困
'pi'wei'sun'shang 脾胃损伤
'pi'wei'xian 脾为涎
'pi'wei'xu'ruo 脾胃虚弱
'pi'xu 脾虚
'pi'xu'bing'ren 脾虚病人
'pi'xu'qi'ruo 脾虚气弱
'pi'xu'qi'ruo'er'bu'tong'xue 脾虚气弱而不统血
'pi'xu'sheng'shi 脾虚生湿
'pi'xu'shi'ju'sheng'tan 脾虚湿聚生痰
'pi'xu'shi'kun 脾虚湿困
'pi'xu'shi'zhi 脾虚湿滞
'pi'xu'yun'hua'wu'li 脾虚运化无力
'pi'xu'ze'yun'hua'shi'tiao 脾虚则运化失调
'pi'xue'suo'zhi'de 癖血所致的
'pi'yang'neng'da'yu'ji'rou'si'zhi 脾阳能达于肌肉四肢
'pi'yang'xu 脾阳虚
'pi'yang'xu'jin'ye'bu'hua 脾阳虚津液不化
'pi'yang'xu'shuai 脾阳虚衰
'pi'yang'xu'shuai'ji'shui'shi'zhong'zu 脾阳虚衰及水湿中阻
'pi'yin'bu'zu 脾阴不足
'pi'yin'de'shi'tiao 脾阴的失调
'pi'yin'shi'tiao 脾阴失调
'pi'yong 疲痈
'pi'you'ke'er'chuan'jing 譬犹渴而穿井
'pi'yu'shen 脾与肾
'pi'yu'wei 脾与胃
'pi'yun'bu'jian 脾运不健
'pi'zai'zhi'wei'si 脾在志为思
'pi'zang'bing'bian 脾脏病变
'pi'zhi'bu'chang 疲滞不畅
'pi'zhi'da'luo 脾之大络
'pi'zhi'sheng'qing 脾之升清
'pi'zhi'sheng'qing'zuo'yong'jian'ruo 脾之升清作用减弱
'pi'zhu'dong'hua'shui'ye 脾主动化水液
'pi'zhu'shen'zhi'ji'rou 脾主身之肌肉
'pi'zhu'sheng 脾主升
'pi'zhu'wei'wei'xing'qi'jin'ye 脾主为胃行其津液
'pi'zhu'yun'hua 脾主运化
'pi'zu 疲阻
'pian'sheng'pian'shuai 偏盛偏衰
'pian'sheng'zhi'ji 偏盛至极
'pian'shi'xin'wen'zao're 偏食辛温燥热
'pin'fan'er'da'liang'de 频繁而大量的
'pin'pin'fan'e 频频泛恶
'ping'dan'ren'qi'sheng 平旦人气生
'ping'gan'qian'yang'deng'fang'fa'jin'xing'zhi'liao 平肝潜阳等方法进行治疗
'ping'heng'shi'xiang'dui'de 平衡是相对的
'ping're'bing'lun 评热病论
'ping'ren'jue'gu 平人绝谷
'ping'yuan'zhao'ze'jiao'duo 平原沼泽较多
'po'han'wai'xie 迫汗外泄
'po'huai'yin'yang'de'xiang'dui'ping'heng 破坏阴阳的相对平衡
'po'jin'wai'xie 迫津外泄
'po'xue 破血
'po'xue'wang'xing 迫血妄行
'pu'bian'xing 普遍性
'qi'bi 气闭
'qi'bing'duo'wei'nei'shang 其病多为内伤
'qi'bing'luan'bi 其病挛痹
'qi'bo'dui'yue 岐伯对曰
'qi'bu'gui'yuan'er'fu'yu'shang 气不归元而浮于上
'qi'bu'nei'shou'er'wai'tuo 气不内守而外脱
'qi'bu'she'xue 气不摄血
'qi'bu'zu 气不足
'qi'chang'sui'xue'tuo 气常随血脱
'qi'chong'men 七冲门
'qi'chuan 气喘
'qi'chuan'ji'han 气喘及汗
'qi'ci'zhi'ji'fu 其次治肌肤
'qi'ci'zhi'jin'mai 其次治筋脉
'qi'ci'zhi'liu'fu 其次治六腑
'qi'ci'zhi'wu'zang 其次治五脏
'qi'da'wu'wai 其大无外
'qi'de'bu'zu 气的不足
'qi'de'liu'tong'zhang'ai 气的流通障碍
'qi'de'shang'sheng'li'liang'bu'zu 气的上升力量不足
'qi'de'shang'sheng'yun'dong'guo'qiang 气的上升运动过强
'qi'de'sheng'hua'bu'zu 气的生化不足
'qi'de'sheng'jiang'chu'ru 气的升降出入
'qi'de'sheng'jiang'chu'ru'yi'chang 气的升降出入异常
'qi'de'sheng'jiang'chu'ru'yun'dong 气的升降出入运动
'qi'de'shi'chang 气的失常
'qi'de'wai'chu'shou'zu 气的外出受阻
'qi'de'wai'chu'yi'wei'suo'zu 气的外出亦为所阻
'qi'de'wen'xu'tui'dong'he'xue'de'ru'yang 气的温煦推动和血的濡养
'qi'de'wu'li'sheng'ju 气的无力升举
'qi'de'zheng'chang'sheng'jiang'chu'ru'yun'dong 气的正常升降出入运动
'qi'di'xia 其地下
'qi'duan 气短
'qi'fu'yu'shang 气浮于上
'qi'gao'zhe 其高者
'qi'gong 气功
'qi'guan 器官
'qi'hai 气海
'qi'hao'mao'er'fa'tian'li 起毫毛而发腆理
'qi'he'jin'ye'de'sheng'jiang'chu'ru'zhi'dao 气和津液的升降出入之道
'qi'he'jin'ye'de'tong'dao 气和津液的通道
'qi'he'xue'de'bu'zu 气和血的不足
'qi'he'xue'de'guan'xi 气和血的关系
'qi'he'yang 气和阳
'qi'heng'zhi'fu 奇恒之府
'qi'heng'zhi'fu 奇恒之腑
'qi'heng'zhi'fu'de'gong'neng'shi'tiao 奇恒之腑的功能失调
'qi'hou 气候
'qi'hou'bian'hua'de'feng'yu'hui'ming 气候变化的风雨晦明
'qi'hou'de'han'nuan 气候的寒暖
'qi'hou'gan'zao'ji'jie 气候干燥季节
'qi'hou'han'leng 气候寒冷
'qi'hou'ju'bian 气候剧变
'qi'hou'qing'lang'he'yin'yu 气候晴朗和阴雨
'qi'hou'tiao'jian 气候条件
'qi'hou'you'liang'bian'han 气候由凉变寒
'qi'hou'you'wen'jian're 气候由温渐热
'qi'hua 气化
'qi'hua'bu'li 气化不利
'qi'hua'gong'neng 气化功能
'qi'hua'gong'neng'jian'tui'huo'shi'si 气化功能减退或失司
'qi'hua'huo'dong'de'chang'suo 气化活动的场所
'qi'hua'shi 气化失
'qi'hua'shi'chang'suo'zhi 气化失常所致
'qi'hua'shi'si 气化失司
'qi'hua'wu'quan 气化无权
'qi'hua'yun'dong 气化运动
'qi'hua'zai'fa 其华在发
'qi'hua'zai'mian 其华在面
'qi'hua'zuo'yong 气化作用
'qi'huo'shang'ni 气火上逆
'qi'huo'shang'ni'dao'zhi'yang'kang 气火上逆导致阳亢
'qi'huo'shang'ni'fan'fei 气火上逆犯肺
'qi'huo'shang'ni'suo'zhi 气火上逆所致
'qi'huo'shang'ni'suo'zhi'de'ke'xue 气火上逆所致的咳血
'qi'huo'shang'ni'zhi'ji 气火上逆之极
'qi'ji 气机
'qi'ji'bu'chang 气机不畅
'qi'ji'bu'li'er'qi'zhi 气机不利而气滞
'qi'ji'de'sheng'jiang 气机的升降
'qi'ji'ni'luan 气机逆乱
'qi'ji'ni'luan'zhi'ji 气机逆乱至极
'qi'ji'sheng'jiang'chu'na'shi'chang 气机升降出纳失常
'qi'ji'sheng'jiang'de'shu'niu 气机升降的枢纽
'qi'ji'sheng'jiang'shi'si 气机升降失司
'qi'ji'shi'tiao 气机失调
'qi'ji'tiao'chang 气机调畅
'qi'ji'wen'luan 气机紊乱
'qi'ji'yu'jie 气机郁结
'qi'ji'yu'jie'zu'zhi 气机郁结阻滞
'qi'ji'yu'zhi 气机郁滞
'qi'ji'yu'zhi'bu'chang 气机郁滞不畅
'qi'ji'zu'se 气机阻塞
'qi'ji'zu'zhi 气机阻滞
'qi'ji'zu'zhi'bu'tong 气机阻滞不通
'qi'jing 奇经
'qi'jing'ba'mai 奇经八脉
'qi'ju'wu'jie 起居无节
'qi'ju'you'chang 起居有常
'qi'jue 气厥
'qi'liu'er'bu'xing'zhe 气留而不行者
'qi'men 气门
'qi'men'nai'bi 气门乃闭
'qi'min'shi'suan'er'shi'zhou 其民嗜酸而食肘
'qi'min'shi'yu'er'shi'xian 其民食鱼而嗜咸
'qi'min'yi'shan'ling'er'ju 其民依山陵而居
'qi'neng'hua'jin 气能化津
'qi'neng'she'jin 气能摄津
'qi'neng'she'xue 气能摄血
'qi'neng'sheng'jin 气能生津
'qi'neng'sheng'xue 气能生血
'qi'neng'xing'jin 气能行津
'qi'neng'xing'xue 气能行血
'qi'ni 气逆
'qi'ni'yu'shang 气逆于上
'qi'pi'tuo'xie 起皮脱屑
'qi'piao'han'zhe 其漂悍者
'qi'qi'bi'xu 其气必虚
'qi'qi'bo'ran 其气勃然
'qi'qi'han 其气寒
'qi'qi're 其气热
'qi'qi'shang'ni 其气上逆
'qi'qi'shi 其气湿
'qi'qi'wai'fa 其气外发
'qi'qi'wen 其气温
'qi'qi'zao 其气燥
'qi'qing 七情
'qi'qing'nei'shang 七情内伤
'qi'qing'zhi'bing 七情致病
'qi'qu'ze'yang'shuai 气去则阳衰
'qi'ren'mian'se'chi 其人面色赤
'qi'ren'shen 其人深
'qi'rong'mao'ye 其荣毛也
'qi'se'bai 其色白
'qi'shang'xia'jing'sheng 其上下经盛
'qi'sheng'hua'yu'pi 气生化于脾
'qi'sheng'yu'yang'zhe 其生于阳者
'qi'sheng'yu'yin'zhe 其生于阴者
'qi'sheng'ze'shen'yi'qian'jie're 气盛则身以前皆热
'qi'shi'bu'xing 气湿不行
'qi'shi'gu'she 气失固摄
'qi'shi'qi'nan 七十七难
'qi'shi'qi'yi'fu 气失其依附
'qi'shi'qu'yi'fu 气失去依附
'qi'shi'zhe 其实者
'qi'shu'yu'yang 气属于阳
'qi'shui'pao 起水泡
'qi'si'ye'se'xian'qing'bai 其死也色先青白
'qi'sui'jin'tuo 气随津脱
'qi'sui'xue'hao 气随血耗
'qi'sui'xue'tuo 气随血脱
'qi'sui'ye'tuo 气随液脱
'qi'sui'zhi'san'tuo'er'wang'shi 气随之散脱而亡失
'qi'tuo 气脱
'qi'tuo'qi'bi 气脱气闭
'qi'wang'lai'xing 气往来行
'qi'wang'ze'xue'sheng 气旺则血生
'qi'wei'xue'shuai 气为血帅
'qi'wei'xue'zhi'shuai 气为血之帅
'qi'wu'suo'yi 气无所依
'qi'xi'wu'nei 其细无内
'qi'xi'zhi'shi 栖息之室
'qi'xia'zhe 其下者
'qi'xian 气陷
'qi'xie'yi'xia 气泄以下
'qi'xing'ru'zhong 其形如肿
'qi'xing'yan'shang 其性炎上
'qi'xu 气虚
'qi'xu'bu'neng'she'xue 气虚不能摄血
'qi'xu'er'wu'li'tui'dong 气虚而无力推动
'qi'xu'er'xue'yun'chi'huan 气虚而血运迟缓
'qi'xu'huo'qi'zhi 气虚或气滞
'qi'xu'sheng'xue'bu'zu 气虚生血不足
'qi'xu'shi'she 气虚失摄
'qi'xu'tong'xue'wu'quan 气虚统血无权
'qi'xu'xia'xian 气虚下陷
'qi'xu'xue'pi 气虚血疲
'qi'xue 气血
'qi'xue'bing'tuo 气血并脱
'qi'xue'bu'rong'jing'mai 气血不荣经脉
'qi'xue'bu'zu'ze'zheng'qi'xu'ruo 气血不足则正气虚弱
'qi'xue'bu'zu'zhi'zheng 气血不足之症
'qi'xue'chong'ying 气血充盈
'qi'xue'de'shang'ni'huo'xian'xia 气血的上逆或陷下
'qi'xue'de'sheng'shuai 气血的盛衰
'qi'xue'de'yu'zhi 气血的郁滞
'qi'xue'fang'mian 气血方面
'qi'xue'he'diao 气血和调
'qi'xue'he'ping 气血和平
'qi'xue'hu'jie 气血互结
'qi'xue'hu'jie'yu'gan'zhi'jing'luo 气血互结于肝之经络
'qi'xue'jin'ye 气血津液
'qi'xue'jin'ye'he'shui'gu'jing'wei'de'chong'yang 气血津液和水谷精微的充养
'qi'xue'jin'ye'li'lun 气血津液理论
'qi'xue'kui'xu 气血亏虚
'qi'xue'liang'shang 气血两伤
'qi'xue'liang'xu 气血两虚
'qi'xue'liu'tong 气血流通
'qi'xue'ning'zhi'bu'chang 气血凝滞不畅
'qi'xue'rong'yi'qu'xiang'yu'li 气血容易趋向于里
'qi'xue'rong'yi'qu'xiang'yu'ti'biao 气血容易趋向于体表
'qi'xue'sheng'hua'wu'quan 气血生化无权
'qi'xue'sheng'hua'wu'yuan 气血生化无源
'qi'xue'sheng'hua'zhi'yuan 气血生化之源
'qi'xue'sheng'hua'zhi'yuan'que'fa 气血生化之源缺乏
'qi'xue'shi'chang 气血失常
'qi'xue'shi'he 气血失和
'qi'xue'shi'tiao'bing'zheng 气血失调病证
'qi'xue'shi'tiao'de'bing'ji 气血失调的病机
'qi'xue'shuai'shao'er'wei'bing 气血衰少而为病
'qi'xue'wei'chong 气血未充
'qi'xue'xiang'hu'wei'yong 气血相互为用
'qi'xue'xu'shuai 气血虚衰
'qi'xue'xun'jing'shang'yong 气血循经上涌
'qi'xue'ye'sui'zhi'shuai'jie'er'chu'xian'de 气血也随之衰竭而出现的
'qi'xue'yin'yang'shi'tiao'er'fa'bing 气血阴阳失调而发病
'qi'xue'yun'xing'bu'chang 气血运行不畅
'qi'xue'yun'xing'bu'li 气血运行不利
'qi'xue'yun'xing'de'tong'dao 气血运行的通道
'qi'ye 气也
'qi'yi'sui'zhi'er'shuai'shao 气亦随之而衰少
'qi'yi'sui'zhi'er'yu'zhi 气亦随之而郁滞
'qi'yi'xing 气易行
'qi'you'wen'liang 气有温凉
'qi'you'xie'zhe 其有邪者
'qi'you'yu'bian'shi'huo 气有余便是火
'qi'you'yu'bian'shi'huo'yang'qi'kang'sheng 气有余便是火阳气亢盛
'qi'you'yu'yu'wei 其有余于胃
'qi'yu'hua'huo 气郁化火
'qi'yu'jiu'ze'cong'yang'er'hua're 气郁久则从阳而化热
'qi'yu'mu'nei'pi 起于目内毗
'qi'yu'ze'sheng're'hua'huo 气郁则生热化火
'qi'yu'zhi'ji 气郁之极
'qi'zai'pi'zhe 其在皮者
'qi'zhi 气滞
'qi'zhi'dao'zhe 其知道者
'qi'zhi'dao'zhi'xue'yu 气滞导致血瘀
'qi'zhi'er'zhi'jin'ye'ting'liu 气滞而致津液停留
'qi'zhi'er'zhi'xue'hang'shou'zu 气滞而致血行受阻
'qi'zhi'huo'xue'yu 气滞或血瘀
'qi'zhi'huo'yu'xue 气滞或瘀血
'qi'zhi'xue'hen 气滞血痕
'qi'zhi'xue'pi 气滞血疲
'qi'zhi'xue'tan 气滞血痰
'qi'zhi'xue'yu 气滞血瘀
'qi'zhi'xun'xing'yi'yi'jin'ye'wei'zai'ti 气之循行亦以津液为载体
'qi'zhi'yu'gan 气滞于肝
'qi'zhong'ye'dai'yan'fan'zhe'huan'ju 其终也戴眼反折痪疽
'qian'ban'chen'nan 千般疢难
'qian'ban'ye'wei'yin'zhong'zhi'yin 前半夜为阴中之阴
'qian'ban'ye'yu'hou'ban'ye'xiang'dui'er'yan 前半夜与后半夜相对而言
'qian'fu'qi 潜伏期
'qian'wen 欠温
'qian'yi 钱乙
'qian'yin'cui'wan'zhui'zhang 牵引翠丸坠胀
'qiang'dan 枪弹
'qiang'dan'shang 枪弹伤
'qiang'lie'chuan'ran'xing'de'bing'xie 强烈传染性的病邪
'qiang'ruo'yu'han're'zhi'pian 强弱与寒热之偏
'qin'fan 侵犯
'qin'fan'nei'zang 侵犯内脏
'qin'he'xing 亲和性
'qin'ru'hou'ji'bei'zheng'qi'ji'shi'xiao'chu 侵入后即被正气及时消除
'qin'shou'yu'chong'jin'ji'bing'zhi'di'er'shi'si 禽兽鱼虫禁忌并治第二十四
'qing'li'bang'long'shi're 清利膀胧湿热
'qing'nian 青年
'qing'qi 清气
'qing'qi'bu'sheng 清气不升
'qing'qi'shang'sheng 清气上升
'qing're'xie'xia 清热泻下
'qing'xi'de'cheng'wei'yin 清稀的称为饮
'qing'xie'qi'yang're 清泻其阳热
'qing'xin'xie'xiao'chang'huo 清心泻小肠火
'qing'xu'yi'yu'ji'dong 情绪易于激动
'qing'yang'shi'si'zhi 清阳实四肢
'qing'yang'wei'tian 清阳为天
'qing'ze'ji'yi'li'jian'tui 轻则记忆力减退
'qing'zhe'sun'shang'ji'fu 轻者损伤肌肤
'qing'zhi'bo'dong 情志波动
'qing'zhi'ci'ji'chang 情志刺激常
'qing'zhi'ci'ji'ke'zhi'zheng'qi'nei'xu 情志刺激可致正气内虚
'qing'zhi'guo'yu'xing'fen'nan'yi'yi'zhi 情志过于兴奋难以抑制
'qing'zhi'nei'shang 情志内伤
'qing'zhi'nei'yu 情志内郁
'qing'zhi'shi'chang 情志失常
'qing'zhi'suo'shang 情志所伤
'qing'zhi'yi'chang'bo'dong 情志异常波动
'qing'zhi'yi'yu'bu'chang 情志抑郁不畅
'qing'zhi'yin'su 情志因素
'qing'zhi'yu'jie 情志郁结
'qing'zhong'huan'ji 轻重缓急
'qing'zhuang'nian 青壮年
'qing'zhuo'hun'xiao 清浊混淆
'qing'zi'zhong'zhang 青紫肿胀
'qiu'dong'ji'jie 秋冬季节
'qiu'dong'mai'duo'chen'xiao 秋冬脉多沉小
'qiu'dong'yang'qi'shou'cang 秋冬阳气收藏
'qiu'dong'yin'qi'shang'sheng 秋冬阴气上升
'qiu'ri'xia'fu 秋日下肤
'qiu'shan'bing'feng'nue 秋善病风疟
'qiu'shou 秋收
'qiu'shu'jin 秋属金
'qiu'tian'qi'hou'gan'zao 秋天气候干燥
'qiu'zao 秋燥
'qu'chong'xiao'ji 驱虫消积
'qu'de'tong'yi'de'jie'guo 取得统一的结果
'qu'shen'bu'li 屈伸不利
'qu'xie 祛邪
'qu'xie'bu'shang'zheng 祛邪不伤正
'qu'xie'neng'gou'pai'chu'bing'xie'de'qin'hai'he'gan'rao 祛邪能够排除病邪的侵害和干扰
'qu'xue 蛆血
'qu'ze'xu 去则虚
'quan'hong 颧红
'quan'hong'sheng'huo 颧红升火
'quan'lai'yu'shen'he'pang'guang'de'qi'hua 全赖于肾和膀胱的气化
'quan'lai'yu'yang'qi'de'sheng'teng 全赖于阳气的升腾
'quan'shen'huo'ju'bu'de'shi'rong'shi'yang 全身或局部的失荣失养
'quan'shen'ji'neng'yan'zhong'shuai'jie 全身机能严重衰竭
'quan'shen'shui'ye'dai'xie'zhang'ai 全身水液代谢障碍
'quan'shen'xing'de'qi'xue'bu'zu 全身性的气血不足
'quan'shen'xing'dong'shang 全身性冻伤
'quan'shen'yin'yang'zhi'gen'ben 全身阴阳之根本
'quan'shen'zhong'du'zheng'zhuang 全身中毒症状
'que'ding'xiang'ying'de'zhi'liao'fang'fa 确定相应的治疗方法
'ran'qi'yao'yi'ye 然其要一也
'rao'dong'xin'shen 扰动心神
're'bing'hou'qi 热病后期
're'bing'ji'jian're'xiang 热病即见热象
're'ji'sheng'feng 热极生风
're'ji'sheng'han 热极生寒
're'jie'pang'liu 热结旁流
're'jue'zheng 热厥证
're'lun 热论
're'qi'zai'zhong 热气在中
're'ru'ying'xue 热入营血
're'shen'dong'feng 热甚动风
're'sheng'bi'jue 热盛闭厥
're'sheng'dong'feng 热盛动风
're'sheng'huo'chi 热盛火炽
're'sheng'ze'rou'fu 热胜则肉腐
're'wei'huo'zhi'jian 热为火之渐
're'wei'yang 热为阳
're'xiang 热象
're'xie'chi'sheng 热邪炽盛
're'xie'shang'yin 热邪伤阴
're'xie'yu'chang'zhong'zao'po'hu'jie 热邪与肠中糟粕互结
're'xing'bing 热性病
're'xing'bing'de'ji'qi 热性病的极期
're'yin're'yong 热因热用
're'zhe'han'zhi 热者寒之
're'zhuo'jin'kui'dao'zhi'xue'xue'yu 热灼津亏导致血血瘀
'ren'bing'tian'di'zhi'qi'er'sheng 人禀天地之气而生
'ren'cha'tian'di'zhi'qi'sheng 人察天地之气生
'ren'de'jing'shen'yi'shi'he'si'wei'huo'dong 人的精神意识和思维活动
'ren'dou'jie'zhong'fa'yu'fang'tian'hua 人痘接种法预防天花
'ren'gan'guai'geng'zhi'qi'er'sheng'bing 人感乖庚之气而生病
'ren'gong'mian'yi 人工免疫
'ren'gong'mian'yi'fa 人工免疫法
'ren'mai 任脉
'ren'mai'zhi'bie'luo 任脉之别络
'ren'shen'qi 妊娠期
'ren'sheng'you'xing 人生有形
'ren'sheng'yu'di 人生于地
'ren'shi'ji'bing'he'jie'jue'ji'bing'de'guo'cheng 认识疾病和解决疾病的过程
'ren'shi'sheng 人始生
'ren'shou'qi'yu'gu 人受气于谷
'ren'ti'cou'li'zhi'mi 人体腠理致密
'ren'ti'de'ji'neng'huo'dong 人体的机能活动
'ren'ti'ge'zu'zhi'qi'guan'he'kong'qiao 人体各组织器官和孔窍
'ren'ti'gou'tong'biao'li'shang'xia 人体沟通表里上下
'ren'ti'gu'ge 人体骨骼
'ren'ti'qi'ji'wen'luan 人体气机紊乱
'ren'ti'qi'xue'bu'chang 人体气血不畅
'ren'ti'qi'xue'de'yun'xing 人体气血的运行
'ren'ti'sheng'li 人体生理
'ren'ti'shi'you'ji'de'zheng'ti 人体是有机的整体
'ren'ti'tian'li'duo'shu'song 人体腆理多疏松
'ren'ti'xi'li'duo'zhi'mi 人体膝理多致密
'ren'ti'xi'li'shu'song'kai'xie 人体膝理疏松开泄
'ren'ti'xiao'hua'xi'tong 人体消化系统
'ren'ti'yin'yang'zhi'qi'bu'xiang'shun'jie 人体阴阳之气不相顺接
'ren'ti'zang'fu'yu'ti'biao'ji'fu 人体脏腑与体表肌肤
'ren'ti'zheng'qi'xiang'dui'xu'ruo 人体正气相对虚弱
'ren'wu 任物
'ren'yi'tian'di'zhi'qi'sheng 人以天地之气生
'ren'you'wu'zang'hua'wu'qi 人有五脏化五气
'ren'yu'tian'di'xiang'can'yu 人与天地相参与
'ren'yu'tian'di'xiang'ying 人与天地相应
'ren'yu'tian'di'xiang'ying'ye 人与天地相应也
'ren'yu'zi'ran'jie'de'tong'yi'xing 人与自然界的统一性
'ren'zhi'chang'xing 人之常性
'ren'zhi'shen 人之神
'ren'zhu'bao'tai 任主胞胎
'ri'guang'de'xiang'bei 日光的向背
'ri'jian'shuai'shao 日渐衰少
'ri'jiu'bi'hao'shen'yin 日久必耗肾阴
'ri'jiu'bu'fu 日久不复
'ri'ren'wei'qiu 日人为秋
'ri'xi'er'yang'qi'yi'xu 日西而阳气已虚
'ri'yi'kui'hao 日益亏耗
'ri'yi'xiao'shou 日益消瘦
'ri'zhong'er'yang'qi'long 日中而阳气隆
'ri'zhong'ren'qi'chang 日中人气长
'ri'zhong'wei'xia 日中为夏
'ri'zhong'yang'qi'long 日中阳气隆
'ri'zhong'zhi'huang'hun 日中至黄昏
'rou'fu'ze'wei'nong 肉腐则为脓
'rou'wei'qiang 肉为墙
'ru'ci'xun'huan 如此循环
'ru'fang 乳房
'ru'fang'jie'kuai 乳房结块
'ru'fang'tong 乳房痛
'ru'he'chu 入和出
'ru'shui'hou'meng'huan'fen'yun 入睡后梦幻纷纭
'ru'yang'he'ning'jing'zang'fu'zu'zhi'ji'jing'shen'qing'zhi 濡养和宁静脏腑组织及精神情志
'ru'yang'zang'fu 濡养脏腑
'ru'yu'zhi'you'zai'bo 如鱼之游在波
'run'ze'zang'fu 润泽脏腑
'ruo'guan'men'bu'gu 若关门不固
'ruo'zhong'fa'han'zhe 若重发汗者
'sa'zhe'dong'xing 洒浙动形
'sai'yin'sai'yong 塞因塞用
'san'bu'jiu'hou'lun 三部九候论
'san'da'shu'ji 散大数疾
'san'er'han'zhi 散而寒之
'san'er'xie'zhi 散而泻之
'san'jiao 三焦
'san'jiao'de'shui'dao'tong'li 三焦的水道通利
'san'jiao'de'tong'tiao 三焦的通调
'san'jiao'qi'hua 三焦气化
'san'jiao'qi'hua'shi'si 三焦气化失司
'san'jiao'wei'liu'fu'zhi'yi 三焦为六腑之一
'san'jiao'wei'shui'ye'tong'tiao'zhi'dao'lu 三焦为水液通调之道路
'san'jing'gong'neng'jian'tui 散精功能减退
'san'qi'wai'han 散其外寒
'san'yin'ji'yi'bing'zheng'fang'lun 三因极一病证方论
'san'yin'xue'shuo 三因学说
'san'zai'fa'sheng 散在发生
'se'hei 色黑
'se'huang 色黄
'se'mai 色脉
'shan'bu'yin'zhe'bi'yu'yang'zhong'qiu'yin 善补阴者必于阳中求阴
'shan'cuo'wai'shang 闪挫外伤
