'an'cha'xiao 暗插销
'ping'jun'mei'hu'jian'zhu'mian'ji 平均每户建筑面积
'ping'jun'mei'ren'ju'zhu'mian'ji 平均每人居住面积
'ping'jun'shu 平均数
'ping'mian 平面
'ping'mian'bu'zhi 平面布置
'ping'mian'she'ji 平面设计
'ping'mian'tu 平面图
'ping'pang'shi 乒乓室
'ping'pou'mian 平剖面
'ping'tai 平台
'ping'tai'mao'ding 平台铆钉
'ping'tai'wu'ding 平台屋顶
'ping'tou'luo'shuan 平头螺栓
'ping'tou'luo'si 平头螺丝
'ping'wu'ding 平屋顶
'ping'wu'ding'jian'zhu 平屋顶建筑
'ping'xing'guan'xian 平行管线
'ping'xing'xian 平行线
'ping'zheng'chang'di 平整场地
'po'dao 坡道
'po'huai'shi'yan 破坏试验
'po'wu'ding 坡屋顶
'pou'mian 剖面
'pou'mian'tu 剖面图
'pou'mian'xian 剖面线
'pou'shi'tu 剖视图
'pu'di'ban 铺地板
'pu'di'zhuan 铺地砖
'pu'she'guan'dao 铺设管道
'pu'tong'huo'zai'yin'huan 普通火灾隐患
'pu'tong'jian'zhu 普通建筑
'qi'bao'xian 漆包线
'qi'cai 器材
'qi'che 汽车
'qi'che'fu'wu'zhan 汽车服务站
'qi'che'ku 汽车库
'qi'che'lv'guan 汽车旅馆
'qi'che'qi'pei'chang 汽车汽配厂
'qi'che'zhi'zao'chang 汽车制造厂
'qi'chuang 气窗
'qi'diao 起吊
'qi'dong'bian'ya'qi 起动变压器
'qi'dong'shu'song'guan 气动输送管
'qi'gan 旗杆
'qi'han 气焊
'qi'hou 气候
'qi'hou'tiao'jian 气候条件
'qi'ju 器具
'qi'ju'shi 起居室
'qi'ju'shi'can'shi'chu'fang 起居室餐室厨房
'qi'ju'shi'jian'can'shi 起居室兼餐室
'qi'kan'mu'lu'shi 期刊目录室
'qi'kan'yue'lan'shi 期刊阅览室
'qi'kou 企口
'qi'kou'ban 企口板
'qi'kou'di'ban 企口地板
'qi'kuai 砌块
'qi'liu'zu'zhi 气流组织
'qi'mi'shi 气密室
'qi'mi'shi'yan 气密试验
'qi'ti'fen'li'qi 气体分离器
'qi'ti'ran'liao 气体燃料
'qi'wen 气温
'qi'xian 期限
'qi'xiang 气象
'qi'xiang'ju 气象局
'qi'xiang'tai 气象台
'qi'xiang'tu 气象图
'qi'xiang'zhan 气象站
'qi'xie 器械
'qi'xie'shi 器械室
'qi'ya 气压
'qi'ya'fa 气压阀
'qi'ya'gei'shui'xi'tong 气压给水系统
'qi'ya'ji'shui 气压给水
'qi'you 汽油
'qi'you'fa'dian'ji 汽油发电机
'qi'you'ku 汽油库
'qi'zhong'ji 起重机
'qi'zhong'ji'qi'diao'ban'jing 起重机起吊半径
'qi'zhong'ji'xing'che'da'liang 起重机行车大梁
'qi'zhong'neng'li 起重能力
'qi'zhong'zhuang'zhi 起重装置
'qi'zhuan 砌砖
'qia'zi 卡子
'qian'an 千安
'qian'fa 千乏
'qian'fa'shi 千乏时
'qian'fu 千伏
'qian'fu'an 千伏安
'qian'he 千赫
'qian'hui'se 浅灰色
'qian'ka 千卡
'qian'lan'se 浅蓝色
'qian'lou'ti 前楼梯
'qian'men 前门
'qian'men'lang 前门廊
'qian'ru'shi'zhao'ming 嵌入式照明
'qian'se 浅色
'qian'shi 前室
'qian'shui'beng 潜水泵
'qian'ting 前厅
'qian'wa 千瓦
'qian'wa'shi 千瓦时
'qiang'ban 墙板
'qiang'cheng'zhong'jie'gou 墙承重结构
'qiang'dong 墙洞
'qiang'dong'kou 墙洞口
'qiang'duo 墙垛
'qiang'gao 墙高
'qiang'mian 墙面
'qiang'shi'pei'dian'pan 墙式配电盘
'qiang'zhi'song'feng 强制送风
'qiao'liang 桥梁
'qiao'shi'qi'zhong'ji 桥式起重机
'qie'ting'qi 窃听器
'qie'xiao'hou'du 切削厚度
'qin'shi 寝室
'qing'bao'zi'liao 情报资料
'qing'bian'ji'xie 轻便机械
'qing'bian'mie'huo'qi 轻便灭火器
'qing'gang'jie'gou 轻钢结构
'qing'gang'long'gu 轻钢龙骨
'qing'ge'qiang 轻隔墙
'qing'jie'ji 清洁剂
'qing'jie'jian 清洁间
'qing'jie'zou'lang 清洁走廊
'qing'jin'shu 轻金属
'qing'shui'chi 清水池
'qing'shui'qiang 清水墙
'qing'shui'zhuan'qiang 清水砖墙
'qing'tong 青铜
'qing'tong'ban 青铜板
'qing'xi 清洗
'qing'xi'du 清晰度
'qing'xi'zhuang'zhi 清洗装置
'qing'xie'du 倾斜度
'qing'xing'jie'gou 轻型结构
'qing'xing'wu'jia 轻型屋架
'qiu'xing'tian'xian 球形天线
'qu'xian 曲线
'quan'bo'zheng'liu'qi 全波整流器
'quan'bu'mian'ji 全部面积
'quan'fu'he 全负荷
'quan'shui 泉水
'que'dian 缺点
'que'kou 缺口
'que'xian 缺陷
'qun'fang 裙房
'qun'kong 群控
'ran'dian 燃点
'ran'shao'shi 燃烧室
're'beng 热泵
're'chu'li 热处理
're'chu'li'che'jian 热处理车间
're'chuan'dao 热传导
're'dao'lv 热导率
're'dao'ti 热导体
're'dao'xi'shu 热导系数
're'dian'chang 热电厂
're'dian'gong'nuan 热电供暖
're'dian'zhan 热电站
're'dian'zhi'leng 热电制冷
're'feng'gong'nuan 热风供暖
're'feng'gong'nuan'xi'tong 热风供暖系统
're'feng'gong'nuan'zhuang'zhi 热风供暖装置
're'feng'guan 热风管
're'feng'guan'dao 热风管道
're'feng'xi'tong 热风系统
're'jiao'huan 热交换
're'jiao'huan'qi 热交换器
're'kong'kai'guan 热控开关
're'li'wang 热力网
're'li'xun'huan 热力循环
're'min'chuan'gan'qi 热敏传感器
're'min'dian'zu 热敏电阻
're'qi'dong'deng 热启动灯
're'rong 热熔
're'rong'zhan'jie'ji 热熔粘接剂
're'shui'gan'guan 热水干管
're'shui'gong'nuan 热水供暖
're'shui'gong'nuan'she'bei 热水供暖设备
're'shui'gong'nuan'she'ji 热水供暖设计
're'shui'gong'nuan'xi'tong 热水供暖系统
're'shui'gong'ying'shi 热水供应室
're'shui'guan 热水灌
're'shui'guan 热水管
're'shui'guo'lu 热水锅炉
're'shui'hui'shui'guan 热水回水管
're'shui'qi 热水器
're'shui'yu'shi 热水浴室
're'shui'zhuang'zhi 热水装置
're'su'su'liao 热塑塑料
're'su'xing 热塑性
're'su'xing'shu'zhi 热塑性树脂
're'xian'dian'hua 热线电话
're'xian'quan 热线圈
're'xiao'lv 热效率
're'xiao'ying 热效应
're'yang'hu 热养护
'ren'fang 人防
'ren'fang'ban'gong'shi 人防办公室
'ren'fang'di'xia'shi 人防地下室
'ren'gong'cao'pi 人工草皮
'ren'gong'cao'zuo 人工操作
'ren'gong'kong'zhi 人工控制
'ren'gong'zhao'ming 人工照明
'ren'hang'di'dao 人行地道
'ren'hang'tian'qiao 人行天桥
'ren'kong 人孔
'ren'kong'fu'shi'feng'gai 人孔复式封盖
'ren'kong'gai 人孔盖
'ren'min'fang'kong 人民防空
'ren'xing'dao 人行道
'ren'xing'heng'dao 人行横道
'ren'zao'da'li'shi 人造大理石
'ren'zao'ge 人造革
'ren'zao'guang'yuan 人造光源
'ren'zi'ti 人字梯
'ren'zi'wu'ding 人字屋顶
'ren'zi'xing'wu'jia 人字型屋架
'ri'fu'he 日负荷
'ri'guang'deng 日光灯
'ri'guang'shi 日光室
'ri'guang'yu'shi 日光浴室
'ri'guang'zhao'ming 日光照明
'ri'guang'zhi'liao'shi 日光治疗室
'ri'zhao'biao'zhun 日照标准
'ri'zhao'shi'jian 日照时间
'ri'zhao'xiao'shi 日照小时
'rong'duan 熔断
'rong'duan'qi 熔断器
'rong'han 熔焊
'rong'ji'lv 容积率
'rong'liang 容量
'rong'si 熔丝
'rong'si'guan 熔丝管
'rong'xu'dian'liu 容许电流
'rong'xu'dian'ya 容许电压
'rong'xu'fu'he 容许负荷
'rong'xu'gao'du 容许高度
'rong'xu'gong'zuo'neng'li 容许工作能力
'rong'xu'gong'zuo'ya'li 容许工作压力
'rong'xu'he'zai 容许荷载
'rong'xu'pian'cha 容许偏差
'rong'xu'shi'yong'fu'he 容许使用负荷
'rong'xu'wen'du 容许温度
'rong'xu'ya'li 容许压力
'rou'shi'jia'gong'chang 肉食加工厂
'ru'bai'bo'li 乳白玻璃
'ru'bai'deng'pao 乳白灯泡
'ru'bai'se 乳白色
'ru'jiao'nian'he'ji 乳胶粘合剂
'ru'jiao'qi 乳胶漆
'ru'kou 入口
'ru'kou'da'ting 入口大厅
'ru'kou'men 入口门
'ru'kou'po'dao 入口坡道
'ru'kou'tai'jie 入口台阶
'ru'kou'tong'dao 入口通道
'ru'ye 乳液
'ruan'guan 软管
'ruan'guan'jie'tou 软管接头
'ruan'guan'lian'jie 软管连接
'ruan'hua'shui 软化水
'ruan'jian'gong'cheng 软件工程
'run'hua'ji 润滑剂
'ruo'dian'liu 弱电流
'sai'che'chang 赛车场
'sai'che'pao'dao 赛车跑道
'sai'ma'chang 赛马场
'san'guang'zhao'ming 散光照明
'san'he'ban 三合板
'san'ji'kai'guan 三极开关
'san'jia'ban 三夹板
'san'jiao'cha'tou 三脚插头
'san'jiao'gang 三角钢
'san'lou'lou'ting 三楼楼厅
'san'lu'kai'guan 三路开关
'san'pao'lou'ti 三跑楼梯
'san'qi'hui'tu'hang'shi 三七灰土夯实
'san're'qi 散热器
'san'she'deng 散射灯
'san'shui 散水
'san'xian'zhi 三线制
'san'xiang'bian'ya'qi 三相变压器
'san'xiang'dian'dong'ji 三相电动机
'san'xiang'kai'guan 三相开关
'san'xiang'si'xian'zhi 三相四线制
'san'xiang'zhi 三相制
'san'xin'dian'lan 三芯电缆
'sha'chuang 纱窗
'sha'jiang'biao'hao 砂浆标号
'sha'men 纱门
'shai'lan'tu 晒蓝图
'shai'tu 晒图
'shai'tu'ji 晒图机
'shai'tu'shi 晒图室
'shai'tu'zhi 晒图纸
'shan'dian 闪电
'shan'qiang 山墙
'shan'qiang'bai'ye'chuang 山墙百叶窗
'shang'biao 商标
'shang'chang 商场
'shang'dian 商店
'shang'dian'chu'chuang 商店橱窗
'shang'pin 商品
'shang'pin'chen'lie'jia 商品陈列架
'shang'shui'dao 上水道
'shang'shui'guan 上水管
'shang'ye'jian'zhu 商业建筑
'shang'ye'jie 商业街
'shang'ye'lv'guan 商业旅馆
'shang'ye'qu 商业区
'she'bei'an'zhuang 设备安装
'she'bei'ceng 设备层
'she'bei'gong'cheng'shi 设备工程师
'she'bei'jian 设备间
'she'bei'zhuan'ye 设备专业
'she'ding'qiang 射钉枪
'she'ji 设计
'she'ji'bian'geng 设计变更
'she'ji'biao'gao 设计标高
'she'ji'biao'zhun 设计标准
'she'ji'bu'men 设计部门
'she'ji'can'shu 设计参数
'she'ji'cheng'xu 设计程序
'she'ji'chi'cun 设计尺寸
'she'ji'fang'an 设计方案
'she'ji'fu'he 设计负荷
'she'ji'gai'yao 设计概要
'she'ji'gong'cheng'shi 设计工程师
'she'ji'gui'fan 设计规范
'she'ji'he'zai 设计荷载
'she'ji'ji'suan 设计计算
'she'ji'jie'duan 设计阶段
'she'ji'neng'li 设计能力
'she'ji'ren 设计人
'she'ji'ren'wu'shu 设计任务书
'she'ji'shi 设计室
'she'ji'shi'wu'suo 设计事务所
'she'ji'shu'ju 设计数据
'she'ji'shuo'ming 设计说明
'she'ji'shuo'ming'shu 设计说明书
'she'ji'tu 设计图
'she'ji'wei'tuo 设计委托
'she'ji'wen'du 设计温度
'she'ji'wen'jian 设计文件
'she'ji'xiang'tu 设计详图
'she'ji'yao'qiu 设计要求
'she'ji'yi'ju 设计依据
'she'ji'yu'suan 设计预算
'she'ji'yuan 设计院
'she'ji'zi'liao 设计资料
'she'ji'zong'fu'ze'ren 设计总负责人
'she'shi'wen'du 摄氏温度
'she'xiang'ji 摄像机
'she'ying'ji 摄影机
'she'ying'shi 摄影室
'she'zong 设总
'shen'bao 申报
'shen'bao'biao 申报表
'shen'di'pin 甚低频
'shen'gao'pin 甚高频
'shen'jing'beng 深井泵
'shen'pi 审批
'shen'qing 申请
'shen'qing'shu 申请书
'shen'suo'feng 伸缩缝
'shen'suo'feng'gai'ban 伸缩缝盖板
'shen'tu 审图
'sheng'gan'rao 声干扰
'sheng'gong'lv 声功率
'sheng'jiang'ji 升降机
'sheng'jiang'wu'tai 升降舞台
'sheng'kong 声控
'sheng'liang 声量
'sheng'wen 升温
'sheng'wu'shi'yan'shi 生物试验室
'sheng'xue'chu'li 声学处理
'sheng'ya 升压
'sheng'ya 声压
'sheng'yuan 生源
'sheng'zhu 声柱
'shi'ce'zhi 实测值
'shi'dian'bi 试电笔
'shi'ding 饰钉
'shi'gao'ban 石膏板
'shi'gao'ban'ge'duan 石膏板隔断
'shi'gao'ban'mu'long'gu'ge'duan 石膏板木龙骨隔断
'shi'gong 施工
'shi'gong'bu'zhi'tu 施工布置图
'shi'gong'cheng'xu 施工程序
'shi'gong'dan'wei 施工单位
'shi'gong'fang'fa 施工方法
'shi'gong'fang'shi 施工方式
'shi'gong'feng 施工缝
'shi'gong'gong'cheng'shi 施工工程师
'shi'gong'gong'si 施工公司
'shi'gong'gong'zhong 施工工种
'shi'gong'ji'shu 施工技术
'shi'gong'jian'cha 施工检查
'shi'gong'jie'duan 施工阶段
'shi'gong'jin'du 施工进度
'shi'gong're'dian 施工热点
'shi'gong'shuo'ming'shu 施工说明书
'shi'gong'tu 施工图
'shi'gong'tu'she'ji 施工图设计
'shi'gong'tu'she'ji'jie'duan 施工图设计阶段
'shi'gong'tu'yu'suan 施工图预算
'shi'gong'wen'jian 施工文件
'shi'gong'xian'chang 施工现场
'shi'gong'xiang'mu 施工项目
'shi'gong'xiang'mu'bian'hao 施工项目编号
'shi'gong'xiang'tu 施工详图
'shi'gong'yan'shou'ji'shu'gui'fan 施工验收技术规范
'shi'gong'yu'suan 施工预算
'shi'gu'bei'yong'xian'lu 事故备用线路
'shi'gu'dian'yuan 事故电源
'shi'gu'zhao'ming 事故照明
'shi'gu'zhao'ming'pei'dian'xiang 事故照明配电箱
'shi'ji'biao'gao 实际标高
'shi'jian'ji'dian'qi 时间继电器
'shi'jian'kong'zhi 时间控制
'shi'mian'guan 石棉管
'shi'mian'hun'ning'tu 石棉混凝土
'shi'mian'shui'ni'ban 石棉水泥板
'shi'mian'shui'ni'guan 石棉水泥管
'shi'nei'bu'xian 室内布线
'shi'nei'di'mian'biao'gao 室内地面标高
'shi'nei'fang'huo'ti 室内防火梯
'shi'nei'guan'dao 室内管道
'shi'nei'guan'gong'xi'tong 室内管工系统
'shi'nei'guan'gou 室内管沟
'shi'nei'liu'bing'chang 室内溜冰场
'shi'nei'she'ji 室内设计
'shi'nei'shi'du 室内湿度
'shi'nei'tian'xian 室内天线
'shi'nei'ting'che'chang 室内停车场
'shi'nei'wai'biao'gao'cha 室内外表高差
'shi'nei'wang'qiu'chang 室内网球场
'shi'nei'wen'du 室内温度
'shi'nei'you'yong'chi 室内游泳池
'shi'nei'zhao'ming 室内照明
'shi'qiang 实墙
'shi'tang 食堂
'shi'tang'li'tang 食堂礼堂
'shi'ti 食梯
'shi'ti'jie'pou'shi 尸体解剖室
'shi'ti'jing 食梯井
'shi'wai'guan'gou 室外管沟
'shi'wai'guan'xian 室外管线
'shi'wai'guan'xian'zong'he'tu 室外管线综合图
'shi'wai'guan'xian'zong'ping'mian'tu 室外管线总平面图
'shi'wai'kong'qi'jin'feng'dao 室外空气进风道
'shi'wai'kong'qi'jin'kou 室外空气进口
'shi'wai'lou'ti 室外楼梯
'shi'wai'ming'lou'ti 室外明楼梯
'shi'wai'ping'tai 室外平台
'shi'wai'tian'xian 室外天线
'shi'wai'wang'qiu'chang 室外网球场
'shi'wai'you'yong'chi 室外游泳池
'shi'wai'zhao'ming 室外照明
'shi'xi'gong'chang 实习工厂
'shi'xi'jiao'shi 实习教室
'shi'xin'ban 实心板
'shi'yan'fu'he 试验负荷
'shi'yan'lou 实验楼
'shi'yan'shi 实验室
'shi'yan'tai 实验台
'shi'yan'zhan 试验站
'shi'yan'zhuang'zhi 试验装置
'shi'yi'tu 示意图
'shi'ying'deng 石英灯
'shi'ying'lu'qi'deng 石英卤气灯
'shi'ying'shui'yin'deng 石英水银灯
'shi'yong'dan'wei 使用单位
'shi'yong'lv 使用率
'shi'yong'mian'ji 使用面积
'shi'yun'zhuan 试运转
'shi'zheng'gong'cheng 市政工程
'shi'zheng'jian'zhu 市政建筑
'shi'zheng'she'shi 市政设施
'shi'zi'luo'si'dao 十字螺丝刀
'shou'ceng 首层
'shou'ceng'ping'mian 首层平面
'shou'dong'kai'guan 手动开关
'shou'dong'kong'zhi 手动控制
'shou'dong'xiao'fang'beng 手动消防泵
'shou'fa'shi 收发室
'shou'huo'chu 售货处
'shou'huo'gui 售货柜
'shou'huo'qu 售货区
'shou'shu'guan'mo'shi 手术观摩室
'shou'shu'shi 手术室
'shou'shu'tai 手术台
'shou'ti'shi'mie'huo'qi 手提式灭火器
'shou'yao'fa'dian'ji 手摇发电机
'shou'yi'zhan 兽医站
'shou'yin'ji 收音机
'shu'chu'bian'ya'qi 输出变压器
'shu'chu'dian'lu 输出电路
'shu'chu'gong'lv 输出功率
'shu'chu'xin'hao 输出信号
'shu'dian 书店
'shu'fang 书房
'shu'gan 竖杆
'shu'gui 书柜
'shu'jia 书架
'shu'jing 竖井
'shu'ku 书库
'shu'long'shi'dian'dong'ji 鼠笼式电动机
'shu'ru'bian'ya'qi 输入变压器
'shu'ru'dian'lu 输入电路
'shu'ru'shu'ju 输入数据
'shu'ru'xin'hao 输入信号
'shu'san'kou 疏散口
'shu'san'lou'ti 疏散楼梯
'shu'san'xian'lu 疏散线路
'shu'tie'ban 熟铁板
'shu'tie'guan 熟铁管
'shu'xiang'she'ji 竖向设计
'shuang'ceng'guan'dao 双层管道
'shuang'ceng'kai'zhuang'dian'lan 双层铠装电缆
'shuang'ceng'lang 双层廊
'shuang'gu'xian 双股线
'shuang'ji'shuang'kong'kai'guan 双击双控开关
'shuang'kong'cha'zuo'chu'xian'kou 双控插座出线口
'shuang'kong'kai'guan 双控开关
'shuang'pao'zhi'lou'ti 双跑直楼梯
'shuang'ren'chuang 双人床
'shuang'ren'chuang'ke'fang 双人床客房
'shuang'shan'chuang 双扇窗
'shuang'shan'tui'la'men 双扇推拉门
'shuang'tou'ge'li'kai'guan 双投隔离开关
'shuang'tou'kai'guan 双投开关
'shuang'xiang'kai'guan 双向开关
'shuang'xin'dian'lan 双芯电缆
'shui'beng'fang 水泵房
'shui'beng'ji'zu 水泵机组
'shui'beng'zhan 水泵站
'shui'chi 水池
'shui'leng'bian'ya'qi 水冷变压器
'shui'leng'que'ta 水冷却塔
'shui'leng'shi'kong'tiao'qi 水冷式空调器
'shui'li'fa'dian'zhan 水力发电站
'shui'mo'shi'di'mian 水磨石地面
'shui'mu 水幕
'shui'ni'biao'hao 水泥标号
'shui'ni'chang 水泥厂
'shui'ni'guan 水泥管
'shui'ni'hun'ning'tu 水泥混凝土
'shui'ni'mo'mian 水泥抹面
'shui'ni'sha'jiang'biao'hao 水泥砂浆标号
'shui'ni'sha'jiang'gou'feng 水泥砂浆勾缝
'shui'ni'sha'jiang'zhao'mian 水泥砂浆罩面
'shui'ni'sha'jiang'zhao'ping'ceng 水泥砂浆找平层
'shui'ni'zhao'ping'ceng 水泥找平层
'shui'ni'zhi'pin 水泥制品
'shui'nuan'xi'tong 水暖系统
'shui'ping'fang'chao'ceng 水平防潮层
'shui'wei'bao'jing'qi 水位报警器
'shui'wei'kong'zhi'xi'tong 水位控制系统
'shui'wei'zhi'shi'qi 水位指示器
'shui'xia'dian'lan 水下电缆
'shui'xia'zhao'ming 水下照明
'shui'xiang 水箱
'shui'yin'deng 水银灯
'shui'yin'jie'dian'kai'guan 水银接点开关
'shui'yin'kai'guan 水银开关
'shui'yin'wen'du'ji 水银温度计
'shun'shi'zhen'xuan'zhuan 顺时针旋转
'shuo'ming'shu 说明书
'si'kong'cha'zuo'chu'kou 四孔插座出口
'si'xin'dian'lan 四芯电缆
'song'feng'guan'dao 送风管道
'song'feng'ji 送风机
'song'feng'kou 送风口
'song'feng'xi'tong 送风系统
'su'dong'jian 速冻间
'su'dong'leng'ku 速冻冷库
'su'dong'zhuang'zhi 速冻装置
'su'hun'ning'tu 素混凝土
'su'liao 塑料
'su'liao'ban 塑料板
'su'liao'di'mian 塑料地面
'su'liao'guan 塑料管
'su'liao'nian'jie'ji 塑料粘结剂
'su'she 宿舍
'su'tu'hang'shi 素土夯实
'su'xing'cai'liao 塑性材料
'sui'da'sui'mo 随打随抹
'sui'shi'hun'ning'tu 碎石混凝土
'sui'wa'sui'tian 随挖随填
'suo'jin'luo'mu 锁紧螺母
'suo'jin'luo'shuan 锁紧螺栓
'suo'jin'luo'si 锁紧螺丝
'suo'yin 索引
'suo'yin'hao 索引号
'ta'shi'jian'zhu 塔式建筑
'ta'shi'tian'xian 塔式天线
'tai'deng 台灯
'tai'ji 台机
'tai'kou 台口
'tai'kou'ce'mu 台口侧幕
'tai'kou'gao'du 台口高度
'tai'kou'yan'mu 台口檐幕
'tai'ping'men'zhi'shi'deng 太平门指示灯
'tai'shan 台扇
'tai'shi'dian'hua'ji 台式电话机
'tai'yang'neng 太阳能
'tai'yang'neng'dian'chi 太阳能电池
'tai'yang'neng'fa'dian'chang 太阳能发电厂
'tai'yang'neng'fa'dian'ji 太阳能发电机
'tan'ce'qi 探测器
'tan'huang'cha'xiao 弹簧插销
'tan'huang'dian'juan 弹簧垫圈
'tan'huang'men 弹簧门
'tan'pan'shi 谈判室
'tan'xing'di'ban 弹性地板
'tan'zhao'deng 探照灯
'tao'guan 套管
'te'shu'zhao'ming 特殊照明
'ti'cao'fang 体操房
'ti'jiao'ban 踢脚板
'ti'jiao'ban'biao'gao 踢脚板标高
'ti'jiao'ban'shi'nuan'qi'she'bei 踢脚板式暖气设备
'ti'sheng'gao'du 提升高度
'ti'sheng'men 提升门
'ti'sheng'she'bei 提升设备
'ti'sheng'su'du 提升速度
'ti'xi'jian'zhu 体系建筑
'ti'yu'chang 体育场
'ti'yu'guan 体育馆
'ti'yu'she'shi 体育设施
'ti'yu'zhong'xin 体育中心
'tian'che 天车
'tian'chong'qiang 填充墙
'tian'chong'wu 填充物
'tian'chuang 天窗
'tian'chuang'cai'guang 天窗采光
'tian'chuang'zhao'du 天窗照度
'tian'hua'ban 天花板
'tian'jing 天井
'tian'mu 天幕
'tian'ping'shi 天平室
'tian'qiao 天桥
'tian'qiao'lou'ti 天桥楼梯
'tian'qiao'pa'ti 天桥爬梯
'tian'wen'guan 天文馆
'tian'wen'tai 天文台
'tian'xian 天线
'tian'xian'gan 天线杆
'tian'xian'ta 天线塔
'tian'xian'xi'tong 天线系统
'tian'xian'yin'xia'xian 天线引下线
'tian'xian'yin'xian 天线引线
'tiao'ban 跳板
'tiao'ceng'gong'yu'dan'yuan 跳层公寓单元
'tiao'guang'shi 调光室
'tiao'guang'tai 调光台
'tiao'jie'zhuang'zhi 调节装置
'tiao'san'ta 跳伞塔
'tiao'shui'chi 跳水池
'tiao'tai 跳台
'tiao'ya'qi 调压器
'tiao'zha 跳闸
'tie'gong'chang 铁工厂
'tie'guan 铁管
'tie'gui 铁轨
'tie'lu'jian'zhu 铁路建筑
'tie'suan'zi 铁算子
'tie'xin'xian'quan 铁心线圈
'ting'che 停车
'ting'che'biao'zhi 停车标志
'ting'che'ceng 停车层
'ting'che'chang 停车场
'ting'che'chang'biao'zhi 停车场标志
'ting'che'lou 停车楼
'ting'dian 停电
'ting'yuan 庭院
'ting'yuan'pai'shui'gou 庭院排水沟
'ting'yuan'she'ji 庭院设计
'ting'yuan'yu'shui'gou 庭院雨水沟
'tong'ban 铜板
'tong'bu'dian'dong'ji 同步电动机
'tong'bu'yun'xing 同步运行
'tong'duan'kai'guan 通断开关
'tong'feng'guan'dao 通风管道
'tong'feng'gui 通风柜
'tong'feng'ji 通风机
'tong'feng'ji'fang 通风机房
'tong'feng'jing 通风井
'tong'feng'kong 通风孔
'tong'feng'kou 通风口
'tong'feng'she'bei 通风设备
'tong'feng'xi'tong 通风系统
'tong'feng'xi'tong'jin'kou 通风系统进口
'tong'feng'zhuang'zhi 通风装置
'tong'yi'biao'zhun 统一标准
'tong'yong'da'yang 通用大样
'tong'yong'gou'jian 通用构件
'tong'yong'tu 通用图
'tong'yong'tu'yang 通用图样
'tong'zhi'pin 铜制品
'tou'bi'dian'hua'ji 投币电话机
'tou'shi'tu 透视图
'tu'gong'shi'yan'shi 土工实验室
'tu'hao 图号
'tu'ji 图集
'tu'li'shuo'ming 图例说明
'tu'ming 图名
'tu'qian 图签
'tu'shu'guan 图书馆
'tu'zhi 图纸
'tu'zhi'bian'hao 图纸编号
'tu'zhi'fu'zhi 图纸复制
'tu'zhi'ming'cheng 图纸名称
'tu'zhi'mu'lu 图纸目录
'tuo'er'suo 托儿所
'tuo'jia 托架
'tuo'kou 脱扣
'tuo'kou'xian'quan 脱扣线圈
'tuo'la'ji'zhan 拖拉机站
'wa'gou 挖沟
'wa'shi 瓦时
'wa'te 瓦特
'wa'te'xiao'shi 瓦特小时
'wa'te'xiao'shi'ji 瓦特小时计
'wai'bu'guan'dao'xi'tong 外部管道系统
'wai'bu'jie'gou 外部结构
'wai'bu'pai'shui'xi'tong 外部排水系统
'wai'guo'zi'ben 外国资本
'wai'jie'wen'du 外界温度
'wai'jing 外径
'wai'kai'chuang 外开窗
'wai'kai'men 外开门
'wai'ke 外科
'wai'ke'bing'fang 外科病房
'wai'lang 外廊
'wai'men'lang 外门廊
'wai'qiang 外墙
'wai'qiang'ban 外墙板
'wai'qiang'gua'ban 外墙挂板
'wai'tu'ceng 外涂层
'wai'xing 外形
'wai'yuan 外院
'wai'zi 外资
'wan'gong 完工
'wan'gong'ri'qi 完工日期
'wan'guan 弯管
'wan'guan'ji 弯管机
'wan'guan'jie'tou 弯管接头
'wan'guan'qi 弯管器
'wan'neng'jiao 万能胶
'wan'yong'biao 万用表
'wang'ban 望板
'wang'fu'beng 往复泵
'wang'qiu'guan 网球馆
'wei'an 微安
'wei'bo 微波
'wei'bo'jie'shou'qi 微波接收器
'wei'bo'kao'xiang 微波烤箱
'wei'dong'kai'guan 微动开关
'wei'fa 微法
'wei'hu'qiang 围护墙
'wei'jia'gong'cai'liao 未加工材料
'wei'lan 围栏
'wei'qiang 围墙
'wei'sheng'fang'yi'zhan 卫生防疫站
'wei'sheng'guan'dao'gong'cheng'xi'tong 卫生管道工程系统
'wei'sheng'jian 卫生间
'wei'sheng'qi'ju 卫生器具
'wei'sheng'she'bei 卫生设备
'wei'sheng'yuan 卫生院
'wei'xian'biao'zhi 危险标志
'wei'xian'chang'suo 危险场所
'wei'xian'dian'ya 危险电压
'wei'xian'pin'ku 危险品库
'wei'xian'xin'hao'deng 危险信号灯
'wei'xing'di'mian'zhan 卫星地面站
'wei'xing'zhan 卫星站
'wei'xiu 维修
'wei'xiu'che'jian 维修车间
'wei'xiu'gong'cheng 维修工程
'wei'zhi'tu 位置图
'wen'du'bao'jing'qi 温度报警器
'wen'du'feng 温度缝
'wen'du'tiao'jie 温度调节
'wen'du'tiao'jie'qi 温度调节器
'wen'hua'gong 文化宫
'wen'hua'guan 文化馆
'wen'hua'huo'dong'zhong'xin 文化活动中心
'wen'ju'dian 文具店
'wen'sheng 温升
'wen'xun'chu 问讯处
'wen'xun'tai 问讯台
'wen'ya 稳压
'wen'ya'dian'qi 稳压电器
'wen'ya'qi 稳压器
'wo'shi 卧室
'wo'shi'jian'qi'ju'shi 卧室兼起居室
'wu'chen'che'jian 无尘车间
'wu'chi'zhao'ming 舞池照明
'wu'ding 屋顶
'wu'ding'ban 屋顶板
