'a'bo'ding'an'na'bo'li'si'yi'chang 阿伯丁安纳波利斯异常
'xue'qing'mei'shui'ping'yi'chang 血清酶水平异常
'xue'qing'mian'yi'xue'yi'chang'suo'jian 血清免疫学异常所见
'xue'qing'xing'guan'jie'yan 血清性关节炎
'xue'qing'xing'guo'min'fan'ying 血清性过敏反应
'xue'qing'xing'xun'ma'zhen 血清性荨麻疹
'xue'qing'yin'qi'de'guo'min'xing'xiu'ke 血清引起的过敏性休克
'xue'rong'liang'guo'duo 血溶量过多
'xue'se'bing 血色病
'xue'se'bing'xing'xin'ji'bing 血色病性心肌病
'xue'se'su'chen'zhuo'guan'jie'bing 血色素沉着关节病
'xue'sheng'de'chang'gui'yi'ban'xing'jian'kang'cha'ti 学生的常规一般性健康查体
'xue'shuan'jing'mai'yan'xing'pi'da 血栓静脉炎性脾大
'xue'shuan'xing'bi'se'xing'wu'mai'bing'dong'mai'yan 血栓性闭塞性无脉病动脉炎
'xue'shuan'xing'cheng 血栓形成
'xue'shuan'xing'jing'mai'yan 血栓性静脉炎
'xue'shuan'xing'nei'zhi 血栓性内痔
'xue'shuan'xing'pian'tan 血栓性偏瘫
'xue'shuan'xing'wai'zhi 血栓性外痔
'xue'shuan'xing'wei'xue'guan'bing 血栓性微血管病
'xue'shuan'xing'xue'xiao'ban'jian'shao'xing'zi'dian 血栓性血小板减少性紫癜
'xue'shuan'xing'zhi 血栓性痔
'xue'tou'hou'shi'heng'zong'he'zheng 血透后失衡综合征
'xue'xi'chong'bing 血吸虫病
'xue'xi'chong'gan 血吸虫肝
'xue'xi'chong'xing'fei'yan 血吸虫性肺炎
'xue'xi'chong'xing'gan'yan 血吸虫性肝炎
'xue'xi'chong'xing'gan'ying'hua 血吸虫性肝硬化
'xue'xi'chong'xing'lan'wei'yan 血吸虫性阑尾炎
'xue'xi'chong'xing'mang'chang'yan 血吸虫性盲肠炎
'xue'xi'chong'xing'rou'ya'zhong 血吸虫性肉芽肿
'xue'xi'wen'ti 学习问题
'xue'xi'zhang'ai 学习障碍
'xue'xiao'ban'bing 血小板病
'xue'xiao'ban'ji'neng'bu'quan'ge'lan'ci'man'chu'xue'xing'yi'chuan'xing 血小板机能不全格兰茨曼出血性遗传性
'xue'xiao'ban'jian'shao'ban'you'rao'gu'que'shi'zong'he'zheng 血小板减少伴有桡骨缺失综合征
'xue'xiao'ban'jian'shao'bing'fa'yu'ren'shen'fen'mian'he'chan'ru'qi 血小板减少并发于妊娠分娩和产褥期
'xue'xiao'ban'jian'shao'xing'zi'dian 血小板减少性紫癜
'xue'xiao'ban'jian'shao'xing'zi'dian'bing'fa'yu'ren'shen'fen'mian'he'chan'ru'qi 血小板减少性紫癜并发于妊娠分娩和产褥期
'xue'xiao'ban'jian'shao'zheng 血小板减少症
'xue'xiao'ban'wen'luan'zong'he'zheng 血小板紊乱综合症
'xue'xiao'ban'wu'li'zheng 血小板无力症
'xue'xiao'ban'zeng'duo 血小板增多
'xue'xing'bu'he 血型不合
'xue'xing'fu'shui 血性腹水
'xue'xiong 血胸
'xue'xiong'ban'xiong'qiang'kai'fang'xing'shang'kou 血胸伴胸腔开放性伤口
'xue'xun'huan'zhong'kang'ning'wu'zhi'cun'zai 血循环中抗凝物质存在
'xue'ya'du'shu'sheng'gao'wu'gao'xue'ya'zhen'duan'zhe 血压读数升高无高血压诊断者
'xue'ya'jian'cha 血压检查
'xue'ya'xia'jiang 血压下降
'xue'ya'zheng'chang'xing'quan'gu'tong'zeng'duo 血压正常性醛固酮增多
'xue'ye'he'zao'xue'qi'guan'ji'bing'he'mou'xie'she'ji'mian'yi'ji'zhi'de'ji'huan'ge'ren'shi 血液和造血器官疾病和某些涉及免疫机制的疾患个人史
'xue'ye'hua'xue'de'yi'chang'suo'jian 血液化学的异常所见
'xue'ye'ji'zao'xue'qi'guan'ji'bing'he'mou'xie'she'ji'mian'yi'ji'zhi'de'ji'huan'jia'zu'shi 血液及造血器官疾病和某些涉及免疫机制的疾患家族史
'xue'ye'kuang'wu'zhi'shui'ping'yi'chang 血液矿物质水平异常
'xue'ye'tou'xi 血液透析
'xue'ye'xing'que'yang 血液性缺氧
'xue'ying'xi'bao'xing'qing'guang'yan 血影细胞性青光眼
'xue'you'bing 血友病
'xue'you'bing'xing'guan'jie'yan 血友病性关节炎
'xue'yu'chi 学语迟
'xue'yuan'xing'fei'nong'zhong 血源性肺脓肿
'xue'yuan'zi'xun 血缘咨询
'xue'zhong'fa'xian'jiu'jing 血中发现酒精
'xue'zhong'fa'xian'ke'ka'yin 血中发现可卡因
'xue'zhong'fa'xian'lei'gu'chun'ji 血中发现类固醇剂
'xue'zhong'fa'xian'li'shui'ping'yi'chang 血中发现锂水平异常
'xue'zhong'fa'xian'qi'ta'ke'neng'cheng'yin'de'yao'wu 血中发现其他可能成瘾的药物
'xue'zhong'fa'xian'tong'chang'bu'chu'xian'de'wei'te'zhi'wu'zhi 血中发现通常不出现的未特指物质
'xue'zhong'fa'xian'ya'pian'yao'wu 血中发现鸦片药物
'xue'zhong'fa'xian'ying'xiang'jing'shen'de'yao'wu 血中发现影响精神的药物
'xue'zhong'fa'xian'zhi'huan'ji 血中发现致幻剂
'xue'zhong'fa'xian'zhong'jin'shu'shui'ping'yi'chang 血中发现重金属水平异常
'xun'chang'xing'lang'chuang 寻常性狼疮
'xun'chang'xing'lin'xuan 寻常性鳞癣
'xun'chang'xing'tian'pao'chuang'e'xing'tian'pao'chuang 寻常性天疱疮恶性天疱疮
'xun'chang'xing'yin'xie'bing 寻常性银屑病
'xun'chang'xing'yu'lin'bing 寻常性鱼鳞病
'xun'chang'yan'jian'de'lang'chuang 寻常眼睑的狼疮
'xun'chang'you 寻常疣
'xun'huan'shuai'jie 循环衰竭
'xun'huan'xi'tong'xian'tian'xing'ji'xing 循环系统先天性畸形
'xun'huan'xing'zao'kuang'yi'yu'zheng 循环型躁狂抑郁症
'xun'ma'zhen 荨麻疹
'xun'ma'zhen'xing'xue'guan'yan 荨麻疹形血管炎
'xun'ma'zhen'xing'yao'zhen 荨麻疹型药疹
'xun'ma'zhen'yang'man'pi'yan 荨麻疹样螨皮炎
'xun'qiu'dui'hai'zi'de'xing'xing'wei'he'xing'qu'xiang'de'zhi'dao 寻求对孩子的性行为和性取向的指导
'xun'qiu'dui'huo'ban'de'xing'xing'wei'he'xing'qu'xiang'de'zhi'dao 寻求对伙伴的性行为和性取向的指导
'xun'qiu'dui'pei'ou'de'xing'xing'wei'he'xing'qu'xiang'de'zhi'dao 寻求对配偶的性行为和性取向的指导
'xun'qiu'he'jie'shou'qu'ti'ying'yang'he'hua'xue'xing'gan'yu'cuo'shi'zhe'xie'cuo'shi'yi'zhi'shi'wei'xian'he'you'hai'de 寻求和接受躯体营养和化学性干预措施这些措施已知是危险和有害的
'xun'qiu'he'jie'shou'xing'wei'he'xin'li'shang'de'gan'yu'cuo'shi'zhe'xie'cuo'shi'yi'zhi'shi'wei'xian'he'you'hai'de 寻求和接受行为和心理上的干预措施这些措施已知是危险和有害的
'xun'yang'zhen'jun'bing 蕈样真菌病
'xun'you'xing'bing'ren 巡游型病人
'ya'an'ji'er'ben'yi'xi'lei'zhong'du 亚氨基二苯乙烯类中毒
'ya'bai'ban'sun'hai 牙白斑损害
'ya'ben'zhi'fa'yu'bu'quan 牙本质发育不全
'ya'ben'zhi'qu 牙本质龋
'ya'bian'tai 压扁胎
'ya'cao'chu'xie 牙槽出血
'ya'cao'gu'chi'cao'gu'zhe 牙槽骨齿槽骨折
'ya'cao'ji'lie 牙槽嵴裂
'ya'cao'ji'lie'xi 牙槽嵴裂隙
'ya'cao'kai'fang'xing'gu'zhe 牙槽开放性骨折
'ya'cao'nong'zhong 牙槽脓肿
'ya'chi'chen'ji'wu 牙齿沉积物
'ya'chi'cuo'wei 牙齿错位
'ya'chi'de'lin'mian'mo'sun 牙齿的邻面磨损
'ya'chi'fa'yu'bu'quan 牙齿发育不全
'ya'chi'fu'shi 牙齿腐蚀
'ya'chi'ji'zhi'chi'jie'gou'de'ji'huan 牙齿及支持结构的疾患
'ya'chi'min'gan'zheng'ya'ben'zhi'guo'min 牙齿敏感症牙本质过敏
'ya'chi'nei'zai'ran'se 牙齿内在染色
'ya'chi'que'shao 牙齿缺少
'ya'chi'tuo'luo'zong'he'zheng 牙齿脱落综合征
'ya'chi'xi'shou 牙齿吸收
'ya'chi'xie'zhuang'que'sun 牙齿楔状缺损
'ya'chi'xing'cheng'qi'jian'yan'se'gai'bian 牙齿形成期间颜色改变
'ya'chi'ying'zu'zhi'ji'bing 牙齿硬组织疾病
'ya'chuang'shang'zheng'ya'zhou'chuang'shang'huo'yao'he'chuang'shang 牙创伤症牙周创伤或咬颌创伤
'ya'fa'sheng'bu'quan 牙发生不全
'ya'fa'sheng'ji'huan 牙发生疾患
'ya'gen'he'xia'he'gu'zhi'ru'wu 牙根和下颌骨植入物
'ya'gen'rou'ya'zhong 牙根肉芽肿
'ya'gong'guan'xi'yi'chang 牙弓关系异常
'ya'gong'zhong'xian'pian'li 牙弓中线偏离
'ya'gu'zhi'qu 牙骨质龋
'ya'gu'zhi'que'shi'he'fa'yu'bu'quan 牙骨质缺失和发育不全
'ya'gu'zhi'zeng'sheng 牙骨质增生
'ya'guan'zhou'nong'zhong 牙冠周脓肿
'ya'guo'zao'meng'chu 牙过早萌出
'ya'ji'huan'de'te'shu'shai'xuan'jian'cha 牙疾患的特殊筛选检查
'ya'ji'xing'bai'xue'bing 亚急性白血病
'ya'ji'xing'bao'han'ti'nao'yan'ya'ji'xing'ying'hua'xing'quan'nao'yan 亚急性包涵体脑炎亚急性硬化性全脑炎
'ya'ji'xing'bing'du'xing'gan'yan'ban'gan'hun'mi 亚急性病毒性肝炎伴肝昏迷
'ya'ji'xing'bing'xing'bing'du'xing'gan'yan'zhong'xing 亚急性丙型病毒性肝炎重型
'ya'ji'xing'dan'he'xi'bao'xing'bai'xue'bing 亚急性单核细胞性白血病
'ya'ji'xing'fen'mi'xing'zhong'er'yan 亚急性分泌性中耳炎
'ya'ji'xing'gan'huai'si 亚急性肝坏死
'ya'ji'xing'gan'shuai'jie 亚急性肝衰竭
'ya'ji'xing'gan'yan 亚急性肝炎
'ya'ji'xing'gu'sui'yan 亚急性骨髓炎
'ya'ji'xing'hong'mo'jie'zhuang'ti'yan 亚急性虹膜睫状体炎
'ya'ji'xing'huai'si'xing'ji'sui'bing 亚急性坏死性脊髓病
'ya'ji'xing'huai'si'xing'ji'sui'yan 亚急性坏死性脊髓炎
'ya'ji'xing'huai'si'xing'lin'ba'jie'yan 亚急性坏死性淋巴结炎
'ya'ji'xing'huai'si'xing'nao'ji'sui'bing 亚急性坏死性脑脊髓病
'ya'ji'xing'jia'xing'bing'du'xing'gan'yan'ban'gan'hun'mi 亚急性甲型病毒性肝炎伴肝昏迷
'ya'ji'xing'jia'zhuang'xian'yan'de'kui'er'wan'shi'jia'zhuang'xian'yan 亚急性甲状腺炎德奎尔万氏甲状腺炎
'ya'ji'xing'jing'lin'ba'jie'yan 亚急性颈淋巴结炎
'ya'ji'xing'jiu'jing'xing'gan'shuai'jie 亚急性酒精性肝衰竭
'ya'ji'xing'lan'wei'yan 亚急性阑尾炎
'ya'ji'xing'lei'bi'ju 亚急性类鼻疽
'ya'ji'xing'li'xi'bao'xing'bai'xue'bing 亚急性粒细胞性白血病
'ya'ji'xing'lian'he'bing'bian 亚急性联合病变
'ya'ji'xing'lin'ba'xi'bao'xing'bai'xue'bing 亚急性淋巴细胞性白血病
'ya'ji'xing'pang'guang'yan 亚急性膀胱炎
'ya'ji'xing'pi'fu'hong'ban'lang'chuang 亚急性皮肤红斑狼疮
'ya'ji'xing'su'li'xing'fei'jie'he 亚急性粟粒性肺结核
'ya'ji'xing'sui'yang'bai'xue'bing 亚急性髓样白血病
'ya'ji'xing'wai'yin'yan 亚急性外阴炎
'ya'ji'xing'wai'yin'yin'dao'yan 亚急性外阴阴道炎
'ya'ji'xing'xi'jun'xing'xin'nei'mo'yan 亚急性细菌性心内膜炎
'ya'ji'xing'xin'ji'geng'si 亚急性心肌梗死
'ya'ji'xing'xue'hang'bo'san'xing'fei'jie'he 亚急性血行播散型肺结核
'ya'ji'xing'yi'xian'yan 亚急性胰腺炎
'ya'ji'xing'yi'xing'bing'du'xing'gan'yan'ban'gan'hun'mi 亚急性乙型病毒性肝炎伴肝昏迷
'ya'ji'xing'ying'mo'xia'xue'zhong 亚急性硬膜下血肿
'ya'ji'xing'zhong'xing'bing'du'xing'gan'yan 亚急性重型病毒性肝炎
'ya'jian'xi'yi'chang 牙间隙异常
'ya'ke'bing'xia'gan 雅可病下疳
'ya'ke'er'shi'bing'jing'luan'xing'jia'ying'hua'ya'ji'xing'bing'du'xing'hai'mian'zhuang'nao'bing 雅克二氏病痉挛性假硬化亚急性病毒性海绵状脑病
'ya'ke'jian'cha 牙科检查
'ya'ke'shi'bing 雅克什病
'ya'ku'shi'zong'he'zheng 雅库氏综合征
'ya'lie'bu'qi 牙列不齐
'ya'lin'chuang'xing'tang'niao'bing 亚临床性糖尿病
'ya'liu 牙瘤
'ya'ma'fei 亚麻肺
'ya'mian'ji'xing 牙面畸形
'ya'niu'zhuan 牙扭转
'ya'nong'zhong 牙脓肿
'ya'pian'lei'yao'zhong'du'yi'tu'bu'que'ding'de 鸦片类药中毒意图不确定的
'ya'que'sun'ya'cao'ji'wei'suo 牙缺损牙槽嵴萎缩
'ya'sheng'bo'xuan'yun 亚声波眩晕
'ya'sheng'jun'bing'niang'mu'jun'bing 芽生菌病酿母菌病
'ya'sheng'jun'xing'nong'pi'bing 芽生菌性脓皮病
'ya'sheng'jun'xing'pi'yan 芽生菌性皮炎
'ya'si'bing 雅司病
'ya'si'bing'de'bi'gu'zeng'zhi'xing'gu'mo'yan 雅司病的鼻骨增殖性骨膜炎
'ya'si'bing'de'gu'mo'yan 雅司病的骨膜炎
'ya'si'bing'de'gu'yan 雅司病的骨炎
'ya'si'bing'de'guan'jie'pang'jie'jie 雅司病的关节旁结节
'ya'si'bing'de'guan'jie'yan 雅司病的关节炎
'ya'si'bing'de'jian'qiao'nang'zhong 雅司病的腱鞘囊肿
'ya'si'bing'de'shu'jiao'yang'zhong'gu 雅司病的树胶样肿骨
'ya'si'bing'de'zu'di'huo'zhang'ru'tou'zhuang'liu 雅司病的足底或掌乳头状瘤
'ya'si'bing'jin'xing'de'te'shu'shai'xuan'jian'cha 雅司病进行的特殊筛选检查
'ya'si'liu 雅司瘤
'ya'su'er'bing 亚速尔病
'ya'sui'bian'xing 牙髓变性
'ya'sui'huai'si 牙髓坏死
'ya'sui'ji'huan 牙髓疾患
'ya'sui'nei'bu'rou'ya'zhong 牙髓内部肉芽肿
'ya'sui'nong'zhong 牙髓脓肿
'ya'sui'xi'rou 牙髓息肉
'ya'sui'yan 牙髓炎
'ya'tong 牙痛
'ya'wai'ke'zheng'ji'shu'hou 牙外科正畸术后
'ya'xiao'suan'yan'zhong'du 亚硝酸盐中毒
'ya'xiao'suan'yi'wai'zhong'du 亚硝酸意外中毒
'ya'yin'chu'xue 牙龈出血
'ya'yin'e'xing'zhong'liu 牙龈恶性肿瘤
'ya'yin'jie'he 牙龈结核
'ya'yin'kui'yang 牙龈溃疡
'ya'yin'liang'xing'zhong'liu 牙龈良性肿瘤
'ya'yin'lie'shang 牙龈裂伤
'ya'yin'liu 牙龈瘤
'ya'yin'lou'guan 牙龈瘘管
'ya'yin'nang'zhong 牙龈囊肿
'ya'yin'nong'zhong 牙龈脓肿
'ya'yin'tong 牙龈痛
'ya'yin'tui'suo 牙龈退缩
'ya'yin'xi'rou 牙龈息肉
'ya'yin'xian'wei'liu'bing 牙龈纤维瘤病
'ya'yin'xiang'pi'bing 牙龈象皮病
'ya'yin'yan 牙龈炎
'ya'yin'zeng'sheng 牙龈增生
'ya'yong'ji 牙拥挤
'ya'you'zhi'fa'sheng'bu'quan 牙釉质发生不全
'ya'you'zhi'qu 牙釉质龋
'ya'yuan'xing'mian'bu'pi'fu'lou'guan 牙源性面部皮肤瘘管
'ya'zhe'duan 牙折断
'ya'zhou'bian'xing 牙周变性
'ya'zhou'bing 牙周病
'ya'zhou'gan'ran 牙周感染
'ya'zhou'ju'xi'bao'xing'rou'ya'zhong 牙周巨细胞性肉芽肿
'ya'zhou'nong'zhong 牙周脓肿
'ya'zhou'yan 牙周炎
'ya'zong'song'pei'li'zha'li'you'ban'pi'fu'song'shi 雅棕松佩利扎里有斑皮肤松施
'yan'bai'hou 咽白喉
'yan'bai'hua'bing 眼白化病
'yan'bi'e'xing'zhong'liu 咽壁恶性肿瘤
'yan'bi'qu'zong'he'zheng 眼鼻区综合征
'yan'bian'tao'ti'e'xing'zhong'liu 咽扁桃体恶性肿瘤
'yan'bian'tao'ti'liang'xing'zhong'liu 咽扁桃体良性肿瘤
'yan'bian'tao'ti'xin'zang'zong'he'zheng 咽扁桃体心脏综合征
'yan'bing'bai'nei'zhang 眼病白内障
'yan'bu'gu'gu'mo'xia'nong'zhong 岩部骨骨膜下脓肿
'yan'bu'huai'ju'xing'rou'ya'zhong 咽部坏疽性肉芽肿
'yan'bu'ji'xing 咽部畸形
'yan'bu'jiao'jie'e'xing'zhong'liu 咽部交界恶性肿瘤
'yan'bu'jie'he 咽部结核
'yan'bu'kui'yang 咽部溃疡
'yan'bu'lin'ba'jie'zhong'da 咽部淋巴结肿大
'yan'bu'shui'zhong 咽部水肿
'yan'bu'tong 眼部痛
'yan'bu'xue'guan'liu 咽部血管瘤
'yan'bu'yan 岩部炎
'yan'bu'yi'gan'zheng 咽部异感症
'yan'bu'yi'wu'jing'qiang'kou'jin'ru 咽部异物经腔口进入
'yan'bu'zhong'wu 咽部肿物
'yan'cao'he'ni'gu'ding'de'du'xing'xiao'ying 烟草和尼古丁的毒性效应
'yan'cao'kang'fu 烟草康复
'yan'cao'lan'yong'de'zi'xun 烟草滥用的咨询
'yan'cao'lan'yong'jia'zu'shi 烟草滥用家族史
'yan'cao'xing'kou'yan 烟草性口炎
'yan'cao'yin 烟草瘾
'yan'ce'bi'yan'xing'zhong'wu 咽侧壁炎性肿物
'yan'chi'shui'mian'jie'duan'zong'he'zheng 延迟睡眠阶段综合征
'yan'chong'bing 眼虫病
'yan'chong'xue 眼充血
'yan'chu'xie 咽出血
'yan'cuo'shang 眼挫伤
'yan'de'fa'yu'bu'liang 眼的发育不良
'yan'de'jia'ti'kuang'yin'qi'de'ji'xie'xing'bing'fa'zheng 眼的假体眶引起的机械性并发症
'yan'de'qi'ta'ji'huan 眼的其他疾患
'yan'di'chu'xie 眼底出血
'yan'di'dong'mai'ying'hua 眼底动脉硬化
'yan'di'jing'mai'shuan'se 眼底静脉栓塞
'yan'dian'fen'yang'bian 咽淀粉样变
'yan'dian'tu 眼电图
'yan'diu'shi'xing'xian'tian'xing'shen'shang'xian'zeng'sheng 盐丢失性先天性肾上腺增生
'yan'dong'mai'dong'mai'liu 眼动脉动脉瘤
'yan'dong'mai'shuan'sai 眼动脉栓塞
'yan'dong'tai'wei'ding'de'zhong'liu 咽动态未定的肿瘤
'yan'e'kou'chuang 咽鹅口疮
'yan'e'xing'lin'ba'liu 眼恶性淋巴瘤
'yan'e'xing'zhong'liu 咽恶性肿瘤
'yan'e'xing'zhong'liu 眼恶性肿瘤
'yan'e'xing'zhong'liu'zhai'chu'ge'ren'shi 眼恶性肿瘤摘除个人史
'yan'er'kuo'fa'yu'bu'quan 眼耳廓发育不全
'yan'feng'wo'zhi'yan 咽蜂窝织炎
'yan'fu'qi'shu'hou'shi'yong'ge'ren'shi 眼附器术后使用个人史
'yan'gan'zao'zong'he'zheng 眼干燥综合征
'yan'gu'guan'de'qi'ta'ji'huan 咽鼓管的其他疾患
'yan'gu'guan'e'xing'zhong'liu 咽鼓管恶性肿瘤
'yan'gu'guan'geng'zu 咽鼓管梗阻
'yan'gu'guan'ji'huan 咽鼓管疾患
'yan'gu'guan'kai'fang'zheng 咽鼓管开放症
'yan'gu'guan'kai'kou'e'xing'zhong'liu 咽鼓管开口恶性肿瘤
'yan'gu'guan'shou'ya 咽鼓管受压
'yan'gu'guan'xia'zhai 咽鼓管狭窄
'yan'gu'guan'yan 咽鼓管炎
'yan'gu'guan'yi'zhi'pian'gu'ding'mo 咽鼓管移植片固定模
'yan'gu'nao'mo'liu 岩骨脑膜瘤
'yan'gui'jiao'pai'yi'fan'ying 眼硅胶排异反应
'yan'he'er'ji'huan'de'te'shu'shai'xuan'jian'cha 眼和耳疾患的特殊筛选检查
'yan'he'er'ji'huan'jia'zu'shi 眼和耳疾患家族史
'yan'he'fu'qi'jiao'da'kua'yue'de'e'xing'zhong'liu 眼和附器交搭跨越的恶性肿瘤
'yan'he'fu'qi'qi'ta'bu'wei'fu'shi'shang 眼和附器其他部位腐蚀伤
'yan'he'fu'qi'qi'ta'bu'wei'shao'shang 眼和附器其他部位烧伤
'yan'he'fu'qi'shao'shang 眼和附器烧伤
'yan'he'kuang'de'qi'ta'sun'shang 眼和眶的其他损伤
'yan'he'kuang'sun'shang'fen'lei'yu'de'hou'yi'zheng 眼和眶损伤分类于的后遗症
'yan'he'shi'li'de'jian'cha 眼和视力的检查
'yan'hou'bi'e'xing'zhong'liu 咽后壁恶性肿瘤
'yan'hou'bi'nong'zhong 咽后壁脓肿
'yan'hou'bi'qiang'xue'guan'liu 咽喉鼻腔血管瘤
'yan'hou'cuo'shang 咽喉挫伤
'yan'hou'de'qian'biao'xing'sun'shang 咽喉的浅表性损伤
'yan'hou'duan'xian'tian'xing'ji'xing 眼后段先天性畸形
'yan'hou'ji'ya'shang 咽喉挤压伤
'yan'hou'kui'yang 咽喉溃疡
'yan'hou'sun'shang 咽喉损伤
'yan'hou'tian'xing'que'shi 眼后天性缺失
'yan'hou'tong 咽喉痛
'yan'hou'yi'wu 咽喉异物
'yan'hou'zu'zhi'liang'xing'zhong'liu 眼后组织良性肿瘤
'yan'hua'xue'xing'shao'shang 咽化学性烧伤
'yan'huai'si'xing'se'su'mo'yan 眼坏死型色素膜炎
'yan'huang'ban'hou'ji'bian'xing 眼黄斑后极变性
'yan'ji'fa'e'xing'zhong'liu 咽继发恶性肿瘤
'yan'ji'fa'xing'e'xing'zhong'liu 眼继发性恶性肿瘤
'yan'ji'fu'qi'de'qi'ta'ji'bing 眼及附器的其它疾病
'yan'ji'jing'luan 咽肌痉挛
'yan'ji'luan'suo'xing'xie'shi 眼肌挛缩性斜视
'yan'ji'ma'bi 眼肌麻痹
'yan'ji'ma'bi'xie'shi 眼肌麻痹斜视
'yan'ji'tan'huan 眼肌瘫痪
'yan'ji'tan'huan'xing'pian'tou'tong 眼肌瘫痪型偏头痛
'yan'jian'bai'dian'feng 眼睑白癜风
'yan'jian'bi'suo 眼睑闭锁
'yan'jian'bian'ying'xing'guo'min'xing'pi'yan 眼睑变应性过敏性皮炎
'yan'jian'chong'xue 眼睑充血
'yan'jian'chou'chu 眼睑抽搐
'yan'jian'chu'xie 眼睑出血
'yan'jian'cuo'shang 眼睑挫伤
'yan'jian'dai'zhuang'pao'zhen 眼睑带状疱疹
'yan'jian'dan'du 眼睑丹毒
'yan'jian'dao'jie 眼睑倒睫
'yan'jian'de'gan'pi'bing 眼睑的干皮病
'yan'jian'de'pan'xing'hong'ban'lang'chuang 眼睑的盘形红斑狼疮
'yan'jian'e'xing'hei'se'su'liu 眼睑恶性黑色素瘤
'yan'jian'e'xing'zhong'liu 眼睑恶性肿瘤
'yan'jian'feng'wo'zhi'yan 眼睑蜂窝织炎
'yan'jian'he'yan'zhou'qu'cuo'shang 眼睑和眼周区挫伤
'yan'jian'he'yan'zhou'qu'qian'biao'sun'shang 眼睑和眼周区浅表损伤
'yan'jian'he'yan'zhou'qu'shao'shang 眼睑和眼周区烧伤
'yan'jian'hei'bian'bing 眼睑黑变病
'yan'jian'hei'se'su'xi'bao'zhi 眼睑黑色素细胞痣
'yan'jian'hou'tian'xing'ji'xing 眼睑后天性畸形
'yan'jian'huai'si 眼睑坏死
'yan'jian'huang'ban'liu 眼睑黄斑瘤
'yan'jian'ji'huan 眼睑疾患
'yan'jian'jiao'jie'e'xing'zhong'liu 眼睑交界恶性肿瘤
'yan'jian'jie'he 眼睑结核
'yan'jian'jie'mao'tuo'luo 眼睑睫毛脱落
'yan'jian'jie'zhong 眼睑疖肿
'yan'jian'jing'luan 眼睑痉挛
'yan'jian'liang'xing'zhong'liu 眼睑良性肿瘤
'yan'jian'lie'shang'ban'lei'xiao'guan'duan'lie 眼睑裂伤伴泪小管断裂
'yan'jian'lou 眼睑瘘
'yan'jian'nang'zhong 眼睑囊肿
'yan'jian'nei'fan 眼睑内翻
'yan'jian'nong'zhong 眼睑脓肿
'yan'jian'pi'fu'e'xing'zhong'liu 眼睑皮肤恶性肿瘤
'yan'jian'pi'fu'lie'shang 眼睑皮肤裂伤
'yan'jian'pi'fu'yuan'wei'ai 眼睑皮肤原位癌
'yan'jian'pi'yan 眼睑皮炎
'yan'jian'pi'zhi'xian'nang'zhong 眼睑皮脂腺囊肿
'yan'jian'quan'ceng'si'lie'shang 眼睑全层撕裂伤
'yan'jian'que'sun 眼睑缺损
'yan'jian'rou'ya'zhong 眼睑肉芽肿
'yan'jian'ruan'zu'zhi'cuo'shang 眼睑软组织挫伤
'yan'jian'shao'shang 眼睑烧伤
'yan'jian'shi'zhen 眼睑湿疹
'yan'jian'shi'zhen'xing'pi'yan 眼睑湿疹性皮炎
'yan'jian'shu'shu'hong'ban'jian'cao'pi'bing 眼睑蜀黍红斑睑糙皮病
'yan'jian'shui'zhong 眼睑水肿
'yan'jian'si'lie'shang'lei'ji'lei'dao 眼睑撕裂伤累及泪道
'yan'jian'xin'sheng'wu 眼睑新生物
'yan'jian'xue'zhong 眼睑血肿
'yan'jian'yan 眼睑炎
'yan'jian'yi'wu 眼睑异物
'yan'jian'yuan'wei'hei'se'su'liu 眼睑原位黑色素瘤
'yan'jian'zhan'lian'xing'ba'hen 眼睑粘连性疤痕
'yan'jian'zhong'wu 眼睑肿物
'yan'jian'zhou'zhe'ji'xing 眼睑绉折畸形
'yan'jian'zong'he'zheng 岩尖综合征
'yan'jiao'hua'zheng 咽角化症
'yan'jiao'jie'e'xing'zhong'liu 眼交界恶性肿瘤
'yan'jiao'mo'kui'yang'chuan'kong 眼角膜溃疡穿孔
'yan'jie'he 眼结核
'yan'jie'mo're 咽结膜热
'yan'jie'mo'tuo'chui 眼结膜脱垂
'yan'jing'he'jie'chu'jing'pian'de'an'zhuang'he'tiao'zheng 眼镜和接触镜片的安装和调整
'yan'kai'fang'xing'shang'kou 咽开放性伤口
'yan'kai'fang'xing'wai'shang 眼开放性外伤
'yan'ke'de'jiao'xing'shu'ji'shou'shu'zhi'liao'de'sui'zhen'yi'liao 眼科的矫形术及手术治疗的随诊医疗
'yan'ke'kang'gan'ran'yao'zhong'du 眼科抗感染药中毒
'yan'kuang'chuan'ci'shang'ban'kuang'nei'yi'wu 眼眶穿刺伤伴眶内异物
'yan'kuang'chuan'tou'shang 眼眶穿透伤
'yan'kuang'cuo'shang'de'hou'yi'zheng 眼眶挫伤的后遗症
'yan'kuang'fei'te'yi'xing'yan'zheng 眼眶非特异性炎症
'yan'kuang'gu'e'xing'zhong'liu 眼眶骨恶性肿瘤
'yan'kuang'gu'mo'yan 眼眶骨膜炎
'yan'kuang'gu'sui'yan 眼眶骨髓炎
'yan'kuang'ji'xing 眼眶畸形
'yan'kuang'jia'liu 眼眶假瘤
'yan'kuang'jiao'jie'e'xing'zhong'liu 眼眶交界恶性肿瘤
'yan'kuang'jie'di'zu'zhi'jiao'jie'xing'zhong'liu 眼眶结缔组织交界性肿瘤
'yan'kuang'jie'he 眼眶结核
