'ai'gan'huang'tian'xi'cheng'wei'hui 哀感皇天兮城为隳
'xi'xi'gu'feng 习习谷风
'xi'xie'shuang'luo'yi'xi 嬆枻霜罗衣兮
'xi'yang 晳阳
'xi'yong'ci'tu 锡用此土
'xi'zhe 昔者
'xi'zou'cao 息鄹操
'xia'bo'zhi'yue'wu 夏伯之乐舞
'xia'du'ku 下独苦
'xia'guan'xin'gong 下管新宫
'xia'hou'ji'shang 夏后及商
'xia'hou'xuan'bian'le'lun 夏侯玄辩乐论
'xia'hou'zhu'ding'yao 夏后铸鼎繇
'xia'huo'di'duo 下火滴沰
'xia'ji'de'dao 夏姬得道
'xia'jia'zi'yu 夏甲子雨
'xia'li 下里
'xia'li'ba'ren 下里巴人
'xia'min'chou'bei 下民愁悲
'xia'ming'qi'zu 夏命其卒
'xia'qing'shang'zhong 下轻上重
'xia'ren'ge 夏人歌
'xia'shu 夏书
'xia'you 夏有
'xia'yu 夏禹
'xia'yu'ge 暇豫歌
'xia'yu'zhi'wu'wu 暇豫之吾吾
'xia'zhen 夏箴
'xia'zhi'hou 夏至后
'xia'zhi'hou'bu'mei'gou 夏至后不没狗
'xia'zhong'ge 峡中歌
'xia'zi'cheng'xi 下自成蹊
'xian'chi 咸池
'xian'chu'ye'yi'zhu 先出也衣纻
'xian'guan'man'man 县官漫漫
'xian'jia'er'fu 咸加尔服
'xian'le'jin'zou'si'xia 先乐金奏肆夏
'xian'min'zhi'sheng'yi 鲜民之生矣
'xian'mo 咸墨
'xian'mo'wei'song 咸墨为颂
'xian'qin'hui'zong 先秦汇总
'xian'qin'shi'jun'bu'shou 先秦诗均不收
'xian'qin'shi'lie'wei'liao'zi'suo'yin 先秦诗列尉缭子所引
'xian'qin'shi'qi'de'shi'ge 先秦时期的诗歌
'xian'qin'shi'yi'you'da'dai'li'zhe 先秦诗亦有大戴礼者
'xian'qin'yan 先秦谚
'xian'ran'guo'yu'jian'dan 显然过于简单
'xian'ran'nan'yi'dai'biao 显然难以代表
'xian'ran'tai'shi'gong 显然太史公
'xian'ran'wei'han'shi 显然为汉诗
'xian'ran'wei'hou'ren'wei'zhe 显然为后人伪着
'xian'ren'cuan'xi'jiang'dai'shi 贤人窜兮将待时
'xian'shan'zhang'gai'yu'pang'pei 岘山张盖雨滂沛
'xian'sheng'jiang'xi 先生将息
'xian'sheng'shi'jiao 先生施教
'xian'sheng'you'ming 先生有命
'xian'sheng'you'yan 先圣有谚
'xian'shi'shang'zhi 贤士尚志
'xian'shi'yu'cheng'qi'ming 贤士欲成其名
'xian'shu'lai'you'yi'hui'chang'xi 衔书来游以会昌兮
'xian'shui'ke'tuo 陷水可脱
'xian'wang'ji'cu 先王既徂
'xian'wen'bu'huo 陷文不活
'xian'yu'tui'yuan'ge 献玉退怨歌
'xian'zhe'yu'yang 贤者欲养
'xian'zhi'zai'yi 咸致灾异
'xiang'bi'he'dan 相彼盍旦
'xiang'bi'xuan'niao 相彼玄鸟
'xiang'chuan'wei'zeng'zi'suo'zuo 相传为曾子所做
'xiang'cong'zhi'zhi 相从执质
'xiang'gong'shi'qi'nian 襄公十七年
'xiang'gong'shi'yi'nian 襄公十一年
'xiang'gong'si'nian 襄公四年
'xiang'guan'er'zhi'he 相观而志合
'xiang'guan'lun'shu'ye'jun'wei 相关论述也均为
'xiang'he'ge 相和歌
'xiang'jian 详见
'xiang'jian'gu'ren'yu'xiao'wu'sui'yu 想见古人于小物碎语
'xiang'ling'cao 襄陵操
'xiang'ma'yi'yu 相马以舆
'xiang'qi'gu'xiong 想其故雄
'xiang'ren'yin'jiu'ge 乡人饮酒歌
'xiang'ru'suo'yin'ji'bu'quan 相如所引既不全
'xiang'she'li 乡射礼
'xiang'shi'yi'ju 相士以居
'xiang'shi'zu 相士卒
'xiang'shui 湘水
'xiang'si 相似
'xiang'si'kong'jia 享祀孔嘉
'xiang'sui'er'ji 相随而集
'xiang'yi'jun'tian'guang'yue 享以钧天广乐
'xiang'yi'wei'zhi'yan'yue 乡邑为之谚曰
'xiang'yin'jiu'li 乡饮酒礼
'xiao'bu 校补
'xiao'bu'sheng'ke'zhe'wang 小不胜柯者亡
'xiao'cheng 孝成
'xiao'da'mo'chu 小大莫处
'xiao'de'bu'sai 校德不塞
'xiao'ge 小歌
'xiao'ge'yue 小歌曰
'xiao'guo 萧国
'xiao'jin'shi'zhe'bu'lei'yue 销金石者不累月
'xiao'kui 萧溃
'xiao'ren'gu'fou 小人鼓缶
'xiao'ren'wu'jian'nian'zhi'shi 小人无兼年之食
'xiao'ren'wu'you'ru 小人无由入
'xiao'wen 孝文
'xiao'xu'yun 小序云
'xiao'ya 小雅
'xiao'ya'yi'pian 小雅逸篇
'xiao'yao'jiu'zhou 逍遥九州
'xiao'you'shi'ge 孝友时格
'xie'chan'wei'ci 邪谗伪辞
'xie'lu 薤露
'xie'luo'zhe'yi'he 蟹螺者宜禾
'xie'pi'wu'you'lai 邪辟无由来
'xie'wei'xin 谢维新
'xie'xin'chan'yan 邪心谗言
'xie'xu'ge 邪许歌
'xie'yi'xian'gu 挟以衔骨
'xie'yin'ge 偕隐歌
'xin'cheng'lian 心诚怜
'xin'ge 新歌
'xin'gong 新宫
'xin'gou'wu'xia 心苟无瑕
'xin'hu'cai'hu 薪乎菜乎
'xin'li'tui'yuan'ge 信立退怨歌
'xin'lin'wu'chang'mu 新林无长木
'xin'lun 新论
'xin'lun'tong 新论同
'xin'lun'yue'guan'dong 新论曰关东
'xin'ruo'si'hui 心若死灰
'xin'shi 辛氏
'xin'shi'jiao'guo'shi'geng'wan 辛氏较郭氏更晚
'xin'shu 新书
'xin'shu'yin'zhou'yan 新书引周谚
'xin'tang'shu 新唐书
'xin'wei'bu'cheng 信为不诚
'xin'xu 新序
'xin'you'zui'yi 信有罪矣
'xin'yu 新语
'xin'yu'mi'ge 辛余靡歌
'xin'ze'bu'jing 心则不竞
'xin'zhi'ai'xi 心之哀兮
'xing'bai'li'zhe 行百里者
'xing'bi'lv'zheng 行必虑正
'xing'bu'gui'sui 行不诡随
'xing'bu'hui'jin 行不隳砛
'xing'chen'you'xing 星辰有行
'xing'cun'yu'shen 行存于身
'xing'gan'feng'yu 兴甘风雨
'xing'hua'sheng 杏花盛
'xing'jiang'wei'she 行将为蛇
'xing'min'zhi'li 形民之力
'xing'ruo'gao'hai 形若槁骸
'xing'shi 形势
'xing'shi'jie 形势解
'xing'shi'shang'kan'shi'ge'yao'lei 形式上看是歌谣类
'xing'wei'ji'shi'ye 行谓即世也
'xing'wo'zhi'ye 兴我之业
'xing'ze'fu 行则福
'xing'zhe'wu'mai 行者无埋
'xiong'di'chan'xi 兄弟谗阋
'xiong'di'er'ren 兄弟二人
'xiong'di'er'ren'bu'xiang'rong 兄弟二人不相容
'xiong'di'ju'lai 兄弟具来
'xiong'di'ju'zai 兄弟具在
'xiong'pi'xiao'hou 熊罴哮吼
'xiong'ze'si'er'zi'gao'wei'zhi'shuai 兄则死而子皋为之衰
'xiu'ge 秀歌
'xiu'jian'zhu'yi 修剑拄颐
'xiu'quan'pian 修权篇
'xiu'shen'yang'zhi 修身养志
'xiu'xi 休息
'xiu'yi'jing'yi 修义经矣
'xu'duo'suo'wei 许多所谓
'xu'gan'yin'gu'ren'ge 徐干引古人歌
'xu'gan'zhong'lun 徐干中论
'xu'ge 嘘歌
'xu'gu'yuan'meng 恤顾怨萌
'xu'guang'yue 徐广曰
'xu'jie'cu'xi 吁嗟徂兮
'xu'ren'ge 徐人歌
'xu'ri'shi'dan 旭日始旦
'xu'shi'pian 叙事篇
'xu'shi'yi'yu 叙事亦与
'xu'xi 歔欷
'xu'xi'gui'geng 歔欷归耕
'xu'xi'gui'geng'lai'xi 歔欷归耕来兮
'xu'xu'hu 恤恤乎
'xu'yin'chun'qiu'shi'yan 序引春秋时谚
'xuan'gong'qi'nian'chuan 宣公七年传
'xuan'gong'shi'wu'nian 宣公十五年
'xuan'gong'ye'jing'dang'xuan'zhi 璇宫夜静当轩织
'xuan'he'qi'ge 玄鹤其歌
'xuan'hu'wu'zhi 轩乎舞之
'xuan'ming'shan'shen'cai'er'xian'zhi 选名山神材而献之
'xuan'niao'xiang'shui 玄鸟翔水
'xuan'you'zuo'yuan 宣猷作原
'xue'bu 学部
'xue'er'bu'yi 学而不已
'xue'ji 学记
'xue'zhu'jue'gen 削株掘根
'xun'ji'zhi'shi 循计之事
'xun'qiang'er'zou 循墙而走
'xun'qing 荀卿
'xun'you'zhi 训有之
'xun'zi 荀子
'xun'zi'ji'jie 荀子集解
'xun'zi'jin'qian'liang'ju 荀子仅前两句
'xun'zi'shu'zhong'gui'shi 荀子书中佹诗
'xun'zi'zheng'lun'pian 荀子正论篇
'xun'zi'zhi'yan 荀子直言
'xun'zi'zhu'zai'ci'shi 荀子注载此事
'ya'yu'feng 鸦浴风
'yan'ba'liu'tuo'jing 阏八流拓境
'yan'ba'ruan'zhi'guan 言罢软之官
'yan'cai'qi'wei 言采其薇
'yan'ce 燕策
'yan'dan'zi 燕丹子
'yan'duo'ju'ji 言多拘忌
'yan'duo'zi'zhi 言多资之
'yan'fa'yu'er 言发于尔
'yan'fu'xi'shi'zuo'se 言伏戏氏作瑟
'yan'geng'zhi'yi'ye 言耕之益也
'yan'he'dan 言盍旦
'yan'hou'you'niu'ni 颜厚有忸怩
'yan'hu'ji'fu 檿弧箕服
'yan'hu'li'zhi'se 言狐狸之色
'yan'ji 严辑
'yan'ju'rong'chu 岩居宂处
'yan'ju'xue'chu 岩居穴处
'yan'kong'zi'zuo 言孔子作
'yan'li 燕礼
'yan'li'ben 阎立本
'yan'ling'ji'zi'xi'bu'wang'gu 延陵季子兮不忘故
'yan'ling'yao 鄢陵繇
'yan'lu 延露
'yan'ning 严凝
'yan'pi'bu'guo'chi'gu 妍皮不裹痴骨
'yan'qi'huan'gong 言齐桓公
'yan'qi'nan'ye 言其难也
'yan'ruo'shao'zhi'rong 颜若苕之荣
'yan'se'chi 艳色媸
'yan'shi'bu'dai'ren'ye 言时不待人也
'yan'shi'fei'jiu'jing 言是非究竟
'yan'shi'jia'xun 颜氏家训
'yan'tie'lun 盐铁论
'yan'tie'lun'jiao'zhu 盐铁论校注
'yan'tie'lun'yi'zai'ci 盐铁论亦载此
'yan'wang'fei'ge 燕往飞歌
'yan'wei'tai'kang'suo'zuo 言为太康所作
'yan'yan'nai'he 炎炎奈何
'yan'yan'tong 喭谚同
'yan'yan'you'zhi'yue 谚言有之曰
'yan'yan'yu'fei 燕燕于飞
'yan'yan'zhi'nue'shi'wo'qian'xi 炎炎之虐使我愆兮
'yan'yan'zhi'shi 岩岩之石
'yan'yin'yang'bu'he'ye 言阴阳不和也
'yan'you'zhi 谚有之
'yan'you'zhi'yun'yun 谚有之云云
'yan'yu'da'ru'fu 滟滪大如幞
'yan'yu'da'ru'ma 滟预大如马
'yan'yu'da'ru'niu 滟预大如牛
'yan'yu'xiang'jie'tian'xia'wei'yi 言语相结天下为一
'yan'yu'zheng'bo 言于郑伯
'yan'yue 谚曰
'yan'yun 谚云
'yan'zhao'wang'shi'tong'yao 燕昭王时童谣
'yan'zhi'bu'de 掩雉不得
'yan'zi 晏子
'yan'zi'chun'feng'qi'min'ge 晏子春风齐民歌
'yan'zi'chun'qiu 晏子春秋
'yan'zi'yin'yan'zhao'san'nian 晏子引谚昭三年
'yan'zi'yin'yan'zhu 晏子引谚注
'yan'zi'zhi'yi'ye 言耔之益也
'yan'zou 演奏
'yan'zuo'jia'shu'zhi'er'nan'ye 言作家书质而难也
'yang'a 阳阿
'yang'bo'jun 杨伯峻
'yang'bo'jun'shi'yi'shi 杨伯峻是逸诗
'yang'bo'jun'zai 杨伯峻在
'yang'bo'jun'zhong'jian'de 杨伯峻中间的
'yang'bu'fen'ti'ming'biao'zhu'wei'que 杨部分题名标注为阙
'yang'chun 阳春
'yang'chun'zhi'qu 阳春之曲
'yang'fang'wu'yue'chun'qiu 杨方吴越春秋
'yang'fei'niao'xi'wu'yuan 仰飞鸟兮乌鸢
'yang'jiang'qi'shi'wei'yi'shi 杨将其视为逸诗
'yang'qin'he'gu'yu'si'yang 歍钦何辜遇斯殃
'yang'qin'shang'gong'xian'shi'hai 歍钦伤宫仙石还
'yang'quan'wu'li'lun 杨泉物理论
'yang'shen 杨慎
'yang'shu 杨书
'yang'shu'ren'wu'zi'yi'wu 杨书人误字亦误
'yang'shu'shou'lu 杨书收录
'yang'shu'shun'xu'dian'dao 杨书顺序颠倒
'yang'shu'wei'wen'xue'xing 杨书为文学性
'yang'shu'you'wei'le'wen'xue'xing 杨书有为了文学性
'yang'tian'yuan'wang 仰天怨望
'yang'yang'hu 洋洋乎
'yang'yang'zi'zhi 旸旸紫芝
'yang'zhong'chuan 杨终传
'yang'zhu'ge 杨朱歌
'yang'zi'ge 杨子歌
'yao'bu'shou'xi'wang'mu'yin 谣不收西王母吟
'yao'ci 繇辞
'yao'ci'suo'shu 繇辞所述
'yao'gai'wei 要改为
'yao'jiang'ci'tiao'fang'dao'zui'hou 谣将此条放到最后
'yao'jie 尧戒
'yao'le'lu 谣乐录
'yao'ren'zou 钥人奏
'yao'sheng'zhe'zu 肴升折俎
'yao'shi'kang'qu'tong'yao 尧时康衢童谣
'yao'shun'qian'zhong 尧舜千钟
'yao'shun'zhi'sheng 尧舜至圣
'yao'wang'qin'chuan 遥望秦川
'yao'wang'qin'zhou 遥望秦州
'yao'yao'kong'xi'bu'zhi'chao 摇摇恐夕不至朝
'yao'yao'zhe'yi'que 峣峣者易缺
'ye'ban'bei'ming'xi 夜半悲鸣兮
'ye'mei'zao'zuo 夜寐蚤作
'ye'min'ge 邺民歌
'ye'nv'cheng'kuang 也女承筐
'ye'qin'dan 野禽殚
'ye'ren'ge 野人歌
'ye'rong'duo'hou'fu 冶容多后福
'ye'wei'fu'qiu 野惟阜丘
'ye'ye'zi'zhi 晔晔紫芝
'ye'yi'fu'wai 掖以赴外
'ye'ying'shi'wei'zhu'ci 也应是为祝辞
'ye'you'xian'ling'xi'wei'shi'gong 邺有贤令兮为史公
'ye'zhang'ge 曳杖歌
'yi'ban'shi'song'dai'wei'zuo 一般是宋代伪作
'yi'bang'yi'shi'yu'qi'shan 移邦邑适于岐山
'yi'bao'yi'bao'xi 以暴易暴兮
'yi'biao'wei'si'zhang 亦标为四章
'yi'bie'shi 忆别时
'yi'bo'le'wu 仪伯乐舞
'yi'bo'xin'gong'zhi'shi 以播新宫之诗
'yi'bu'fu 衣不覆
'yi'bu'jian'chou 亦不见丑
'yi'bu'ke'zhi'ye 亦不可支也
'yi'bu'lei'wu 议不累物
'yi'bu'lei'wu'er'ju 议不累物二句
'yi'bu'yong'ruo'yan 已不用若言
'yi'bu'zhu'cai 义不主财
'yi'cheng'jue'de 以成厥德
'yi'chi'bu 一尺布
'yi'chi'zeng 一尺缯
'yi'chong'hou'gong 以充后宫
'yi'ci'si'shi'zhi'sheng 以此四时之声
'yi'ci'tiao 亦此条
'yi'dai'gu'sheng 以代古声
'yi'dai'suo'gui'xi 以待所归兮
'yi'dang'shu'xie'suo'zhi 亦当输写所知
'yi'di'de 依帝徳
'yi'di'zhi'cai 以地之财
'yi'ding'er'xiang 以定尔祥
'yi'dong'wei'xi'liu'si'hu 繄洞渭兮流澌濩
'yi'dou'su 一斗粟
'yi'er'yi'er 已而已而
'yi'fan'yi'ce'yi'bu'ke'bu'zhi 一反一侧亦不可不志
'yi'fei'ge'shi'ben'wen 已非歌诗本文
'yi'feng'ge 仪凤歌
'yi'fu'da'xue'wen 一副大学问
'yi'fu'liang'xin 一夫两心
'yi'gan'qi'huan'gong'shi 以干齐桓公事
'yi'ge'jiu'zhao 以歌九招
'yi'ge'shi'shuo 以歌饰说
'yi'gu'wei'ming 以瞽为明
'yi'gu'zhi'jin'zhe 以古制今者
'yi'guan'bo'qi'sheng 以管播其声
'yi'guan'kui'tian 以管窥天
'yi'guan'si'guo 以观四国
'yi'gui'gu'zi'zhi'wen 亦鬼谷子之文
'yi'guo'san'gong 一国三公
'yi'he'shi 已核实
'yi'he'wei'jie 移河为界
'yi'he'wei'jie'zai'ji'lv 移河为界在济吕
'yi'he'wei'jie'zai'qi'lv 移河为界在齐吕
'yi'hou'kun'xi 遗后昆兮
'yi'hou'wei'zuo'ye 以后伪作也
'yi'hu'er'bei'xiao 倚戸而悲啸
'yi'hu'qian'jin 一壶千金
'yi'hu'wu'hu 医乎巫乎
'yi'hu'yi'hu 已乎已乎
'yi'hu'yu'kou 以糊余口
'yi'ji'shan'you'qiu 疑即山有蓲
'yi'ji'wei'xiong 以吉为凶
'yi'jia'yu'tian 宜稼于田
'yi'jia'yu'wei'zheng'wen 以家语为正文
'yi'jian 亦见
'yi'jian'qi'shan 以见其善
'yi'jian'shang'shu'da'zhuan 亦见尚书大传
'yi'jian'yan'yun'yun 以谏焉云云
'yi'jian'zhi'yin 以见知隐
'yi'jie'hou'shi'zi'sun 以戒后世子孙
'yi'jin'qi'li 以尽其力
'yi'jing'zi'zhao 以镜自照
'yi'jing'zi'zhao'jian'xing'rong 以镜自照见形容
'yi'jue'zi'sun 贻厥子孙
'yi'ke'yan 亦可验
'yi'lan'cao 猗兰操
'yi'li 仪礼
'yi'li'bian'zhen'yan'zhi 依离变震言之
'yi'li'ce'hai 以蠡测海
'yi'li'yan'li 仪礼燕礼
'yi'li'zhi'zhen 亦离之震
'yi'li'zhu'shu 仪礼注疏
'yi'lin 意林
'yi'lin'yi 意林一
'yi'long'wei'cong 以聋为聪
'yi'lou 遗漏
'yi'lu'jue'pei'zhi'ye 肊鹿絶辔之野
'yi'luan'liu'song 遗卵流娀
'yi'luan'yi'luan 以乱易乱
'yi'ming 一名
'yi'ming 衣铭
'yi'ming'e'na'xia 一名遏纳夏
'yi'ming'er'lou 一命而偻
'yi'ming'qu 一名渠
'yi'ming'zhi'sheng 伊鸣之声
'yi'mo'wei'si'ju'wei 以末尾四句为
'yi'mo'yu'gan'wu 亦莫余敢侮
'yi'nan'yi'bei 一南一北
'yi'neng'sheng'yu 一能胜予
'yi'nv'zeng'sun'zhu'hou'bai'fu 贻女曾孙诸侯百福
'yi'pian'da'wen'zhang 一篇大文章
'yi'pin'qiu'fu'nong 以贫求富农
'yi'qi'bu'liang'xiong 一栖不两雄
'yi'qi'shi'la'ci 伊耆氏蜡辞
'yi'qi'shi'shi'la 伊耆氏始蜡
'yi'qi'wei 以其为
'yi'qiu'cheng 衣裘成
'yi'qu'wei'zhi 以曲为直
'yi'ren'da'ge 役人答歌
'yi'ren'san'shi 一人三失
'yi'ren'yi'you'yan'yue 抑人亦有言曰
'yi'ren'you'ge 役人又歌
'yi'ren'zi'zhao'jian'ji'xiong 以人自照见吉凶
'yi'ri'shi'xiong 一日失雄
'yi'shan'ke'shi'ming 峄山刻石铭
'yi'she'cong'zhi 一蛇从之
'yi'she'du'yuan 一蛇独怨
'yi'she'ge'gu 一蛇割股
'yi'she'qi'gan 一蛇鬐干
'yi'she'wu'xue 一蛇无穴
'yi'she'xiu'zhi 一蛇羞之
'yi'shen'jiang'lao 一身将老
'yi'shen'jiu'wei'chang'xi 一身九尾长兮
'yi'sheng'su 一升粟
'yi'shi 一诗
'yi'shi 疑是
'yi'shi 逸诗
'yi'shi'shang'guo 以食上国
'yi'shi'wei'fei 以是为非
'yi'shi'wei'xian'qin'wen 亦视为先秦文
'yi'shi'yao 懿氏繇
'yi'shi'ye 逸诗也
'yi'shi'yu'ci'mo'er'ju'lue'tong 逸诗与此末二句略同
'yi'shi'yue 逸诗曰
'yi'shou 亦收
'yi'shou'wei'biao'ming'chu'chu 亦收未标明出处
'yi'shu'wei'yu'zhe 以书为御者
'yi'shui'ge 易水歌
'yi'shuo'yuan'wei'yi'wen 以说苑为异文
'yi'si'shi'yong'shen'me'ci'wo 意思是用什么赐我
'yi'song 鹥诵
'yi'sui'shu'she 一岁数赦
'yi'sui'zhi'zheng 以岁之正
'yi'wei 易纬
'yi'wei'biao'zhu'chu'chu 亦未标注出处
'yi'wei'bu'xin 以为不信
'yi'wei'chang'bu'ke 亦未尝不可
'yi'wei'chi'zhu 以为絺纻
'yi'wei'de'jiu 遗为徳咎
'yi'wei'er'guo'you 以为二国忧
'yi'wei'gong'ye 易为工也
'yi'wei'hui'xi 宜为惠兮
'yi'wei'ji 以为即
'yi'wei'kun'ling'tu 易纬坤灵图
'yi'wei'mo'ji'ruo 以为莫己若
'yi'wei'qi'ming 亦惟其名
'yi'wei'qiu'fu 易为求福
'yi'wei'shu'rou 易为黍肉
'yi'wei'su'qin'zhi'shi'qin'yu 以为苏秦之诗秦语
'yi'wei'wo'yin 以为幄茵
'yi'wei'yi'shi 疑为佚诗
'yi'wei'yin'gu'yu 易纬引古语
'yi'wen 佚文
'yi'wen 异文
'yi'wen'lei'ju 艺文类聚
'yi'wu'can'fu'er'zi'zhe'hu 以吾参夫二子者乎
'yi'wu'huang 亦无衁
'yi'wu'huang'ye 亦无衁也
'yi'wu'kuang'ye 亦无贶也
'yi'xi'wei'xi 猗兮违兮
'yi'xi'xin'ti'zhi 以细心体之
'yi'xi'yi'dong 一西一东
'yi'xing'qi'de 以行其徳
'yi'xing'shu'yu 以兴庶虞
'yi'xing'su'xi'peng'lai'shan 移形素兮蓬莱山
'yi'xun'yi'you 一熏一莸
'yi'ya 易牙
'yi'ya'yi'nan 以雅以南
'yi'yan'da'guo 裔焉大国
'yi'yan'fu'mu 以晏父母
'yi'yan'fu'mu'wo'xin'bo'xi 以晏父母我心博兮
'yi'yan'fu'mu'wo'xin'tuan 以晏父母我心慱
'yi'yan'yi'she 以燕以射
'yi'yang'jiu'de 以养九德
'yi'yao'zhan 易妖占
'yi'yi'ao'xiang'bi'feng'huang'xi 翼翼翱翔彼凤凰兮
'yi'yi'jin'ji'ming'zhi'lei'ye 疑亦巾机铭之类也
'yi'yi'yan'er'zi'yi'xiang'xia'du 以裔焉二字宜向下读
'yi'yin'tui'er'xian'ju 伊尹退而闲居
'yi'yin'yi'yu 以阴以雨
'yi'yong'yun'zhi'zhi 以用韵知之
'yi'you'ge'shi 亦有歌诗
'yi'you'ming'bai 意尤明白
'yi'you'qi'li'bao'qi 亦有奇丽宝器
'yi'you'yi'yu 一游一豫
'yi'yu 已与
'yi'yu 衣与
'yi'yu 衣欤
'yi'yu'cong'jun 意欲从君
'yi'yu'miu'yu 衣与缪与
'yi'yu'miu'yu'bu'nv'liao 衣与缪与不女聊
'yi'yuan'bu'liang'jiao 一渊不两蛟
'yi'yuan'bu'liang'jiao 一渊不两鲛
'yi'yuan'si 异苑四
'yi'yue 易曰
'yi'yue'chen'you'gao'ju 亦曰晨游高举
'yi'yue'zhi'ling 以月之令
'yi'yun'yu'chu'zhi 以韵语出之
'yi'zai'yi'zai 已哉已哉
'yi'zheng'bu'fu 以征不服
'yi'zheng'yue'shuo'ri 以正月朔日
'yi'zhi'jing'ye 义之经也
'yi'zhi'yu'jia 宜之于假
'yi'zhong'zhi'qian 邑中之黔
'yi'zhou'dian'xian 益州颠县
'yi'zhou'shu 逸周书
'yi'zhou'shu'hui'xiao'ji'zhu 逸周书汇校集注
'yi'zhou'shu'quan'yi 逸周书全译
'yi'zhu'cai 义主财
'yi'zi'wu 榏字误
'yi'zu'yi'hao 亦足以豪
'yi'zu'yi'kui'qi'neng'fou 亦足以揆其能否
'yin'bi'yan 引鄙谚
'yin'bi'yu 引鄙语
'yin'chu'ren'yan 引楚人谚
'yin'cui'shi'yun 引崔寔云
'yin'da'li 银大理
'yin'dao'hun'hun'jin'zhuo'fan'xi 殷道溷溷浸浊烦兮
'yin'dong'bi'ze 阴冻毕泽
'yin'du'rong'xi 隐独荣兮
'yin'fu'ju'liu 因复俱流
'yin'gong'yuan'nian'chuan 隐公元年传
'yin'gu'wei'shu 引古微书
'yin'gu'yan 引古谚
'yin'gu'yao 引古谣
'yin'gu'yu 引古语
'yin'huang'di'yu 引黄帝语
'yin'huo'nv'da'ji 殷惑女妲己
'yin'jian'bu'yuan 殷监不远
'yin'jiang'yong 引江永
'yin'kang 殷康
'yin'ku'er'ge'zhi 因哭而歌之
'yin'man'zhi'yin 淫曼之音
'yin'min'hua'zhi 殷民化之
'yin'mo'yao 殷末谣
'yin'nan'ren'yan 引南人言
'yin'po 淫魄
'yin'qi'bi'ren'yan'yan 引齐鄙人谚言
'yin'qian'liang'ju 引前两句
'yin'qian'liang'ju'wei'yi'shi 引前两句为逸诗
'yin'qin'er'ge'yue 引琴而歌曰
'yin'ru'tu'mo'zhi'mo 音如涂抹之抹
'yin'shang 引商
'yin'shang'guo'yan 引上国言
'yin'shang'ke'yu 引商刻羽
'yin'sheng'ge 引声歌
'yin'shi'er'nian 隐十二年
'yin'shi'xing'li 因时兴利
'yin'shi'yi'nian 隐十一年
'yin'su'ge'yun 引俗歌云
'yin'su'yu 引俗语
'yin'wei'mei'you'wei'bei'tuo'fu 因为没有违背托付
'yin'xi 音兮
'yin'xian'sheng'yan 引先圣谚
'yin'xiang'zhong'shu 引相冢书
'yin'yan 引谚
'yin'yan'yan 引谚言
'yin'yi'shi 引逸诗
'yin'yin'tian'tian 隐隐闐闐
'yin'yin'tian'tian 隐隐阗阗
'yin'yin'zhou'shi'yu 引殷纣时语
'yin'you'bi'gan 殷有比干
'yin'yu 引语
'yin'yu 饮予
'yin'yu'da'ru'ma 淫预大如马
'yin'yu'da'ru'ma 滛预大如马
'yin'yu'da'ru'xiang 淫预大如象
'yin'yu'da'ru'xiang 滛预大如象
'yin'yu'ge 滛豫歌
'yin'yu'yi'yun 引玉一韵
'yin'zhong'ji'lu'yi'ju 引中辑录佚句
'yin'zhou'shi 引周诗
'yin'zhou'yan 引周谚
'yin'zuo'zhuan 引左传
'ying'dang'tiao 应当条
'ying'gao'yin'yu 应高引语
'ying'ming 楹铭
'ying'ping 应苹
'ying'qu 应璩
'ying'ri'ci 迎日辞
'ying'ri'yu'dong'jiao 迎日于东郊
'ying'shao 应劭
'ying'shao'han'guan'yi'yin'li'yu 应劭汉官仪引里语
'ying'shao'yan'yu'yin 应劭谚语引
'ying'shao'yin'li'yu 应劭引俚语
'ying'shao'yin'li'yu 应劭引里语
'ying'ying'bu'jiu 荧荧不救
'ying'zhao'shi 应召诗
'yong'bing 用兵
'yong'bu'hui'yu'xia'jia 用不恢于夏家
'yong'luan'zhi'gu 用乱之故
'yong'nai'bao'zhi 永乃保之
'yong'neng'li'xi 永能厉兮
'yong'qi'jue'hou 永启厥后
'yong'shou'bao'zhi 永受保之
'yong'shou'hu'fu 永受胡福
'yong'si'qian'xi 永思骞兮
'yong'wei'zhu'ren 雍为主人
'yong'yan'xiao'si 永言孝思
'yong'yong'ming'gan 雍雍鸣鳱
'yong'yong'ming'yan 噰噰鸣雁
'yong'yong'wu'ji 永永无极
'yong'zhe'bu'ken'wei 用者不肯为
'yong'zhe'bu'ken'wei'yi'fu'chong 用者不肯为以富宠
'yong'zhui'huo'pi 用坠祸辟
'yong'zi'mai'ai'er'bu'shou 佣自卖哀而不售
'you'bi'lao'jing 幽闭牢穽
'you'bing'bu'zhi 有病不治
'you'bu'ren'qi'sheng 有不任其声
'you'cheng'wei'ge 又称为歌
'you'chou'yuan'kuang 幽愁怨旷
'you'chu'wei'zhi'jian'ye 诱初未之见也
'you'ci'ji'fang 有此冀方
'you'ci'si'ju 有此四句
'you'cuo'zhi'dong'lv 又斮之东闾
'you'de 有的
'you'dian'you'ze 有典有则
'you'er'qing'liang 幽而清凉
'you'fan'niu'ge 又饭牛歌
'you'fang'qi'jian'he'suo'que'lv 游放其间何所却虑
'you'feng'nian'zhi'yong 有丰年之咏
'you'feng'you'huang 有凤有凰
'you'fu'chu'zheng 有夫出征
'you'fu'you'ke 有斧有柯
