'ai'e'xiang'gong'er'ji'xiong'sheng 爱恶相攻而吉凶生
'ren'zhi'suo'zhu'zhe 人之所助者
'ri'jin'wu'jiang 日进无疆
'ri'ke'jian'zhi'xing'ye 日可见之行也
'ri'wang'ze'yue'lai 日往则月来
'ri'xin'qi'de 日新其德
'ri'xin'zhi'wei'sheng'de 日新之谓盛德
'ri'yi'xuan'zhi 日以晅之
'ri'yue'de'tian 日月得天
'ri'yue'li'hu'tian 日月丽乎天
'ri'yue'xiang'tui'er'ming'sheng'yan 日月相推而明生焉
'ri'yue'yun'xing 日月运行
'ri'yue'zhi'dao 日月之道
'ri'ze'zhi'li 日昃之离
'ri'zhong'jian'dou 日中见斗
'ri'zhong'jian'mei 日中见昧
'ri'zhong'wei'shi 日中为市
'ri'zhong'ze'ze 日中则昃
'rong'bao'min'wu'jiang 容保民无疆
'rong'ru'zhi'zhu'ye 荣辱之主也
'rou'bian'gang'ye 柔变刚也
'rou'cheng'gang'ye 柔乘刚也
'rou'cheng'wu'gang'ye 柔乘五刚也
'rou'dao'qian'ye 柔道牵也
'rou'de'wei 柔得位
'rou'de'wei'de'zhong 柔得位得中
'rou'de'wei'hu'wai'er'shang'tong 柔得位乎外而上同
'rou'de'zhong 柔得中
'rou'de'zhong'er'shang'xing 柔得中而上行
'rou'de'zhong'hu'wai 柔得中乎外
'rou'de'zhong'ye 柔得中也
'rou'de'zun'wei 柔得尊位
'rou'jie'shun'hu'gang 柔皆顺乎刚
'rou'jin'er'shang'xing 柔进而上行
'rou'lai'er'wen'gang 柔来而文刚
'rou'li'hu'zhong'zheng 柔丽乎中正
'rou'lv'gang'ye 柔履刚也
'rou'mu'wei'lei 揉木为耒
'rou'shang'er'gang'xia 柔上而刚下
'rou'shun'li'zhen 柔顺利贞
'rou'yi'shi'sheng 柔以时升
'rou'yu'gang'ye 柔遇刚也
'rou'zai'nei'er'gang'de'zhong 柔在内而刚得中
'rou'zai'xia'ye 柔在下也
'rou'zhi'wei'dao 柔之为道
'ru'er'hou'shuo'zhi 入而后说之
'ru'lin'fu'mu 如临父母
'ru'qi'shou 濡其首
'ru'qi'shou'li 濡其首厉
'ru'qi'wei 濡其尾
'ru'si'er'yi'zhe'ye 如斯而已者也
'ru'ye 入也
'ru'you'yi'ru 繻有衣袽
'ru'yu'kan'dan 入于坎窞
'ru'yu'qi'gong 入于其宫
'ru'yu'xue 入于穴
'ru'yu'you'gu 入于幽谷
'ru'yu'yuan'ye 入于渊也
'ru'yu'zuo'fu 入于左腹
'run'wan'wu'zhe 润万物者
'run'zhi'yi'feng'yu 润之以风雨
'ruo'fu'za'wu'zhuan'de 若夫杂物撰德
'ruo'hao'yi'wo'wei'xiao 若号一握为笑
'ruo'ru'you'yun 若濡有愠
'san'cai'zhi'dao'ye 三才之道也
'san'duo'xiong 三多凶
'san'ji'zhi'dao'ye 三极之道也
'san'nian'ke'zhi 三年克之
'san'nian'you'shang'yu'da'guo 三年有赏于大国
'san'ren'xing 三人行
'san'ri'bu'shi 三日不食
'san'sui'bu'de 三岁不得
'san'sui'bu'jian 三岁不见
'san'sui'bu'xing 三岁不兴
'san'yu'wu 三与五
'san'ze'yi'ye 三则疑也
'sang'guo'hu'ai 丧过乎哀
'sang'ma'wu'zhu 丧马勿逐
'sang'niu'yu'yi 丧牛于易
'sang'qi'tong'pu 丧其童仆
'sang'qi'wu'shu 丧期无数
'sang'qi'zi'fu 丧其资斧
'sang'yang'yu'yi 丧羊于易
'shan'bu'guo'ye 善补过也
'shan'bu'ji 善不积
'shan'di'bo 山地剥
'shan'feng'gu 山风蛊
'shan'fu'di'shang 山附地上
'shan'huo'ben 山火贲
'shan'lei'yi 山雷颐
'shan'mu'wei'ji 剡木为楫
'shan'mu'wei'shi 剡木为矢
'shan'shang'you'huo 山上有火
'shan'shang'you'lei 山上有雷
'shan'shang'you'mu 山上有木
'shan'shang'you'shui 山上有水
'shan'shang'you'ze 山上有泽
'shan'shi'er'bu'fa 善世而不伐
'shan'shui'meng 山水蒙
'shan'su 善俗
'shan'tian'da'chu 山天大畜
'shan'xia'chu'quan 山下出泉
'shan'xia'you'feng 山下有风
'shan'xia'you'huo 山下有火
'shan'xia'you'lei 山下有雷
'shan'xia'you'xian 山下有险
'shan'xia'you'ze 山下有泽
'shan'ze'qian'li'zhi'wai'ying'zhi 善则千里之外应之
'shan'ze'sun 山泽损
'shan'ze'tong'qi 山泽通气
'shan'zhi'chang'ye 善之长也
'shang'bin'ye 尚宾也
'shang'bu'zai'tian 上不在天
'shang'da'ye 尚大也
'shang'dai'ye 上逮也
'shang'de'zai 尚德载
'shang'de'zhi'ye 上得志也
'shang'dong'xia'yu 上栋下宇
'shang'dui 商兑
'shang'gang'xia'xian 上刚下险
'shang'gu'jie'sheng'er'zhi 上古结绳而治
'shang'gu'xue'ju'er'ye'chu 上古穴居而野处
'shang'he'zhi'ye 上合志也
'shang'he'zhi'ye 尚合志也
'shang'huo'xia'ze 上火下泽
'shang'jiu 上九
'shang'jiu'yue 上九曰
'shang'kou'nai'qiong'ye 尚口乃穷也
'shang'liu 上六
'shang'liu'shi'dao 上六失道
'shang'liu'wu'shi 上六无实
'shang'liu'yin'dui 上六引兑
'shang'lv'bu'xing 商旅不行
'shang'man'xia'bao 上慢下暴
'shang'ni'er'xia'shun'ye 上逆而下顺也
'shang'qiong'lin'ye 上穷吝也
'shang'qiong'ye 上穷也
'shang'shi'guang'ye 上施光也
'shang'shi'zhong'ye 上使中也
'shang'tian'xia'ze 上天下泽
'shang'wang'ye 尚往也
'shang'xia'bu'jiao 上下不交
'shang'xia'di'ying 上下敌应
'shang'xia'jiao 上下交
'shang'xia'shun'ye 上下顺也
'shang'xia'wu'chang 上下无常
'shang'xia'ying'ye 上下应也
'shang'xun'ye 上巽也
'shang'yi'hou'xia 上以厚下
'shang'yu'wai'zhe 伤於外者
'shang'zhi'ye 上治也
'shang'zhong'zheng'ye 尚中正也
'she'che'er'tu 舍车而徒
'she'er'ling'gui 舍尔灵龟
'she'gua'yi'jin'qing'wei 设卦以尽情伪
'she'ni'qu'shun 舍逆取顺
'she'zhi'yi'shi'wang 射雉一矢亡
'she'zhi'zhe'ren'ye 射之者人也
'shen'an'er'guo'jia'ke'bao'ye 身安而国家可保也
'shen'bi'wei 身必危
'shen'bu'hai'ye 慎不害也
'shen'er'hua'zhi 神而化之
'shen'er'ming'zhi 神而明之
'shen'nong'shi'mei 神农氏没
'shen'nong'shi'zuo 神农氏作
'shen'si'shu'ye'yi'wang 慎斯术也以往
'shen'suo'zhi'ye 慎所之也
'shen'ye'zhe 神也者
'shen'yi'zhi'lai 神以知来
'shen'zhi'zhi'ye 慎之至也
'sheng'de'da'ye'zhi'yi'zai 盛德大业至矣哉
'sheng'er'bu'yi 升而不已
'sheng'gong'ye 圣功也
'sheng'gua'zhong 升卦终
'sheng'jie 升阶
'sheng'qi'gao'ling 升其高陵
'sheng'ren'cheng'neng 圣人成能
'sheng'ren'gan'ren'xin'er'tian'xia'he'ping 圣人感人心而天下和平
'sheng'ren'heng'yi'xiang'shang'di 圣人亨以享上帝
'sheng'ren'jiu'yu'qi'dao 圣人久於其道
'sheng'ren'li'xiang'yi'jin'yi 圣人立象以尽意
'sheng'ren'nan'mian'er'ting'tian'xia 圣人南面而听天下
'sheng'ren'she'gua'guan'xiang 圣人设卦观象
'sheng'ren'suo'yi'chong'de'er'guang'ye'ye 圣人所以崇德而广业也
'sheng'ren'xiang'zhi 圣人象之
'sheng'ren'xiao'zhi 圣人效之
'sheng'ren'yang'xian 圣人养贤
'sheng'ren'yi'ci'xi'xin 圣人以此洗心
'sheng'ren'yi'ci'zhai'jie 圣人以此斋戒
'sheng'ren'yi'shen'dao'she'jiao 圣人以神道设教
'sheng'ren'yi'shun'dong 圣人以顺动
'sheng'ren'yi'tong'tian'xia'zhi'zhi 圣人以通天下之志
'sheng'ren'you'yi'jian'tian'xia'zhi'dong 圣人有以见天下之动
'sheng'ren'you'yi'jian'tian'xia'zhi'ze 圣人有以见天下之赜
'sheng'ren'ze'zhi 圣人则之
'sheng'ren'zhi'da'bao'yue'wei 圣人之大宝曰位
'sheng'ren'zhi'qing'xian'hu'ci 圣人之情见乎辞
'sheng'ren'zhi'suo'yi'ji'shen'er'yan'ji'ye 圣人之所以极深而研几也
'sheng'ren'zhi'zhi 圣人执之
'sheng'ren'zhi'zuo'yi'ye 圣人之作易也
'sheng'ren'zuo 圣人作
'sheng'sheng'zhi'wei'yi 生生之谓易
'sheng'xu'yi 升虚邑
'shi'bu'dang'ye 使不当也
'shi'cheng'liu'long 时乘六龙
'shi'cheng'liu'long'yi'yu'tian 时乘六龙以御天
'shi'chu'yi'lv 师出以律
'shi'chuan'you'xi 使遄有喜
'shi'dao'xiong'ye 失道凶也
'shi'de'wu'xu 失得勿恤
'shi'de'zhi'xiang'ye 失得之象也
'shi'er'heng'zhe'ye 始而亨者也
'shi'fu'mie'bi 噬肤灭鼻
'shi'gu 是故
'shi'gu'ke'yu'chou'zuo 是故可与酬酢
'shi'gu'qi'ci'wei 是故其辞危
'shi'gu'wei'zhi'xiang 是故谓之象
'shi'gu'wei'zhi'yao 是故谓之爻
'shi'gu'zhi'gui'shen'zhi'qing'zhuang 是故知鬼神之情状
'shi'gu'zhi'you'ming'zhi'gu 是故知幽明之故
'shi'gu'zi'tian'you'zhi 是故自天佑之
'shi'gua'zhong 师卦终
'shi'huo'yu'shi 师或舆尸
'shi'jia'jie'ye 失家节也
'shi'jiu'de 食旧德
'shi'jue'jue 视矍矍
'shi'ke 噬嗑
'shi'ke'er'heng 噬嗑而亨
'shi'ke'gua'zhong 噬嗑卦终
'shi'ke'shi'ye 噬嗑食也
'shi'kui'yang'wu'xue 士刲羊无血
'shi'la'rou 噬腊肉
'shi'lv'kao'xiang 视履考祥
'shi'lv'xiong'ye 失律凶也
'shi'min'bu'juan 使民不倦
'shi'min'yi'zhi 使民宜之
'shi'nian'nai'zi 十年乃字
'shi'nian'wu'yong 十年勿用
'shi'peng'zhi'gui'fu'ke'wei 十朋之龟弗克违
'shi'qi'dao'ye 失其道也
'shi'qi'shou'zhe'qi'ci'qu 失其守者其辞屈
'shi'qi'yi'ye 失其义也
'shi'qian'qin 失前禽
'shi'qian'qin'ye 失前禽也
'shi'qian'rou 噬乾肉
'shi'qian'zi 噬乾胏
'shi'qiu'shen'ye 始求深也
'shi'shang'xia'ye 失上下也
'shi'she'ye 时舍也
'shi'sheng'liang'yi 是生两仪
'shi'shi'ji'ye 失时极也
'shi'shou'qi'fu 实受其福
'shi'wei'guang'ye 施未光也
'shi'wei'xing'ye 施未行也
'shi'wei'zai'sheng 是谓灾眚
'shi'xiao'zi 失小子
'shi'xing'ze'xing 时行则行
'shi'yi 是以
'shi'yi'bu'huo'qi'shen 是以不获其身
'shi'yi'bu'ke'da'shi'ye 是以不可大事也
'shi'yi'chu'er'bu'huo 是以出而不获
'shi'yi'chu'pin'niu'ji'ye 是以畜牝牛吉也
'shi'yi'chu'ru'wu'ji 是以出入无疾
'shi'yi'da'heng 是以大亨
'shi'yi'da'sheng'yan 是以大生焉
'shi'yi'dong'er'you'hui'ye 是以动而有悔也
'shi'yi'guang'sheng'yan 是以广生焉
'shi'yi'heng'li'zhen 是以亨利贞
'shi'yi'jun'zhu'zi'jiang'yi'you'wei'ye 是以君主子将以有为也
'shi'yi'jun'zi'fu'yong'ye 是以君子弗用也
'shi'yi'jun'zi'shen'mi'er'bu'ye'ye 是以君子慎密而不也也
'shi'yi'kang'hou'yong'xi'ma'fan'shu 是以康侯用锡马蕃庶
'shi'yi'li'tian'zhi'dao 是以立天之道
'shi'yi'lv'hu'wei 是以履虎尾
'shi'yi'shun'hu'tian 是以顺乎天
'shi'yi'xiao'heng 是以小亨
'shi'yi'xiao'shi'ji 是以小事吉
'shi'yi'xiao'shi'ji'ye 是以小事吉也
'shi'yi'xiong'ye 是以凶也
'shi'yi'yuan'heng 是以元亨
'shi'yi'zi'tian'you'zhi 是以自天佑之
'shi'you 师忧
'shi'you'ba'bian'er'cheng'gua 十有八变而成卦
'shi'you'sheng'ren'zhi'dao'si'yan 是有圣人之道四焉
'shi'yu'shen'wu'yi'qian'min'yong 是与神物以前民用
'shi'ze'ye 失则也
'shi'zhang'fu 失丈夫
'shi'zhe'zhong'ye 师者众也
'shi'zhi'de 蓍之德
'shi'zhi'gan'ye 事之干也
'shi'zhi'ze'zhi 时止则止
'shi'zuo'ci 师左次
'shou'chu'shu'wu 首出庶物
'shou'fu'ye 受福也
'shou'zhi'jie'fu 受之介福
'shou'zi'jie'fu 受兹介福
'shu'bo'jian'jian 束帛戋戋
'shu'bu'jin'yan 书不尽言
'shu'ji'zhi'fa 枢机之发
'shu'wang'ze'han'lai 暑往则寒来
'shu'wang'zhe'shun 数往者顺
'shui'di'bi 水地比
'shui'feng'jing 水风井
'shui'huo'bu'xiang'she 水火不相射
'shui'huo'ji'ji 水火既济
'shui'huo'xiang'xi 水火相息
'shui'jian'zhi 水洊至
'shui'lei'tun 水雷屯
'shui'liu'er'bu'ying 水流而不盈
'shui'liu'shi 水流湿
'shui'shan'jian 水山蹇
'shui'tian'xu 水天需
'shui'zai'huo'shang 水在火上
'shui'ze'jie 水泽节
'shun'bu'hai'ye 顺不害也
'shun'er'li'hu'da'ming 顺而丽乎大明
'shun'er'xun 顺而巽
'shun'er'zhi'zhi 顺而止之
'shun'hu'tian'er'ying'hu'ren 顺乎天而应乎人
'shun'shi'ye 顺事也
'shun'shi'zuo 舜氏作
'shun'tian'ming'ye 顺天命也
'shun'tian'xiu'ming 顺天休命
'shun'xiang'bao'ye 顺相保也
'shun'ye 顺也
'shun'yi'cong'jun'ye 顺以从君也
'shun'yi'cong'shang'ye 顺以从上也
'shun'yi'dong 顺以动
'shun'yi'shuo 顺以说
'shun'yi'ting'ye 顺以听也
'shun'yi'xun'ye 顺以巽也
'shun'yi'ze'ye 顺以则也
'shun'zai'wei'ye 顺在位也
'shuo'er'hou'san'zhi 说而后散之
'shuo'er'li'hu'ming 说而丽乎明
'shuo'er'shun 说而顺
'shuo'er'xun 说而巽
'shuo'er'ying'hu'qian 说而应乎乾
'shuo'gua'chuan 说卦传
'shuo'guo'bu'shi 硕果不食
'shuo'shu'zhen'li 硕鼠贞厉
'shuo'shuo'zhong'ji 愬愬终吉
'shuo'wan'wu'zhe 说万物者
'shuo'yan'hu'dui 说言乎兑
'shuo'ye 说也
'shuo'yi'dong 说以动
'shuo'yi'fan'nan 说以犯难
'shuo'yi'li'zhen 说以利贞
'shuo'yi'xian'min 说以先民
'shuo'yi'xing'xian 说以行险
'shuo'zhi'da 说之大
'si'duo'ju 四多惧
'si'qi'jiang'zhi 死期将至
'si'qi'suo'qu'zai 斯其所取灾
'si'ru 死如
'si'shi'bian'hua 四时变化
'si'xiang'sheng'ba'gua 四象生八卦
'si'ying'er'cheng'yi 四营而成易
'song'bi'you'zhong'qi 讼必有众起
'song'bu'ke'chang'ye 讼不可长也
'song'bu'ke'cheng'ye 讼不可成也
'song'bu'qin'ye 讼不亲也
'song'gua'zhong 讼卦终
'song'you'fu'zhi 讼有孚窒
'song'yuan'ji 讼元吉
'su'ji 夙吉
'su'lv 素履
'su'lv'zhi'wang 素履之往
'sui'bu'dang'wei 虽不当位
'sui'ding'tian'xia'zhi'xiang 遂定天下之象
'sui'feng 随风
'sui'gua'zhong 随卦终
'sui'ma'tian'di'zhi'wen 遂马天地之文
'sui'pan'huan 虽磐桓
'sui'wei'er'wu'jiu'yi 虽危而无咎矣
'sui'wei'wu'jiu'yi 虽危无咎矣
'sui'wu'gu'ye 随无故也
'sui'xiao'you'yan 虽小有言
'sui'xiong 虽凶
'sui'xiong'wu'jiu 虽凶无咎
'sui'xun'wu'jiu 虽旬无咎
'sui'you'huo 随有获
'sui'you'qiu'de 随有求得
'sui'you'xiao'yan 虽有小言
'sui'zhi'lai'wu 遂知来物
'sui'zhi'shi'yi'da'yi'zai 随之时义大矣哉
'sun'er'bu'yi 损而不已
'sun'er'you'fu 损而有孚
'sun'gang'yi'rou'you'shi 损刚益柔有时
'sun'gua'zhong 损卦终
'sun'qi'ji 损其疾
'sun'shang'yi'xia 损上益下
'sun'xia'yi'shang 损下益上
'sun'yi'sheng'shuai'zhi'shi'ye 损益盛衰之始也
'sun'yi'ying'xu 损益盈虚
'sun'zhe'qin'ye 隼者禽也
'suo'gui'mei'ye 所归妹也
'suo'le'er'wan'zhe 所乐而玩者
'suo'shang'nai'qiong'ye 所尚乃穷也
'suo'yi'duan'ye 所以断也
'suo'yi'gao'ye 所以告也
'suo'yi'jin'de'ye 所以进德也
'suo'yi'ju'ye'ye 所以居业也
'suo'yi'shi'ye 所以示也
'suo'zhi'xia'ye 所执下也
'tai'gua'zhong 泰卦终
'tai'zhe'tong'ye 泰者通也
'tan'ze'suo'yin 探赜索隐
'tang'wu'ge'ming 汤武革命
'teng'kou'shuo'ye 滕口说也
'ti'hao 惕号
'ti'zhong'ji 惕中吉
'tian'chui'xiang 天垂象
'tian'dao'kui'ying'er'yi'qian 天道亏盈而益谦
'tian'dao'xia'ji'er'guang'ming 天道下济而光明
'tian'de'bu'ke'wei'shou'ye 天德不可为首也
'tian'di'bi 天地闭
'tian'di'bian'hua 天地变化
'tian'di'bu'jiao 天地不交
'tian'di'ding'wei 天地定位
'tian'di'gan'er'wan'wu'hua'sheng 天地感而万物化生
'tian'di'ge'er'si'shi'cheng 天地革而四时成
'tian'di'ji'ye 天地际也
'tian'di'jiao'tai 天地交泰
'tian'di'jie 天地解
'tian'di'jie'er'si'shi'cheng 天地节而四时成
'tian'di'kui 天地睽
'tian'di'she'wei 天地设位
'tian'di'tai 天地泰
'tian'di'xiang'yu 天地相遇
'tian'di'yang'wan'wu 天地养万物
'tian'di'yi'shun'dong 天地以顺动
'tian'di'yin'yun 天地絪緼
'tian'di'ying'xu 天地盈虚
'tian'di'zhi'da'de'yue'sheng 天地之大德曰生
'tian'di'zhi'da'yi'ye 天地之大义也
'tian'di'zhi'dao 天地之道
'tian'di'zhi'za'ye 天地之杂也
'tian'feng'gou 天风姤
'tian'huo'san'hu 田获三狐
'tian'huo'san'pin 田获三品
'tian'huo'tong'ren 天火同人
'tian'ji'xiang'ye 天际翔也
'tian'jiu'di'shi 天九地十
'tian'lei'wu'wang 天雷无妄
'tian'ming'bu'you 天命不佑
'tian'qi'di'ba 天七地八
'tian'qie'fu'wei 天且弗违
'tian'san'di'si 天三地四
'tian'shan'dun 天山遯
'tian'sheng'shen'wu 天生神物
'tian'shi'di'sheng 天施地生
'tian'shu'er'shi'you'wu 天数二十有五
'tian'shu'wu 天数五
'tian'shui'song 天水讼
'tian'wen'ye 天文也
'tian'wu'di'liu 天五地六
'tian'wu'qin 田无禽
'tian'xia'da'xing'ye 天下大行也
'tian'xia'he'si'he'lv 天下何思何虑
'tian'xia'lei'xing 天下雷行
'tian'xia'ping'ye 天下平也
'tian'xia'tong'gui'er'shu'tu 天下同归而殊途
'tian'xia'wen'ming 天下文明
'tian'xia'you'feng 天下有风
'tian'xia'you'shan 天下有山
'tian'xia'zhi'dong 天下之动
'tian'xia'zhi'li'de 天下之理得
'tian'xia'zhi'neng'shi'bi'yi 天下之能事毕矣
'tian'xia'zhi'ye 天下治也
'tian'xia'zhi'zhi'jian'ye 天下之至健也
'tian'xia'zhi'zhi'shun'ye 天下之至顺也
'tian'xian'bu'ke'sheng'ye 天险不可升也
'tian'xing'jian 天行健
'tian'xing'ye 天行也
'tian'xuan'er'di'huang 天玄而地黄
'tian'yi'di'er 天一地二
'tian'you'qin 田有禽
'tian'yu'huo 天与火
'tian'yu'shui'wei'xing 天与水违行
'tian'zai'shan'zhong 天在山中
'tian'zao'cao'mei 天造草昧
'tian'ze'lv 天泽履
'tian'zhi'dao'ye 天之道也
'tian'zhi'ming'ye 天之命也
'tian'zhi'suo'zhu'zhe 天之所助者
'tian'zun'di'bei 天尊地卑
'tong'bian'zhi'wei'shi 通变之谓事
'tong'gong'er'yi'wei 同功而异位
'tong'guan 童观
'tong'hu'zhou'ye'zhi'dao'er'zhi 通乎昼夜之道而知
'tong'meng 童蒙
'tong'meng'qiu'wo 童蒙求我
'tong'meng'zhi'ji 童蒙之吉
'tong'qi'bian 通其变
'tong'qi'xiang'qiu 同气相求
'tong'ren 同人
'tong'ren'gua'zhong 同人卦终
'tong'ren'qin'ye 同人亲也
'tong'ren'yu'jiao 同人于郊
'tong'ren'yu'men 同人于门
'tong'ren'yu'ye 同人于野
'tong'ren'yu'zong 同人于宗
'tong'ren'yue 同人曰
'tong'ren'zhi'xian 同人之先
'tong'sheng'xiang'ying 同声相应
'tong'shi'zhi'gu 童豕之牿
'tong'xin'zhi'yan 同心之言
'tong'ze'jiu 通则久
'tu'ru'qi'lai'ru 突如其来如
'tuan'yue 彖曰
'tuan'zhe 彖者
'tuan'zhe'cai'ye 彖者材也
'tui'cang'yu'mi 退藏於密
'tui'er'xing'zhi 推而行之
'tui'er'xing'zhi'wei'zhi'tong 推而行之谓之通
'tun'gua'zhong 屯卦终
'tun'jian'er'bu'shi'qi'ju 屯见而不失其居
'tun'kun'yu'zhu'mu 臀困于株木
'tun'qi'gao 屯其膏
'tun'ru'zhan'ru 屯如邅如
'tun'wu'fu 臀无肤
'tun'yu'ji 豚鱼吉
'tun'zhe'wu'zhi'shi'sheng'ye 屯者物之始生也
'tun'zhe'ying'ye 屯者盈也
'wai'bi'yu'xian 外比於贤
'wai'bi'zhi 外比之
'wai'nei'shi'zhi'ju 外内使知惧
'wan'guo'xian'ning 万国咸宁
'wan'min'fu'ye 万民服也
'wan'min'yi'cha 万民以察
'wan'min'yi'ji 万民以济
'wan'wu'chu'hu'zhen 万物出乎震
'wan'wu'hua'chun 万物化醇
'wan'wu'hua'sheng 万物化生
'wan'wu'jie'xiang'jian 万物皆相见
'wan'wu'jie'zhi'yang'yan 万物皆致养焉
'wan'wu'kui 万物睽
'wan'wu'zhi'suo'cheng 万物之所成
'wan'wu'zhi'suo'gui'ye 万物之所归也
'wan'wu'zhi'suo'shuo'ye 万物之所说也
'wan'wu'zi'sheng 万物资生
'wan'wu'zi'shi 万物资始
'wan'you'yi'qian'wu'bai'er'shi 万有一千五百二十
'wang'bu'sheng'wei'lin 往不胜为吝
'wang'chen'jian'jian 王臣蹇蹇
'wang'de'yi'ji 往得疑疾
'wang'de'zhong'ye 往得中也
'wang'de'zhong'ye 往得众也
'wang'fu 罔孚
'wang'gong'she'xian'yi'shou'qi'guo 王公设险以守其国
'wang'he'jiu 往何咎
'wang'ji 往吉
'wang'ji'wu'bu'li 往吉无不利
'wang'jia'you'jia 王假有家
'wang'jia'you'miao 王假有庙
'wang'jia'zhi 王假之
'wang'jian 往蹇
'wang'jian'lai'fan 往蹇来反
'wang'jian'lai'lian 往蹇来连
'wang'jian'lai'shuo 往蹇来硕
'wang'jian'lai'yu 往蹇来誉
'wang'jian'lin 往见吝
'wang'ju'wu'jiu 王居无咎
'wang'lai'bu'qiong'wei'zhi'tong 往来不穷谓之通
'wang'lai'jing'jing 往来井井
'wang'li'bi'jie 往厉必戒
'wang'lin 往吝
'wang'lin'qiong'ye 往吝穷也
'wang'ming 王明
'wang'nai'zai'zhong'ye 王乃在中也
'wang'san'xi'ming 王三锡命
'wang'wei'de'ye 往未得也
'wang'wu'jiu 往无咎
'wang'yong'chu'zheng 王用出征
'wang'yong'heng'yu'qi'shan 王用亨于岐山
'wang'yong'heng'yu'xi'shan 王用亨于西山
'wang'yong'san'qu 王用三驱
'wang'yong'xiang'yu'di 王用享于帝
'wang'you'gong'ye 往有功也
'wang'you'qing'ye 往有庆也
'wang'you'shang 往有尚
'wang'you'shi'ye 往有事也
'wang'yu'yu'ze'ji 往遇雨则吉
'wang'zhe 亡者
'wang'zhe'qu'ye 往者屈也
'wei'an'shang'ye 未安上也
'wei'bai 为白
'wei'bang 为蚌
'wei'bei'ye 未悖也
'wei'bian'chang'ye 未变常也
'wei'bian'suo'shi 唯变所适
'wei'bie 为鳖
'wei'bing 为冰
'wei'bing 为柄
'wei'bo'ma 为驳马
'wei'bo'ti 为薄蹄
'wei'bu 为布
'wei'bu'dang'ye 位不当也
'wei'bu'guo 为不果
'wei'cang'lang'zhu 为苍筤竹
'wei'chi 为赤
'wei'chou 为臭
'wei'chu'zhong'ye 未出中也
'wei'da'chi 为大赤
'wei'da'fu 为大腹
'wei'da'shi'ye 未大失也
'wei'da'tu 为大涂
'wei'da'yu 为大舆
'wei'dang'wei'ye 未当位也
'wei'dang'ye 位当也
'wei'dang'ye 未当也
'wei'dao 为盗
'wei'dao'ye 为道也
'wei'de'sang 为的颡
'wei'de'wei'ye 未得位也
'wei'de'zhong'ye 未得中也
'wei'dian 为电
'wei'ding'zuan 为丁躜
'wei'duo'bai'yan 为多白眼
'wei'er'tong 为耳痛
'wei'fan'sheng 为反生
'wei'fan'xian 为蕃鲜
'wei'feng 为风
'wei'fu 为敷
'wei'fu 为父
'wei'fu 为釜
'wei'fu'jue 为附决
'wei'fu'ye 未富也
'wei'gan'hai'ye 未感害也
'wei'gao 为高
'wei'ge'bing 为戈兵
'wei'gong 为工
'wei'gong'lun 为弓轮
'wei'gou 为狗
'wei'gou'du 为沟渎
'wei'gua'fa 为寡发
'wei'guang'da'ye 未光大也
'wei'guang'sang 为广颡
'wei'guang'ye 未光也
'wei'gui 为龟
'wei'guo'luo 为果蓏
'wei'han 为寒
'wei'hu'tian'wei 位乎天位
'wei'huan 为圜
'wei'huan'wei 为萑苇
'wei'hui'zhe 为毁折
'wei'hun'si 为阍寺
'wei'ji 未济
'wei'ji'gua'zhong 未济卦终
'wei'ji'ma 为瘠马
'wei'ji'nan'zhi'qiong'ye 未济男之穷也
'wei'ji'xin 为亟心
'wei'ji'ye 惟几也
'wei'ji'zheng'xiong 未济征凶
'wei'jia'you 为加忧
'wei'jia'zhou 为甲胄
'wei'jian'duo'jie 为坚多节
'wei'jian'duo'xin 为坚多心
'wei'jiao'rou 为矫輮
'wei'jin 为金
'wei'jin'li'shi'san'bei 为近利市三倍
'wei'jin'tui 为进退
'wei'jing'lu 为径路
'wei'jue'zao 为决躁
'wei'jun 为君
'wei'jun 为均
'wei'jun'zi'wei'neng'tong'tian'xia'zhi'zhi 唯君子为能通天下之志
'wei'ke'shang'gao 为科上槁
'wei'kou'she 为口舌
'wei'liang'ma 为良马
'wei'lin'jie'ye 畏邻戒也
'wei'lin'se 为吝啬
'wei'long 为龙
'wei'luo 为蠃
'wei'mei'ji 为美脊
'wei'men'que 为门阙
'wei'mu 为母
'wei'mu'guo 为木果
'wei'ning 未宁
'wei'qi'shi'wu'ye 唯其时物也
'wei'qi'xian'yu'wu'yang'ye 为其嫌於无阳也
'wei'qian'gua 为乾卦
'wei'qian'hui'zhi'shu 为黔喙之属
'wei'qie 为妾
'wei'ri 为日
'wei'ru 威如
'wei'ru'yu'lin'zhong 惟入于林中
'wei'ru'zhi'ji 威如之吉
'wei'shan'ming 为善鸣
'wei'shao'nv 为少女
'wei'shen'ye 惟深也
'wei'shen'ye 惟神也
'wei'sheng'zhi 为绳直
'wei'shi'chang'ye 未失常也
'wei'shi'dao'ye 未失道也
'wei'shi'ye 未失也
'wei'shi'zheng'ye 未失正也
'wei'shou'ming'ye 未受命也
'wei'shu 为鼠
'wei'shun'ming'ye 未顺命也
'wei'tong 为通
'wei'tui'ting'ye 未退听也
'wei'wan'wu 唯万物
'wei'wen 为文
'wei'wo'min'ce 为我民恻
'wei'wu 为巫
'wei'xia'shou 为下首
'wei'xiao'shi 为小石
'wei'xie 为蟹
'wei'xin'bing 为心病
'wei'xin'heng 维心亨
'wei'xing'ye 危行也
'wei'xuan'huang 为玄黄
