'a'duo'na'er 阿多纳尔
'xi'la'pan'ni'ao'ni'ao'si 希腊潘尼奥尼奥斯
'xi'meng'si 西蒙斯
'xi'mu'ji 希姆基
'xi'mu'si 希姆斯
'xi'nan'qu 西南区
'xi'nan'sai'qu 西南赛区
'xi'ya'tu'chao'yin'su 西雅图超音速
'xi'ya'tu'chao'yin'su'dui 西雅图超音速队
'xi'ye'na'meng'te'pa'xi 西耶纳蒙特帕希
'xia'ban'chang 下半场
'xia'luo'te'shan'mao 夏洛特山猫
'xia'luo'te'ti'yu'guan 夏洛特体育馆
'xian'fa'qiu'yuan 先发球员
'xian'fa'zhen'rong 先发阵容
'xiang'de'sen 享德森
'xiang'nong'bu'lang 香农布朗
'xiao'ao'ni'er 小奥尼尔
'xiao'en'ba'di'er 肖恩巴蒂尔
'xiao'en'li'wen'si'dun 肖恩利文斯顿
'xiao'en'ma'li'ang 肖恩马里昂
'xiao'en'wei'lian'mu'si 肖恩威廉姆斯
'xiao'niu 小牛
'xiao'qian'feng 小前锋
'xiao'qiu'zhan'shu 小球战术
'xie'er'dun'wei'lian'mu'si 谢尔顿威廉姆斯
'xie'fang 协防
'xie'li'bin 解立彬
'xie'li'fu'a'bu'du'la'xi'mu 谢里夫阿卜杜拉希姆
'xin'ao'er'liang'huang'feng 新奥尔良黄蜂
'xin'ao'er'liang'huang'feng'dui 新奥尔良黄蜂队
'xin'ao'er'liang'qiu'guan 新奥尔良球馆
'xin'ge'er'dun 辛格尔顿
'xin'ge'te'li 辛格特里
'xin'jiang'fei'hu 新疆飞虎
'xin'jiang'fei'hu'dui 新疆飞虎队
'xin'jiang'guang'hui 新疆广汇
'xin'jiang'guang'hui'dui 新疆广汇队
'xin'li'dun 辛历顿
'xin'li'qi 辛里奇
'xin'shi'ji'dui 新世纪队
'xin'xiu 新秀
'xin'xiu'di'yi'zhen'rong 新秀第一阵容
'xin'xiu'tiao'zhan'sai 新秀挑战赛
'xin'ze'xi'lan'wang 新泽西篮网
'xin'ze'xi'wang 新泽西网
'xing'lu 邢璐
'xiong'lu 雄鹿
'xiu'si'dun'huo'jian 休斯顿火箭
'xiu'si'dun'huo'jian 休斯敦火箭
'xu'guo'chong 徐国翀
'xu'lei 徐磊
'xu'xu 徐旭
'xu'zhong'hao 许钟豪
'xue'yu'yang 薛玉洋
'ya'dang'ha'lu'ka'si 亚当哈卢卡斯
'ya'dang'mo'li'sen 亚当莫里森
'ya'ke'he'ba 雅克赫巴
'ya'ke'he'ba'di'a'wa'la 雅克赫巴迪阿瓦拉
'ya'ke'wo'en 雅克沃恩
'ya'li'shan'da'pa'fu'luo'wei'qi 亚历山大帕夫洛维奇
'ya'li'shan'da'yue'han'xun 亚历山大约翰逊
'ya'luo'si'la'fu'ke'luo'le'fu 雅罗斯拉夫科罗勒夫
'ya'lv'lian'meng 亚旅联盟
'ya'te'lan'da'lao'ying 亚特兰大老鹰
'ya'te'lan'da'ying 亚特兰大鹰
'ya'te'lan'long 亚特兰龙
'ya'zhou'lan'qiu'lian'he'hui 亚洲篮球联合会
'ya'zhou'lian'meng'bei 亚洲联盟杯
'ya'zhou'lian'sai 亚洲联赛
'ya'zhou'nan'lan'jin'biao'sai 亚洲男篮锦标赛
'yan'chang'sai 延长赛
'yang'chao 杨超
'yang'geng'lin 杨庚霖
'yang'huai 杨槐
'yang'li 杨力
'yang'ming 杨鸣
'yang'qin 杨钦
'yang'wen'bo 杨文博
'yang'yu'ming 杨玉明
'yao'bai'ren 摇摆人
'yao'kai'fu 姚锴夫
'yao'ming 姚明
'yao'peng 姚鹏
'yao'qiu 要球
'yao'shi'qiu'chang 钥匙球场
'yao'wei 要位
'ye'er'tu'lun 耶尔土伦
'ye'lu'sa'leng'ha'bo'er 耶路撒冷哈勃尔
'ye'na'ke'xue'cheng 耶拿科学城
'ye'yu'lan'qiu'lian'meng 业余篮球联盟
'yi'da'li'ao'lan'duo 意大利奥兰多
'yi'da'li'jia'ji'lian'sai 意大利甲级联赛
'yi'da'li'kan'tu 意大利坎图
'yi'da'li'lan'qiu'jia'ji'lian'sai 意大利篮球甲级联赛
'yi'da'li'meng'te'ge'la'na'luo 意大利蒙特格拉纳罗
'yi'da'li'mi'lan'a'ma'ni 意大利米兰阿玛尼
'yi'da'li'si'ka'fa'di 意大利斯卡法蒂
'yi'da'li'si'ka'wo'li'ni 意大利斯卡沃里尼
'yi'da'li'tai'la'mo'na'wei'ge 意大利泰拉莫纳维格
'yi'da'li'wa'lei'ze 意大利瓦雷泽
'yi'dui'yi 一对一
'yi'er'ge'si'ka'si 伊尔格斯卡斯
'yi'ge'da'la 伊戈达拉
'yi'ge'da'la 伊格达拉
'yi'gu'ao'da'la 伊古奥达拉
'yi'hao'wei'zhi'qiu'yuan 一号位置球员
'yi'jian'lian 易建联
'yi'ke'di'ao'gu 伊克迪奥古
'yi'li 易立
'yi'man'niu'er'ji'nuo'bi'li 伊曼纽尔吉诺比利
'yi'si'tan'bu'er'ai'fei'si 伊斯坦布尔埃菲斯
'yi'si'te'ban'ba'di'si'ta 伊斯特班巴蒂斯塔
'yi'tan 伊坦
'yi'tan'tuo'ma'si 伊坦托马斯
'yi'wo'yi 伊沃伊
'yin'di'an'na'bu'xing'zhe 印第安纳步行者
'yin'di'an'na'bu'xing'zhe'dui 印第安纳步行者队
'yin'kui 尹逵
'you'de'li 尤德里
'you'du'ka 尤杜卡
'you'ta'jue'shi 尤他爵士
'you'ta'jue'shi 犹他爵士
'you'wen'tu'te 尤文图特
'yu'gao'feng 于高峰
'yu'jun'kai 遇俊锴
'yu'liang 于梁
'yu'ning 俞宁
'yu'xue'lin 于学林
'yue'han'ai'de'hua'zi 约翰爱德华兹
'yue'han'ha'fu'li'qie'ke 约翰哈夫利切克
'yue'han'lu'ka'si'san'shi 约翰卢卡斯三世
'yue'han'si'tuo'ke'dun 约翰斯托克顿
'yue'han'suo'meng'si 约翰索蒙斯
'yue'han'tuo'ma'si 约翰托马斯
'yue'han'xun 约翰逊
'yue'han'xun'san'shi 约翰逊三世
'yue'shi'bao'wei'er 约什鲍威尔
'yue'shi'bu'en 约什布恩
'yue'shi'huo'hua'de 约什霍华德
'yue'shi'ka'er'di'lun 约什卡尔迪伦
'yue'shi'shi'mi'si 约什史密斯
'yue'zui'jia 月最佳
'yun'nan'ben'niu 云南奔牛
'yun'nan'ben'niu'dui 云南奔牛队
'yun'nan'hong'he 云南红河
'yun'nan'hong'he'dui 云南红河队
'yun'qiu 运球
'zan'ting 暂停
'ze'lei'qi'ni'ke 泽雷齐尼克
'ze'ya'ke'lei'bu'la'ka 泽亚克雷布拉卡
'zha'ke'ka'ba'ka'pa 扎克卡巴卡帕
'zha'ke'lan'duo'fu 扎克兰多夫
'zha'yi'de'lu'na'si 扎伊德鲁纳斯
'zha'zha'pa'chu'li'ya 扎扎帕楚利亚
'zhai'jin'shuai 翟金帅
'zhan'ji 战绩
'zhan'ji'biao 战绩表
'zhan'mu'si 詹姆斯
'zhan'mu'si'ao'gu'si'ding 詹姆斯奥古斯丁
'zhan'mu'si'ao'gu'si'ting 詹姆斯奥古斯汀
'zhan'mu'si'bo'xi 詹姆斯波西
'zhan'mu'si'ku'li 詹姆斯库里
'zhan'mu'si'mei'si 詹姆斯梅斯
'zhan'mu'si'qiong'si 詹姆斯琼斯
'zhan'mu'si'wo'xi 詹姆斯沃西
'zhan'mu'si'xin'li'dun 詹姆斯辛历顿
'zhan'shu'jiao'lian 战术教练
'zhan'shu'pian 战术篇
'zhang'biao 张彪
'zhang'bo 张博
'zhang'cheng 张成
'zhang'da'yu 张大宇
'zhang'dong'yang 张东阳
'zhang'ji 张骥
'zhang'jin'song 张劲松
'zhang'jun'xiong 张俊雄
'zhang'kai 张凯
'zhang'nan 张楠
'zhang'qing'peng 张庆鹏
'zhang'rui 张睿
'zhang'shu 张术
'zhang'wei 张伟
'zhang'wei'ping 张卫平
'zhang'xiao'wei 张晓薇
'zhang'xue'wen 张学文
'zhang'yi 张翼
'zhang'yong 张勇
'zhang'yong'peng 张永鹏
'zhang'yun'song 张云松
'zhang'zhe 张喆
'zhang'zheng'wang 张正旺
'zhao'a'nan 赵阿南
'zhao'hang 赵杭
'zhao'nan 赵南
'zhao'tai'long 赵泰隆
'zhao'yong'gang 赵永刚
'zhao'zhi'nan 赵志男
'zhe'jiang'guang'sha 浙江广厦
'zhe'jiang'guang'sha'jian'she 浙江广厦建设
'zhe'jiang'guang'sha'jian'she'dui 浙江广厦建设队
'zhe'jiang'wan'ma 浙江万马
'zhe'jiang'wan'ma'dian'lan 浙江万马电缆
'zhe'jiang'wan'ma'dian'lan'dui 浙江万马电缆队
'zhe'jiang'wan'ma'dui 浙江万马队
'zheng'hai'xia 郑海霞
'zheng'qi'dui 蒸气队
'zheng'qiu 争球
'zheng'zhun 郑准
'zhi'chi'qiu'yuan 支持球员
'zhi'jia'ge'gong'niu 芝加哥公牛
'zhi'jia'ge'mu'lu 芝加哥牡鹿
'zhi'jia'ge'mu'lu'dui 芝加哥牡鹿队
'zhi'lan'lian'meng 职篮联盟
'zhi'ye'lan'qiu'lian'meng 职业篮球联盟
'zhong'bu'sai'qu 中部赛区
'zhong'chang 中场
'zhong'chang'xiu'xi 中场休息
'zhong'chang'xiu'xi'shi'jian 中场休息时间
'zhong'cheng 钟诚
'zhong'feng 中锋
'zhong'guo'lan'qiu'lian'meng 中国篮球联盟
'zhong'ju'li'tou'lan 中距离投篮
'zhong'tou 中投
'zhong'xin'qiu'guan 中心球馆
'zhong'yu 中宇
'zhou'peng 周鹏
'zhou'xue'feng 周雪峰
'zhou'zui'jia 周最佳
'zhu'an'di'ke'xun 朱安迪克逊
'zhu'chang 主场
'zhu'chang'bi'sai 主场比赛
'zhu'chang'you'shi 主场优势
'zhu'dui 主队
'zhu'fang'yu 朱芳雨
'zhu'gong 助功
'zhu'gong 助攻
'zhu'gong'wang 助攻王
'zhu'han'bo'te'luo 朱汉波特洛
'zhu'li'an'lai'te 朱利安赖特
'zhu'li'jiao'lian 助理教练
'zhu'li'ye'si'huo'ji 朱利叶斯霍吉
'zhu'li'ye'si'ou'wen 朱利叶斯欧文
'zhu'mei'yin'qiong'si 朱梅因琼斯
'zhu'shi'long 朱世龙
'zhu'wan'huo'hua'de 朱万霍华德
'zhu'yun'long 朱云龙
'zhuang'yuan'xiu 状元秀
'zhun'jue'sai 准决赛
'zi'shen'qiu'yuan 资深球员
'zong'guan'jun'jiang'bei 总冠军奖杯
'zong'jue'sai 总决赛
'zong'xiong 棕熊
'zou'bu 走步
'zu'ai'bi'sai'zheng'chang'jin'xing 阻碍比赛正常进行
'zu'dang'fan'gui 阻挡犯规
'zu'gong 阻攻
'zu'zhi'hou'wei 组织后卫
'zui'jia'di'liu'ren 最佳第六人
'zui'jia'fang'shou'qiu'yuan 最佳防守球员
'zui'jia'xin'xiu 最佳新秀
'zui'kuai'jin'bu'jiang 最快进步奖
'zui'kuai'jin'bu'qiu'yuan 最快进步球员
'zui'you'jia'zhi'qiu'yuan 最有价值球员
