'a'ba'du'lu'zhe'na 阿跋度路柘那
'yin'yi'pin 因异品
'yin'yin 因因
'yin'yong 吟咏
'yin'yu 印域
'yin'yu 淫欲
'yin'yu'bing 淫欲病
'yin'yu'huo 淫欲火
'yin'yu'ji'shi'dao 淫欲即是道
'yin'yuan 因圆
'yin'yuan 因源
'yin'yuan 因缘
'yin'yuan 隐元
'yin'yuan'bian 因缘变
'yin'yuan'chan'shi'yu'lu 隐元禅师语录
'yin'yuan'guan 因缘观
'yin'yuan'guo'man 因圆果满
'yin'yuan'he'cheng 因缘合成
'yin'yuan'lun 因缘轮
'yin'yuan'seng'hu'jing 因缘僧护经
'yin'yuan'sheng 因缘生
'yin'yuan'sheng'si 因缘生死
'yin'yuan'shi 因缘释
'yin'yuan'shi'yi 因缘释义
'yin'yuan'shuo 因缘说
'yin'yuan'wu 因缘舞
'yin'yuan'xing 因缘性
'yin'yuan'yi 因缘依
'yin'yuan'zhou 因缘周
'yin'yuan'zong 因缘宗
'yin'yue 音乐
'yin'yue'tian 音乐天
'yin'zheng'tai'zi 引正太子
'yin'zhi 印治
'yin'zhi 印纸
'yin'zhi'tong'shi 印纸同时
'yin'zhong'shuo'guo 因中说果
'yin'zhong'you'guo'zong 因中有果宗
'yin'zhou 印咒
'yin'zi'jin'gang'ju 因字金刚句
'yin'zi'sheng'jin'gang 因字生金刚
'yin'zong 印宗
'yin'zuo 引座
'ying'an 应庵
'ying'bao 应报
'ying'bao'bao'di 硬剥剥地
'ying'ben 应本
'ying'bing'yu'yao 应病与药
'ying'cao 影草
'ying'er'xing 婴儿行
'ying'fa 应法
'ying'fa'ji 应法记
'ying'fa'jing 应法经
'ying'fa'miao'fu 应法妙服
'ying'fa'sha'mi 应法沙弥
'ying'fo 应佛
'ying'fu'seng 应赴僧
'ying'gan 应感
'ying'gong 应供
'ying'gong 影供
'ying'guo 应果
'ying'hu 应护
'ying'hu 影护
'ying'hua 应化
'ying'hua'fa'shen 应化法身
'ying'hua'fo'pu'ti 应化佛菩提
'ying'hua'li'sheng 应化利生
'ying'hua'shen 应化身
'ying'hua'sheng'wen 应化声闻
'ying'huo'tian 荧惑天
'ying'huo'xing 荧惑星
'ying'ji 应迹
'ying'jia 应伽
'ying'jian 影坚
'ying'jie 迎接
'ying'jie'man'tuo'luo 迎接曼陀罗
'ying'ke'shi'zhe 应客侍者
'ying'li'yuan'shi'zong 应理圆实宗
'ying'li'zong 应理宗
'ying'liang'qi 应量器
'ying'lue'hu'xian 影略互显
'ying'luo 璎珞
'ying'luo'ben'ye'jing 璎珞本业经
'ying'luo'jie'mo 璎珞羯磨
'ying'luo'jing 璎珞经
'ying'luo'zhou 璎珞粥
'ying'mie'bin 应灭摈
'ying'neng 应能
'ying'qi 应器
'ying'ren 应人
'ying'shan 莹山
'ying'shen 应身
'ying'shen'tu 应身土
'ying'shen'yu'hua'shen'tong'yi 应身与化身同异
'ying'sheng 影胜
'ying'shi 影事
'ying'shou'shi 应受识
'ying'song 应颂
'ying'tang 影堂
'ying'tian 应天
'ying'tong'wu'wei'xin 婴童无畏心
'ying'tong'xin 婴童心
'ying'tu 应土
'ying'wen 应文
'ying'wu 鹦鹉
'ying'wu'che 鹦鹉车
'ying'wu'jian'wang 鹦鹉谏王
'ying'wu'jing 鹦鹉经
'ying'wu'jiu'shan'huo 鹦鹉救山火
'ying'wu'qing'fo 鹦鹉请佛
'ying'wu'shi 鹦鹉屎
'ying'wu'shuo'fa 鹦鹉说法
'ying'wu'ta 鹦鹉塔
'ying'wu'wen'fa 鹦鹉闻法
'ying'wu'xiao'yang 鹦鹉孝养
'ying'xian 应现
'ying'xian 影现
'ying'xiang 影像
'ying'xiang 影向
'ying'xiang'zhong 影向众
'ying'xiang'zhong 影响众
'ying'xing 应形
'ying'yi 应仪
'ying'ying 应应
'ying'yong'wu'bian 应用无边
'ying'zhen 应真
'ying'zheng'bian'zhi 应正遍知
'ying'zuo 应作
'yong'an 永安
'yong'bu'xian'xing'wei 永不现行位
'yong'chu 涌出
'yong'chu'pin 涌出品
'yong'chuang'la'jian 痈疮剌箭
'yong'da 用大
'yong'duan'xi'qi'zhi 永断习气智
'yong'hu 拥护
'yong'jia 永嘉
'yong'jia'ji 永嘉集
'yong'jie 永劫
'yong'jue 永觉
'yong'meng'jing'jin 勇猛精进
'yong'mie 用灭
'yong'ming 永明
'yong'ming'xin'fu'zhu 永明心赋注
'yong'ming'zhi'jue'chan'shi'wei'xin'jue 永明智觉禅师唯心诀
'yong'ning 永宁
'yong'ning'si 永宁寺
'yong'ping 永平
'yong'ping'qing'gui 永平清规
'yong'ping'yuan'he'shang'song'gu 永平元和尚颂古
'yong'quan 涌泉
'yong'sheng 永生
'yong'xin 用心
'yong'ye 永夜
'you'bi'cha 优毕叉
'you'bi'cha 忧毕叉
'you'bi'she 优毕舍
'you'bian 有边
'you'biao'se 有表色
'you'biao'ye 有表业
'you'bo 优钵
'you'bo 油钵
'you'bo'di'sha 优波底沙
'you'bo'di'shuo 优波弟铄
'you'bo'di'ye'ye 优波弟耶夜
'you'bo'ji'duo 优波笈多
'you'bo'ju'duo 优波鞠多
'you'bo'ke'luo 优波柯罗
'you'bo'li 优波离
'you'bo'luo 优钵罗
'you'bo'luo'bi'qiu'ni 优钵罗比丘尼
'you'bo'luo'chan 优波罗忏
'you'bo'luo'hua 优钵罗华
'you'bo'luo'long'wang 优钵罗龙王
'you'bo'luo'pan'na 优钵罗盘那
'you'bo'mo'na 优波摩那
'you'bo'na'he 优波那诃
'you'bo'nan'tuo 优波难陀
'you'bo'ni'sha'tuo 优波尼沙陀
'you'bo'po'suo 优波婆娑
'you'bo'shan'duo 优波扇多
'you'bo'si'na 优波斯那
'you'bo'suo'jia 优波娑迦
'you'bo'ti'she 优波提舍
'you'bo'ti'she 优波替舍
'you'bo'tuo 优波陀
'you'bu 有部
'you'bu'lv 有部律
'you'bu'lv'she 有部律摄
'you'bu'mu'de'jia 有部目得迦
'you'bu'ni'tuo'na 有部尼陀那
'you'cai 有财
'you'cai'e'gui 有财饿鬼
'you'cai'shi 有财释
'you'cha'bo'ba'duo 优差波跋多
'you'chan'jia'mo 优禅伽摩
'you'cheng'jia'mo 忧承伽摩
'you'dai 有待
'you'dai'bu'ding 有待不定
'you'dai'zhuan'bian 有待转变
'you'de'nv 有德女
'you'de'nv'suo'wen'da'cheng'jing 有德女所问大乘经
'you'ding 有顶
'you'ding'huo 有顶惑
'you'ding'tian 有顶天
'you'dui 有对
'you'dui'chu 有对触
'you'duo 优多
'you'duo'luo 优多罗
'you'duo'luo'mo'na 优多罗摩纳
'you'duo'luo'seng 优多罗僧
'you'fa 有法
'you'fa'cha'bie'xiang'wei'yin 有法差别相违因
'you'fa'kong 有法空
'you'fa'yi'xu 有法意许
'you'fa'zi'xiang'xiang'wei'yin 有法自相相违因
'you'fang'seng 游方僧
'you'fen'bie 有分别
'you'fen'shi 有分识
'you'fu'wu'ji 有覆无记
'you'gan 由干
'you'gen'shen 有根身
'you'hai 忧海
'you'hai 有海
'you'hou'sheng'si 有后生死
'you'hua 游化
'you'huo 忧火
'you'ji'fa 有记法
'you'jia 优伽
'you'jia'she'guo'bo 优伽赊国钵
'you'jian 有见
'you'jian 有间
'you'jiao 有教
'you'jiao'jing'si 有脚经笥
'you'jiao'wu'ren 有教无人
'you'jie 有界
'you'jie 有结
'you'jie 有解
'you'ju 有句
'you'jue'you'guan'san'mei 有觉有观三昧
'you'kong 有空
'you'kong'bu'er 有空不二
'you'kong'zhong'san'shi 有空中三时
'you'kui 有愧
'you'lan 游蓝
'you'liang 有量
'you'liang'zhu'xiang 有量诸相
'you'ling 幽灵
'you'ling 有灵
'you'liu 有流
'you'liu'man'tuo 优流漫陀
'you'liu'pi'jia'ye 优留毘迦叶
'you'lou 优楼
'you'lou 有漏
'you'lou'chan 有漏禅
'you'lou'dao 有漏道
'you'lou'duan 有漏断
'you'lou'guo 有漏果
'you'lou'jia 优楼迦
'you'lou'jing'tu 有漏净土
'you'lou'lu 有漏路
'you'lou'pin'luo 优楼频螺
'you'lou'pin'luo'jia'ye 优楼频螺迦叶
'you'lou'pin'luo'ju'luo 优楼频螺聚落
'you'lou'qu 优娄佉
'you'lou'qu 优楼佉
'you'lou'san'jie 有漏三界
'you'lou'shan'fa 有漏善法
'you'lou'shi'jie 有漏世界
'you'lou'xing 有漏行
'you'lou'yin 有漏因
'you'lou'zhi 有漏智
'you'lun 有轮
'you'luo'ni'sha'tu 优罗尼沙土
'you'men 有门
'you'ming 幽冥
'you'ming'wu'shi 有名无实
'you'mo'tuo 优摩陀
'you'po'di'sha 优婆底沙
'you'po'jiao'she'luo 优婆憍舍罗
'you'po'ju'duo 优婆鞠多
'you'po'ju'ti 优婆鞠提
'you'po'jue'duo 优婆掘多
'you'po'li 优婆离
'you'po'li'jie'ji'lv'cang 优婆离结集律藏
'you'po'li'jing 优婆离经
'you'po'li'lv 优婆离律
'you'po'li'tuo'ye 忧婆唎驮夜
'you'po'li'wen'fo'jing 优婆离问佛经
'you'po'li'wen'jing 优婆离问经
'you'po'li'wen'pu'sa'shou'jie'fa 优婆离问菩萨受戒法
'you'po'li'yin'yuan'pin 优婆离因缘品
'you'po'luo'cha 优婆罗叉
'you'po'ni'sha'tan 优婆尼杀昙
'you'po'ni'sha'tan 优婆尼沙昙
'you'po'ni'sha'tuo 优婆尼沙陀
'you'po'sai 优婆塞
'you'po'sai'jia 优婆塞迦
'you'po'sai'jie 优婆塞戒
'you'po'sai'jie'jing 优婆塞戒经
'you'po'sai'wu'jie'wei'yi'jing 优婆塞五戒威仪经
'you'po'sai'wu'jie'xiang'jing 优婆塞五戒相经
'you'po'si 优婆斯
'you'po'si'ke 优婆私柯
'you'po'suo 优婆娑
'you'po'suo'ke 优婆娑柯
'you'po'ti 优婆替
'you'po'ti'she 优婆提舍
'you'po'tuo'ye 优婆驮耶
'you'po'yi 优婆夷
'you'po'yi'duo'she'jia'jing 优婆夷堕舍迦经
'you'po'yi'jing'xing'fa'men'jing 优婆夷净行法门经
'you'po'yi'jing'xing'jing 优婆夷净行经
'you'qing 有情
'you'qing'ju 有情居
'you'qing'shi'jian 有情世间
'you'qing'shu 有情数
'you'qing'yuan'ci 有情缘慈
'you'rao 右绕
'you'rao'fo'ta'gong'de'jing 右遶佛塔功德经
'you'se 有色
'you'se'tian 有色天
'you'shan 游山
'you'shang'shi 有上士
'you'shen 有身
'you'sheng'tian'jing 有胜天经
'you'shi 忧世
'you'shi 有事
'you'shi 有识
'you'shi'gen'shen 有识根身
'you'shi'luo 优尸罗
'you'shou 右手
'you'shou 忧受
'you'shou 有手
'you'si'qu'jing 游四衢经
'you'suo'de 有所得
'you'suo'de'xin 有所得心
'you'suo'yuan 有所缘
'you'tan 优昙
'you'tan 有贪
'you'tan'bo 优昙钵
'you'tan'bo'luo 优昙波罗
'you'tan'hua 优昙华
'you'tan'na 优檀那
'you'tan'po'luo 优昙婆罗
'you'tan'po'luo'jing 优昙婆逻经
'you'tan'xin 有贪心
'you'ti 有体
'you'ti'shi'she'jia 有体施设假
'you'tian 优填
'you'tian'wang 优填王
'you'tian'wang'jing 优填王经
'you'tian'wang'zao'fo'xiang 优填王造佛像
'you'tian'wang'zuo'fo'xing'xiang'jing 优填王作佛形像经
'you'tu 幽途
'you'tuo'jia 忧陀伽
'you'tuo'jia'suo'luo'zhan'tan 忧陀伽娑罗栴檀
'you'tuo'luo 优陀罗
'you'tuo'luo'jing 优陀罗经
'you'tuo'luo'jing 忧陀罗经
'you'tuo'luo'luo'mo'zi 优陀罗罗摩子
'you'tuo'na 忧陀那
'you'tuo'yan'shan 优陀延山
'you'tuo'yan'wang 优陀延王
'you'tuo'yi 优陀夷
'you'wei 有为
'you'wei'gong'de 有为功德
'you'wei'guo 有为果
'you'wei'jie'tuo 有为解脱
'you'wei'jing 有为经
'you'wei'kong 有为空
'you'wei'sheng'si 有为生死
'you'wei'wu'chang 有为无常
'you'wei'wu'lou 有为无漏
'you'wei'zhuan'bian 有为转变
'you'wu 有无
'you'wu'er'bian 有无二边
'you'wu'er'jian 有无二见
'you'wu'si'ju 有无四句
'you'wu'xie'jian 有无邪见
'you'xi 有习
'you'xi'guan'yin 游戏观音
'you'xi'san'mei 游戏三昧
'you'xi'shen'tong 游戏神通
'you'xi'zhao'di 右膝着地
'you'xiang 有想
'you'xiang 有相
'you'xiang'an'le'xing 有相安乐行
'you'xiang'jiao 有相教
'you'xiang'tian 有想天
'you'xiang'wu'xiang 有想无想
'you'xiang'wu'xiang 有相无相
'you'xiang'ye 有相业
'you'xiang'zhi'zhuo 有想执着
'you'xiang'zong 有相宗
'you'xin'fa'jie 游心法界
'you'xin'wei 有心位
'you'xing 有性
'you'xing 游行
'you'xing'jing 游行经
'you'xu'kong'tian 游虚空天
'you'xuan 右旋
'you'xue 有学
'you'xue'wu'xue 有学无学
'you'xun 由旬
'you'xun'you'si 有寻有伺
'you'yan 有严
'you'yan 有验
'you'yan 由延
'you'ye'wu'ye 有耶无耶
'you'yi 幽仪
'you'yi'ren 有一人
'you'yin'lun 有因论
'you'yin'wu'guo 有因无果
'you'yu 忧狱
'you'yu 有余
'you'yu'bu'cheng 犹预不成
'you'yu'nie'pan 有余涅盘
'you'yu'shi 有余师
'you'yu'shi'shuo 有余师说
'you'yu'shuo 有余说
'you'yu'tu 有余土
'you'yu'yi 有余依
'you'yu'yi'nie'pan 有余依涅盘
'you'yuan 有缘
'you'zeng'di'yu 游增地狱
'you'zhi 幽旨
'you'zhi 有支
'you'zhi'shou 有执受
'you'zhi'xi'qi 有支习气
'you'zhu'wu 有主物
'you'zuo 有作
'yu'ai 欲爱
'yu'ai'zhu'di 欲爱住地
'yu'ban 鱼板
'yu'bao 雨宝
'yu'bao'jing 雨宝经
'yu'bao'liu 欲暴流
'yu'bao'tuo'luo'ni'jing 雨宝陀罗尼经
'yu'biao'ye 语表业
'yu'bing'luo 郁鞞罗
'yu'bing'luo'ni'lian'chan 郁鞞罗尼连禅
'yu'bo'luo'hua'bi'qiu'ni 郁钵罗华比丘尼
'yu'bo'luo'pan'ni'ke 郁波罗盘尼柯
'yu'bo'shi 郁波尸
'yu'ceng'jia 郁曾伽
'yu'chen 欲尘
'yu'cheng 余乘
'yu'chi 愚痴
'yu'chi 浴池
'yu'chi 郁持
'yu'chi'duo 欲吃多
'yu'chi'jia 郁持迦
'yu'chi'ye'jing 玉呬耶经
'yu'chi'zhai 愚痴斋
'yu'da'luo'jiu'liu 郁怛罗究琉
'yu'da'luo'yue 郁怛罗越
'yu'dan'yue 郁单曰
'yu'dan'yue 郁单越
'yu'deng 语等
'yu'di 于谛
'yu'di'hua 育抵华
'yu'di'jia 郁低迦
'yu'di'jia 郁底迦
'yu'die 玉牒
'yu'dun 于遁
'yu'dun 愚钝
'yu'dun'wu 愚钝物
'yu'duo 与夺
'yu'duo 郁多
'yu'duo'luo 郁多罗
'yu'duo'luo'jia'shen 郁多罗迦神
'yu'duo'luo'jiu'liu 郁多罗究留
'yu'duo'luo'jiu'liu 郁多罗鸠留
'yu'duo'luo'jiu'lou 郁多罗鸠娄
'yu'duo'luo'ju'lou 郁多罗拘楼
'yu'duo'luo'seng 郁多罗僧
'yu'duo'luo'seng'ga 郁多罗僧伽
'yu'duo'mo 郁多摩
'yu'fa 愚法
'yu'fa 欲法
'yu'fa'er'cheng 愚法二乘
'yu'fan 渔梵
'yu'fan 语梵
'yu'fo 浴佛
'yu'fo 玉佛
'yu'fo'gong'de'jing 浴佛功德经
'yu'fo'hui 浴佛会
'yu'fu 愚夫
'yu'fu 欲缚
'yu'fu 狱缚
'yu'fu'er 鱼腹儿
'yu'fu'suo'xing'chan 愚夫所行禅
'yu'gan'zi 余甘子
'yu'gou 欲钩
'yu'gu 浴鼓
'yu'gu 鱼鼓
'yu'guo 与果
'yu'hai 欲海
'yu'hao 玉豪
'yu'he 伛和
'yu'he 欲河
'yu'he'ju'she'luo 伛和拘舍罗
'yu'hua 玉花
'yu'hua 雨华
'yu'hua 雨花
'yu'hua'rui 雨华瑞
'yu'hua'si 玉华寺
'yu'hua'tai 雨花台
'yu'huai 域怀
'yu'huan 玉环
'yu'huo 愚惑
'yu'huo 欲火
'yu'jia 瑜伽
'yu'jia 郁迦
'yu'jia'a'she'li 瑜伽阿阇梨
'yu'jia'cheng'jiu 瑜伽成就
'yu'jia'da'jiao'wang 瑜伽大教王
'yu'jia'da'jiao'wang'jing 瑜伽大教王经
'yu'jia'hu'mo'yi'gui 瑜伽护摩仪轨
'yu'jia'jiang'san'shi'ji'shen'mi'fa'men 瑜伽降三世极深密法门
'yu'jia'jiao 瑜伽教
'yu'jia'jie'mo 瑜伽羯磨
'yu'jia'jin'gang'ding'jing'shi'zi'mu'pin 瑜伽金刚顶经释字母品
'yu'jia'jing 瑜伽经
'yu'jia'lian'hua'bu'nian'song'fa 瑜伽莲华部念诵法
'yu'jia'lun 瑜伽论
'yu'jia'lun'shi 瑜伽论释
'yu'jia'luo'yue'wen'pu'sa'xing'jing 郁迦罗越问菩萨行经
'yu'jia'mi'zong 瑜伽密宗
'yu'jia'nian'zhu'jing 瑜伽念珠经
'yu'jia'san'mi 瑜伽三密
'yu'jia'seng 瑜珈僧
'yu'jia'shang'cheng 瑜伽上乘
'yu'jia'shi 瑜伽师
'yu'jia'shi'di'lun 瑜伽师地论
'yu'jia'shi'di'lun'shi 瑜伽师地论释
'yu'jia'tuo'da'mo'pu'sa 郁伽陀达磨菩萨
'yu'jia'wei'shi 瑜伽唯识
'yu'jia'wo 瑜伽我
'yu'jia'xiang 瑜伽像
'yu'jia'yu'qi'jing 瑜伽瑜祇经
'yu'jia'zhang'zhe'jing 郁迦长者经
'yu'jia'zhi'luo 郁伽支罗
'yu'jia'zhi'luo'jing 郁伽支罗经
'yu'jia'zong 瑜伽宗
'yu'jia'zuo 瑜伽座
'yu'jian 欲箭
'yu'jian'da'luo 逾健达罗
'yu'jie 余结
'yu'jie 欲界
'yu'jie'ding 欲界定
'yu'jie'jiu'pin'huo 欲界九品惑
'yu'jie'san'di 欲界散地
'yu'jie'san'yu 欲界三欲
'yu'jie'xi 欲界系
'yu'jie'zhu'gong'dian 欲界诸宫殿
'yu'jin 瑜金
'yu'jin'gang 欲金刚
'yu'jin'xiang 郁金香
'yu'jue 欲觉
'yu'ku 欲苦
'yu'la 欲剌
'yu'lan'guan'yin 鱼篮观音
'yu'lan'jing 盂兰经
'yu'lan'pen 盂兰盆
'yu'lan'pen'gong 盂兰盆供
'yu'lan'pen'hui 盂兰盆会
'yu'lan'pen'jing 盂兰盆经
'yu'lan'zhai 盂兰斋
'yu'le 欲乐
'yu'leng'jia 郁楞伽
'yu'li'bu'zhang 与力不障
'yu'lin'guo'shi 玉琳国师
'yu'ling 庾岭
'yu'liu 余流
'yu'liu 欲流
'yu'liu'guo 预流果
'yu'liu'xiang 预流向
'yu'long 域龙
'yu'lou 欲漏
'yu'lu 语录
'yu'lu 语路
'yu'lun'jing'jie 语轮境界
'yu'man'tuo'luo'hua 雨曼陀罗华
'yu'me 与么
'yu'mi 语密
'yu'mi'guo 预弥国
'yu'mo 欲魔
'yu'mu 鱼母
'yu'na'ye'jing 踰捺野经
'yu'ni 欲泥
'yu'ni'sha 郁尼沙
'yu'nian 余念
'yu'pen'zhai 盂盆斋
'yu'pu'sa 语菩萨
'yu'qi 欲气
'yu'qi 瑜祇
'yu'qi 雨乞
'yu'qi 雨期
'yu'qi'guan'ding 瑜祇灌顶
'yu'qi'jing 瑜祇经
'yu'qian 寓钱
'yu'qian 欲堑
'yu'qu 欲取
'yu'quan 玉泉
'yu'quan'yu'hua'liang'zong 玉泉玉花两宗
'yu'ran 欲染
'yu'rou 玉柔
'yu'ru'yi'zu 欲如意足
'yu'se'er'jie 欲色二界
'yu'se'ni'sha 郁瑟尼沙
'yu'seng 愚僧
'yu'shan 渔山
'yu'shan 语善
'yu'shan 鱼山
'yu'shan'na 踰缮那
'yu'she 踰阇
'yu'she'luo 于阇罗
'yu'she'na 踰阇那
'yu'sheng 浴圣
'yu'shi 浴室
'yu'shi'an'xian'hu'pu'sa'xiang 浴室安贤护菩萨像
'yu'shi'e'gui 鱼施饿鬼
'yu'shi'jing 雨势经
'yu'shi'xian'hu'pu'sa'xiang 浴室贤护菩萨像
'yu'shou'di'tou 与手低头
'yu'shou'ge'luo 郁瘦歌逻
'yu'shou'ge'luo'jing 郁瘦歌逻经
'yu'tan 欲贪
'yu'tan'bo 郁昙钵
'yu'ti 喻体
'yu'ti'shi 郁提尸
'yu'tian 于阗
'yu'tian 欲天
'yu'tian'wu'yin 欲天五淫
'yu'tong 愚童
'yu'tong'chi'zhai'xin 愚童持斋心
'yu'tou 浴头
'yu'tou 郁头
'yu'tou'lan 郁头蓝
'yu'tou'lan'fu 郁头蓝弗
'yu'tou'sheng'fei'xiang'tian'hou'wei'fei'li 郁头生非想天后为飞狸
'yu'tou'wei'nv'shi'wu'tong 郁头为女失五通
'yu'tu 鱼兔
'yu'tuo'jia 郁陀伽
'yu'tuo'luo'jia 郁陀罗伽
'yu'tuo'luo'luo'mo 郁陀罗罗摩
'yu'tuo'na 郁陀那
'yu'wang'bei'mu 鱼王贝母
'yu'wang'tai 醧忘台
'yu'wu'biao'yu 语无表语
'yu'wu'jian 欲无减
'yu'xi 余习
'yu'xiang 欲想
'yu'xiang 浴像
'yu'xiang'gong'de'jing 浴像功德经
'yu'xiang'jing 浴像经
'yu'xiang'yi'gui 浴像仪轨
'yu'xiang'zhang'zhe 鬻香长者
'yu'xie'xing 欲邪行
'yu'xin 域心
'yu'xin 欲心
'yu'xing 欲性
'yu'xiu 豫修
'yu'xiu'zhai 豫修斋
'yu'xun 揄旬
'yu'yan'yin'sheng'yu 语言音声欲
'yu'ye 玉耶
'yu'ye 语业
'yu'ye'jing 玉耶经
'yu'ye'nv'jing 玉耶女经
'yu'yi 喻依
'yu'you 欲有
'yu'you 欲油
'yu'yu 与欲
'yu'yu'huang'hua 郁郁黄花
'yu'yu'jia'bo'luo 郁庾伽波罗
'yu'yuan'shou 与愿手
'yu'yuan'yin 与愿印
'yu'yuan'yin'yu'shi'wu'wei'yin 与愿印与施无畏印
'yu'yun 余蕴
'yu'zhe'na'jiang'tang 瑜遮那讲堂
'yu'zhe'na'mo'luo 于遮那摩罗
'yu'zhi 余执
'yu'zhong 禺中
'yu'zhong 雨众
'yu'zhong'san'de 雨众三德
'yu'zhu 浴主
'yu'zi 鱼子
'yu'zong 余宗
'yu'zong 寓宗
'yu'zu 狱卒
'yuan'ban 圆板
'yuan'ban 鸳班
'yuan'ben'zhi'jing 缘本致经
'yuan'bian 缘变
'yuan'bo'luo'mi 愿波罗蜜
'yuan'bo'luo'mi'pu'sa 愿波罗蜜菩萨
'yuan'bo'luo'mi'shi'de 愿波罗蜜十德
'yuan'cang 元藏
'yuan'cang'mu'lu 元藏目录
'yuan'ce 圆测
'yuan'chen 缘尘
'yuan'chen'li'gou 远尘离垢
'yuan'chen'xing 元辰星
'yuan'cheng 圆乘
'yuan'cheng 圆成
'yuan'cheng 缘乘
'yuan'cheng 缘成
'yuan'cheng'jiu'wen 愿成就文
'yuan'cheng'shi'xing 圆成实性
'yuan'chuan 愿船
'yuan'dao 圆道
'yuan'di 怨敌
'yuan'di 源底
'yuan'du 愿度
'yuan'duan 圆断
'yuan'dun 圆顿
'yuan'dun'fan'fu 圆顿凡夫
'yuan'dun'guan 圆顿观
'yuan'dun'guan'jie 圆顿观解
'yuan'dun'jiao 圆顿教
'yuan'dun'jie 圆顿戒
'yuan'dun'jie'tan 圆顿戒坛
'yuan'dun'pu'sa'da'jie 圆顿菩萨大戒
'yuan'dun'wu'zuo'da'jie 圆顿无作大戒
'yuan'dun'zhi'guan 圆顿止观
'yuan'dun'zong 圆顿宗
'yuan'duo 圆堕
'yuan'fa 缘法
'yuan'fei'ru'dong 蜎飞蠕动
'yuan'fen'dui'zhi 远分对治
'yuan'fo 圆佛
'yuan'fo 愿佛
'yuan'fo 缘佛
'yuan'fu 圆伏
'yuan'fu'duan 缘缚断
'yuan'gong 圆供
'yuan'gong 愿公
'yuan'gong'si'jiao 苑公四教
'yuan'guan 园观
'yuan'guan 圆观
'yuan'guan 缘观
'yuan'guan'ri 远关日
'yuan'guang 圆光
'yuan'guang'guan'yin 圆光观音
'yuan'guo 圆果
'yuan'hai 圆海
'yuan'hai 愿海
'yuan'he 圆合
'yuan'hua 缘化
'yuan'hui 圆晖
'yuan'hui 愿慧
'yuan'ji 圆寂
'yuan'ji 圆机
'yuan'ji 圆极
'yuan'ji 愿偈
'yuan'ji 缘机
'yuan'ji 远忌
'yuan'ji'sheng 缘己生
'yuan'ji'shu 元吉树
'yuan'jia 怨家
'yuan'jian 圆坚
'yuan'jiao 圆教
'yuan'jiao'er'zhong'san'di 圆教二种三谛
'yuan'jiao'shi'zhen'ru 圆教十真如
'yuan'jiao'si'men 圆教四门
'yuan'jie 圆戒
'yuan'jie 怨结
'yuan'jie 远劫
'yuan'jie'bie 圆接别
'yuan'jing'man'tu'luo 圆镜曼荼罗
'yuan'ju 圆具
'yuan'jue 圆觉
'yuan'jue 缘觉
'yuan'jue'cheng 缘觉乘
'yuan'jue'cheng'shi'di 缘觉乘十地
'yuan'jue'fa'jie 缘觉法界
'yuan'jue'hui 圆觉会
'yuan'jue'jing 圆觉经
'yuan'jue'jing'wu'xing'cha'bie 圆觉经五性差别
'yuan'jue'pu'ti 缘觉菩提
'yuan'jue'san'guan 圆觉三观
'yuan'jue'shen 缘觉身
'yuan'jue'shi'er'yin'yuan'yuan 缘觉十二因缘院
'yuan'kong 圆空
'yuan'kong 源空
'yuan'le 缘了
'yuan'li 愿力
'yuan'li 缘力
'yuan'li 缘理
'yuan'li 远离
'yuan'li'chu 远离处
'yuan'li'duan'jiu 缘理断九
'yuan'li'guan 缘理观
'yuan'li'hui'xiang 愿力回向
'yuan'li'le 远离乐
'yuan'li'pu'ti'xin 缘理菩提心
'yuan'li'suo'mie'liu 远离所灭流
'yuan'li'xin'xin 愿力信心
'yuan'li'zi'ran 愿力自然
'yuan'ling 怨灵
'yuan'lun 圆轮
'yuan'lun 愿轮
'yuan'lv'xin 缘虑心
'yuan'man 圆满
'yuan'man'xiu'duo'luo 圆满修多罗
'yuan'mi 圆密
'yuan'mi'chan'jie 圆密禅戒
'yuan'mi'shi'zhen'ru 圆密十真如
'yuan'miao 元妙
'yuan'miao 原妙
'yuan'miao 圆妙
'yuan'ming 元明
'yuan'ming'ju'de'zong 圆明具德宗
'yuan'nei'dao'heng'za'zuo'yi 院内道行杂作衣
'yuan'nian 缘念
'yuan'nian'chu 缘念处
'yuan'ning 圆凝
'yuan'pin'neng'zhi 元品能治
'yuan'pin'wu'ming 元品无明
'yuan'qi 缘气
'yuan'qi 缘起
'yuan'qi'fa 缘起法
'yuan'qi'fa'song 缘起法颂
'yuan'qi'ji 缘起偈
'yuan'qi'jing 缘起经
'yuan'qi'men 缘起门
'yuan'qi'shan'qiao 缘起善巧
'yuan'qi'sheng'dao'jing 缘起圣道经
'yuan'qi'song 缘起颂
'yuan'qi'yin'fen 缘起因分
'yuan'qiao 愿巧
'yuan'qin 冤亲
'yuan'qin 怨亲
'yuan'qin'ping'deng 怨亲平等
'yuan'qin'ping'deng'xin 冤亲平等心
'yuan'quan 圆诠
'yuan'que'bu'sheng 缘缺不生
'yuan'ren 圆仁
'yuan'ren 愿人
'yuan'ren'lun 原人论
'yuan'ri 缘日
'yuan'rong 圆融
'yuan'rong'men 圆融门
'yuan'rong'san'di 圆融三谛
'yuan'rong'san'xue 圆融三学
'yuan'rong'shi'cheng 圆融十乘
