'a'bo'rui'si'an'ying'gong 阿伯瑞斯暗影弓
'ye'lan'de'er'de'yong'bao'fang'pin'yuan'gu'zhi'ji 叶兰德尔的拥抱仿品远古之祭
'ye'lan'de'er'de'yong'bao'yuan'gu'zhi'ji 叶兰德尔的拥抱远古之祭
'ye'lin'shen'yuan'yao'dai 夜临深渊腰带
'ye'mu'fang'pin'ju'kui 夜幕仿品巨盔
'ye'mu'ju'kui 夜幕巨盔
'ye'mu'zhao'huan'yi'zai'zhi'mian 夜幕召唤疫灾之面
'ye'shou'hei'ya'mo'fu 夜守黑牙魔符
'ye'xing'kuang'zhao'zao'ding 野性狂爪凿钉
'ye'xing'rui'fo'huang'jia'zhi'fu 野性瑞佛皇家之斧
'ye'yin'an'ying'gong 夜吟暗影弓
'yi'fu'ban'de'gui'ji'ling'zhu'zhi'huan 伊芙班的诡计灵主之环
'yi'hui'zhi'chu'ji'gong 议会之触脊弓
'yi'hui'zhi'wo'fang'pin'mi'shu'shou'tao 议会之握仿品秘术手套
'yi'hui'zhi'wo'mi'shu'shou'tao 议会之握秘术手套
'yi'hui'zhi'xi'jin'li'duan'zhang 议会之息禁礼短杖
'yi'ji'a'huo'zhi'nuo'yan'shan'hu'hu'shen'fu 伊基阿霍之诺言珊瑚护身符
'yi'jiao'mian'sha'shi'shen'zhi'mian 异教面纱弑神之面
'yi'ke'qie'er'de'you'huo'jin'guang'jie'zhi 伊克切尔的诱惑金光戒指
'yi'rui'de'jing'tong'jing'zhi'pi'jia 伊瑞的精通精制皮甲
'yi'shi'zhi'yuan'tie'duan'hu'shou 意识之缘铁锻护手
'yi'shu'qiu'long'sha'pi'zhi'yi 疫鼠囚笼鲨皮之衣
'yi'shuang'zhi'bao'cu'zhi'gong 遗孀之雹粗制弓
'yi'wen'zi'hai'zei'chang'dao 一文字海贼长刀
'yi'wo'huan'xiang'gu'dai'xi'jian 伊沃幻像古代细剑
'yi'yi'de'guang'hui'san'xiang'zhu'bao 意义的光辉三相珠宝
'yi'zhi'hu'huan'shuang'yu'jie'zhi 意志呼唤双玉戒指
'yi'zhi'jiao'feng'huang'jin'zhi'mian 意志交锋黄金之面
'yin'da'de'jian'shou'kou'ding'yao'dai 茵达的坚守扣钉腰带
'yin'hun'zhe'mian'zhao'xing'zheng'zhe'zhan'guan 饮魂者面罩行政者战冠
'yin'ling'zhi'fu'shan'hu'hu'shen'fu 隐灵之符珊瑚护身符
'yin'ni'zhi'ren'fu'ji'ci'ren 隐匿之刃伏击刺刃
'yin'shi'hei'yao'hu'shen'fu 隐逝黑曜护身符
'yin'ya'de'qi'meng'fang'pin'mi'shu'bian'xie 茵雅的启蒙仿品秘术便鞋
'yin'ya'de'qi'meng'mi'shu'bian'xie 茵雅的启蒙秘术便鞋
'ying'ling'bao'huan'duan'tie'jie'zhi 英灵宝环锻铁戒指
'ying'mu'tie'ying'chang'xue 迎暮铁影长靴
'ying'si'bei'li'zhi'ji'fang'pin'zhi'zhe'chang'jian 英斯贝理之极仿品智者长剑
'ying'si'bei'li'zhi'ji'zhi'zhe'chang'jian 英斯贝理之极智者长剑
'ying'xiao'sui'yu'fu 鹰啸碎玉斧
'ying'yue'ji'zhe'yuan'dun 影月祭者圆盾
'ying'yun'mu'se'zhi'ren 影殒暮色之刃
'yong'bing'ling'di'mi'zong'shou'tao 佣兵领地迷踪手套
'yong'heng'ping'guo'hun'xiang'mo'dun 永恒苹果魂相魔盾
'yong'heng'you'ying'fang'pin'xue'se'zhi'yi 永恒幽影仿品血色之衣
'yong'heng'you'ying'xue'se'zhi'yi 永恒幽影血色之衣
'yong'heng'zhi'li'chi'hong'zhu'bao 永恒之力赤红珠宝
'yong'heng'zhi'zhan'hei'yao'hu'shen'fu 永恒之战黑曜护身符
'yong'heng'zu'zhou'ma'nao'hu'shen'fu 永恒诅咒玛瑙护身符
'yong'qi'zhi'po'ai'zi'mai'ju'fu 勇气之魄艾兹麦巨斧
'yong'sheng'pi'ge'yao'dai 永生皮革腰带
'yong'zhe'zhi'li'fei'yu'jian'dai 勇者之礼飞羽箭袋
'you'an'zhi'yu'duan'tie'jie'zhi 幽暗之语锻铁戒指
'you'hun'zhi'xi'tie'duan'chang'zhang 幽魂之息铁锻长杖
'you'huo'jie'ti'cu'ge'duan'xue 诱惑阶梯粗革短靴
'you'mi'bo'wu'guan'gu'bo'wu'guan 幽秘博物馆古博物馆
'you'ming'ling'wang'ling'gu'zhi'guan 幽冥灵王灵骨之冠
'you'tu'la'zhi'tan'shi'zhuang'yan'zhi'kai 尤图拉之贪噬庄严之铠
'you'ya'de'kuang'wang'yong'heng'zhu'bao 优雅的狂妄永恒珠宝
'yu'fu'zhi'bian'qian'neng'zhi'jie 渔夫之辫潜能之戒
'yu'jin'zhi'hen'fang'pin'hong'yu'jie'zhi 余烬之痕仿品红玉戒指
'yu'jin'zhi'hen'hong'yu'jie'zhi 余烬之痕红玉戒指
'yu'shi'fu'wen'fa'zhang 宇蚀符文法杖
'yuan'chu'jing'shu'zhi'cao'yi'wu 原初经书纸草遗物
'yuan'chu'zhi'zui'zi'jing'jie'zhi 原初之罪紫晶戒指
'yuan'gu'zhi'yin'gu'shi'ling'mu 远古之印古石陵墓
'yuan'hen'zhi'yan'wu'qing'zhi'mian 怨恨之眼无情之面
'yuan'shi'suo'lian'shan'hu'hu'shen'fu 原始锁链珊瑚护身符
'yuan'shuai'dian'tang'yue'se'hui'lang 元帅殿堂月色回廊
'yuan'su'de'bi'hu'wei'neng'yuan'dun 元素的庇护威能鸢盾
'yuan'su'zhi'zhang'san'xiang'jie'zhi 元素之章三相戒指
'yuan'zheng'jin'tou'shao'bing'zhi'yi 远征尽头哨兵之衣
'yuan'zu'zhi'lu'huan'xing'mo'dun 远祖之颅环形魔盾
'yue'lan'zheng'zhan'zhi'fu 月岚征战之斧
'yue'ying'zhi'yao'ling'xiang'mo'dun 月影之耀灵相魔盾
'yun'huang'zhi'guan'shi'jun'zhi'mian 殒皇之冠弑君之面
'yun'luo'zhi'huan'ju'ren'hu'shou 陨落之环巨人护手
'zai'hai'kong'ju'zhi'ya 灾害恐惧之牙
'zai'huo'yi'xiang'xiao'xing'xing'tuan'zhu'bao 灾祸异象小型星团珠宝
'zai'huo'zhi'jiao'yu'gan 灾祸之礁鱼竿
'zai'sheng'de'zui'e'mi'wu'yao'ji 再生的罪恶迷雾药剂
'ze'er'de'fang'da'qi'guang'hui'ci'dun 泽尔的放大器光辉刺盾
'ze'fo'yi'de'zhong'xi'you'zhi'mo'li'yao'ji 泽佛伊的终息优质魔力药剂
'ze'fo'yi'zhi'xin'hai'ling'hu'shen'fu 泽佛伊之心海灵护身符
'zei'wo'mu'guang'hai'tan 贼窝暮光海滩
'zeng'hen'kong'su'wu'ming'jie'zhi 憎恨控诉无名戒指
'zeng'qiang'de'yao'yuan'hui'yi'huan'jing'di'tu 增强的遥远回忆幻境地图
'zha'de'tu'si'de'sheng'yi'xian'zhe'zhi'pao 札德图斯的圣衣贤者之袍
'zhan'dou'zhuan'zhu'chi'hong'zhu'bao 战斗专注赤红珠宝
'zhan'ge'ba'zhu'ju'fu 战歌霸主巨斧
'zhan'shi'de'shi'shi'chi'hong'zhu'bao 战士的史诗赤红珠宝
'zhan'shi'de'yi'chan'hong'yu'jie'zhi 战士的遗产红玉戒指
'zhan'xing'xu'ying'duan'zhang 占星虚影短杖
'zhen'xiang'zhi'dan'shui'jing'yao'dai 真相之担水晶腰带
'zheng'fu'zhi'kou'leng'gang'zhi'guan 征服之口冷钢之冠
'zheng'yi'zhi'lin'hun'xiang'mo'dun 正义之鳞魂相魔盾
'zhi'dian'ai'zi'mai'chang'zhang 支点艾兹麦长杖
'zhi'gao'tian'tang'jin'li'zhi'xue 至高天堂禁礼之靴
'zhi'jue'zhi'yue'cui'lv'zhu'bao 直觉之跃翠绿珠宝
'zhi'ming'de'jiao'ao'yong'heng'zhu'bao 致命的骄傲永恒珠宝
'zhi'ming'zhi'ti'ying'cai'wai'tao 致命之体映彩外套
'zhi'ri'bu'mian'hei'yao'hu'shen'fu 至日不眠黑曜护身符
'zhi'xing'zhi'shou'di'guo'zhan'zhao 智行之手帝国战爪
'zhi'zhe'zhi'mi'ying'hui'zhi'mian 智者之秘鹰喙之面
'zhong'biao'jiang'de'hua'fu'kuang'nue'zhe'shu'yi 钟表匠的华服狂虐者束衣
'zhong'cheng'zhi'chui'gang'meng'ju'chui 忠诚之锤刚猛巨锤
'zhong'cheng'zhi'fu'jian'yi'zhi'pao 忠诚之肤简易之袍
'zhong'ji'zhi'chui'lang'ya'zhong'chui 重击之锤狼牙重锤
'zhong'mo'zhi'shi'shi'zhao'ju'jian 终末之始狮爪巨剑
'zhong'sheng'zhi'yin'zhen'yan'zhan'guan 众生指引箴言战冠
'zhong'xi'fang'pin'quan'ding 终息仿品拳钉
'zhong'xi'quan'ding 终息拳钉
'zhong'zhu'de'yao'yuan'hui'yi'huan'jing'di'tu 重著的遥远回忆幻境地图
'zhou'qi'kuang'lan'ju'ling'jing'jia 骤起狂岚巨灵胫甲
'zhou'yu'zhi'xian'duan'gong 骤雨之弦短弓
'zhou'yu'zhi'xian'fang'pin'duan'gong 骤雨之弦仿品短弓
'zhou'zhu'yue'guang'shi'jie'zhi 咒逐月光石戒指
'zhui'zhu'zhi'yu'ling'gu'zhi'guan 追逐之羽灵骨之冠
'zhuo'shi'ri'yao'zhi'guan 卓识日耀之冠
'zhuo'yu'zhu'zhang'zi'jing'yao'ji 茁育助长紫晶药剂
'zi'ran'zhi'xi'xiao'xing'xing'tuan'zhu'bao 自然之喜小型星团珠宝
'zi'ran'zu'zhi'si'yu'mo'fu 自然组织死羽魔符
'zu'ling'zhi'yue'zhu'si'zhi'pao 祖灵之约蛛丝之袍
'zui'e'tun'shi'zhe'de'tan'xi'bao'jun'zhi'tong 罪恶吞噬者的叹息暴君之统
'zui'e'zhi'huan'duan'tie'jie'zhi 罪恶之环锻铁戒指
'zun'gui'de'tong'meng'shan'hu'jie'zhi 尊贵的同盟珊瑚戒指
