'a'di'xia'hong'guang'xing'pai 阿底峡弘广行派
'ze'shi'hui'jie'lv 则失毁戒律
'ze'shi'neng'yi'shuang'yun'zhi'hui'gu 则失能依双运智慧故
'ze'yi'she'qi'yuan'xin'jie 则已舍弃愿心戒
'ze'yi'shi'hui'gen'ben'jie 则已失毁根本戒
'ze'ze'shi'yu'jia'jia'shi 则则食与加加食
'zhan'li'ni'liu'bo'qu'shui 站立逆流钵取水
'zhan'zhou'zong'zao'ji'huang'yi'bu'qiong 瞻洲纵遭饥荒亦不穷
'zhan'zhuan'shi'yu'wai'dao'chu 辗转食于外道处
'zhang'ai'zheng'wu'chan'sheng'zhong'zui'ye 障碍证悟产生众罪业
'zhe'lv'zhu'zhang'chi'gai'zhe 着履拄杖持盖者
'zhen'bao'bu'shi'bu'yu'qu 珍宝部誓不予取
'zhen'bo'shi'zuo'ta'xing'shi 振钵食做塔形食
'zheng'chang'ju'jie'zhe 正常具戒者
'zheng'chang'wu'wo'man 正常无我慢
'zheng'hang'ru'ruo'wei'ju'quan 正行如若未具全
'zheng'hang'yue'shi'shen'yu'zuo 正行越时身语做
'zheng'wu'jie'tuo'ji'tong'shi 证悟解脱即同时
'zheng'wu'yi'guo'hou 正午已过后
'zheng'wu'zi'jie'zhi'xin'jie'dao'ding 证悟自解之信解道顶
'zhi'bei'hao'yue'mi'fa'miao'gan'lu 智悲皓月密法妙甘露
'zhi'ci'li'ming'qian 至次黎明前
'zhi'fen'ba'shi'e'zuo'deng 支分八十恶作等
'zhi'fen'shi'yan'er'shi'wu 支分誓言二十五
'zhi'she'jie'tiao'yi'ge'zong 智摄戒条依各宗
'zhi'yi'bi'neng'zui 知依彼能醉
'zhi'zhe'gong'cheng'ruo'fen'chi 智者共称若分持
'zhi'zhe'xu'ci'ba'jie'shi 智者许此八戒士
'zhi'zuo'chuang'jiao'chao'guo'liang 制作床脚超过量
'zhi'zuo'hun'he'zhi'fu'ju 制作混合之敷具
'zhong'de'bu'shi'hu'chi'fa 中得不失护持法
'zhong'de'bu'shi'hu'jie'fa 中得不失护戒法
'zhong'deng'zhe'yu'san'ren'qian 中等者于三人前
'zhong'sheng'sui'cun'huo 众生虽存活
'zhong'shuo'bu'shi'shou'hu'fa 中说不失守护法
'zhong'shuo'de'bu'shi'hu'fa 中说得不失护法
'zhong'yi'san'jie'ge'yi'gui 中依三戒各仪轨
'zhong'zhong'cai'fu'wu'qiong'xi'ju'ji 种种财富无穷悉聚集
'zhong'zhong'kun'chong'shi'shen'zhen'tong'ku 种种昆虫食身真痛苦
'zhu'jing'ci'di'bu'shi'xing 诸境次第不失行
'zhu'jing'yi'le'jia'hang'jing 诸境意乐加行竟
'zhu'sheng'wen'nei'man'qi'ri 住声闻内满七日
'zhu'tuo'yi'jia'zhen'bao'qu 嘱托衣价珍宝取
'zhu'xing'xia'zhe'li'tan'yu 主行下者离贪欲
'zhuan'zhu 撰著
'zhuan'zhu'yuan'man 撰著圆满
'zhuang'shi'yu'zi'ji 装饰于自己
'zhuang'yan'zhang'ai'jie'wu'you 庄严障碍皆无有
'zhui'e'qu'cu'duo 坠恶趣粗堕
'zhuo'shi'yi'ri'shou'chi'yi'fen'jie 浊世一日受持一分戒
'zi'bu'shang'xia'ge'guan'dian 自部上下各观点
'zi'huo'ling'ta'zhong 自或令他众
'zi'ji'xu'wei'mi'zhou'shi 自己诩为密咒师
'zi'ji'yi'xing'ji'tong'shi 自己亦行即同事
'zi'li'li'ta'da'li'ta 自利利他大利他
'zi'liang'jia'hang'xin'jie'xing 资粮加行信解行
'zi'ran'zheng'zhi'chuan'xin'yuan 自然证智传信圆
'zi'ti'bu'hun'zhe'xu'yuan 自体不混遮需圆
'zi'xi'shuang'zu'hou 自洗双足后
'zi'xian'jue'xing'sa'duo'shi'ye'zhe 自现觉性萨垛事业者
'zi'xing'da'yuan'man'zhi'fen'jue'ding'san'jie'lun 自性大圆满支分决定三戒论
'zi'xing'hua'shen'sha'cheng'fo 自性化身刹成佛
'zi'yu'yi'chi'guo'shi'ri 自余衣持过十日
'zi'zhi'chen'xu'wei'zheng'wu 自智尘许未证悟
'zong'wei'she'suo'sha 纵为蛇所杀
'zong'wei'wei'fan'yuan'zhi'gen'ben'zui 纵未违犯圆支根本罪
'zong'yu'ming'nan'yi'ying'cheng'shou'hu 纵遇命难亦应诚守护
'zong'zhi'bian'fa'fei'fa'zhi'mi'yao 纵知辨法非法之密要
'zong'zhi'si'li'wu'bu'she 总之四力无不摄
'zong'zhi'xin'yang'fo'yu'fa 总之信仰佛与法
'zu'zhi'shi'yu'bi'qiu'shi 阻止施与比丘食
'zui'hou'yi'zhong'pan'deng'ju 最后一种攀登聚
'zui'zhong'si'guan'yuan'man'shi 最终四灌圆满时
'zun'zhao'qing'jing'zhi'pin'xing 遵照清净之品行
'zuo'shi'suo'xu'shi 做师所需事
'zuo'shi'zi'wo'shi 作狮子卧式
