'a'ba'shi'fan'xue'yuan 阿坝师范学院
'hui'shang'zhi'ye'xue'yuan 徽商职业学院
'hui'zhou'cheng'shi'zhi'ye'xue'yuan 惠州城市职业学院
'hui'zhou'gong'cheng'zhi'ye'xue'yuan 惠州工程职业学院
'hui'zhou'jing'ji'zhi'ye'ji'shu'xue'yuan 惠州经济职业技术学院
'hui'zhou'wei'sheng'zhi'ye'ji'shu'xue'yuan 惠州卫生职业技术学院
'hui'zhou'xue'yuan 惠州学院
'ji'an'zhi'ye'ji'shu'xue'yuan 吉安职业技术学院
'ji'li'xue'yuan 吉利学院
'ji'lin'cai'jing'da'xue 吉林财经大学
'ji'lin'cheng'shi'zhi'ye'ji'shu'xue'yuan 吉林城市职业技术学院
'ji'lin'da'xue 吉林大学
'ji'lin'dian'zi'xin'xi'zhi'ye'ji'shu'xue'yuan 吉林电子信息职业技术学院
'ji'lin'dong'hua'xue'yuan 吉林动画学院
'ji'lin'gong'cheng'ji'shu'shi'fan'xue'yuan 吉林工程技术师范学院
'ji'lin'gong'cheng'zhi'ye'xue'yuan 吉林工程职业学院
'ji'lin'gong'shang'xue'yuan 吉林工商学院
'ji'lin'gong'ye'zhi'ye'ji'shu'xue'yuan 吉林工业职业技术学院
'ji'lin'hua'gong'xue'yuan 吉林化工学院
'ji'lin'jian'zhu'da'xue 吉林建筑大学
'ji'lin'jian'zhu'ke'ji'xue'yuan 吉林建筑科技学院
'ji'lin'jiao'tong'zhi'ye'ji'shu'xue'yuan 吉林交通职业技术学院
'ji'lin'jing'cha'xue'yuan 吉林警察学院
'ji'lin'ke'ji'zhi'ye'ji'shu'xue'yuan 吉林科技职业技术学院
'ji'lin'nong'ye'da'xue 吉林农业大学
'ji'lin'nong'ye'ke'ji'xue'yuan 吉林农业科技学院
'ji'lin'shi'fan'da'xue 吉林师范大学
'ji'lin'shi'fan'da'xue'bo'da'xue'yuan 吉林师范大学博达学院
'ji'lin'shui'li'dian'li'zhi'ye'xue'yuan 吉林水利电力职业学院
'ji'lin'si'fa'jing'guan'zhi'ye'xue'yuan 吉林司法警官职业学院
'ji'lin'ti'yu'xue'yuan 吉林体育学院
'ji'lin'tie'dao'zhi'ye'ji'shu'xue'yuan 吉林铁道职业技术学院
'ji'lin'tong'yong'hang'kong'zhi'ye'ji'shu'xue'yuan 吉林通用航空职业技术学院
'ji'lin'wai'guo'yu'da'xue 吉林外国语大学
'ji'lin'yi'shu'xue'yuan 吉林艺术学院
'ji'lin'yi'yao'xue'yuan 吉林医药学院
'ji'lin'zhi'ye'ji'shu'xue'yuan 吉林职业技术学院
'ji'mei'da'xue 集美大学
'ji'mei'da'xue'cheng'yi'xue'yuan 集美大学诚毅学院
'ji'nan'da'xue 暨南大学
'ji'nan'da'xue 济南大学
'ji'nan'gong'cheng'zhi'ye'ji'shu'xue'yuan 济南工程职业技术学院
'ji'nan'hu'li'zhi'ye'xue'yuan 济南护理职业学院
'ji'nan'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 济南幼儿师范高等专科学校
'ji'nan'zhi'ye'xue'yuan 济南职业学院
'ji'ning'shi'fan'xue'yuan 集宁师范学院
'ji'ning'xue'yuan 济宁学院
'ji'ning'yi'xue'yuan 济宁医学院
'ji'ning'zhi'ye'ji'shu'xue'yuan 济宁职业技术学院
'ji'shou'da'xue 吉首大学
'ji'shou'da'xue'zhang'jia'jie'xue'yuan 吉首大学张家界学院
'ji'yuan'zhi'ye'ji'shu'xue'yuan 济源职业技术学院
'ji'zhong'zhi'ye'xue'yuan 冀中职业学院
'jia'mu'si'da'xue 佳木斯大学
'jia'mu'si'zhi'ye'xue'yuan 佳木斯职业学院
'jia'xing'nan'hu'xue'yuan 嘉兴南湖学院
'jia'xing'nan'yang'zhi'ye'ji'shu'xue'yuan 嘉兴南洋职业技术学院
'jia'xing'xue'yuan 嘉兴学院
'jia'xing'zhi'ye'ji'shu'xue'yuan 嘉兴职业技术学院
'jia'ying'xue'yuan 嘉应学院
'jian'dong'zhi'ye'ji'shu'xue'yuan 建东职业技术学院
'jiang'hai'zhi'ye'ji'shu'xue'yuan 江海职业技术学院
'jiang'han'da'xue 江汉大学
'jiang'han'yi'shu'zhi'ye'xue'yuan 江汉艺术职业学院
'jiang'men'zhi'ye'ji'shu'xue'yuan 江门职业技术学院
'jiang'nan'da'xue 江南大学
'jiang'nan'ying'shi'yi'shu'zhi'ye'xue'yuan 江南影视艺术职业学院
'jiang'su'an'quan'ji'shu'zhi'ye'xue'yuan 江苏安全技术职业学院
'jiang'su'cai'jing'zhi'ye'ji'shu'xue'yuan 江苏财经职业技术学院
'jiang'su'cai'kuai'zhi'ye'xue'yuan 江苏财会职业学院
'jiang'su'cheng'shi'zhi'ye'xue'yuan 江苏城市职业学院
'jiang'su'cheng'xiang'jian'she'zhi'ye'xue'yuan 江苏城乡建设职业学院
'jiang'su'da'xue 江苏大学
'jiang'su'da'xue'jing'jiang'xue'yuan 江苏大学京江学院
'jiang'su'di'er'shi'fan'xue'yuan 江苏第二师范学院
'jiang'su'dian'zi'xin'xi'zhi'ye'xue'yuan 江苏电子信息职业学院
'jiang'su'gong'cheng'zhi'ye'ji'shu'xue'yuan 江苏工程职业技术学院
'jiang'su'hai'shi'zhi'ye'ji'shu'xue'yuan 江苏海事职业技术学院
'jiang'su'hai'yang'da'xue 江苏海洋大学
'jiang'su'hang'kong'zhi'ye'ji'shu'xue'yuan 江苏航空职业技术学院
'jiang'su'hang'yun'zhi'ye'ji'shu'xue'yuan 江苏航运职业技术学院
'jiang'su'hu'li'zhi'ye'xue'yuan 江苏护理职业学院
'jiang'su'jian'zhu'zhi'ye'ji'shu'xue'yuan 江苏建筑职业技术学院
'jiang'su'jing'guan'xue'yuan 江苏警官学院
'jiang'su'jing'mao'zhi'ye'ji'shu'xue'yuan 江苏经贸职业技术学院
'jiang'su'ke'ji'da'xue 江苏科技大学
'jiang'su'ke'ji'da'xue'su'zhou'li'gong'xue'yuan 江苏科技大学苏州理工学院
'jiang'su'li'gong'xue'yuan 江苏理工学院
'jiang'su'lian'he'zhi'ye'ji'shu'xue'yuan 江苏联合职业技术学院
'jiang'su'lv'you'zhi'ye'xue'yuan 江苏旅游职业学院
'jiang'su'nong'lin'zhi'ye'ji'shu'xue'yuan 江苏农林职业技术学院
'jiang'su'nong'mu'ke'ji'zhi'ye'xue'yuan 江苏农牧科技职业学院
'jiang'su'shang'mao'zhi'ye'xue'yuan 江苏商贸职业学院
'jiang'su'shi'fan'da'xue 江苏师范大学
'jiang'su'shi'fan'da'xue'ke'wen'xue'yuan 江苏师范大学科文学院
'jiang'su'shi'pin'yao'pin'zhi'ye'ji'shu'xue'yuan 江苏食品药品职业技术学院
'jiang'su'wei'sheng'jian'kang'zhi'ye'xue'yuan 江苏卫生健康职业学院
'jiang'su'xin'xi'zhi'ye'ji'shu'xue'yuan 江苏信息职业技术学院
'jiang'su'yi'yao'zhi'ye'xue'yuan 江苏医药职业学院
'jiang'xi'cai'jing'da'xue 江西财经大学
'jiang'xi'cai'jing'da'xue'xian'dai'jing'ji'guan'li'xue'yuan 江西财经大学现代经济管理学院
'jiang'xi'cai'jing'zhi'ye'xue'yuan 江西财经职业学院
'jiang'xi'chuan'mei'zhi'ye'xue'yuan 江西传媒职业学院
'jiang'xi'dian'li'zhi'ye'ji'shu'xue'yuan 江西电力职业技术学院
'jiang'xi'feng'lin'she'wai'jing'mao'zhi'ye'xue'yuan 江西枫林涉外经贸职业学院
'jiang'xi'fu'zhuang'xue'yuan 江西服装学院
'jiang'xi'gong'cheng'xue'yuan 江西工程学院
'jiang'xi'gong'cheng'zhi'ye'xue'yuan 江西工程职业学院
'jiang'xi'gong'shang'zhi'ye'ji'shu'xue'yuan 江西工商职业技术学院
'jiang'xi'gong'ye'gong'cheng'zhi'ye'ji'shu'xue'yuan 江西工业工程职业技术学院
'jiang'xi'gong'ye'mao'yi'zhi'ye'ji'shu'xue'yuan 江西工业贸易职业技术学院
'jiang'xi'gong'ye'zhi'ye'ji'shu'xue'yuan 江西工业职业技术学院
'jiang'xi'guan'li'zhi'ye'xue'yuan 江西管理职业学院
'jiang'xi'hang'kong'zhi'ye'ji'shu'xue'yuan 江西航空职业技术学院
'jiang'xi'hong'zhou'zhi'ye'xue'yuan 江西洪州职业学院
'jiang'xi'huan'jing'gong'cheng'zhi'ye'xue'yuan 江西环境工程职业学院
'jiang'xi'ji'dian'zhi'ye'ji'shu'xue'yuan 江西机电职业技术学院
'jiang'xi'jian'she'zhi'ye'ji'shu'xue'yuan 江西建设职业技术学院
'jiang'xi'jiao'tong'zhi'ye'ji'shu'xue'yuan 江西交通职业技术学院
'jiang'xi'jing'cha'xue'yuan 江西警察学院
'jiang'xi'jing'ji'guan'li'zhi'ye'xue'yuan 江西经济管理职业学院
'jiang'xi'ke'ji'shi'fan'da'xue 江西科技师范大学
'jiang'xi'ke'ji'xue'yuan 江西科技学院
'jiang'xi'ke'ji'zhi'ye'xue'yuan 江西科技职业学院
'jiang'xi'li'gong'da'xue 江西理工大学
'jiang'xi'lv'you'shang'mao'zhi'ye'xue'yuan 江西旅游商贸职业学院
'jiang'xi'nong'ye'da'xue 江西农业大学
'jiang'xi'nong'ye'da'xue'nan'chang'shang'xue'yuan 江西农业大学南昌商学院
'jiang'xi'nong'ye'gong'cheng'zhi'ye'xue'yuan 江西农业工程职业学院
'jiang'xi'qing'nian'zhi'ye'xue'yuan 江西青年职业学院
'jiang'xi'ruan'jian'zhi'ye'ji'shu'da'xue 江西软件职业技术大学
'jiang'xi'sheng'wu'ke'ji'zhi'ye'xue'yuan 江西生物科技职业学院
'jiang'xi'shi'fan'da'xue 江西师范大学
'jiang'xi'shi'fan'da'xue'ke'xue'ji'shu'xue'yuan 江西师范大学科学技术学院
'jiang'xi'shi'fan'gao'deng'zhuan'ke'xue'xiao 江西师范高等专科学校
'jiang'xi'shui'li'zhi'ye'xue'yuan 江西水利职业学院
'jiang'xi'si'fa'jing'guan'zhi'ye'xue'yuan 江西司法警官职业学院
'jiang'xi'tai'hao'dong'man'zhi'ye'xue'yuan 江西泰豪动漫职业学院
'jiang'xi'tao'ci'gong'yi'mei'shu'zhi'ye'ji'shu'xue'yuan 江西陶瓷工艺美术职业技术学院
'jiang'xi'wai'yu'wai'mao'zhi'ye'xue'yuan 江西外语外贸职业学院
'jiang'xi'wei'sheng'zhi'ye'xue'yuan 江西卫生职业学院
'jiang'xi'wu'yuan'cha'ye'zhi'ye'xue'yuan 江西婺源茶业职业学院
'jiang'xi'xian'dai'zhi'ye'ji'shu'xue'yuan 江西现代职业技术学院
'jiang'xi'xin'neng'yuan'ke'ji'zhi'ye'xue'yuan 江西新能源科技职业学院
'jiang'xi'xin'xi'ying'yong'zhi'ye'ji'shu'xue'yuan 江西信息应用职业技术学院
'jiang'xi'ye'jin'zhi'ye'ji'shu'xue'yuan 江西冶金职业技术学院
'jiang'xi'yi'shu'zhi'ye'xue'yuan 江西艺术职业学院
'jiang'xi'yi'xue'gao'deng'zhuan'ke'xue'xiao 江西医学高等专科学校
'jiang'xi'ying'yong'gong'cheng'zhi'ye'xue'yuan 江西应用工程职业学院
'jiang'xi'ying'yong'ji'shu'zhi'ye'xue'yuan 江西应用技术职业学院
'jiang'xi'ying'yong'ke'ji'xue'yuan 江西应用科技学院
'jiang'xi'zhi'zao'zhi'ye'ji'shu'xue'yuan 江西制造职业技术学院
'jiang'xi'zhong'yi'yao'da'xue 江西中医药大学
'jiang'xi'zhong'yi'yao'gao'deng'zhuan'ke'xue'xiao 江西中医药高等专科学校
'jiang'yang'cheng'jian'zhi'ye'xue'yuan 江阳城建职业学院
'jiang'yin'zhi'ye'ji'shu'xue'yuan 江阴职业技术学院
'jiao'zuo'da'xue 焦作大学
'jiao'zuo'gong'mao'zhi'ye'xue'yuan 焦作工贸职业学院
'jiao'zuo'shi'fan'gao'deng'zhuan'ke'xue'xiao 焦作师范高等专科学校
'jie'yang'zhi'ye'ji'shu'xue'yuan 揭阳职业技术学院
'jin'cheng'zhi'ye'ji'shu'xue'yuan 晋城职业技术学院
'jin'hua'zhi'ye'ji'shu'xue'yuan 金华职业技术学院
'jin'ken'zhi'ye'ji'shu'xue'yuan 金肯职业技术学院
'jin'ling'ke'ji'xue'yuan 金陵科技学院
'jin'shan'zhi'ye'ji'shu'xue'yuan 金山职业技术学院
'jin'zhong'shi'fan'gao'deng'zhuan'ke'xue'xiao 晋中师范高等专科学校
'jin'zhong'xin'xi'xue'yuan 晋中信息学院
'jin'zhong'xue'yuan 晋中学院
'jin'zhong'zhi'ye'ji'shu'xue'yuan 晋中职业技术学院
'jin'zhou'shi'fan'gao'deng'zhuan'ke'xue'xiao 锦州师范高等专科学校
'jin'zhou'yi'ke'da'xue 锦州医科大学
'jin'zhou'yi'ke'da'xue'yi'liao'xue'yuan 锦州医科大学医疗学院
'jing'chu'li'gong'xue'yuan 荆楚理工学院
'jing'de'zhen'tao'ci'da'xue 景德镇陶瓷大学
'jing'de'zhen'tao'ci'zhi'ye'ji'shu'xue'yuan 景德镇陶瓷职业技术学院
'jing'de'zhen'xue'yuan 景德镇学院
'jing'de'zhen'yi'shu'zhi'ye'da'xue 景德镇艺术职业大学
'jing'gang'shan'da'xue 井冈山大学
'jing'men'zhi'ye'xue'yuan 荆门职业学院
'jing'zhou'li'gong'zhi'ye'xue'yuan 荆州理工职业学院
'jing'zhou'xue'yuan 荆州学院
'jing'zhou'zhi'ye'ji'shu'xue'yuan 荆州职业技术学院
'jiu'jiang'li'gong'zhi'ye'xue'yuan 九江理工职业学院
'jiu'jiang'xue'yuan 九江学院
'jiu'jiang'zhi'ye'da'xue 九江职业大学
'jiu'jiang'zhi'ye'ji'shu'xue'yuan 九江职业技术学院
'jiu'quan'zhi'ye'ji'shu'xue'yuan 酒泉职业技术学院
'jiu'zhou'zhi'ye'ji'shu'xue'yuan 九州职业技术学院
'ka'shi'da'xue 喀什大学
'ka'shi'zhi'ye'ji'shu'xue'yuan 喀什职业技术学院
'kai'feng'da'xue 开封大学
'kai'feng'wen'hua'yi'shu'zhi'ye'xue'yuan 开封文化艺术职业学院
'kai'li'xue'yuan 凯里学院
'ke'er'qin'yi'shu'zhi'ye'xue'yuan 科尔沁艺术职业学院
'ke'la'ma'yi'zhi'ye'ji'shu'xue'yuan 克拉玛依职业技术学院
'ke'zi'le'su'zhi'ye'ji'shu'xue'yuan 克孜勒苏职业技术学院
'kun'ming'cheng'shi'xue'yuan 昆明城市学院
'kun'ming'gong'ye'zhi'ye'ji'shu'xue'yuan 昆明工业职业技术学院
'kun'ming'li'gong'da'xue 昆明理工大学
'kun'ming'li'gong'da'xue'jin'qiao'xue'yuan 昆明理工大学津桥学院
'kun'ming'tie'dao'zhi'ye'ji'shu'xue'yuan 昆明铁道职业技术学院
'kun'ming'wei'sheng'zhi'ye'xue'yuan 昆明卫生职业学院
'kun'ming'wen'li'xue'yuan 昆明文理学院
'kun'ming'xue'yuan 昆明学院
'kun'ming'ye'jin'gao'deng'zhuan'ke'xue'xiao 昆明冶金高等专科学校
'kun'ming'yi'ke'da'xue 昆明医科大学
'kun'ming'yi'ke'da'xue'hai'yuan'xue'yuan 昆明医科大学海源学院
'kun'ming'yi'shu'zhi'ye'xue'yuan 昆明艺术职业学院
'kun'ming'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 昆明幼儿师范高等专科学校
'kun'shan'deng'yun'ke'ji'zhi'ye'xue'yuan 昆山登云科技职业学院
'kun'shan'du'ke'da'xue 昆山杜克大学
'la'sa'shi'fan'gao'deng'zhuan'ke'xue'xiao 拉萨师范高等专科学校
'lai'wu'zhi'ye'ji'shu'xue'yuan 莱芜职业技术学院
'lan'kao'san'nong'zhi'ye'xue'yuan 兰考三农职业学院
'lan'zhou'bo'wen'ke'ji'xue'yuan 兰州博文科技学院
'lan'zhou'cai'jing'da'xue 兰州财经大学
'lan'zhou'cheng'shi'xue'yuan 兰州城市学院
'lan'zhou'da'xue 兰州大学
'lan'zhou'gong'shang'xue'yuan 兰州工商学院
'lan'zhou'gong'ye'xue'yuan 兰州工业学院
'lan'zhou'hang'kong'zhi'ye'ji'shu'xue'yuan 兰州航空职业技术学院
'lan'zhou'jiao'tong'da'xue 兰州交通大学
'lan'zhou'ke'ji'zhi'ye'xue'yuan 兰州科技职业学院
'lan'zhou'li'gong'da'xue 兰州理工大学
'lan'zhou'shi'hua'zhi'ye'ji'shu'da'xue 兰州石化职业技术大学
'lan'zhou'wai'yu'zhi'ye'xue'yuan 兰州外语职业学院
'lan'zhou'wen'li'xue'yuan 兰州文理学院
'lan'zhou'xian'dai'zhi'ye'xue'yuan 兰州现代职业学院
'lan'zhou'xin'xi'ke'ji'xue'yuan 兰州信息科技学院
'lan'zhou'zhi'ye'ji'shu'xue'yuan 兰州职业技术学院
'lan'zhou'zi'yuan'huan'jing'zhi'ye'ji'shu'da'xue 兰州资源环境职业技术大学
'lang'fang'shi'fan'xue'yuan 廊坊师范学院
'lang'fang'wei'sheng'zhi'ye'xue'yuan 廊坊卫生职业学院
'lang'fang'yan'jing'zhi'ye'ji'shu'xue'yuan 廊坊燕京职业技术学院
'lang'fang'zhi'ye'ji'shu'xue'yuan 廊坊职业技术学院
'le'shan'shi'fan'xue'yuan 乐山师范学院
'le'shan'zhi'ye'ji'shu'xue'yuan 乐山职业技术学院
'li'jiang'shi'fan'gao'deng'zhuan'ke'xue'xiao 丽江师范高等专科学校
'li'jiang'wen'hua'lv'you'xue'yuan 丽江文化旅游学院
'li'ming'zhi'ye'da'xue 黎明职业大学
'li'shui'xue'yuan 丽水学院
'li'shui'zhi'ye'ji'shu'xue'yuan 丽水职业技术学院
'lian'yun'gang'shi'fan'gao'deng'zhuan'ke'xue'xiao 连云港师范高等专科学校
'lian'yun'gang'zhi'ye'ji'shu'xue'yuan 连云港职业技术学院
'liao'cheng'da'xue 聊城大学
'liao'cheng'da'xue'dong'chang'xue'yuan 聊城大学东昌学院
'liao'cheng'zhi'ye'ji'shu'xue'yuan 聊城职业技术学院
'liao'dong'xue'yuan 辽东学院
'liao'he'shi'you'zhi'ye'ji'shu'xue'yuan 辽河石油职业技术学院
'liao'ning'cai'mao'xue'yuan 辽宁财贸学院
'liao'ning'cheng'shi'jian'she'zhi'ye'ji'shu'xue'yuan 辽宁城市建设职业技术学院
'liao'ning'chuan'mei'xue'yuan 辽宁传媒学院
'liao'ning'da'xue 辽宁大学
'liao'ning'di'zhi'gong'cheng'zhi'ye'xue'yuan 辽宁地质工程职业学院
'liao'ning'dui'wai'jing'mao'xue'yuan 辽宁对外经贸学院
'liao'ning'gong'cheng'ji'shu'da'xue 辽宁工程技术大学
'liao'ning'gong'cheng'zhi'ye'xue'yuan 辽宁工程职业学院
'liao'ning'gong'ye'da'xue 辽宁工业大学
'liao'ning'guang'gao'zhi'ye'xue'yuan 辽宁广告职业学院
'liao'ning'gui'dao'jiao'tong'zhi'ye'xue'yuan 辽宁轨道交通职业学院
'liao'ning'he'shi'yi'xue'yuan 辽宁何氏医学院
'liao'ning'ji'dian'zhi'ye'ji'shu'xue'yuan 辽宁机电职业技术学院
'liao'ning'jian'zhu'zhi'ye'xue'yuan 辽宁建筑职业学院
'liao'ning'jin'rong'zhi'ye'xue'yuan 辽宁金融职业学院
'liao'ning'jing'cha'xue'yuan 辽宁警察学院
'liao'ning'jing'ji'zhi'ye'ji'shu'xue'yuan 辽宁经济职业技术学院
'liao'ning'ke'ji'da'xue 辽宁科技大学
'liao'ning'ke'ji'xue'yuan 辽宁科技学院
'liao'ning'li'gong'xue'yuan 辽宁理工学院
'liao'ning'li'gong'zhi'ye'da'xue 辽宁理工职业大学
'liao'ning'min'zu'shi'fan'gao'deng'zhuan'ke'xue'xiao 辽宁民族师范高等专科学校
'liao'ning'nong'ye'zhi'ye'ji'shu'xue'yuan 辽宁农业职业技术学院
'liao'ning'qing'gong'zhi'ye'xue'yuan 辽宁轻工职业学院
'liao'ning'shang'mao'zhi'ye'xue'yuan 辽宁商贸职业学院
'liao'ning'sheng'jiao'tong'gao'deng'zhuan'ke'xue'xiao 辽宁省交通高等专科学校
'liao'ning'sheng'tai'gong'cheng'zhi'ye'xue'yuan 辽宁生态工程职业学院
'liao'ning'shi'fan'da'xue 辽宁师范大学
'liao'ning'shi'fan'da'xue'hai'hua'xue'yuan 辽宁师范大学海华学院
'liao'ning'shi'fan'gao'deng'zhuan'ke'xue'xiao 辽宁师范高等专科学校
'liao'ning'shi'hua'zhi'ye'ji'shu'xue'yuan 辽宁石化职业技术学院
'liao'ning'shi'you'hua'gong'da'xue 辽宁石油化工大学
'liao'ning'shui'wu'gao'deng'zhuan'ke'xue'xiao 辽宁税务高等专科学校
'liao'ning'te'shu'jiao'yu'shi'fan'gao'deng'zhuan'ke'xue'xiao 辽宁特殊教育师范高等专科学校
'liao'ning'ti'yu'yun'dong'zhi'ye'ji'shu'xue'yuan 辽宁体育运动职业技术学院
'liao'ning'tie'dao'zhi'ye'ji'shu'xue'yuan 辽宁铁道职业技术学院
'liao'ning'xian'dai'fu'wu'zhi'ye'ji'shu'xue'yuan 辽宁现代服务职业技术学院
'liao'ning'ye'jin'zhi'ye'ji'shu'xue'yuan 辽宁冶金职业技术学院
'liao'ning'yi'yao'zhi'ye'xue'yuan 辽宁医药职业学院
'liao'ning'zheng'fa'zhi'ye'xue'yuan 辽宁政法职业学院
'liao'ning'zhi'ye'xue'yuan 辽宁职业学院
'liao'ning'zhong'yi'yao'da'xue 辽宁中医药大学
'liao'ning'zhong'yi'yao'da'xue'xing'lin'xue'yuan 辽宁中医药大学杏林学院
'liao'ning'zhuang'bei'zhi'zao'zhi'ye'ji'shu'xue'yuan 辽宁装备制造职业技术学院
'liao'yang'zhi'ye'ji'shu'xue'yuan 辽阳职业技术学院
'liao'yuan'zhi'ye'ji'shu'xue'yuan 辽源职业技术学院
'lin'fen'zhi'ye'ji'shu'xue'yuan 临汾职业技术学院
'lin'xia'xian'dai'zhi'ye'xue'yuan 临夏现代职业学院
'lin'yi'da'xue 临沂大学
'lin'yi'ke'ji'zhi'ye'xue'yuan 临沂科技职业学院
'lin'yi'zhi'ye'xue'yuan 临沂职业学院
'lin'zhou'jian'zhu'zhi'ye'ji'shu'xue'yuan 林州建筑职业技术学院
'ling'nan'shi'fan'xue'yuan 岭南师范学院
'liu'pan'shui'shi'fan'xue'yuan 六盘水师范学院
'liu'pan'shui'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 六盘水幼儿师范高等专科学校
'liu'pan'shui'zhi'ye'ji'shu'xue'yuan 六盘水职业技术学院
'liu'zhou'cheng'shi'zhi'ye'xue'yuan 柳州城市职业学院
'liu'zhou'gong'xue'yuan 柳州工学院
'liu'zhou'tie'dao'zhi'ye'ji'shu'xue'yuan 柳州铁道职业技术学院
'liu'zhou'zhi'ye'ji'shu'xue'yuan 柳州职业技术学院
'long'dong'xue'yuan 陇东学院
'long'nan'shi'fan'gao'deng'zhuan'ke'xue'xiao 陇南师范高等专科学校
'long'yan'xue'yuan 龙岩学院
'lou'di'zhi'ye'ji'shu'xue'yuan 娄底职业技术学院
'lu'an'zhi'ye'ji'shu'xue'yuan 六安职业技术学院
'lu'an'zhi'ye'ji'shu'xue'yuan 潞安职业技术学院
'lu'dong'da'xue 鲁东大学
'lu'xun'mei'shu'xue'yuan 鲁迅美术学院
'lu'zhou'yi'liao'qi'xie'zhi'ye'xue'yuan 泸州医疗器械职业学院
'lu'zhou'zhi'ye'ji'shu'xue'yuan 泸州职业技术学院
'luo'ding'zhi'ye'ji'shu'xue'yuan 罗定职业技术学院
'luo'he'shi'pin'zhi'ye'xue'yuan 漯河食品职业学院
'luo'he'yi'xue'gao'deng'zhuan'ke'xue'xiao 漯河医学高等专科学校
'luo'he'zhi'ye'ji'shu'xue'yuan 漯河职业技术学院
'luo'yang'ke'ji'zhi'ye'xue'yuan 洛阳科技职业学院
'luo'yang'li'gong'xue'yuan 洛阳理工学院
'luo'yang'shi'fan'xue'yuan 洛阳师范学院
'luo'yang'wen'hua'lv'you'zhi'ye'xue'yuan 洛阳文化旅游职业学院
'luo'yang'zhi'ye'ji'shu'xue'yuan 洛阳职业技术学院
'lv'liang'xue'yuan 吕梁学院
'lv'liang'zhi'ye'ji'shu'xue'yuan 吕梁职业技术学院
'ma'an'shan'shi'fan'gao'deng'zhuan'ke'xue'xiao 马鞍山师范高等专科学校
'ma'an'shan'xue'yuan 马鞍山学院
'ma'an'shan'zhi'ye'ji'shu'xue'yuan 马鞍山职业技术学院
'man'zhou'li'e'yu'zhi'ye'xue'yuan 满洲里俄语职业学院
'mao'ming'zhi'ye'ji'shu'xue'yuan 茂名职业技术学院
'mao'tai'xue'yuan 茅台学院
'mei'he'kou'kang'mei'zhi'ye'ji'shu'xue'yuan 梅河口康美职业技术学院
'mei'shan'yao'ke'zhi'ye'xue'yuan 眉山药科职业学院
'mei'shan'zhi'ye'ji'shu'xue'yuan 眉山职业技术学院
'mei'zhou'wan'zhi'ye'ji'shu'xue'yuan 湄洲湾职业技术学院
'mian'yang'cheng'shi'xue'yuan 绵阳城市学院
'mian'yang'fei'xing'zhi'ye'xue'yuan 绵阳飞行职业学院
'mian'yang'shi'fan'xue'yuan 绵阳师范学院
'mian'yang'zhi'ye'ji'shu'xue'yuan 绵阳职业技术学院
'min'ban'an'hui'lv'you'zhi'ye'xue'yuan 民办安徽旅游职业学院
'min'ban'he'fei'bin'hu'zhi'ye'ji'shu'xue'yuan 民办合肥滨湖职业技术学院
'min'ban'he'fei'cai'jing'zhi'ye'xue'yuan 民办合肥财经职业学院
'min'ban'he'fei'jing'ji'ji'shu'zhi'ye'xue'yuan 民办合肥经济技术职业学院
'min'ban'si'chuan'tian'yi'xue'yuan 民办四川天一学院
'min'ban'wan'bo'ke'ji'zhi'ye'xue'yuan 民办万博科技职业学院
'min'bei'zhi'ye'ji'shu'xue'yuan 闽北职业技术学院
'min'jiang'shi'fan'gao'deng'zhuan'ke'xue'xiao 闽江师范高等专科学校
'min'jiang'xue'yuan 闽江学院
'min'nan'ke'ji'xue'yuan 闽南科技学院
'min'nan'li'gong'xue'yuan 闽南理工学院
'min'nan'shi'fan'da'xue 闽南师范大学
'min'xi'zhi'ye'ji'shu'xue'yuan 闽西职业技术学院
'ming'da'zhi'ye'ji'shu'xue'yuan 明达职业技术学院
'mu'dan'jiang'da'xue 牡丹江大学
'mu'dan'jiang'shi'fan'xue'yuan 牡丹江师范学院
'mu'dan'jiang'yi'xue'yuan 牡丹江医学院
'nan'chang'da'xue 南昌大学
'nan'chang'da'xue'gong'qing'xue'yuan 南昌大学共青学院
'nan'chang'da'xue'ke'xue'ji'shu'xue'yuan 南昌大学科学技术学院
'nan'chang'gong'cheng'xue'yuan 南昌工程学院
'nan'chang'gong'xue'yuan 南昌工学院
'nan'chang'hang'kong'da'xue 南昌航空大学
'nan'chang'hang'kong'da'xue'ke'ji'xue'yuan 南昌航空大学科技学院
'nan'chang'jian'kang'zhi'ye'ji'shu'xue'yuan 南昌健康职业技术学院
'nan'chang'jiao'tong'xue'yuan 南昌交通学院
'nan'chang'li'gong'xue'yuan 南昌理工学院
'nan'chang'shi'fan'xue'yuan 南昌师范学院
'nan'chang'yi'xue'yuan 南昌医学院
'nan'chang'ying'shi'chuan'bo'zhi'ye'xue'yuan 南昌影视传播职业学院
'nan'chang'ying'yong'ji'shu'shi'fan'xue'yuan 南昌应用技术师范学院
'nan'chang'zhi'ye'da'xue 南昌职业大学
'nan'chong'dian'ying'gong'ye'zhi'ye'xue'yuan 南充电影工业职业学院
'nan'chong'ke'ji'zhi'ye'xue'yuan 南充科技职业学院
