'a'ji'mi'de'luo'xian 阿基米德螺线
'qu'dun'hua 去钝化
'qu'guai'yuan'jian 曲拐元件
'qu'lv'zhong'xin'dian'qu'xian 曲率中心点曲线
'qu'lv'zhu'dian 曲率驻点
'qu'mian'de'te'li'yi'ping'mian 曲面的特例一平面
'qu'mian'shou'bing 曲面手柄
'qu'mian'zhuan'dong'shou'bing 曲面转动手柄
'qu'xian'chi'zhui'chi'lun 曲线齿锥齿轮
'quan'jin'shi'yan 全浸试验
'quan'luo'wen'luo'zhu 全螺纹螺柱
'quan'shu 圈数
'quan'tao'shi'yan'shai 全套试验筛
'que'ding'li 确定力
'que'ding'xing'gu'zhang 确定性故障
'que'ding'xing'zhen'dong 确定性振动
'que'dong'tu'lun 确动凸轮
'que'you 缺油
'rao'dong'li 扰动力
'rao'dong'li'ju 扰动力矩
're'ban 热斑
're'fu'shi 热腐蚀
're'mo'sun 热磨损
're'ou'fu'shi 热偶腐蚀
're'pi'lao 热疲劳
're'shuai'tui 热衰退
're'shuai'tui'he'you 热衰退和油
're'xie 热楔
're'ying'xiang'ceng 热影响层
're'zai'he'zhi 热载荷值
're'zhi'bu'ping'heng 热致不平衡
're'zhu'bei 热贮备
'ren'gong'lao'hua'shi'yan 人工老化试验
'ren'li'zhi'dong'qi 人力制动器
'ren'wu'pou'mian 任务剖面
'ren'yi 任意
'ren'zao'hai'shui 人造海水
'ren'zi'chi'lun 人字齿轮
'rong'ji'sun'shi 容积损失
'rong'ji'xiao'lv 容积效率
'rong'jie'yang 溶解氧
'rou'du 柔度
'rou'lun 柔轮
'rou'lun'chang'du 柔轮长度
'rou'lun'chang'jing'bi 柔轮长径比
'rou'lun'chang'zhou 柔轮长轴
'rou'lun'chen'huan 柔轮衬环
'rou'lun'chi'jian'kai'xian'qi'shi'yuan 柔轮齿渐开线起始圆
'rou'lun'chi'quan 柔轮齿圈
'rou'lun'chi'quan'bi'hou 柔轮齿圈壁厚
'rou'lun'chi'quan'bi'hou'zhong'xing'ceng 柔轮齿圈壁厚中性层
'rou'lun'duan'zhou 柔轮短轴
'rou'lun'nei'jing 柔轮内径
'rou'lun'tong'ti'bi'hou 柔轮筒体壁厚
'rou'lun'wai'jing 柔轮外径
'rou'xing'chi'lun 柔性齿轮
'rou'xing'chong'ji 柔性冲击
'rou'xing'gun'dong'zhou'cheng 柔性滚动轴承
'rou'xing'zhuan'zi 柔性转子
'run'hua 润滑
'run'hua'fang'shi 润滑方式
'run'hua'ji 润滑剂
'run'hua'ji'xiang'rong'xing 润滑剂相容性
'run'hua'jiao 润滑角
'run'hua'lei'xing 润滑类型
'run'hua'xing 润滑性
'run'hua'zhi 润滑脂
'run'hua'zhi'shi'xiao'ying'hua 润滑脂时效硬化
'run'hua'zhuang'tai 润滑状态
'run'shi'xing 润湿性
'ruo'zhi'gu'zhang 弱质故障
'ruo'zhi'shi'xiao 弱质失效
'san'bo 三波
'san'dian'jie'chu'qiu'zhou'cheng 三点接触球轴承
'san'gun'lun'bo'fa'sheng'qi 三滚轮波发生器
'san'jiao'tu'yuan'luo'mu 三角凸缘螺母
'san'pai'gun'zi'lian 三排滚子链
'san'xin'ding'li 三心定理
'san'yuan'pan'bo'fa'sheng'qi 三圆盘波发生器
'shai'ban'hou'du 筛板厚度
'shai'fen 筛分
'shai'fen'li'du'fen'xi 筛分粒度分析
'shai'fen'mian'ji'bai'fen'lv 筛分面积百分率
'shai'fen'shi'yan 筛分试验
'shai'fen'zhong'dian 筛分终点
'shai'gai 筛盖
'shai'kong 筛孔
'shai'kong'chi'cun 筛孔尺寸
'shai'kuang 筛框
'shai'mian 筛面
'shai'shang'wu 筛上物
'shai'shang'wu'lei'ji'fen'bu'qu'xian 筛上物累计分布曲线
'shai'xia'wu 筛下物
'shai'xia'wu'lei'ji'fen'bu'qu'xian 筛下物累计分布曲线
'shai'zi 筛子
'shan'zheng'xian'xiang 闪蒸现象
'shang'chi'mian 上齿面
'shang'pian'cha 上偏差
'shao'chi'cha'chi'lun'fu 少齿差齿轮副
'shao'jie'jin'shu'mo'ca'cai'liao 烧结金属摩擦材料
'shao'jie'zhou'cheng'cai'liao 烧结轴承材料
'shao'shang 烧伤
'she'ji'gao'du 设计高度
'she'ji'gu'zhang 设计故障
'she'ji'liu'xian 设计流线
'she'ji'ping'shen 设计评审
'she'ji'shi'xiao 设计失效
'she'ji'tu 设计图
'she'ji'ya'xing 设计牙型
'she'xing'tan'huang 蛇形弹簧
'she'xing'tan'huang'lian'zhou'qi 蛇形弹簧联轴器
'shen'gou'qiu'zhou'cheng 深沟球轴承
'shen'xi 渗析
'shen'zhi'xian'chang 伸直弦长
'sheng'cheng 升程
'sheng'jiang'shi'yan'fa 升降试验法
'sheng'lue'hua'fa 省略画法
'sheng'pi'lao 声疲劳
'sheng'suo'qi'gang 绳索气缸
'sheng'xue 声学
'sheng'yin 声音
'sheng'yu'bu'ping'heng 剩余不平衡
'sheng'yu'qiang'du 剩余强度
'sheng'yu'zhen'dong 剩余振动
'shi'er'jiao'tou'fa'lan'mian'luo'shuan 十二角头法兰面螺栓
'shi'gong'tu 施工图
'shi'ji'chi'cun 实际尺寸
'shi'ji'hao'qi'liang 实际耗气量
'shi'ji'mo'ca'mian'shu 实际摩擦面数
'shi'ji'neng'tou 实际能头
'shi'ji'pian'cha 实际偏差
'shi'ji'yao'su 实际要素
'shi'jia'zhi'liang 试加质量
'shi'jian 试件
'shi'jian'li'cheng 时间历程
'shi'kong'qi 湿空气
'shi'kong'xi'tong 施控系统
'shi'kong'zhuang'zhi 施控装置
'shi'mian'mo'ca'cai'liao 石棉摩擦材料
'shi'mo'hua'fu'shi 石墨化腐蚀
'shi're'shi'yan 湿热试验
'shi'shai'fen 湿筛分
'shi'shi'li'he'qi 湿式离合器
'shi'shi'mo'ca 湿式摩擦
'shi'shi'zhi'dong'qi 湿式制动器
'shi'tu 视图
'shi'xiao 失效
'shi'xiao'ji'li 失效机理
'shi'xiao'lv 失效率
'shi'xiao'lv'qu'xian 失效率曲线
'shi'xiao'shu'ju'zhi'fang'tu 失效数据直方图
'shi'xiao'yuan'yin 失效原因
'shi'xin'xiao'zhou 实心销轴
'shi'yan'shai 试验筛
'shi'yan'yong'tao'shai 试验用套筛
'shi'yan'zhi'liang 试验质量
'shi'yi'hua'fa 示意画法
'shi'yong 使用
'shi'yong'shi'yan 实用试验
'shi'zai'zhi'liang 视在质量
'shi'zi 十字
'shi'zi'ba'shou 十字把手
'shi'zi'cao'ban'chen'tou'luo'ding 十字槽半沉头螺钉
'shi'zi'cao'ban'chen'tou'mu'luo'ding 十字槽半沉头木螺钉
'shi'zi'cao'chen'tou'luo'ding 十字槽沉头螺钉
'shi'zi'cao'chen'tou'mu'luo'ding 十字槽沉头木螺钉
'shi'zi'cao'pan'tou'luo'ding 十字槽盘头螺钉
'shi'zi'cao'pan'tou'mu'luo'ding 十字槽盘头木螺钉
'shi'zi'cao'pan'tou'zi'qie'luo'ding 十字槽盘头自切螺钉
'shi'zi'hua'kuai'lian'zhou'qi 十字滑块联轴器
'shi'zi'zhou'shi'wan'xiang'lian'zhou'qi 十字轴式万向联轴器
'shou'bing 手柄
'shou'bing'gan 手柄杆
'shou'bing'qiu 手柄球
'shou'bing'tao 手柄套
'shou'bing'zuo 手柄座
'shou'lun 手轮
'shou'ming 寿命
'shou'ming'gu'suan 寿命估算
'shou'ming'ping'mian 寿命平面
'shou'ming'pou'mian 寿命剖面
'shou'ming'qu'xian 寿命曲线
'shou'ming'xi'shu 寿命系数
'shou'ming'xiu'zheng'xi'shu 寿命修正系数
'shou'ming'zhou'qi'fei'yong 寿命周期费用
'shou'po'zhen'dong 受迫振动
'shu'chu'gou'jian 输出构件
'shu'chu'ji'gou 输出机构
'shu'chu'zhuan'ju 输出转矩
'shu'dian 枢点
'shu'dian'qu'xian 枢点曲线
'shu'ru'gou'jian 输入构件
'shu'ru'zhuan'ju 输入转矩
'shu'song'lian 输送链
'shu'zhuang'yun'dong'lian 树状运动链
'shuai'tui 衰退
'shuang'beng'lun'ye'li'bian'ju'qi 双泵轮液力变矩器
'shuang'bing'dui'zhong'shou'bing 双柄对重手柄
'shuang'bo 双波
'shuang'chong'shou'suo'chi'zhui'chi'lun 双重收缩齿锥齿轮
'shuang'chong'zhui'du'chi'zhui'chi'lun 双重锥度齿锥齿轮
'shuang'dao'cheng'yuan'zhu'wo'gan 双导程圆柱蜗杆
'shuang'dao'gan'ji'gou 双导杆机构
'shuang'duan'mian'ji'xie'mi'feng 双端面机械密封
'shuang'er'zhi'dong'dian'quan 双耳止动垫圈
'shuang'gun'lun'bo'fa'sheng'qi 双滚轮波发生器
'shuang'hua'kuai'ji'gou 双滑块机构
'shuang'jin'shu'fu'shi 双金属腐蚀
'shuang'lian'li'he'qi 双联离合器
'shuang'lie'dan'xiang'tui'li'qiu'zhou'cheng 双列单向推力球轴承
'shuang'lie'zhou'cheng 双列轴承
'shuang'mian 双面
'shuang'pai'gun'zi'lian 双排滚子链
'shuang'pai'lian'lun 双排链轮
'shuang'pai'shu'song'lian 双排输送链
'shuang'qiang'ye'li'ou'he'qi 双腔液力偶合器
'shuang'qu'bing'ji'gou 双曲柄机构
'shuang'quan'tan'huang'dian'quan 双圈弹簧垫圈
'shuang'ti'zhi'dong'qi 双蹄制动器
'shuang'ting'xie'yun'dong 双停歇运动
'shuang'tou'luo'zhu 双头螺柱
'shuang'wan'xiang'lian'zhou'qi 双万向联轴器
'shuang'wo'lun'ye'li'bian'ju'qi 双涡轮液力变矩器
'shuang'xiang'li'he'qi 双向离合器
'shuang'xiang'tui'li'zhou'cheng 双向推力轴承
'shuang'xiang'zhi'dong'qi 双向制动器
'shuang'xie'chi'lun 双斜齿轮
'shuang'ya'fa 双压阀
'shuang'yao'gan'ji'gou 双摇杆机构
'shuang'yuan'hu'chi'lun 双圆弧齿轮
'shuang'yuan'pan'bo'fa'sheng'qi 双圆盘波发生器
'shuang'zhong'xing'rou'lun 双钟形柔轮
'shuang'zuo'yong'li'he'qi 双作用离合器
'shui'ping'zhi'dong 水平制动
'shui'wo'liu'zhi'dong'qi 水涡流制动器
'shui'xian'fu'shi 水线腐蚀
'shun'bei'ke'qu'xian 瞬贝克曲线
'shun'jian'dong'mo'ca'xi'shu 瞬间动摩擦系数
'shun'shi 瞬时
'shun'shi'luo'xuan'zhou 瞬时螺旋轴
'shun'shi'zhou 瞬时轴
'shun'tai'zhen'dong 瞬态振动
'shun'xin'xian 瞬心线
'shun'xin'xian'ji'gou 瞬心线机构
'shun'xu'fa 顺序阀
'shun'ying'xing 顺应性
'shun'zhou'mian 瞬轴面
'si'dian'jie'chu'qiu'zhou'cheng 四点接触球轴承
'si'fu'fa 伺服阀
'si'gan'ji'gou 四杆机构
'si'gan'yun'dong'lian 四杆运动链
'si'gun'lun'bo'fa'sheng'qi 四滚轮波发生器
'si'jing 丝径
'si'kai'xing'lie'wen 撕开型裂纹
'si'tuo'ke'si'fang'cheng 斯托克司方程
'si'zhuang'fu'shi 丝状腐蚀
'song'bian'la'li 松边拉力
'song'ti 松蹄
'song'zhuang'mi'du 松装密度
'su'bi 速比
'su'du'duo'bian'xing'gang'gan'fa 速度多边形杠杆法
'su'du'huan'liang 速度环量
'su'du'shun'xin 速度瞬心
'su'du'xi'shu 速度系数
'su'liao'zhou'cheng 塑料轴承
'su'xing'liu'ti'dong'li'run'hua 塑性流体动力润滑
'suan'tu 算图
'sui'ge'zhong'zhou'cheng'she 随各种轴承设
'sui'ji'li 随机力
'sui'ji'shi'yan 随机试验
'sui'ji'xian'xiang 随机现象
'sui'ji'zai'he 随机载荷
'sui'ji'zao'sheng 随机噪声
'sui'ji'zhen'dong 随机振动
'sui'xun'huan'de'zeng'jia'er'jian'xiao 随循环的增加而减小
'sui'xun'huan'de'zeng'jia'er'zeng'jia 随循环的增加而增加
'sun'cao'mian'fa'lan 榫槽面法兰
'sun'shang'rong'xian'she'ji 损伤容限设计
'suo'duan'jian'kai'xian 缩短渐开线
'suo'fa 梭阀
'suo'jin'dian'quan 锁紧垫圈
'suo'jin'shou'bing'tao 锁紧手柄套
'suo'jing 索径
'suo'ju 索距
'suo'kou'qiu'zhou'cheng 锁口球轴承
'suo'mo'fei'shu 索末菲数
'suo'ning'jiao 索拧角
'suo'quan 锁圈
'ta'ding'fa 塔顶法
'ta'lun 塔轮
'tai'yang'lun 太阳轮
'tan'fu'he'cai'liao 碳复合材料
'tan'fu'he'cai'liao'ca'cai'liao 碳复合材料擦材料
'tan'huang 弹簧
'tan'huang'dian'quan 弹簧垫圈
'tan'huang'gang'du 弹簧刚度
'tan'huang'gu 弹簧箍
'tan'huang'jing'zhi'shi'ji'xie'mi'feng 弹簧静止式机械密封
'tan'huang'nei'zhi'shi'ji'xie'mi'feng 弹簧内置式机械密封
'tan'huang'rou'du 弹簧柔度
'tan'huang'te'xing 弹簧特性
'tan'huang'wai'zhi'shi'ji'xie'mi'feng 弹簧外置式机械密封
'tan'huang'xuan'zhuan'shi'ji'xie'mi'feng 弹簧旋转式机械密封
'tan'huang'ya'qiang 弹簧压强
'tan'huang'zhong'jing 弹簧中径
'tan'huang'zuo 弹簧座
'tan'su'xing'duan'lie'li'xue'fen'xi 弹塑性断裂力学分析
'tan'xing'bu'jian 弹性部件
'tan'xing'dang'quan 弹性挡圈
'tan'xing'dian'quan 弹性垫圈
'tan'xing'dong'li'xue'fen'xi 弹性动力学分析
'tan'xing'gou'jian 弹性构件
'tan'xing'li'he'qi 弹性离合器
'tan'xing'lian'jie 弹性联接
'tan'xing'lian'zhou'qi 弹性联轴器
'tan'xing'liu'ti'dong'li'run'hua 弹性流体动力润滑
'tan'xing'luo'shuan 弹性螺栓
'tan'xing'peng'zhuang 弹性碰撞
'tan'xing'suo'pian 弹性锁片
'tan'xing'tao'zhu'xiao'lian'zhou'qi 弹性套柱销联轴器
'tan'xing'ying'bian'he'su'xing'ying'bian 弹性应变和塑性应变
'tan'xing'yuan'zhu'xiao 弹性圆柱销
'tan'xing'zhi'cheng 弹性支承
'tan'xing'zhu'xiao'chi'shi'lian'zhou'qi 弹性柱销齿式联轴器
'tan'xing'zhu'xiao'lian'zhou'qi 弹性柱销联轴器
'tao'quan'kuan'du 套圈宽度
'tao'tong 套筒
'tao'tong'jia'tou 套筒夹头
'tao'tong'lian 套筒链
'tao'tong'lian'zhou'qi 套筒联轴器
'te'xing 特性
'ti'dai'ji'gou 替代机构
'ti'xing'chong'ji'mai'chong 梯形冲击脉冲
'tian'jia'ji 添加剂
'tiao'chi'xian'xiang 跳齿现象
'tiao'dong'gong'cha 跳动公差
'tiao'jian'shi'jian 条件事件
'tiao'su'dian'qi'chuan'dong 调速电气传动
'tiao'su'fa 调速阀
'tiao'su'fan'wei 调速范围
'tiao'su'li'he'qi 调速离合器
'tiao'su'qi 调速器
'tiao'su'xing'ye'li'ou'he'qi 调速型液力偶合器
'tiao'wen'liu'ti 调温流体
'tiao'xin'biao'mian'ban'jing 调心表面半径
'tiao'xin'biao'mian'zhong'xin'gao'du 调心表面中心高度
'tiao'xin'gun'zi'zhou'cheng 调心滚子轴承
'tiao'xin'zhou'cheng 调心轴承
'tiao'yue 跳跃
'tie'ji'mo'ca'pian 铁基摩擦片
'ting'yun'dong 停运动
'tong'bu'dai 同步带
'tong'bu'dai'chuan'dong 同步带传动
'tong'bu'dai'lun 同步带轮
'tong'bu'li'he'qi 同步离合器
'tong'ce'chi'mian 同侧齿面
'tong'chang'zhi'jin'shu 通常指金属
'tong'ji'mo'ca'pian 铜基摩擦片
'tong'liu'sun'shi 通流损失
'tong'pin'zhen'dong 同频振动
'tong'yuan'ji'gou 同源机构
'tou'chuan'shu 透穿数
'tou'shi'tou'ying 透视投影
'tou'shu 头数
'tou'ying 投影
'tou'ying'fa 投影法
'tou'ying'mian 投影面
'tu'chi'mian 凸齿面
'tu'hu'mian'tu'lun 凸弧面凸轮
'tu'kuang 图框
'tu'lun 凸轮
'tu'lun'chang'zhou 凸轮长轴
'tu'lun'cong'dong'jian 凸轮从动件
'tu'lun'duan'zhou 凸轮短轴
'tu'lun'gong'zuo'lun'kuo 凸轮工作轮廓
'tu'lun'gong'zuo'lun'kuo'ji'yuan 凸轮工作轮廓基圆
'tu'lun'ji'gou 凸轮机构
'tu'lun'li'lun'lun'kuo 凸轮理论轮廓
'tu'lun'li'lun'lun'kuo'ji'yuan 凸轮理论轮廓基圆
'tu'lun'shi'bo'fa'sheng'qi 凸轮式波发生器
'tu'lun'zhi'dong'qi 凸轮制动器
'tu'lun'zhou 凸轮轴
'tu'mian 凸面
'tu'mian'fa'lan 突面法兰
'tu'mo 涂抹
'tu'ran'shi'xiao 突然失效
'tu'rang'fu'shi 土壤腐蚀
'tu'xian 图线
'tu'yang 图样
'tu'yuan 凸缘
'tu'yuan'gao'du 凸缘高度
'tu'yuan'kuan'du 凸缘宽度
'tu'yuan'lian'zhou'qi 凸缘联轴器
'tu'yuan'luo'ding 凸缘螺钉
'tu'yuan'zhou'cheng 凸缘轴承
'tu'zhi'fu'mian 图纸幅面
'tuan'kuai 团块
'tui'cheng 推程
'tui'cheng'yun'dong'jiao 推程运动角
'tui'gan'huo'chi 推杆活齿
'tui'gan'zhi'dong'qi 推杆制动器
'tui'hua'shi'xiao 退化失效
'tui'li'gun'zhen'zhou'cheng 推力滚针轴承
'tui'li'gun'zi'zhou'cheng 推力滚子轴承
'tui'li'qiu'zhou'cheng 推力球轴承
'tui'li'tiao'xin'gun'zi'zhou'cheng 推力调心滚子轴承
'tui'li'yuan'zhu'gun'zi'zhou'cheng 推力圆柱滚子轴承
'tui'li'yuan'zhui'gun'zi'zhou'cheng 推力圆锥滚子轴承
'tui'li'zhou'cheng 推力轴承
'tuo'shui'shou'suo 脱水收缩
'tuo'yuan'shou'bing'tao 椭圆手柄套
'tuo'yuan'tu'lun'bo'fa'sheng'qi 椭圆凸轮波发生器
'tuo'yuan'xing'ban'tan'huang 椭圆形板弹簧
'tuo'yuan'zhen'dong 椭圆振动
'tuo'yuan'zhou'cheng 椭圆轴承
'wa'gen 挖根
'wa'kou 瓦口
'wa'kuai 瓦块
'wa'kuai'zhou'cheng 瓦块轴承
'wai'bai'xian 外摆线
'wai'bai'xian'de'deng'ju'qu'xian 外摆线的等距曲线
'wai'bao'shi'zhi'dong'qi 外抱式制动器
'wai'bo'fa'sheng'qi 外波发生器
'wai'bu'zai'he 外部载荷
'wai'cheng'jiao 外撑角
'wai'chi 外齿
'wai'chi'bai'xian'lun 外齿摆线轮
'wai'chi'gang'lun 外齿刚轮
'wai'chi'lun 外齿轮
'wai'chi'lun'fu 外齿轮副
'wai'chi'suo'jin'dian'quan 外齿锁紧垫圈
'wai'chi'zhen'chi'lun 外齿针齿轮
'wai'chuan'dong'jian 外传动件
'wai'diao'xin'zhou'cheng 外调心轴承
'wai'huan 外环
'wai'jia'dian'liu'bao'hu 外加电流保护
'wai'jia'dian'liu'fu'shi 外加电流腐蚀
'wai'jing 外径
'wai'ju'chi'suo'jin'dian'quan 外锯齿锁紧垫圈
'wai'lian'ban 外链板
'wai'lian'jie 外链节
'wai'liu'shi'ji'xie'mi'feng 外流式机械密封
'wai'luo'wen 外螺纹
'wai'pian 外片
'wai'qiu'mian'zhou'cheng 外球面轴承
'wai'quan 外圈
'wai'she'zhi'dong'dian'quan 外舌止动垫圈
'wai'xing'chi'cun 外形尺寸
'wai'xing'tu 外形图
'wai'xuan 外悬
'wai'zhi'xin'zhuan'zi 外质心转子
'wai'zhuang'shi'ji'xie'mi'feng 外装式机械密封
'wai'zhui'pan 外锥盘
'wai'zhui'ti 外锥体
'wan'ban'lian 弯板链
'wan'ban'lian'ban 弯板链板
'wan'neng'zu'pei'zhou'cheng 万能组配轴承
'wan'qu'zhen'dong 弯曲振动
'wan'quan'gu'zhang 完全故障
'wan'quan'shi'xiao 完全失效
'wan'xiang'lian'zhou'qi 万向联轴器
'wan'xiang'lian'zhou'qi'shu'chu'ji'gou 万向联轴器输出机构
'wan'zheng'luo'wen 完整螺纹
'wei'dong'fu'shi 微动腐蚀
'wei'dong'fu'shi'mo'sun 微动腐蚀磨损
'wei'dong'mo'sun 微动磨损
'wei'dong'pi'lao 微动疲劳
'wei'fen'yue'shu 微分约束
'wei'le'xiu'zheng'chu 为了修正除
'wei'qie'xiao 微切削
'wei'sheng'wu'fu'shi 微生物腐蚀
'wei'si 纬丝
'wei'xiu'xing 维修性
'wei'yi'ju'zhen 位移矩阵
'wei'yi'xiang'ying 位移响应
'wei'yuan'gong 微元功
'wei'zhi'gong'cha 位置公差
'wen'tai'zhen'dong 稳态振动
'wen'xie'lv 温斜率
'wo'gan 蜗杆
'wo'gan'chi'ding'yuan 蜗杆齿顶圆
'wo'gan'chi'ding'yuan'zhu'mian 蜗杆齿顶圆柱面
'wo'gan'chi'gen'yuan 蜗杆齿根圆
'wo'gan'chi'gen'yuan'zhu'mian 蜗杆齿根圆柱面
'wo'gan'chi'kuan 蜗杆齿宽
'wo'gan'chuan'dong 蜗杆传动
'wo'gan'duan'ping'mian 蜗杆端平面
'wo'gan'fa'ping'mian 蜗杆法平面
'wo'gan'fen'du'yuan 蜗杆分度圆
'wo'gan'fu 蜗杆副
'wo'gan'hou'fa'ping'mian 蜗杆喉法平面
'wo'gan'jie'yuan 蜗杆节圆
'wo'gan'jie'yuan'zhu'mian 蜗杆节圆柱面
'wo'gan'lun'chi 蜗杆轮齿
'wo'gan'luo'xuan'xian 蜗杆螺旋线
'wo'gan'tou'shu 蜗杆头数
'wo'gan'xuan'xiang 蜗杆旋向
'wo'gan'zhou'ping'mian 蜗杆轴平面
'wo'lun 蜗轮
'wo'lun 涡轮
'wo'lun'bian'wei'xi'shu 蜗轮变位系数
'wo'lun'chi'cao'kuan 蜗轮齿槽宽
'wo'lun'chi'ding'qu'mian 蜗轮齿顶曲面
'wo'lun'chi'gen'yuan 蜗轮齿根圆
'wo'lun'chi'gen'yuan'huan'mian 蜗轮齿根圆环面
'wo'lun'chi'hou 蜗轮齿厚
'wo'lun'chi'kuan 蜗轮齿宽
'wo'lun'chi'kuo'bian'wei'liang 蜗轮齿廓变位量
'wo'lun'ding'yuan 蜗轮顶圆
'wo'lun'ding'yuan'zhu'mian 蜗轮顶圆柱面
'wo'lun'duan'mian'chi'kuo 蜗轮端面齿廓
'wo'lun'duan'ping'mian 蜗轮端平面
'wo'lun'fen'du'yuan 蜗轮分度圆
'wo'lun'jie'yuan 蜗轮节圆
'wo'lun'jie'yuan'zhu'mian 蜗轮节圆柱面
'wo'lun'ye'li'zhuan'ju 涡轮液力转矩
'wo'lun'zhou'ping'mian 蜗轮轴平面
'wo'lun'zhuan'ju 涡轮转矩
'wu'ji'bian'su 无级变速
'wu'jiao'luo'mu 五角螺母
'wu'mao'lian 无铆链
'wu'nei'quan'de'gun'zhen'zhou'cheng 无内圈的滚针轴承
'wu're'zai'sheng 无热再生
'wu'run'hua'zhou'cheng 无润滑轴承
'wu'shi'mian'mo'ca'cai'liao 无石棉摩擦材料
'wu'ting'xie'yun'dong 无停歇运动
'wu'tou'luo'ding 无头螺钉
'wu'tou'mao'ding 无头铆钉
'wu'xian'shou'ming'she'ji 无限寿命设计
'wu'ye'pian'qu 无叶片区
'xi'sheng'yang'ji 牺牲阳极
'xi'sheng'yang'ji'bao'hu 牺牲阳极保护
'xi'tong'de'ke'kao'xing 系统的可靠性
'xi'tong'xing'gu'zhang 系统性故障
'xi'tong'xing'shi'xiao 系统性失效
'xia'chi'mian 下齿面
'xia'pian'cha 下偏差
'xian'chang 弦长
'xian'chi'gao 弦齿高
'xian'ju'xing'ye'li'ou'he'qi 限矩型液力偶合器
'xian'shi'liang 线矢量
'xian'tan'xing'duan'lie'li'xue'fen'xi 线弹性断裂力学分析
'xian'tie 衔铁
'xian'wei'zhuang'zhi 限位装置
'xian'xing'kong'zhi'xi'tong 线性控制系统
'xiang'bian'run'hua 相变润滑
'xiang'dui'gao'du 相对高度
'xiang'dui'gao'du'yue'wei 相对高度约为
'xiang'dui'mo'sun 相对磨损
'xiang'dui'mo'sun'lv 相对磨损率
'xiang'dui'nai'mo'xing 相对耐磨性
'xiang'dui'su'du'shun'xin 相对速度瞬心
'xiang'jiao'ban'lian'zhou'qi 橡胶板联轴器
'xiang'jiao'bo'wen'guan'ji'xie'mi'feng 橡胶波纹管机械密封
'xiang'jiao'dang 橡胶挡
'xiang'jiao'jin'shu'huan'lian'zhou'qi 橡胶金属环联轴器
'xiang'jiao'kuai'lian'zhou'qi 橡胶块联轴器
'xiang'jiao'tan'huang 橡胶弹簧
'xiang'jiao'tao'tong'lian'zhou'qi 橡胶套筒联轴器
'xiang'jiao'zhou'cheng 橡胶轴承
'xiang'jiao'zhou'chi'lun'fu 相交轴齿轮副
'xiang'nie'chi'mian 相啮齿面
'xiang'tu 详图
'xiang'wei'zhuan'huan'gong'kuang'dian 相位转换工况点
'xiang'xian 相限
'xiang'xin'gun'zi'zhou'cheng 向心滚子轴承
'xiang'xin'huo'tui'li'zhou'cheng 向心或推力轴承
'xiang'xin'jiao'jie'chu'zhou'cheng 向心角接触轴承
'xiang'xin'li 向心力
'xiang'xin'qiu'zhou'cheng 向心球轴承
'xiang'xin'ye'lun 向心叶轮
'xiang'xin'zhou'cheng 向心轴承
'xiao'ban'yuan'tou'mao'ding 小半圆头铆钉
'xiao'bao'liang 削薄量
'xiao'bo'wen'shou'bing'lun 小波纹手柄轮
'xiao'chi'lun 小齿轮
'xiao'duan'luo'xuan'jiao 小端螺旋角
'xiao'gun'zi 小滚子
'xiao'he'lian 销合链
'xiao'jing 小径
'xiao'jing'jian'xi 小径间隙
'xiao'kong'shu'chu'ji'gou 销孔输出机构
'xiao'lian'jie 销联接
'xiao'lian'lun 小链轮
'xiao'lv 效率
'xiao'shi'li'he'qi 销式离合器
'xiao'shou'lun 小手轮
'xiao'zhou 销轴
'xie'bi'wu'si'dian'qi'chuan'dong 谢比乌斯电气传动
'xie'bo'chi'lun'chuan'dong 谐波齿轮传动
'xie'bo'chi'lun'chuan'dong'ji'gou 谐波齿轮传动机构
'xie'bo'chi'lun'jian'su'qi 谐波齿轮减速器
'xie'bo'chi'lun'zeng'su'qi 谐波齿轮增速器
'xie'chi'lun 斜齿轮
'xie'chi'lun'fu 斜齿轮副
'xie'chi'tiao 斜齿条
'xie'chi'zhui'chi'lun 斜齿锥齿轮
'xie'dang'quan 斜挡圈
'xie'jian 楔键
'xie'jiao 楔角
'xie'jiao'wei 楔角为
'xie'jiao'zhui'chi'lun 斜交锥齿轮
'xie'jiao'zhui'chi'lun'fu 斜交锥齿轮副
'xie'kuai 楔块
'xie'kuai'ji'gou 楔块机构
'xie'kuai'li'he'qi 楔块离合器
'xie'kuai'zhi'dong'qi 楔块制动器
'xie'lou'liang 泄漏量
'xie'tou'ying 斜投影
'xie'tou'ying'fa 斜投影法
'xie'xiao'ying 楔效应
'xin'pian 芯片
'xing'cheng 行程
'xing'cheng'jie'liu'fa 行程节流阀
'xing'cheng'pian'cha 行程偏差
'xing'cheng'su'du'bian'hua'xi'shu 行程速度变化系数
'xing'feng'bi'de'tu'lun'ji'gou 形封闭的凸轮机构
'xing'lun 星轮
'xing'luo'shuan 形螺栓
'xing'mian'lian'jie 型面联接
'xing'xian'tu 型线图
'xing'xing'ba'shou 星形把手
'xing'xing'chi'lun 行星齿轮
'xing'xing'chi'lun'chuan'dong'ji'gou 行星齿轮传动机构
'xing'xing'chi'lun'xi 行星齿轮系
'xing'xing'jia 行星架
'xing'xing'lun 行星轮
'xing'xing'lun'xi 行星轮系
'xing'xing'shi'bo'fa'sheng'qi 行星式波发生器
'xing'zhuang'gong'cha 形状公差
'xiu'fu'lv 修复率
