'ai'fu'tun'suan 嗳腐吞酸
'xin'kai'qiao'yu'she 心开窍于舌
'xin'lao'shang'shen 心劳伤神
'xin'mai'bi'zu 心脉痹阻
'xin'mai'bu'tong 心脉不通
'xin'mai'qi'zhi 心脉气滞
'xin'men 囟门
'xin'men'chi'bi 囟门迟闭
'xin'pi'huo'du 心脾火毒
'xin'pi'jing'you're 心脾经有热
'xin'pi'liang'kui 心脾两亏
'xin'pi'liang'xu 心脾两虚
'xin'pi'qi'xu 心脾气虚
'xin'pi'you're 心脾有热
'xin'pi'yu'huo 心脾郁火
'xin'qi'bu'zu 心气不足
'xin'qi'da'shang 心气大伤
'xin'qi'xian'xu 心气先虚
'xin'qi'xin'yang'shou'sun 心气心阳受损
'xin'qi'xu 心气虚
'xin're'nei'chi 心热内炽
'xin're'ze'dong'feng 心热则动风
'xin'shen'bu'an 心神不安
'xin'shen'bu'jiao 心肾不交
'xin'shen'shi'yang 心神失养
'xin'shen'shou'bi 心神受蔽
'xin'shen'shou'meng 心神受蒙
'xin'shen'shui'huo'bu'neng'ji'ji 心肾水火不能既济
'xin'shen'wu'li'zhen'fen 心神无力振奋
'xin'shi'wen'yang 心失温养
'xin'tian 囟填
'xin'tong'bu'zhi 心痛不止
'xin'wei'xiong'zhong 心位胸中
'xin'xiong'fan're 心胸烦热
'xin'xu 心虚
'xin'xue'bu'zu 心血不足
'xin'xue'xu 心血虚
'xin'yang'bao'tuo 心阳暴脱
'xin'yang'bu'zhen 心阳不振
'xin'yang'ju'tuo 心阳俱脱
'xin'yang'pian'kang 心阳偏亢
'xin'yang'shen'yang 心阳肾阳
'xin'yang'shou'shang 心阳受伤
'xin'yang'xu 心阳虚
'xin'yang'xu'shuai 心阳虚衰
'xin'yin'kui'xu 心阴亏虚
'xin'yin'xin'xue'kui'hao 心阴心血亏耗
'xin'yin'xu 心阴虚
'xin'yu'xiao'chang'bing'bian'zheng 心与小肠病辨证
'xin'zang'mai'luo 心脏脉络
'xin'zhong'kong'xu 心中空虚
'xin'zhu'shen'ming 心主神明
'xin'zhu'xue'mai 心主血脉
'xing'bie 性别
'xing'dong'bu'bian 行动不便
'xing'han'zhi'leng 形寒肢冷
'xing'hou'ru'chang 醒后如常
'xing'jian'ze'shen'wang 形健则神旺
'xing'jing'fu'tong 行经腹痛
'xing'lei'se'bai 形羸色败
'xing'ming 姓名
'xing'qi'ju'bing 形气俱病
'xing'qing'huan'ji 性情缓急
'xing'qing'ji'zao 性情急躁
'xing'ti'xiao'shou 形体消瘦
'xing'ti'zhuang'shi 形体壮实
'xing'xi'rou'run 性喜柔润
'xing'xiao'er'yuan 形小而圆
'xing'xing'shi'rou 形性失柔
'xing'ze'han'zhi 醒则汗止
'xing'zhi 性质
'xing'zhuang 形状
'xing'zhuang'qi'zu 形壮气足
'xiong'bei'che'tong'ju'lie 胸背彻痛剧烈
'xiong'bu 胸部
'xiong'chang'pi'man 胸肠痞满
'xiong'men 胸闷
'xiong'men'bu'shu 胸闷不舒
'xiong'men'ou'e 胸闷呕恶
'xiong'men'xi'tai'xi 胸闷喜太息
'xiong'men'xie'tong 胸闷胁痛
'xiong'qian'zuo'men 胸前作闷
'xiong'tong 胸痛
'xiong'xie 胸胁
'xiong'xie'ku'man 胸胁苦满
'xiong'xie'zhang'men 胸胁胀闷
'xiong'xie'zhang'men'zuo'tong 胸胁胀闷作痛
'xiong'yang'bu'zhen 胸阳不振
'xiu'ti'bu'an 休惕不安
'xu'feng'nei'dong 虚风内动
'xu'han 虚寒
'xu'huo'rao'dong 虚火扰动
'xu'huo'shang'fu 虚火上浮
'xu'huo'shang'rao'huo'wei'zhong'du 虚火上扰或为中毒
'xu'huo'shang'yan 虚火上炎
'xu'huo'shang'zheng 虚火上蒸
'xu'huo'zhuo'jin 虚火灼金
'xu'jing'wei'bao 虚静为保
'xu'kuang 虚狂
'xu'lao 虚劳
'xu'mai 虚脉
'xu'man 虚满
'xu're 虚热
'xu're'nei'sheng 虚热内生
'xu're'nei'zheng 虚热内蒸
'xu'ren'bing'shi 虚人病实
'xu'ruo'bing'ti 虚弱病体
'xu'shi 虚实
'xu'shi'bing'zhong 虚实并重
'xu'shi'cuo'za 虚实错杂
'xu'shuai'yu'tuo 虚衰欲脱
'xu'xu'qie'qie 虚虚怯怯
'xu'xue'yu'zu 蓄血瘀阻
'xu'yang'shang'fu 虚阳上浮
'xu'yang'wai'yue 虚阳外越
'xu'zhang 虚胀
'xu'zheng 虚证
'xuan'fa'shou'zu 宣发受阻
'xuan'fa'su'jiang 宣发肃降
'xuan'fu'bu'tong 玄府不通
'xuan'jiang'shi'chang 宣降失常
'xuan'tong 宣通
'xuan'yun'xiong'men 眩晕胸闷
'xuan'yun'yu'pu 眩晕欲仆
'xue'bu'de'chong 血不得充
'xue'bu'shang'rong'yu'she 血不上荣于舌
'xue'bu'yang'xin 血不养心
'xue'de'wen'ze'xing 血得温则行
'xue'fen 血分
'xue'fu'hua'nong 血腐化脓
'xue'han 血寒
'xue'hang'bu'chang 血行不畅
'xue'hang'mai'zhong 血行脉中
'xue'hang'shou'zu 血行受阻
'xue'huan 血痪
'xue'liu'yong'sheng 血流涌盛
'xue'lun 血轮
'xue'luo'bi'yu 血络闭郁
'xue'luo're'sheng 血络热盛
'xue'mai'he'li 血脉和利
'xue'qi 血气
'xue're 血热
'xue're'fei'teng 血热沸腾
'xue're'jia'shi 血热夹湿
'xue're'nei'yun 血热内蕴
'xue're'ru'fei'suo 血热入肺所
'xue'shao 血少
'xue'shen'mao'kong'er'chu 血渗毛孔而出
'xue'shi'qi'tuo 血失气脱
'xue'shi'wen'yang 血失温养
'xue'shui'lin'li 血水淋漓
'xue'xu 血虚
'xue'xu'bu'run 血虚不润
'xue'xu'gan'yu 血虚肝郁
'xue'xu'sheng'feng 血虚生风
'xue'xu'sheng'feng'hua'zao 血虚生风化燥
'xue'xu'shou'feng 血虚受风
'xue'xu'tou'tong 血虚头痛
'xue'xu'yin'kui 血虚阴亏
'xue'ye'bu'zu 血液不足
'xue'ye'chong'ying 血液充盈
'xue'ye'kui'xu 血液亏虚
'xue'yu'shui'ting 血瘀水停
'xue'zao'jin'ku 血燥津枯
'xue'zhi'hua'yuan'bu'zu 血之化源不足
'xue'zhi'yun'xing 血之运行
'xun'jing'shang'chong 循经上冲
'xun'yi'mo'chuang 寻衣摸床
'xun'yi'mo'chuang 循衣摸床
'xun'zheng'gan'dan 熏蒸肝胆
'ya'chuang'fu'lan 牙床腐烂
'ya'gan 牙疳
'ya'guan'jin'bi 牙关紧闭
'yan'bi'kou'kai 眼闭口开
'yan'dan 眼丹
'yan'dao 堰刀
'yan'gan'kou'zao 咽干口燥
'yan'gan'quan'hong 咽干颧红
'yan'hou'bu'li 咽喉不利
'yan'hou'man'zhong 咽喉漫肿
'yan'hou'yang'tong 咽喉痒痛
'yan'hou'zhong'tong 咽喉肿痛
'yan're'sheng'san 炎热升散
'yan'se'dan'hong 颜色淡红
'yan'sheng'yi'mo 眼生翳膜
'yan'shi 厌食
'yan'yu'bu'xiu 言语不休
'yan'yu'qing'liang 言语清亮
'yan'yu'shi'lun 言语失伦
'yang'ban 阳斑
'yang'bu'ru'yin 阳不入阴
'yang'du're'shen 阳毒热深
'yang'huang 阳黄
'yang'ji'yin'jie 阳极阴竭
'yang'kang'sheng'feng 阳亢生风
'yang'kang'yin'kui 阳亢阴亏
'yang'ming 阳明
'yang'ming'bing 阳明病
'yang'ming'chao're 阳明潮热
'yang'ming'fu'shi'zheng 阳明腑实证
'yang'ming'jing'tou'tong 阳明经头痛
'yang'ming'qi're 阳明气热
'yang'ming're'sheng 阳明热盛
'yang'ming're'zheng 阳明热证
'yang'ming'shi're 阳明湿热
'yang'ming'wei'huo 阳明胃火
'yang'qi'bei'e 阳气被遏
'yang'qi'bu'zu 阳气不足
'yang'qi'fu'yue'wai'wang 阳气浮越外亡
'yang'qi'ji'yu'ji'biao 阳气集于肌表
'yang'qi'sun'shang 阳气损伤
'yang'qi'wai'xie 阳气外泄
'yang'qi'wei'wang 阳气未旺
'yang'qi'xu'ruo 阳气虚弱
'yang'qi'xu'shuai 阳气虚衰
'yang'qi'yu'er'bu'xuan 阳气郁而不宣
'yang'qiang'yi'ju 阳强易举
'yang're'kang'sheng 阳热亢盛
'yang're'nei'sheng 阳热内盛
'yang're'shi'zheng 阳热实证
'yang'sheng'ge'yin 阳盛格阴
'yang'sheng'shi're 阳盛实热
'yang'sheng'yin'xu 阳盛阴虚
'yang'sheng'zhi'xiang 阳盛之象
'yang'shou'mu'tu 仰首目突
'yang'shuai'qi'wei 阳衰气微
'yang'shuai'shao'qi 阳衰少气
'yang'shui 阳水
'yang'wei'zao'xie 阳萎早泄
'yang'xie'ru'yin 阳邪入阴
'yang'xu'han'zheng 阳虚寒证
'yang'xu'jin'kui 阳虚津亏
'yang'xu'qi'hua'bu'xing 阳虚气化不行
'yang'xu'shui'shi'bu'hua 阳虚水湿不化
'yang'xu'yu'tuo 阳虚欲脱
'yang'xu'ze'yin'sheng 阳虚则阴盛
'yang'zheng 阳证
'yang'zheng'si'yin'bing'li 阳证似阴病例
'yao'jin'ya'guan 咬紧牙关
'yao'tong 腰痛
'yao'tui'tan'ruan'wu'li 腰腿痰软无力
'yao'xi'suan'ruan 腰膝酸软
'yao'ya'nie'chi 咬牙啮齿
'ye'bu'cheng'mian 夜不成眠
'ye'ge 噎隔
'ye'xiang'yan 叶香岩
'yi'bing 疫病
'yi'ci'can'wu 以此参伍
'yi'du'li 疫毒痢
'yi'jiang'shi'chang 宜降失常
'yi'jing'jian'wang 遗精健忘
'yi'niao 遗尿
'yi'niao'pang'liu 遗尿旁流
'yi'shang'jin'ye 易伤津液
'yi'shou'jing'xia 易受惊吓
'yi'xi'bu'de'ping'wo 倚息不得平卧
'yi'xi'bu'zu'si'zhi 一息不足四至
'yi'xi'mai'lai'wu'zhi'yi'shang 一息脉来五至以上
'yi'xue'liu'yao 医学六要
'yi'xue'xin'wu 医学心悟
'yi'xue'zheng'zhuan 医学正传
'yi'yang'wu'zang'qi 以养五脏气
'yi'yu'wei'chang 溢于胃肠
'yi'zong'jin'jian 医宗金鉴
'yin'ban 阴斑
'yin'bu'hao'ye 阴不耗液
'yin'bu'he'yang 阴不和阳
'yin'bu'lian'yang 阴不敛阳
'yin'bu'zhi'yang 阴不制阳
'yin'dong'fu'yin 引动伏饮
'yin'du'leng'ji 阴毒冷极
'yin'han'nei'jie 阴寒内结
'yin'han'nei'sheng 阴寒内盛
'yin'han'nei'shi 阴寒内实
'yin'han'ning'zhi 阴寒凝滞
'yin'han'sheng'yu'xia 阴寒盛于下
'yin'hu 阴户
'yin'huang 阴黄
'yin'jing 阴茎
'yin'nang 阴囊
'yin'nang'shi'zhen 阴囊湿疹
'yin'nang'shou'suo'yin'tong 阴囊收缩引痛
'yin'qi'ji'sheng 阴气极盛
'yin'qie 阴茄
'yin'shang'yu'nei 阴伤于内
'yin'sheng'ge'yang 阴盛格阳
'yin'sheng'qi'jie 阴盛气结
'yin'sheng'yu'nei 阴盛于内
'yin'shi 饮食
'yin'shi'bu'jia 饮食不佳
'yin'shi'bu'jie 饮食不节
'yin'shi'jian'tui 饮食减退
'yin'shi'lao'juan 饮食劳倦
'yin'shi'yu'zi 饮食余滓
'yin'shui 阴水
'yin'shui'zi'jiu 引水自救
'yin'suo 阴缩
'yin'tang 印堂
'yin'ting 阴挺
'yin'ting'wei'chang 饮停胃肠
'yin'ting'xiong'xie 饮停胸胁
'yin'ting'yu'fei 饮停于肺
'yin'ting'yu'wei 饮停于胃
'yin'wei'yin'xie 饮为阴邪
'yin'xu 阴虚
'yin'xu'chao're 阴虚潮热
'yin'xu'dong'feng 阴虚动风
'yin'xu'fa're'jian'yin'xu'chao're 阴虚发热见阴虚潮热
'yin'xu'huo'wang 阴虚火旺
'yin'xu'nei're 阴虚内热
'yin'xu'yang'fu'zhe 阴虚阳浮者
'yin'xu'yang'kang 阴虚阳亢
'yin'xu'ying're 阴虚营热
'yin'xu'zhi'shi 因虚致实
'yin'ya 音哑
'yin'yang 阴阳
'yin'yang'bao'tuo 阴阳暴脱
'yin'yang'bu'he 阴阳不和
'yin'yang'er'qi 阴阳二气
'yin'yang'ge'ju 阴阳格拒
'yin'yang'han're 阴阳寒热
'yin'yang'jie'jue 阴阳竭绝
'yin'yang'li'jue'zhi'wei'zheng 阴阳离决之危证
'yin'yang'qi'xue 阴阳气血
'yin'yang'xiang'bo 阴阳相搏
'yin'ye'bu'zu 阴液不足
'yin'ye'da'shang 阴液大伤
'yin'ye'kui'hao 阴液亏耗
'yin'zhen 隐疹
'yin'zheng 阴证
'yin'zheng 饮证
'yin'zhong 阴肿
'yin'zu'qi'dao 饮阻气道
'ying'fen 营分
'ying'liu 瘿瘤
'ying're'shi'zhong 营热湿重
'ying'tao'hong'se 樱桃红色
'ying'tong'ju'an 硬痛拒按
'ying'wei 营卫
'ying'wei'bu'he 营卫不和
'ying'wu 萦芜
'ying'xue'bu'zu 营血不足
'ying'yin'shou'zhuo 营阴受灼
'ying'zhi'ming'xian 应指明显
'ying'zhi'yuan'hua 应指圆滑
'ying'zhong 瘿肿
'yong'bing 痈病
'yong'nong 痈脓
'you'chi'you'lei 有眵有泪
'you'gen'tai 有根苔
'you'kuai 有块
'you'li'wei'qi'yu 有力为气郁
'you'qi'chang'dao 有其常道
'you'shi'zhuan'xu 由实转虚
'you'zhu'shen'ming 又主神明
'you'zou'bu'ding 游走不定
'yu'bi'hu'du'chu 欲闭户独处
'yu'da'chang'xiang'wei'biao'li 与大肠相为表里
'yu'e'zhong'jiao 郁遏中焦
'yu'er'fa're 郁而发热
'yu'er'hua're 郁而化热
'yu'fang'jie'zhong 预防接种
'yu'huo 郁火
'yu'ji'luo'mai 鱼际络脉
'yu'jie'ni'qi 郁结逆气
'yu'li'bu'jin 余沥不尽
'yu're 郁热
'yu'sheng'cu'zhuo 语声粗浊
'yu'wu'lun'ci 语无伦次
'yu'xiang 鱼翔
'yu'xiang'mai 鱼翔脉
'yu'xue 瘀血
'yu'yan 语言
'yu'yan'cuo'luan 语言错乱
'yu'yan'qing'xi 语言清晰
'yu'ye 玉液
'yu'yi'an 余抑庵
'yu'yi'cao 寓意草
'yu'zhi'qi'ji 郁滞气机
'yu'zu'xue'mai 瘀阻血脉
'yuan'qi'bu'zu 元气不足
'yuan'qi'da'shang 元气大伤
'yuan'qi'jiang'tuo 元气将脱
'yuan'qi'kui'xu 元气亏虚
'yuan'qi'li'san 元气离散
'yuan'qi'yi'xu 元气已虚
'yuan'shen'zhi'fu 元神之府
'yue'jing 月经
'yue'jing'an'qi'er'zhi 月经按期而至
'yue'jing'bu'tiao 月经不调
'yue'jing'guo'duo 月经过多
'yue'jing'hou'qi 月经后期
'yue'jing'mai 月经脉
'yue'jing'xian'qi 月经先期
'yun'hua'bu'li 运化不利
'yun'hua'shi'zhi 运化失职
'yun'hua'shui'gu'jing'wei 运化水谷精微
'yun'hua'shui'shi 运化水湿
'yun'hua'wu'quan 运化无权
'yun'niang'cheng'tan 酝酿成痰
'yun'qi 运气
'yun'xing'bu'xi 运行不息
'za'bing'yuan'liu'xi'zhu 杂病源流犀烛
'zai'wai'ke'chuang'yang 在外科疮疡
'zang'bing'bian'zheng 脏病辨证
'zang'fu 脏腑
'zang'fu'bai'mai'shi'yang 脏腑百脉失养
'zang'fu'bian'zheng 脏腑辨证
'zang'fu'gong'neng'shi'chang 脏腑功能失常
'zang'fu'huo're 脏腑火热
'zang'fu'jian'bing 脏腑兼病
'zang'fu'jian'zheng 脏腑兼证
'zang'fu'shi'tiao 脏腑失调
'zang'fu'yun'ji'shi're 脏腑蕴积湿热
'zang'fu'zhu'xu 脏腑诸虚
'zang'qi'shuai'wei 脏气衰微
'zang'qi'xu'sun 脏气虚损
'zao'jie'bian'mi 燥结便秘
'zao'qi'shang'fei 燥气伤肺
'zao'rao'ru'kuang 躁扰如狂
'zao're 燥热
'zao'ru'ku'gu 燥如枯骨
'zao'shang'fei'luo 燥伤肺络
'zao'shi 燥屎
'zao'tai 燥苔
'zao'tan 燥痰
'zao'xie'fan'fei'zheng 燥邪犯肺证
'zao'xing'gan'zao 燥性干燥
'zao'yin 燥淫
'zhan'han 战汗
'zhan'wang'shen'hun 谵妄神昏
'zhan'yu 谵语
'zhang'cong'zheng 张从正
'zhang'jie'bin 张介宾
'zhang'kou'tai'jian 张口抬肩
'zhang'man 胀满
'zhang'san'xi 张三锡
'zhang'shi'wan 张石顽
'zhang'tong'cuan'tong 胀痛窜痛
'zhang'zhi'guan'jie'heng'wen 掌指关节横纹
'zhao'jia'cang'bai 爪甲苍白
'zhen'chu'tou'che 疹出透彻
'zhen'ci'dao'ge 针刺刀割
'zhen'du'nei'xian 疹毒内陷
'zhen'er 震耳
'zhen'fa'jin'rou'chou'chu 阵发筋肉抽搐
'zhen'han'jia're 真寒假热
'zhen'jia'shu'yao 诊家枢要
'zhen'jia'suo'yin 诊家索隐
'zhen'mai'san'shi'er'bian 诊脉三十二辨
'zhen're'jia'han 真热假寒
'zhen'tai 真苔
'zhen'xin'tong 真心痛
'zhen'yan 针眼
'zhen'yang'bu'zu 真阳不足
'zhen'yin'bu'zu 真阴不足
'zhen'yin'jie'yu'xia 真阴竭于下
'zhen'zang'mai 真脏脉
'zheng'dou 正痘
'zheng'hong'she 正红舌
'zheng'ji 癥积
'zheng'qi'bu'gu 正气不固
'zheng'qi'bu'zu 正气不足
'zheng'qi'da'shang 正气大伤
'zheng'qi'jiang'jue 正气将绝
'zheng'qi'kang'xie'ze'fa're 正气抗邪则发热
'zheng'qi'sheng'shuai 正气盛衰
'zheng'qi'wei'chong 正气未充
'zheng'qi'xian'xu 正气先虚
'zheng'qi'xu'ruo 正气虚弱
'zheng'qi'xu'xian 正气虚陷
'zheng'sheng 郑声
'zheng'xie'xiang'bo 正邪相搏
'zheng'xie'xiang'zheng 正邪相争
'zheng'zhen'mai'jia 症真脉假
'zheng'zheng'fa're 蒸蒸发热
'zhi'chuang 痔疮
'zhi'di'chou'hou 质地稠厚
'zhi'di'xi'bo 质地稀薄
'zhi'ruan'wu'li 肢软无力
'zhi'shu'bu'qi 至数不齐
'zhi'ti'chen'zhong'kun'juan 肢体沉重困倦
'zhi'ti'fu'zhong 肢体浮肿
'zhi'ti'ma'mu 肢体麻木
'zhi'ti'zhen'chan 肢体震颤
'zhi'wu'ding'shu 止无定数
'zhi'ye 职业
'zhi'you'ding'shu 止有定数
'zhi'zhong'gan'shen 直中肝肾
'zhong'feng'bi'zheng 中风闭证
'zhong'feng'bing 中风病
'zhong'feng'kou'wai 中风口歪
'zhong'feng'tuo'zheng 中风脱证
'zhong'jiao 中焦
'zhong'jiao'shi'bu 中焦失布
'zhong'jiao'shi're 中焦湿热
'zhong'jiao'you'huo 中焦有火
'zhong'kong'wai'jian 中空外坚
'zhong'kuai 肿块
'zhong'qi'bu'zu 中气不足
'zhong'qi'chong'zu 中气充足
'zhong'qi'da'xu 中气大虚
'zhong'qi'kui'sun 中气亏损
'zhong'qi'kui'xu 中气亏虚
'zhong'qi'xia'xian 中气下陷
'zhong'qi'xia'xian'zheng 中气下陷证
'zhong'qi'xu'ruo 中气虚弱
'zhong'she 重舌
'zhong'ze'zheng'chong 重则怔忡
'zhong'zhang 肿胀
'zhong'zhang'she 肿胀舌
'zhong'zhi'du're 中指独热
'zhong'zhi'zhi'jian'du'leng 中指指尖独冷
'zhou'shi'yi'xue'cong'shu'mai'xue'si'zhong 周氏医学丛书脉学四种
'zhou'xue'hai 周学海
'zhou'xue'ting 周学霆
'zhu'bi 著痹
'zhu'bing 主病
'zhu'dan'xi 朱丹溪
'zhu'mai'zhu'bing'shi 诸脉主病诗
'zhu'shu'xie 主疏泄
'zhu'tong 诸痛
'zhu'xu'lao'sun 诸虚劳损
'zhu'yang'jiao 猪羊叫
'zhu'yun'hua 主运化
'zhuan'dou 转豆
'zhuang're 壮热
'zhuang're'xi'liang 壮热喜凉
'zhui'zhang'gan 坠胀感
'zhui'zhang'leng'tong 坠胀冷痛
'zhuo'qi'xiang'zheng 浊气相蒸
'zhuo'shang'yin'luo 灼伤阴络
'zhuo'tai 浊苔
'zhuo'ye'shang'jin 灼液伤津
'zi'an'fa'liang 紫暗发凉
'zi'an'you'kuai 紫暗有块
'zi'ban 紫斑
'zi'bian'zhi 自辩智
'zi'dian 紫点
'zi'gao'xian 自高贤
'zi'gong'tuo'chui 子宫脱垂
'zi'han 自汗
'zi'han'shen'pi 自汗神疲
'zi'hong 紫红
'zi'se'she 紫色舌
'zi'she 紫舌
'zi'she'bai'ni'tai 紫舌白腻苔
'zi'yang'zang'fu 滋养脏腑
'zi'yin'yang'ye 滋阴养液
'zi'zun'gui 自尊贵
'zong'jin 宗筋
'zong'qi'bu'zu 宗气不足
'zong'qi'hao'san 宗气耗散
'zou'cuan'teng'tong 走窜疼痛
'zu'bi'shen'ming 阻蔽神明
'zu'dao 卒倒
'zu'jue'yin'gan'jing 足厥阴肝经
'zu'ran'hun'dao 卒然昏倒
'zu'shao'yang'zhi'jin 足少阳之筋
'zu'shao'yin'shen'jing 足少阴肾经
'zu'tai'yang'bang'dan'jing 足太阳膀耽经
'zu'tai'yang'zhi'jin 足太阳之筋
'zu'tai'yin'pi'jing 足太阴脾经
'zuo'ru'xia 左乳下
'zuo'wo'bu'an 坐卧不安
