'ai'lian'shuo 爱莲说
'you'jian'ru'chang'lou 又渐如常楼
'you'jian'ru'gao'she 又渐如高舍
'you'liang'ren'pu'zhan'dui'zuo 有两人铺毡对坐
'you'liang'tian'mei'chi'sang'zhu'zhi'shu 有良田美池桑竹之属
'you'lie'de'suo 优劣得所
'you'liu'wen'yu'su'zhang'zhong 又留蚊于素帐中
'you'long'ze'ling 有龙则灵
'you'peng'zi'yuan'fang'lai 有朋自远方来
'you'qi'nian 又七年
'you'qi'shang 又其上
'you'ran'zi'de 悠然自得
'you'ren'bian'nu 友人便怒
'you'ren'can 友人惭
'you'ren'qu'er'qin'niao'le'ye 游人去而禽鸟乐也
'you'ren'sui'wei'sheng 游人虽未盛
'you'shi'chao'fa'bai'di 有时朝发白帝
'you'shi'gan'ji 由是感激
'you'shi'jian'ri 有时见日
'you'shi'xian'zhu'sui'yi'liang 由是先主遂诣亮
'you'shi'ze'ke'yi'pi'huan'er'you'bu'wei'ye 由是则可以辟患而有不为也
'you'shi'ze'sheng'er'you'bu'yong'ye 由是则生而有不用也
'you'shou'pan'you'zhi 右手攀右趾
'you'shou'zhi'juan 右手指卷
'you'shu'dao'bi'zhi 又数刀毙之
'you'suo'guang'yi 有所广益
'you'ting'yi'ran'lin'yu'quan'shang'zhe 有亭翼然临于泉上者
'you'wen'you'zao'xing'zhe 又闻有早行者
'you'xian'ze'ming 有仙则名
'you'yi'da'er'xing 又一大儿醒
'you'yi'yan'er'ke'yi'zhong'shen'xing'zhi'zhe'hu 有一言而可以终身行之者乎
'you'yong'zhuan'zhang'yi 又用篆章一
'you'you'suo'chang 幼有所长
'you'yu'xi'shi 游鱼细石
'you'yu'zhi'you'shui'ye 犹鱼之有水也
'you'zi'cun'yan 有子存焉
'yu'bao'zhi'yu'bi'xia'ye 欲报之于陛下也
'yu'chang'qiu'gu'ren'ren'zhi'xin 予尝求古仁人之心
'yu'chang'yu'tu'qiang'ao'tu'chu 余常于土墙凹凸处
'yu'chen'er'jiang'si'yi 与臣而将四矣
'yu'chu'bu'de 欲出不得
'yu'dai'zi'xiang 欲代子相
'yu'de'yin 欲得饮
'yu'di'zong'xuan 余弟宗玄
'yu'du'ai'lian'zhi'chu'yu'ni'er'bu'ran 予独爱莲之出淤泥而不染
'yu'er'nv'jiang'lun'wen'yi 与儿女讲论文义
'yu'ge'hu'da 渔歌互答
'yu'gong'yi'shan 愚公移山
'yu'guan'fu'ba'ling'sheng'zhuang 予观夫巴陵胜状
'yu'han'you'li 余寒犹厉
'yu'jiu'jia'jian'zhi 于舅家见之
'yu'li'shi'zuo'you 余立侍左右
'yu'lv'ti'xie 伛偻提携
'yu'meng'lun'yi 与蒙论议
'yu'min'bu'yi'feng'jiang'zhi'jie 域民不以封疆之界
'yu'ni'lv 寓逆旅
'yu'nian'you 余年幼
'yu'peng'you'jiao'er'bu'xin'hu 与朋友交而不信乎
'yu'qiang'yin'san'da'bai'er'bie 余强饮三大白而别
'yu'qiong'qi'lin 欲穷其林
'yu'ren'ge'fu'yan'zhi'qi'jia 余人各复延至其家
'yu'ren'qi'xing 与人期行
'yu'ren'shen'yi'zhi 渔人甚异之
'yu'ru'yi'xiao'zhou 余挐一小舟
'yu'shan'wang'yi'shu'yuan'fu'ke 虞山王毅叔远甫刻
'yu'shi 逾时
'yu'shi'bin'ke'wu'bu'bian'se'li'xi 于是宾客无不变色离席
'yu'shi'bing'pi'shi'jie 于时冰皮始解
'yu'shi'chi'de'fu'shu 于是鸱得腐鼠
'yu'shi'hui'zi'kong 于是惠子恐
'yu'shi'jian'gong'shu'pan 于是见公输盘
'yu'shi'ru'chao'jian'wei'wang 于是入朝见威王
'yu'shi'wu'bie 与世无别
'yu'shi'yu'liang'qing'hao'ri'mi 于是与亮情好日密
'yu'ting'shi'zhi'dong'bei'jiao 于厅事之东北角
'yu'wei'ju 予谓菊
'yu'wen'zhi'ye'jiu 余闻之也久
'yu'wo'suo'yu'ye 鱼我所欲也
'yu'xin'da'yi'yu'tian'xia 欲信大义于天下
'yu'yan'si'ze 寓言四则
'yu'yi'tong'zhi'shi 余忆童稚时
'yu'yi'wei'gong'zhong'zhi'shi 愚以为宫中之事
'yu'yi'wei'ying'zhong'zhi'shi 愚以为营中之事
'yu'yin'de'bian'guan'qun'shu 余因得遍观群书
'yu'you'qiu'yu'wo'ye 欲有求于我也
'yu'you'shi'ji'shi'xue 余幼时即嗜学
'yu'yu'qing'qing 郁郁青青
'yu'yu'zhou'yi'jie 与余舟一芥
'yu'ze'yun'pao'bi'yi'chu'qi'jian 余则缊袍敝衣处其间
'yu'zhi'you'jiang'zi'ci'shi 余之游将自此始
'yu'zhu'xi'hu 余住西湖
'yu'zhu'yuan'si'shu 与朱元思书
'yu'zuo'tan 与坐谈
'yuan'bi'xia'qin'zhi'xin'zhi 愿陛下亲之信之
'yuan'bi'xia'tuo'chen'yi'tao'zei'xing'fu'zhi'xiao 愿陛下托臣以讨贼兴复之效
'yuan'chu'guo'zhi 鹓鶵过之
'yuan'fang'ru'men'bu'gu 元方入门不顾
'yuan'fang'shi'nian'qi'sui 元方时年七岁
'yuan'fang'yue 元方曰
'yuan'fei'li'tian'zhe 鸢飞戾天者
'yuan'feng'liu'nian'shi'yue'shi'er'ri'ye 元丰六年十月十二日夜
'yuan'hong'dao 袁宏道
'yuan'jie'zi'sha'zhi 愿借子杀之
'yuan'ming'san'sheng'lei'zhan'shang 猿鸣三声泪沾裳
'yuan'niao'luan'ming 猿鸟乱鸣
'yuan'xi'xing 缘溪行
'yuan'xian'chen 远贤臣
'yuan'xiao'ren 远小人
'yuan'yi'zhi'li 援疑质理
'yuan'ze'bai'jiao'wu'jue 猿则百叫无绝
'yuan'zhong'shou'zhi 愿终守之
'yuan'zhu'jun'wu'fu'yan 愿诸君勿复言
'yue'feng'yi 曰奉壹
'yue'jin'jing 阅金经
'yue'ming'nian 越明年
'yue'se'ru'hu 月色入户
'yue'shu'ji 曰恕己
'yue'yang'lou'ji 岳阳楼记
'yun'gui'er'yan'xue'ming 云归而岩穴暝
'za'ran'er'qian'chen'zhe 杂然而前陈者
'za'ran'xiang'xu 杂然相许
'za'yue 杂曰
'zai'bai 再拜
'zai'dong'ting'yi'hu 在洞庭一湖
'zai'er'shuai 再而衰
'zai'hu'shan'shui'zhi'jian'ye 在乎山水之间也
'zai'song'cheng'shang'er'dai'chu'kou'yi 在宋城上而待楚寇矣
'zai'zhou'you'hun 在昼犹昏
'zan'yue 赞曰
'zao'yin'zhe'jin 造饮辄尽
'ze'an'ran'piao'miao 则黯然缥缈
'ze'ba'ye'ke'cheng 则霸业可成
'ze'fan'ke'yi'de'sheng'zhe'he'bu'yong'ye 则凡可以得生者何不用也
'ze'fan'ke'yi'pi'huan'zhe'he'bu'wei'ye 则凡可以辟患者何不为也
'ze'han'shi'zhi'long 则汉室之隆
'ze'huo'qian'huo'bai 则或千或百
'ze'ming'jian'shao 则明渐少
'ze'ming'wei'er'zhong'gua 则名微而众寡
'ze'ming'yi'shang'jiang'jiang'jing'zhou'zhi'jun'yi'xiang'wan'luo 则命一上将将荆州之军以向宛洛
'ze'qi'shan'zhe'er'cong'zhi 择其善者而从之
'ze'qi'shou'yu'ren'zhe'bu'zhi'ye 则其受于人者不至也
'ze'shi'wu'li 则是无礼
'ze'shi'wu'xin 则是无信
'ze'su'tuan'lv'tan 则素湍绿潭
'ze'ti'ming'qi'shang 则题名其上
'ze'yi'ge'wu'ji 则一舸无迹
'ze'you'ke 则右刻
'ze'you'qi'jun 则忧其君
'ze'you'qing'yan 则又请焉
'ze'you'qu'guo'huai'xiang 则有去国怀乡
'ze'you'xin'kuang'shen'yi 则有心旷神怡
'ze'you'zhi'yi'yun'zhi'ren'ye 则攸之祎允之任也
'ze'yu'cheng'xue'ling'ji'tian'er'lai 则玉城雪岭际天而来
'ze'ze'you'zhi'yi'yun'deng'zhi'man 则责攸之祎允等之慢
'ze'zhi'chen'zhi'zui 则治臣之罪
'zeng'qi'jiu'zhi 增其旧制
'zeng'zi'yue 曾子曰
'zhai'bian'you'wu'liu'shu 宅边有五柳树
'zhan'bi'sheng'yi 战必胜矣
'zhan'guo'ce 战国策
'zhan'yu'chang'shao 战于长勺
'zhan'ze'qing'cong 战则请从
'zhang'dai 张岱
'zhang'lu'zai'bei 张鲁在北
'zhao'hui'xi'yin 朝晖夕阴
'zhao'ling'tu'shu'yue 召令徒属曰
'zhe'jiang'zhi'chao 浙江之潮
'zhe'shi'ye 者是也
'zhen'han'ji'she 震撼激射
'zheng'er'bu'de 争而不得
'zheng'gao'zhi'zhi 争高直指
'zheng'tong'ren'he 政通人和
'zheng'xian'gu'yong 争先鼓勇
'zheng'yu'se'fa'yu'sheng'er'hou'yu 征于色发于声而后喻
'zhi'ce'er'lin'zhi 执策而临之
'zhi'er'bu'zheng 知而不争
'zhi'fa'zang'pi 陟罚臧否
'zhi'jie'xiao'han 直接霄汉
'zhi'lu'kao'wei 止露尻尾
'zhi'lv'zhong'chun 志虑忠纯
'zhi'man'jing 至满井
'zhi'neng'zhi'shi'si'de'ming'jun 智能之士思得明君
'zhi'ren'suo'zeng'yu'fu'zhong 置人所罾鱼腹中
'zhi'ruo'chun'he'jing'ming 至若春和景明
'zhi'she 至舍
'zhi'shi'wu'ai 直视无碍
'zhi'tong'yu'nan 指通豫南
'zhi'you'sheng'gu 止有剩骨
'zhi'yu'fu'zhe'ge'yu'tu 至于负者歌于途
'zhi'yu'jin'ri 至于今日
'zhi'yu'xia'shui'xiang'ling 至于夏水襄陵
'zhi'yu'zhen'zhuo'sun'yi 至于斟酌损益
'zhi'zeng'xiao'er 止增笑耳
'zhi'zhi'wei'zhi'zhi 知之为知之
'zhi'zi'yi'lin 智子疑邻
'zhong'bin'huan'ye 众宾欢也
'zhong'bin'tuan'zuo 众宾团坐
'zhong'e'guan'er'duo'ran'zhe'wei'dong'po 中峨冠而多髯者为东坡
'zhong'jian'li'la'beng'dao'zhi'sheng 中间力拉崩倒之声
'zhong'miao'bi'bei 众妙毕备
'zhong'tong'wai'zhi 中通外直
'zhong'wu'za'shu 中无杂树
'zhong'xuan'chang'zhe'wei'cang 中轩敞者为舱
'zhong'yong'sheng'wu'nian 仲永生五年
'zhong'yong'zhi'tong'wu 仲永之通悟
'zhong'you'lou'ruo'zhe 中有楼若者
'zhong'zhi'shu'ye 忠之属也
'zhong'zhi'zhi'shi'wang'shen'yu'wai'zhe 忠志之士忘身于外者
'zhou'dun'yi 周敦颐
'zhou'mi 周密
'zhou'shou'wei'chang'yue'ba'fen'you'qi 舟首尾长约八分有奇
'zhou'wei'heng'wo'yi'ji 舟尾横卧一楫
'zhou'zhong'ren'liang'san'li'er'yi 舟中人两三粒而已
'zhou'zi'nan'nan'yue 舟子喃喃曰
'zhu'bao'qin 诛暴秦
'zhu'cui'luo'qi'yi'mu 珠翠罗绮溢目
'zhu'ge'kong'ming'zhe 诸葛孔明者
'zhu'ge'liang 诸葛亮
'zhu'jun'xian'ku'qin'li'zhe 诸郡县苦秦吏者
'zhu'ke'li'li'shu'ye 珠可历历数也
'zhu'ren'ri'zai'shi 主人日再食
'zhu'shang'meng'chen 主上蒙尘
'zhuan'shi'ji'xin'hou 转视积薪后
'zhuang'you'suo'yong 壮有所用
'zhuang'zi 庄子
'zhuang'zi'lai 庄子来
'zhuang'zi'wang'jian'zhi 庄子往见之
'zhuang'zi'yu'hui'zi'you'yu'hao'liang 庄子与惠子游于濠梁
'zhuang'zi'yu'hui'zi'you'yu'hao'liang'zhi'shang 庄子与惠子游于濠梁之上
'zhuang'zi'yue 庄子曰
'zhui'xing'shen'yuan 缀行甚远
'zhuo'ha'ma 捉虾蟆
'zhuo'lang'pai'kong 浊浪排空
'zhuo'qing'lian'er'bu'yao 濯清涟而不妖
'zi'chen'yi'dang'shi'zhi'shi 咨臣以当世之事
'zi'ci 自此
'zi'dong'zhuo'yi'lai 自董卓已来
'zi'fei'ting'wu'ye'fen 自非亭午夜分
'zi'fei'wo 子非我
'zi'fei'yu 子非鱼
'zi'fu'yang'zhi'tong'lu'yi'bai'xu'li 自富阳至桐庐一百许里
'zi'gong'wen'yue 子贡问曰
'zi'gu'fei'yu'ye 子固非鱼也
'zi'han 子罕
'zi'ji'wang'yi'zhi'shi'ba'ri'wei'sheng 自既望以至十八日为盛
'zi'kang'le'yi'lai 自康乐以来
'zi'li'tang'lai 自李唐来
'zi'mo'zi'jian'wang 子墨子见王
'zi'mo'zi'jie'dai'wei'cheng 子墨子解带为城
'zi'mo'zi'jiu'ju'zhi 子墨子九距之
'zi'mo'zi'qi 子墨子起
'zi'mo'zi'wen'zhi 子墨子闻之
'zi'mo'zi'yi'yue 子墨子亦曰
'zi'mo'zi'yue 子墨子曰
'zi'mo'zi'zhi'shou'yu'you'yu 子墨子之守圉有余
'zi'san'xia'qi'bai'li'zhong 自三峡七百里中
'zi'she 字涉
'zi'shi'zhi'wu'zuo'shi'li'jiu 自是指物作诗立就
'zi'shu 字叔
'zi'yi'wei'bu'ru 自以为不如
'zi'yi'wei'da'you'suo'yi 自以为大有所益
'zi'you'sheng'sun 子又生孙
'zi'you'you'sun 子又有孙
'zi'you'you'zi 子又有子
'zi'yue 子曰
'zi'yue'ru'an'zhi'yu'le'yun'zhe 子曰汝安知鱼乐云者
'zi'yun'xian'shi'bi'qin'shi'luan 自云先世避秦时乱
'zi'zhi'bu'zhi'yu'zhi'le'quan'yi 子之不知鱼之乐全矣
'zi'zhi'tong'jian 资治通鉴
'zi'zhi'zhi'hu 子知之乎
'zi'zi'sun'sun'wu'qiong'kui'ye 子子孙孙无穷匮也
'zong'lan'ying'xiong 总揽英雄
'zou'ji'feng'qi'wang'na'jian 邹忌讽齐王纳谏
'zou'ji'xiu'ba'chi'you'yu 邹忌修八尺有余
'zou'song'zhi 走送之
'zu'fu'jun'lie'er'bu'zhi 足肤皲裂而不知
'zu'huo'you'suo'wen 卒获有所闻
'zu'jie'ye'jing'kong 卒皆夜惊恐
'zu'mai'yu'peng'shi 卒买鱼烹食
'zu'shu'wan'ren 卒数万人
'zu'xia'shi'jie'cheng 足下事皆成
'zu'zhi'wei'zhong'ren 卒之为众人
'zui'neng'tong'qi'le 醉能同其乐
'zui'weng'ting'ji 醉翁亭记
'zui'weng'ting'ye 醉翁亭也
'zui'weng'zhi'yi'bu'zai'jiu 醉翁之意不在酒
'zun'jun'zai'bu 尊君在不
'zuo'bi'gua'nian'zhu'yi'zhi 左臂挂念珠倚之
'zuo'jiang'jun'wang'ning'zhi'qi'ye 左将军王凝之妻也
'zuo'ke 左刻
'zuo'pei'dao 左佩刀
'zuo'qing'yun'bai'he'guan 作青云白鹤观
'zuo'shou'fu'lu 左手抚炉
'zuo'shou'fu'lu'zhi'bei 左手抚鲁直背
'zuo'shou'yi'yi'heng'mu 左手倚一衡木
'zuo'tan'shang 坐潭上
'zuo'ting'zhe'shui 作亭者谁
'zuo'you'ge'si 左右各四
'zuo'ze'fei'sha'zou'li 作则飞沙走砾
'zuo'zhuan 左传
