'a'bei'er'zhi'lu 阿贝尔之路
'qing'se'man'tuo'luo 青色曼陀罗
'qing'se'yuan'qiu 青色圆球
'qing'wen'zhi'ren 轻吻之刃
'qing'xing'bo'dou'pi'jia 轻型搏斗皮甲
'qing'xing'bo'dou'pi'jia'zhuang'shi 轻型搏斗皮甲装饰
'qing'yu'gan'xiang'zi 青鱼干箱子
'qiu'fan'de'jiao'yin 囚犯的脚印
'qiu'feng'yu'huang'niu 秋风与黄牛
'qiu'yuan'xin 求援信
'quan'shi'ren'ou 拳师人偶
'quan'zi'dong'xian'dan'qiang 全自动霰弹枪
'ran'shao'ba'fu'chou'de'huo'yan 燃烧吧复仇的火焰
'ran'shao'de'huo'xi'fei'lun 燃烧的火系飞轮
'ran'shao'de'huo'yan'mo'quan 燃烧的火焰魔犬
're'zhong'yu'yan'jiu'de'xue'zhe 热衷于研究的学者
'ren'ou'cao'kong 人偶操控
'ren'ou'dong'li'zhuang'zhi 人偶动力装置
'ren'ou'kai'se'lin 人偶凯瑟琳
'ren'ou'kong'zhi'qi 人偶控制器
'ren'ou'kong'zhi'zhong'xin 人偶控制中心
'ren'wu'zhi'xing'zheng'ming 任务执行证明
'ren'yu'guai 人鱼怪
'ren'yu'qiu'zhang 人鱼酋长
'ren'yu'wu'shi 人鱼武士
'ren'yu'you'chang 人鱼酉长
'ri'ben 日笨
'rong'yan'shou'zhuo 熔岩手镯
'rou'ruan'de'xi'xian 柔软的细线
'ru'jing'shen'qing 入境申请
'ruan'pi 软皮
'ruan'pi'er 软皮尔
'ruan'pi'ge 软皮革
'ruan'pi'ke 软皮克
'ruan'pi'li 软皮利
'sa'er'wa'duo'de'bi'shou 萨尔瓦多的匕首
'sa'er'wa'duo'de'chai'dao 萨尔瓦多的柴刀
'sa'er'wa'duo'de'chang'jian 萨尔瓦多的长剑
'sa'er'wa'duo'de'chang'mao 萨尔瓦多的长矛
'sa'er'wa'duo'de'cheng'jie'dao 萨尔瓦多的惩戒刀
'sa'er'wa'duo'de'da'jian 萨尔瓦多的大剑
'sa'er'wa'duo'de'hu'tui 萨尔瓦多的护腿
'sa'er'wa'duo'de'hua'jian 萨尔瓦多的花剑
'sa'er'wa'duo'de'lai'yin'jian 萨尔瓦多的莱因剑
'sa'er'wa'duo'de'lian'ren'dao 萨尔瓦多的镰刃刀
'sa'er'wa'duo'de'quan'tao 萨尔瓦多的拳套
'sa'er'wa'duo'de'san'cha'ji 萨尔瓦多的三叉戟
'sa'er'wa'duo'de'yao'dao 萨尔瓦多的腰刀
'sa'wang'shu 撒网术
'sai'bu'li'na'zhi'jian 塞布丽娜之剑
'sai'lai'si'hu 塞莱斯湖
'sai'shi'er'wan'dao 赛施尔弯刀
'san'cha'lu 三叉路
'san'jian'qiang 三尖枪
'san'ren'zu'he 三人组合
'san'yuan'su'hu'tui 三元素护腿
'san'yuan'su'quan'tao 三元素拳套
'sang'qie'si'de'yi'hai 桑切斯的遗骸
'sha'chi'da'jian 鲨齿大剑
'sha'mo'tu'ji'wan'dao 沙漠突击弯刀
'sha'ren'feng'ci 杀人蜂刺
'shan'dian'di'kang'li 闪电抵抗力
'shan'dian'hua'er'zi 闪电华尔兹
'shan'dian'qiang 闪电枪
'shan'dian'shou'zhuo 闪电手镯
'shan'dian'shu'xing 闪电属性
'shan'dian'xue'yao 闪电血妖
'shan'dian'yuan'pan 闪电圆盘
'shan'qiu'ju'ren 山丘巨人
'shan'xing'dun 扇形盾
'shan'yang'guai'de'chi'bang 山羊怪的翅膀
'shan'yang'shou'jiao 山羊兽角
'shang'gu'ju'jian'hui'mie'zhe 上古巨剑毁灭者
'shang'gu'ju'jian'po'tian 上古巨剑破天
'shang'gu'ju'shou'zhi'bi 上古巨兽之臂
'shang'ye'jie'zhi'xian'chang'kan'cha 商业街之现场勘查
'she'hun'zhe 摄魂者
'she'shou'wang'dao 射手王道
'shen'hai'yu'cha 深海鱼叉
'shen'hen'chang'fu 深痕长斧
'shen'luo'xie'du'zhe 神罗亵渎者
'shen'mi'de'hong'se'fa'ka 神秘的红色发卡
'shen'mi'de'leng'jing 神秘的棱镜
'shen'mi'di'gong 神秘地宫
'shen'mi'di'gong'yao'shi 神秘地宫钥匙
'shen'mi'hu'tui 神秘护腿
'shen'mi'nan'zi 神秘男子
'shen'mi'nian'gao 神秘年糕
'shen'mi'quan'tao 神秘拳套
'shen'mi'shi'zi'jia 神秘十字架
'shen'mi'yao'shui 神秘药水
'shen'pan'da'ting 审判大厅
'shen'qiang'shou'hu'shou 神枪手护手
'shen'tou'deng 渗透登
'shen'tou'zhe 渗透者
'shen'yuan'ju'xie 深渊巨蟹
'shen'zhi'bi'hu 神之庇护
'sheng'dian'qi'shi 圣殿骑士
'sheng'dian'qi'shi'kai 圣殿骑士铠
'sheng'dian'qi'shi'zhi'mao 圣殿骑士之帽
'sheng'gu'pi'jia 圣骨皮甲
'sheng'hun'zhi'ci 圣魂之刺
'sheng'hun'zhi'kuan'shu 圣魂之宽恕
'sheng'li'huo'ju 胜利火炬
'sheng'li'ji'nian'tong'bi 胜利纪念铜币
'sheng'ling'fa'zhang 圣灵法杖
'sheng'ling'zhao'huan 圣灵召唤
'sheng'ling'zhao'huan'zhe 圣灵召唤者
'sheng'ming'pao'ta 生命炮塔
'sheng'ming'quan'shui 生命泉水
'sheng'ming'yao'shui 生命药水
'sheng'mo'shui 圣魔水
'sheng'mo'shui'de'mi'mi 圣魔水的秘密
'sheng'qi'shi'zhi'fu 圣骑士之斧
'sheng'qi'shi'zhi'kai 圣骑士之铠
'sheng'si'hu'bo 生死互搏
'sheng'si'jue'dou 生死决斗
'sheng'tang'wu'shi'zhi'dun 圣堂武士之盾
'sheng'tang'wu'shi'zhi'jian 圣堂武士之剑
'sheng'wu'shi'zhi'chui 圣武士之锤
'sheng'xiu'de'shi'gong'yong'gong'ju 生锈的施工用工具
'shi'bai'de'shi'yan'pin 失败的试验品
'shi'bu'ke'dang'mi'ji 势不可当秘笈
'shi'chang'guan'li'zhe 市场管理者
'shi'di'meng'yuan'zhi'long 湿地猛猿之笼
'shi'fu'yi'long 食腐翼龙
'shi'gong'xu'ke'zheng'ke'bei'la 施工许可证科贝拉
'shi'gong'xu'ke'zheng'lei'bo'duo 施工许可证雷波多
'shi'gong'xu'ke'zheng'sui'pian 施工许可证碎片
'shi'gong'yong'gong'ju 施工用工具
'shi'jiu'zhi'luan 狮鹫之卵
'shi'mo'jian 弑魔剑
'shi'nv'fang'jian'de'shou'wei 侍女房间的守卫
'shi'qie'de'tu'zhi 失窃的图纸
'shi'ren'du'zhi'zhu 食人毒蜘蛛
'shi'ren'zhi'zhu 食人蜘蛛
'shi'xiang'gui'de'chi'bang 石像鬼的翅膀
'shi'xiang'gui'lin'pian 石像鬼鳞片
'shi'xie'guai 石蟹怪
'shi'xin'zhan'chui 狮心战锤
'shi'xue'shou'zhang 嗜血手杖
'shi'xue'zhi'ren 嗜血之刃
'shi'yan'shi'yao'shi 实验室钥匙
'shi'yan'zhan'chui 狮眼战锤
'shi'yi'shou'zhi'er 食蚁兽之耳
'shi'ying'sui'pian 石英碎片
'shi'zhao'zhan'chui 狮爪战锤
'shi'zi'da'dun 十字大盾
'shi'zi'jun'de'bi'hu 十字军的庇护
'shi'zong'de'zhen'cha'fen'dui 失踪的侦察分队
'shi'zong'zhe'di'tu 失踪者地图
'shou'gu'duan'jian 兽骨短剑
'shou'hu'zhe'yao'shui 守护者药水
'shou'ji'hai'gu'de'nv'ren 收集骸骨的女人
'shou'ji'kai'tuo'zhe'hui'zhang 收集开拓者徽章
'shou'ji'qi'miao'de'shi'tou 收集奇妙的石头
'shou'ji'san'dan'qiang'cai'liao 收集散弹枪材料
'shou'lie'she'ji 狩猎射击
'shou'shang'zhe'zhi'ge 受伤者之歌
'shu'ni'zui'hong'da'li'bao 鼠你最红大礼包
'shu'niu'rou 熟牛肉
'shu'tou'de'mang'guo 熟透的芒果
'shu'tou'de'mu'gua 熟透的木瓜
'shu'tou'de'shi'liu 熟透的石榴
'shu'tou'de'ye'zi 熟透的椰子
'shu'zui'de'lin'pian 赎罪的鳞片
'shuang'dao'lang'ren 双刀浪人
'shuang'feng'zhan'ji 双锋战戟
'shuang'fu'bao'tu 双斧暴徒
'shuang'guan'zhuan'lun'shou'qiang 双管转轮手枪
'shuang'qiang'she'ji 双枪射击
'shuang'ren'jing'ji'chang 双人竞技场
'shuang'shou'da'jian 双手大剑
'shuang'tou'long'qi 双头龙骑
'shuang'tou'wu'shi 双头武士
'shui'jing'shou'zhang 水晶手杖
'shui'ju 水菊
'shui'ju'ran'liao 水菊染料
'shui'ju'shi'di'meng'yuan 水菊湿地猛猿
'shui'ling'bi'shou 水灵匕首
'shui'zhi'qiang 水之枪
'si'di'fen'dui'zhang 斯蒂芬队长
'si'ji'guan 司祭馆
'si'ling'fa'shi'zhi'xin 死灵法师之心
'si'ling'zhi'wu 死灵之屋
'si'pu'li'te'duan'jian 斯普利特短剑
'si'shen'shi'zhe 死神侍者
'si'shen'shi'zhe'lian'dao 死神侍者镰刀
'si'shen'shi'zhe'lian'dao'sui'pian 死神侍者镰刀碎片
'si'wang'gang'kou 死亡港口
'si'wang'shi'zi'jia 死亡十字架
'si'wang'xia'gu 死亡峡谷
'si'zhe'da'di 死者大地
'si'zhe'zhi'chui 死者之锤
'su'dan'cao 苏丹草
'su'hao 苏浩
'su'she'tie'pao 速射铁炮
'sui'ji'chuan'song'juan'zhou 随机传送卷轴
'sui'zhi'pian 碎纸片
'suo'biao'shou'bei 梭镖守备
'suo'jia'hu'shou 锁甲护手
'suo'yao'lang'mu'jiu 索要郎姆酒
'suo'you'ren'wu 所有任务
'suo'you'zi'tai 所有姿态
'ta'er'ge'bi'shou 塔尔格匕首
'ta'er'ge'lian'tie'mi'ji 塔尔格炼铁秘笈
'ta'er'ge'tou'jin 塔尔格头巾
'ta'sa'ke'wan'dao 塔萨克弯刀
'ta'wa'wan'dao 塔瓦弯刀
'tai'an'zhi'xin 泰安之心
'tan'xian'chuan 探险船
'tan'xian'zhe'de'le'yuan 探险者的乐园
'tan'yu'zhi'wang 贪欲之王
'tang'lang'shou'zhang 螳螂手杖
'tang'lang'zhi'tou 螳螂之头
'tao'fa'a'er'kui'te 讨伐阿尔奎特
'tao'fa'bai'er'luo 讨伐拜尔罗
'tao'fa'dao'zei 讨伐盗贼
'tao'fa'di'ran'liao 讨伐蒂染料
'tao'fa'di'shao'nv'fen'shen 讨伐蒂少女分身
'tao'fa'lei'xi'shuang'dao'lang'ren 讨伐雷系双刀浪人
'te'bie'de'jia'ju 特别的家具
'te'la'xi'nuo'kuang'shi 特拉西诺矿石
'te'lai'li'ni 特莱利尼
'te'zhi'fei'liao 特制肥料
'ti'lian'de'bai'jing'shi 提炼的白晶石
'ti'lian'de'pi'jia 提炼的皮甲
'ti'lian'de'ren'yu'kuang'shi 提炼的人鱼矿石
'ti'lian'de'shi'ying'sui'pian 提炼的石英碎片
'ti'lian'de'yong'gong'ju'ta'kuang'shi 提炼的用工具塔矿石
'ti'si 提斯
'ti'si'chao'xue 提斯巢穴
'ti'si'cong'lin 提斯丛林
'ti'si'cong'lin'bian'yuan 提斯丛林边缘
'ti'si'cong'lin'qian'bu 提斯丛林前部
'ti'si'cong'lin'shen'chu 提斯丛林深处
'ti'si'cong'lin'zhong'bu 提斯丛林中部
'tian'lan'se'gen'hu'pan 天蓝色根湖畔
'tian'lan'se'ran'liao 天蓝色染料
'tian'ran'pi'ge 天然皮革
'tian'ran'yan'shi 天然岩石
'tian'shen'zhi'nu 天神之怒
'tian'shi'de'shou'hu 天使的守护
'tian'tang'di'yu 天堂地狱
'tian'wang'fa'pao 天王法袍
'tian'ying'zhi'dun 天鹰之盾
'tian'zhi'du 天之都
'tian'zhu'kui'ran'liao 天竺葵染料
'tian'zhu'kui'shi'di'meng'yuan 天竺葵湿地猛猿
'tiao'wen'hua'li'pi'jia 条纹华丽皮甲
'tiao'wen'hua'li'pi'jia'zhuang'shi 条纹华丽皮甲装饰
'tiao'wen'jian'chi'ye'zhu 条纹剑齿野猪
'tiao'zhan'zhe'zhi'fen'nu 挑战者之愤怒
'tiao'zhan'zhe'zhi'leng'ku 挑战者之冷酷
'tiao'zhan'zhe'zhi're'qing 挑战者之热情
'tie'cha 铁叉
'tie'chui'bao'tu 铁锤暴徒
'tie'chui'ju'ren 铁锤巨人
'tie'jiang'li'qi 铁匠丽琦
'tie'jiang'mao 铁匠帽
'tie'lian'ju'ren 铁链巨人
'tie'lian'zhi'jian 铁链之剑
'tie'lun'nv'wu'zhi'qiang 铁轮女巫之枪
'tie'shen'kai'jia'zhuang'shi 贴身铠甲装饰
'ting'qiang'shou'bei 挺枪守备
'tong'pian 铜片
'tong'wang'nong'chang'de'lu 通往农场的路
'tou'ming'de'ou'tai'te'sui'pian 透明的欧泰特碎片
'tu'ji'zhe 突击者
'tu'ji'zhe'bu'qiang 突击者步枪
'tu'ling'bi'shou 土灵匕首
'tu'mo'jian 屠魔剑
'tu'mo'yuan'yue'dao 屠魔圆月刀
'tu'ran'feng'dian 突然疯癫
'tu'sha'shi'cheng'jie'zhe 屠杀式惩戒者
'tu'sha'shi'zheng'jiu'zhe 屠杀式拯救者
'tu'sha'zhe'jing 屠杀者精
'tuo'bi'ao'fa'chu'de'qing'shu 托比奥发出的情书
'tuo'jian'pi'kan 拖剑劈砍
'wa'long'kuan'jian 瓦隆宽剑
'wai'gua 歪挂
'wai'guo'shang'ren'suo'zhui'qiu'de 外国商人所追求的
'wan'dao'pi'kan 弯刀劈砍
'wan'dao'shuang'chi 弯刀双持
'wan'mei'de'hong'bao'shi 完美的红宝石
'wan'mei'de'lan'bao'shi 完美的蓝宝石
'wan'mei'de'lv'bao'shi 完美的绿宝石
'wan'mei'hong 完美红
'wan'mei'hong'bao'shi 完美红宝石
'wan'mei'lan 完美蓝
'wan'mei'lan'bao'shi 完美蓝宝石
'wan'mei'lv 完美绿
'wan'mei'lv'bao'shi 完美绿宝石
'wan'pi'de'bing'xi'fei'lun 顽皮的冰系飞轮
'wan'pi'de'di'yu'zhi'zhu 顽皮的地狱蜘蛛
'wan'pi'de'huo'xi'fei'lun 顽皮的火系飞轮
'wan'pi'de'ju'xi 顽皮的巨蜥
'wan'pi'de'lei'xi'fei'lun 顽皮的雷系飞轮
'wan'pi'de'ya'hui'xiong 顽皮的雅灰熊
'wang'gong 王宫
'wang'gong'hua'yuan 王宫花园
'wang'ling'bai'du'zhe 亡灵摆渡者
'wang'ling'bo'jue 亡灵伯爵
'wang'ling'chang'jian'hei'wu'shi 亡灵长剑黑武士
'wang'ling'chang'jian'wu'shi 亡灵长剑武士
'wang'ling'chuan'zhang 亡灵船长
'wang'ling'chuan'zhang'de'xi'ji 亡灵船长的袭击
'wang'ling'chuan'zhang'zhi'mao 亡灵船长之矛
'wang'ling'da'jian'shi 亡灵大剑士
'wang'ling'dou'shi 亡灵斗士
'wang'ling'dun'pai'bing 亡灵盾牌兵
'wang'ling'duo'shou 亡灵舵手
'wang'ling'gui'zi'shou 亡灵刽子手
'wang'ling'hai'dao 亡灵海盗
'wang'ling'huo'qiang'shou 亡灵火枪手
'wang'ling'jiang'jun 亡灵将军
'wang'ling'jie'zhi 亡灵戒指
'wang'ling'ju'ji'shou 亡灵狙击手
'wang'ling'kuang'tu 亡灵狂徒
'wang'ling'kuang'tu'dui'zhang 亡灵狂徒队长
'wang'ling'kuang'tu'zhi'ren 亡灵狂徒之刃
'wang'ling'pao'shou 亡灵炮手
'wang'ling'pao'shou'de'pao'dan 亡灵炮手的炮弹
'wang'ling'pao'shou'dui'zhang 亡灵炮手队长
'wang'ling'ping'zhang 亡灵屏障
'wang'ling'qi'shi'dui'zhang 亡灵骑士队长
'wang'ling'qiang'qi'bing 亡灵枪骑兵
'wang'ling'shi 亡灵石
'wang'ling'shi'bing'de'yuan'xing 亡灵士兵的原形
'wang'ling'shi'ci'wei 亡灵石刺猬
'wang'ling'tie'chui'wu'shi 亡灵铁锤武士
'wang'ling'tou'zhi'zhe 亡灵投掷者
'wang'ling'tu'ji'zhe 亡灵突击者
'wang'ling'wei'shi 亡灵卫士
'wang'ling'xian'feng 亡灵先锋
'wang'ling'yong'shi 亡灵勇士
'wang'ling'zhan'fu 亡灵战斧
'wang'ling'zhi'yan 亡灵之眼
'wang'zhe'sheng'jian 王者圣剑
'wei'xian'de'ai'yi 危险的爱意
'wei'yu'chou'mou'de'ka'men 未雨绸缪的卡门
'wen'jing'de'shao'nv 文静的少女
'wen'yi'li'chi'man'you'zhe 瘟疫利齿漫游者
'wen'yi'li'chi'shou 瘟疫利齿兽
'wen'yi'li'chi'zhan'shi 瘟疫利齿战士
'wen'yi'tu'lang 瘟疫土狼
'wen'yi'zhi'qiang 瘟疫之墙
'wu'de'guang'gao 巫的广告
'wu'de'pi'jia 伍德皮甲
'wu'de'zhi'fu 伍德制服
'wu'hen'qi'zha'zhe 无痕欺诈者
'wu'hou'zuo'li'pao 无后座力炮
'wu'ming'mu'bei 无名墓碑
'wu'qi'sui'pian 武器碎片
'wu'shi'jiao'guan 巫师教官
'wu'shi'yan'jing 巫师眼镜
'wu'wu'zi'liao'gong'qiu 武物资料供求
'wu'yao'wang'zhi'pao 巫妖王之袍
'wu'yao'wang'zhi'ren 巫妖王之刃
'wu'zi'bu'gei 物资补给
'xi'feng'shou'zhuo 西风手镯
'xi'kuai 锡块
'xi'mu'shou'qiang 西木手枪
'xi'te'de'shou'qiang 西特的手枪
'xi'te'de'xing'huo'sheng'bu'qiang 西特的型火绳步枪
'xi'te'de'xing'zhuan'lun'bu'qiang 西特的型转轮步枪
'xi'te'de'zhuan'lun'shou'qiang 西特的转轮手枪
'xi'te'liu'kong'zhuan'lun'shou'qiang 西特六孔转轮手枪
'xi'tian 袭天
'xi'tian'chong'zhu'hui'huang 袭天重铸辉煌
'xi'tong 系桶
'xi'xie'bian'fu'qiu'zhang 吸血蝙蝠酋长
'xi'xie'bian'fu'wang 吸血蝙蝠王
'xi'xue'e'ling 吸血恶灵
'xi'xue'jia'chong'de'ke 吸血甲虫的壳
'xi'yi'tou'shi 蜥蜴头饰
'xia'po'dan'de'bei'bu'tuo 吓破胆的贝布托
'xia'pu'bu'qiang'qiang'ci 夏普步枪枪刺
'xian'bing'gang'kui 宪兵钢盔
'xian'dan'she'ji 霰弹射击
'xian'ru'wei'ji'de'shao'nv 陷入危机的少女
'xian'ru'wei'xian'de'shao'nv 陷入危险的少女
'xian'zai'suo'zhang'wo'de 现在所掌握的
'xian'zhe 贤者
'xian'zhe'ai'mi'li 贤者艾米莉
'xian'zhe'zhi'mao 贤者之帽
'xiang'ge'lan'ma'bao'gao 向格兰玛报告
'xiang'jiao'yu'gang'tie 橡胶与钢铁
'xiang'ri'kui'meng'yuan 向日葵猛猿
'xiang'ri'kui'ran'liao 向日葵染料
'xiang'yan'jiu'jia 箱研究家
'xiao'jing'ling'shou'zhang 小精灵手杖
'xiao'ma'ju'de'mao'pi 小马驹的毛皮
'xiao'ma'ju'wa'de'bi'dun 小马驹瓦的臂盾
'xiao'mie'qing'se'man'tuo'luo 消灭青色曼陀罗
'xiao'xing'hua'tang'qiang 小型滑膛枪
'xie'du'zhe'zhi'lian 亵渎者之镰
'xie'e'quan'shou 邪恶拳手
'xie'hai'fu'shou 邪骸斧手
'xie'shou'fa'pao 邪兽法袍
'xin'da'lu'yi'min'ju 新大陆移民局
'xin'de'shi'gong'yong'gong'ju 新的施工用工具
'xin'shou'zhi'fu 新手制服
'xin'tian'di'tan'suo 新天地探索
'xin'xian'de'niu'nai 新鲜的牛奶
'xin'xian'de'shou'si 新鲜的寿司
'xin'xian'de'zhang'yu'zhao 新鲜的章鱼爪
'xin'yang'zhi'li 信仰之力
'xin'zhuang'bei'kai'fa 新装备开发
'xing'chen'zhi'hen 星辰之痕
'xing'gan'juan'fa 性感卷发
'xing'huo'sheng'bu'qiang 型火绳步枪
'xing'ji'sai'hua'tang'qiang 型级赛滑膛枪
'xing'ju'ji'bu'qiang 型狙击步枪
'xing'kong'shi'zhe 星空使者
'xing'lai'ba 醒来吧
'xing'xia'pu'lai'fu'qiang 型夏普来福枪
'xing'xing'zhi'jian 行刑之剑
'xing'xun'zhi'wu 刑迅之屋
'xing'zhong'jie'zhe 型终结者
'xing'zhuan'lun'bu'qiang 型转轮步枪
'xing'zong'bei'si'hua'tang'qiang 型棕贝丝滑膛枪
'xiong'bao'hui'xiong 凶暴灰熊
'xiong'di'hui'cheng'yuan 兄弟会成员
'xiong'di'hui'shou'wei 兄弟会守卫
'xiong'di'hui'sui'yuan 兄弟会随员
'xiong'di'hui'zhi'jia 兄弟会之家
'xiong'pi'wai'tao 熊皮外套
'xiong'ren'bei'nang 熊人背囊
'xiong'ren'shi'zi'gao 熊人十字镐
'xiong'shi'ping'yuan 雄狮平原
'xiong'shi'quan'tao 雄狮拳套
'xiu'luo'sha'yi 修罗杀意
'xiu'xing'de'di'yi'tian 修行的第一天
'xuan'bing'yu'ci 玄冰鱼刺
'xuan'feng'hu'tui 旋风护腿
'xuan'feng'lie'en 旋风列恩
'xuan'feng'tui'mi'ji 旋风腿秘笈
'xuan'fu'shu 悬浮术
'xuan'yun'xian'dan'qiang 眩晕霰弹枪
'xue'beng'shou'zhuo 雪崩手镯
'xue'beng'zhi'zao'zhe 雪崩制造者
'xue'jing'ling'zhi'wu 雪精灵之舞
'xue'ran'de'shen'fen'pai 血染的身份牌
'xue'ren'fa'pao 雪人法袍
'xue'ren'hu'tui 雪人护腿
'xue'ren'quan'tao 雪人拳套
'xue'tou'ying 雪头鹰
'xue'xing'shi'ren'zhi'zhu 血腥食人蜘蛛
'xue'yao'jiang'jun 血妖将军
'xue'yao'mao'zi 血妖帽子
'xue'yao'quan'tao 血妖拳套
'xue'yao'shou'wei 血妖守卫
'xue'yao'tao'fa 血妖讨伐
'xue'yao'wang 血妖王
'xue'yao'zhan'shi 血妖战士
'xue'yu'bai'xiong 雪域白熊
'xue'yu'bian'fu 雪域蝙蝠
'xue'yu'chang'she'bian'ta'zhe 雪域长舌鞭挞者
'xue'yu'da'jiao'guai 雪域大脚怪
'xue'yu'fu'shi'zhe 雪域腐蚀者
'xue'yu'gu'yuan 雪域古猿
'xue'yu'gu'yuan'shou'ling 雪域古猿首领
'xue'yu'lang'wang 雪域狼王
'xue'yu'mo'quan 雪域魔犬
'xue'yu'nong'tang 雪域浓汤
'xue'yu'nv'yao 雪域女妖
'xue'yu'pao'xiao'zhe 雪域咆哮者
'xue'yu'sha'shu 雪域沙鼠
'xue'yu'shen'luo'xie'du'zhe 雪域神罗亵渎者
'xue'yu'tun'shi'zhe 雪域吞噬者
'xue'yu'zhong'jie'zhe 雪域终结者
'xue'yuan'hu'tui 雪原护腿
'xue'yue'yuan'wu'qu 血月圆舞曲
'xun'ji'chang'mao 迅疾长矛
'xun'jie'hua'li'pi'jia 迅捷华丽皮甲
'xun'lian'yao'shui 训练药水
'xun'lian'yong'zhong'jian 训练用重剑
'xun'zhao'yi'shi'zou'lang 寻找遗失走廊
'ya'ke'jin 雅克金
'ya'ke'jin'chai'lang 雅克金豺狼
'ya'ke'jin'da'tu'sha 雅克金大屠杀
'ya'ke'jin'hui'xiong 雅克金灰熊
'ya'ke'jin'huo'shan'kou 雅克金火山口
'ya'ke'jin'jian'yu'bao'gao 雅克金监狱报告
'ya'ke'jin'ju'fu 雅克金巨斧
'ya'ke'jin'ju'jian 雅克金巨剑
'ya'ke'jin'ju'xi 雅克金巨蜥
'ya'ke'jin'rong'yan'gao'yuan 雅克金熔岩高原
'ya'ke'jin'shou'rong'suo 雅克金收容所
'ya'ke'jin'yuan'hun 雅克金冤魂
'ya'ke'jin'zhi'bi 雅克金之壁
'yan'hong'zhi'yi 嫣红之翼
'yan'hui'da'ting 宴会大厅
'yan'jiu'ri'ji 研究日记
'yan'ku'shen'pan'zhe 严酷审判者
'yan'long'ran'xue 炎龙燃血
'yan'shi'sui'pian 岩石碎片
'yan'wan'dao'ye'ying 焰弯刀夜莺
'yan'xing'da'jian 焰形大剑
'yan'xing'jian 焰形剑
'yao'hua'tong'ku'zhi'ci 妖花恸哭之刺
'yao'jing'fa'zhang 妖精法杖
'yao'shi'chuan 钥匙串
'ye'hua'wei'shi 液化卫士
'ye'hua'zhi'mao 液化之帽
'ye'lang'yu'ren 野狼与人
'ye'li'fu'de'tan'xi 夜礼服的叹息
'ye'niu'zhi'jiao 野牛之角
'ye'ren'bi'shou 叶刃匕首
'ye'shou'ping'zhang 野兽屏障
'ye'shou'zhuo'ya 叶手镯亚
'yi'bian'bing'han'niao 异变冰寒鸟
'yi'bian'huo'yan'niao 异变火焰鸟
'yi'bian'lei'dian'niao 异变雷电鸟
'yi'ji'hua'zhi 遗迹画纸
'yi'li'ai 伊利埃
'yi'li'ai'dou'fu 伊利埃豆腐
'yi'li'ai'jia'ju 伊利埃家具
'yi'min'chuan 移民船
'yi'min'ju'shou'wei 移民局守卫
'yi'min'zheng 移民证
'yi'qian'zi'de'que'ren'shu 已签字的确认书
'yi'wang'de'fei'xu 遗忘的废墟
'yi'wang'zhi'ren 遗忘之刃
'yin'ding'xue'yao 银顶血妖
'yin'la'tai 银蜡台
'yin'mi'zou'lang 隐密走廊
'yin'mi'zou'lang'yao'shi'chuan 隐密走廊钥匙串
'yin'pian 银片
'yin'se'he'jin 银色合金
'yin'se'yao'shi 银色钥匙
'yin'xing'tao'suo 隐形套索
'yin'yi'nan'jue 银翼男爵
'yin'zhi'biao'qiang 银制标枪
'ying'lin'shi'xiang'gui 硬鳞石像鬼
'ying'lin'zhong'jia 硬鳞重甲
'ying'ling'de'jian'ren 英灵的坚韧
'ying'ling'zhi'nu 英灵之怒
'ying'pi'hu'shou 硬皮护手
'ying'pi'jia'zhuang'shi 硬皮甲装饰
'yong'bing'zhong'jie'suo 佣兵中介所
'yong'heng'bai'he 永恒百合
'yong'heng'shou'hu'zhe 永恒守护者
'yong'heng'xing'chen 永恒星辰
'yong'shi'da'jian 勇士大剑
'yong'shi'hui'zhang 勇士徽章
'yong'shi'ren'ou 勇士人偶
'yong'shi'yao'shui 勇士药水
'yong'zhe'zhan'fu 勇者战斧
'yong'zhe'zhi'shou'hu 勇者之守护
'you'ji'zhan'fu 游击战斧
'you'ling'zhi'shu 幽灵之书
'you'ming'du'jiao 幽冥独角
'you'ming'hui'mie'zhe 幽冥毁灭者
'you'ming'lian'yu 幽冥炼狱
'you'nian'jiao'ying'shou 幼年角鹰兽
'you'nian'jiao'ying'shou'de'niao'long 幼年角鹰兽的鸟笼
'you'zhi'huo'yao 优质火药
'you'zhi'ke'ke'guo 优质可可果
'you'zhi'tu'sha'zhe 优质屠杀者
'you'zhi'xin'yue'wan'dao 优质新月弯刀
'you'zhi'ye'niu'jiao 优质野牛角
'yu'ao'xiu'shou'wei'de'dui'jue 与奥修守卫的对决
'yu'feng'fa'pao 驭风法袍
'yu'feng'qiang 驭风枪
'yu'fu'lei'ci'de'jian'mian 与弗雷茨的见面
'yu'hong'da'jian 羽虹大剑
'yu'ke'lao'de'de'jiao'liang 与克劳德的较量
'yu'luo'mi'na'de'jiao'liang 与罗米娜的较量
'yu'luo'mi'ou'de'jue'dou 与罗密欧的决斗
'yu'mi'bu'gei 玉米补给
'yu'mi'geng 玉米梗
'yu'mi'nong'chang'zhi'zai 玉米农场之灾
'yu'wei'li'fu 御卫礼服
'yu'yan'fa'zhang 预言法杖
'yu'yan'zhe'zhi'zhang 预言者之杖
'yu'yi'shi 羽翼石
'yuan'bian'yan'jing 圆边眼镜
'yuan'cheng'ju'ji'bu'qiang 远程狙击步枪
'yuan'gu'de'du'ye 远古的毒液
