'a'bai'xi'pu'yan'nei'zhu'she'rong'ye 阿柏西普眼内注射溶液
'ren'yi'dao'su'chong'zu'ren'yi'dao'su 人胰岛素重组人胰岛素
'ren'yong'kuang'quan'bing'yi'miao'di'shu'shen'xi'bao 人用狂犬病疫苗地鼠肾细胞
'ren'yong'kuang'quan'bing'yi'miao'ji'pei'xi'bao 人用狂犬病疫苗鸡胚细胞
'ren'yong'kuang'quan'bing'yi'miao'ren'er'bei'ti'xi'bao 人用狂犬病疫苗人二倍体细胞
'rong'cu'xing'su 绒促性素
'rou'du'kang'du'su 肉毒抗毒素
'rou'hong'mei'su 柔红霉素
'rou'suan'jia'ya'su 鞣酸加压素
'ru'gan'jun'huo'jun 乳杆菌活菌
'ru'guo'tang 乳果糖
'ru'mei'sheng 乳酶生
'ru'suan'jun 乳酸菌
'ru'suan'na 乳酸钠
'ru'suan'na'lin'ge 乳酸钠林格
'rui'ba'pai'te 瑞巴派特
'rui'bo'xi'ting 瑞波西汀
'rui'fen'tai'ni 瑞芬太尼
'rui'ge'fei'ni'pian 瑞戈非尼片
'rui'ge'lie'nai 瑞格列奈
'rui'ge'lie'nai'er'jia'shuang'gua 瑞格列奈二甲双胍
'rui'jia'nuo'sheng'zhu'she'ye 瑞加诺生注射液
'rui'shu'fa'ta'ting 瑞舒伐他汀
'sai'geng'ding 赛庚啶
'sai'lai'xi'bu 塞来昔布
'sai'luo'duo'xin 赛洛多辛
'sai'luo'zuo'lin 赛洛唑啉
'sai'ma'luo'er 噻吗洛尔
'sai'rui'ti'ni'jiao'nang 塞瑞替尼胶囊
'sai'ti'pai 塞替派
'sai'tuo'xiu'an 噻托溴铵
'san'fu'la'qin 三氟拉嗪
'san'jian'shan'zhi'jian 三尖杉酯碱
'san'lin'suan'xian'gan 三磷酸腺苷
'se'gan'nai'jia'na'min 色甘萘甲那敏
'se'gan'suan'na'di'bi'ji 色甘酸钠滴鼻剂
'se'gan'suan'na'di'yan'ji 色甘酸钠滴眼剂
'se'gan'suan'na'xi'ru'ji 色甘酸钠吸入剂
'sha'ding'an'chun 沙丁胺醇
'sha'ding'an'chun'kong'shi'huan'shi'ji'xing 沙丁胺醇控释缓释剂型
'sha'ding'an'chun'kou'fu'chang'shi'ji'xing 沙丁胺醇口服常释剂型
'sha'ding'an'chun'zhu'she'ji 沙丁胺醇注射剂
'sha'gan'chun 鲨肝醇
'sha'ge'lei'zhi 沙格雷酯
'sha'ge'lie'ting 沙格列汀
'sha'ge'lie'ting'er'jia'shuang'gua 沙格列汀二甲双胍
'sha'ku'ba'qu'xie'sha'tan'na'pian 沙库巴曲缬沙坦钠片
'sha'li'du'an 沙利度胺
'sha'mei'te'luo 沙美特罗
'sha'mei'te'luo'ti'ka'song 沙美特罗替卡松
'shan'lang'dang'jian'kou'fu'chang'shi'ji'xing 山莨菪碱口服常释剂型
'shan'lang'dang'jian'zhu'she'ji 山莨菪碱注射剂
'she'du'xue'ning'mei 蛇毒血凝酶
'she'qu'lin 舍曲林
'shen'shang'xian'su 肾上腺素
'sheng'li'lv'hua'na'chong'xi'ji 生理氯化钠冲洗剂
'sheng'li'lv'hua'na'rong'ye'ji 生理氯化钠溶液剂
'sheng'wu'he'cheng'ren'yi'dao'su 生物合成人胰岛素
'sheng'zhang'yi'su 生长抑素
'shi'shan'jian'jia 石杉碱甲
'shi'yi'suan'gao'tong'kou'fu'chang'shi'ji'xing 十一酸睾酮口服常释剂型
'shi'yi'suan'gao'tong'zhu'she'ji 十一酸睾酮注射剂
'shu'ba'tan 舒巴坦
'shu'bi'li'kou'fu'chang'shi'ji'xing 舒必利口服常释剂型
'shu'bi'li'zhu'she'ji 舒必利注射剂
'shu'fen'tai'ni 舒芬太尼
'shu'geng'pu'tang'na'zhu'she'ye 舒更葡糖钠注射液
'shu'lin'suan 舒林酸
'shu'ma'pu'tan 舒马普坦
'shu'ni'ti'ni 舒尼替尼
'shuang'chong'zao'ying'chan'qi 双重造影产气
'shuang'huan'chun 双环醇
'shuang'lv'fen'suan 双氯芬酸
'shuang'lv'fen'suan'chang'rong'huan'shi'jiao'nang 双氯芬酸肠溶缓释胶囊
'shuang'lv'fen'suan'er'yi'an 双氯芬酸二乙胺
'shuang'lv'fen'suan'huan'shi'kong'shi'ji'xing 双氯芬酸缓释控释剂型
'shuang'lv'fen'suan'kou'fu'chang'shi'ji'xing 双氯芬酸口服常释剂型
'shuang'lv'fen'suan'na 双氯芬酸钠
'shuang'lv'fen'suan'shuan'ji 双氯芬酸栓剂
'shuang'lv'fen'suan'shuang'shi'fang'chang'rong'jiao'nang 双氯芬酸双释放肠溶胶囊
'shuang'mi'da'mo 双嘧达莫
'shuang'qi'gan'jun'huo'jun 双歧杆菌活菌
'shuang'qi'gan'jun'ru'gan'jun'san'lian'huo'jun 双歧杆菌乳杆菌三联活菌
'shuang'qi'gan'jun'san'lian'huo'jun'kou'fu'chang'shi'ji'xing 双歧杆菌三联活菌口服常释剂型
'shuang'qi'gan'jun'san'lian'huo'jun'kou'fu'san'ji 双歧杆菌三联活菌口服散剂
'shuang'qi'gan'jun'si'lian'huo'jun 双歧杆菌四联活菌
'shuang'qiang'nai'suan'sai'mi'ding 双羟萘酸噻嘧啶
'shuang'qing'ke'dai'yin 双氢可待因
'shui'fei'ji'bin 水飞蓟宾
'shui'fei'ji'bin'pu'jia'an 水飞蓟宾葡甲胺
'shui'fei'ji'su 水飞蓟素
'shui'he'lv'quan'guan'chang'ji 水合氯醛灌肠剂
'shui'rong'xing'wei'sheng'su 水溶性维生素
'shui'yang'suan 水杨酸
'shun'bo 顺铂
'shun'bo'lv'hua'na 顺铂氯化钠
'si'huan'su 四环素
'si'ke'ba'bi'tuo 司可巴比妥
'si'lai'ji'lan 司来吉兰
'si'lie'mei'su 丝裂霉素
'si'mo'si'ting 司莫司汀
'si'tan'zuo'chun 司坦唑醇
'si'wei'la'mu 司维拉姆
'suo'gong'su'pen'wu'ji 缩宫素喷雾剂
'suo'gong'su'zhu'she'ji 缩宫素注射剂
'suo'jia'si'tan'kou'fu'chang'shi'ji'xing 羧甲司坦口服常释剂型
'suo'jia'si'tan'kou'fu'ye'ti'ji 羧甲司坦口服液体剂
'suo'la'fei'ni 索拉非尼
'suo'li'na'xin 索利那新
'suo'ta'luo'er'kou'fu'chang'shi'ji'xing 索他洛尔口服常释剂型
'suo'ta'luo'er'zhu'she'ji 索他洛尔注射剂
'ta'fu'qian'lie'su'di'yan'ye 他氟前列素滴眼液
'ta'ka'xi'chun 他卡西醇
'ta'ke'mo'si 他克莫司
'ta'ke'mo'si'di'yan'ji 他克莫司滴眼剂
'ta'ke'mo'si'huan'shi'kong'shi'ji'xing 他克莫司缓释控释剂型
'ta'ke'mo'si'kou'fu'chang'shi'ji'xing 他克莫司口服常释剂型
'ta'mo'xi'fen 他莫昔芬
'ta'zha'luo'ting'bei'ta'mi'song 他扎罗汀倍他米松
'ta'zha'luo'ting'ning'jiao'ji 他扎罗汀凝胶剂
'ta'zha'luo'ting'ruan'gao'ji 他扎罗汀软膏剂
'tan'du'luo'tong 坦度螺酮
'tan'luo'xin'tan'suo'luo'xin 坦洛新坦索罗辛
'tan'suan'gai'ke'li'ji 碳酸钙颗粒剂
'tan'suan'gai'kou'fu'chang'shi'ji'xing 碳酸钙口服常释剂型
'tan'suan'lan 碳酸镧
'tan'suan'li'huan'shi'kong'shi'ji'xing 碳酸锂缓释控释剂型
'tan'suan'li'kou'fu'chang'shi'ji'xing 碳酸锂口服常释剂型
'tan'suan'qing'na'kou'fu'chang'shi'ji'xing 碳酸氢钠口服常释剂型
'tan'suan'qing'na'lin'ge'zhu'she'ye 碳酸氢钠林格注射液
'tan'suan'qing'na'zhu'she'ji 碳酸氢钠注射剂
'te'bi'nai'fen 特比萘芬
'te'bi'nai'fen'ruan'gao'ji 特比萘芬软膏剂
'te'bu'ta'lin 特布他林
'te'bu'ta'lin'kou'fu'chang'shi'ji'xing 特布他林口服常释剂型
'te'bu'ta'lin'zhu'she'ji 特布他林注射剂
'te'la'zuo'qin 特拉唑嗪
'te'li'fu'an'pian 特立氟胺片
'te'li'jia'ya'su 特利加压素
'ti'bi'fu'ding 替比夫定
'ti'bo'long 替勃龙
'ti'ge'rui'luo 替格瑞洛
'ti'ji'ao 替吉奥
'ti'jia'fu'lv'hua'na 替加氟氯化钠
'ti'jia'fu'shuan'ji 替加氟栓剂
'ti'jia'fu'zhu'she'ji 替加氟注射剂
'ti'jia'huan'su 替加环素
'ti'ka'xi'lin'ke'la'wei'suan 替卡西林克拉维酸
'ti'kao'la'ning 替考拉宁
'ti'luo'fei'ban 替罗非班
'ti'luo'fei'ban'lv'hua'na 替罗非班氯化钠
'ti'mi'sha'tan 替米沙坦
'ti'mi'sha'tan'an'lv'di'ping 替米沙坦氨氯地平
'ti'mi'sha'tan'qing'lv'sai'qin 替米沙坦氢氯噻嗪
'ti'mo'zuo'an 替莫唑胺
'ti'ni'bo'gan 替尼泊苷
'ti'nuo'fu'wei'er'bi'fu'zhi 替诺福韦二吡呋酯
'ti'pu'rui'tong 替普瑞酮
'ti'xiao'zuo'kou'fu'chang'shi'ji'xing 替硝唑口服常释剂型
'ti'xiao'zuo'lv'hua'na 替硝唑氯化钠
'ti'xiao'zuo'pu'tao'tang 替硝唑葡萄糖
'ti'xiao'zuo'shuan'ji 替硝唑栓剂
'ti'xiao'zuo'wai'yong'ye'ti'ji 替硝唑外用液体剂
'ti'xiao'zuo'yin'dao'pao'teng'pian 替硝唑阴道泡腾片
'ti'xiao'zuo'zhu'she'ji 替硝唑注射剂
'ti'zha'ni'ding 替扎尼定
'tian'ma'su'kou'fu'chang'shi'ji'xing 天麻素口服常释剂型
'tian'ma'su'zhu'she'ji 天麻素注射剂
'tong'ge'suan'an'ding'san'chun 酮咯酸氨丁三醇
'tong'kang'zuo'ruan'gao'ji 酮康唑软膏剂
'tong'kang'zuo'shuan'ji 酮康唑栓剂
'tong'ti'fen'di'yan'ji 酮替芬滴眼剂
'tong'ti'fen'kou'fu'chang'shi'ji'xing 酮替芬口服常释剂型
'tong'ti'fen'xi'ru'ji 酮替芬吸入剂
'tou'bao'an'bian'ke'li'ji 头孢氨苄颗粒剂
'tou'bao'an'bian'kou'fu'chang'shi'ji'xing 头孢氨苄口服常释剂型
'tou'bao'bi'wo 头孢吡肟
'tou'bao'bing'xi'ke'li'ji 头孢丙烯颗粒剂
'tou'bao'bing'xi'kou'fu'chang'shi'ji'xing 头孢丙烯口服常释剂型
'tou'bao'bing'xi'kou'fu'ye'ti'ji 头孢丙烯口服液体剂
'tou'bao'di'ni 头孢地尼
'tou'bao'fu'xin 头孢呋辛
'tou'bao'fu'xin'zhi 头孢呋辛酯
'tou'bao'fu'xin'zhi'ke'li'ji 头孢呋辛酯颗粒剂
'tou'bao'fu'xin'zhi'kou'fu'ye'ti'ji 头孢呋辛酯口服液体剂
'tou'bao'ke'luo 头孢克洛
'tou'bao'ke'luo'huan'shi'kong'shi'ji'xing 头孢克洛缓释控释剂型
'tou'bao'ke'luo'ke'li'ji 头孢克洛颗粒剂
'tou'bao'ke'luo'kou'fu'chang'shi'ji'xing 头孢克洛口服常释剂型
'tou'bao'ke'luo'kou'fu'ye'ti'ji 头孢克洛口服液体剂
'tou'bao'ke'wo'ke'li'ji 头孢克肟颗粒剂
'tou'bao'ke'wo'kou'fu'chang'shi'ji'xing 头孢克肟口服常释剂型
'tou'bao'ke'wo'kou'fu'ye'ti'ji 头孢克肟口服液体剂
'tou'bao'la'ding'ke'li'ji 头孢拉定颗粒剂
'tou'bao'la'ding'kou'fu'chang'shi'ji'xing 头孢拉定口服常释剂型
'tou'bao'la'ding'kou'fu'ye'ti'ji 头孢拉定口服液体剂
'tou'bao'la'ding'zhu'she'ji 头孢拉定注射剂
'tou'bao'liu'mi 头孢硫脒
'tou'bao'mei'zuo 头孢美唑
'tou'bao'mi'nuo 头孢米诺
'tou'bao'pai'tong'shu'ba'tan 头孢哌酮舒巴坦
'tou'bao'pi'luo 头孢匹罗
'tou'bao'qiang'an'bian'ke'li'ji 头孢羟氨苄颗粒剂
'tou'bao'qiang'an'bian'kou'fu'chang'shi'ji'xing 头孢羟氨苄口服常释剂型
'tou'bao'qu'song 头孢曲松
'tou'bao'sai'wo 头孢噻肟
'tou'bao'ta'ding 头孢他啶
'tou'bao'ti'an 头孢替安
'tou'bao'xi'ding 头孢西丁
'tou'bao'zuo'lin 头孢唑林
'tou'bao'zuo'wo 头孢唑肟
'tu'kang'ren'xiong'xian'xi'bao'mian'yi'qiu'dan'bai 兔抗人胸腺细胞免疫球蛋白
'tuo'bi'ka'an 托吡卡胺
'tuo'bi'zhi 托吡酯
'tuo'bo'ti'kang'kou'fu'chang'shi'ji'xing 托泊替康口服常释剂型
'tuo'bo'ti'kang'zhu'she'ji 托泊替康注射剂
'tuo'bu'mei'su 妥布霉素
'tuo'bu'mei'su'di'sai'mi'song'di'yan'ji 妥布霉素地塞米松滴眼剂
'tuo'bu'mei'su'di'sai'mi'song'yan'gao'ji 妥布霉素地塞米松眼膏剂
'tuo'bu'mei'su'di'yan'ji 妥布霉素滴眼剂
'tuo'bu'mei'su'yan'gao'ji 妥布霉素眼膏剂
'tuo'fa'pu'tan'pian 托伐普坦片
'tuo'fa'ti'bu 托法替布
'tuo'la'sai'mi'kou'fu'chang'shi'ji'xing 托拉塞米口服常释剂型
'tuo'la'sai'mi'zhu'she'ji 托拉塞米注射剂
'tuo'mo'xi'ting 托莫西汀
'tuo'rui'mi'fen 托瑞米芬
'tuo'te'luo'ding'huan'shi'kong'shi'ji'xing 托特罗定缓释控释剂型
'tuo'te'luo'ding'kou'fu'chang'shi'ji'xing 托特罗定口服常释剂型
'tuo'wan'si'qiong'kou'fu'chang'shi'ji'xing 托烷司琼口服常释剂型
'tuo'wan'si'qiong'kou'fu'ye'ti'ji 托烷司琼口服液体剂
'tuo'wan'si'qiong'zhu'she'ji 托烷司琼注射剂
'tuo'zhu'dan'kang 托珠单抗
'wan'gu'mei'su 万古霉素
'wei'ge'lie'ting 维格列汀
'wei'ku'xiu'an 维库溴铵
'wei'la'pa'mi'huan'shi'kong'shi'ji'xing 维拉帕米缓释控释剂型
'wei'la'pa'mi'kou'fu'chang'shi'ji'xing 维拉帕米口服常释剂型
'wei'la'pa'mi'zhu'she'ji 维拉帕米注射剂
'wei'ma'na'min'jiao'nang 伪麻那敏胶囊
'wen'la'fa'xin'huan'shi'kong'shi'ji'xing 文拉法辛缓释控释剂型
'wen'la'fa'xin'kou'fu'chang'shi'ji'xing 文拉法辛口服常释剂型
'wu'fu'li'duo 五氟利多
'wu'la'di'er'huan'shi'kong'shi'ji'xing 乌拉地尔缓释控释剂型
'wu'la'di'er'zhu'she'ji 乌拉地尔注射剂
'wu'si'ta'ding 乌司他丁
'wu'suan'ci'er'chun 戊酸雌二醇
'wu'suan'ci'er'chun'ci'er'chun'huan'bing'yun'tong 戊酸雌二醇雌二醇环丙孕酮
'wu'yi'kui'mi 戊乙奎醚
'xi'bi'lv'an 西吡氯铵
'xi'bing'ci'chun 烯丙雌醇
'xi'bing'ma'fei 烯丙吗啡
'xi'ge'lie'ting 西格列汀
'xi'ge'lie'ting'er'jia'shuang'gua 西格列汀二甲双胍
'xi'gui'you 西硅油
'xi'jiao'mu 硒酵母
'xi'luo'mo'si'kou'fu'chang'shi'ji'xing 西罗莫司口服常释剂型
'xi'luo'mo'si'kou'fu'ye'ti'ji 西罗莫司口服液体剂
'xi'luo'ta'zuo 西洛他唑
'xi'na'ka'sai 西那卡塞
'xi'ni'di'ping 西尼地平
'xi'ni'mo'de'pian 西尼莫德片
'xi'ru'yong'lv'cu'jia'dan'jian 吸入用氯醋甲胆碱
'xi'ta'sha'xing'pian 西他沙星片
'xi'tai'pu'lan 西酞普兰
'xi'ti'li'qin'kou'fu'chang'shi'ji'xing 西替利嗪口服常释剂型
'xi'ti'li'qin'kou'fu'ye'ti'ji 西替利嗪口服液体剂
'xian'gan 腺苷
'xian'gan'dan'an'suan'kou'fu'chang'shi'ji'xing 腺苷蛋氨酸口服常释剂型
'xian'gan'dan'an'suan'zhu'she'ji 腺苷蛋氨酸注射剂
'xian'gan'gu'an'kou'fu'chang'shi'ji'xing 腺苷钴胺口服常释剂型
'xian'gan'gu'an'zhu'she'ji 腺苷钴胺注射剂
'xian'rong'mei 纤溶酶
'xiao'ben'di'ping 硝苯地平
'xiao'ben'di'ping'huan'shi'kong'shi'ji'xing 硝苯地平缓释控释剂型
'xiao'ben'di'ping'kou'fu'chang'shi'ji'xing 硝苯地平口服常释剂型
'xiao'bo'jian 小檗碱
'xiao'er'bu'luo'fen 小儿布洛芬
'xiao'er'dui'yi'xian'an'ji'fen 小儿对乙酰氨基酚
'xiao'er'fa'luo'pei'nan'na'ke'li 小儿法罗培南钠颗粒
'xiao'er'fu'fang'huang'an'jia'e'zuo'ke'li'ji 小儿复方磺胺甲噁唑颗粒剂
'xiao'er'fu'fang'huang'an'jia'e'zuo'kou'fu'san'ji 小儿复方磺胺甲噁唑口服散剂
'xiao'er'yi'bing'qin 小儿异丙嗪
'xiao'fu'tai'er'kou'fu'chang'shi'ji'xing 硝呋太尔口服常释剂型
'xiao'fu'tai'er'yin'dao'pian 硝呋太尔阴道片
'xiao'fu'tai'er'zhi'mei'jun'su 硝呋太尔制霉菌素
'xiao'fu'tai'er'zhi'mei'jun'su'yin'dao'ruan'jiao'nang 硝呋太尔制霉菌素阴道软胶囊
'xiao'fu'tai'er'zhi'mei'su 硝呋太尔制霉素
'xiao'ka'jie 硝卡芥
'xiao'pu'na 硝普钠
'xiao'suan'gan'you'kou'fu'chang'shi'ji'xing 硝酸甘油口服常释剂型
'xiao'suan'gan'you'she'xia'pian'ji 硝酸甘油舌下片剂
'xiao'suan'gan'you'xi'ru'ji 硝酸甘油吸入剂
'xiao'suan'gan'you'zhu'she'ji 硝酸甘油注射剂
'xiao'suan'yi'shan'li'zhi 硝酸异山梨酯
'xiao'suan'yi'shan'li'zhi'kou'fu'chang'shi'ji'xing 硝酸异山梨酯口服常释剂型
'xiao'suan'yi'shan'li'zhi'lv'hua'na 硝酸异山梨酯氯化钠
'xiao'suan'yi'shan'li'zhi'pu'tao'tang 硝酸异山梨酯葡萄糖
'xiao'suan'yi'shan'li'zhi'zhu'she'ji 硝酸异山梨酯注射剂
'xiao'xi'pan 硝西泮
'xiao'xuan'ka'duo'qu'ke'li'ji 消旋卡多曲颗粒剂
'xiao'xuan'ka'duo'qu'kou'fu'chang'shi'ji'xing 消旋卡多曲口服常释剂型
'xiao'xuan'ka'duo'qu'kou'fu'san'ji 消旋卡多曲口服散剂
'xiao'xuan'shan'lang'dang'jian'kou'fu'chang'shi'ji'xing 消旋山莨菪碱口服常释剂型
'xiao'xuan'shan'lang'dang'jian'zhu'she'ji 消旋山莨菪碱注射剂
'xie'sha'tan 缬沙坦
'xie'sha'tan'an'lv'di'ping 缬沙坦氨氯地平
'xie'sha'tan'qing'lv'sai'qin 缬沙坦氢氯噻嗪
'xin'fa'ta'ting 辛伐他汀
'xin'mei'su'kou'fu'chang'shi'ji'xing 新霉素口服常释剂型
'xin'mei'su'ruan'gao'ji 新霉素软膏剂
'xin'si'di'ming 新斯的明
'xing'rou'du'du'su 型肉毒毒素
'xiong'qu'yang'dan'suan 熊去氧胆酸
'xiong'xian'fa'xin 胸腺法新
'xiu'bi'si'de'ming 溴吡斯的明
'xiu'fen'suan'na 溴芬酸钠
'xiu'ji'xin'kou'fu'chang'shi'ji'xing 溴己新口服常释剂型
'xiu'ji'xin'zhu'she'ji 溴己新注射剂
'xiu'mi'na'pu'lu'ka'yin 溴米那普鲁卡因
'xiu'mo'ni'ding 溴莫尼定
'xiu'xin'si'di'ming 溴新斯的明
'xiu'yin'ting 溴隐亭
'xue'ye'lv'guo'zhi'huan'ji'chu'ye 血液滤过置换基础液
'xue'ye'lv'guo'zhi'huan'ye 血液滤过置换液
'ya'an'pei'nan'xi'si'ta'ding 亚胺培南西司他丁
'ya'jia'lan 亚甲蓝
'ya'liu'suan'qing'na'jia'nai'kun'kou'fu'chang'shi'ji'xing 亚硫酸氢钠甲萘醌口服常释剂型
'ya'liu'suan'qing'na'jia'nai'kun'zhu'she'ji 亚硫酸氢钠甲萘醌注射剂
'ya'shen'suan'lv'hua'na 亚砷酸氯化钠
'ya'shen'suan'san'yang'hua'er'shen 亚砷酸三氧化二砷
'ya'xiao'suan'na 亚硝酸钠
'ya'xiao'suan'yi'wu'zhi 亚硝酸异戊酯
'ya'ye'suan'gai'kou'fu'chang'shi'ji'xing 亚叶酸钙口服常释剂型
'ya'ye'suan'gai'lv'hua'na 亚叶酸钙氯化钠
'ya'ye'suan'gai'zhu'she'ji 亚叶酸钙注射剂
'yan'suan'ai'si'luo'er'lv'hua'na'zhu'she'ye 盐酸艾司洛尔氯化钠注射液
'yan'suan'ai'si'lv'an'tong'zhu'she'ye 盐酸艾司氯胺酮注射液
'yan'suan'an'fei'ta'tong'huan'shi'pian 盐酸安非他酮缓释片
'yan'suan'ao'luo'ta'ding'ke'li 盐酸奥洛他定颗粒
'yan'suan'ao'pu'li'nong'zhu'she'ye 盐酸奥普力农注射液
'yan'suan'bing'ka'te'luo'fen'wu'ji 盐酸丙卡特罗粉雾剂
'yan'suan'bing'ka'te'luo'xi'ru'rong'ye 盐酸丙卡特罗吸入溶液
'yan'suan'er'jia'shuang'gua'huan'shi'pian 盐酸二甲双胍缓释片
'yan'suan'fen'ge'mo'de'jiao'nang 盐酸芬戈莫德胶囊
'yan'suan'huan'shi'kong'shi'ji'xing 烟酸缓释控释剂型
'yan'suan'ji'chun'zhi 烟酸肌醇酯
'yan'suan'kou'fu'chang'shi'ji'xing 烟酸口服常释剂型
'yan'suan'lu'la'xi'tong'pian 盐酸鲁拉西酮片
'yan'suan'mei'jin'gang'huan'shi'jiao'nang 盐酸美金刚缓释胶囊
'yan'suan'xiu'ji'xin'kou'fu'rong'ye 盐酸溴己新口服溶液
'yan'suan'yi'xian'zuo'ka'ni'ting'pian 盐酸乙酰左卡尼汀片
'yan'suan'you'mei'tuo'mi'ding'bi'pen'wu'ji 盐酸右美托咪定鼻喷雾剂
'yan'suan'zhu'she'ji 烟酸注射剂
'yan'suan'zuo'sha'ding'an'chun'wu'hua'xi'ru'rong'ye 盐酸左沙丁胺醇雾化吸入溶液
'yan'xian'an'kou'fu'chang'shi'ji'xing 烟酰胺口服常释剂型
'yan'xian'an'zhu'she'ji 烟酰胺注射剂
'yang'fu'sha'xing'di'er'ji 氧氟沙星滴耳剂
'yang'fu'sha'xing'di'yan'ji 氧氟沙星滴眼剂
'yang'fu'sha'xing'yan'gao'ji 氧氟沙星眼膏剂
'yang'hua'xin 氧化锌
'yang'hua'ya'dan 氧化亚氮
'yao'yong'tan 药用炭
'ye'suan'kou'fu'chang'shi'ji'xing 叶酸口服常释剂型
'ye'suan'zhu'she'ji 叶酸注射剂
'yi'an'bi'qin'li'fu'yi'yan 乙胺吡嗪利福异烟
'yi'an'ding'chun 乙胺丁醇
'yi'an'li'fu'yi'yan 乙胺利福异烟
'yi'an'mi'ding 乙胺嘧啶
'yi'ba'si'ting 依巴斯汀
'yi'ban'lin'suan 伊班膦酸
'yi'bing'qin'kou'fu'chang'shi'ji'xing 异丙嗪口服常释剂型
'yi'bing'qin'zhu'she'ji 异丙嗪注射剂
'yi'bing'shen'shang'xian'su 异丙肾上腺素
'yi'bing'tuo'xiu'an 异丙托溴铵
'yi'bu'li'te 伊布利特
'yi'bu'ti'ni'jiao'nang 伊布替尼胶囊
'yi'da'bi'xing 伊达比星
'yi'da'la'feng'lv'hua'na'zhu'she'ye 依达拉奉氯化钠注射液
'yi'da'la'feng'zhu'she'ye 依达拉奉注射液
'yi'dan'bai'mei 胰蛋白酶
'yi'dao'su 胰岛素
'yi'di'suan'gai'na'kou'fu'chang'shi'ji'xing 依地酸钙钠口服常释剂型
'yi'di'suan'gai'na'zhu'she'ji 依地酸钙钠注射剂
'yi'fa'bu'lei'ding 伊伐布雷定
'yi'fu'li'fu'ping'yi'yan'jing 异福利福平异烟肼
'yi'fu'xian'an 异福酰胺
'yi'gan'cao'suan'mei 异甘草酸镁
'yi'huan'lin'xian'an 异环磷酰胺
'yi'huang'suan'ni'da'ni'bu'ruan'jiao'nang 乙磺酸尼达尼布软胶囊
'yi'ji'tai'yuan'mei'kou'fu'chang'shi'ji'xing 胰激肽原酶口服常释剂型
'yi'ji'tai'yuan'mei'zhu'she'ji 胰激肽原酶注射剂
'yi'jiang'gai'su 依降钙素
'yi'kang'zuo 益康唑
'yi'li'ti'kang 伊立替康
'yi'ma'ti'ni 伊马替尼
'yi'mei 胰酶
'yi'mei'si'ting 依美斯汀
'yi'mei'si'ting'di'yan'ji 依美斯汀滴眼剂
'yi'na'pu'li 依那普利
'yi'na'pu'li'ye'suan 依那普利叶酸
'yi'nuo'gan'su 依诺肝素
'yi'pa'mi'xing 异帕米星
'yi'pa'si'ta 依帕司他
'yi'pai'li'song 乙哌立松
'yi'qu'kang'zuo'ke'li'ji 伊曲康唑颗粒剂
'yi'qu'kang'zuo'kou'fu'chang'shi'ji'xing 伊曲康唑口服常释剂型
'yi'qu'kang'zuo'kou'fu'ye'ti'ji 伊曲康唑口服液体剂
'yi'qu'kang'zuo'zhu'she'ji 伊曲康唑注射剂
'yi'sha'a'ding'ruan'gao'ji 依沙吖啶软膏剂
'yi'sha'a'ding'wai'yong'ye'ti'ji 依沙吖啶外用液体剂
'yi'sha'a'ding'zhu'she'ji 依沙吖啶注射剂
'yi'ti'ba'tai 依替巴肽
'yi'ti'mi'xing 依替米星
'yi'tuo'bi'li 伊托必利
'yi'tuo'bo'gan'kou'fu'chang'shi'ji'xing 依托泊苷口服常释剂型
'yi'tuo'bo'gan'zhu'she'ji 依托泊苷注射剂
'yi'tuo'kao'xi 依托考昔
'yi'tuo'mi'zhi 依托咪酯
'yi'tuo'mi'zhi'zhong'chang'lian'zhi'fang'ru'zhu'she'ye 依托咪酯中长链脂肪乳注射液
'yi'wei'mo'si'pian 依维莫司片
'yi'wu'ba'bi'tuo 异戊巴比妥
'yi'xi'mei'tan 依西美坦
'yi'xian'an 乙酰胺
'yi'xian'ban'guang'an'suan'ke'li'ji 乙酰半胱氨酸颗粒剂
'yi'xian'ban'guang'an'suan'kou'fu'chang'shi'ji'xing 乙酰半胱氨酸口服常释剂型
'yi'xian'ban'guang'an'suan'pao'teng'pian 乙酰半胱氨酸泡腾片
'yi'xian'ban'guang'an'suan'xi'ru'ji 乙酰半胱氨酸吸入剂
'yi'xian'zuo'an 乙酰唑胺
'yi'yan'jing'kou'fu'chang'shi'ji'xing 异烟肼口服常释剂型
'yi'yan'jing'zhu'she'ji 异烟肼注射剂
'yi'zhe'mai'bu 依折麦布
'yin'da'pa'an 吲达帕胺
'yin'da'pa'an'huan'shi'kong'shi'ji'xing 吲达帕胺缓释控释剂型
'yin'da'pa'an'kou'fu'chang'shi'ji'xing 吲达帕胺口服常释剂型
'yin'da'te'luo 茚达特罗
'yin'duo'bu'fen 吲哚布芬
'yin'duo'jing'lv 吲哚菁绿
'yin'duo'mei'xin'di'yan'ji 吲哚美辛滴眼剂
'yin'duo'mei'xin'huan'shi'kong'shi'ji'xing 吲哚美辛缓释控释剂型
'yin'duo'mei'xin'kou'fu'chang'shi'ji'xing 吲哚美辛口服常释剂型
'yin'duo'mei'xin'shuan'ji 吲哚美辛栓剂
'yin'ji'mei 蚓激酶
'yin'ka'lin'suan'er'na'ying'ka'lin'suan'er'na 因卡膦酸二钠英卡膦酸二钠
'yin'xing'da'mo 银杏达莫
'yin'xing'mi'huan 银杏蜜环
