'a'fei 阿斐
'ya'sa'li'ya'sa'dou'zhi'zi 亚撒利雅撒都之子
'ya'sa'li'ya'wu'xi'ya 亚撒利雅乌西雅
'ya'sa'li'ya'xi'le'jia'de'er'zi 亚撒利雅希勒家的儿子
'ya'sa'li'ya'ya'bo'ni'ge 亚撒利雅亚伯尼歌
'ya'sa'li'ya'ya'ma'xie'zhi'zi 亚撒利雅亚玛谢之子
'ya'sa'ni'ya'li'jia'zu 亚撒尼亚利甲族
'ya'sa'ni'ya'sha'fan'zhi'zi 亚撒尼亚沙番之子
'ya'sa'ni'ya'yi'se'lie'ren'de'shou'ling 雅撒尼亚以色列人的首领
'ya'se'suo 亚瑟索
'ya'sha 雅煞
'ya'sha'er'shu 雅煞珥书
'ya'sha'long 押沙龙
'ya'sha'long'zhi'nv 押沙龙之女
'ya'shan 雅善
'ya'shan'er'zi'zhong'de'yue'na'dan 雅善儿子中的约拿单
'ya'she 亚设
'ya'she'he'ya'lu 亚设和亚禄
'ya'she'la 亚舍拉
'ya'shi'ji'lun 亚实基伦
'ya'shi'ji'na 亚实基拿
'ya'shi'tu 亚实突
'ya'shu 亚述
'ya'shu'li'zu 亚书利族
'ya'shu'na'sai'ba'er'shi 亚述拿塞巴二世
'ya'shu'ren 亚述人
'ya'shu'wang 亚述王
'ya'shu'wang'chao'de'ji'lu 亚述王朝的记录
'ya'shu'wu'ba'lie 亚述乌巴列
'ya'shuo 亚朔
'ya'si'ma'fu 押斯玛弗
'ya'si'na'ba 亚斯那巴
'ya'si'ta'lu 亚斯他录
'ya'si'wen 亚司温
'ya'suo 亚琐
'ya'ta'li'ya 亚他利亚
'ya'ta'li'ya 亚他利雅
'ya'te 亚特
'ya'te'lv'jia'ning 亚特律加宁
'ya'ti'ma 亚提马
'ya'wa 亚瓦
'ya'wa'di'ren 亚瓦底人
'ya'wan 雅完
'ya'wei'nong 亚威浓
'ya'wen 亚文
'ya'xi 亚惜
'ya'xi'an 亚希暗
'ya'xi'duo'fu 亚希多弗
'ya'xi'duo'fu'de'er'zi'yi'lian 亚希多弗的儿子以连
'ya'xi'gan 亚希甘
'ya'xi'jia 亚西加
'ya'xi'lv 亚希律
'ya'xi'lv'de'er'zi'ba'na 亚希律的儿子巴拿
'ya'xi'ma'si 亚希玛斯
'ya'xi'ma'si'sa'du'zhi'zi 亚希玛斯撒督之子
'ya'xi'mi'le'he'ren'de'ling'xiu 亚希米勒赫人的领袖
'ya'xi'mi'le'ya'bi'ya'ta'de'qin'qi 亚希米勒亚比亚他的亲戚
'ya'xi'mi'le'ya'xi'tu'de'er'zi 亚希米勒亚希突的儿子
'ya'xi'na'da 亚希拿达
'ya'xi'nuan 亚希暖
'ya'xi'sha 亚希煞
'ya'xi'tu'fei'ni'ha'zhi'zi 亚希突非尼哈之子
'ya'xi'tu'sa'du'zhi'fu 亚希突撒督之父
'ya'xi'ya 亚希雅
'ya'xi'ya 亚西亚
'ya'xi'ya'de'er'zi'ba'sha 亚希雅的儿子巴沙
'ya'xi'ya'ji'si 亚希亚祭司
'ya'xi'ya'xian'zhi 亚希雅先知
'ya'xi'yue 亚希约
'ya'xie 雅谢
'ya'ya'lun 亚雅仑
'ya'yi 雅亿
'ya'you'guan 亚有关
'ya'za 亚杂
'ya'za 雅杂
'yan'gu 盐谷
'yan'hai 盐海
'yan'mian'bu'gu'wo 掩面不顾我
'yan'yu'chun'quan 言语纯全
'yan'yue 盐约
'yang'bi 佯庇
'yang'guang'wei'wo'men'zhan'fang'xiao'lian 阳光为我们绽放笑脸
'yang'kan'tian'kong'hao'da'wu'qiong 仰看天空浩大无穷
'yang'men 羊门
'yang'shi 样式
'yang'wang 仰望
'yao'ba'ta'men'jian'chu 要把他们剪除
'yao'cheng'zan'ni'de'xin'shi 要称赞你的信实
'yao'da'dao'ni'mian'qian 要达到你面前
'yao'dao'ji'shi'ne 要到几时呢
'yao'di'dang'ye'he'hua 要敌挡耶和华
'yao'fa'qi'da'sheng 要发起大声
'yao'jian'li'ni'de'bao'zuo 要建立你的宝座
'yao'jiang'ye'he'hua'de'ming 要将耶和华的名
'yao'jie 要节
'yao'jiu'ta'men'de'ming'tuo'li'si'wang 要救他们的命脱离死亡
'yao'man'le'zhi'jiang'er'chang'fa'qing 要满了汁浆而常发青
'yao'shi'ta'men'gui 要使他们归
'yao'shi'xing'de'ci'ai'zai'na'li'ne 要施行的慈爱在哪里呢
'yao'xiang'ye'he'hua'ge'chang 要向耶和华歌唱
'yao'xing 要性
'yao'yong'qin'ge'song'ye'he'hua 要用琴歌颂耶和华
'yao'zhu'zai'ye'he'hua'de'dian'zhong 要住在耶和华的殿中
'ye'bi'bu'jiao'wo'de'xin'shi'fei'qi 也必不叫我的信实废弃
'ye'bi'he'ta'yi'tong'zuo'wang 也必和他一同作王
'ye'bi'yu'ta'tong'huo 也必与他同活
'ye'bin 耶宾
'ye'bu'gai'bian'wo'kou'zhong'suo'chu'de 也不改变我口中所出的
'ye'bu'li'qi'ta'de'chan'ye 也不离弃他的产业
'ye'bu'pa'hei'ye'xing'de'wen'yi 也不怕黑夜行的瘟疫
'ye'bu'si'ren 耶布斯人
'ye'bu'si'ren'ya'lao'na 耶布斯人亚劳拿
'ye'bu'yao'zai'lie'nu'zhong'cheng'fa'wo 也不要在烈怒中惩罚我
'ye'di'di'ya 耶底底亚
'ye'du'dun 耶杜顿
'ye'fu'ta 耶弗他
'ye'ge'ni'ya 耶哥尼雅
'ye'gou'jing 野狗井
'ye'he'hua 耶和华
'ye'he'hua'a 耶和华啊
'ye'he'hua'a'ni'suo'guan'jiao 耶和华啊你所管教
'ye'he'hua'a'ni'wei'he'diu'qi'wo 耶和华啊你为何丢弃我
'ye'he'hua'a'qiu'ni'zhao'zhe 耶和华啊求你照着
'ye'he'hua'a'wo'hu'qiu'ni 耶和华啊我呼求你
'ye'he'hua'a'zhe'yao'dao'ji'shi'ne 耶和华啊这要到几时呢
'ye'he'hua'bi'bu'diu'qi 耶和华必不丢弃
'ye'he'hua'bi'shou'na'wo'de'dao'gao 耶和华必收纳我的祷告
'ye'he'hua'bi'yu'bei 耶和华必预备
'ye'he'hua'bu'suan'wei'you'zui'de 耶和华不算为有罪的
'ye'he'hua'ceng'dui'wo'shuo 耶和华曾对我说
'ye'he'hua'cong'tian'shang'guan'kan 耶和华从天上观看
'ye'he'hua'de'chou'suan'yong'yuan'li'ding 耶和华的筹算永远立定
'ye'he'hua'de'hou'hui 耶和华的后悔
'ye'he'hua'de'jiu'en 耶和华的救恩
'ye'he'hua'de'ling 耶和华的灵
'ye'he'hua'de'pu'ren 耶和华的仆人
'ye'he'hua'de'shi'zhe 耶和华的使者
'ye'he'hua'de'yan'mu 耶和华的眼目
'ye'he'hua'fa'ming'le'ta'de'jiu'en 耶和华发明了他的救恩
'ye'he'hua'ji'nian 耶和华纪念
'ye'he'hua'jian'zheng'ren 耶和华见证人
'ye'he'hua'jian'zheng'ren'hui 耶和华见证人会
'ye'he'hua'la'fa 耶和华拉法
'ye'he'hua'ni'shi'wo'de'shen 耶和华你是我的神
'ye'he'hua'ni'xi 耶和华尼西
'ye'he'hua'qi'gen'nu 耶和华齐根努
'ye'he'hua'rui'a 耶和华锐阿
'ye'he'hua'sha'long 耶和华沙龙
'ye'he'hua'sha'ma 耶和华沙玛
'ye'he'hua'shen'pan 耶和华审判
'ye'he'hua'shi'lie'guo'de'chou'suan 耶和华使列国的筹算
'ye'he'hua'shi'shen 耶和华是神
'ye'he'hua'shi'wo'de'an'wei 耶和华是我的安慰
'ye'he'hua'shi'wo'de'bi'nan'suo 耶和华是我的避难所
'ye'he'hua'shi'wo'de'mu'zhe 耶和华是我的牧者
'ye'he'hua'shi'yi 耶和华是义
'ye'he'hua'shi'ying'dang'cheng'song'de 耶和华是应当称颂的
'ye'he'hua'suo'zai 耶和华所在
'ye'he'hua'ting'le'wo'de'ken'qiu 耶和华听了我的恳求
'ye'he'hua'wan'jun'zhi'shang'di'a 耶和华万军之上帝啊
'ye'he'hua'wo'de'pan'shi 耶和华我的磐石
'ye'he'hua'wo'men'de'shen 耶和华我们的神
'ye'he'hua'wo'men'de'shen'a 耶和华我们的神啊
'ye'he'hua'wo'men'de'shen'ben'wei'sheng 耶和华我们的神本为圣
'ye'he'hua'wo'men'de'yi 耶和华我们的义
'ye'he'hua'xiang'zhong'min'shi'xing'shen'pan 耶和华向众民施行审判
'ye'he'hua'xing'le'da'shi 耶和华行了大事
'ye'he'hua'yi'jing'wei'wo'men'xing'le 耶和华已经为我们行了
'ye'he'hua'yi'le 耶和华以勒
'ye'he'hua'yong'ci'ai'cheng'shi'dai'ni 耶和华用慈爱诚实待你
'ye'he'hua'zai'xi'an'wei'da 耶和华在锡安为大
'ye'he'hua'zheng'jiu'wo'de'shang'di'a 耶和华拯救我的上帝啊
'ye'he'hua'zhi'dao 耶和华知道
'ye'he'hua'zhu'fu'man'man 耶和华祝福满满
'ye'he'hua'zuo'wang 耶和华作王
'ye'he'ya'li 耶何雅立
'ye'he'ye'da 耶何耶大
'ye'he'ye'da'da'ji'si 耶何耶大大祭司
'ye'hu 耶户
'ye'jian'shi'huo'guang'zhao 夜间使火光照
'ye'jin'chong'jian'guang'tian 夜尽重见光天
'ye'jin'guang'tian'ge 夜尽光天歌
'ye'la 耶拉
'ye'la'mie'ren 耶拉篾人
'ye'li'ge 耶利哥
'ye'li'mi 耶利米
'ye'li'mi'ai'ge 耶利米哀歌
'ye'li'mi'shu 耶利米书
'ye'lu'ba'li 耶路巴力
'ye'lu'ba'li'ye'lu'bi'she 耶路巴力耶路比设
'ye'lu'bi'she 耶路比设
'ye'lu'sa'leng 耶路撒冷
'ye'lu'sa'leng'da'hui 耶路撒冷大会
'ye'lu'sa'leng'de'cheng'qiang 耶路撒冷的城墙
'ye'luo'bo'an 耶罗波安
'ye'luo'bo'an'de'er'zi'ya'bi'ya 耶罗波安的儿子亚比雅
'ye'luo'bo'an'di'er 耶罗波安第二
'ye'luo'bo'an'er'shi 耶罗波安二世
'ye'luo'bo'an'yi'shi 耶罗波安一世
'ye'man'ren 野蛮人
'ye'mo 耶末
'ye'rou'mi 耶柔米
'ye'shai'ya 耶筛亚
'ye'shi'shu'ta'de 也是属他的
'ye'shi'ta'cao'chang'de'yang 也是他草场的羊
'ye'shu'lun 耶书仑
'ye'shu'ya 耶书亚
'ye'si'lie 耶斯列
'ye'si'lie'cheng'shi 耶斯列城市
'ye'si'lie'de'wai'guo 耶斯列的外郭
'ye'si'lie'he'xi'a'zhi'zi 耶斯列何西阿之子
'ye'si'lie'ren'na'bo 耶斯列人拿伯
'ye'si'lie'xia'bian'de'bo'shan'quan'di 耶斯列下边的伯善全地
'ye'su 耶稣
'ye'su'ai'ni 耶稣爱你
'ye'su'ai'ni'ye'su'teng'ni 耶稣爱你耶稣疼你
'ye'su'cheng'ran 耶稣诚然
'ye'su'de'ming 耶稣的名
'ye'su'de'mu'qin 耶稣的母亲
'ye'su'de'shen'ji 耶稣的神迹
'ye'su'ji'du 耶稣基督
'ye'su'ji'du'zhi'yan'xing 耶稣基督之言行
'ye'su'neng'gou'gai'bian'ni'de'ceng'jing 耶稣能够改变你的曾经
'ye'su'neng'gou'jiao'yi'qie'dou'geng'xin 耶稣能够叫一切都更新
'ye'su'neng'gou'ti'hui'ni'de'xin'qing 耶稣能够体会你的心情
'ye'su'neng'zao'yi'ge'quan'xin'de'ni 耶稣能造一个全新的你
'ye'su'o'ye'su 耶稣哦耶稣
'ye'su'pei'ban'ta'yong'bu'li'kai 耶稣陪伴他永不离开
'ye'su'shi'er'men'tu 耶稣十二门徒
'ye'su'shou'nan'jie 耶稣受难节
'ye'su'wei'wo'men'de'guo'fan'shou'hai 耶稣为我们的过犯受害
'ye'su'wo'de'ye'su 耶稣我的耶稣
'ye'su'zai'ni'shen'pang 耶稣在你身旁
'ye'su'zai'wo'men'de'xin'jian 耶稣在我们的心间
'ye'sun 耶孙
'ye'tei'luo 叶忒罗
'ye'wu'jing'zai'hai 也无惊灾害
'ye'xi 耶西
'ye'xi'bie 耶洗别
'ye'xi'si'ke 耶希斯刻
'ye'xi'zhi'gen 耶西之根
'ye'xiang'tian'shi'zhen'yi'fei'qi 也像天使振翼飞起
'ye'xing'zai'tian'ding'shan'shan'shuo 夜星在天顶闪闪烁
'ye'you'ci'bei'ti'tie 也有慈悲体贴
'ye'you'wen'rou'shuang'shou 也有温柔双手
'ye'zi'ye'bu'ku'gan 叶子也不枯干
'yi'ba'fu 以巴弗
'yi'ba'fu'ti 以巴弗提
'yi'ba'lu 以巴录
'yi'ba'lu 以巴路
'yi'bai'ni'tu 以拜尼土
'yi'bi'gu'luo 以彼古罗
'yi'bi'gu'luo'xue'shi 以彼古罗学士
'yi'bi'ya'sa 以比雅撒
'yi'bi'zan 以比赞
'yi'bian'yi'xie 以便以谢
'yi'bie 以别
'yi'bo'mi'le 以伯米勒
'yi'bu'you'yi'bu 一步又一步
'yi'cha 以察
'yi'de 以得
'yi'de'jiu'de'yue'ge'si'mian'huan'rao 以得救的乐歌四面环绕
'yi'dian 伊甸
'yi'dian'yuan 伊甸园
'yi'dian'yuan'zhi'yue 伊甸园之约
'yi'ding'tian'tian'gen'ni 一定天天跟你
'yi'dong 以东
'yi'dong'ren 以东人
'yi'dong'ren'ha'da 以东人哈达
'yi'du'wei 伊杜威
'yi'duan 异端
'yi'duan'yu'ji'duan 异端与极端
'yi'duo 易多
'yi'duo'de'er'zi'ya'xi'na'da 易多的儿子亚希拿达
'yi'er 以珥
'yi'fa 以法
'yi'fa 伊法
'yi'fa'lian 以法莲
'yi'fa'lian'di'jie 以法莲地界
'yi'fa'lian'men 以法莲门
'yi'fa'lian'shu'lin 以法莲树林
'yi'fa'lian'yue'se'zhi'zi 以法莲约瑟之子
'yi'fa'lian'zhi'pai'de'xi'li'da'ren 以法莲支派的洗利达人
'yi'fa'lie 以法列
'yi'fa'mi'dian'zhi'zi 以法米甸之子
'yi'fa'ta 以法他
'yi'fei 以斐
'yi'fu 以弗
'yi'fu'de 以弗得
'yi'fu'la 以弗拉
'yi'fu'lun 以弗仑
'yi'fu'si'lie'tou'meng'hui'chen 衣服撕裂头蒙灰尘
'yi'fu'suo 以弗所
'yi'fu'suo'jiao'hui 以弗所教会
'yi'fu'suo'shu 以弗所书
'yi'fu'suo'shu'ping'lun 以弗所书评论
'yi'fu'suo'shu'sheng'jing'zhu'shi 以弗所书圣经注释
'yi'ge'la 以格拉
'yi'ge'lun 以革伦
'yi'ge'nian 以哥念
'yi'hu 以忽
'yi'hu 以笏
'yi'huo 疑惑
'yi'huo'hei'yin'qiu'san'jin 疑惑黑荫求散尽
'yi'ji 益吉
'yi'ji'du'de'xin'wei'xin 以基督的心为心
'yi'ji'lun 伊矶伦
'yi'jia 亦迦
'yi'jia 以甲
'yi'jia'bo 以迦博
'yi'jiang'zhe'cheng'jiao'gei'wo'men 已将这城交给我们
'yi'jiao 异教
'yi'jiao'tu 异教徒
'yi'jie 以结
'yi'jing'jie'jing 以经解经
'yi'jiu'huan'hu'zan'mei'bu'ting 依旧欢呼赞美不停
'yi'kao'ta'mian'jing'shen'me 倚靠他免惊什么
'yi'kou'liang'she 一口两舌
'yi'la 以拉
'yi'la 益拉
'yi'la'da 以拉大
'yi'la'de'er'zi'shi'mei 以拉的儿子示每
'yi'la'dou 以拉都
'yi'la'gu 以拉谷
'yi'la'sa 以拉撒
'yi'la'sa'wang 以拉撒王
'yi'la'si'mo 伊拉斯谟
'yi'lai 以来
'yi'lan 以兰
'yi'lan 以拦
'yi'lan'ren 以拦人
'yi'lan'wang 以拦王
'yi'le'ba'lan 伊勒巴兰
'yi'le'da 以勒大
'yi'le'ha'nan 伊勒哈难
'yi'le'li'ya'li'xi'he'chuang 伊勒力亚力希河床
'yi'le'ma 伊勒玛
'yi'li 以利
'yi'li 以力
'yi'li'da 以利达
'yi'li'fa 以利法
'yi'li'fa'le 以利法勒
'yi'li'fa'lie 以利法列
'yi'li'fa'yi'sao'zhi'zi 以利法以扫之子
'yi'li'fa'yue'bo'de'peng'you 以利法约伯的朋友
'yi'li'fei'li'hu 以利斐利户
'yi'li'fen'ding'pu'cao 伊里芬丁蒲草
'yi'li'he'lie 以利何烈
'yi'li'hu 以利户
'yi'li'hu'da'wei'de'di'xiong 以利户大卫的弟兄
'yi'li'hu'yue'bo'de'peng'you 以利户约伯的朋友
'yi'li'jia 以利加
'yi'li'jia'na 以利加拿
'yi'li'li'gu 以利哩古
'yi'li'mi'le 以利米勒
'yi'li'na'dan 以利拿单
'yi'li'nai 以利乃
'yi'li'sa'ba 以利萨巴
'yi'li'sa'fan 以利撒反
'yi'li'sa'fan 以利撒番
'yi'li'sa'xiang 以利撒香
'yi'li'sha 以利沙
'yi'li'sha'ba 以利沙巴
'yi'li'sha'bo 以利沙伯
'yi'li'sha'fa 以利沙法
'yi'li'sha'lie 以利沙列
'yi'li'sha'ma 以利沙玛
'yi'li'sha'ma'ni'tan'ya'zhi'fu 以利沙玛尼探雅之父
'yi'li'sha'ma'ye'jia'mi'ya'zhi'zi 以利沙玛耶加米雅之子
'yi'li'shu'ya 以利书亚
'yi'li'xu 以利蓿
'yi'li'ya 以利亚
'yi'li'ya 以利押
'yi'li'ya 以利雅
'yi'li'ya'da 以利亚大
'yi'li'ya'da 以利雅大
'yi'li'ya'da'de'er'zi'li'xun 以利亚大的儿子利逊
'yi'li'ya'da'wei'de'di'xiong 以利押大卫的弟兄
'yi'li'ya'ha'ba 以利雅哈巴
'yi'li'ya'jin 以利亚金
'yi'li'ya'jing 以利亚敬
'yi'li'ya'jing'xi'le'jia 以利亚敬希勒家
'yi'li'ya'jing'yue'ya'jing 以利亚敬约雅敬
'yi'li'ya'sa 以利亚撒
'yi'li'ya'sa 以利亚萨
'yi'li'ya'sa 以利雅萨
'yi'li'ya'sa'da'ji'si 以利亚撒大祭司
'yi'li'ya'sa'fei'ni'ha'zhi'zi 以利亚撒腓尼哈之子
'yi'li'ya'sa'ya'lun'zhi'zi 以利亚撒亚伦之子
'yi'li'ya'shi 以利亚实
'yi'li'ya'ta 以利亚他
'yi'li'ya'xie 以利亚谢
'yi'li'ye 以利业
'yi'li'yi'shi 以利以实
'yi'li'yi'xie 以利以谢
'yi'li'yue'nai 以利约乃
'yi'lian 以连
'yi'lie 以列
'yi'lin 以琳
'yi'lu 以路
'yi'lu'de'yi'xun'jia'bie 以禄的以旬迦别
'yi'lu'qian'xing'jing'zun'zhu'zhi 一路前行敬遵主旨
'yi'lun 以伦
'yi'lun'bo'ha'nan 以伦伯哈南
'yi'lun'bo'ha'nan'you'bian'di'jia 以伦伯哈南有便底甲
'yi'lv 以律
'yi'lv'ma 以吕马
'yi'ma'nei'li 以马内利
'yi'ma'wu'si 以马忤斯
'yi'mi'ren 以米人
'yi'mian'you'xing'yi'mian'song'shen 一面游行一面颂神
'yi'mo'dang 以摩当
'yi'na 以拿
'yi'nan 以南
'yi'ni'ya 以尼雅
'yi'nuo 以诺
'yi'nuo'shi 以挪士
'yi'qi'dou'lai'wei'kun'wo 一齐都来围困我
'yi'qi'mai'xiang'he'yi'de'xuan'jiao 一起迈向合一的宣教
'yi'qian'yin'zi 一钱银子
'yi'qie'ge'song'zan'mei 一切歌颂赞美
'yi'qie'zuo'nie'de'ye'yao'li'san 一切作孽的也要离散
'yi'qie'zuo'nie'zhi'ren 一切作孽之人
'yi'ren 义人
'yi'ren'na 义人哪
'yi'ren'yao'fa'wang'ru'zong'shu 义人要发旺如棕树
'yi'sa 以撒
'yi'sa'ha'dun 以撒哈顿
'yi'sa'jia 以萨迦
'yi'sa'jia'ren'ya'xi'ya 以萨迦人亚希雅
'yi'sai'ya 以赛亚
'yi'sai'ya'shu 以赛亚书
'yi'sao 以扫
'yi'se'lie 以色列
'yi'se'lie'de'sheng'zhe 以色列的圣者
'yi'se'lie'wang 以色列王
'yi'se'lie'wang'ba'sha 以色列王巴沙
'yi'se'lie'wang'ya'ha 以色列王亚哈
'yi'se'lie'zhu'wang'ji 以色列诸王记
'yi'she 以设
'yi'shen'lun 一神论
'yi'sheng'dou'yao'zan'mei 一生都要赞美
'yi'sheng'rang'ye'su'ai'ni 一生让耶稣爱你
'yi'sheng'yi'shi'bi'you'en'hui 一生一世必有恩惠
'yi'sheng'yi'shi'jiao'bu'bu'li 一生一世脚步不离
'yi'sheng'yi'shi'xian'shang'zi'ji 一生一世献上自己
'yi'shi 以示
'yi'shi'ba 伊施巴
'yi'shi'bi'nuo 以实比诺
'yi'shi'bo'she 伊施波设
'yi'shi'ge 以实各
'yi'shi'ma'li 以实玛利
'yi'shi'mai'ya 以实买雅
'yi'shi'ta'er 伊施他尔
'yi'shi'ti'mo 以实提摩
'yi'shi'wu'lu'zi'you'guang'ming'men 疑是无路自有光明门
'yi'si 意思
'yi'si'ben 以斯本
'yi'si'de'la 以斯得拉
'yi'si'ha 以斯哈
'yi'si'la 以斯拉
'yi'si'la'ji 以斯拉记
'yi'si'la'ren 以斯拉人
'yi'si'la'ren'yi'tan 以斯拉人以探
'yi'si'la'ren'yi'tan'de'xun'hui'shi 以斯拉人以探的训诲诗
'yi'si'li 以斯利
'yi'si'ni'ren 伊斯尼人
'yi'si'ni'ren'ya'di'nuo 伊斯尼人亚底挪
'yi'si'tie 以斯帖
'yi'si'tie 以斯贴
'yi'si'tie'ji 以斯帖记
'yi'ta'de'yan'kan'shi'jie 以他的眼看世界
'yi'ta'ma 以他玛
'yi'ta'nian'yue 以他念月
'yi'tai 以太
'yi'tan 以探
'yi'te'la 以特拉
'yi'te'nian 以特念
'yi'tie 以铁
'yi'tie 益帖
'yi'tie'ren 以帖人
'yi'tie'ren'jia'li 以帖人迦立
'yi'tie'ren'yi'la 以帖人以拉
'yi'tu 伊突
'yi'tu'mai 以土买
'yi'wai'ping'an 意外平安
'yi'wei 以未
'yi'wei'mi'luo'da 以未米罗达
'yi'xi 以希
'yi'xi'jie 以西结
'yi'xi'jie'shu 以西结书
'yi'xiang 异象
'yi'xiang'yu'fu'xing 异象与复兴
'yi'xie 以谢
'yi'xie'er 以谢珥
'yi'xin'yi'shou'yi'sheng'yin 以心以手以声音
'yi'xing 义行
'yi'xing'de'shi'hou'bi'zai'xing 已行的事后必再行
'yi'xue 以薛
'yi'xun'jia'bie 以旬迦别
'yi'ya'huan'ya 以牙还牙
'yi'ye'he'hua'wei'shen'de 以耶和华为神的
'yi'yi 意义
'yi'you'de'shi'hou'bi'zai'you 已有的事后必再有
'yi'yun 以云
'yi'zai'ya'men 邑宰亚们
'yi'zan'mei'zai'bao'zuo'qian'wei'rao 以赞美在宝座前围绕
'yi'zheng'pai'yi'shang'wei'zhuang'shi 以正派衣裳为妆饰
'yi'zhi 医治
'yi'zuo'tan 一座坛
'yin'chen 茵陈
'yin'duo'er 隐多珥
'yin'hun 阴魂
'yin'ji'di 隐基底
'yin'jian 阴间
'yin'jiang 银匠
'yin'jiu 饮酒
'yin'jiu'zi'shi 因酒滋事
'yin'la'de'er'zi'mi'gai'ya 音拉的儿子米该雅
'yin'luo'jie 隐罗结
'yin'ni'de'gong'yi'de'yi'gao'ju 因你的公义得以高举
'yin'ni'shou'de'bian'shang 因你受的鞭伤
'yin'ni'shou'de'xing'fa 因你受的刑罚
'yin'ni'ye'he'hua 因你耶和华
'yin'qi'ge'song'sheng 引起歌颂声
'yin'se 淫色
'yin'ta'ai'wo'yong'bu'geng'gai 因他爱我永不更改
'yin'ta'ai'wo'zhi'dao'wan'dai 因他爱我直到万代
'yin'ta'chai'qian'ai'zi 因他差遣爱子
'yin'ta'cong'tian'jiang'xia 因他从天降下
'yin'wei'du'you'ni'ye'he'hua'shi'wo'an'ran'ju'zhu 因为独有你耶和华使我安然居住
'yin'wei'gong'yi'de'shen'cha'yan'ren'de'xin'chang'fei'fu 因为公义的神察验人的心肠肺腑
'yin'wei'ni'bi'ci'fu'yu'yi'ren 因为你必赐福与义人
'yin'wei'ni'bu'shi'xi'yue'e'shi'de'shen 因为你不是喜悦恶事的神
'yin'wei'ni'da'le'wo'yi'qie'chou'di'de'sai'gu 因为你打了我一切仇敌的腮骨
'yin'wei'ni'da'zuo'wei'zhen'qi'miao 因为你大作为真奇妙
'yin'wei'ni'shi'wo'de'jiu'zhu 因为你是我的救主
'yin'wei'ni'xi'yue'wo'men 因为你喜悦我们
'yin'wei'ni'ye'he'hua'zhi'gao 因为你耶和华至高
'yin'wei'ta 因为他
'yin'wei'ta'bu'neng'bei'hu'zi'ji 因为他不能背乎自己
'yin'wei'ta'de'nu'qi'kuai'yao'fa'zuo 因为他的怒气快要发作
'yin'wei'ta'hang'guo'qi'miao'de'shi 因为他行过奇妙的事
'yin'wei'ta'lai'le 因为他来了
'yin'wei'ta'lai'yao'shen'pan'bian'di 因为他来要审判遍地
'yin'wei'ta'men'de'kou'zhong'mei'you'cheng'shi 因为他们的口中没有诚实
'yin'wei'ta'you'feng'sheng'de'lian'min 因为他有丰盛的怜悯
'yin'wei'ta'zhi'dao'wo'de'ming 因为他知道我的名
'yin'wei'ta'zhuan'xin'ai'wo 因为他专心爱我
'yin'wei'wo'de'zui'ji'zhong'da 因为我的罪极重大
'yin'wei'wo'deng'hou'ni 因为我等候你
'yin'wei'wo'men'xiang'lai'yi'kao 因为我们向来倚靠
'yin'wei'wo'shi'gu'du'kun'ku 因为我是孤独困苦
'yin'wei'wo'tou'kao'ni 因为我投靠你
'yin'wei'wo'xin'li'man'le'huan'nan 因为我心里满了患难
'yin'wei'wo'yong'yuan'tou'kao'ni 因为我永远投靠你
'yin'wei'ye'he'hua'ben'wei'shan 因为耶和华本为善
'yin'wei'ye'he'hua'de'yan'yu'zheng'zhi 因为耶和华的言语正直
'yin'wei'ye'he'hua'ting'le'wo'ai'ku'de'sheng'yin 因为耶和华听了我哀哭的声音
'yin'wei'ye'he'hua'zhi'dao'yi'ren'de'dao'lu 因为耶和华知道义人的道路
'yin'wei'zai'si'di'wu'ren'ji'nian'ni 因为在死地无人记念你
'yin'wo'ceng'shuo 因我曾说
'yin'wo'de'ming 因我的名
'yin'wo'zhi'dao 因我知道
'yin'wo'zou'chu'shi'jie'de'hei'an 引我走出世界的黑暗
'yin'wo'zou'zheng'yi'lu 引我走正义路
'yin'wu'ren'xiang'ni 因无人像你
'yin'xin'cheng'yi 因信称义
'yin'ye'he'hua'wei'da 因耶和华为大
'yin'yi'ge'lian 隐以革莲
'yin'zhong'ri'ai'heng'er'gu'tou'ku'gan 因终日唉哼而骨头枯干
'yin'zhu'lin'wo'men 因主临我们
'yin'zhu'yong'yuan'shi'ni'jiu'shu'jian'kang 因主永远是你救赎健康
'yin'zi 银子
'ying'dang'cheng'song'de 应当称颂的
'ying'dang'xiang'ta'chang'xin'ge 应当向他唱新歌
'ying'huang'qin'ding'ben 英皇钦定本
'ying'que 鹰雀
'ying'wu'you'ming 英武有名
'ying'xu 应许
'ying'xu'zhi'di 应许之地
'ying'yan 应验
'ying'zai 蝇灾
'ying'zhe'jing'xiang 硬着颈项
'yong'an'qun'ling'xian'zhi'sheng'ren 永安群灵先知圣人
'yong'bao'shen'suo'ci'de'shi'jie 拥抱神所赐的世界
'yong'bian'ze'fa'ta'men'de'zui'nie 用鞭责罚他们的罪孽
'yong'bu'li'kai'wo'men'da'neng'sheng'ling 永不离开我们大能圣灵
'yong'hao'he'jiao'sheng 用号和角声
'yong'heng'de'jie'ti 永恒的阶梯
'yong'heng'kuai'le'qiu'zhu'shang'ci 永恒快乐求主赏赐
'yong'heng'zhi'li 永恒治理
'yong'hua'lai'an'wei'wo 用话来安慰我
'yong'lv'fa'suo'jiao'xun 用律法所教训
'yong'ni'de'xin'shen'chu'ni'shou 用你的心伸出你手
