'a'ha'li'mu'fu'you 阿哈利姆福佑
'yuan'gu'hei'fu'you 远古黑蜉蝣
'yuan'gu'hei'long 远古黑龙
'yuan'gu'hua'gang'yan'kui'lei 远古花岗岩傀儡
'yuan'gu'lan'fu'shou 远古岚肤兽
'yuan'gu'lei'fu'shou 远古雷肤兽
'yuan'gu'sa'man'qian'xing'zhe 远古萨满潜行者
'yuan'gu'shi'seng'qian'xing'zhe 远古侍僧潜行者
'yuan'gu'shuang'hai'kui'lei 远古霜害傀儡
'yuan'gu'yan'shi'kui'lei 远古岩石傀儡
'yuan'gu'zhao'wa'fa'shi 远古沼蛙法师
'yuan'hai'jue'ying 渊海绝影
'yuan'hou'bu'fa 猿猴步法
'yuan'huan 圆环
'yuan'li'fa'zhang 原力法杖
'yuan'li'xie 原力鞋
'yuan'ling'bao'fu 怨灵报复
'yuan'ling'ji'dai 怨灵系带
'yuan'ling'zhi'qi 怨灵之契
'yuan'nian'shen'bing 怨念深饼
'yuan'nian'shen'yuan 怨念深渊
'yuan'sheng'li'liang 原生力量
'yuan'shi'pao'xiao 原始咆哮
'yuan'shi'sheng'yan 原始盛宴
'yuan'su'fen'li 元素分离
'yuan'su'fu'wen 元素符文
'yuan'su'huo'ban 元素伙伴
'yuan'xing'xie 远行鞋
'yue'dong 跃动
'yue'dun 月盾
'yue'guang 月光
'yue'jie 越界
'yue'nv 月女
'yue'qi 月骑
'yue'ren 月刃
'yue'shen'zhi'jian 月神之箭
'yue'shi 月蚀
'yue'ye'zhi'shi 月夜之视
'yue'zhi'an'mian 月之暗面
'yue'zhi'gong'zhu 月之公主
'yue'zhi'nv'ji'si 月之女祭司
'yue'zhi'qi'shi 月之骑士
'yue'zhi'zhu'fu 月之祝福
'yun'chui 晕锤
'yun'xing'chui 陨星锤
'za'ji'wan'ju 杂技玩具
'za'shua'ao'mi 杂耍奥秘
'za'yun'shi 砸陨石
'zai'zhuang'tian 再装填
'ze'te 泽特
'zeng'wu 憎恶
'zha'dan 炸弹
'zha'dan'ren 炸弹人
'zha'gong'na'si 扎贡纳斯
'zha'lei'fu 炸雷服
'zhan'dou'hao'jiao 战斗嚎叫
'zhan'dou'ji'ke 战斗饥渴
'zhan'dou'zhi'xin 战斗之心
'zhan'dou'zhuan'zhu 战斗专注
'zhan'dui'ying'yuan'tuan 战队应援团
'zhan'gu 战鼓
'zhan'gu'guang'huan 战鼓光环
'zhan'gui'shuang'ren 战鬼双刃
'zhan'hou 战吼
'zhan'shen'xun'mao 战神迅矛
'zhan'yi 战意
'zhan'ying 战鹰
'zhan'zheng'en'ci 战争恩赐
'zhan'zheng'jian'ta 战争践踏
'zhang'da 长大
'zhang'jiao'pao'wu 长角抛物
'zhang'qi 瘴气
'zhao'huan 召唤
'zhao'huan'fei'dan 召唤飞弹
'zhao'huan'liu 召唤流
'zhao'huan'shu'ren 召唤树人
'zhao'huan'xin'tu 召唤信徒
'zhao'huan'yong'shou 召唤佣兽
'zhao'hui 召回
'zhao'lang 召狼
'zhao'mi 着迷
'zhao'ming'huo'jian 照明火箭
'zhao'niao 找鸟
'zhao'wa 沼蛙
'zhao'wa'fa'shi 沼蛙法师
'zhao'wa'fa'shi'xue'tu 沼蛙法师学徒
'zhe'du 蛰毒
'zhe'guang 折光
'zhe'guang'jing 折光镜
'zhe'she 折射
'zhe'yue'yao'guang 折跃耀光
'zhen'bu'rong'yi 真不容易
'zhen'cha'shou'wei 侦查守卫
'zhen'ci'sao'she 针刺扫射
'zhen'dang'bo 震荡波
'zhen'dang'guang'dan 震荡光弹
'zhen'dang'shou'lei 震荡手雷
'zhen'fen'bao'shi 振奋宝石
'zhen'han'da'di 震撼大地
'zhen'hun'shi 镇魂石
'zhen'ji 震击
'zhen'kong 真空
'zhen'long'xing'tai 真龙形态
'zhen'shi 真视
'zhen'shi'bao'shi 真视宝石
'zhen'wang 真王
'zhen'wang'jiang'lin 真王降临
'zhen'xiong'xing'tai 真熊形态
'zhen'yan 真眼
'zhen'yi 振翼
'zhen'ying 阵营
'zhen'ying'yu'huo'dong 阵营与活动
'zheng'bu 正补
'zheng'gu'dian 整蛊垫
'zheng'yi'zhi'fu 正义之斧
'zhi'ai'duan'bi 窒碍短匕
'zhi'bao 至宝
'zhi'can'zhi'nu 致残之弩
'zhi'di'zhao'gou 制敌爪钩
'zhi'hui'fu 智慧符
'zhi'hui'shen'fu 智慧神符
'zhi'hui'shen'kan 智慧神龛
'zhi'hui'zhi'ren 智慧之刃
'zhi'jie 肢解
'zhi'li 智力
'zhi'li'dou'peng 智力斗篷
'zhi'li'tiao'dao 智力跳刀
'zhi'li'wai'liu 智力外流
'zhi'li'ying'xiong 智力英雄
'zhi'liao 治疗
'zhi'liao'shou'wei 治疗守卫
'zhi'liao'yao'gao 治疗药膏
'zhi'liao'zhi'huan 治疗指环
'zhi'mang'zhi'guang 致盲之光
'zhi'mie 智灭
'zhi'ming'lian'jie 致命连接
'zhi'ming'yi'ji 致命一击
'zhi'ming'yi'jian 致命一箭
'zhi'pei'si'ling 支配死灵
'zhi'pei'tou'kui 支配头盔
'zhi'shi'zhi'shu 知识之书
'zhi'wang 织网
'zhi'xi'zhi'ren 窒息之刃
'zhi'ye'lie'ren 职业猎人
'zhi'zhu'nai 蜘蛛奶
'zhong'cheng'kao'yan 忠诚考验
'zhong'er'ta 中二塔
'zhong'gao'di'ta 中高地塔
'zhong'ji 重击
'zhong'ji'ji'neng 终极技能
'zhong'jia 重甲
'zhong'li'dai'bi 中立代币
'zhong'li'jing 重力井
'zhong'li'sheng'wu 中立生物
'zhong'li'sheng'wu'fu'mo 中立生物附魔
'zhong'li'sheng'wu'ming'cheng 中立生物名称
'zhong'li'sheng'wu'wu'pin 中立生物物品
'zhong'li'wu'pin 中立物品
'zhong'li'wu'pin'fu'mo 中立物品附魔
'zhong'lu 中路
'zhong'lu'bu'jian'le 中路不见了
'zhong'lu'mei'le 中路没了
'zhong'lu'mei'ren'le 中路没人了
'zhong'lu'shi'zong 中路失踪
'zhong'lu'ying'xiong'shi'zong 中路英雄失踪
'zhong'mao'zhi'de 众矛之的
'zhong'shen'zhi'wang 众神之王
'zhong'shi'bu'xia 忠实部下
'zhong'shi'shu'xia 忠实属下
'zhong'wai'ta 中外塔
'zhou'si 宙斯
'zhou'si'zhi'lei 宙斯之泪
'zhu'dong'ji'neng 主动技能
'zhu'er'fu'san 主二副三
'zhu'er'fu'yi 主二副一
'zhu'ni'gong'cheng'yu'kuai 祝你攻城愉快
'zhu'san'fu'yi 主三副一
'zhu'sha'xian'jing 蛛纱陷阱
'zhu'shu'xing 主属性
'zhu'si'dou'peng 蛛丝斗篷
'zhu'yi'fu'er 主一副二
'zhu'yi'fu'san 主一副三
'zhu'zai 主宰
'zhua'ren 抓人
'zhua'shu 抓树
'zhua'zhua'gui 爪爪鬼
'zhuan'shen'su'lv 转身速率
'zhuang'han'shang'fen 壮汉上分
'zhuang'jia'li'liang 装甲力量
'zhuang'shi 壮实
'zhui'bi 追逼
'zhui'ji'zhi'mao 追击之矛
'zhui'zong'dao'dan 追踪导弹
'zhui'zong'shu 追踪术
'zhuo'er'you'xia 卓尔游侠
'zhuo're'zhi'jian 灼热之箭
'zi'dong'shi'fa 自动施法
'zi'mao 紫猫
'zi'ran'bi'hu 自然庇护
'zi'ran'de'hu'huan 自然的呼唤
'zi'ran'juan'wo 自然卷握
'zi'ran'xian'zhi 自然先知
'zi'ran'zhi'nu 自然之怒
'zi'ran'zhi'xu 自然秩序
'zi'ran'zhi'zhu 自然之助
'zi'sha'gong'ji 自杀攻击
'zi'yuan 紫苑
'zu'dui'xun'luo 组队巡逻
'zu'zhou 诅咒
'zu'zhou'wang'guan 诅咒王冠
'zuan'di 钻地
'zui'hou'yi'yan 最后遗言
'zui'jiu'da'shi 醉酒大师
'zui'jiu'yun'wu 醉酒云雾
'zui'nan'de'bu'fen 最难的部分
'zui'quan 醉拳
'zui'quan'da'shi 醉拳大师
'zuo'shi'ye 做视野
'zuo'sui 作祟
