'an'hei 暗黑
'shuang'ban'fu 双板斧
'shuang'chui 双锤
'shuang'dao 双刀
'shuang'dao'qian'zu'chong 双刀千足虫
'shuang'fei'yan 双飞燕
'shuang'jian 双剑
'shuang'ren 霜刃
'shuang'tou'ao 双头獒
'shuang'yu 双鱼
'shuang'yu'zhui'zi 双鱼坠子
'shui'dao 水刀
'shui'dun 水盾
'shui'gu 水蛊
'shui'gu'shao'ta 水蛊哨塔
'shui'gu'shou'hu 水蛊守护
'shui'jing 水精
'shui'jing'tong 水精通
'shui'jing'tou'shi 水精头饰
'shui'ling 水灵
'shui'long 水龙
'shui'shang'yuan'ling 水殇怨灵
'shui'shang'yuan'ling'shou'ling 水殇怨灵首领
'shui'shi 水使
'shui'shou'ku'gu 水手枯骨
'shui'xi 水系
'shui'xia 水下
'shui'xie 水邪
'shui'xie'zhi'ke 水邪之壳
'shui'xing'jing'tong 水性精通
'shui'yun'jian 水云间
'shun'ji'quan'tao 瞬击拳套
'shun'jian 瞬间
'shun'ri 舜日
'shun'sha'ren 瞬杀刃
'shun'xie 吮血
'shun'xie'tie'jia'bao 吮血铁甲豹
'shun'yi 瞬移
'si'chou'fa'ku'xia'bai 丝绸法裤下摆
'si'chou'fa'pao'yi'jin 丝绸法袍衣襟
'si'chou'fa'shu'xie'di 丝绸法术鞋底
'si'chou'hu'wan'xiu'mian 丝绸护腕绣面
'si'chou'ling'li'fan'tao 丝绸灵力幡绦
'si'chou'xiang'nang 丝绸香囊
'si'deng'yao 丝灯妖
'si'fang'zhai 四方寨
'si'feng'tang 嘶风镗
'si'meng'chui 四猛锤
'si'xian 丝线
'si'xiang 四相
'si'xiang'shi 四象石
'si'xing'tian'niu 四星天牛
'si'xing'tian'niu'wang 四星天牛王
'si'yao 撕咬
'si'yu'lu 四御露
'si'zhao 死沼
'si'zhao'jie 死沼戒
'si'zhao'mi'fa'ku 死沼秘法裤
'si'zhao'qing'kai 死沼轻铠
'si'zhao'xiang'lian 死沼项链
'si'zhao'yao'pei 死沼腰佩
'si'zhao'zhong'kui 死沼重盔
'si'zhao'zhong'xue 死沼重靴
'song'wen'jian 松纹剑
'su'mu 苏木
'su'mu'er'ying 苏木尔营
'su'mu'er'ying'yao'pei 苏木尔营腰佩
'su'she'nu 速射弩
'sui'bing'cun 碎冰村
'sui'cheng'yu 碎橙玉
'sui'chi'yu 碎赤玉
'sui'cui'yu 碎翠玉
'sui'huang'yu 碎黄玉
'sui'lan'yu 碎蓝玉
'sui'ling'tang 碎灵镗
'sui'ling'zhou 碎灵咒
'sui'qing'yu 碎青玉
'sui'shi 碎尸
'sui'shi 碎石
'sui'yu'chang'chui 碎玉长锤
'sui'zi'yu 碎紫玉
'suo'di'shu 缩地术
'suo'hun'guan 索魂冠
'suo'lei 索雷
'suo'ming 索命
'suo'ming'fan'yin 索命梵音
'suo'yuan 锁元
'suo'zi 锁子
'suo'zi'tui'jia 锁子腿甲
'suo'zi'xiu'jia 锁子袖甲
'suo'zi'xue 锁子靴
'suo'zi'zhan'jia 锁子战甲
'ta'jian 踏箭
'ta'jian'feng 踏箭峰
'ta'jian'shan'zhuang 踏箭山庄
'ta'xue'mao'wang 踏雪猫王
'ta'xue'shan'mao 踏雪山猫
'tai'ji 太极
'tai'ji'tan 太极滩
'tai'qing'jian 太清剑
'tai'sen 泰森
'tai'shan 泰山
'tai'shan'ya'ding 泰山压顶
'tai'xu'san 太虚散
'tai'yang 太阳
'tai'yi 太乙
'tai'yi'po'que'gong 太乙破阕弓
'tai'yin 太阴
'tan'lang'tang 贪狼镗
'tan'zi 探子
'tang'zhuang'nan'ku'zi 唐装男裤子
'tang'zhuang'nan'shang'yi 唐装男上衣
'tang'zhuang'nan'xie 唐装男鞋
'tao'bing 逃兵
'tao'bing'ku'lou 逃兵骷髅
'tao'chui'tou'zhu'mu 陶锤头铸模
'tao'dao'feng'zhu'mu 陶刀锋铸模
'tao'fu'ren'zhu'mu 陶斧刃铸模
'tao'guang 韬光
'tao'guang'pi'feng 韬光披风
'tao'hua'wu 桃花坞
'tao'hua'yao 桃花妖
'tao'jian'ren'zhu'mu 陶剑刃铸模
'tao'jin'gang'chu'zhu'mu 陶金刚杵铸模
'tao'jing 桃精
'tao'mu'jian 桃木剑
'tao'mu'jie'kou 桃木节扣
'tao'mu'shou'zhang'mu'ban 桃木手掌模板
'tao'mu'xiao'duan 桃木小段
'tao'mu'zhang'bing 桃木杖柄
'tao'tie 饕餮
'tao'tie'wan 饕餮丸
'tao'yuan 桃源
'tao'yuan'yang'dao'zhu'mu 陶鸳鸯刀铸模
'tao'yuan'yang'jian'zhu'mu 陶鸳鸯剑铸模
'tao'yuan'zhen 桃源镇
'tao'zhi'huan'zhu'mu 陶指环铸模
'tao'zi'mu'chui'zhu'mu 陶子母锤铸模
'tao'zi'mu'fu'zhu'mu 陶子母斧铸模
'teng'jia'yao 藤甲妖
'teng'jiao'qiang 腾蛟枪
'teng'she 腾蛇
'ti'hu 醍醐
'ti'hu'guan'ding 醍醐灌顶
'ti'hu'xiang 醍醐香
'ti'lian'you 提炼油
'ti'lu'qiang 提炉枪
'tian'beng 天崩
'tian'beng'di'lie 天崩地裂
'tian'can'si 天蚕丝
'tian'can'xie 天残蝎
'tian'can'xie'wang 天残蝎王
'tian'chi'bao'dao 天叱宝刀
'tian'di 天地
'tian'di'wu'chang 天地无常
'tian'di'wu'ji 天地无极
'tian'gang 天罡
'tian'he'kui 天河盔
'tian'huo 天火
'tian'huo'kuang'long 天火狂龙
'tian'ji 天机
'tian'ji'san 天机散
'tian'jiang 天将
'tian'jiang'hu'tui 天将护腿
'tian'jie 天劫
'tian'jie 天戒
'tian'jie'gu 天劫谷
'tian'jie'jie 天劫戒
'tian'jie'she'ri'nu 天劫射日弩
'tian'jie'xiang'lian 天劫项链
'tian'jie'yao'pei 天劫腰佩
'tian'lei'zhi'cheng 天泪之城
'tian'lun'zhong'xue 天沦重靴
'tian'ma 天马
'tian'mo 天魔
'tian'mo'bao'zhu 天魔宝珠
'tian'mo'fa'pao 天魔法袍
'tian'nv 天女
'tian'pu 天瀑
'tian'qian 天谴
'tian'ren'fu 天刃符
'tian'shen'hu'ti'lu 天神护体露
'tian'shi'jian 天师剑
'tian'shi'jie'fa 天师借法
'tian'su 天簌
'tian'wang 天王
'tian'wang 天网
'tian'xian'jian 天仙剑
'tian'xian'zi 天仙子
'tian'xie 天蝎
'tian'xie'wang 天蝎王
'tian'xin 天心
'tian'xin'tui'jia 天心腿甲
'tian'xin'xiu'jia 天心袖甲
'tian'xin'xue 天心靴
'tian'xin'zhan'jia 天心战甲
'tian'xing 天刑
'tian'xing 天行
'tian'yu 天狱
'tian'yu'fa'ku 天狱法裤
'tian'yu'fa'lv 天狱法履
'tian'yu'fa'pao 天狱法袍
'tian'yu'hu'tui 天狱护腿
'tian'yu'hu'wan 天狱护腕
'tian'yu'nv'wang 天狱女王
'tian'yu'qing'kai 天狱轻铠
'tian'yu'qing'mao 天狱轻帽
'tian'yu'qing'wan 天狱轻腕
'tian'yu'qing'xue 天狱轻靴
'tian'yu'xia'kai 天狱下铠
'tian'yu'zhi'wang 天狱之王
'tian'yu'zhi'wang'xiong'jia 天狱之王胸甲
'tian'yu'zhi'wang'zhi'huan 天狱之王指环
'tian'yu'zhong'jia 天狱重甲
'tian'yu'zhong'kui 天狱重盔
'tian'yu'zhong'wan 天狱重腕
'tian'yu'zhong'xue 天狱重靴
'tian'zhao'lang 天照狼
'tian'zhen'jian 天真剑
'tie'chui 铁锤
'tie'diao 铁雕
'tie'gou'chuan'zhang 铁钩船长
'tie'hun'wang 铁魂王
'tie'hun'zhong'wan 铁魂重腕
'tie'huo'shuang'chui 铁火双锤
'tie'jia 铁甲
'tie'jia'san 铁甲散
'tie'jiang 铁匠
'tie'pi'hu'tui 铁皮护腿
'tie'pi'hu'wan 铁皮护腕
'tie'pi'kai 铁皮铠
'tie'pi'xue 铁皮靴
'tie'qi 铁骑
'tie'sha 铁砂
'tie'sha'dan 铁砂弹
'tie'shi 铁矢
'tie'sun 铁隼
'tie'tai'gong 铁胎弓
'tie'wei'shan'mao 铁尾山猫
'tie'yan'gu 铁岩蛊
'tie'ying 铁鹰
'tong'bei'yuan'wang 通背猿王
'tong'gui'guai 铜柜怪
'tong'jin'guan 通今冠
'tong'jing'cao 通经草
'tong'ling 统领
'tong'ling 通灵
'tong'ling'hua'shou 通灵花兽
'tong'ling'quan 通灵犬
'tong'qiang'tie'bi'san 铜墙铁壁散
'tong'tian'hu 通天湖
'tong'tou'bang 铜头棒
'tong'xia'guai 铜匣怪
'tong'xiang'guai 铜箱怪
'tong'you'zhang 通幽杖
'tou'jia'qiang 透甲枪
'tou'jin 头巾
'tou'shi 头饰
'tu'biao'ming'cheng 图标名称
'tu'cheng 屠城
'tu'cheng'tie'chui 屠城铁锤
'tu'chi'shan'mao 突齿山猫
'tu'dun 土盾
'tu'jing 土精
'tu'jing'tong 土精通
'tu'ling 土灵
'tu'ming'fa'pao 屠冥法袍
'tu'shang 土殇
'tu'shang'yuan'ling 土殇怨灵
'tu'shang'yuan'ling'shou'ling 土殇怨灵首领
'tu'shi 土使
'tu'xi 土系
'tu'yao 兔妖
'tui'jia 腿甲
'tun'shi 吞噬
'tun'tian 吞天
'tun'tian'dao'lang 吞天刀狼
'tun'tian'shi'ren'yu 吞天食人鱼
'tun'tian'yu 吞天鱼
'tun'yun 吞云
'tun'yun'kui 吞云盔
'wa'leng'chang'chui 瓦棱长锤
'wan'fa'jin'lin 万法金鳞
'wan'gu'shi'tian 万蛊食天
'wan'hua 万化
'wan'hua'cheng 万化城
'wan'hua'san 万化散
'wan'jia 腕甲
'wan'jian'jue 万剑诀
'wan'jie 万劫
'wan'jie'cheng 万劫城
'wan'jie'hu'tui 万劫护腿
'wan'jun 万军
'wan'jun'ju'fu 万钧巨斧
'wan'jun'xiang'lian 万军项链
'wan'liu 万流
'wan'liu'cheng 万流城
'wan'mei 完美
'wan'mei'guo'ji 完美国际
'wan'mei'hai'ling'shui 完美还灵水
'wan'mei'hou'lin'fu 完美厚磷符
'wan'mei'huo'xue'san 完美活血散
'wan'mei'huo'yun'fu 完美火云符
'wan'mei'jiang'pin'shi'zhe 完美奖品使者
'wan'mei'jin'chuang'yao 完美金创药
'wan'mei'jiu'long'san 完美九龙散
'wan'mei'jiu'yang'dan 完美九阳丹
'wan'mei'lan'ying'fu 完美蓝影符
'wan'mei'qing'guang'fu 完美青光符
'wan'mei'shen'qi'wan 完美神气丸
'wan'mei'shi 完美石
'wan'mei'shi'jie 完美世界
'wan'mu'lin 万木林
'wan'mu'ling 万木岭
'wan'she'dao 万蛇岛
'wan'she'zhi'wang 万蛇之王
'wan'sheng 万圣
'wan'sheng'jie 万圣戒
'wan'xiang 万象
'wan'zai'xuan'bing'dan 万载玄冰丹
'wan'zheng'de'pi'nang 完整的皮囊
'wang'fu 往复
'wang'hai 望海
'wang'hun 亡魂
'wang'ji 忘机
'wang'ji'xiang'lian 忘机项链
'wang'ling'zhang 亡灵杖
'wang'mang 王蟒
'wang'ming'qiu'tu 亡命囚徒
'wang'qing'shi 忘情式
'wang'xiang'hai'an 望乡海岸
'wang'you 忘忧
'wang'zhe'zhi'xin 王者之心
'wang'zhe'zhi'xin'hui'ji 王者之心徽记
'wang'zhe'zhi'xin'li'ren 王者之心利刃
'wei'bing 卫兵
'wei'lin'dou'peng 威凛斗篷
'wei'ling 威灵
'wei'shi 卫士
'wei'tuo'chu 韦陀杵
'wei'wang 猬王
'wen'jing'xie 问荆蝎
'wo'liu 涡流
'wo'liu'xuan'gui 涡流旋龟
'wo'liu'xuan'gui'wang 涡流旋龟王
'wu'bu'she 五步蛇
'wu'cai 五彩
'wu'cai'chi'lian'she 五彩赤练蛇
'wu'cai'jie'zhi 五彩戒指
'wu'chang 无常
'wu'chen 无尘
'wu'chen'jie 无尘戒
'wu'chen'xiang'lian 无尘项链
'wu'chen'yao'pei 无尘腰佩
'wu'dao'shi 巫导师
'wu'di 无敌
'wu'du 五毒
'wu'dun'kui 五遁盔
'wu'fang 物防
'wu'hua 物华
'wu'hua'xiang'lian 物华项链
'wu'ji 无忌
'wu'ji 无极
'wu'ji'guan 无极冠
'wu'ji'hai 无极海
'wu'ji'pi'feng 无忌披风
'wu'ji'san 无极散
'wu'kong'wan 悟空丸
'wu'lei'hong'ding 五雷轰顶
'wu'liang 无量
'wu'ming'dao 无名岛
'wu'ming'yao'jing 无名妖精
'wu'pin'ming'cheng 物品名称
'wu'qi'chao'yuan 五气朝元
'wu'qi'ming'cheng 武器名称
'wu'qu'wu'gong 武曲蜈蚣
'wu'rui 乌睿
'wu'rui'zhi'shi 乌睿之石
'wu'se'fu 五色符
'wu'se'nian'he'ji 五色粘合剂
'wu'se'zhang 五色杖
'wu'shang'pei 无伤佩
'wu'shi 巫师
'wu'shu'xing 无属性
'wu'shuang 无双
'wu'shuang'jie 无双戒
'wu'teng'mu 乌藤木
'wu'ti 乌啼
'wu'ti'fu 五体符
'wu'ti'xiang'lian 乌啼项链
'wu'tou 无头
'wu'tou'ling 无头灵
'wu'wang 巫王
'wu'wang'bao'zhu 巫王宝珠
'wu'wei'cun 无为村
'wu'xia 武侠
'wu'xia'da'shi 武侠大师
'wu'xing'fu 五行符
'wu'xing'lun 五行轮
'wu'xing'shi 五行石
'wu'xing'tian'niu 五星天牛
'wu'xing'tian'niu'wang 五星天牛王
'wu'xuan'zhong'kui 无玄重盔
'wu'ya 无涯
'wu'ya'xiang'lian 无涯项链
'wu'ya'zhi'jian 无涯之剑
'wu'ya'zhi'kui 无涯之盔
'wu'yan'mei 无烟煤
'wu'yin'fu 五音符
'wu'ying'jiao 无影脚
'wu'you 无忧
'wu'you'han'tan 无忧寒潭
'wu'you'he 无忧河
'wu'you'he'xi'an 无忧河西岸
'wu'you'she 乌游蛇
'wu'you'wang'she 乌游王蛇
'wu'you'xiao'dao 无忧小道
'wu'yuan 吴源
'wu'yue 巫月
'wu'zheng 巫筝
'wu'zong'xia'kai 无宗下铠
'xi'jiao 犀角
'xi'jiao'jie 犀角戒
'xi'jiao'xiang'lian 犀角项链
'xi'lu 西陆
'xi'xie'bian'fu 吸血蝙蝠
'xi'xue 吸血
'xi'you'lan'gu 西幽兰谷
'xi'yu 西域
'xi'yu'dao'lang 西域刀狼
'xia'bing 虾兵
'xia'kai 下铠
'xia'ke'dao 侠客刀
'xia'ke'ku'zi 侠客裤子
'xia'ke'xie 侠客鞋
'xia'ke'zhuang 侠客装
'xia'mi 虾米
'xia'yin'cun 侠隐村
'xia'yu 下雨
'xian'bao 仙豹
'xian'ding'dang 仙叮铛
'xian'feng 先锋
'xian'guo'shu'yao 仙果树妖
'xian'he'cao 仙鹤草
'xian'hu 仙狐
'xian'huan 仙幻
'xian'huan'tian 仙幻天
'xian'ji 仙笈
'xian'jia'zhi'ling 仙甲之灵
'xian'jie 仙界
'xian'ling 仙灵
'xian'ling'cai'pei 仙灵彩佩
'xian'ling'fa'pao 仙灵法袍
'xian'ling'fu 仙灵符
'xian'ling'hu'tui 仙灵护腿
'xian'ling'jue'mo'pei 仙灵绝魔佩
'xian'ling'kui 仙灵盔
'xian'ling'mi'fa'jie 仙灵秘法戒
'xian'ling'qing'kai 仙灵轻铠
'xian'ling'shen'li'jie 仙灵神力戒
'xian'ling'tu 仙灵兔
'xian'ling'xiang'lian 仙灵项链
'xian'mo'hu'ti'lu 仙魔护体露
'xian'ren'ci'qiu 仙人刺球
'xian'ren'ling 先人灵
'xian'shi 仙使
'xian'shi 仙石
'xian'shi'ming'cheng 显示名称
'xian'shi'shou'ji'shang 仙石收集商
'xian'shou'fu 仙守符
'xian'you'hu'shen'fu 仙佑护身符
'xian'you'mo'li'fu 仙佑魔力符
'xian'zhe'mu'bei 贤者墓碑
'xian'zi 仙子
'xian'zi'fa'pao 仙子法袍
'xian'zi'mi'fa'zhi'jie 仙子秘法之戒
'xian'zi'zhi'li 仙子之力
'xian'zui'qi'zu 纤嘴奇足
'xian'zui'qi'zu'wang 纤嘴奇足王
'xiang'bi'dao 象鼻刀
'xiang'long 降龙
'xiang'mo'chu 降魔杵
'xiang'si'ru'gu 相思入骨
'xiang'wang'jiang'hu 相忘江湖
'xiang'ya'jie 象牙戒
'xiang'ya'jie'kou 象牙节扣
'xiang'ya'shou'zhang'mu'ban 象牙手掌模板
'xiang'ya'xiao'duan 象牙小段
'xiang'ya'zhang'bing 象牙杖柄
'xiao'du'du'xiong 小嘟嘟熊
'xiao'gui 小鬼
'xiao'hu'feng 小胡蜂
'xiao'hun 销魂
'xiao'hun'gu 销魂蛊
'xiao'mi'feng 小蜜蜂
'xiao'ping 小瓶
'xiao'ping'chen'xiang'wan 小瓶沉香丸
'xiao'ping'gui'yuan'san 小瓶归元散
'xiao'ping'hai'ling'shui 小瓶还灵水
'xiao'ping'huo'xue'san 小瓶活血散
'xiao'ping'jin'chuang'yao 小瓶金创药
'xiao'ping'jiu'long'san 小瓶九龙散
'xiao'ping'jiu'yang'dan 小瓶九阳丹
'xiao'ping'long'xian'xiang 小瓶龙涎香
'xiao'ping'shen'qi'wan 小瓶神气丸
'xiao'qian 小倩
'xiao'qian'de'xiang'lian 小倩的项链
'xiao'qing'wa 小青蛙
'xiao'xiao'xue'er 小小雪儿
'xiao'yao 逍遥
'xiao'yao'shi 逍遥使
'xiao'ye'feng 小叶蜂
'xiao'yue'lang'wang 啸月狼王
'xie'e'shu'gen 邪恶树根
'xie'e'shu'pi 邪恶树皮
'xie'guang 邪光
'xie'gui'jie'zhi 邪鬼戒指
'xie'jiang 蟹将
'xie'jing 邪精
'xie'ling'hua'shen 邪灵花神
'xie'ling'hua'shen'xiong'jia 邪灵花神胸甲
'xie'ling'hua'shen'zhi'huan 邪灵花神指环
'xie'mo'fa'ku 邪魔法裤
'xie'mu 斜目
'xie'mu'yao'zhu 斜目妖蛛
'xie'shi 血石
'xie'shi'zhui'zi 血石坠子
'xie'wang 蝎王
'xie'wei 蝎尾
'xie'wei'ci'wei 蝎尾刺猬
'xie'yi'ling'hu 挟翼灵狐
'xie'ying 邪影
'xie'yu 邪羽
'xie'yu'zhi'gong 邪羽之弓
'xie'yu'zhi'ling 邪羽之灵
'xie'zhi 獬豸
'xie'zhi'wan 獬豸丸
'xie'zhu 协助
'xie'zhu 邪主
'xin'feng'zhen 信风镇
'xin'feng'zhen 新风镇
'xin'mo 心魔
'xin'mo'li'liang'zhi'jie 心魔力量之戒
'xin'ren 新人
'xin'shi 信使
'xin'shi'hu'fu 信使护符
'xin'shou'chu'sheng'di 新手出生地
'xin'shou'cun 新手村
'xin'shou'xiang'yi'nan'zhuang'ku'zi 心手相依男装裤子
'xin'shou'xiang'yi'nan'zhuang'shang'yi 心手相依男装上衣
'xin'shou'xiang'yi'nan'zhuang'xie'zi 心手相依男装鞋子
'xin'shou'xiang'yi'nv'zhuang'qun'zi 心手相依女装裙子
'xin'shou'xiang'yi'nv'zhuang'shang'yi 心手相依女装上衣
'xin'shou'xiang'yi'nv'zhuang'xie'zi 心手相依女装鞋子
'xin'shou'zhi'jian 新手之箭
'xin'yu'zhe 心语者
'xin'yu'zhe'yin'ji 心语者印记
'xin'yue'chang'fu 新月长斧
'xin'yue'gong 新月弓
'xing'feng 刑风
'xing'guang'hu'shen'lu 星光护身露
'xing'jiao 行脚
'xing'jiao'huo'man'wu 行脚火蛮巫
'xing'li 腥鲤
'xing'shi 行尸
'xing'shi'xia'kai 行尸下铠
'xing'yi'shuang'dao 形意双刀
'xing'yue'ci 星月刺
'xing'yue'ying 星月映
'xing'yun'dou'peng 幸运斗篷
'xiong'huang 雄黄
'xiong'jia 胸甲
'xiong'lang 凶狼
'xiong'mao 凶猫
'xiu'hua'xie 绣花鞋
'xiu'jia 袖甲
'xiu'li'ren 袖里刃
'xiu'luo'xia'kai 修罗下铠
'xiu'mu'guai 朽木怪
'xiu'xing 修行
'xiu'xing'dou'peng 修行斗篷
'xiu'xing'hu'wan 修行护腕
'xiu'xing'ku 修行裤
'xiu'xing'lv 修行履
'xiu'xing'pao 修行袍
'xiu'zhen 修真
'xiu'zhen'ji'bie 修真级别
'xiu'zhu'zhang 修竹杖
'xu'jin'lin 徐进林
'xu'qiu'deng'ji 需求等级
'xu'tuo 须陀
'xu'zhi'tu'jing 虚之土精
'xuan'bing'shui'long 玄冰水龙
'xuan'de'shuang'jian 玄德双剑
'xuan'feng'fu 旋风斧
'xuan'gang'quan'tao 玄钢拳套
'xuan'gang'shuang'dao 玄钢双刀
'xuan'guang 眩光
'xuan'guang'zhi'shi 眩光之石
'xuan'gui'wang 旋龟王
'xuan'hua'chang'fu 宣花长斧
'xuan'huang 玄黄
'xuan'huang'hu'wan 玄黄护腕
'xuan'huang'ku 玄黄裤
'xuan'huang'lv 玄黄履
'xuan'huang'pao 玄黄袍
'xuan'ji 璇玑
'xuan'jia'fu 玄甲符
'xuan'jia'fu'gao'ji 玄甲符高级
'xuan'jia'yu'pian 玄甲玉片
'xuan'jing'zhou 玄净咒
'xuan'ling 玄灵
'xuan'ling'mu 玄灵木
'xuan'mei 选美
'xuan'mei'guan'li'yuan 选美管理员
'xuan'ming 玄冥
'xuan'ming'chang'chui 玄冥长锤
'xuan'tian 玄天
'xuan'tian'jie 玄天戒
'xuan'tian'mo'yan 玄天魔眼
'xuan'tie 玄铁
'xuan'tie'ding 玄铁锭
'xuan'tie'nu'ji 玄铁弩机
'xuan'tie'zhong'chui 玄铁重锤
'xuan'wu 玄武
'xuan'wu'fu'ti 玄武附体
'xuan'wu'shan 玄武山
'xuan'xian'jian 玄仙剑
'xuan'yi 玄翼
'xuan'yin'dao 玄阴刀
'xuan'ying 玄影
'xuan'ying'fa'jian 玄影法剑
'xuan'ying'tui'mo'jian 玄影退魔剑
'xuan'yuan 轩辕
'xuan'yuan'zhan'jia 轩辕战甲
'xuan'yuan'zhi'shi 轩辕之石
'xuan'zhen'jian 玄真剑
'xuan'zhui 玄锥
'xuan'zhui'de'hu'fu 玄锥的护符
'xuan'zhui'zhi'lv 玄锥之履
'xue'bao 血爆
'xue'beng 雪崩
'xue'beng'cun 雪崩村
'xue'beng'xia'gu 雪崩峡谷
'xue'fei'cun 雪霏村
'xue'gu'zhe 削骨者
'xue'gu'zhe'yin'ji 削骨者印记
'xue'he'fu 血河斧
'xue'hua'zhi'shi 雪花之石
'xue'ji'yan'bao 血祭炎爆
'xue'lang 雪浪
'xue'lang'wu 血狼巫
'xue'lang'yao 血狼妖
'xue'lang'zhui'zi 雪浪坠子
'xue'nv'shi'zhe 雪女侍者
'xue'se 血色
'xue'se'hu'tui 血色护腿
'xue'se'mi'fa'jie 血色秘法戒
'xue'se'xia'kai 血色下铠
'xue'sha 血煞
'xue'sha'fu 血煞斧
'xue'sha'jie 血煞戒
'xue'sha'xiang'lian 血煞项链
'xue'sha'yao'pei 血煞腰佩
'xue'shan'chi'lian'she 雪山赤练蛇
'xue'shan'lang 穴山狼
'xue'tu 学徒
'xue'tu'huo'man'wu 学徒火蛮巫
'xue'ya 血牙
'xue'ya'chang'chui 血牙长锤
'xue'ya'hu'wan 血牙护腕
'xue'yan 血眼
'xue'ye'lang 雪野狼
'xue'ying 血影
'xue'ying'xiang'lian 血影项链
'xue'yu 血雨
'xue'yu'zhi'shi 雪玉之石
'xue'yue'shuang'dao 雪月双刀
'xun'fu 驯服
'xun'fu'chong'wu 驯服宠物
'xun'fu'zhe 驯服者
'xun'fu'zhe'yin'ji 驯服者印记
'xun'hai 巡海
'xun'hai'bang'jing 巡海蚌精
'xun'hai'ye'cha 巡海夜叉
'xun'ji'feng 迅疾风
'xun'jian 巡检
'xun'lei 迅雷
'xun'long 寻龙
'xun'long'shi'zhe 寻龙使者
'xun'meng'gang 寻梦港
'xun'shan 巡山
'xun'ye 巡野
'xun'ye'mao'wang 巡野猫王
'xun'ye'shan'mao 巡野山猫
'xun'ye'xiong'mao 巡野凶猫
'ya'jiang 牙将
'yan'gu 炎蛊
'yan'guai 岩怪
'yan'hun 魇魂
'yan'jia'yao 炎甲妖
'yan'jing 炎精
'yan'ling'qiang 雁翎枪
'yan'mei 烟煤
'yan'mei 焰媚
'yan'mo'kui 阎魔盔
'yan'nv 艳女
'yan'ri'duan'shui 掩日断水
'yan'shi 燕石
'yan'shi 盐石
'yan'shi'zhui'zi 燕石坠子
'yan'wei'tang 雁尾镗
'yan'yao 岩妖
'yan'yue'dao 偃月刀
'yang'jie'zi 羊羯子
'yang'xin'cao 养心草
'yao'chan'ji 妖缠击
'yao'dao 妖刀
'yao'guang 耀光
'yao'guang'jian 摇光剑
'yao'hu 妖狐
'yao'hu 妖虎
'yao'hu'bian 妖狐变
'yao'hu'fu'ti 妖狐附体
'yao'hu'hu'shen'fu 妖护护身符
'yao'hu'ji 妖狐击
'yao'hu'mo'li'fu 妖护魔力符
'yao'hui 耀辉
'yao'hui'xiang'lian 耀辉项链
'yao'hun'ji 妖魂击
'yao'jing 妖精
'yao'lang 妖狼
'yao'ling 妖灵
'yao'ling'ji 妖灵击
'yao'mei'zhi'fu 妖魅之符
'yao'niu 妖牛
'yao'niu'jiao'fu 妖牛脚夫
'yao'niu'nu'pu 妖牛奴仆
'yao'niu'qiao'fu 妖牛樵夫
'yao'niu'shi'fu'zhang 妖牛十夫长
'yao'niu'yu'fu 妖牛渔夫
'yao'ren 妖人
'yao'sha 妖煞
'yao'sha'ji 妖煞击
'yao'shi 妖狮
'yao'shi 腰饰
'yao'shi 药师
'yao'shi'xian'feng 妖狮先锋
'yao'shi'zhan'shi 妖狮战士
'yao'shi'zhi'huan 妖狮指环
'yao'shou 妖兽
'yao'shu 妖鼠
'yao'shu'she'shou 妖鼠射手
'yao'wu'ji 妖雾击
'yao'yue 邀月
'yao'yue'zhui'zi 邀月坠子
'yao'zhu'wang 妖蛛王
'yao'zu 妖族
'ye'dun 叶盾
'ye'dun'jing'ling 叶盾精灵
'ye'dun'yao'ling 叶盾妖灵
'ye'guang 夜光
'ye'guang'xiang'lian 夜光项链
'ye'ku 夜哭
'ye'ku'yao'pei 夜哭腰佩
'ye'lang 野狼
'ye'lang'cun 夜郎村
'ye'ma'zhi'zong 野马之鬃
'ye'ren 野人
'ye'ren'cun 野人村
'ye'wei'jing 野猬精
'ye'xing 野性
'ye'xing'chai 夜行豺
'ye'xing'hui'fu 野性回复
'ye'ying'yao'dao 叶影妖刀
'yi'cai'dao 溢彩刀
'yi'dun 翼盾
'yi'gu 遗骨
'yi'gui'zhang 役鬼杖
'yi'ji 翼击
'yi'ji'yi'gu 艺伎遗骨
'yi'jin'jing 易筋经
'yi'ju'shan 蚁聚山
'yi'long 翼龙
'yi'long 逸龙
'yi'qing'ling 翼清铃
'yi'qing'ling'de'ling'hun 翼清铃的灵魂
'yi'rong'shi 易容师
'yi'shi'de'bao'guo 遗失的包裹
'yi'sui'jing 易髓经
'yi'tian'jian 倚天剑
'yi'tian'zhen'hun'jian 倚天镇魂剑
'yi'wang 蚁王
'yi'xing'ci'qiu 异形刺球
'yi'yuan 移元
'yi'yuan'shi 一元石
'yi'yuan'shu 移元术
'yi'zhan 翼展
'yi'zhu'cun 倚竹村
'yin'bo'yao'dao 银波妖刀
'yin'er'bu'fa 引而不发
'yin'gou'ren 银钩刃
'yin'huan'she 银环蛇
'yin'ji 印记
'yin'jia 银甲
'yin'li'dao 银鲤刀
'yin'mo 阴魔
'yin'mo'fa'lian 阴魔法链
'yin'mo'zhong'kui 阴魔重盔
'yin'ping 银瓶
'yin'she'gong 银蛇弓
'yin'shi 隐士
'yin'xiang'quan 银项圈
'yin'xue'shuang'dao 饮血双刀
'yin'yang'duo'po'lun 阴阳夺魄轮
'yin'yang'fu 阴阳符
