'a'da'pa'lin 阿达帕林
'lao'nian'xing'tan'xing'xian'wei'bing 老年性弹性纤维病
'lao'nian'xing'zi'dian 老年性紫癜
'lei'ai'zong'he'zheng 类癌综合征
'lei'bai'hou'bang'zhuang'gan'jun 类白喉棒状杆菌
'lei'bai'hou'gan'jun 类白喉杆菌
'lei'bi'ju 类鼻疽
'lei'bi'ju'jia'dan'bao'jun 类鼻疽假单胞菌
'lei'chu'chong'ju 类除虫菊
'lei'dan'du 类丹毒
'lei'feng'shi'jie'jie 类风湿结节
'lei'feng'shi'xing'shi'zhong'xing'pi'yan 类风湿性嗜中性皮炎
'lei'feng'shi'xing'xue'guan'yan 类风湿性血管炎
'lei'guan'er'ya'zhi'zhi'zong'he'zheng 泪管耳牙指趾综合症
'lei'ni'ti'ding 雷尼替丁
'lei'nuo'bing 雷诺病
'lei're'dai'kui'yang 类热带溃疡
'lei'tian'hua 类天花
'lei'tian'pao'chuang'yang'bian'ping'tai'xian 类天疱疮样扁平苔藓
'lei'yuan'xian'chong'bing 类园线虫病
'lei'zhi'dan'bai'chen'zhuo'zheng 类脂蛋白沉着症
'lei'zhi'zhi'jian'jin'xing'huai'si 类脂质渐进性坏死
'lei'zhuo'se'xing'gan'pi'bing 类着色性干皮病
'leng'chao'min'xing'pi'fu'bing 冷超敏性皮肤病
'leng'hong'ban 冷红斑
'leng'ning'ji'su'zong'he'zheng 冷凝集素综合症
'leng'nong'yang 冷脓疡
'leng'qiu'dan'bai'xue'zheng 冷球蛋白血症
'leng'qiu'dan'bai'xue'zheng'zi'dian 冷球蛋白血症紫癜
'leng'xian'wei'dan'bai'yuan'xue'zheng 冷纤维蛋白原血症
'leng'xun'ma'zhen 冷荨麻疹
'li'ba'wei'lin 利巴韦林
'li'fu'pen'ding 利福喷丁
'li'fu'ping 利福平
'li'ji'xing'jie'chu'xing'fan'ying 立即型接触性反应
'li'ke'ci'ti 立克次体
'li'ke'ci'ti'dou 立克次体痘
'li'ke'zhuang'yin'xie'bing 蛎壳状银屑病
'li'mian'ning 利眠宁
'li'ping'zhi 力平脂
'li'she'ping 利舌平
'li'shi'man'yuan'chong 利士曼原虫
'li'si'er'jun'shu 李司貳菌属
'li'si'te'jun'bing 李斯特菌病
'li'wei'mei'su 利维霉素
'li'xi'bao'xing'cheng'ji'xi'bao'liu 粒细胞性成肌细胞瘤
'li'xin'xing'hou'tian'xing'bai'ban 离心性后天性白斑
'lian'bao'mei'bing 镰孢霉病
'lian'ben'bian'zuo 联苯苄唑
'lian'ben'xia'zuo 联苯下唑
'lian'chuang 臁疮
'lian'ji'mei 链激酶
'lian'mei'su 链霉素
'lian'qiu'jun 链球菌
'lian'qiu'jun'xing'hong'ban 链球菌性红斑
'lian'qiu'jun'xing'kang'zhen 链球菌性糠疹
'lian'quan'zhuang'bi'kang'zhen'yuan'shan 连圈状秕糠疹远山
'lian'xu'xing'zhi'duan'pi'yan 连续性肢端皮炎
'lian'zheng 联症
'lian'zuo'xing 链佐星
'liang'xing'fei'zhi'yang'hei'su'shang'pi'liu 良性非痣样黑素上皮瘤
'liang'xing'gai'hua'shang'pi'liu 良性钙化上皮瘤
'liang'xing'gao'qiu'dan'bai'xue'zheng 良性高球蛋白血症
'liang'xing'lin'ba'rou'ya'zhong'bing 良性淋巴肉芽肿病
'liang'xing'lin'ba'wang'zhuang'xi'bao'zeng'duo'zheng 良性淋巴网状细胞增多症
'liang'xing'nian'mo'lei'tian'pao'chuang 良性粘膜类天疱疮
'liang'xing'you'nian'hei'su'zhi 良性幼年黑素痣
'liang'yan'ju'zeng'kuan'niao'dao'xia'lie 两眼距增宽尿道下裂
'liang'yi'pai'dan'qing'jiao'nang 良谊牌丹青胶囊
'liang'yi'pai'jie'fu'jing'gao 良谊牌洁肤净膏
'liang'yi'pai'jin'lan'jian'fu'gao 良谊牌金兰健肤膏
'lie'chun'zhi 裂唇痣
'lie'pian'xing'chu'xie 裂片形出血
'lie'tou'you'bing 裂头蚴病
'lie'wen'she 裂纹舌
'lie'wen'xing'ji'pi'liu 裂纹性棘皮瘤
'lie'wen'xing'shi'zhen 裂纹性湿疹
'lie'xi 裂隙
'lin'ba'liu'yang'rou'ya'zhong'bing 淋巴瘤样肉芽肿病
'lin'ba'shui'zhong 淋巴水肿
'lin'ba'shui'zhong'xing'jiao'pi'zheng 淋巴水肿性角皮症
'lin'ba'yu'zhi'xing'you'bing 淋巴郁滞性疣病
'lin'bing 淋病
'lin'bing'nai'se'shi'jun 淋病奈瑟氏菌
'lin'ke'mei'su 林可霉素
'lin'mei'su 磷霉素
'lin'si'qian'zhi'fang'ying'gu 临死前脂肪硬固
'lin'suan'ke'dai'yin 磷酸可待因
'lin'wa'fen'mei'jun 林蛙粪霉菌
'lin'xie 鳞屑
'lin'zhi 磷脂
'lin'zhi'xian'yi'chun'an'zhi'zhi'ti 磷脂酰乙醇胺脂质体
'lin'zhuang'mao'nang'jiao'hua'bing 鳞状毛囊角化病
'lin'zhuang'mao'nang'jiao'hua'bing'tu'fei 鳞状毛囊角化病土肥
'lin'zhuang'xi'bao'ai 鳞状细胞癌
'ling'jun'su 灵菌素
'liu'dai'liu'suan'na 硫代硫酸钠
'liu'dai'ping'guo'suan'jin'na 硫代苹果酸金钠
'liu'gan'gan'jun'de'pi'fu'gan'ran 流感杆菌的皮肤感染
'liu'hua'xi 硫化硒
'liu'huang 硫磺
'liu'huang 硫黄
'liu'li'da'qin 硫利达嗪
'liu'lv'ben 六氯苯
'liu'mei'su 硫霉素
'liu'niao 硫脲
'liu'suan'xin 硫酸锌
'liu'suan'xin'mei'su 硫酸新霉素
'liu'xing'xing'ban'zhen'shang'han 流行性斑疹伤寒
'liu'xing'xing'guan'jie'hong'ban'zheng 流行性关节红斑症
'liu'yang'lang'chuang 瘤样狼疮
'long'dan'zi 龙胆紫
'long'tu'bu 隆突部
'long'tu'xing'pi'fu'xian'wei'rou'liu 隆突性皮肤纤维肉瘤
'long'xia'ji'jian 龙虾肌碱
'long'xian'chong'bing 龙线虫病
'lou'dou'liu 漏斗瘤
'lou'guan'xing'pi'xia'jie'he 瘘管性皮下结核
'lu'fu'sha'xing 芦氟沙星
'lu'gan'shi 炉甘石
'lu'mei'ta'song 卤美他松
'lu'pu'luo'jin 卤普罗近
'lu'shan'mei'su 庐山霉素
'lu'wan'fu'gu'fa'yu'bu'liang 颅腕跗骨发育不良
'luan'chao'xing'zhu'ru 卵巢性侏儒
'luan'chao'yuan'guan'zhuang'suo'zhong'liu 卵巢圆管状索肿瘤
'luan'chao'zhong'liu 卵巢肿瘤
'luan'suo'zheng 挛缩征
'luan'yuan'xing'kang'bi'bao'zi'jun 卵圆形糠秕孢子菌
'lun'zhuang'hong'ban 轮状红斑
'luo'a'si'chong'bing 罗阿丝虫病
'luo'de'xi'ya'zhui'chong 罗德西亚锥虫
'luo'hong'mei'su 罗红霉素
'luo'ji'shan'ban'dian're 落基山斑点热
'luo'li'fen'zhi'gan'jun 瘰疬分枝杆菌
'luo'li'fen'zhi'gan'jun'de'pi'fu'gan'ran 瘰疬分枝杆菌的皮肤感染
'luo'li'huan'su 罗利环素
'luo'li'xing'pi'fu'jie'he 瘰疬性皮肤结核
'luo'li'xing'shu'jiao'zhong 瘰疬性树胶肿
'luo'li'xing'tai'xian 瘰疬性苔藓
'luo'mei'sha'xing 洛美沙星
'luo'nei'zhi 螺内酯
'luo'sha'ti'ding 罗沙替丁
'luo'ta'mei'su 罗他霉素
'luo'xie'xing'hong'pi'bing 落屑性红皮病
'lv'bing'qin 氯丙嗪
'lv'cuo'chuang 氯痤疮
'lv'dan'zhuo 氯氮桌
'lv'dian'kui'lin 氯碘喹啉
'lv'fa'qi'ming 氯法齐明
'lv'fu'shu'song 氯氟舒松
'lv'hou'bing 绿猴病
'lv'jia 绿甲
'lv'jia'zong'he'zheng 绿甲综合症
'lv'mi'pa'ming 氯米帕明
'lv'mo'huan'su 氯莫环素
'lv'nong'gan'jun 绿脓杆菌
'lv'nong'gan'jun'gan'ran 绿脓杆菌感染
'lv'nong'gan'jun'gui'tou'yan 绿脓杆菌龟头炎
'lv'nong'gan'jun'mao'nang'yan 绿脓杆菌毛囊炎
'lv'nong'gan'jun'xing'wai'er'dao'yan 绿脓杆菌性外耳道炎
'lv'nong'gan'jun'zhi'pu'gan'ran 绿脓杆菌趾蹼感染
'lv'pu'sai'dun 氯普噻吨
'lv'yi'ding 氯已定
'lv'zuo'xi'lin 氯唑西林
'ma'bi'ju'gan'jun 马鼻疽杆菌
'ma'bi'ju'jia'dan'bao'jun 马鼻疽假单胞菌
'ma'bi'ju'ya 马鼻疽芽
'ma'feng 麻风
'ma'feng'fen'zhi'gan'jun 麻风分枝杆菌
'ma'feng'kong'bu 麻风恐怖
'ma'nei'qing'mei'bing 马内青霉病
'ma'you 麻油
'ma'zhen 麻疹
'mai'di'mei'su 麦迪霉素
'mai'di'na'xian'chong'bing 麦地那线虫病
'mai'fen 麦粉
'mai'jiao'gu'chun 麦角固醇
'man'chong'pi'yan'gu'yang'zheng 螨虫皮炎谷痒症
'man'kong'bu 螨恐怖
'man'shi'die'gong'tao'chong 曼氏迭宫绦虫
'man'xing'chuan'zao'xing'dou'dao'xing'kui'yang 慢性穿凿性窦道性溃疡
'man'xing'dan'chun'xing'tai'xian 慢性单纯性苔藓
'man'xing'fei'hou'xing'yin'xie'bing 慢性肥厚性银屑病
'man'xing'guang'hua'xing'pi'yan 慢性光化性皮炎
'man'xing'guang'xian'xing'chun 慢性光线性唇
'man'xing'jia'zu'xing'rou'ya'zhong'bing 慢性家族性肉芽肿病
'man'xing'jie'jie'xing'hong'ban 慢性结节性红斑
'man'xing'ju'xian'xing'bian'ping'tai'xian 慢性局限性扁平苔藓
'man'xing'lian'qiu'jun'xing'kui'yang 慢性链球菌性溃疡
'man'xing'nian'mo'pi'fu'nian'zhu'jun'bing 慢性粘膜皮肤念珠菌病
'man'xing'nong'zhong'xing'chuan'jue'xing'nong'pi'bing 慢性脓肿性穿掘性脓皮病
'man'xing'nv'yin'ying'yang'bu'liang 慢性女阴营养不良
'man'xing'rou'ya'zhong'bing 慢性肉芽肿病
'man'xing'ru'tou'zhuang'kui'yang'xing'nong'pi'bing 慢性乳头状溃疡性脓皮病
'man'xing'suan'zhong'du 慢性酸中毒
'man'xing'tai'xian'yang'jiao'hua'bing 慢性苔藓样角化病
'man'xing'you'zou'xing'hong'ban 慢性游走性红斑
'mao'ban 锚斑
'mao'fa'bi'zhi'zhi'zong'he'zheng 毛发鼻指趾综合症
'mao'fa'bian'ping'tai'xian 毛发扁平苔藓
'mao'fa'guan'xing 毛发管型
'mao'fa'hong'kang'zhen 毛发红糠疹
'mao'fa'hong'se'jiao'hua'bing 毛发红色角化病
'mao'fa'jiao'hua'bing 毛发角化病
'mao'fa'kang'zhen 毛发糠疹
'mao'fa'liu'ying'yang'bu'liang 毛发硫营养不良
'mao'fa'nang'zhong 毛发囊肿
'mao'fa'pi'zhi'xian 毛发皮脂腺
'mao'fa'rou'ya'zhong 毛发肉芽肿
'mao'fa'shang'pi'liu 毛发上皮瘤
'mao'fa'tai'xian 毛发苔藓
'mao'fa'xian'liu 毛发腺瘤
'mao'fa'ya'gu'zong'he'zheng 毛发牙骨综合症
'mao'fa'zong'lie'zheng 毛发纵裂症
'mao'gen'qiao'nang'zhong 毛根鞘囊肿
'mao'han'xian'pi'zhi'xian'zhi 毛汗腺皮脂腺痣
'mao'jie'jie'jun'bing 毛结节菌病
'mao'mei'bing 毛霉病
'mao'mu'xi'bao'xing'xian'wei'liu 毛母细胞性纤维瘤
'mao'mu'zhi'ai 毛母质癌
'mao'mu'zhi'liu 毛母质瘤
'mao'nang'chong'bing 毛囊虫病
'mao'nang'he'mao'nang'pang'jiao'hua'guo'du'bing 毛囊和毛囊旁角化过度病
'mao'nang'jiao'hua'bing 毛囊角化病
'mao'nang'liang'xing'tou'ming'xi'bao'liu 毛囊良性透明细胞瘤
'mao'nang'liu 毛囊瘤
'mao'nang'lou'dou'bu'zhong'liu 毛囊漏斗部肿瘤
'mao'nang'lou'dou'mao'mu'zhi'liu 毛囊漏斗毛母质瘤
'mao'nang'lou'dou'mao'mu'zhi'nang'zhong 毛囊漏斗毛母质囊肿
'mao'nang'nian'dan'bai'bing 毛囊粘蛋白病
'mao'nang'shang'pi'liu 毛囊上皮瘤
'mao'nang'xing'bi'suo'xing'san'lian'zheng 毛囊性闭锁性三联征
'mao'nang'xing'bian'ping'tai'xian 毛囊性扁平苔藓
'mao'nang'xing'nong'pao'chuang 毛囊性脓疱疮
'mao'nang'xing'pi'fu'wei'suo 毛囊性皮肤萎缩
'mao'nang'xing'ruan'xia'gan 毛囊性软下疳
'mao'nang'xing'tan'xing'xian'wei'fa'yu'bu'liang 毛囊性弹性纤维发育不良
'mao'nang'zhen 毛囊疹
'mao'nang'zhi 毛囊痣
'mao'nang'zhou'wei'jia'xing'jiao'yang'zhi 毛囊周围假性胶样痣
'mao'nang'zu'se'san'lian'zheng 毛囊阻塞三联征
'mao'pi'zhi'xian'mao'nang 毛皮脂腺毛囊
'mao'qiao'ai 毛鞘癌
'mao'qiao'ji'pi'liu 毛鞘棘皮瘤
'mao'ru'tou 毛乳头
'mao'si 锚丝
'mao'tou'ming'dan'bai 毛透明蛋白
'mao'xi'xue'guan'kuo'zhang'zheng 毛细血管扩张症
'mao'xi'xue'guan'liu'ban'xue'xiao'ban'jian'shao'xing'zi'dian 毛细血管瘤伴血小板减少性紫癜
'mao'xi'xue'guan'liu'xue'xiao'ban'jian'shao'zong'he'zheng 毛细血管瘤血小板减少综合症
'mao'xi'xue'guan'shen'tou'zong'he'zheng 毛细血管渗透综合症
'mao'yan'zong'he'zheng 猫眼综合症
'mao'yuan'xian'wei 锚原纤维
'mao'yuan'xing'mao'mu'xi'bao'liu 毛源性毛母细胞瘤
'mao'yuan'xing'nian'ye'liu 毛源性粘液瘤
'mao'yuan'xing'xian'wei'liu 毛源性纤维瘤
'mao'yuan'xing'zhong'liu 毛源性肿瘤
'mao'zeng'duo'zheng 毛增多症
'mao'zhou'jiao'zhi'guan'xing 毛周角质管型
'mao'zhou'xian'wei'liu 毛周纤维瘤
'mao'zhua'bing 猫抓病
'mao'zhua'bing'kang'yuan'pi'shi 猫抓病抗原皮试
'mei'bu'ban'hen'xing'hong'ban 眉部瘢痕性红斑
'mei'du 梅毒
'mei'du'kong'bu 梅毒恐怖
'mei'du'luo'xuan'ti'xue'ning'shi'yan 梅毒螺旋体血凝试验
'mei'fen'suan 霉酚酸
'mei'fen'zao'rong'ye 煤酚皂溶液
'mei'gui'hong'shi'yan 玫瑰红试验
'mei'gui'kang'zhen 玫瑰糠疹
'mei'jiao'you 媒焦油
'mei'ke'er'xi'bao 梅克尔细胞
'mei'ke'xi'tong 美克西酮
'mei'kui'ta'qin 美喹他嗪
'mei'lian'mian'yi'xi'fu'fa 酶联免疫吸附法
'mei'luo'xi'lin 美洛西林
'mei'ta'huan'su 美他环素
'mei'ti'sha'zong 美替沙腙
'mei'xiong'tong 美雄酮
'meng'chong'ding'yao 蠓虫叮咬
'meng'ding'yao 虻叮咬
'meng'gu'ban 蒙古斑
'mi'ding'he'gan'suan 嘧啶核苷酸
'mi'ding'lei'si'wu 嘧啶类似物
'mi'kang'zuo 咪康唑
'mi'kang'zuo 米康唑
'mi'ku'li'a'fu'ta 密库力阿弗它
'mi'lan 糜烂
'mi'lan'xing'bao'pi'gui'tou'yan 糜烂性包皮龟头炎
'mi'man'xing'huang'ban'liu 弥漫性黄斑瘤
'mi'man'xing'jiao'yuan'bing 弥漫性胶原病
'mi'man'xing'jin'mo'yan 弥漫型筋膜炎
'mi'man'xing'ti'bu'xue'guan'jiao'pi'liu 弥漫性体部血管角皮瘤
'mi'man'xing'ying'pi'bing 弥漫性硬皮病
'mi'man'xing'zhang'zhi'jiao'pi'zheng 弥漫性掌跖角皮症
'mi'man'xing'zhen'xing'jing'mai'kuo'zhang'zheng 弥漫性真性静脉扩张症
'mi'nuo'di'er 米诺地尔
'mi'nuo'huan'su 米诺环素
'mian'bi'bu'xian'wei'xing'qiu'zhen 面鼻部纤维性丘疹
'mian'bu'dui'chen'xing'wang'zhuang'pi'fu'wei'suo 面部对称性网状皮肤萎缩
'mian'bu'gan'xing'kang'zhen 面部干性糠疹
'mian'bu'mao'xi'xue'guan'kuo'zhang 面部毛细血管扩张
'mian'bu'nong'pi'bing 面部脓皮病
'mian'bu'pian'ce'wei'suo 面部偏侧萎缩
'mian'bu'rou'ya'zhong 面部肉芽肿
'mian'bu'shi'suan'xing'rou'ya'zhong 面部嗜酸性肉芽肿
'mian'bu'wai'pei'ceng'fa'yu'bu'liang 面部外胚层发育不良
'mian'bu'wei'suo'xing'mao'fa'jiao'hua'bing 面部萎缩性毛发角化病
'mian'bu'wei'suo'xing'mao'fa'jiao'hua'zheng 面部萎缩性毛发角化症
'mian'bu'xian'tian'xing'wai'pei'ceng'fa'yu'bu'liang 面部先天性外胚层发育不良
'mian'er'tong 眠尔通
'mian'fa'yu'bu'liang'duan'shen'cai'yin'jing'yin'nang'ji'xing 面发育不良短身材阴茎阴囊畸型
'mian'hong'he'mian'hong'kong'ju'zheng 面红和面红恐惧症
'mian'jing'mao'nang'xing'hong'ban'hei'bian'bing 面颈毛囊性红斑黑变病
'mian'sha'xi'bao 面纱细胞
'mian'yi 免疫
'mian'yi'dian'mei'fen'xi 免疫点酶分析
'mian'yi'du'xing 免疫毒性
'mian'yi'he'tang'he'suan 免疫核糖核酸
'mian'yi'liao'fa 免疫疗法
'mian'yi'nai'shou'xing 免疫耐受性
'mian'yi'qian'neng'xi'bao 免疫潜能细胞
'mian'yi'tiao'jie 免疫调节
'mian'yi'tiao'jie'liao'fa 免疫调节疗法
'mian'yi'xiang'guan'kang'yuan 免疫相关抗原
'mian'yi'yi'zhi'liao'fa 免疫抑制疗法
'mian'yi'yin'ji'fen'xi 免疫印迹分析
'mian'yi'ying'da 免疫应答
'mian'yi'zuo'ji 免疫佐剂
'mian'zheng'zhong'hei'zi'bing 面正中黑子病
'mian'zhi'zhi'sheng'zhi'qi'zong'he'zheng 面指趾生殖器综合症
'mian'zi'you 棉子油
'min'rui'xing 敏锐型
'ming'fan 明矾
'mo'ca'hei'bian'bing 摩擦黑变病
'mo'ca'hong'ban 摩擦红斑
'mo'ca'shui'pao 摩擦水疱
'mo'ca'xing'hei'bian'bing 摩擦性黑变病
'mo'ca'xing'pi'fu'dian'fen'yang'bian 摩擦性皮肤淀粉样变
'mo'ca'xing'pi'fu'dian'fen'yang'bian'bing 摩擦性皮肤淀粉样变病
'mo'ca'xing'tai'xuan'yang'zhen 摩擦性苔癣样疹
'mo'duan'fei'bian'ma'qu 末端非编码区
'mo'duan'mao'nang'liu 末端毛囊瘤
'mo'fang'bing 模仿病
'mo'fang'jun'shu 模仿菌属
'mo'gong'ji'fu'he'wu 膜攻击复合物
'mo'mi'song'kang'suan'zhi 莫米松糠酸酯
'mo'pi'luo'xing 莫匹罗星
'mou'xie'xi'tong'ji'bing'shi'ban'fa'de'pi'fu'shui'pao 某些系统疾病时伴发的皮肤水疱
'mu'ban 母斑
'mu'ya'si 母雅司
'na'ta'mei'su 那他霉素
'nai'ding'suan 奈啶酸
'nai'fu'xi'lin'na 萘夫西林钠
'nai'se'shi'jun 奈瑟氏菌
'nai'suan'xian'wei 耐酸纤维
'nai'ti'fen 萘替芬
'nai'xue'qing'xing 耐血清性
'nang'xing'xian'yang'shang'pi'liu 囊性腺样上皮瘤
'nang'zhong 囊肿
'nang'zhong'xing'cuo'chuang 囊肿性痤疮
'nao'chong'bing 蛲虫病
'nao'hui'zhuang'zhen'pi'nei'zhi 脑回状真皮内痣
'nao'jian'huang'liu'bing 脑腱黄瘤病
'nao'mian'xue'guan'liu'bing'zong'he'zheng 脑面血管瘤病综合征
'nao'mo'yan'qiu'jun'gan'ran 脑膜炎球菌感染
'nao'san'cha'shen'jing'xue'guan'liu'bing'zong'he'zheng 脑三叉神经血管瘤病综合征
'nei'ban'kuai 内斑块
'nei'fen'mi 内分泌
'nei'fen'mi'bing 内分泌病
'nei'gen'qiao 内根鞘
'nei'han'zi 内含子
'nei'hua 内化
'nei'pi'dan'bai 内披蛋白
'nei'yuan'xing'fei'hei'su'se'su'chen'zhuo 内源性非黑素色素沉着
'nei'yuan'xing'gao'gan'you'xue'zheng 内源性高甘油血症
'nei'zang'dai'zhuang'pao'zhen 内脏带状疱疹
'nei'zhi'mi'ban 内致密斑
'nei'zhi'wang 内质网
'ni'bo 逆剥
'ni'bo'jin 尼泊金
'ni'ka'di'ping 尼卡地平
'ni'ke'suan 尼克酸
'ni'long'shua'ban'zhuang'dian'fen'yang'bian 尼龙刷斑状淀粉样变
'ni'luo'ri'guang'xing'pi'yan 泥螺日光性皮炎
'ni'shi'zheng 尼氏征
'ni'suo'di'ping 尼索地平
'ni'xiong'xian'yao 拟胸腺药
'ni'zhuan'lu'bing'du'yang'ke'li 逆转录病毒样颗粒
'ni'zhuan'lu'mei 逆转录酶
'nian'dan'bai'xing'han'guan'hua'sheng 粘蛋白性汗管化生
'nian'dan'bai'xing'tuo'fa 粘蛋白性脱发
'nian'dan'bai'zhi 粘蛋白痣
'nian'duo'tang'bing'yi'xing 粘多糖病异型
'nian'fa'yin'feng'wo'zhi'yan 捻发音蜂窝织炎
'nian'fu 粘附
'nian'mo'bai'se'hai'mian'zhi 粘膜白色海绵痣
'nian'mo'ban 粘膜斑
'nian'mo'pi'fu'yan'zong'he'zheng 粘膜皮肤眼综合征
'nian'mo'pi'fu'yan'zong'he'zheng 粘膜皮肤眼综合症
'nian'pi'pi 捻皮癖
'nian'ye'liu 粘液瘤
'nian'ye'nong'xing'gong'jing'yan 粘液脓性宫颈炎
'nian'ye'rou'liu 粘液肉瘤
'nian'ye'shui'zhong'xing'tai'xian 粘液水肿性苔藓
'nian'ye'xing'han'xian'ai 粘液性汗腺癌
'nian'ye'xing'pi'fu'jiao'hua'bing 粘液性皮肤角化病
'nian'ye'xing'shui'zhong 粘液性水肿
'nian'ye'yang'nang'zhong 粘液样囊肿
'nian'zhu'jun'bing 念珠菌病
'nian'zhu'jun'shu 念珠菌属
'nian'zhu'jun'xing'bao'pi'gui'tou'yan 念珠菌性包皮龟头炎
'nian'zhu'zhuang'cuo'gou'liu 念珠状错构瘤
'nian'zhu'zhuang'hong'tai'xian 念珠状红苔藓
'nian'zhu'zhuang'lian'gan'jun 念珠状链杆菌
'nian'zhu'zhuang'mao'fa 念珠状毛发
'nian'zhu'zhuang'zhen 念珠状疹
'niao'bu'pi'yan 尿布皮炎
'niao'bu'yin'xie'bing 尿布银屑病
'niao'dao'yan'hua'mo'zong'he'zheng 尿道眼滑膜综合征
'niao'fen'zhi'gan'jun 鸟分枝杆菌
'niao'han'zheng 尿汗症
'niao'nang'su 尿囊素
'niao'su 尿素
'niao'suan'ji'bing'zhi'li'fa'yu'bu'quan 尿酸疾病智力发育不全
'nie'bu'chan'qian'hen'ji'yi'chang'mian'rong 颞部产钳痕迹异常面容
'nie'dong'mai'yan 颞动脉炎
'ning'meng'se'pi'fu 柠檬色皮肤
'ning'xue'mei 凝血酶
'ning'xue'mei'yuan 凝血酶原
'niu'dou 牛痘
'niu'dou'bing'du 牛痘病毒
'niu'qiu'zhen'xing'kou'qiang'yan 牛丘疹性口腔炎
'niu'qu'fa 扭曲发
'niu'xing'bu'lu'jun 牛型布鲁菌
'niu'ya'juan'fa'gu'ying'hua 牛牙卷发骨硬化
'nong'du'bai'xue'zheng'zhen 脓毒败血症疹
'nong'min'jing 农民颈
'nong'pao 脓疱
'nong'pao'chuang 脓疱疮
'nong'pao'qiu'zhen 脓疱丘疹
'nong'pao'xing'cuo'chuang 脓疱性痤疮
'nong'pao'xing'su'li'zhen 脓疱性粟粒疹
'nong'pao'xing'xi'jun'zhen 脓疱性细菌疹
'nong'pao'xing'xue'guan'yan 脓疱性血管炎
'nong'pao'xing'yin'xie'bing 脓疱型银屑病
'nong'zhong'xing'xian'xing'chun'yan 脓肿性腺性唇炎
'nu'ka'jun'bing 奴卡菌病
'nue'ji'de'pi'fu'biao'xian 疟疾的皮肤表现
'nuo'fu'sha'xing 诺氟沙星
'nuo'wei'jie 挪威疥
'nv'yin'gan'ku'bing 女阴干枯病
'nv'yin'gan'ku'zheng 女阴干枯症
'nv'yin'sao'yang'bing 女阴瘙痒病
'nv'yin'wei'suo 女阴萎缩
'nv'yin'wei'suo'xing'pi'yan 女阴萎缩性皮炎
'nv'yin'ying'hua'xing'wei'suo'xing'tai'xian 女阴硬化性萎缩性苔藓
'ou'yu'fen'zhi'gan'jun 偶遇分枝杆菌
'pai'hong'xing'mian'jia 拍红性面颊
'pai'la'xi'lin 哌拉西林
'pai'zuo'qin 哌唑嗪
'pan'sheng'ding 潘生丁
'pan'wei'si'chong'bing 盘尾丝虫病
'pan'zhuang'hong'ban'lang'chuang 盘状红斑狼疮
'pang'mi 旁泌
'pao'mo'zhuang'fa 泡沫状发
'pao'zhen'xing'chi'yin'kou'qiang'yan 疱疹性齿龈口腔炎
'pao'zhen'xing'gan'yan 疱疹性肝炎
'pao'zhen'xing'nao'mo'yan 疱疹性脑膜炎
'pao'zhen'xing'shi'zhen 疱疹性湿疹
'pao'zhen'xing'wai'yin'yin'dao'yan 疱疹性外阴阴道炎
'pao'zhen'xing'xu'chuang 疱疹性须疮
'pao'zhen'xing'yan'xia'yan 疱疹性咽峡炎
'pao'zhen'yang'nong'pao'bing 疱疹样脓疱病
'pao'zhen'yang'pi'yan 疱疹样皮炎
'pao'zhen'yang'tian'pao'chuang 疱疹样天疱疮
'pei'fu'sha'xing 培氟沙星
'pei'suan'nei'zhi 培酸内酯
'peng'fa'zong'he'zheng 蓬发综合征
'peng'sha 硼砂
'peng'suan 硼酸
'peng'zhang'wen 膨胀纹
'pi'ban'zhen'shang'han 蜱斑疹伤寒
'pi'ding'yao 蜱叮咬
'pi'fu'a'mi'ba'bing 皮肤阿米巴病
'pi'fu'bai'hou 皮肤白喉
'pi'fu'bing'kong'bu 皮肤病恐怖
'pi'fu'chuang'ji'shu 皮肤窗技术
'pi'fu'dou'chuang'yang'ban'zhuang'wei'suo 皮肤痘疮样斑状萎缩
'pi'fu'gai'bian 皮肤改变
'pi'fu'gai'chen'zhuo'zheng 皮肤钙沉着症
'pi'fu'gou'zhe'bing 皮肤垢着病
'pi'fu'gu'hua 皮肤骨化
'pi'fu'hei're'bing 皮肤黑热病
'pi'fu'hua'hen'zheng 皮肤划痕症
'pi'fu'hua'hen'zheng 皮肤化痕症
'pi'fu'hun'he'liu 皮肤混合瘤
'pi'fu'jiang'ying'zong'he'zheng 皮肤僵硬综合症
'pi'fu'jiao'yang'bian'xing 皮肤胶样变性
'pi'fu'ju'zao'xing'nian'dan'bai'bing 皮肤局灶性粘蛋白病
'pi'fu'lian'ge'bao'bing 皮肤链隔孢病
'pi'fu'lin'ba'xi'bao'jin'run 皮肤淋巴细胞浸润
'pi'fu'mao'nang'zhou'wei'xian'wei'liu'bing 皮肤毛囊周围纤维瘤病
'pi'fu'mian'yi'xi'tong 皮肤免疫系统
'pi'fu'nei'hei'su 皮肤内黑素
'pi'fu'nian'mo'li'shi'man'yuan'chong 皮肤粘膜利士曼原虫
'pi'fu'nian'mo'tou'ming'bian'xing 皮肤粘膜透明变性
'pi'fu'nian'mo'yan'shang'pi'zong'he'zheng 皮肤粘膜眼上皮综合症
'pi'fu'ru'tou'liu'bing 皮肤乳头瘤病
'pi'fu'ruan'gu'jiao'mo'ying'yang'bu'liang'zong'he'zheng 皮肤软骨角膜营养不良综合症
'pi'fu'shen'jing'guan'neng'bing 皮肤神经官能病
