'a'ba 阿爸
'tou'ling'ping'zheng 头领凭证
'tou'ming'ling'dang 透明铃铛
'tou'mu'zhi'zheng 头目之证
'tou'qiu 投球
'tou'qiu'dui'zhan 投球对战
'tou'shuai'gui 投摔鬼
'tou'xi'bao'ke'meng 偷袭宝可梦
'tou'xiu 投秀
'tou'yu'xiao 投羽枭
'tou'zhi 投掷
'tou'zhi'hou 投掷猴
'tou'zhi'hou'de'mao 投掷猴的毛
'tu'an'lian'ku'wa 图案连裤袜
'tu'biao'ke 涂标客
'tu'bu'xing'tai 徒步形态
'tu'di'shen'bao'ke'meng 土地神宝可梦
'tu'di'yun 土地云
'tu'dou'sha'la 土豆沙拉
'tu'dou'sha'la'san'ming'zhi 土豆沙拉三明治
'tu'fei'meng'pu 突飞猛扑
'tu'huo'bao'ke'meng 吐火宝可梦
'tu'ji'bao'ke'meng 突击宝可梦
'tu'ji'bei'xin 突击背心
'tu'jian'shuo'ming 图鉴说明
'tu'ju'ren'shi 土居忍士
'tu'lang'quan 土狼犬
'tu'lang'quan'de'ya 土狼犬的牙
'tu'long'di'di 土龙弟弟
'tu'long'di'di'de'lin'pian 土龙弟弟的鳞片
'tu'long'jie'jie 土龙节节
'tu'pao'bao'ke'meng 吐泡宝可梦
'tu'sha 吐沙
'tu'si 吐丝
'tu'si'bao'ke'meng 吐丝宝可梦
'tu'si'mian'bao 吐司面包
'tu'tai'gui 土台龟
'tu'tu'quan 图图犬
'tu'tu'quan'de'mo'zhi 图图犬的墨汁
'tu'tu'tou'kui 凸凸头盔
'tu'wang 土王
'tu'xi 突袭
'tu'ying'na 秃鹰娜
'tu'ying'ya'tou 秃鹰丫头
'tu'ying'ya'tou'de'yu'mao 秃鹰丫头的羽毛
'tu'zhen'bao'zhu 土震宝主
'tu'zi'bao'ke'meng 兔子宝可梦
'tuan'dui'chong'feng 团队冲锋
'tuan'zhu'zhu 团珠蛛
'tuan'zhu'zhu'de'si 团珠蛛的丝
'tui'bian'chang'bo'bo'tou 推边长波波头
'tui'bian'tou 推边头
'tui'chu 退出
'tui'chu'dui'wu 退出队伍
'tui'chu'dui'zhan 退出对战
'tui'chu'ji'you'quan 退出集友圈
'tui'jian'han 推荐函
'tui'jian'you'jian 推荐邮件
'tui'pi 蜕皮
'tui'pi'bao'ke'meng 蜕皮宝可梦
'tun'shi'shou 吞食兽
'tun'xia 吞下
'tuo'er 拓尔
'tuo'ge'de'ma'er 托戈德玛尔
'tuo'luo'qiu 陀螺球
'tuo'niao'bao'ke'meng 鸵鸟宝可梦
'tuo'qiao'bao'ke'meng 脱壳宝可梦
'tuo'qiao'ren'zhe 脱壳忍者
'tuo'ren 拓人
'tuo'se 驼色
'tuo'shou 托手
'tuo'tuo'yin 拖拖蚓
'tuo'tuo'yin'de'xiu 拖拖蚓的锈
'tuo'wei 拓未
'tuo'ye 拓也
'tuo'yuan'xing'mo'jing 椭圆形墨镜
'tuo'yuan'xing'yan'jing 椭圆形眼镜
'wa'bao'ke'meng 蛙宝可梦
'wa'dong 挖洞
'wa'dong'bao'ke'meng 挖洞宝可梦
'wa'dong'zuan 挖洞钻
'wa'si'dan 瓦斯弹
'wa'si'dan'de'qi'ti 瓦斯弹的气体
'wa'si'dan'de'tang'guo 瓦斯弹的糖果
'wa'zi 袜子
'wan'bao'ke'meng 丸宝可梦
'wan'cheng 完成
'wan'fa 玩法
'wan'gai'tou 碗盖头
'wan'li 腕力
'wan'li'de'tang'guo 腕力的糖果
'wan'ling'yao 万灵药
'wan'ma'bao'ke'meng 挽马宝可梦
'wan'neng'fen 万能粉
'wan'neng'san 万能伞
'wan'ni'ba 玩泥巴
'wan'pi 顽皮
'wan'pi'bao'ke'meng 顽皮宝可梦
'wan'pi'bo'he 顽皮薄荷
'wan'pi'lei'dan 顽皮雷弹
'wan'pi'xiong'mao 顽皮熊猫
'wan'qu'de'tang'chi 弯曲的汤匙
'wan'quan'ti'xing'tai 完全体形态
'wan'quan'xing'tai 完全形态
'wan'shang'hui'fei'zai'gao'kong 晚上会飞在高空
'wan'sheng'ye 万圣夜
'wan'shui 玩水
'wan'sui 万岁
'wan'tong'bao'ke'meng 顽童宝可梦
'wan'you'yin'li 万有引力
'wan'zhen'yu 万针鱼
'wan'zheng'mo'shi 完整模式
'wan'zi'zhen'zhu 丸子珍珠
'wang'de'yang'zi 王的样子
'wang'guan'che'piao 王冠车票
'wang'ji 忘记
'wang'ji'ci'zhao'shi 忘记此招式
'wang'ji'zhao'shi 忘记招式
'wang'jian'bao'ke'meng 王剑宝可梦
'wang'liang'si'xiao'dui'ji'di 王良四小队基地
'wang'liang'yi'xiao'dui'ji'di 王良一小队基地
'wang'pai 王牌
'wang'wang'gu 旺旺谷
'wang'zhe'bao'ke'meng 王者宝可梦
'wang'zhe'dun'pai 王者盾牌
'wang'zhe'zhi'zheng 王者之证
'wei'bo'lu 微波炉
'wei'ceng'tang 味噌汤
'wei'da'zhi'li 伟大之力
'wei'dai'bao'ke'meng 胃袋宝可梦
'wei'gong 围攻
'wei'he 威吓
'wei'he'bao'ke'meng 威吓宝可梦
'wei'jia 尾甲
'wei'jin'bao'ke'meng 围巾宝可梦
'wei'jing'bao'ke'meng 维京宝可梦
'wei'lai'gong'ji 未来攻击
'wei'li 威力
'wei'li 尾立
'wei'li'de'mao 尾立的毛
'wei'long'bao'zhu 伪龙宝主
'wei'she'ding 未设定
'wei'tang'cao 伪螳草
'wei'tang'cao'de'ye'pian 伪螳草的叶片
'wei'tuo'nei'rong 委托内容
'wei'tuo'ren 委托人
'wei'xian'hui'bi 危险回避
'wei'xian'yu'zhi 危险预知
'wei'xiao'zhi'zheng 微笑之证
'wei'xuan'ze 未选择
'wei'yan'bao'ke'meng 威严宝可梦
'wei'ye 胃液
'wei'yi 尾壹
'wei'zhi'tu'teng 未知图腾
'wei'zhi'tu'teng'bi'ji 未知图腾笔记
'wei'zhi'zhi'zheng 未知之证
'wen'he 温和
'wen'he'bo'he 温和薄荷
'wen'hou'bao'ke'meng 温厚宝可梦
'wen'jiang 文江
'wen'li 纹理
'wen'quan'po'po 温泉婆婆
'wen'rou'de 温柔的
'wen'shun 温顺
'wen'shun'bo'he 温顺薄荷
'wen'xiang'jun 蚊香君
'wen'xiang'ke'dou 蚊香蝌蚪
'wen'xiang'ke'dou'de'nian'ye 蚊香蝌蚪的黏液
'wen'xiang'ke'dou'de'tang'guo 蚊香蝌蚪的糖果
'wen'xiang'wa'huang 蚊香蛙皇
'wen'xiang'yong'shi 蚊香泳士
'wen'you 文柚
'wen'you'guo 文柚果
'weng'fu 嗡蝠
'weng'fu'de'mao 嗡蝠的毛
'wo'de'tian'na 我的天哪
'wo'de'zui'ai 我的最爱
'wo'er'ta 沃尔塔
'wo'ke'bao'ke'meng 窝壳宝可梦
'wo'lun'huo'yan 涡轮火焰
'wo'niu'bao'ke'meng 蜗牛宝可梦
'wo'xing'wo'su 我行我素
'wo'yao'wan 我要玩
'wu'bo 乌波
'wu'bo'de'nian'ye 乌波的黏液
'wu'bu'xing'tai 舞步形态
'wu'cong 悟聪
'wu'dao'bao'ke'meng 舞蹈宝可梦
'wu'dao'xiong'shi 武道熊师
'wu'fa'can'jia 无法参加
'wu'fa'tao'zou 无法逃走
'wu'fa'zhan'dou 无法战斗
'wu'fang'shou 无防守
'wu'gong'bao'ke'meng 蜈蚣宝可梦
'wu'gong'wang 蜈蚣王
'wu'guan'tian'qi 无关天气
'wu'hua 勿花
'wu'hua'guo 勿花果
'wu'hui'bai 雾灰白
'wu'hui'jin 雾灰金
'wu'hui'lv 雾灰绿
'wu'hui'zi 雾灰紫
'wu'ji'guang'shu 无极光束
'wu'ji'ju'hua 无极巨化
'wu'ji'tai'na 无极汰那
'wu'jin'an'ye'zhi'you'huo 无尽暗夜之诱惑
'wu'ke'hai'tu 无壳海兔
'wu'ke'hai'tu'de'nian'ye 无壳海兔的黏液
'wu'lai'bao'ke'meng 无赖宝可梦
'wu'li 乌栗
'wu'li'de'fang'jian 乌栗的房间
'wu'li'qu'nao 无理取闹
'wu'lian 雾莲
'wu'lian'guo 雾莲果
'wu'lv'zhi'zheng 无虑之证
'wu'ni'bao'ke'meng 污泥宝可梦
'wu'ni'bo 污泥波
'wu'ni'gong'ji 污泥攻击
'wu'ni'jiang 污泥浆
'wu'ni'zha'dan 污泥炸弹
'wu'pai'ming 无排名
'wu'pin'xiang 物品箱
'wu'sheng 吾升
'wu'shu'bao'ke'meng 武术宝可梦
'wu'te'xing 无特性
'wu'tian'e 舞天鹅
'wu'wei'xiao'zi 无畏小子
'wu'wei'xiao'zi'de'han 无畏小子的汗
'wu'xian'bao'ke'meng 无限宝可梦
'wu'xian'chuan'piao 无限船票
'wu'xian'zhi 无限制
'wu'xian'zhi'di 无限之笛
'wu'xiao'guo 无效果
'wu'xing'bao'ke'meng 五星宝可梦
'wu'xing'quan 无形拳
'wu'ya'bao'ke'meng 乌鸦宝可梦
'wu'ya'tou'tou 乌鸦头头
'wu'yan'se 无颜色
'wu'yan'xiao'bian'mao 无檐小便帽
'wu'ye'zhi'zheng 午夜之证
'wu'zei'wang 乌贼王
'wu'zhe 舞者
'wu'zhe'bao'ke'meng 舞者宝可梦
'wu'zhi'shou'tao 无指手套
'wu'zi 舞子
'xi'ai'you'jian 喜爱邮件
'xi'bao'bao'ke'meng 细胞宝可梦
'xi'can'chu'shi 西餐厨师
'xi'cui'de'yang'zi 洗翠的样子
'xi'cui'di'qu 洗翠地区
'xi'cui'jiang'zhang 洗翠奖章
'xi'di'qu 西第区
'xi'duo'lan'en 席多蓝恩
'xi'er'fo'jian'shi'jing 西尔佛检视镜
'xi'fa 戏法
'xi'fa'fang'shou 戏法防守
'xi'fa'kong'jian 戏法空间
'xi'fang'bao'ke'meng 西方宝可梦
'xi'fu'bao'ke'meng 吸附宝可梦
'xi'gu 细骨
'xi'hai 西海
'xi'huan'bao'ke'meng'de 喜欢宝可梦的
'xi'huan'bei'yin'chu 喜欢背阴处
'xi'huan'dai'zai'hua'de'fu'jin 喜欢待在花的附近
'xi'huan'dai'zai'shu'pang 喜欢待在树旁
'xi'huan'ga'li'de 喜欢咖喱的
'xi'ju'yan'yuan'bao'ke'meng 喜剧演员宝可梦
'xi'lan 席蓝
'xi'li 西梨
'xi'li'guo 西梨果
'xi'luo'jia 西洛佳
'xi'meng 希蒙
'xi'mo'ka 希默卡
'xi'nao 嬉闹
'xi'pa'di'ya'hai 西帕底亚海
'xi'pan 吸盘
'xi'qu 吸取
'xi'qu'li'liang 吸取力量
'xi'qu'quan 吸取拳
'xi'qu'zhi'wen 吸取之吻
'xi'sa'li'ya 希萨莉娅
'xi'shi'hai'ren 西狮海壬
'xi'shuai'bao'ke'meng 蟋蟀宝可梦
'xi'tong 系统
'xi'xue 细雪
'xi'yang'hua'san'ming'zhi'qian 夕阳花三明治签
'xi'yi'bao'ke'meng 习艺宝可梦
'xi'yi'bao'ke'meng 蜥蜴宝可梦
'xi'yi'ji 洗衣机
'xi'yi'wang 蜥蜴王
'xi'yi'wang'jin'hua'shi 蜥蜴王进化石
'xi'you'jing'ling'qiu'ji'hui'ci'shu 稀有精灵球机会次数
'xi'you'jing'ling'qiu'ji'hui'zhong 稀有精灵球机会中
'xi'yu'bao'ke'meng 细语宝可梦
'xia'ban'kuang'mo'jing 下半框墨镜
'xia'ban'kuang'yan'jing 下半框眼镜
'xia'chui'zi'shi 下垂姿势
'xia'gu'guang'chang 峡谷广场
'xia'gu'qu 峡谷区
'xia'gu'qu'de'huan'jing'zheng'zhi 峡谷区的环境整治
'xia'lai 下来
'xia'mei 夏美
'xia'pan'ti 下盘踢
'xia'sheng 夏生
'xia'shi'niao 下石鸟
'xia'shi'niao'de'yu'mao 下石鸟的羽毛
'xia'tian'de'yang'zi 夏天的样子
'xia'xi 夏希
'xia'xue 下雪
'xia'ya'ti 下压踢
'xia'yi'bu 下一步
'xia'yi'tiao 吓一跳
'xia'yu 下雨
'xia'zai 下载
'xia'zai'ban'te'dian 下载版特典
'xian'dai'feng'wo'tou 现代蜂窝头
'xian'ding'guan'tao'can 限定贯套餐
'xian'er 贤二
'xian'hou 仙后
'xian'hua'fang'shou 鲜花防守
'xian'ji'qiu 先机球
'xian'jing 线阱
'xian'jing'bao'ke'meng 陷阱宝可梦
'xian'jing'jia'qiao 陷阱甲壳
'xian'liao 馅料
'xian'luo'mao'bao'ke'meng 暹罗猫宝可梦
'xian'nai'you 鲜奶油
'xian'nai'you'bao'ke'meng 鲜奶油宝可梦
'xian'qiu'bao'ke'meng 线球宝可梦
'xian'ren'zhang'bao'ke'meng 仙人掌宝可梦
'xian'shi 显示
'xian'shi'bao'ke'meng 显示宝可梦
'xian'shi'bao'ke'meng'ni'cheng 显示宝可梦昵称
'xian'ta'ta'mi 掀榻榻米
'xian'wei'huo'tui'huang'you'san'ming'zhi 咸味火腿黄油三明治
'xian'xian'nai'you 鲜鲜奶油
'xian'xing'de'yang'zi 现形的样子
'xian'xing'jing 现形镜
'xian'xing'zhi'liao 先行治疗
'xian'yan 鲜艳
'xian'yan'zhi'qu 鲜艳之躯
'xian'zai'de'jing'yan'zhi 现在的经验值
'xian'zai'de'shi'li 现在的食力
'xian'zai'de'zhao'pian 现在的照片
'xian'zhe'bao'ke'meng 贤者宝可梦
'xian'zhi'zhi'zhao 先制之爪
'xian'zi'yi'bu 仙子伊布
'xiang'cao'xiang'chang 香草香肠
'xiang'cao'xiang'chang'san'ming'zhi 香草香肠三明治
'xiang'ce 相册
'xiang'dai 香袋
'xiang'dang'hao 相当好
'xiang'dang'you'xiu'de'neng'li 相当优秀的能力
'xiang'jia 飨家
'xiang'jiao'pian 香蕉片
'xiang'la'san'ming'zhi 香辣三明治
'xiang'la'tu'dou 香辣土豆
'xiang'liao'zu'he 香料组合
'xiang'luo 香罗
'xiang'luo'guo 香罗果
'xiang'qing 详情
'xiang'ri'hua'guai 向日花怪
'xiang'ri'zhong'zi 向日种子
'xiang'ri'zhong'zi'de'ye'pian 向日种子的叶片
'xiang'shi'bao'ke'meng 橡实宝可梦
'xiang'shi'guo 橡实果
'xiang'shi'guo'de'zhi'tiao 橡实果的枝条
'xiang'shui'bao'ke'meng 香水宝可梦
'xiang'shui'jiao'de 想睡觉的
'xiang'sui'bao'ke'meng 相随宝可梦
'xiang'tai 翔太
'xiang'tong'bao'ke'meng 像铜宝可梦
'xiang'tong'de'bao'ke'meng 相同的宝可梦
'xiang'tong'de'dao'ju 相同的道具
'xiang'wei'miao 向尾喵
'xiang'wei'miao'de'wei'ba 向尾喵的尾巴
'xiang'xi'cha'kan 详细查看
'xiang'xi'gui'ze 详细规则
'xiang'ya'zhu 象牙猪
'xiang'yang 向阳
'xiang'yu'peng'peng 相遇碰碰
'xiang'zhen 翔真
'xiang'zheng'bao'ke'meng 象征宝可梦
'xiang'zheng'niao 象征鸟
'xiang'zhi 香织
'xiao'bei'bao'ke'meng 小辈宝可梦
'xiao'bu 小步
'xiao'bu'dian 小不点
'xiao'bu'dian'zhi'zheng 小不点之证
'xiao'chi'cun 小尺寸
'xiao'chi'xiao'jing 小匙小径
'xiao'chi'zhen 小匙镇
'xiao'chun 小春
'xiao'ci'guai 小磁怪
'xiao'ci'guai'de'luo'si 小磁怪的螺丝
'xiao'ci'guai'de'tang'guo 小磁怪的糖果
'xiao'du'er 小笃儿
'xiao'du'er'de'yu'mao 小笃儿的羽毛
'xiao'duan'jiang 小锻匠
'xiao'duan'jiang'de'mao 小锻匠的毛
'xiao'fan'qie'kuai 小番茄块
'xiao'fu'dan 小福蛋
'xiao'fu'dan'de'diao'luo'wu 小福蛋的掉落物
'xiao'ge'bao'ke'meng 小鸽宝可梦
'xiao'gou'bao'ke'meng 小狗宝可梦
'xiao'gu 蛸固
'xiao'gui'bao'ke'meng 小龟宝可梦
'xiao'guo'bu'hao 效果不好
'xiao'guo'he'chang'di'zhuang'tai 效果和场地状态
'xiao'guo'jue'jia 效果绝佳
'xiao'guo'ran 小果然
'xiao'hai'shi 小海狮
'xiao'hai'shi'de'mao 小海狮的毛
'xiao'hai'shi'de'tang'guo 小海狮的糖果
'xiao'hou'bao'ke'meng 小猴宝可梦
'xiao'huang'gua'pian 小黄瓜片
'xiao'hui'guai 小灰怪
'xiao'huo'long 小火龙
'xiao'huo'long'de'tang'guo 小火龙的糖果
'xiao'huo'ma 小火马
'xiao'huo'ma'de'tang'guo 小火马的糖果
'xiao'huo'xing'bao'ke'meng 小火星宝可梦
'xiao'huo'yan'hou 小火焰猴
'xiao'jian'que 小箭雀
'xiao'jian'que'de'yu'mao 小箭雀的羽毛
'xiao'ju'e 小锯鳄
'xiao'ka'bi'shou 小卡比兽
'xiao'ka'bi'shou'de'ya 小卡比兽的牙
'xiao'kong 小空
'xiao'kou'chang'kai'de 笑口常开的
'xiao'la'da 小拉达
'xiao'la'da'de'tang'guo 小拉达的糖果
'xiao'la'jiao 小辣椒
'xiao'lan 小兰
'xiao'lian'yi'bu'san'ming'zhi'qian 笑脸伊布三明治签
'xiao'lin 小霖
'xiao'mai'bu 小卖部
'xiao'mao'bao'ke'meng 小猫宝可梦
'xiao'mao'guai 小猫怪
'xiao'mao'guai'de'ya 小猫怪的牙
'xiao'mi'mi'de 笑眯眯的
'xiao'mo'gu 小蘑菇
'xiao'mu'ling 小木灵
'xiao'mu'ling'de'zhi'tiao 小木灵的枝条
'xiao'nei'zui'qiang'da'sai 校内最强大赛
'xiao'niao'bao'ke'meng 小鸟宝可梦
'xiao'qing 小青
'xiao'qiu'fei'yu 小球飞鱼
'xiao'quan'shi 小拳石
'xiao'quan'shi'de'sui'pian 小拳石的碎片
'xiao'quan'shi'de'tang'guo 小拳石的糖果
'xiao'shan'zhu 小山猪
'xiao'shan'zhu'de'mao 小山猪的毛
'xiao'shi'shi 小狮狮
'xiao'shi'shi'de'zong'mao 小狮狮的鬃毛
'xiao'shu'bao'ke'meng 小鼠宝可梦
'xiao'sui'zuan 小碎钻
'xiao'sui'zuan'de'bao'shi 小碎钻的宝石
'xiao'tan'zai 小炭仔
'xiao'tan'zai'de'mei'tan 小炭仔的煤炭
'xiao'tou 小偷
'xiao'xian'nai 小仙奶
'xiao'xian'nai'de'nai'you 小仙奶的奶油
'xiao'xiang'jiang'zhang 肖像奖章
'xiao'xiao'hua'shu 小小花束
'xiao'xiao'xiang 小小象
'xiao'xiao'xiang'de'zhua'zi 小小象的爪子
'xiao'xiong'bao'ke'meng 小熊宝可梦
'xiao'ya 小鸭
'xiao'ya'bao'ke'meng 小鸭宝可梦
'xiao'yao 小遥
'xiao'yi 小翼
'xiao'you 孝友
'xiao'yu'bao'ke'meng 小鱼宝可梦
'xiao'yuan'le'fu'xie 校园乐福鞋
'xiao'yuan'lian'ku'wa 校园连裤袜
'xiao'yuan'mao 校园帽
'xiao'yuan'qiu 校园球
'xiao'yuan'shou'tao 校园手套
'xiao'yuan'shuang'jian'bao 校园双肩包
'xiao'yuan'shui'bei 校园水杯
'xiao'yuan'shui'hu 校园水壶
'xiao'yuan'tou'kui 校园头盔
'xiao'yuan'wa 校园袜
'xiao'yuan'yi'zi 校园椅子
'xiao'yuan'yun'dong'xie 校园运动鞋
'xiao'yuan'zhuo'jin 校园桌巾
'xiao'yue'ke 小约克
'xiao'yun'xing 小陨星
'xiao'yun'xing'de'ke 小陨星的壳
'xiao'zhang 嚣张
'xiao'zhang 校长
'xiao'zhang'ba'hu'de 嚣张跋扈的
'xiao'zhang'shi 校长室
'xiao'zhi'ban'jia'he'ren'wa 小智版甲贺忍蛙
'xiao'zhu'bao'ke'meng 小猪宝可梦
'xiao'zhu'sun 小竹笋
'xiao'zui'wo 小嘴蜗
'xie'chu'bao'ke'meng 卸除宝可梦
'xie'dai 携带
'xie'dai'chi'you'wu 携带持有物
'xie'du'suo'lian 邪毒锁链
'xie'e'bao'ke'meng 邪恶宝可梦
'xie'fen 泄愤
'xie'guai'bao'ke'meng 蝎怪宝可梦
'xie'li 谢礼
'xie'mi 谢米
'xie'qian'chui 蟹钳锤
'xie'sheng 写生
'xie'shi 楔石
'xie'zi 鞋子
'xie'zi'bao'ke'meng 蝎子宝可梦
'xin'ai 欣爱
'xin'bei'shang'shou'ji'ke 新北上手机壳
'xin'bian'fu 心蝙蝠
'xin'de'shi'li 新的食力
'xin'di 辛蒂
'xin'hao'guang'shu 信号光束
'xin'ji'lu 新纪录
'xin'li 辛俐
'xin'lin'bao 心鳞宝
'xin'lin'bao'de'lin'pian 心鳞宝的鳞片
'xin'ling'gan'ying 心灵感应
'xin'ling'hu'huan 心灵互换
'xin'ling'tang'guo 心灵糖果
'xin'ling'xiang'cao 心灵香草
'xin'lv'bao'ke'meng 新绿宝可梦
'xin'qing'bao'ke'meng 心情宝可梦
'xin'qing'bu'ding 心情不定
'xin'qing'bu'hao'de 心情不好的
'xin'qing'hao'de 心情好的
'xin'shi'niao 信使鸟
'xin'shi'niao'de'xing'li 信使鸟的行李
'xin'shou'ji 新手级
'xin'shu'cai'san'ming'zhi 新蔬菜三明治
'xin'tiao'bu'yi'de 心跳不已的
'xin'tiao'jiang'zhang 心跳奖章
'xin'xi 信息
'xin'xiao'yuan'mao 新校园帽
'xin'xiao'yuan'shou'tao 新校园手套
'xin'xiao'yuan'shuang'jian'bao 新校园双肩包
'xin'xing'tian'dian 心形甜点
'xin'xing'yan'jing 心型眼镜
'xin'xing'zao'xing 心形造型
'xin'xue'bao'ke'meng 新雪宝可梦
'xin'yan 信彦
'xin'yan 心眼
'xin'ye'miao 新叶喵
'xin'ye'miao'shou'ji'ke 新叶喵手机壳
'xin'yu 心羽
'xin'yue'bao'ke'meng 新月宝可梦
'xin'yue'qi'dao 新月祈祷
'xin'yue'wu 新月舞
'xin'yue'zhi'yu 新月之羽
'xin'zeng'nei'rong 新增内容
'xin'zhi'fu'tao'zhuang 新制服套装
'xin'zhi'lin'pian 心之鳞片
'xin'zhi'shi'ban 心之石板
'xin'zhi'shui'di 心之水滴
'xin'zhi'yan 心之眼
'xin'zhong'bao'ke'meng 新种宝可梦
'xing'bie 性别
'xing'bie'wu 性别无
'xing'chen'zhi'lu 星尘之路
'xing'ci'lang 幸次郎
'xing'fen'qi'dai'de 兴奋期待的
'xing'fu'bao'ke'meng 幸福宝可梦
'xing'fu'dan 幸福蛋
'xing'fu'zhi'zheng 幸福之证
'xing'ge 性格
'xing'hong 杏虹
'xing'jing 星晶
'xing'jing'tai'jing'sui'kuai 星晶太晶碎块
'xing'jing'xing'tai 星晶形态
'xing'ren'dou'fu 杏仁豆腐
'xing'shi'mo'shi 行驶模式
'xing'sui 星碎
'xing'tai'bian'hua 形态变化
'xing'tai'bian'hua'de'fang'fa 形态变化的方法
'xing'tao 星桃
'xing'tao'guo 星桃果
'xing'xing 星星
'xing'xing'bao'ke'meng 星形宝可梦
'xing'xing'duan'wa 星星短袜
'xing'xing'sha'zi 星星沙子
'xing'xing'sui'pian 星星碎片
'xing'xing'tang'shi 星星糖饰
'xing'xing'zao'xing 星形造型
'xing'yun'bao'ke'meng 星云宝可梦
'xing'yun'cao'tang'shi 幸运草糖饰
'xing'yun'dan 幸运蛋
'xing'yun'xun'xiang 幸运薰香
'xing'yun'zhou'yu 幸运咒语
'xing'zai 杏仔
'xing'zai'guo 杏仔果
'xing'zou 行走
'xiong'bao'bao 熊宝宝
'xiong'bao'bao'de'zhua'zi 熊宝宝的爪子
'xiong'bao'bao'ke'meng 凶暴宝可梦
'xiong'da 雄大
'xiong'e'bao'ke'meng 凶恶宝可梦
'xiong'han'zhi'zheng 凶悍之证
'xiong'meng'bao'ke'meng 凶猛宝可梦
'xiong'ping 雄平
'xiong'tai 雄太
'xiong'tu'di 熊徒弟
'xiong'tu'di'de'dian'xin 熊徒弟的点心
'xiong'wei'ya 雄伟牙
'xiong'xing'de'yang'zi 雄性的样子
'xiong'xiong'huo'bao 熊熊火爆
'xiu'chang'zhi'jiao 修长之角
'xiu'dian 秀典
'xiu'jian'lao'jiang 修建老匠
'xiu'ke 琇可
'xiu'mu'yao 朽木妖
'xiu'te 修特
'xiu'wei 秀薇
'xiu'xian'xie 休闲鞋
'xiu'xing'bao'ke'meng 修行宝可梦
'xiu'xing'jiang'zhang 修行奖章
'xu'dian 蓄电
'xu'dian'chi 蓄电池
'xu'dian'chi'bao'ke'meng 蓄电池宝可梦
'xu'ke'zheng 许可证
'xu'li 蓄力
'xu'neng'yan'xi 蓄能焰袭
'xu'ni'bao'ke'meng 虚拟宝可梦
'xu'wu'yi'de 虚吾伊德
'xu'yu'bao'ke'meng 须鱼宝可梦
'xu'yuan'jiang'zhang 许愿奖章
'xu'yuan'xing 许愿星
'xu'yuan'xing'kuai 许愿星块
'xu'yuan'xing'sui'pian 许愿星碎片
'xu'zhang'sheng'shi 虚张声势
'xuan'feng'bao'ke'meng 旋风宝可梦
'xuan'feng'dao 旋风刀
'xuan'lan'bin'fen'hua'nu'fang 绚烂缤纷花怒放
'xuan'lv'bao'ke'meng 旋律宝可梦
'xuan'wo'bao'ke'meng 漩涡宝可梦
'xuan'ze 选择
'xuan'ze'dui'wu 选择队伍
'xuan'ze'fan'wei 选择范围
'xuan'ze'gui'ze 选择规则
'xuan'ze'qiu 选择球
'xuan'ze'wan'fa 选择玩法
'xuan'ze'xia'zhi'bao'ke'meng 选择下只宝可梦
'xuan'ze'yao'tiao'zhan'de'mo'shi 选择要挑战的模式
'xuan'ze'yao'wang'ji'de'zhao'shi 选择要忘记的招式
'xuan'ze'zhong 选择中
'xuan'zhuan'bao'ke'meng 旋转宝可梦
'xuan'zhuan'jing'tou 旋转镜头
'xuan'zhuan'luo'tuo'mu 旋转洛托姆
'xue'bao'ma 雪暴马
'xue'bao'ma'de'dian'xin 雪暴马的点心
'xue'beng 雪崩
'xue'guo'bao'ke'meng 雪国宝可梦
'xue'guo'hua'wen 雪国花纹
'xue'hui'le'de 学会了的
'xue'jing 雪景
'xue'li'bao'ke'meng 雪笠宝可梦
'xue'li'guai 雪笠怪
'xue'li'guai'de'guo'shi 雪笠怪的果实
'xue'mao 雪矛
'xue'qiu 雪球
'xue'ren 学人
'xue'rong'e 雪绒蛾
'xue'sheng 学生
'xue'sheng'shi'tang 学生食堂
'xue'sheng'shuang'jian'bao 学生双肩包
'xue'tong'zi 雪童子
'xue'tong'zi'de'mao 雪童子的毛
'xue'tun'chong 雪吞虫
'xue'tun'chong'de'si 雪吞虫的丝
'xue'wan 雪丸
'xue'xi'zhuang'zhi 学习装置
'xue'yao'nv 雪妖女
'xue'yin 雪隐
'xue'ying 雪英
'xue'yuan'bi'sa 学园比萨
'xue'yuan'de'xun'lian'jia 学园的训练家
'xue'yuan'hua'wen 雪原花纹
'xue'yuan'nai'xi 学园奶昔
'xue'yuan'shu'tiao 学园薯条
'xue'yuan'tao'can 学园套餐
'xue'yue 血月
'xue'yun'de'yang'zi 雪云的样子
'xue'zha'zhen 穴扎镇
'xue'zhi'zhen'bao 雪之镇宝
'xue'zhong 雪忠
'xun'bao'bao'ke'meng 寻宝宝可梦
'xun'bao'lie'ren 寻宝猎人
'xun'hui'bao'ke'meng 巡回宝可梦
'xun'lei 迅雷
'xun'lian'jia 训练家
'xun'lian'jia'shou'tao 训练家手套
'xun'lian'jia'tou'xiang 训练家头像
'xun'long'shi 驯龙师
'xun'tai 迅太
'xun'wen'you'jian 询问邮件
'xun'yi'cao'se 薰衣草色
'xun'yi'cao'zi 薰衣草紫
'xun'zi'li'ren 迅子利刃
'ya'bao'bao 鸭宝宝
'ya'bao'bao'de'yu'mao 鸭宝宝的羽毛
'ya'bao'ke'meng 牙宝可梦
'ya'bao'ke'meng 鸭宝可梦
'ya'gong 雅功
'ya'ji 亚季
'ya'kai 亚开
'ya'kai'guo 亚开果
